区分,件数／計,件数／従事,救助人員／計,救助人員／重症,救助人員／中等症,救助人員／軽症,救助人員／無症,救助人員／死亡,出場車両数／計,出場車両数／ポンプ車,出場車両数／救助車,出場車両数／化学車,出場車両数／はしご車,出場車両数／救急車,出場車両数／照明車,出場車両数／防災機動車,出場車両数／ヘリコプター,出場車両数／消防艇,出場車両数／救助先行者,出場車両数／その他,従事台数,出場人員,従事人員
水難／海・河川等／船舶と船舶との衝突,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
水難／海・河川等／河川等への転落,39,21,22,3,6,2,－,11,252,48,21,10,5,40,10,7,2,55,45,9,109,1188,524
水難／海・プール・井戸等への転落,3,1,1,1,－,－,－,－,16,6,3,－,－,3,－,－,－,－,2,2,6,77,32
水難／飛び込み自損等,46,33,26,6,4,1,1,14,308,73,25,12,2,46,11,4,6,62,45,22,193,1428,902
水難／その他,16,5,4,－,－,1,－,3,105,26,7,1,－,16,3,6,1,18,20,7,34,475,162
機械,232,107,214,6,14,26,164,4,936,205,230,50,19,192,－,－,2,－,224,14,330,4564,1692
機械／昇降機／エレベーターに閉じ込められ,103,60,162,－,1,－,161,－,379,97,102,15,6,61,－,－,－,－,98,－,171,1901,946
機械／昇降機／エレベーターにはさまれ,12,4,4,－,－,4,－,－,48,9,12,3,－,12,－,－,－,－,12,－,7,234,28
機械／昇降機／エスカレーターにはさまれ等,3,1,1,－,－,1,－,－,13,1,3,2,－,3,－,－,－,－,3,1,4,59,18
機械／昇降機／リフトダムウェーターにはさまれ,8,5,6,1,1,2,1,1,39,5,11,3,1,9,－,－,－,－,8,2,20,190,101
機械／プレス機械にはさまれ,4,1,1,－,1,－,－,－,17,3,4,3,－,3,－,－,－,－,4,－,3,89,16
機械／回転機械／印刷機械ローラーにはさまれ,20,5,6,－,4,2,－,－,85,18,24,4,－,20,－,－,－,－,18,1,16,428,76
機械／回転機械／その他の回転機械・かくはん機,26,9,9,1,2,6,－,－,112,24,25,7,3,25,－,－,－,－,26,2,29,515,109
機械／ベルトコンベアーにはさまれ・まき込まれ,13,4,6,2,1,3,－,－,57,10,10,4,4,13,－,－,－,－,12,4,18,280,89
機械／コンクリートミキサー等機械にはさまれ,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
機械／その他の機械／自動販売機等,2,1,1,－,－,1,－,－,7,1,1,1,－,2,－,－,－,－,2,－,－,39,－
機械／その他の機械／その他,41,17,18,2,4,7,2,3,179,37,38,8,5,44,－,－,2,－,41,4,62,829,309
建物・工作物,727,418,438,75,122,75,140,26,2223,549,367,118,49,516,－,－,－,－,600,24,1025,10734,5018
建物・工作物／建物・工作物／居室等閉じ込められ,361,180,193,17,37,17,115,7,1102,282,206,42,28,227,－,－,－,－,309,8,398,5393,2071
建物・工作物／建物・工作物／ドア等にはさまれ,54,31,31,－,2,22,7,－,189,36,31,15,4,50,－,－,－,－,52,1,90,897,436
建物・工作物／家庭器具・洗濯機・扇風機等にはさまれ,18,13,13,1,－,10,2,－,59,16,8,2,－,17,－,－,－,－,15,1,41,304,193
建物・工作物／その他建物内事故(階段が狭く搬出不能),294,194,201,57,83,26,16,19,873,215,122,59,17,222,－,－,－,－,224,14,496,4140,2318
崩かい,33,15,15,6,5,－,2,2,182,44,35,5,4,42,1,－,2,－,33,16,90,864,422
崩かい／土砂くずれ,6,4,3,2,1,－,－,－,43,13,5,1,2,9,1,－,1,－,6,5,34,208,163
崩かい／建物・工作物の倒かい,12,4,5,3,－,－,2,－,67,13,13,2,1,17,－,－,1,－,12,8,28,314,124
崩かい／工事作業車(クレーン車等)の倒転,6,4,4,－,2,－,－,2,32,8,7,1,－,7,－,－,－,－,6,3,17,150,84
崩かい／荷くずれ,8,3,3,1,2,－,－,－,35,8,9,1,1,8,－,－,－,－,8,－,11,170,51
崩かい／物体の飛来落下,1,－,－,－,－,－,－,－,5,2,1,－,－,1,－,－,－,－,1,－,－,22,－
墜落,137,96,98,32,38,9,2,17,547,136,106,20,16,128,－,－,－,－,130,11,348,2604,1693
墜落／高所からの転落,54,39,39,10,20,5,－,4,210,56,36,9,4,51,－,－,－,－,50,4,139,1012,669
墜落／地下への転落,37,27,29,9,14,4,－,2,156,38,36,3,2,36,－,－,－,－,36,5,112,735,549
墜落／飛び降り自損等,46,30,30,13,4,－,2,11,181,42,34,8,10,41,－,－,－,－,44,2,97,857,475
ガス,40,10,11,－,5,3,2,1,162,35,28,10,7,42,－,－,－,－,39,1,36,777,173
ガス／酸欠等／酸素欠乏,2,－,－,－,－,－,－,－,9,1,2,1,1,2,－,－,－,－,2,－,－,43,－
ガス／酸欠等／シンナー中毒等,4,1,2,－,1,1,－,－,17,2,4,2,－,5,－,－,－,－,4,－,4,83,17
ガス／一酸化炭素中毒,2,2,2,－,1,1,－,－,8,－,1,2,1,2,－,－,－,－,2,－,8,40,40
ガス／自損行為によるガス中毒,13,3,3,－,2,1,－,－,52,11,9,2,3,14,－,－,－,－,13,－,10,243,47
ガス／高圧ガス(塩素・アンモニア)中毒,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
ガス／爆発,1,－,－,－,－,－,－,－,8,3,1,－,－,2,－,－,－,－,1,1,－,37,－
ガス／その他,18,4,4,－,1,－,2,1,68,18,11,3,2,17,－,－,－,－,17,－,14,331,69
電気,3,3,3,1,1,－,－,1,14,4,2,－,1,4,－,－,－,－,3,－,14,66,66
電気／感電／柱上,2,2,2,－,1,－,－,1,10,3,1,－,1,3,－,－,－,－,2,－,10,47,47
電気／感電／その他,1,1,1,1,－,－,－,－,4,1,1,－,－,1,－,－,－,－,1,－,4,19,19
山岳,54,43,44,5,16,18,－,5,287,84,24,1,－,79,1,1,7,－,47,43,199,1190,843
山岳／沢に転落・滑落,13,10,12,2,7,2,－,1,81,19,2,－,－,25,－,1,1,－,12,21,48,302,179
山岳／傷病,20,17,18,1,4,11,－,2,99,32,12,－,－,26,－,－,3,－,17,9,79,435,365
山岳／その他,21,16,14,2,5,5,－,2,107,33,10,1,－,28,1,－,3,－,18,13,72,453,299
その他,469,271,283,12,59,147,54,11,1396,385,157,92,21,422,1,－,－,－,264,54,650,6168,2893
その他／土管・ヒューム管にはさまれ,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
その他／自転車のリム等にはさまれ,110,32,38,－,－,36,2,－,326,84,31,20,1,107,－,－,－,－,78,5,80,1477,390
その他／自動車内での病気になった等,149,125,127,4,27,76,17,3,340,115,18,32,1,137,－,－,－,－,33,4,260,1386,1041
その他／その他の屋外での事故,210,114,118,8,32,35,35,8,730,186,108,40,19,178,1,－,－,－,153,45,310,3305,1462
