"応援を行った消防本部",応援救急隊名,出場件数・合計,出場件数・搬送,出場件数・不搬送・小計,出場件数・不搬送・現場処置,出場件数・不搬送・不救護,救護人員・計,救護人員・搬送,救護人員・現場処置,搬送人員（程度別）・死亡,搬送人員（程度別）・重篤,搬送人員（程度別）・重症,搬送人員（程度別）・中等症,搬送人員（程度別）・軽症
秩父,,0,0,0,0,0,0,0,0,0,0,0,0,0
埼玉西部,　救急三ヶ島１,2,2,0,0,0,2,2,0,0,0,0,0,2
埼玉西部,　救急入間２,1,0,1,0,1,0,0,0,0,0,0,0,0
埼玉西部,　救急藤沢１,1,1,0,0,0,1,1,0,0,0,0,0,1
埼玉県南西部,　朝霞Ａ,3,3,0,0,0,3,3,0,0,0,0,1,2
埼玉県南西部,　浜崎Ａ,2,2,0,0,0,2,2,0,0,0,0,0,2
埼玉県南西部,　和光Ａ,21,19,3,1,2,27,26,1,0,0,0,1,25
埼玉県南西部,　白子Ａ,15,13,2,1,1,15,14,1,0,0,0,2,12
埼玉県南西部,　新座Ａ,5,4,1,1,0,7,6,1,0,0,0,2,4
埼玉県南西部,　片山Ａ,1,1,0,0,0,1,1,0,0,0,0,0,1
埼玉県南西部,　大和田Ａ,4,3,1,0,1,3,3,,0,0,1,0,2
上野原市,,0,0,0,0,0,0,0,0,0,0,0,0,0
東山梨,,0,0,0,0,0,0,0,0,0,0,0,0,0
大月市,,0,0,0,0,0,0,0,0,0,0,0,0,0
都留市,,0,0,0,0,0,0,0,0,0,0,0,0,0
富士五湖,,0,0,0,0,0,0,0,0,0,0,0,0,0
