"年月[西暦]","調査項目","設問","方法","調査回答者の属性種別","調査回答者の属性","調査数[人]","利用したことがある[人]","実際に利用したことはないが、利用すると思う","利用しないと思う[人]","無回答[人]"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","５　インターネットを使用して解決方法を検索する","居住地区別","高輪地区","146","38","46","46","16"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","５　インターネットを使用して解決方法を検索する","居住地区別","芝浦港南地区","139","40","50","35","14"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","５　インターネットを使用して解決方法を検索する","居住地区別","無回答","19","2","2","3","12"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","５　インターネットを使用して解決方法を検索する","住居形態別","持家（一戸建）","64","13","21","18","12"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","５　インターネットを使用して解決方法を検索する","住居形態別","持家（マンション）","267","68","82","86","31"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","５　インターネットを使用して解決方法を検索する","住居形態別","借家（一戸建）","9","1","4","4","0"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","５　インターネットを使用して解決方法を検索する","住居形態別","民間の賃貸マンション・アパート","151","54","43","30","24"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","５　インターネットを使用して解決方法を検索する","住居形態別","都営住宅・区営住宅・区立住宅","26","5","6","13","2"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","５　インターネットを使用して解決方法を検索する","住居形態別","ＵＲ（旧公団）・公社の賃貸住宅","11","3","5","1","2"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","５　インターネットを使用して解決方法を検索する","住居形態別","社宅・公務員宿舎","10","1","5","3","1"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","５　インターネットを使用して解決方法を検索する","住居形態別","寮・寄宿舎・住み込み・間借り","4","0","0","2","2"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","５　インターネットを使用して解決方法を検索する","住居形態別","その他","5","0","0","5","0"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","５　インターネットを使用して解決方法を検索する","住居形態別","無回答","11","0","0","0","11"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","５　インターネットを使用して解決方法を検索する","定住意向別","ずっと住み続けていたい","279","56","80","101","42"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","５　インターネットを使用して解決方法を検索する","定住意向別","当分は住んでいたい","203","66","63","44","30"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","５　インターネットを使用して解決方法を検索する","定住意向別","しばらくは住むつもりだが将来は区外に転居したい","45","16","13","10","6"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","５　インターネットを使用して解決方法を検索する","定住意向別","近いうちに区外に転居したいが、具体的な計画はない","5","1","3","1","0"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","５　インターネットを使用して解決方法を検索する","定住意向別","近いうちに区外に転居する予定である","13","4","4","1","4"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","５　インターネットを使用して解決方法を検索する","定住意向別","わからない","10","2","3","4","1"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","５　インターネットを使用して解決方法を検索する","定住意向別","無回答","3","0","0","1","2"

"第33回港区民世論調査クロス集計表・自殺対策Q29-5","Ver202203",,,,,,,,,
