調査項目,回答,全体(人),健康・体力づくりのため(人),楽しみや気晴らしのため(人),運動不足解消のため(人),精神の修養や訓練のため（心をきたえるため）(人),自己の記録や能力を向上させるため(人),リハビリテーションや医療・治療のため(人),家族のふれあいのため(人),友人・仲間との交流のため(人),美容や肥満解消（ダイエット）のため(人),障害者スポーツ大会に参加するため(人),その他(人),わからない(人)
放課後の居場所,習いごと（スイミングやサッカー等のスポーツ系）,57,36,33,32,13,15,7,12,24,5,2,2,1
放課後の居場所,習いごと（音楽や習字等の芸術系）,39,13,18,14,8,15,9,10,19,5,1,2,0
放課後の居場所,児童通所サービス（放課後等デイサービス　等）,128,89,75,74,20,21,22,25,44,13,4,3,2
放課後の居場所,学童保育,28,16,11,12,10,11,8,5,14,6,0,0,0
放課後の居場所,広場や公園,34,19,24,20,5,20,9,11,23,7,3,2,0
放課後の居場所,学校（校庭や体育館）,34,24,26,22,7,8,4,9,16,1,1,1,0
放課後の居場所,児童館や図書館などの公共施設,14,11,12,12,1,7,3,6,10,3,2,0,0
放課後の居場所,その他,7,6,5,6,0,2,0,2,4,0,0,0,0
障害福祉サービスの利用状況,利用していない,1380,1036,594,759,133,86,159,91,140,154,6,30,49
障害福祉サービスの利用状況,居宅介護（ホームヘルプ）,134,84,58,62,21,25,45,8,13,8,4,1,2
障害福祉サービスの利用状況,重度訪問介護,14,8,9,7,5,4,3,0,1,2,1,0,0
障害福祉サービスの利用状況,同行援護,49,30,24,28,12,13,10,6,10,6,4,0,0
障害福祉サービスの利用状況,行動援護,65,36,31,33,13,13,11,7,11,7,3,0,1
障害福祉サービスの利用状況,重度障害者等包括支援,24,5,6,6,8,6,4,0,4,3,1,0,0
障害福祉サービスの利用状況,短期入所（ショートステイ）,72,39,34,33,13,13,23,5,12,3,2,1,2
障害福祉サービスの利用状況,療養介護,21,11,8,11,9,4,8,3,6,2,1,0,0
障害福祉サービスの利用状況,生活介護,47,27,19,25,8,7,23,8,6,2,1,0,0
障害福祉サービスの利用状況,施設入所支援,19,9,11,8,0,5,6,2,3,2,0,0,1
障害福祉サービスの利用状況,自立訓練,47,33,16,21,10,8,16,4,7,1,0,1,2
障害福祉サービスの利用状況,就労移行支援,37,33,12,23,9,6,12,5,5,6,1,0,0
障害福祉サービスの利用状況,就労継続支援（A型）,21,15,13,9,2,6,3,1,2,1,0,0,0
障害福祉サービスの利用状況,就労継続支援（B型）,63,49,30,33,8,4,6,2,9,12,0,1,0
障害福祉サービスの利用状況,就労定着支援,14,10,8,7,5,1,3,1,3,4,0,0,0
障害福祉サービスの利用状況,自立生活援助,35,22,15,21,11,6,9,6,9,5,2,0,0
障害福祉サービスの利用状況,共同生活援助（グループホーム）,19,13,11,9,4,3,6,2,1,3,0,0,1
障害福祉サービスの利用状況,計画相談支援,41,30,26,27,9,4,12,6,12,8,3,1,2
障害福祉サービスの利用状況,地域相談支援,41,32,18,29,7,9,14,4,13,6,3,1,0
障害福祉サービスの利用状況,移動支援,54,37,20,35,7,7,15,6,9,3,6,0,0
障害福祉サービスの利用状況,地域活動支援センター,60,49,30,31,7,8,21,6,12,8,3,1,0
障害福祉サービスの利用状況,福祉ホーム,17,10,10,5,0,8,6,1,5,3,0,0,0
障害福祉サービスの利用状況,児童発達支援,48,33,23,30,10,16,10,15,19,7,3,1,0
障害福祉サービスの利用状況,医療型児童発達支援,10,6,6,3,5,1,5,2,4,0,1,0,0
障害福祉サービスの利用状況,放課後等デイサービス,143,99,76,80,18,22,34,27,44,9,3,3,2
障害福祉サービスの利用状況,居宅訪問型児童発達支援,8,4,2,5,1,4,5,2,4,1,2,0,1
障害福祉サービスの利用状況,保育所等訪問支援,4,3,2,2,1,2,1,0,1,1,0,0,0
障害福祉サービスの利用状況,訪問看護,74,54,28,43,9,7,34,3,7,9,2,1,0
障害福祉サービスの利用状況,訪問リハビリテーション,76,58,24,36,9,5,53,3,6,3,3,0,2
過去1年間の実施種目,ウォーキング、散歩（散策、ペットの散歩など）,1595,1249,704,909,176,112,257,135,165,171,11,22,48
過去1年間の実施種目,体操（ラジオ体操、職場体操、ストレッチ、エアロビクス、ヨガ、ピラティス、縄跳びなど）,531,435,248,334,86,71,133,57,102,92,5,7,7
過去1年間の実施種目,室内運動器具（ウエイト器具、ランニングマシーン、バランスボールなど）を用いる運動,285,211,117,167,56,48,74,22,45,56,2,5,4
過去1年間の実施種目,陸上競技（ランニング、ジョギングなどの軽い運動も含めます）,170,120,99,93,44,39,23,24,55,27,5,8,3
過去1年間の実施種目,水泳・遊泳（水中歩行・水中運動）,293,216,158,174,48,45,53,52,77,35,6,7,1
過去1年間の実施種目,ブラインドサッカー,24,10,11,9,11,7,12,1,9,7,1,0,1
過去1年間の実施種目,車いすテニス,15,8,6,5,7,3,7,1,6,3,3,0,2
過去1年間の実施種目,サウンドテーブルテニス,26,8,12,7,6,15,11,2,9,4,1,0,0
過去1年間の実施種目,パラバレーボール,26,7,9,7,8,13,10,2,10,7,3,0,1
過去1年間の実施種目,車いすバスケットボール,19,10,9,8,7,8,10,1,8,3,2,0,0
過去1年間の実施種目,車いすラグビー,13,3,5,1,5,6,6,1,5,2,0,0,0
過去1年間の実施種目,ボッチャ,50,32,32,23,8,5,13,10,18,8,3,2,0
過去1年間の実施種目,球技（キャッチボールなどのボールを使った軽い運動も含めます）,124,87,87,69,21,25,13,25,51,9,7,6,2
過去1年間の実施種目,ダンス（フォークダンス、ジャズダンス、社交ダンス、フラダンス、バレエ、民謡踊りなど）,94,63,65,51,23,19,16,18,40,16,3,4,0
過去1年間の実施種目,格闘技（ボクシング、レスリング、相撲（すもう）など）,19,10,12,10,5,9,8,2,9,4,0,1,0
過去1年間の実施種目,武道（柔道、剣道、空手、合気道など）,24,14,13,10,12,9,4,1,10,5,1,1,0
過去1年間の実施種目,射的（弓道、アーチェリー、ダーツ、スポーツ吹矢など）,15,8,8,7,5,7,8,1,9,3,1,0,1
過去1年間の実施種目,ウィンタースポーツ（スキー、スノーボード、スケートなど）,47,32,37,21,7,8,5,12,24,3,1,2,0
過去1年間の実施種目,ウォータースポーツ（ボート、ヨット、スキンダイビング、スクーバダイビング、カヌー、水上バイク、サーフィン、ウィンドサーフィン、ボディボード、ボードセーリングなど）,38,26,25,20,14,8,10,5,16,7,1,2,0
過去1年間の実施種目,スカイスポーツ（ハンググライダー、パラグライダー、スカイダイビングなど）,13,4,8,4,4,5,5,1,7,3,0,0,0
過去1年間の実施種目,アウトドアスポーツ（ハイキング、ワンダーフォーゲル、釣り、登山、キャンプなど）,105,83,76,67,21,17,20,23,44,19,1,2,1
過去1年間の実施種目,サイクリング、モーター（サイクル）スポーツ,114,85,73,73,31,24,27,24,27,25,4,5,1
過去1年間の実施種目,運動あそび（鬼ごっこ、かくれんぼ、鉄棒、ぶらんこなど）,134,99,89,80,16,25,19,47,55,9,2,5,0
過去1年間の実施種目,ゲーム機を使い体を動かして行うスポーツ・フィットネス等,79,59,49,52,12,14,10,22,24,25,1,1,1
過去1年間の実施種目,その他,53,35,27,30,4,5,9,4,14,7,0,6,3
過去1年間の実施種目,この1年間に運動・スポーツは行わなかった,0,0,0,0,0,0,0,0,0,0,0,0,0
実施頻度（1年間）,週3日以上（年151日以上）,604,501,262,342,76,63,103,42,76,68,5,16,3
実施頻度（1年間）,週2日程度（年101日～150日）,429,318,220,256,72,53,80,34,72,48,5,4,1
実施頻度（1年間）,週1日程度（年51日～100日）,506,360,195,263,53,37,90,32,47,51,3,9,6
実施頻度（1年間）,月に1～3日程度（年12日～50日）,280,188,126,159,21,16,38,27,35,28,1,2,3
実施頻度（1年間）,3か月に1～2日程度（年4日～11日）,75,40,38,32,9,9,13,9,13,9,1,1,3
実施頻度（1年間）,年に1～3日程度,52,26,18,18,3,0,6,4,5,4,1,0,3
実施頻度（1年間）,わからない,145,70,31,39,6,4,10,6,6,9,1,4,42
実施した場所,自宅,829,667,356,506,103,76,184,72,97,112,6,9,16
実施した場所,道路や遊歩道,1083,875,504,675,116,71,182,87,100,130,4,22,13
実施した場所,広場や公園,633,512,366,422,96,65,106,101,106,67,4,11,5
実施した場所,民間のスポーツ施設,314,231,172,169,61,55,54,39,75,40,8,5,1
実施した場所,公共のスポーツ施設（障害者専用施設）,130,73,71,60,35,30,37,12,35,7,6,1,0
実施した場所,公共のスポーツ施設（障害者専用施設以外）,241,180,125,150,48,42,49,29,64,48,7,3,2
実施した場所,小中高校の体育施設,128,91,85,69,26,26,17,26,54,13,3,7,1
実施した場所,特別支援学校の体育施設,85,55,46,45,15,22,21,14,31,7,5,3,0
実施した場所,職場のスポーツ施設,35,19,15,16,14,11,14,2,14,6,1,1,0
実施した場所,福祉施設,64,44,34,33,11,11,31,9,20,6,2,1,0
実施した場所,児童通所サービス（放課後等デイサービス等）,87,61,52,54,18,18,18,20,34,7,2,2,2
実施した場所,医療機関（病院やリハビリ施設）,68,47,25,40,7,8,53,8,9,9,2,1,0
実施した場所,山・川・海・空,171,135,130,111,31,32,26,48,63,26,4,4,0
実施した場所,その他,44,33,23,22,4,3,10,3,5,6,0,4,0
実施した場所,わからない,47,8,7,4,0,0,1,0,1,2,0,0,32
一緒に実施する人,一人,1133,917,451,673,123,84,194,48,89,161,6,18,18
一緒に実施する人,家族,762,588,419,451,88,59,126,154,115,71,5,9,7
一緒に実施する人,福祉施設の職員・仲間,174,125,93,100,28,24,67,16,37,13,2,2,0
一緒に実施する人,障害がある人のサークル・障害者スポーツサークル等の仲間,91,48,50,41,24,26,28,11,25,5,7,1,1
一緒に実施する人,障害がある人やない人など様々な人がいるサークルの仲間,107,59,50,56,35,31,31,10,40,11,4,2,1
一緒に実施する人,スポーツ教室の指導者・仲間,151,99,83,72,28,39,32,18,49,25,4,4,1
一緒に実施する人,障害者専用スポーツ施設の職員・仲間,61,25,23,32,21,14,23,6,22,6,4,1,0
一緒に実施する人,地域の公共スポーツ施設の職員・仲間,48,26,24,24,11,16,16,6,20,10,3,0,0
一緒に実施する人,ボランティアの人たち,54,36,30,31,13,18,17,6,22,12,4,0,0
一緒に実施する人,学校の先生や学校の友達,150,108,95,79,20,28,13,36,68,9,7,10,0
一緒に実施する人,児童通所サービス（放課後等デイサービス等）の職員・仲間,86,63,50,52,15,16,14,20,33,7,2,2,1
一緒に実施する人,その他の友人・知人,137,103,88,90,16,19,26,20,70,24,3,5,1
一緒に実施する人,その他,35,22,13,25,3,0,19,2,4,5,0,3,0
一緒に実施する人,わからない,40,3,1,1,0,0,1,0,0,0,0,1,36
実施したきっかけ,家族に奨められた,561,462,254,315,56,38,93,69,61,53,7,2,7
実施したきっかけ,（障害のある）友人・知人・同僚に奨められた,101,85,67,55,24,17,22,16,28,9,6,1,0
実施したきっかけ,（障害のない）友人・知人・同僚に奨められた,119,77,73,72,27,22,24,13,44,16,2,1,1
実施したきっかけ,医師に奨められた,500,400,190,314,65,38,163,43,52,75,2,4,1
実施したきっかけ,看護師に奨められた,114,72,54,63,25,22,47,8,22,14,2,1,0
実施したきっかけ,作業療法士（OT）に奨められた,100,62,36,48,27,21,52,13,20,6,2,1,1
実施したきっかけ,理学療法士（PT）に奨められた,128,83,32,61,22,20,69,9,20,13,3,0,1
実施したきっかけ,言語聴覚士（ST）に奨められた,39,12,18,15,16,12,15,6,15,7,1,0,1
実施したきっかけ,視能訓練士（CO）に奨められた,21,3,6,6,8,12,7,0,7,3,0,0,0
実施したきっかけ,義肢装具士に奨められた,15,6,4,7,5,5,8,0,6,4,1,0,0
実施したきっかけ,介護福祉士に奨められた,43,29,18,21,10,12,22,5,15,5,1,0,0
実施したきっかけ,社会福祉士（ソーシャルワーカー）に奨められた,49,36,22,24,14,7,21,8,13,5,2,0,0
実施したきっかけ,スポーツ指導者に奨められた,20,13,13,9,3,7,6,4,8,2,2,0,0
実施したきっかけ,パラスポーツ指導員（旧障害者スポーツ指導員）に奨められた,19,8,4,8,6,8,7,2,6,6,3,0,0
実施したきっかけ,学校の先生に奨められた,57,41,37,37,12,12,10,17,28,8,5,2,0
実施したきっかけ,学校の授業等で興味を持ち、自主的に始めた,64,48,44,34,14,18,8,20,32,3,3,3,0
実施したきっかけ,所属する団体（会社等）に奨められた,17,13,12,9,4,2,5,3,8,2,1,0,0
実施したきっかけ,障害のある有名選手・パラアスリートの影響,14,7,7,8,4,5,5,3,7,1,3,0,0
実施したきっかけ,障害のない有名選手・アスリートの影響,13,8,9,6,6,6,5,3,8,5,0,0,0
実施したきっかけ,テレビや新聞の影響,66,59,37,51,16,12,16,10,17,16,1,1,0
実施したきっかけ,インターネットや動画配信を見て,81,63,52,61,24,18,19,17,16,25,2,2,0
実施したきっかけ,ＳＮＳの影響,40,33,22,26,12,8,8,5,8,13,1,0,0
実施したきっかけ,漫画、ドラマ、映画等の影響,20,15,13,12,8,7,5,3,9,8,0,0,0
実施したきっかけ,現地やテレビ等でそのスポーツを観た,22,15,15,14,3,12,5,4,12,4,1,1,0
実施したきっかけ,スポーツ団体等の関係者から誘われた,11,8,8,6,4,5,4,3,5,3,2,0,0
実施したきっかけ,スポーツイベントや体験会等で興味を持った,18,14,10,14,8,5,5,5,10,4,2,1,0
実施したきっかけ,スポーツ以外をテーマとするイベント（福祉祭り等の中の講演や体験会等）で興味を持った,6,4,4,3,2,1,1,1,3,1,1,0,1
実施したきっかけ,福祉施設で実施している運動プログラムに参加して,36,27,25,28,5,6,14,8,12,3,1,0,0
実施したきっかけ,行政の広報誌,15,14,10,11,5,1,4,1,6,4,0,1,0
実施したきっかけ,その他,89,62,40,55,10,15,21,5,13,14,1,16,3
実施したきっかけ,特にきっかけはない・なんとなく,676,485,301,358,51,31,41,42,56,63,3,12,45
スポーツ・運動への取組意向,スポーツや運動を行っており、満足している,834,676,413,435,101,84,110,63,129,83,8,11,8
スポーツ・運動への取組意向,スポーツや運動を行っているが、もっと行いたい,578,414,255,350,85,58,116,47,72,65,8,10,4
スポーツ・運動への取組意向,スポーツや運動を行いたいと思うができない,396,265,139,223,41,29,92,33,41,56,1,5,9
スポーツ・運動への取組意向,スポーツや運動に関心はない,283,148,83,101,13,11,22,11,12,13,0,10,40
実施していない理由,医師に止められており、身体的にできない,0,0,0,0,0,0,0,0,0,0,0,0,0
実施していない理由,どのくらい体を動かしたらよいかわからない,0,0,0,0,0,0,0,0,0,0,0,0,0
実施していない理由,身近なところにスポーツや運動ができる場所がない,0,0,0,0,0,0,0,0,0,0,0,0,0
実施していない理由,スポーツや運動ができる場所への移動手段がない,0,0,0,0,0,0,0,0,0,0,0,0,0
実施していない理由,自分に合ったスポーツや運動の情報がない,0,0,0,0,0,0,0,0,0,0,0,0,0
実施していない理由,一緒にできる仲間がいない,0,0,0,0,0,0,0,0,0,0,0,0,0
実施していない理由,介助者がいない,0,0,0,0,0,0,0,0,0,0,0,0,0
実施していない理由,金銭的な余裕がない,0,0,0,0,0,0,0,0,0,0,0,0,0
実施していない理由,時間がない,0,0,0,0,0,0,0,0,0,0,0,0,0
実施していない理由,必要な競技用具や補助具がない,0,0,0,0,0,0,0,0,0,0,0,0,0
実施していない理由,その他,0,0,0,0,0,0,0,0,0,0,0,0,0
実施していない理由,活動したいと思わない,0,0,0,0,0,0,0,0,0,0,0,0,0
活動したいと思わない理由,スポーツ・運動が嫌いだから,0,0,0,0,0,0,0,0,0,0,0,0,0
活動したいと思わない理由,スポーツ・運動に興味がないから,0,0,0,0,0,0,0,0,0,0,0,0,0
活動したいと思わない理由,スポーツ・運動を楽しんだ経験がないから,0,0,0,0,0,0,0,0,0,0,0,0,0
活動したいと思わない理由,疲れるから,0,0,0,0,0,0,0,0,0,0,0,0,0
活動したいと思わない理由,人前に出るのが好きではないから,0,0,0,0,0,0,0,0,0,0,0,0,0
活動したいと思わない理由,学校の体育や部活動等で苦手意識を持ったから,0,0,0,0,0,0,0,0,0,0,0,0,0
活動したいと思わない理由,一緒に運動・スポーツする人に迷惑をかけるのではないかと心配だから,0,0,0,0,0,0,0,0,0,0,0,0,0
活動したいと思わない理由,スポーツ以外に趣味があるから,0,0,0,0,0,0,0,0,0,0,0,0,0
活動したいと思わない理由,忙しいから,0,0,0,0,0,0,0,0,0,0,0,0,0
活動したいと思わない理由,その他,0,0,0,0,0,0,0,0,0,0,0,0,0
活動したいと思わない理由,わからない,0,0,0,0,0,0,0,0,0,0,0,0,0
学校体育の参加状況,参加していて、体育が好きである,241,171,151,124,39,45,25,46,90,13,7,6,1
学校体育の参加状況,参加しているが、体育は好きではない,111,64,43,52,19,11,9,16,19,11,1,6,2
学校体育の参加状況,参加していない,22,11,9,7,3,2,3,5,1,1,1,0,1
学校体育の参加状況,わからない,17,10,3,4,0,1,0,2,1,0,0,0,4
学校体育に参加しない理由,授業の内容のとおりに身体を動かすことができないから,5,3,3,3,2,1,2,2,0,0,0,0,0
学校体育に参加しない理由,自分にはできないと思ったから,6,4,2,1,1,0,1,0,0,0,0,0,0
学校体育に参加しない理由,他の生徒や先生に迷惑をかけると思ったから,6,2,2,3,2,2,2,3,0,0,0,0,0
学校体育に参加しない理由,参加するために必要なスポーツ用具がなかったから,1,0,0,1,0,0,0,0,0,0,0,0,0
学校体育に参加しない理由,医師から止められていたから,0,0,0,0,0,0,0,0,0,0,0,0,0
学校体育に参加しない理由,学校の先生から見学するように言われたから,2,1,1,1,1,1,1,1,0,0,1,0,0
学校体育に参加しない理由,身体を動かすことが怖いから,2,0,1,0,0,0,0,0,0,0,0,0,1
学校体育に参加しない理由,その他,5,4,3,2,0,0,0,2,1,1,0,0,0
スポーツ・運動の参加方法,現地の会場で対面での参加,936,721,466,527,121,98,154,92,181,96,12,15,3
スポーツ・運動の参加方法,リモート参加,110,58,36,42,23,18,20,2,9,15,1,1,1
スポーツ・運動の参加方法,ハイブリッド（現地参加とリモート参加の両方から選択できる）,195,131,97,104,31,20,41,26,29,26,3,1,3
スポーツ・運動の参加方法,参加したいと思わない,850,593,291,436,65,46,125,34,35,80,1,19,54
参加したいスポーツ活動,ルールが簡単,736,611,383,426,105,77,107,86,107,85,8,10,9
参加したいスポーツ活動,自分のペースに合わせてできる,1218,980,614,769,144,98,214,119,157,143,13,18,5
参加したいスポーツ活動,汗をかかない,110,71,46,62,19,16,26,8,15,20,0,1,1
参加したいスポーツ活動,自宅で実施できる,424,333,179,300,61,47,125,38,47,74,3,6,1
参加したいスポーツ活動,短い時間で実施できる,539,415,261,362,73,57,123,54,61,75,1,10,4
参加したいスポーツ活動,上達したことが分かる,310,231,176,194,66,62,64,50,80,48,5,6,3
参加したいスポーツ活動,ゲーム機を使い体を動かして行なうスポーツ・フィットネス等,167,114,81,97,33,26,38,23,28,47,3,4,1
参加したいスポーツ活動,好きな種目を選べる,388,300,239,260,68,62,84,57,102,66,7,12,0
参加したいスポーツ活動,やったことがないスポーツを試せる,122,93,80,79,28,35,28,20,41,25,7,2,0
参加したいスポーツ活動,予約や申し込みなしに、参加したいときに参加できる,287,234,153,202,62,42,57,41,60,60,5,7,2
参加したいスポーツ活動,有名な選手に会える,72,55,48,44,16,15,15,13,27,14,4,3,1
参加したいスポーツ活動,親子で一緒に参加ができる,122,83,82,76,23,23,31,44,48,15,3,2,0
参加したいスポーツ活動,新しい友達をつくることができる,221,179,145,150,44,41,43,40,77,35,4,3,1
参加したいスポーツ活動,スポーツ以外に芸術・文化的なパフォーマンスも楽しめる,107,82,69,74,30,23,31,20,33,27,3,4,1
参加したいスポーツ活動,失敗しても笑われたり恥ずかしい思いをしない,282,232,173,204,66,48,59,51,73,59,4,7,0
参加したいスポーツ活動,新しい道具やウェアを買わなくてよい,252,204,140,191,42,26,67,33,44,57,3,8,1
参加したいスポーツ活動,その他,33,24,13,21,3,3,7,0,5,9,0,7,3
参加したいスポーツ活動,どのようなスポーツや運動でも参加したいと思わない,274,171,72,107,12,8,30,7,8,24,0,5,39
スポーツ・運動の継続実施に必要なもの,スタジアム、体育館などの建物や設備のバリアフリー化,344,296,184,197,47,40,70,40,60,36,5,8,0
スポーツ・運動の継続実施に必要なもの,交通機関（電車やバス）やまちのバリアフリー化,375,299,192,219,64,43,105,43,58,44,5,8,2
スポーツ・運動の継続実施に必要なもの,会場までの送迎,360,291,194,223,51,50,96,53,63,40,7,6,1
スポーツ・運動の継続実施に必要なもの,障害者への施設開放の促進（障害者が優先的に使える施設が増える）,274,193,136,161,64,49,74,41,51,42,5,7,0
スポーツ・運動の継続実施に必要なもの,障害にあわせた教室やプログラム,463,352,250,300,76,53,117,75,91,58,8,12,1
スポーツ・運動の継続実施に必要なもの,介助者や手話通訳などの支援,120,78,66,70,28,20,38,25,34,21,5,4,1
スポーツ・運動の継続実施に必要なもの,障害に対応した情報の提供や問合せ方法の充実,232,179,124,155,52,43,71,35,48,39,7,6,1
スポーツ・運動の継続実施に必要なもの,施設や用具等を利用する際に必要な手続きの支援,138,107,82,101,34,29,47,25,30,29,4,2,0
