調査項目,回答,全体(人),必要とする(人),必要としない(人)
スポーツ以外に関心のある事,スマートフォン・家庭用ゲーム機によるゲーム,136,52,84
スポーツ以外に関心のある事,写真の撮影,71,27,44
スポーツ以外に関心のある事,遊園地・動物園・水族館などの見物,72,32,40
スポーツ以外に関心のある事,美術鑑賞,98,32,66
スポーツ以外に関心のある事,コンサートなどによる音楽鑑賞,102,35,67
スポーツ以外に関心のある事,演劇・舞踏鑑賞,60,22,38
スポーツ以外に関心のある事,カラオケ,87,35,52
スポーツ以外に関心のある事,楽器の演奏,39,15,24
スポーツ以外に関心のある事,料理・菓子作り,71,19,52
スポーツ以外に関心のある事,園芸・ガーデニング,68,22,46
スポーツ以外に関心のある事,日曜大工,29,9,20
スポーツ以外に関心のある事,編み物・手芸,36,13,23
スポーツ以外に関心のある事,和裁・洋裁,12,3,9
スポーツ以外に関心のある事,大道芸や手品等の鑑賞,6,4,2
スポーツ以外に関心のある事,ギャンブル,38,12,26
スポーツ以外に関心のある事,その他,45,14,31
スポーツ以外に関心のある事,特にない,114,60,54
情報入手先,家族,438,184,254
情報入手先,友人,209,75,134
情報入手先,学校や職場、施設の人,118,62,56
情報入手先,ボランティア,21,15,6
情報入手先,ホームヘルパー、ガイドヘルパーなどの支援者,123,89,34
情報入手先,医師や看護師、理学療法士、作業療法士などの医療関係者,167,82,85
情報入手先,テレビ,558,193,365
情報入手先,ラジオ,129,53,76
情報入手先,新聞,193,58,135
情報入手先,雑誌,56,17,39
情報入手先,障害者団体の会合や機関誌,23,16,7
情報入手先,検索エンジンを活用（Yahoo!、Googleなど）,222,57,165
情報入手先,インターネットのニュースサイトやニュースアプリ,358,81,277
情報入手先,ＳＮＳ（X（旧Twitter）、Facebook、Instagram、TikTokなど）,192,55,137
情報入手先,動画配信サービス（YouTubeなど）,164,53,111
情報入手先,行政の窓口,54,20,34
情報入手先,区市町村などの広報誌,91,26,65
情報入手先,その他,9,4,5
情報入手先,わからない,22,12,10
情報入手先,得ていない,59,24,35
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,実際に体を動かして行う、スポーツやフィットネスのゲーム（「ニンテンドースイッチスポーツ」や「リングフィットアドベンチャー」、「ウィーフィット」など）,112,56,56
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,実際に体を動かして行う、スポーツ以外のゲーム（「太鼓の達人」、「ドラゴンクエストソード」など）,89,50,39
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,指先など体の一部を動かして一般的なコントローラーを操作して行うゲーム（ポケットモンスター、スプラトゥーン、マインクラフト、ぷよぷよなど）,187,72,115
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,指先など体の一部を動かして障害の状態に応じた入力装置（フレックスコントローラーや視線入力装置、個人用にカスタムされたスイッチ等）を操作して行うゲーム（ポケットモンスター、スプラトゥーン、マインクラフト、ぷよぷよなど）,65,31,34
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,やったことはない,723,259,464
家庭用ゲーム機を使って行うスポーツ・フィットネス等の興味関心,やりたい,217,87,130
家庭用ゲーム機を使って行うスポーツ・フィットネス等の興味関心,やりたくない,704,253,451
デフリンピックの認知度,よく内容を知っている,63,48,15
デフリンピックの認知度,見たり聞いたりしたことがある,242,88,154
デフリンピックの認知度,知らない,728,260,468
デフリンピックに期待すること,競技観戦,118,63,55
デフリンピックに期待すること,記録の更新,60,34,26
デフリンピックに期待すること,日本人選手の活躍,229,85,144
デフリンピックに期待すること,外国人選手の活躍,52,21,31
デフリンピックに期待すること,国際交流の促進,86,36,50
デフリンピックに期待すること,大会記念グッズの展開,30,22,8
デフリンピックに期待すること,日本東京の観光、伝統文化や食などの海外発信,64,30,34
デフリンピックに期待すること,競技体験,26,14,12
デフリンピックに期待すること,大会への子供の参加,41,23,18
デフリンピックに期待すること,デジタル技術を活用したコミュニケーション,56,26,30
デフリンピックに期待すること,手話の普及と理解の促進,53,18,35
デフリンピックに期待すること,デフスポーツの普及と理解の促進,100,38,62
デフリンピックに期待すること,障害や障害者への理解の促進,192,80,112
デフリンピックに期待すること,その他,9,3,6
デフリンピックに期待すること,期待するものはない,556,196,360
