調査項目,回答,全体(人),週3日以上（年151日以上）(人),週2日程度（年101日～150日）(人),週1日程度（年51日～100日）(人),月に1～3日程度（年12日～50日）(人),3か月に1～2日程度（年4日～11日）(人),年に1～3日程度(人),わからない(人)
障害の程度別,障害者手帳は持っていない,1123,196,147,179,96,21,23,72
障害が発生した年齢２,出生時,852,142,117,154,93,26,11,60
障害が発生した年齢２,１０歳未満,340,66,68,61,35,6,4,17
障害が発生した年齢２,１０歳～１９歳,226,38,21,39,24,7,5,9
障害が発生した年齢２,２０歳以上,1808,358,223,252,128,36,32,59
障害が発生した年齢２,中途障害,2374,462,312,352,187,49,41,85
受傷の時期,生まれたとき,603,142,117,154,93,26,11,60
受傷の時期,生まれた後,1488,462,312,352,187,49,41,85
学校の種別,小学校の普通学校（通常学級のみに在籍）,77,19,17,26,4,3,1,7
学校の種別,小学校の普通学校（通級による指導あり）,32,8,12,6,2,1,0,3
学校の種別,小学校の普通学校（特別支援学級）,73,14,26,16,13,2,0,2
学校の種別,小学校の特別支援学校（養護学校・盲学校・ろう学校）,34,8,11,11,2,0,2,0
学校の種別,中学校の普通学校（通常学級のみに在籍）,32,12,7,3,4,1,2,3
学校の種別,中学校の普通学校（通級による指導あり）,14,2,3,1,6,0,1,1
学校の種別,中学校の普通学校（特別支援学級）,29,6,6,10,2,4,0,1
学校の種別,中学校の特別支援学校（養護学校・盲学校・ろう学校）,29,4,7,6,5,1,1,5
学校の種別,高等学校の普通学校（通常学級のみに在籍）,34,9,7,9,5,0,1,3
学校の種別,高等学校の普通学校（通級による指導あり）,8,0,2,4,2,0,0,0
学校の種別,高等学校の特別支援学校（養護学校・盲学校・ろう学校）,29,4,7,7,6,0,1,4
学校の種別,大学・短期大学,25,12,2,7,1,1,0,2
学校の種別,特別支援学校高等部専攻科、高等学校専攻科,10,2,1,2,3,0,0,2
学校の種別,職業能力開発校、障害者職業能力開発校等,7,2,1,2,1,1,0,0
学校の種別,なし,80,19,8,19,20,6,2,6
仕事の有無,仕事をしている,894,282,164,220,116,38,26,48
仕事の有無,仕事をしていない,1077,300,248,253,134,32,20,90
仕事の有無,福祉的就労をしている（就労移行支援、就労継続支援Ａ型・Ｂ型、就労定着支援）,120,22,17,33,30,5,6,7
平日・日中の居場所,自分の家,1098,339,217,260,130,37,24,91
平日・日中の居場所,職場（一般企業など）,506,148,96,130,68,22,17,25
平日・日中の居場所,職場（福祉的就労（就労移行支援、就労継続支援Ａ型・Ｂ型、就労定着支援）の施設）,74,10,11,20,24,1,3,5
平日・日中の居場所,学校,282,75,80,69,32,6,4,16
平日・日中の居場所,通所施設（生活介護、デイケアなど）,85,20,15,20,19,7,2,2
平日・日中の居場所,入所施設,28,5,5,7,4,2,2,3
平日・日中の居場所,その他,18,7,5,0,3,0,0,3
放課後の居場所,自分の家,345,55,69,64,33,8,6,21
放課後の居場所,習いごと（塾や英会話等の学習系）,75,19,19,18,3,2,1,3
放課後の居場所,習いごと（スイミングやサッカー等のスポーツ系）,59,14,17,19,4,0,1,2
放課後の居場所,習いごと（音楽や習字等の芸術系）,41,12,11,9,5,1,1,0
放課後の居場所,児童通所サービス（放課後等デイサービス　等）,156,25,44,26,18,4,5,6
放課後の居場所,学童保育,34,5,14,4,2,0,2,1
放課後の居場所,広場や公園,35,13,14,5,1,0,1,0
放課後の居場所,学校（校庭や体育館）,35,13,13,5,2,0,1,0
放課後の居場所,児童館や図書館などの公共施設,16,4,6,2,1,0,1,0
放課後の居場所,その他,8,2,1,2,1,1,0,0
障害福祉サービスの利用状況,利用していない,1380,450,246,308,182,46,35,113
障害福祉サービスの利用状況,居宅介護（ホームヘルプ）,134,28,40,39,16,6,3,2
障害福祉サービスの利用状況,重度訪問介護,14,5,3,4,2,0,0,0
障害福祉サービスの利用状況,同行援護,49,11,16,14,6,1,1,0
障害福祉サービスの利用状況,行動援護,65,9,15,25,8,3,3,2
障害福祉サービスの利用状況,重度障害者等包括支援,24,5,3,10,6,0,0,0
障害福祉サービスの利用状況,短期入所（ショートステイ）,72,10,18,17,19,1,3,4
障害福祉サービスの利用状況,療養介護,21,3,5,10,1,1,1,0
障害福祉サービスの利用状況,生活介護,47,9,13,10,10,1,2,2
障害福祉サービスの利用状況,施設入所支援,19,3,5,5,3,2,1,0
障害福祉サービスの利用状況,自立訓練,47,6,15,15,6,2,0,3
障害福祉サービスの利用状況,就労移行支援,37,15,8,7,3,1,1,2
障害福祉サービスの利用状況,就労継続支援（A型）,21,5,3,9,1,1,0,2
障害福祉サービスの利用状況,就労継続支援（B型）,63,13,9,19,17,0,3,2
障害福祉サービスの利用状況,就労定着支援,14,4,3,3,1,3,0,0
障害福祉サービスの利用状況,自立生活援助,35,8,9,13,3,0,2,0
障害福祉サービスの利用状況,共同生活援助（グループホーム）,19,5,3,3,2,4,1,1
障害福祉サービスの利用状況,計画相談支援,41,13,9,7,4,3,1,4
障害福祉サービスの利用状況,地域相談支援,41,10,11,14,3,1,1,1
障害福祉サービスの利用状況,移動支援,54,14,10,16,6,3,3,2
障害福祉サービスの利用状況,地域活動支援センター,60,11,20,17,7,0,4,1
障害福祉サービスの利用状況,福祉ホーム,17,3,8,4,2,0,0,0
障害福祉サービスの利用状況,児童発達支援,48,12,16,11,3,3,2,1
障害福祉サービスの利用状況,医療型児童発達支援,10,2,2,4,1,0,0,1
障害福祉サービスの利用状況,放課後等デイサービス,143,32,45,30,20,5,3,8
障害福祉サービスの利用状況,居宅訪問型児童発達支援,8,2,2,2,1,0,1,0
障害福祉サービスの利用状況,保育所等訪問支援,4,2,2,0,0,0,0,0
障害福祉サービスの利用状況,訪問看護,74,16,22,20,10,3,2,1
障害福祉サービスの利用状況,訪問リハビリテーション,76,22,20,16,11,2,1,4
過去1年間の実施種目,ウォーキング、散歩（散策、ペットの散歩など）,1595,496,326,365,206,46,31,125
過去1年間の実施種目,体操（ラジオ体操、職場体操、ストレッチ、エアロビクス、ヨガ、ピラティス、縄跳びなど）,531,192,145,111,50,9,4,20
過去1年間の実施種目,室内運動器具（ウエイト器具、ランニングマシーン、バランスボールなど）を用いる運動,285,94,72,78,26,6,4,5
過去1年間の実施種目,陸上競技（ランニング、ジョギングなどの軽い運動も含めます）,170,61,50,33,14,5,1,6
過去1年間の実施種目,水泳・遊泳（水中歩行・水中運動）,293,74,75,71,45,16,4,8
過去1年間の実施種目,ブラインドサッカー,24,6,6,8,1,1,0,2
過去1年間の実施種目,車いすテニス,15,3,6,1,1,0,1,3
過去1年間の実施種目,サウンドテーブルテニス,26,4,11,6,1,3,0,1
過去1年間の実施種目,パラバレーボール,26,7,8,4,2,2,2,1
過去1年間の実施種目,車いすバスケットボール,19,7,5,2,1,3,0,1
過去1年間の実施種目,車いすラグビー,13,2,6,3,2,0,0,0
過去1年間の実施種目,ボッチャ,50,21,11,4,8,1,2,3
過去1年間の実施種目,球技（キャッチボールなどのボールを使った軽い運動も含めます）,124,45,30,17,21,4,1,6
過去1年間の実施種目,ダンス（フォークダンス、ジャズダンス、社交ダンス、フラダンス、バレエ、民謡踊りなど）,94,29,25,21,13,2,1,3
過去1年間の実施種目,格闘技（ボクシング、レスリング、相撲（すもう）など）,19,8,8,1,1,0,1,0
過去1年間の実施種目,武道（柔道、剣道、空手、合気道など）,24,10,7,4,3,0,0,0
過去1年間の実施種目,射的（弓道、アーチェリー、ダーツ、スポーツ吹矢など）,15,6,4,1,2,1,0,1
過去1年間の実施種目,ウィンタースポーツ（スキー、スノーボード、スケートなど）,47,15,14,9,5,2,2,0
過去1年間の実施種目,ウォータースポーツ（ボート、ヨット、スキンダイビング、スクーバダイビング、カヌー、水上バイク、サーフィン、ウィンドサーフィン、ボディボード、ボードセーリングなど）,38,14,10,5,8,0,1,0
過去1年間の実施種目,スカイスポーツ（ハンググライダー、パラグライダー、スカイダイビングなど）,13,5,4,3,0,0,1,0
過去1年間の実施種目,アウトドアスポーツ（ハイキング、ワンダーフォーゲル、釣り、登山、キャンプなど）,105,32,23,24,17,5,1,3
過去1年間の実施種目,サイクリング、モーター（サイクル）スポーツ,114,46,20,24,16,4,2,2
過去1年間の実施種目,運動あそび（鬼ごっこ、かくれんぼ、鉄棒、ぶらんこなど）,134,35,39,29,18,5,1,7
過去1年間の実施種目,ゲーム機を使い体を動かして行うスポーツ・フィットネス等,79,22,15,21,10,3,3,5
過去1年間の実施種目,その他,53,18,5,10,10,4,2,4
過去1年間の実施種目,この1年間に運動・スポーツは行わなかった,0,0,0,0,0,0,0,0
実施した場所,自宅,829,281,174,190,94,18,20,52
実施した場所,道路や遊歩道,1083,374,241,242,117,27,22,60
実施した場所,広場や公園,633,191,154,156,91,16,6,19
実施した場所,民間のスポーツ施設,314,84,88,92,33,12,1,4
実施した場所,公共のスポーツ施設（障害者専用施設）,130,26,40,39,15,6,3,1
実施した場所,公共のスポーツ施設（障害者専用施設以外）,241,48,61,52,54,15,4,7
実施した場所,小中高校の体育施設,128,47,37,25,9,3,2,5
実施した場所,特別支援学校の体育施設,85,20,32,14,11,2,4,2
実施した場所,職場のスポーツ施設,35,11,13,4,5,1,0,1
実施した場所,福祉施設,64,14,17,23,7,0,2,1
実施した場所,児童通所サービス（放課後等デイサービス等）,87,25,29,16,9,2,3,3
実施した場所,医療機関（病院やリハビリ施設）,68,27,12,19,6,1,0,3
実施した場所,山・川・海・空,171,47,43,33,23,15,6,4
実施した場所,その他,44,12,10,8,8,3,3,0
実施した場所,わからない,47,1,1,4,2,3,1,35
一緒に実施する人,一人,1133,433,215,234,127,30,22,72
一緒に実施する人,家族,762,182,179,186,118,34,18,45
一緒に実施する人,福祉施設の職員・仲間,174,44,48,49,22,5,3,3
一緒に実施する人,障害がある人のサークル・障害者スポーツサークル等の仲間,91,20,29,26,10,4,1,1
一緒に実施する人,障害がある人やない人など様々な人がいるサークルの仲間,107,27,31,25,19,3,1,1
一緒に実施する人,スポーツ教室の指導者・仲間,151,38,48,42,15,3,2,3
一緒に実施する人,障害者専用スポーツ施設の職員・仲間,61,12,21,14,8,3,2,1
一緒に実施する人,地域の公共スポーツ施設の職員・仲間,48,13,17,11,4,2,1,0
一緒に実施する人,ボランティアの人たち,54,8,21,14,8,1,1,1
一緒に実施する人,学校の先生や学校の友達,150,53,49,26,10,4,2,6
一緒に実施する人,児童通所サービス（放課後等デイサービス等）の職員・仲間,86,20,34,13,13,1,2,3
一緒に実施する人,その他の友人・知人,137,34,23,33,29,12,3,3
一緒に実施する人,その他,35,13,5,11,3,0,1,2
一緒に実施する人,わからない,40,0,2,5,1,2,2,28
実施した理由,健康・体力づくりのため,1503,501,318,360,188,40,26,70
実施した理由,楽しみや気晴らしのため,890,262,220,195,126,38,18,31
実施した理由,運動不足解消のため,1109,342,256,263,159,32,18,39
実施した理由,精神の修養や訓練のため（心をきたえるため）,240,76,72,53,21,9,3,6
実施した理由,自己の記録や能力を向上させるため,182,63,53,37,16,9,0,4
実施した理由,リハビリテーションや医療・治療のため,340,103,80,90,38,13,6,10
実施した理由,家族のふれあいのため,154,42,34,32,27,9,4,6
実施した理由,友人・仲間との交流のため,254,76,72,47,35,13,5,6
実施した理由,美容や肥満解消（ダイエット）のため,217,68,48,51,28,9,4,9
実施した理由,障害者スポーツ大会に参加するため,17,5,5,3,1,1,1,1
実施した理由,その他,36,16,4,9,2,1,0,4
実施した理由,わからない,61,3,1,6,3,3,3,42
実施したきっかけ,家族に奨められた,561,152,143,127,81,13,16,29
実施したきっかけ,（障害のある）友人・知人・同僚に奨められた,101,28,32,27,7,3,1,3
実施したきっかけ,（障害のない）友人・知人・同僚に奨められた,119,34,26,34,16,8,0,1
実施したきっかけ,医師に奨められた,500,147,120,129,66,12,9,17
実施したきっかけ,看護師に奨められた,114,27,28,38,12,2,4,3
実施したきっかけ,作業療法士（OT）に奨められた,100,21,35,24,13,4,0,3
実施したきっかけ,理学療法士（PT）に奨められた,128,31,33,36,17,5,1,5
実施したきっかけ,言語聴覚士（ST）に奨められた,39,9,14,9,1,2,1,3
実施したきっかけ,視能訓練士（CO）に奨められた,21,5,10,2,4,0,0,0
実施したきっかけ,義肢装具士に奨められた,15,4,6,3,0,0,2,0
実施したきっかけ,介護福祉士に奨められた,43,7,21,10,5,0,0,0
実施したきっかけ,社会福祉士（ソーシャルワーカー）に奨められた,49,6,15,15,10,2,0,1
実施したきっかけ,スポーツ指導者に奨められた,20,2,9,6,3,0,0,0
実施したきっかけ,パラスポーツ指導員（旧障害者スポーツ指導員）に奨められた,19,5,7,4,1,1,1,0
実施したきっかけ,学校の先生に奨められた,57,9,19,14,11,2,1,1
実施したきっかけ,学校の授業等で興味を持ち、自主的に始めた,64,26,17,11,6,4,0,0
実施したきっかけ,所属する団体（会社等）に奨められた,17,2,6,4,5,0,0,0
実施したきっかけ,障害のある有名選手・パラアスリートの影響,14,3,5,5,1,0,0,0
実施したきっかけ,障害のない有名選手・アスリートの影響,13,3,6,4,0,0,0,0
実施したきっかけ,テレビや新聞の影響,66,29,15,13,6,1,0,2
実施したきっかけ,インターネットや動画配信を見て,81,25,22,18,11,2,3,0
実施したきっかけ,ＳＮＳの影響,40,7,7,14,8,2,1,1
実施したきっかけ,漫画、ドラマ、映画等の影響,20,5,7,7,1,0,0,0
実施したきっかけ,現地やテレビ等でそのスポーツを観た,22,6,8,5,3,0,0,0
実施したきっかけ,スポーツ団体等の関係者から誘われた,11,5,2,4,0,0,0,0
実施したきっかけ,スポーツイベントや体験会等で興味を持った,18,5,6,3,3,0,1,0
実施したきっかけ,スポーツ以外をテーマとするイベント（福祉祭り等の中の講演や体験会等）で興味を持った,6,1,1,1,2,0,1,0
実施したきっかけ,福祉施設で実施している運動プログラムに参加して,36,8,11,9,6,0,1,1
実施したきっかけ,行政の広報誌,15,3,8,2,1,0,1,0
実施したきっかけ,その他,89,38,17,13,10,1,1,9
実施したきっかけ,特にきっかけはない・なんとなく,676,218,106,134,89,31,19,79
スポーツ・運動への取組意向,スポーツや運動を行っており、満足している,834,345,178,198,70,7,6,30
スポーツ・運動への取組意向,スポーツや運動を行っているが、もっと行いたい,578,145,156,149,89,17,8,14
スポーツ・運動への取組意向,スポーツや運動を行いたいと思うができない,396,57,65,97,80,36,26,35
スポーツ・運動への取組意向,スポーツや運動に関心はない,283,57,30,62,41,15,12,66
実施していない理由,医師に止められており、身体的にできない,0,0,0,0,0,0,0,0
実施していない理由,どのくらい体を動かしたらよいかわからない,0,0,0,0,0,0,0,0
実施していない理由,身近なところにスポーツや運動ができる場所がない,0,0,0,0,0,0,0,0
実施していない理由,スポーツや運動ができる場所への移動手段がない,0,0,0,0,0,0,0,0
実施していない理由,自分に合ったスポーツや運動の情報がない,0,0,0,0,0,0,0,0
実施していない理由,一緒にできる仲間がいない,0,0,0,0,0,0,0,0
実施していない理由,介助者がいない,0,0,0,0,0,0,0,0
実施していない理由,金銭的な余裕がない,0,0,0,0,0,0,0,0
実施していない理由,時間がない,0,0,0,0,0,0,0,0
実施していない理由,必要な競技用具や補助具がない,0,0,0,0,0,0,0,0
実施していない理由,その他,0,0,0,0,0,0,0,0
実施していない理由,活動したいと思わない,0,0,0,0,0,0,0,0
活動したいと思わない理由,スポーツ・運動が嫌いだから,0,0,0,0,0,0,0,0
活動したいと思わない理由,スポーツ・運動に興味がないから,0,0,0,0,0,0,0,0
活動したいと思わない理由,スポーツ・運動を楽しんだ経験がないから,0,0,0,0,0,0,0,0
活動したいと思わない理由,疲れるから,0,0,0,0,0,0,0,0
活動したいと思わない理由,人前に出るのが好きではないから,0,0,0,0,0,0,0,0
活動したいと思わない理由,学校の体育や部活動等で苦手意識を持ったから,0,0,0,0,0,0,0,0
活動したいと思わない理由,一緒に運動・スポーツする人に迷惑をかけるのではないかと心配だから,0,0,0,0,0,0,0,0
活動したいと思わない理由,スポーツ以外に趣味があるから,0,0,0,0,0,0,0,0
活動したいと思わない理由,忙しいから,0,0,0,0,0,0,0,0
活動したいと思わない理由,その他,0,0,0,0,0,0,0,0
活動したいと思わない理由,わからない,0,0,0,0,0,0,0,0
学校体育の参加状況,参加していて、体育が好きである,241,70,78,56,23,5,3,6
学校体育の参加状況,参加しているが、体育は好きではない,111,13,21,37,21,4,3,12
学校体育の参加状況,参加していない,22,2,4,4,6,2,1,3
学校体育の参加状況,わからない,17,1,2,2,1,1,2,8
学校体育に参加しない理由,授業の内容のとおりに身体を動かすことができないから,5,0,1,1,2,1,0,0
学校体育に参加しない理由,自分にはできないと思ったから,6,2,1,2,1,0,0,0
学校体育に参加しない理由,他の生徒や先生に迷惑をかけると思ったから,6,0,1,0,4,0,0,1
学校体育に参加しない理由,参加するために必要なスポーツ用具がなかったから,1,0,0,1,0,0,0,0
学校体育に参加しない理由,医師から止められていたから,0,0,0,0,0,0,0,0
学校体育に参加しない理由,学校の先生から見学するように言われたから,2,0,0,0,1,0,1,0
学校体育に参加しない理由,身体を動かすことが怖いから,2,0,0,0,0,0,0,2
学校体育に参加しない理由,その他,5,0,2,1,1,1,0,0
スポーツ・運動の参加方法,現地の会場で対面での参加,936,257,221,241,139,33,19,26
スポーツ・運動の参加方法,リモート参加,110,23,26,41,13,4,3,0
スポーツ・運動の参加方法,ハイブリッド（現地参加とリモート参加の両方から選択できる）,195,42,44,56,30,9,5,9
スポーツ・運動の参加方法,参加したいと思わない,850,282,138,168,98,29,25,110
参加したいスポーツ活動,ルールが簡単,736,210,163,179,102,19,17,46
参加したいスポーツ活動,自分のペースに合わせてできる,1218,358,267,303,176,45,19,50
参加したいスポーツ活動,汗をかかない,110,28,26,24,12,7,5,8
参加したいスポーツ活動,自宅で実施できる,424,130,101,95,62,12,8,16
参加したいスポーツ活動,短い時間で実施できる,539,133,115,131,97,24,11,28
参加したいスポーツ活動,上達したことが分かる,310,79,84,79,35,16,8,9
参加したいスポーツ活動,ゲーム機を使い体を動かして行なうスポーツ・フィットネス等,167,34,43,48,23,7,3,9
参加したいスポーツ活動,好きな種目を選べる,388,104,111,82,55,22,8,6
参加したいスポーツ活動,やったことがないスポーツを試せる,122,28,37,22,16,10,6,3
参加したいスポーツ活動,予約や申し込みなしに、参加したいときに参加できる,287,77,75,60,45,15,7,8
参加したいスポーツ活動,有名な選手に会える,72,16,19,13,10,4,3,7
参加したいスポーツ活動,親子で一緒に参加ができる,122,20,33,31,22,10,4,2
参加したいスポーツ活動,新しい友達をつくることができる,221,54,68,48,26,15,3,7
参加したいスポーツ活動,スポーツ以外に芸術・文化的なパフォーマンスも楽しめる,107,25,27,24,13,13,4,1
参加したいスポーツ活動,失敗しても笑われたり恥ずかしい思いをしない,282,69,70,60,55,19,6,3
参加したいスポーツ活動,新しい道具やウェアを買わなくてよい,252,58,58,55,50,15,5,11
参加したいスポーツ活動,その他,33,14,3,4,4,0,1,7
参加したいスポーツ活動,どのようなスポーツや運動でも参加したいと思わない,274,93,40,43,29,9,11,49
スポーツ・運動の継続実施に必要なもの,スタジアム、体育館などの建物や設備のバリアフリー化,344,108,85,77,43,15,7,9
スポーツ・運動の継続実施に必要なもの,交通機関（電車やバス）やまちのバリアフリー化,375,117,94,81,42,20,12,9
スポーツ・運動の継続実施に必要なもの,会場までの送迎,360,101,92,85,48,17,3,14
スポーツ・運動の継続実施に必要なもの,障害者への施設開放の促進（障害者が優先的に使える施設が増える）,274,59,78,62,44,19,5,7
スポーツ・運動の継続実施に必要なもの,障害にあわせた教室やプログラム,463,108,117,115,74,22,10,17
スポーツ・運動の継続実施に必要なもの,介助者や手話通訳などの支援,120,24,33,29,17,7,4,6
スポーツ・運動の継続実施に必要なもの,障害に対応した情報の提供や問合せ方法の充実,232,61,64,54,31,11,7,4
スポーツ・運動の継続実施に必要なもの,施設や用具等を利用する際に必要な手続きの支援,138,38,44,29,16,8,2,1
スポーツ・運動の継続実施に必要なもの,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進,109,28,27,35,8,5,4,2
スポーツ・運動の継続実施に必要なもの,健康や体調を管理する医療的なサポート,280,69,71,75,42,12,6,5
スポーツ・運動の継続実施に必要なもの,目標となる大会やイベント,136,43,34,30,15,11,1,2
スポーツ・運動の継続実施に必要なもの,スポーツ用具等の貸出し,172,41,39,45,28,10,4,5
スポーツ・運動の継続実施に必要なもの,施設の利用料減免　（利用料が安くなったり、無料になったりする）,314,93,73,64,53,17,6,8
スポーツ・運動の継続実施に必要なもの,リモートにより、障害に応じたスポーツ・運動を指導してくれる支援、またはその充実,89,24,26,13,19,3,2,2
スポーツ・運動の継続実施に必要なもの,自宅でもできる、障害に応じたスポーツ・運動方法についての情報提供、またはその充実,258,76,59,56,42,12,4,9
スポーツ・運動の継続実施に必要なもの,一緒に行う仲間（障害の無い人）,331,74,83,79,59,16,8,12
スポーツ・運動の継続実施に必要なもの,一緒に行う仲間（自分と同じ障害のある人）,291,72,75,67,43,17,7,10
スポーツ・運動の継続実施に必要なもの,一緒に行う仲間（自分と異なる障害のある人）,157,38,45,32,21,11,3,7
スポーツ・運動の継続実施に必要なもの,適切な指導者やコーチ、トレーナー,356,98,96,79,54,9,4,16
スポーツ・運動の継続実施に必要なもの,その他,44,17,8,8,6,1,1,3
スポーツ・運動の継続実施に必要なもの,特にない,362,133,50,76,46,12,11,34
スポーツ・運動の継続実施に必要なもの,わからない,247,68,40,50,24,7,6,52
新たに別のスポーツ・運動を始めるために必要な支援,スタジアム、体育館などの建物や設備のバリアフリー化,245,89,48,63,25,10,6,4
新たに別のスポーツ・運動を始めるために必要な支援,交通機関（電車やバス）やまちのバリアフリー化,228,80,48,53,25,6,7,9
新たに別のスポーツ・運動を始めるために必要な支援,会場までの送迎,321,93,80,80,46,10,4,8
新たに別のスポーツ・運動を始めるために必要な支援,障害者への施設開放の促進（障害者が優先的に使える施設が増える）,159,40,37,47,22,7,4,2
新たに別のスポーツ・運動を始めるために必要な支援,障害にあわせた教室やプログラム,340,83,88,84,50,15,7,13
新たに別のスポーツ・運動を始めるために必要な支援,介助者や手話通訳などの支援,65,10,21,15,13,3,1,2
新たに別のスポーツ・運動を始めるために必要な支援,障害に対応した情報の提供や問合せ方法の充実,142,34,33,38,23,8,5,1
新たに別のスポーツ・運動を始めるために必要な支援,施設や用具等を利用する際に必要な手続きの支援,75,23,18,18,8,6,0,2
新たに別のスポーツ・運動を始めるために必要な支援,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進,54,12,13,15,3,1,5,5
新たに別のスポーツ・運動を始めるために必要な支援,健康や体調を管理する医療的なサポート,186,44,34,61,29,5,8,5
新たに別のスポーツ・運動を始めるために必要な支援,目標となる大会やイベント,85,24,22,18,16,1,1,3
新たに別のスポーツ・運動を始めるために必要な支援,スポーツ用具等の貸出し,102,32,21,27,12,3,2,5
新たに別のスポーツ・運動を始めるために必要な支援,施設の利用料減免（利用料が安くなったり、無料になったりする）,245,66,64,57,36,9,6,7
新たに別のスポーツ・運動を始めるために必要な支援,リモートにより、障害に応じたスポーツ・運動を指導してくれる支援、またはその充実,50,15,12,10,9,2,1,1
新たに別のスポーツ・運動を始めるために必要な支援,自宅でもできる、障害に応じたスポーツ・運動方法についての情報提供、またはその充実,146,33,39,39,23,5,3,4
新たに別のスポーツ・運動を始めるために必要な支援,一緒に行う仲間（障害の無い人）,197,47,43,54,38,6,4,5
新たに別のスポーツ・運動を始めるために必要な支援,一緒に行う仲間（自分と同じ障害のある人）,164,38,42,41,27,8,2,6
新たに別のスポーツ・運動を始めるために必要な支援,一緒に行う仲間（自分と異なる障害のある人）,47,11,11,9,7,4,1,4
新たに別のスポーツ・運動を始めるために必要な支援,適切な指導者やコーチ、トレーナー,303,85,84,67,45,10,3,9
新たに別のスポーツ・運動を始めるために必要な支援,その他,23,5,8,3,3,2,0,2
新たに別のスポーツ・運動を始めるために必要な支援,特にない,396,149,60,77,51,15,10,34
新たに別のスポーツ・運動を始めるために必要な支援,わからない,249,71,35,48,24,7,8,56
スポーツを始めるきっかけとして必要な支援,スタジアム、体育館などの建物や設備のバリアフリー化,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,交通機関（電車やバス）やまちのバリアフリー化,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,会場までの送迎,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,障害者への施設開放の促進（障害者が優先的に使える施設が増える）,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,障害にあわせた教室やプログラム,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,介助者や手話通訳などの支援,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,障害に対応した情報の提供や問合せ方法の充実,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,施設や用具等を利用する際に必要な手続きの支援,0,0,0,0,0,0,0,0
