調査項目,回答,全体(人),医師に止められており、身体的にできない(人),どのくらい体を動かしたらよいかわからない(人),身近なところにスポーツや運動ができる場所がない(人),スポーツや運動ができる場所への移動手段がない(人),自分に合ったスポーツや運動の情報がない(人),一緒にできる仲間がいない(人),介助者がいない(人),金銭的な余裕がない(人),時間がない(人),必要な競技用具や補助具がない(人),その他(人),活動したいと思わない(人)
車椅子の必要性,必要とする,238,43,13,15,10,18,9,38,18,7,22,29,118
車椅子の必要性,必要としない,244,32,22,15,17,28,22,20,25,20,11,25,128
障害者手帳の有無,持っている,746,94,52,48,30,60,65,70,83,62,34,60,411
障害者手帳の有無,持っていない,389,33,22,13,10,29,31,23,34,28,8,27,255
障害種別,身体障害者手帳　1級,188,33,14,15,5,13,12,23,13,14,9,21,83
障害種別,身体障害者手帳　2級,97,13,4,5,5,6,3,12,10,10,5,12,52
障害種別,身体障害者手帳　3級,89,14,8,4,2,8,5,9,8,4,4,6,54
障害種別,身体障害者手帳　4級,66,10,8,4,7,8,6,9,8,5,8,7,32
障害種別,身体障害者手帳　5級,28,4,2,1,1,2,3,0,2,0,1,1,16
障害種別,身体障害者手帳　6級,26,5,2,0,1,0,4,2,2,3,0,4,14
障害種別,療育手帳（愛の手帳）1度（最重度）,9,1,1,0,0,0,0,1,0,0,0,2,5
障害種別,療育手帳（愛の手帳）2度（重度）,29,2,2,7,1,8,5,8,5,4,2,1,6
障害種別,療育手帳（愛の手帳）3度（中度）,18,0,0,1,1,0,3,1,1,1,2,0,13
障害種別,療育手帳（愛の手帳）4度（軽度）,49,1,1,3,2,9,9,5,5,6,1,0,34
障害種別,精神障害者保健福祉手帳　1級,8,3,0,1,2,1,1,2,2,1,1,1,1
障害種別,精神障害者保健福祉手帳　2級,87,4,8,3,4,5,5,3,17,7,2,5,61
障害種別,精神障害者保健福祉手帳　3級,81,7,5,6,3,6,11,1,14,10,2,4,52
障害種別,障害者手帳は持っていない,389,33,22,13,10,29,31,23,34,28,8,27,255
障害の程度別,重度,311,49,19,26,10,23,19,41,27,26,15,34,142
障害の程度別,軽度,435,45,33,22,20,37,46,29,56,36,19,26,269
障害の程度別,障害者手帳は持っていない,389,33,22,13,10,29,31,23,34,28,8,27,255
受傷の時期,生まれたとき,249,20,12,17,6,21,23,23,15,17,7,9,152
受傷の時期,生まれた後,886,107,62,44,34,68,73,70,102,73,35,78,514
学校の種別,小学校の普通学校（通常学級のみに在籍）,12,0,1,1,0,0,2,0,0,1,0,0,8
学校の種別,小学校の普通学校（通級による指導あり）,6,0,0,1,0,1,5,2,0,1,0,0,1
学校の種別,小学校の普通学校（特別支援学級）,13,1,0,2,1,2,2,3,1,1,1,0,7
学校の種別,小学校の特別支援学校（養護学校・盲学校・ろう学校）,14,0,0,2,0,1,2,6,2,2,0,1,5
学校の種別,中学校の普通学校（通常学級のみに在籍）,12,1,1,1,0,0,2,0,0,0,0,0,7
学校の種別,中学校の普通学校（通級による指導あり）,2,0,0,0,0,2,1,1,0,0,0,0,0
学校の種別,中学校の普通学校（特別支援学級）,10,1,2,2,1,0,2,0,2,0,1,0,6
学校の種別,中学校の特別支援学校（養護学校・盲学校・ろう学校）,11,0,0,1,0,4,2,3,3,2,2,0,3
学校の種別,高等学校の普通学校（通常学級のみに在籍）,16,2,2,0,0,2,3,0,2,2,0,0,11
学校の種別,高等学校の普通学校（通級による指導あり）,4,0,0,0,0,1,0,0,0,0,0,0,3
学校の種別,高等学校の特別支援学校（養護学校・盲学校・ろう学校）,13,0,1,2,0,1,2,1,1,2,0,0,8
学校の種別,大学・短期大学,12,2,3,2,2,1,2,0,0,4,0,0,5
学校の種別,特別支援学校高等部専攻科、高等学校専攻科,4,0,0,0,0,1,0,0,1,2,0,0,2
学校の種別,職業能力開発校、障害者職業能力開発校等,0,0,0,0,0,0,0,0,0,0,0,0,0
学校の種別,なし,56,1,3,2,1,2,4,4,4,4,1,2,43
仕事の有無,仕事をしている,333,22,17,17,13,26,36,11,42,56,7,21,201
仕事の有無,仕事をしていない,744,100,54,37,25,59,55,76,69,33,35,64,428
仕事の有無,福祉的就労をしている（就労移行支援、就労継続支援Ａ型・Ｂ型、就労定着支援）,58,5,3,7,2,4,5,6,6,1,0,2,37
平日・日中の居場所,自分の家,745,98,54,31,25,52,57,60,75,35,26,54,450
平日・日中の居場所,職場（一般企業など）,171,6,6,9,4,13,15,2,21,36,4,11,106
平日・日中の居場所,職場（福祉的就労（就労移行支援、就労継続支援Ａ型・Ｂ型、就労定着支援）の施設）,28,2,1,5,0,3,3,4,3,0,0,0,16
平日・日中の居場所,学校,80,3,6,10,2,11,14,12,9,16,3,1,38
平日・日中の居場所,通所施設（生活介護、デイケアなど）,50,5,5,2,4,8,2,5,3,2,2,4,31
平日・日中の居場所,入所施設,41,11,1,3,4,2,2,8,4,1,6,11,13
平日・日中の居場所,その他,20,2,1,1,1,0,3,2,2,0,1,6,12
放課後の居場所,自分の家,89,4,6,8,1,10,19,9,6,5,4,0,53
放課後の居場所,習いごと（塾や英会話等の学習系）,10,1,0,0,0,1,3,0,0,1,0,0,5
放課後の居場所,習いごと（スイミングやサッカー等のスポーツ系）,2,0,0,0,0,0,0,0,0,1,0,0,1
放課後の居場所,習いごと（音楽や習字等の芸術系）,2,0,0,0,0,0,0,0,0,0,0,0,2
放課後の居場所,児童通所サービス（放課後等デイサービス　等）,28,0,2,6,1,5,6,7,4,4,2,1,11
放課後の居場所,学童保育,6,0,0,1,1,1,2,3,2,3,0,0,0
放課後の居場所,広場や公園,1,0,0,0,0,0,0,0,0,0,0,0,1
放課後の居場所,学校（校庭や体育館）,1,0,0,0,0,0,0,0,0,1,0,0,0
放課後の居場所,児童館や図書館などの公共施設,2,0,0,0,0,0,0,0,0,0,0,0,2
放課後の居場所,その他,1,0,0,0,0,0,0,0,0,0,0,0,1
障害福祉サービスの利用状況,利用していない,737,66,45,29,19,50,65,38,76,70,17,41,467
障害福祉サービスの利用状況,居宅介護（ホームヘルプ）,88,16,9,4,3,7,5,17,6,4,7,11,45
障害福祉サービスの利用状況,重度訪問介護,15,1,1,3,0,0,0,1,0,0,0,3,7
障害福祉サービスの利用状況,同行援護,21,1,1,4,1,2,4,4,1,1,3,1,9
障害福祉サービスの利用状況,行動援護,16,3,1,0,2,2,2,2,2,1,2,1,7
障害福祉サービスの利用状況,重度障害者等包括支援,5,1,1,2,1,1,0,0,0,0,0,0,2
障害福祉サービスの利用状況,短期入所（ショートステイ）,69,11,7,6,4,6,6,14,8,3,6,7,35
障害福祉サービスの利用状況,療養介護,13,3,2,1,4,1,2,3,1,0,3,5,5
障害福祉サービスの利用状況,生活介護,38,6,2,5,4,8,3,5,3,1,4,7,17
障害福祉サービスの利用状況,施設入所支援,24,4,2,1,2,2,1,6,3,0,6,8,7
障害福祉サービスの利用状況,自立訓練,18,5,2,1,1,2,1,2,2,1,1,5,4
障害福祉サービスの利用状況,就労移行支援,5,0,1,0,0,0,0,0,1,0,0,0,5
障害福祉サービスの利用状況,就労継続支援（A型）,2,1,0,0,0,0,0,0,0,0,0,0,1
障害福祉サービスの利用状況,就労継続支援（B型）,26,3,2,4,3,4,3,6,5,2,0,2,12
障害福祉サービスの利用状況,就労定着支援,5,0,0,0,0,1,1,0,0,0,0,0,3
障害福祉サービスの利用状況,自立生活援助,10,1,1,4,1,3,2,0,3,0,0,3,2
障害福祉サービスの利用状況,共同生活援助（グループホーム）,14,3,0,1,2,4,3,3,2,2,1,2,5
障害福祉サービスの利用状況,計画相談支援,10,1,0,0,0,0,1,3,0,0,0,1,5
障害福祉サービスの利用状況,地域相談支援,16,2,0,0,0,2,0,1,0,1,0,3,10
障害福祉サービスの利用状況,移動支援,22,4,2,2,1,4,0,5,3,2,1,4,7
障害福祉サービスの利用状況,地域活動支援センター,21,7,2,1,2,1,3,4,4,0,2,2,11
障害福祉サービスの利用状況,福祉ホーム,8,3,1,1,2,1,0,2,3,1,1,1,1
障害福祉サービスの利用状況,児童発達支援,7,0,0,1,0,2,2,1,2,0,1,0,3
障害福祉サービスの利用状況,医療型児童発達支援,1,0,0,0,0,1,0,0,1,1,0,0,0
障害福祉サービスの利用状況,放課後等デイサービス,65,5,3,8,3,9,8,16,7,5,8,4,30
障害福祉サービスの利用状況,居宅訪問型児童発達支援,0,0,0,0,0,0,0,0,0,0,0,0,0
障害福祉サービスの利用状況,保育所等訪問支援,1,1,0,0,0,0,0,0,0,0,0,0,0
障害福祉サービスの利用状況,訪問看護,105,20,9,8,3,6,6,13,9,6,8,18,60
障害福祉サービスの利用状況,訪問リハビリテーション,89,15,9,8,5,9,5,12,6,5,5,13,45
過去1年間の実施種目,ウォーキング、散歩（散策、ペットの散歩など）,0,0,0,0,0,0,0,0,0,0,0,0,0
過去1年間の実施種目,体操（ラジオ体操、職場体操、ストレッチ、エアロビクス、ヨガ、ピラティス、縄跳びなど）,0,0,0,0,0,0,0,0,0,0,0,0,0
過去1年間の実施種目,室内運動器具（ウエイト器具、ランニングマシーン、バランスボールなど）を用いる運動,0,0,0,0,0,0,0,0,0,0,0,0,0
過去1年間の実施種目,陸上競技（ランニング、ジョギングなどの軽い運動も含めます）,0,0,0,0,0,0,0,0,0,0,0,0,0
過去1年間の実施種目,水泳・遊泳（水中歩行・水中運動）,0,0,0,0,0,0,0,0,0,0,0,0,0
過去1年間の実施種目,ブラインドサッカー,0,0,0,0,0,0,0,0,0,0,0,0,0
過去1年間の実施種目,車いすテニス,0,0,0,0,0,0,0,0,0,0,0,0,0
過去1年間の実施種目,サウンドテーブルテニス,0,0,0,0,0,0,0,0,0,0,0,0,0
過去1年間の実施種目,パラバレーボール,0,0,0,0,0,0,0,0,0,0,0,0,0
過去1年間の実施種目,車いすバスケットボール,0,0,0,0,0,0,0,0,0,0,0,0,0
過去1年間の実施種目,車いすラグビー,0,0,0,0,0,0,0,0,0,0,0,0,0
過去1年間の実施種目,ボッチャ,0,0,0,0,0,0,0,0,0,0,0,0,0
過去1年間の実施種目,球技（キャッチボールなどのボールを使った軽い運動も含めます）,0,0,0,0,0,0,0,0,0,0,0,0,0
過去1年間の実施種目,ダンス（フォークダンス、ジャズダンス、社交ダンス、フラダンス、バレエ、民謡踊りなど）,0,0,0,0,0,0,0,0,0,0,0,0,0
過去1年間の実施種目,格闘技（ボクシング、レスリング、相撲（すもう）など）,0,0,0,0,0,0,0,0,0,0,0,0,0
過去1年間の実施種目,武道（柔道、剣道、空手、合気道など）,0,0,0,0,0,0,0,0,0,0,0,0,0
過去1年間の実施種目,射的（弓道、アーチェリー、ダーツ、スポーツ吹矢など）,0,0,0,0,0,0,0,0,0,0,0,0,0
過去1年間の実施種目,ウィンタースポーツ（スキー、スノーボード、スケートなど）,0,0,0,0,0,0,0,0,0,0,0,0,0
過去1年間の実施種目,ウォータースポーツ（ボート、ヨット、スキンダイビング、スクーバダイビング、カヌー、水上バイク、サーフィン、ウィンドサーフィン、ボディボード、ボードセーリングなど）,0,0,0,0,0,0,0,0,0,0,0,0,0
過去1年間の実施種目,スカイスポーツ（ハンググライダー、パラグライダー、スカイダイビングなど）,0,0,0,0,0,0,0,0,0,0,0,0,0
過去1年間の実施種目,アウトドアスポーツ（ハイキング、ワンダーフォーゲル、釣り、登山、キャンプなど）,0,0,0,0,0,0,0,0,0,0,0,0,0
過去1年間の実施種目,サイクリング、モーター（サイクル）スポーツ,0,0,0,0,0,0,0,0,0,0,0,0,0
過去1年間の実施種目,運動あそび（鬼ごっこ、かくれんぼ、鉄棒、ぶらんこなど）,0,0,0,0,0,0,0,0,0,0,0,0,0
過去1年間の実施種目,ゲーム機を使い体を動かして行うスポーツ・フィットネス等,0,0,0,0,0,0,0,0,0,0,0,0,0
過去1年間の実施種目,その他,0,0,0,0,0,0,0,0,0,0,0,0,0
過去1年間の実施種目,この1年間に運動・スポーツは行わなかった,1135,127,74,61,40,89,96,93,117,90,42,87,666
実施頻度（1年間）,週3日以上（年151日以上）,0,0,0,0,0,0,0,0,0,0,0,0,0
実施頻度（1年間）,週2日程度（年101日～150日）,0,0,0,0,0,0,0,0,0,0,0,0,0
実施頻度（1年間）,週1日程度（年51日～100日）,0,0,0,0,0,0,0,0,0,0,0,0,0
実施頻度（1年間）,月に1～3日程度（年12日～50日）,0,0,0,0,0,0,0,0,0,0,0,0,0
実施頻度（1年間）,3か月に1～2日程度（年4日～11日）,0,0,0,0,0,0,0,0,0,0,0,0,0
実施頻度（1年間）,年に1～3日程度,0,0,0,0,0,0,0,0,0,0,0,0,0
実施頻度（1年間）,わからない,0,0,0,0,0,0,0,0,0,0,0,0,0
実施した場所,自宅,0,0,0,0,0,0,0,0,0,0,0,0,0
実施した場所,道路や遊歩道,0,0,0,0,0,0,0,0,0,0,0,0,0
実施した場所,広場や公園,0,0,0,0,0,0,0,0,0,0,0,0,0
実施した場所,民間のスポーツ施設,0,0,0,0,0,0,0,0,0,0,0,0,0
実施した場所,公共のスポーツ施設（障害者専用施設）,0,0,0,0,0,0,0,0,0,0,0,0,0
実施した場所,公共のスポーツ施設（障害者専用施設以外）,0,0,0,0,0,0,0,0,0,0,0,0,0
実施した場所,小中高校の体育施設,0,0,0,0,0,0,0,0,0,0,0,0,0
実施した場所,特別支援学校の体育施設,0,0,0,0,0,0,0,0,0,0,0,0,0
実施した場所,職場のスポーツ施設,0,0,0,0,0,0,0,0,0,0,0,0,0
実施した場所,福祉施設,0,0,0,0,0,0,0,0,0,0,0,0,0
実施した場所,児童通所サービス（放課後等デイサービス等）,0,0,0,0,0,0,0,0,0,0,0,0,0
実施した場所,医療機関（病院やリハビリ施設）,0,0,0,0,0,0,0,0,0,0,0,0,0
実施した場所,山・川・海・空,0,0,0,0,0,0,0,0,0,0,0,0,0
実施した場所,その他,0,0,0,0,0,0,0,0,0,0,0,0,0
実施した場所,わからない,0,0,0,0,0,0,0,0,0,0,0,0,0
一緒に実施する人,一人,0,0,0,0,0,0,0,0,0,0,0,0,0
一緒に実施する人,家族,0,0,0,0,0,0,0,0,0,0,0,0,0
一緒に実施する人,福祉施設の職員・仲間,0,0,0,0,0,0,0,0,0,0,0,0,0
一緒に実施する人,障害がある人のサークル・障害者スポーツサークル等の仲間,0,0,0,0,0,0,0,0,0,0,0,0,0
一緒に実施する人,障害がある人やない人など様々な人がいるサークルの仲間,0,0,0,0,0,0,0,0,0,0,0,0,0
一緒に実施する人,スポーツ教室の指導者・仲間,0,0,0,0,0,0,0,0,0,0,0,0,0
一緒に実施する人,障害者専用スポーツ施設の職員・仲間,0,0,0,0,0,0,0,0,0,0,0,0,0
一緒に実施する人,地域の公共スポーツ施設の職員・仲間,0,0,0,0,0,0,0,0,0,0,0,0,0
一緒に実施する人,ボランティアの人たち,0,0,0,0,0,0,0,0,0,0,0,0,0
一緒に実施する人,学校の先生や学校の友達,0,0,0,0,0,0,0,0,0,0,0,0,0
一緒に実施する人,児童通所サービス（放課後等デイサービス等）の職員・仲間,0,0,0,0,0,0,0,0,0,0,0,0,0
一緒に実施する人,その他の友人・知人,0,0,0,0,0,0,0,0,0,0,0,0,0
一緒に実施する人,その他,0,0,0,0,0,0,0,0,0,0,0,0,0
一緒に実施する人,わからない,0,0,0,0,0,0,0,0,0,0,0,0,0
実施した理由,健康・体力づくりのため,0,0,0,0,0,0,0,0,0,0,0,0,0
実施した理由,楽しみや気晴らしのため,0,0,0,0,0,0,0,0,0,0,0,0,0
実施した理由,運動不足解消のため,0,0,0,0,0,0,0,0,0,0,0,0,0
実施した理由,精神の修養や訓練のため（心をきたえるため）,0,0,0,0,0,0,0,0,0,0,0,0,0
実施した理由,自己の記録や能力を向上させるため,0,0,0,0,0,0,0,0,0,0,0,0,0
実施した理由,リハビリテーションや医療・治療のため,0,0,0,0,0,0,0,0,0,0,0,0,0
実施した理由,家族のふれあいのため,0,0,0,0,0,0,0,0,0,0,0,0,0
実施した理由,友人・仲間との交流のため,0,0,0,0,0,0,0,0,0,0,0,0,0
実施した理由,美容や肥満解消（ダイエット）のため,0,0,0,0,0,0,0,0,0,0,0,0,0
実施した理由,障害者スポーツ大会に参加するため,0,0,0,0,0,0,0,0,0,0,0,0,0
実施した理由,その他,0,0,0,0,0,0,0,0,0,0,0,0,0
実施した理由,わからない,0,0,0,0,0,0,0,0,0,0,0,0,0
実施したきっかけ,家族に奨められた,0,0,0,0,0,0,0,0,0,0,0,0,0
実施したきっかけ,（障害のある）友人・知人・同僚に奨められた,0,0,0,0,0,0,0,0,0,0,0,0,0
実施したきっかけ,（障害のない）友人・知人・同僚に奨められた,0,0,0,0,0,0,0,0,0,0,0,0,0
実施したきっかけ,医師に奨められた,0,0,0,0,0,0,0,0,0,0,0,0,0
実施したきっかけ,看護師に奨められた,0,0,0,0,0,0,0,0,0,0,0,0,0
実施したきっかけ,作業療法士（OT）に奨められた,0,0,0,0,0,0,0,0,0,0,0,0,0
実施したきっかけ,理学療法士（PT）に奨められた,0,0,0,0,0,0,0,0,0,0,0,0,0
実施したきっかけ,言語聴覚士（ST）に奨められた,0,0,0,0,0,0,0,0,0,0,0,0,0
実施したきっかけ,視能訓練士（CO）に奨められた,0,0,0,0,0,0,0,0,0,0,0,0,0
実施したきっかけ,義肢装具士に奨められた,0,0,0,0,0,0,0,0,0,0,0,0,0
実施したきっかけ,介護福祉士に奨められた,0,0,0,0,0,0,0,0,0,0,0,0,0
実施したきっかけ,社会福祉士（ソーシャルワーカー）に奨められた,0,0,0,0,0,0,0,0,0,0,0,0,0
実施したきっかけ,スポーツ指導者に奨められた,0,0,0,0,0,0,0,0,0,0,0,0,0
実施したきっかけ,パラスポーツ指導員（旧障害者スポーツ指導員）に奨められた,0,0,0,0,0,0,0,0,0,0,0,0,0
実施したきっかけ,学校の先生に奨められた,0,0,0,0,0,0,0,0,0,0,0,0,0
実施したきっかけ,学校の授業等で興味を持ち、自主的に始めた,0,0,0,0,0,0,0,0,0,0,0,0,0
実施したきっかけ,所属する団体（会社等）に奨められた,0,0,0,0,0,0,0,0,0,0,0,0,0
実施したきっかけ,障害のある有名選手・パラアスリートの影響,0,0,0,0,0,0,0,0,0,0,0,0,0
実施したきっかけ,障害のない有名選手・アスリートの影響,0,0,0,0,0,0,0,0,0,0,0,0,0
実施したきっかけ,テレビや新聞の影響,0,0,0,0,0,0,0,0,0,0,0,0,0
実施したきっかけ,インターネットや動画配信を見て,0,0,0,0,0,0,0,0,0,0,0,0,0
実施したきっかけ,ＳＮＳの影響,0,0,0,0,0,0,0,0,0,0,0,0,0
実施したきっかけ,漫画、ドラマ、映画等の影響,0,0,0,0,0,0,0,0,0,0,0,0,0
実施したきっかけ,現地やテレビ等でそのスポーツを観た,0,0,0,0,0,0,0,0,0,0,0,0,0
実施したきっかけ,スポーツ団体等の関係者から誘われた,0,0,0,0,0,0,0,0,0,0,0,0,0
実施したきっかけ,スポーツイベントや体験会等で興味を持った,0,0,0,0,0,0,0,0,0,0,0,0,0
実施したきっかけ,スポーツ以外をテーマとするイベント（福祉祭り等の中の講演や体験会等）で興味を持った,0,0,0,0,0,0,0,0,0,0,0,0,0
実施したきっかけ,福祉施設で実施している運動プログラムに参加して,0,0,0,0,0,0,0,0,0,0,0,0,0
実施したきっかけ,行政の広報誌,0,0,0,0,0,0,0,0,0,0,0,0,0
実施したきっかけ,その他,0,0,0,0,0,0,0,0,0,0,0,0,0
実施したきっかけ,特にきっかけはない・なんとなく,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツ・運動への取組意向,スポーツや運動を行っており、満足している,15,1,2,0,1,0,1,1,1,4,0,0,5
スポーツ・運動への取組意向,スポーツや運動を行っているが、もっと行いたい,22,1,3,2,1,3,6,2,3,1,1,0,9
スポーツ・運動への取組意向,スポーツや運動を行いたいと思うができない,336,51,28,41,25,50,42,52,59,51,26,45,92
スポーツ・運動への取組意向,スポーツや運動に関心はない,762,74,41,18,13,36,47,38,54,34,15,42,560
活動したいと思わない理由,スポーツ・運動が嫌いだから,158,3,4,0,0,4,6,1,12,3,4,1,158
活動したいと思わない理由,スポーツ・運動に興味がないから,151,1,5,2,1,7,11,2,14,6,4,4,151
活動したいと思わない理由,スポーツ・運動を楽しんだ経験がないから,39,1,4,1,2,3,6,1,7,2,2,1,39
活動したいと思わない理由,疲れるから,163,3,8,2,2,11,13,4,19,8,2,3,163
活動したいと思わない理由,人前に出るのが好きではないから,57,1,3,2,2,3,8,2,9,4,2,1,57
活動したいと思わない理由,学校の体育や部活動等で苦手意識を持ったから,23,0,3,0,0,3,4,1,3,1,2,0,23
活動したいと思わない理由,一緒に運動・スポーツする人に迷惑をかけるのではないかと心配だから,18,0,3,0,1,3,4,1,2,1,2,2,18
活動したいと思わない理由,スポーツ以外に趣味があるから,64,3,2,0,0,3,3,2,7,5,2,2,64
活動したいと思わない理由,忙しいから,34,0,0,0,0,2,0,0,2,7,0,0,34
活動したいと思わない理由,その他,56,5,1,0,0,2,0,3,2,1,2,4,56
活動したいと思わない理由,わからない,216,0,1,0,1,1,3,5,2,1,1,0,216
学校体育の参加状況,参加していて、体育が好きである,38,0,3,10,2,5,9,12,6,6,3,1,12
学校体育の参加状況,参加しているが、体育は好きではない,35,3,2,2,0,5,8,1,4,4,0,0,21
学校体育の参加状況,参加していない,20,2,1,0,0,3,5,3,0,1,1,0,10
学校体育の参加状況,わからない,20,0,1,0,0,1,1,0,1,0,0,0,16
学校体育に参加しない理由,授業の内容のとおりに身体を動かすことができないから,4,1,1,0,0,2,0,0,0,0,1,0,1
学校体育に参加しない理由,自分にはできないと思ったから,6,0,0,0,0,0,1,2,0,0,0,0,3
学校体育に参加しない理由,他の生徒や先生に迷惑をかけると思ったから,0,0,0,0,0,0,0,0,0,0,0,0,0
学校体育に参加しない理由,参加するために必要なスポーツ用具がなかったから,0,0,0,0,0,0,0,0,0,0,0,0,0
学校体育に参加しない理由,医師から止められていたから,1,1,0,0,0,0,0,0,0,0,0,0,0
学校体育に参加しない理由,学校の先生から見学するように言われたから,1,1,0,0,0,0,0,0,0,0,0,0,0
学校体育に参加しない理由,身体を動かすことが怖いから,3,0,0,0,0,0,0,0,0,0,0,0,3
学校体育に参加しない理由,その他,7,0,0,0,0,1,4,2,0,1,0,0,3
スポーツ・運動の参加方法,現地の会場で対面での参加,147,10,16,29,15,34,34,31,25,23,11,14,31
スポーツ・運動の参加方法,リモート参加,24,7,3,2,3,1,4,3,2,2,2,2,4
スポーツ・運動の参加方法,ハイブリッド（現地参加とリモート参加の両方から選択できる）,46,4,9,7,4,7,6,10,12,9,2,4,9
スポーツ・運動の参加方法,参加したいと思わない,918,106,46,23,18,47,52,49,78,56,27,67,622
参加したいスポーツ活動,ルールが簡単,155,11,20,26,19,32,33,27,29,25,14,13,49
参加したいスポーツ活動,自分のペースに合わせてできる,289,25,34,39,28,57,49,45,52,41,20,32,99
参加したいスポーツ活動,汗をかかない,41,9,7,2,2,3,5,3,7,4,1,4,26
参加したいスポーツ活動,自宅で実施できる,146,19,23,12,15,21,17,26,30,20,12,17,60
参加したいスポーツ活動,短い時間で実施できる,166,16,22,24,17,29,28,24,38,29,16,18,62
参加したいスポーツ活動,上達したことが分かる,52,6,7,12,7,13,13,11,14,8,6,9,20
参加したいスポーツ活動,ゲーム機を使い体を動かして行なうスポーツ・フィットネス等,36,2,6,5,4,8,10,7,9,2,3,4,15
参加したいスポーツ活動,好きな種目を選べる,80,4,12,18,11,15,26,18,20,12,8,8,17
参加したいスポーツ活動,やったことがないスポーツを試せる,16,0,3,8,3,2,6,5,9,2,3,2,4
参加したいスポーツ活動,予約や申し込みなしに、参加したいときに参加できる,68,6,8,12,11,15,22,17,22,18,10,12,19
参加したいスポーツ活動,有名な選手に会える,13,1,1,3,1,1,3,0,4,1,2,3,5
参加したいスポーツ活動,親子で一緒に参加ができる,27,0,4,6,4,7,8,10,3,3,5,2,9
参加したいスポーツ活動,新しい友達をつくることができる,42,2,6,10,3,9,19,6,16,2,5,3,12
参加したいスポーツ活動,スポーツ以外に芸術・文化的なパフォーマンスも楽しめる,23,4,2,4,5,7,2,10,5,1,6,5,6
参加したいスポーツ活動,失敗しても笑われたり恥ずかしい思いをしない,83,7,10,10,7,22,24,18,22,12,10,9,32
参加したいスポーツ活動,新しい道具やウェアを買わなくてよい,74,8,10,15,13,18,16,16,33,18,12,11,25
参加したいスポーツ活動,その他,30,4,2,5,2,4,3,4,5,2,3,9,9
参加したいスポーツ活動,どのようなスポーツや運動でも参加したいと思わない,635,77,19,10,5,14,21,28,36,24,11,35,479
スポーツ・運動の継続実施に必要なもの,スタジアム、体育館などの建物や設備のバリアフリー化,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツ・運動の継続実施に必要なもの,交通機関（電車やバス）やまちのバリアフリー化,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツ・運動の継続実施に必要なもの,会場までの送迎,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツ・運動の継続実施に必要なもの,障害者への施設開放の促進（障害者が優先的に使える施設が増える）,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツ・運動の継続実施に必要なもの,障害にあわせた教室やプログラム,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツ・運動の継続実施に必要なもの,介助者や手話通訳などの支援,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツ・運動の継続実施に必要なもの,障害に対応した情報の提供や問合せ方法の充実,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツ・運動の継続実施に必要なもの,施設や用具等を利用する際に必要な手続きの支援,0,0,0,0,0,0,0,0,0,0,0,0,0
