調査項目,回答,全体(人),指先など体の一部を動かして一般的なコントローラーを操作して行うゲーム（ポケットモンスター、スプラトゥーン、マインクラフト、ぷよぷよなど）をやったことがある(人),指先など体の一部を動かして一般的なコントローラーを操作して行うゲーム（ポケットモンスター、スプラトゥーン、マインクラフト、ぷよぷよなど）をやったことがない(人),「やったことがない」のうち、やりたい(人),「やったことがない」のうち、やりたいと思わない(人)
障害種別,精神障害者保健福祉手帳　1級,23,6,17,3,14
障害種別,精神障害者保健福祉手帳　2級,216,53,163,37,126
障害種別,精神障害者保健福祉手帳　3級,242,70,172,43,129
障害種別,障害者手帳は持っていない,1123,238,885,194,691
障害の程度別,重度,810,156,654,154,500
障害の程度別,軽度,1293,364,929,239,690
障害の程度別,障害者手帳は持っていない,1123,238,885,194,691
受傷の時期,生まれたとき,852,248,604,179,425
受傷の時期,生まれた後,2374,510,1864,408,1456
学校の種別,小学校の普通学校（通常学級のみに在籍）,89,38,51,22,29
学校の種別,小学校の普通学校（通級による指導あり）,38,21,17,9,8
学校の種別,小学校の普通学校（特別支援学級）,86,41,45,19,26
学校の種別,小学校の特別支援学校（養護学校・盲学校・ろう学校）,48,18,30,9,21
学校の種別,中学校の普通学校（通常学級のみに在籍）,44,16,28,6,22
学校の種別,中学校の普通学校（通級による指導あり）,16,9,7,2,5
学校の種別,中学校の普通学校（特別支援学級）,39,15,24,12,12
学校の種別,中学校の特別支援学校（養護学校・盲学校・ろう学校）,40,8,32,11,21
学校の種別,高等学校の普通学校（通常学級のみに在籍）,50,24,26,11,15
学校の種別,高等学校の普通学校（通級による指導あり）,12,6,6,4,2
学校の種別,高等学校の特別支援学校（養護学校・盲学校・ろう学校）,42,19,23,6,17
学校の種別,大学・短期大学,37,16,21,6,15
学校の種別,特別支援学校高等部専攻科、高等学校専攻科,14,7,7,4,3
学校の種別,職業能力開発校、障害者職業能力開発校等,7,3,4,3,1
学校の種別,なし,136,48,88,24,64
仕事の有無,仕事をしている,1227,329,898,256,642
仕事の有無,仕事をしていない,1821,380,1441,299,1142
仕事の有無,福祉的就労をしている（就労移行支援、就労継続支援Ａ型・Ｂ型、就労定着支援）,178,49,129,32,97
平日・日中の居場所,自分の家,1843,333,1510,305,1205
平日・日中の居場所,職場（一般企業など）,677,188,489,151,338
平日・日中の居場所,職場（福祉的就労（就労移行支援、就労継続支援Ａ型・Ｂ型、就労定着支援）の施設）,102,28,74,21,53
平日・日中の居場所,学校,362,167,195,71,124
平日・日中の居場所,通所施設（生活介護、デイケアなど）,135,26,109,25,84
平日・日中の居場所,入所施設,69,6,63,12,51
平日・日中の居場所,その他,38,10,28,2,26
放課後の居場所,自分の家,345,151,194,70,124
放課後の居場所,習いごと（塾や英会話等の学習系）,75,40,35,18,17
放課後の居場所,習いごと（スイミングやサッカー等のスポーツ系）,59,34,25,11,14
放課後の居場所,習いごと（音楽や習字等の芸術系）,41,27,14,8,6
放課後の居場所,児童通所サービス（放課後等デイサービス　等）,156,68,88,30,58
放課後の居場所,学童保育,34,18,16,10,6
放課後の居場所,広場や公園,35,28,7,3,4
放課後の居場所,学校（校庭や体育館）,35,20,15,11,4
放課後の居場所,児童館や図書館などの公共施設,16,13,3,1,2
放課後の居場所,その他,8,7,1,1,0
障害福祉サービスの利用状況,利用していない,2117,476,1641,367,1274
障害福祉サービスの利用状況,居宅介護（ホームヘルプ）,222,47,175,46,129
障害福祉サービスの利用状況,重度訪問介護,29,6,23,8,15
障害福祉サービスの利用状況,同行援護,70,23,47,19,28
障害福祉サービスの利用状況,行動援護,81,23,58,18,40
障害福祉サービスの利用状況,重度障害者等包括支援,29,7,22,10,12
障害福祉サービスの利用状況,短期入所（ショートステイ）,141,20,121,26,95
障害福祉サービスの利用状況,療養介護,34,10,24,11,13
障害福祉サービスの利用状況,生活介護,85,16,69,24,45
障害福祉サービスの利用状況,施設入所支援,43,5,38,6,32
障害福祉サービスの利用状況,自立訓練,65,17,48,14,34
障害福祉サービスの利用状況,就労移行支援,42,21,21,5,16
障害福祉サービスの利用状況,就労継続支援（A型）,23,8,15,5,10
障害福祉サービスの利用状況,就労継続支援（B型）,89,28,61,16,45
障害福祉サービスの利用状況,就労定着支援,19,9,10,4,6
障害福祉サービスの利用状況,自立生活援助,45,17,28,11,17
障害福祉サービスの利用状況,共同生活援助（グループホーム）,33,10,23,8,15
障害福祉サービスの利用状況,計画相談支援,51,24,27,5,22
障害福祉サービスの利用状況,地域相談支援,57,20,37,7,30
障害福祉サービスの利用状況,移動支援,76,18,58,17,41
障害福祉サービスの利用状況,地域活動支援センター,81,24,57,17,40
障害福祉サービスの利用状況,福祉ホーム,25,13,12,6,6
障害福祉サービスの利用状況,児童発達支援,55,28,27,12,15
障害福祉サービスの利用状況,医療型児童発達支援,11,6,5,3,2
障害福祉サービスの利用状況,放課後等デイサービス,208,70,138,39,99
障害福祉サービスの利用状況,居宅訪問型児童発達支援,8,3,5,3,2
障害福祉サービスの利用状況,保育所等訪問支援,5,3,2,2,0
障害福祉サービスの利用状況,訪問看護,179,26,153,31,122
障害福祉サービスの利用状況,訪問リハビリテーション,165,22,143,30,113
スポーツ運動の実施の有無,行っている,2091,582,1509,450,1059
スポーツ運動の実施の有無,行っていない,1135,176,959,137,822
過去1年間の実施種目,ウォーキング、散歩（散策、ペットの散歩など）,1595,393,1202,349,853
過去1年間の実施種目,体操（ラジオ体操、職場体操、ストレッチ、エアロビクス、ヨガ、ピラティス、縄跳びなど）,531,165,366,132,234
過去1年間の実施種目,室内運動器具（ウエイト器具、ランニングマシーン、バランスボールなど）を用いる運動,285,98,187,69,118
過去1年間の実施種目,陸上競技（ランニング、ジョギングなどの軽い運動も含めます）,170,84,86,41,45
過去1年間の実施種目,水泳・遊泳（水中歩行・水中運動）,293,123,170,65,105
過去1年間の実施種目,ブラインドサッカー,24,9,15,11,4
過去1年間の実施種目,車いすテニス,15,7,8,5,3
過去1年間の実施種目,サウンドテーブルテニス,26,17,9,7,2
過去1年間の実施種目,パラバレーボール,26,16,10,5,5
過去1年間の実施種目,車いすバスケットボール,19,10,9,7,2
過去1年間の実施種目,車いすラグビー,13,8,5,2,3
過去1年間の実施種目,ボッチャ,50,23,27,9,18
過去1年間の実施種目,球技（キャッチボールなどのボールを使った軽い運動も含めます）,124,68,56,25,31
過去1年間の実施種目,ダンス（フォークダンス、ジャズダンス、社交ダンス、フラダンス、バレエ、民謡踊りなど）,94,47,47,10,37
過去1年間の実施種目,格闘技（ボクシング、レスリング、相撲（すもう）など）,19,11,8,4,4
過去1年間の実施種目,武道（柔道、剣道、空手、合気道など）,24,11,13,8,5
過去1年間の実施種目,射的（弓道、アーチェリー、ダーツ、スポーツ吹矢など）,15,11,4,2,2
過去1年間の実施種目,ウィンタースポーツ（スキー、スノーボード、スケートなど）,47,25,22,10,12
過去1年間の実施種目,ウォータースポーツ（ボート、ヨット、スキンダイビング、スクーバダイビング、カヌー、水上バイク、サーフィン、ウィンドサーフィン、ボディボード、ボードセーリングなど）,38,20,18,12,6
過去1年間の実施種目,スカイスポーツ（ハンググライダー、パラグライダー、スカイダイビングなど）,13,10,3,2,1
過去1年間の実施種目,アウトドアスポーツ（ハイキング、ワンダーフォーゲル、釣り、登山、キャンプなど）,105,43,62,25,37
過去1年間の実施種目,サイクリング、モーター（サイクル）スポーツ,114,55,59,22,37
過去1年間の実施種目,運動あそび（鬼ごっこ、かくれんぼ、鉄棒、ぶらんこなど）,134,74,60,26,34
過去1年間の実施種目,ゲーム機を使い体を動かして行うスポーツ・フィットネス等,79,53,26,17,9
過去1年間の実施種目,その他,53,22,31,4,27
過去1年間の実施種目,この1年間に運動・スポーツは行わなかった,1135,176,959,137,822
実施頻度（1年間）,週3日以上（年151日以上）,604,164,440,119,321
実施頻度（1年間）,週2日程度（年101日～150日）,429,137,292,110,182
実施頻度（1年間）,週1日程度（年51日～100日）,506,138,368,110,258
実施頻度（1年間）,月に1～3日程度（年12日～50日）,280,88,192,56,136
実施頻度（1年間）,3か月に1～2日程度（年4日～11日）,75,21,54,21,33
実施頻度（1年間）,年に1～3日程度,52,16,36,9,27
実施頻度（1年間）,わからない,145,18,127,25,102
実施した場所,自宅,829,226,603,203,400
実施した場所,道路や遊歩道,1083,282,801,228,573
実施した場所,広場や公園,633,206,427,161,266
実施した場所,民間のスポーツ施設,314,130,184,72,112
実施した場所,公共のスポーツ施設（障害者専用施設）,130,48,82,44,38
実施した場所,公共のスポーツ施設（障害者専用施設以外）,241,109,132,43,89
実施した場所,小中高校の体育施設,128,75,53,22,31
実施した場所,特別支援学校の体育施設,85,39,46,20,26
実施した場所,職場のスポーツ施設,35,15,20,12,8
実施した場所,福祉施設,64,23,41,11,30
実施した場所,児童通所サービス（放課後等デイサービス等）,87,40,47,16,31
実施した場所,医療機関（病院やリハビリ施設）,68,18,50,13,37
実施した場所,山・川・海・空,171,73,98,40,58
実施した場所,その他,44,12,32,6,26
実施した場所,わからない,47,2,45,3,42
一緒に実施する人,一人,1133,284,849,240,609
一緒に実施する人,家族,762,237,525,195,330
一緒に実施する人,福祉施設の職員・仲間,174,54,120,50,70
一緒に実施する人,障害がある人のサークル・障害者スポーツサークル等の仲間,91,42,49,19,30
一緒に実施する人,障害がある人やない人など様々な人がいるサークルの仲間,107,57,50,28,22
一緒に実施する人,スポーツ教室の指導者・仲間,151,71,80,22,58
一緒に実施する人,障害者専用スポーツ施設の職員・仲間,61,26,35,12,23
一緒に実施する人,地域の公共スポーツ施設の職員・仲間,48,23,25,12,13
一緒に実施する人,ボランティアの人たち,54,24,30,13,17
一緒に実施する人,学校の先生や学校の友達,150,79,71,26,45
一緒に実施する人,児童通所サービス（放課後等デイサービス等）の職員・仲間,86,41,45,15,30
一緒に実施する人,その他の友人・知人,137,62,75,21,54
一緒に実施する人,その他,35,8,27,8,19
一緒に実施する人,わからない,40,1,39,3,36
実施した理由,健康・体力づくりのため,1503,410,1093,325,768
実施した理由,楽しみや気晴らしのため,890,305,585,198,387
実施した理由,運動不足解消のため,1109,327,782,249,533
実施した理由,精神の修養や訓練のため（心をきたえるため）,240,92,148,68,80
実施した理由,自己の記録や能力を向上させるため,182,87,95,36,59
実施した理由,リハビリテーションや医療・治療のため,340,87,253,77,176
実施した理由,家族のふれあいのため,154,71,83,35,48
実施した理由,友人・仲間との交流のため,254,124,130,42,88
実施した理由,美容や肥満解消（ダイエット）のため,217,91,126,45,81
実施した理由,障害者スポーツ大会に参加するため,17,7,10,4,6
実施した理由,その他,36,17,19,4,15
実施した理由,わからない,61,2,59,8,51
実施したきっかけ,家族に奨められた,561,144,417,149,268
実施したきっかけ,（障害のある）友人・知人・同僚に奨められた,101,47,54,30,24
実施したきっかけ,（障害のない）友人・知人・同僚に奨められた,119,52,67,30,37
実施したきっかけ,医師に奨められた,500,125,375,101,274
実施したきっかけ,看護師に奨められた,114,33,81,32,49
実施したきっかけ,作業療法士（OT）に奨められた,100,34,66,26,40
実施したきっかけ,理学療法士（PT）に奨められた,128,40,88,26,62
実施したきっかけ,言語聴覚士（ST）に奨められた,39,23,16,9,7
実施したきっかけ,視能訓練士（CO）に奨められた,21,11,10,3,7
実施したきっかけ,義肢装具士に奨められた,15,5,10,10,0
実施したきっかけ,介護福祉士に奨められた,43,18,25,10,15
実施したきっかけ,社会福祉士（ソーシャルワーカー）に奨められた,49,16,33,13,20
実施したきっかけ,スポーツ指導者に奨められた,20,9,11,4,7
実施したきっかけ,パラスポーツ指導員（旧障害者スポーツ指導員）に奨められた,19,15,4,3,1
実施したきっかけ,学校の先生に奨められた,57,30,27,14,13
実施したきっかけ,学校の授業等で興味を持ち、自主的に始めた,64,39,25,14,11
実施したきっかけ,所属する団体（会社等）に奨められた,17,9,8,4,4
実施したきっかけ,障害のある有名選手・パラアスリートの影響,14,7,7,4,3
実施したきっかけ,障害のない有名選手・アスリートの影響,13,7,6,4,2
実施したきっかけ,テレビや新聞の影響,66,25,41,15,26
実施したきっかけ,インターネットや動画配信を見て,81,40,41,18,23
実施したきっかけ,ＳＮＳの影響,40,23,17,8,9
実施したきっかけ,漫画、ドラマ、映画等の影響,20,14,6,4,2
実施したきっかけ,現地やテレビ等でそのスポーツを観た,22,11,11,7,4
実施したきっかけ,スポーツ団体等の関係者から誘われた,11,7,4,1,3
実施したきっかけ,スポーツイベントや体験会等で興味を持った,18,9,9,4,5
実施したきっかけ,スポーツ以外をテーマとするイベント（福祉祭り等の中の講演や体験会等）で興味を持った,6,3,3,1,2
実施したきっかけ,福祉施設で実施している運動プログラムに参加して,36,11,25,6,19
実施したきっかけ,行政の広報誌,15,4,11,1,10
実施したきっかけ,その他,89,31,58,9,49
実施したきっかけ,特にきっかけはない・なんとなく,676,163,513,122,391
スポーツ・運動への取組意向,スポーツや運動を行っており、満足している,849,252,597,193,404
スポーツ・運動への取組意向,スポーツや運動を行っているが、もっと行いたい,600,174,426,155,271
スポーツ・運動への取組意向,スポーツや運動を行いたいと思うができない,732,162,570,141,429
スポーツ・運動への取組意向,スポーツや運動に関心はない,1045,170,875,98,777
実施していない理由,医師に止められており、身体的にできない,127,14,113,16,97
実施していない理由,どのくらい体を動かしたらよいかわからない,74,9,65,13,52
実施していない理由,身近なところにスポーツや運動ができる場所がない,61,16,45,16,29
実施していない理由,スポーツや運動ができる場所への移動手段がない,40,2,38,14,24
実施していない理由,自分に合ったスポーツや運動の情報がない,89,24,65,21,44
実施していない理由,一緒にできる仲間がいない,96,25,71,20,51
実施していない理由,介助者がいない,93,15,78,12,66
実施していない理由,金銭的な余裕がない,117,28,89,20,69
実施していない理由,時間がない,90,24,66,20,46
実施していない理由,必要な競技用具や補助具がない,42,4,38,10,28
実施していない理由,その他,87,11,76,13,63
実施していない理由,活動したいと思わない,666,94,572,51,521
活動したいと思わない理由,スポーツ・運動が嫌いだから,158,37,121,13,108
活動したいと思わない理由,スポーツ・運動に興味がないから,151,41,110,9,101
活動したいと思わない理由,スポーツ・運動を楽しんだ経験がないから,39,9,30,4,26
活動したいと思わない理由,疲れるから,163,44,119,13,106
活動したいと思わない理由,人前に出るのが好きではないから,57,22,35,3,32
活動したいと思わない理由,学校の体育や部活動等で苦手意識を持ったから,23,11,12,2,10
活動したいと思わない理由,一緒に運動・スポーツする人に迷惑をかけるのではないかと心配だから,18,5,13,3,10
活動したいと思わない理由,スポーツ以外に趣味があるから,64,26,38,3,35
活動したいと思わない理由,忙しいから,34,9,25,0,25
活動したいと思わない理由,その他,56,9,47,5,42
活動したいと思わない理由,わからない,216,6,210,16,194
学校体育の参加状況,参加していて、体育が好きである,279,131,148,63,85
学校体育の参加状況,参加しているが、体育は好きではない,146,65,81,33,48
学校体育の参加状況,参加していない,42,16,26,11,15
学校体育の参加状況,わからない,37,3,34,4,30
学校体育に参加しない理由,授業の内容のとおりに身体を動かすことができないから,9,1,8,3,5
学校体育に参加しない理由,自分にはできないと思ったから,12,7,5,3,2
学校体育に参加しない理由,他の生徒や先生に迷惑をかけると思ったから,6,2,4,0,4
学校体育に参加しない理由,参加するために必要なスポーツ用具がなかったから,1,0,1,1,0
学校体育に参加しない理由,医師から止められていたから,1,0,1,0,1
学校体育に参加しない理由,学校の先生から見学するように言われたから,3,0,3,1,2
学校体育に参加しない理由,身体を動かすことが怖いから,5,0,5,1,4
学校体育に参加しない理由,その他,12,7,5,4,1
スポーツ・運動の参加方法,現地の会場で対面での参加,1083,357,726,285,441
スポーツ・運動の参加方法,リモート参加,134,36,98,49,49
スポーツ・運動の参加方法,ハイブリッド（現地参加とリモート参加の両方から選択できる）,241,85,156,61,95
スポーツ・運動の参加方法,参加したいと思わない,1768,280,1488,192,1296
参加したいスポーツ活動,ルールが簡単,891,279,612,239,373
参加したいスポーツ活動,自分のペースに合わせてできる,1507,451,1056,345,711
参加したいスポーツ活動,汗をかかない,151,52,99,31,68
参加したいスポーツ活動,自宅で実施できる,570,150,420,131,289
参加したいスポーツ活動,短い時間で実施できる,705,192,513,173,340
参加したいスポーツ活動,上達したことが分かる,362,149,213,101,112
参加したいスポーツ活動,ゲーム機を使い体を動かして行なうスポーツ・フィットネス等,203,106,97,51,46
参加したいスポーツ活動,好きな種目を選べる,468,210,258,103,155
参加したいスポーツ活動,やったことがないスポーツを試せる,138,63,75,40,35
参加したいスポーツ活動,予約や申し込みなしに、参加したいときに参加できる,355,137,218,82,136
参加したいスポーツ活動,有名な選手に会える,85,38,47,23,24
参加したいスポーツ活動,親子で一緒に参加ができる,149,59,90,43,47
参加したいスポーツ活動,新しい友達をつくることができる,263,118,145,74,71
参加したいスポーツ活動,スポーツ以外に芸術・文化的なパフォーマンスも楽しめる,130,59,71,24,47
参加したいスポーツ活動,失敗しても笑われたり恥ずかしい思いをしない,365,158,207,88,119
参加したいスポーツ活動,新しい道具やウェアを買わなくてよい,326,115,211,66,145
参加したいスポーツ活動,その他,63,16,47,5,42
参加したいスポーツ活動,どのようなスポーツや運動でも参加したいと思わない,909,85,824,52,772
スポーツ・運動の継続実施に必要なもの,スタジアム、体育館などの建物や設備のバリアフリー化,344,109,235,108,127
スポーツ・運動の継続実施に必要なもの,交通機関（電車やバス）やまちのバリアフリー化,375,107,268,115,153
スポーツ・運動の継続実施に必要なもの,会場までの送迎,360,118,242,94,148
スポーツ・運動の継続実施に必要なもの,障害者への施設開放の促進（障害者が優先的に使える施設が増える）,274,100,174,80,94
スポーツ・運動の継続実施に必要なもの,障害にあわせた教室やプログラム,463,169,294,117,177
スポーツ・運動の継続実施に必要なもの,介助者や手話通訳などの支援,120,46,74,36,38
スポーツ・運動の継続実施に必要なもの,障害に対応した情報の提供や問合せ方法の充実,232,82,150,56,94
スポーツ・運動の継続実施に必要なもの,施設や用具等を利用する際に必要な手続きの支援,138,50,88,39,49
スポーツ・運動の継続実施に必要なもの,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進,109,50,59,28,31
スポーツ・運動の継続実施に必要なもの,健康や体調を管理する医療的なサポート,280,93,187,70,117
スポーツ・運動の継続実施に必要なもの,目標となる大会やイベント,136,64,72,37,35
スポーツ・運動の継続実施に必要なもの,スポーツ用具等の貸出し,172,66,106,59,47
スポーツ・運動の継続実施に必要なもの,施設の利用料減免　（利用料が安くなったり、無料になったりする）,314,115,199,80,119
スポーツ・運動の継続実施に必要なもの,リモートにより、障害に応じたスポーツ・運動を指導してくれる支援、またはその充実,89,33,56,22,34
スポーツ・運動の継続実施に必要なもの,自宅でもできる、障害に応じたスポーツ・運動方法についての情報提供、またはその充実,258,76,182,69,113
スポーツ・運動の継続実施に必要なもの,一緒に行う仲間（障害の無い人）,331,139,192,68,124
スポーツ・運動の継続実施に必要なもの,一緒に行う仲間（自分と同じ障害のある人）,291,129,162,66,96
スポーツ・運動の継続実施に必要なもの,一緒に行う仲間（自分と異なる障害のある人）,157,70,87,39,48
スポーツ・運動の継続実施に必要なもの,適切な指導者やコーチ、トレーナー,356,132,224,71,153
スポーツ・運動の継続実施に必要なもの,その他,44,18,26,3,23
スポーツ・運動の継続実施に必要なもの,特にない,362,70,292,43,249
スポーツ・運動の継続実施に必要なもの,わからない,247,42,205,29,176
新たに別のスポーツ・運動を始めるために必要な支援,スタジアム、体育館などの建物や設備のバリアフリー化,245,59,186,84,102
新たに別のスポーツ・運動を始めるために必要な支援,交通機関（電車やバス）やまちのバリアフリー化,228,52,176,72,104
新たに別のスポーツ・運動を始めるために必要な支援,会場までの送迎,321,98,223,80,143
新たに別のスポーツ・運動を始めるために必要な支援,障害者への施設開放の促進（障害者が優先的に使える施設が増える）,159,64,95,46,49
新たに別のスポーツ・運動を始めるために必要な支援,障害にあわせた教室やプログラム,340,123,217,74,143
新たに別のスポーツ・運動を始めるために必要な支援,介助者や手話通訳などの支援,65,25,40,16,24
新たに別のスポーツ・運動を始めるために必要な支援,障害に対応した情報の提供や問合せ方法の充実,142,56,86,35,51
新たに別のスポーツ・運動を始めるために必要な支援,施設や用具等を利用する際に必要な手続きの支援,75,26,49,26,23
新たに別のスポーツ・運動を始めるために必要な支援,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進,54,25,29,15,14
新たに別のスポーツ・運動を始めるために必要な支援,健康や体調を管理する医療的なサポート,186,61,125,35,90
新たに別のスポーツ・運動を始めるために必要な支援,目標となる大会やイベント,85,31,54,26,28
新たに別のスポーツ・運動を始めるために必要な支援,スポーツ用具等の貸出し,102,45,57,26,31
新たに別のスポーツ・運動を始めるために必要な支援,施設の利用料減免（利用料が安くなったり、無料になったりする）,245,92,153,61,92
新たに別のスポーツ・運動を始めるために必要な支援,リモートにより、障害に応じたスポーツ・運動を指導してくれる支援、またはその充実,50,17,33,12,21
新たに別のスポーツ・運動を始めるために必要な支援,自宅でもできる、障害に応じたスポーツ・運動方法についての情報提供、またはその充実,146,37,109,44,65
新たに別のスポーツ・運動を始めるために必要な支援,一緒に行う仲間（障害の無い人）,197,70,127,49,78
新たに別のスポーツ・運動を始めるために必要な支援,一緒に行う仲間（自分と同じ障害のある人）,164,63,101,39,62
新たに別のスポーツ・運動を始めるために必要な支援,一緒に行う仲間（自分と異なる障害のある人）,47,16,31,11,20
新たに別のスポーツ・運動を始めるために必要な支援,適切な指導者やコーチ、トレーナー,303,109,194,72,122
新たに別のスポーツ・運動を始めるために必要な支援,その他,23,11,12,4,8
新たに別のスポーツ・運動を始めるために必要な支援,特にない,396,80,316,48,268
新たに別のスポーツ・運動を始めるために必要な支援,わからない,249,44,205,27,178
スポーツを始めるきっかけとして必要な支援,スタジアム、体育館などの建物や設備のバリアフリー化,31,6,25,11,14
スポーツを始めるきっかけとして必要な支援,交通機関（電車やバス）やまちのバリアフリー化,32,7,25,10,15
スポーツを始めるきっかけとして必要な支援,会場までの送迎,95,13,82,26,56
スポーツを始めるきっかけとして必要な支援,障害者への施設開放の促進（障害者が優先的に使える施設が増える）,35,8,27,7,20
スポーツを始めるきっかけとして必要な支援,障害にあわせた教室やプログラム,112,19,93,27,66
スポーツを始めるきっかけとして必要な支援,介助者や手話通訳などの支援,29,4,25,6,19
スポーツを始めるきっかけとして必要な支援,障害に対応した情報の提供や問合せ方法の充実,38,7,31,7,24
スポーツを始めるきっかけとして必要な支援,施設や用具等を利用する際に必要な手続きの支援,13,2,11,4,7
スポーツを始めるきっかけとして必要な支援,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進,5,0,5,1,4
スポーツを始めるきっかけとして必要な支援,健康や体調を管理する医療的なサポート,65,10,55,9,46
スポーツを始めるきっかけとして必要な支援,目標となる大会やイベント,9,2,7,6,1
スポーツを始めるきっかけとして必要な支援,スポーツ用具等の貸出し,17,4,13,4,9
スポーツを始めるきっかけとして必要な支援,施設の利用料減免（利用料が安くなったり、無料になったりする）,46,15,31,11,20
スポーツを始めるきっかけとして必要な支援,リモートにより、障害に応じたスポーツ・運動を指導してくれる支援、またはその充実,9,0,9,1,8
スポーツを始めるきっかけとして必要な支援,自宅でもできる、障害に応じたスポーツ・運動方法についての情報提供、またはその充実,57,15,42,14,28
スポーツを始めるきっかけとして必要な支援,一緒に行う仲間（障害の無い人）,49,23,26,10,16
スポーツを始めるきっかけとして必要な支援,一緒に行う仲間（自分と同じ障害のある人）,65,22,43,14,29
スポーツを始めるきっかけとして必要な支援,一緒に行う仲間（自分と異なる障害のある人）,13,5,8,5,3
スポーツを始めるきっかけとして必要な支援,適切な指導者やコーチ、トレーナー,87,15,72,16,56
スポーツを始めるきっかけとして必要な支援,その他,23,2,21,1,20
スポーツを始めるきっかけとして必要な支援,特にない,385,43,342,24,318
スポーツを始めるきっかけとして必要な支援,わからない,354,51,303,30,273
スポーツ以外に関心のある事,旅行,1225,320,905,257,648
スポーツ以外に関心のある事,グルメ・食べ歩き,1182,321,861,270,591
スポーツ以外に関心のある事,買い物・ショッピング,840,253,587,191,396
スポーツ以外に関心のある事,テレビ視聴,1133,305,828,210,618
スポーツ以外に関心のある事,動画配信サービス視聴,912,373,539,169,370
スポーツ以外に関心のある事,ＣＤやスマートフォンによる音楽鑑賞,481,194,287,100,187
スポーツ以外に関心のある事,ＳＮＳ閲覧・投稿,528,218,310,107,203
スポーツ以外に関心のある事,インターネット閲覧,957,339,618,194,424
スポーツ以外に関心のある事,映画鑑賞,765,253,512,160,352
スポーツ以外に関心のある事,読書,563,166,397,107,290
スポーツ以外に関心のある事,アニメ／漫画,592,272,320,122,198
スポーツ以外に関心のある事,スマートフォン・家庭用ゲーム機によるゲーム,615,374,241,105,136
スポーツ以外に関心のある事,写真の撮影,289,118,171,56,115
スポーツ以外に関心のある事,遊園地・動物園・水族館などの見物,347,169,178,58,120
スポーツ以外に関心のある事,美術鑑賞,293,87,206,45,161
スポーツ以外に関心のある事,コンサートなどによる音楽鑑賞,350,119,231,65,166
スポーツ以外に関心のある事,演劇・舞踏鑑賞,178,53,125,33,92
スポーツ以外に関心のある事,カラオケ,330,145,185,57,128
スポーツ以外に関心のある事,楽器の演奏,161,57,104,35,69
スポーツ以外に関心のある事,料理・菓子作り,284,104,180,60,120
スポーツ以外に関心のある事,園芸・ガーデニング,189,39,150,37,113
スポーツ以外に関心のある事,日曜大工,75,24,51,17,34
スポーツ以外に関心のある事,編み物・手芸,123,48,75,24,51
スポーツ以外に関心のある事,和裁・洋裁,46,15,31,7,24
スポーツ以外に関心のある事,大道芸や手品等の鑑賞,33,18,15,4,11
スポーツ以外に関心のある事,ギャンブル,103,30,73,17,56
