調査項目,回答,全体(人),スポーツや運動を行っており、満足している(人),スポーツや運動を行っているが、もっと行いたい(人),スポーツや運動を行いたいと思うができない(人),スポーツや運動に関心はない(人)
スポーツ・運動の参加方法,現地の会場で対面での参加,1083,455,297,248,83
スポーツ・運動の参加方法,リモート参加,134,31,59,34,10
スポーツ・運動の参加方法,ハイブリッド（現地参加とリモート参加の両方から選択できる）,241,63,75,84,19
スポーツ・運動の参加方法,参加したいと思わない,1768,300,169,366,933
参加したいスポーツ活動,ルールが簡単,891,343,213,211,124
参加したいスポーツ活動,自分のペースに合わせてできる,1507,503,378,409,217
参加したいスポーツ活動,汗をかかない,151,36,28,44,43
参加したいスポーツ活動,自宅で実施できる,570,132,142,185,111
参加したいスポーツ活動,短い時間で実施できる,705,187,162,239,117
参加したいスポーツ活動,上達したことが分かる,362,124,116,86,36
参加したいスポーツ活動,ゲーム機を使い体を動かして行なうスポーツ・フィットネス等,203,48,73,38,44
参加したいスポーツ活動,好きな種目を選べる,468,156,135,135,42
参加したいスポーツ活動,やったことがないスポーツを試せる,138,46,50,32,10
参加したいスポーツ活動,予約や申し込みなしに、参加したいときに参加できる,355,82,113,123,37
参加したいスポーツ活動,有名な選手に会える,85,32,22,19,12
参加したいスポーツ活動,親子で一緒に参加ができる,149,45,44,41,19
参加したいスポーツ活動,新しい友達をつくることができる,263,93,74,70,26
参加したいスポーツ活動,スポーツ以外に芸術・文化的なパフォーマンスも楽しめる,130,40,36,37,17
参加したいスポーツ活動,失敗しても笑われたり恥ずかしい思いをしない,365,105,101,108,51
参加したいスポーツ活動,新しい道具やウェアを買わなくてよい,326,68,92,125,41
参加したいスポーツ活動,その他,63,7,16,22,18
参加したいスポーツ活動,どのようなスポーツや運動でも参加したいと思わない,909,94,32,142,641
スポーツ・運動の継続実施に必要なもの,スタジアム、体育館などの建物や設備のバリアフリー化,344,173,95,54,22
スポーツ・運動の継続実施に必要なもの,交通機関（電車やバス）やまちのバリアフリー化,375,157,112,85,21
スポーツ・運動の継続実施に必要なもの,会場までの送迎,360,137,120,78,25
スポーツ・運動の継続実施に必要なもの,障害者への施設開放の促進（障害者が優先的に使える施設が増える）,274,94,99,62,19
スポーツ・運動の継続実施に必要なもの,障害にあわせた教室やプログラム,463,161,153,113,36
スポーツ・運動の継続実施に必要なもの,介助者や手話通訳などの支援,120,40,45,25,10
スポーツ・運動の継続実施に必要なもの,障害に対応した情報の提供や問合せ方法の充実,232,80,77,51,24
スポーツ・運動の継続実施に必要なもの,施設や用具等を利用する際に必要な手続きの支援,138,50,53,30,5
スポーツ・運動の継続実施に必要なもの,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進,109,39,46,18,6
スポーツ・運動の継続実施に必要なもの,健康や体調を管理する医療的なサポート,280,99,94,70,17
スポーツ・運動の継続実施に必要なもの,目標となる大会やイベント,136,67,47,16,6
スポーツ・運動の継続実施に必要なもの,スポーツ用具等の貸出し,172,68,64,30,10
スポーツ・運動の継続実施に必要なもの,施設の利用料減免　（利用料が安くなったり、無料になったりする）,314,108,118,74,14
スポーツ・運動の継続実施に必要なもの,リモートにより、障害に応じたスポーツ・運動を指導してくれる支援、またはその充実,89,27,35,22,5
スポーツ・運動の継続実施に必要なもの,自宅でもできる、障害に応じたスポーツ・運動方法についての情報提供、またはその充実,258,86,85,67,20
スポーツ・運動の継続実施に必要なもの,一緒に行う仲間（障害の無い人）,331,141,104,60,26
スポーツ・運動の継続実施に必要なもの,一緒に行う仲間（自分と同じ障害のある人）,291,117,93,62,19
スポーツ・運動の継続実施に必要なもの,一緒に行う仲間（自分と異なる障害のある人）,157,64,51,29,13
スポーツ・運動の継続実施に必要なもの,適切な指導者やコーチ、トレーナー,356,134,118,82,22
スポーツ・運動の継続実施に必要なもの,その他,44,15,14,12,3
スポーツ・運動の継続実施に必要なもの,特にない,362,147,66,59,90
スポーツ・運動の継続実施に必要なもの,わからない,247,74,41,54,78
新たに別のスポーツ・運動を始めるために必要な支援,スタジアム、体育館などの建物や設備のバリアフリー化,245,122,66,32,25
新たに別のスポーツ・運動を始めるために必要な支援,交通機関（電車やバス）やまちのバリアフリー化,228,99,70,39,20
新たに別のスポーツ・運動を始めるために必要な支援,会場までの送迎,321,126,100,75,20
新たに別のスポーツ・運動を始めるために必要な支援,障害者への施設開放の促進（障害者が優先的に使える施設が増える）,159,59,55,36,9
新たに別のスポーツ・運動を始めるために必要な支援,障害にあわせた教室やプログラム,340,129,102,85,24
新たに別のスポーツ・運動を始めるために必要な支援,介助者や手話通訳などの支援,65,23,26,10,6
新たに別のスポーツ・運動を始めるために必要な支援,障害に対応した情報の提供や問合せ方法の充実,142,59,44,29,10
新たに別のスポーツ・運動を始めるために必要な支援,施設や用具等を利用する際に必要な手続きの支援,75,25,32,12,6
新たに別のスポーツ・運動を始めるために必要な支援,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進,54,23,18,7,6
新たに別のスポーツ・運動を始めるために必要な支援,健康や体調を管理する医療的なサポート,186,67,54,51,14
新たに別のスポーツ・運動を始めるために必要な支援,目標となる大会やイベント,85,43,26,9,7
新たに別のスポーツ・運動を始めるために必要な支援,スポーツ用具等の貸出し,102,46,28,24,4
新たに別のスポーツ・運動を始めるために必要な支援,施設の利用料減免（利用料が安くなったり、無料になったりする）,245,83,98,52,12
新たに別のスポーツ・運動を始めるために必要な支援,リモートにより、障害に応じたスポーツ・運動を指導してくれる支援、またはその充実,50,19,11,16,4
新たに別のスポーツ・運動を始めるために必要な支援,自宅でもできる、障害に応じたスポーツ・運動方法についての情報提供、またはその充実,146,48,44,45,9
新たに別のスポーツ・運動を始めるために必要な支援,一緒に行う仲間（障害の無い人）,197,94,49,32,22
新たに別のスポーツ・運動を始めるために必要な支援,一緒に行う仲間（自分と同じ障害のある人）,164,77,50,29,8
新たに別のスポーツ・運動を始めるために必要な支援,一緒に行う仲間（自分と異なる障害のある人）,47,19,12,10,6
新たに別のスポーツ・運動を始めるために必要な支援,適切な指導者やコーチ、トレーナー,303,117,101,64,21
新たに別のスポーツ・運動を始めるために必要な支援,その他,23,4,8,6,5
新たに別のスポーツ・運動を始めるために必要な支援,特にない,396,169,75,61,91
新たに別のスポーツ・運動を始めるために必要な支援,わからない,249,79,50,51,69
スポーツを始めるきっかけとして必要な支援,スタジアム、体育館などの建物や設備のバリアフリー化,31,0,2,20,9
スポーツを始めるきっかけとして必要な支援,交通機関（電車やバス）やまちのバリアフリー化,32,0,1,17,14
スポーツを始めるきっかけとして必要な支援,会場までの送迎,95,0,2,56,37
スポーツを始めるきっかけとして必要な支援,障害者への施設開放の促進（障害者が優先的に使える施設が増える）,35,0,3,18,14
スポーツを始めるきっかけとして必要な支援,障害にあわせた教室やプログラム,112,1,4,59,48
スポーツを始めるきっかけとして必要な支援,介助者や手話通訳などの支援,29,0,1,14,14
スポーツを始めるきっかけとして必要な支援,障害に対応した情報の提供や問合せ方法の充実,38,0,3,18,17
スポーツを始めるきっかけとして必要な支援,施設や用具等を利用する際に必要な手続きの支援,13,0,1,7,5
スポーツを始めるきっかけとして必要な支援,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進,5,0,0,2,3
スポーツを始めるきっかけとして必要な支援,健康や体調を管理する医療的なサポート,65,0,1,30,34
スポーツを始めるきっかけとして必要な支援,目標となる大会やイベント,9,0,0,6,3
スポーツを始めるきっかけとして必要な支援,スポーツ用具等の貸出し,17,0,0,13,4
スポーツを始めるきっかけとして必要な支援,施設の利用料減免（利用料が安くなったり、無料になったりする）,46,0,4,33,9
スポーツを始めるきっかけとして必要な支援,リモートにより、障害に応じたスポーツ・運動を指導してくれる支援、またはその充実,9,0,0,6,3
スポーツを始めるきっかけとして必要な支援,自宅でもできる、障害に応じたスポーツ・運動方法についての情報提供、またはその充実,57,2,1,28,26
スポーツを始めるきっかけとして必要な支援,一緒に行う仲間（障害の無い人）,49,1,0,23,25
スポーツを始めるきっかけとして必要な支援,一緒に行う仲間（自分と同じ障害のある人）,65,1,1,25,38
スポーツを始めるきっかけとして必要な支援,一緒に行う仲間（自分と異なる障害のある人）,13,2,0,6,5
スポーツを始めるきっかけとして必要な支援,適切な指導者やコーチ、トレーナー,87,1,1,44,41
スポーツを始めるきっかけとして必要な支援,その他,23,0,0,8,15
スポーツを始めるきっかけとして必要な支援,特にない,385,4,4,71,306
スポーツを始めるきっかけとして必要な支援,わからない,354,5,7,73,269
スポーツ以外に関心のある事,旅行,1225,428,282,293,222
スポーツ以外に関心のある事,グルメ・食べ歩き,1182,384,265,291,242
スポーツ以外に関心のある事,買い物・ショッピング,840,268,175,209,188
スポーツ以外に関心のある事,テレビ視聴,1133,295,220,295,323
スポーツ以外に関心のある事,動画配信サービス視聴,912,256,208,235,213
スポーツ以外に関心のある事,ＣＤやスマートフォンによる音楽鑑賞,481,149,118,124,90
スポーツ以外に関心のある事,ＳＮＳ閲覧・投稿,528,151,121,141,115
スポーツ以外に関心のある事,インターネット閲覧,957,263,198,255,241
スポーツ以外に関心のある事,映画鑑賞,765,233,163,214,155
スポーツ以外に関心のある事,読書,563,173,128,132,130
スポーツ以外に関心のある事,アニメ／漫画,592,169,130,128,165
スポーツ以外に関心のある事,スマートフォン・家庭用ゲーム機によるゲーム,615,186,136,124,169
スポーツ以外に関心のある事,写真の撮影,289,96,80,66,47
スポーツ以外に関心のある事,遊園地・動物園・水族館などの見物,347,110,92,87,58
スポーツ以外に関心のある事,美術鑑賞,293,97,66,82,48
スポーツ以外に関心のある事,コンサートなどによる音楽鑑賞,350,92,76,97,85
スポーツ以外に関心のある事,演劇・舞踏鑑賞,178,55,42,52,29
スポーツ以外に関心のある事,カラオケ,330,93,77,87,73
スポーツ以外に関心のある事,楽器の演奏,161,54,39,41,27
スポーツ以外に関心のある事,料理・菓子作り,284,84,63,81,56
スポーツ以外に関心のある事,園芸・ガーデニング,189,57,38,56,38
スポーツ以外に関心のある事,日曜大工,75,24,20,21,10
スポーツ以外に関心のある事,編み物・手芸,123,25,30,34,34
スポーツ以外に関心のある事,和裁・洋裁,46,15,10,11,10
スポーツ以外に関心のある事,大道芸や手品等の鑑賞,33,14,8,8,3
スポーツ以外に関心のある事,ギャンブル,103,23,20,27,33
スポーツ以外に関心のある事,その他,134,28,20,42,44
スポーツ以外に関心のある事,特にない,322,31,15,42,234
情報入手先,家族,1446,475,280,320,371
情報入手先,友人,791,296,181,171,143
情報入手先,学校や職場、施設の人,564,200,139,111,114
情報入手先,ボランティア,76,32,28,12,4
情報入手先,ホームヘルパー、ガイドヘルパーなどの支援者,206,52,51,61,42
情報入手先,医師や看護師、理学療法士、作業療法士などの医療関係者,367,90,91,106,80
情報入手先,テレビ,1551,400,283,384,484
情報入手先,ラジオ,314,91,72,65,86
情報入手先,新聞,466,136,91,115,124
情報入手先,雑誌,199,66,53,44,36
情報入手先,障害者団体の会合や機関誌,80,27,24,16,13
情報入手先,検索エンジンを活用（Yahoo!、Googleなど）,743,211,150,203,179
情報入手先,インターネットのニュースサイトやニュースアプリ,1129,297,234,288,310
