調査項目,回答,全体(人),自宅(人),道路や遊歩道(人),広場や公園(人),民間のスポーツ施設(人),公共のスポーツ施設（障害者専用施設）(人),公共のスポーツ施設（障害者専用施設以外）(人),小中高校の体育施設(人),特別支援学校の体育施設(人),職場のスポーツ施設(人),福祉施設(人),児童通所サービス（放課後等デイサービス等）(人),医療機関（病院やリハビリ施設）(人),山・川・海・空(人),その他(人),わからない(人)
過去1年間の実施種目,球技（キャッチボールなどのボールを使った軽い運動も含めます）,124,44,37,61,41,18,34,51,19,3,5,23,5,26,2,1
過去1年間の実施種目,ダンス（フォークダンス、ジャズダンス、社交ダンス、フラダンス、バレエ、民謡踊りなど）,94,39,29,34,36,13,22,23,15,3,5,20,5,18,4,1
過去1年間の実施種目,格闘技（ボクシング、レスリング、相撲（すもう）など）,19,4,5,6,9,3,7,2,5,3,3,2,1,2,3,0
過去1年間の実施種目,武道（柔道、剣道、空手、合気道など）,24,11,6,6,8,5,10,7,2,4,4,4,2,4,1,0
過去1年間の実施種目,射的（弓道、アーチェリー、ダーツ、スポーツ吹矢など）,15,7,5,5,4,6,3,4,4,2,2,1,0,1,0,2
過去1年間の実施種目,ウィンタースポーツ（スキー、スノーボード、スケートなど）,47,16,13,18,20,9,11,12,3,4,1,5,1,22,3,0
過去1年間の実施種目,ウォータースポーツ（ボート、ヨット、スキンダイビング、スクーバダイビング、カヌー、水上バイク、サーフィン、ウィンドサーフィン、ボディボード、ボードセーリングなど）,38,20,16,15,11,9,8,8,5,5,3,6,2,17,3,0
過去1年間の実施種目,スカイスポーツ（ハンググライダー、パラグライダー、スカイダイビングなど）,13,7,8,5,5,3,3,3,2,2,3,3,0,1,0,0
過去1年間の実施種目,アウトドアスポーツ（ハイキング、ワンダーフォーゲル、釣り、登山、キャンプなど）,105,57,56,49,29,12,25,19,4,5,3,10,5,67,2,0
過去1年間の実施種目,サイクリング、モーター（サイクル）スポーツ,114,54,82,54,32,10,17,17,6,3,5,8,8,35,6,1
過去1年間の実施種目,運動あそび（鬼ごっこ、かくれんぼ、鉄棒、ぶらんこなど）,134,63,45,83,43,13,32,46,21,2,5,50,5,42,1,0
過去1年間の実施種目,ゲーム機を使い体を動かして行うスポーツ・フィットネス等,79,63,36,33,20,5,14,14,3,1,3,8,2,16,1,1
過去1年間の実施種目,その他,53,15,13,6,14,2,12,7,6,0,3,2,4,4,7,4
過去1年間の実施種目,この1年間に運動・スポーツは行わなかった,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
実施頻度（1年間）,週3日以上（年151日以上）,604,281,374,191,84,26,48,47,20,11,14,25,27,47,12,1
実施頻度（1年間）,週2日程度（年101日～150日）,429,174,241,154,88,40,61,37,32,13,17,29,12,43,10,1
実施頻度（1年間）,週1日程度（年51日～100日）,506,190,242,156,92,39,52,25,14,4,23,16,19,33,8,4
実施頻度（1年間）,月に1～3日程度（年12日～50日）,280,94,117,91,33,15,54,9,11,5,7,9,6,23,8,2
実施頻度（1年間）,3か月に1～2日程度（年4日～11日）,75,18,27,16,12,6,15,3,2,1,0,2,1,15,3,3
実施頻度（1年間）,年に1～3日程度,52,20,22,6,1,3,4,2,4,0,2,3,0,6,3,1
実施頻度（1年間）,わからない,145,52,60,19,4,1,7,5,2,1,1,3,3,4,0,35
一緒に実施する人,一人,1133,561,749,348,140,29,102,28,9,10,17,11,33,84,21,9
一緒に実施する人,家族,762,363,458,343,105,51,95,60,35,10,25,48,30,119,17,6
一緒に実施する人,福祉施設の職員・仲間,174,82,76,55,32,36,23,10,18,9,44,18,28,11,7,2
一緒に実施する人,障害がある人のサークル・障害者スポーツサークル等の仲間,91,21,30,29,32,43,24,13,19,8,15,9,6,6,1,0
一緒に実施する人,障害がある人やない人など様々な人がいるサークルの仲間,107,35,30,40,36,38,40,17,20,14,8,9,3,11,2,0
一緒に実施する人,スポーツ教室の指導者・仲間,151,37,40,46,81,28,56,37,14,9,8,18,7,23,3,1
一緒に実施する人,障害者専用スポーツ施設の職員・仲間,61,21,17,18,24,29,17,9,14,9,8,8,5,4,2,0
一緒に実施する人,地域の公共スポーツ施設の職員・仲間,48,18,13,16,13,18,20,10,10,11,6,6,3,7,0,0
一緒に実施する人,ボランティアの人たち,54,19,22,26,15,16,17,10,10,5,11,4,6,5,0,0
一緒に実施する人,学校の先生や学校の友達,150,50,45,65,36,12,32,70,46,3,6,38,5,35,1,0
一緒に実施する人,児童通所サービス（放課後等デイサービス等）の職員・仲間,86,29,28,32,19,9,15,19,26,2,5,68,4,18,1,0
一緒に実施する人,その他の友人・知人,137,61,68,70,44,4,37,20,1,3,4,6,5,45,5,2
一緒に実施する人,その他,35,19,17,9,2,0,3,1,0,0,1,3,11,2,10,0
一緒に実施する人,わからない,40,4,4,2,1,0,1,1,0,0,0,2,0,0,1,30
実施した理由,健康・体力づくりのため,1503,667,875,512,231,73,180,91,55,19,44,61,47,135,33,8
実施した理由,楽しみや気晴らしのため,890,356,504,366,172,71,125,85,46,15,34,52,25,130,23,7
実施した理由,運動不足解消のため,1109,506,675,422,169,60,150,69,45,16,33,54,40,111,22,4
実施した理由,精神の修養や訓練のため（心をきたえるため）,240,103,116,96,61,35,48,26,15,14,11,18,7,31,4,0
実施した理由,自己の記録や能力を向上させるため,182,76,71,65,55,30,42,26,22,11,11,18,8,32,3,0
実施した理由,リハビリテーションや医療・治療のため,340,184,182,106,54,37,49,17,21,14,31,18,53,26,10,1
実施した理由,家族のふれあいのため,154,72,87,101,39,12,29,26,14,2,9,20,8,48,3,0
実施した理由,友人・仲間との交流のため,254,97,100,106,75,35,64,54,31,14,20,34,9,63,5,1
実施した理由,美容や肥満解消（ダイエット）のため,217,112,130,67,40,7,48,13,7,6,6,7,9,26,6,2
実施した理由,障害者スポーツ大会に参加するため,17,6,4,4,8,6,7,3,5,1,2,2,2,4,0,0
実施した理由,その他,36,9,22,11,5,1,3,7,3,1,1,2,1,4,4,0
実施した理由,わからない,61,16,13,5,1,0,2,1,0,0,0,2,0,0,0,32
実施したきっかけ,家族に奨められた,561,293,308,213,90,33,63,38,21,5,17,17,23,53,10,5
実施したきっかけ,（障害のある）友人・知人・同僚に奨められた,101,50,44,51,30,34,17,13,9,5,10,6,2,14,1,0
実施したきっかけ,（障害のない）友人・知人・同僚に奨められた,119,50,58,50,41,18,28,19,7,8,7,5,2,16,1,1
実施したきっかけ,医師に奨められた,500,253,328,192,61,32,52,13,13,6,24,10,39,29,15,2
実施したきっかけ,看護師に奨められた,114,59,58,47,19,21,19,13,9,5,12,10,11,7,5,0
実施したきっかけ,作業療法士（OT）に奨められた,100,48,45,41,21,19,12,14,13,4,14,13,14,9,2,1
実施したきっかけ,理学療法士（PT）に奨められた,128,68,56,39,26,22,17,11,12,8,18,12,23,6,6,0
実施したきっかけ,言語聴覚士（ST）に奨められた,39,9,12,13,12,18,10,9,8,8,7,7,3,4,0,0
実施したきっかけ,視能訓練士（CO）に奨められた,21,7,4,5,10,5,6,4,7,5,2,3,1,0,0,0
実施したきっかけ,義肢装具士に奨められた,15,7,4,5,3,6,3,3,5,4,4,3,1,0,0,0
実施したきっかけ,介護福祉士に奨められた,43,22,18,15,9,12,6,6,11,6,7,4,7,1,3,0
実施したきっかけ,社会福祉士（ソーシャルワーカー）に奨められた,49,15,18,16,14,14,11,4,6,3,7,5,6,5,1,0
実施したきっかけ,スポーツ指導者に奨められた,20,4,4,6,8,9,7,8,3,0,5,0,1,3,0,0
実施したきっかけ,パラスポーツ指導員（旧障害者スポーツ指導員）に奨められた,19,5,2,7,7,6,9,3,8,6,1,4,1,2,0,0
実施したきっかけ,学校の先生に奨められた,57,20,12,29,13,14,19,17,16,5,4,9,2,16,0,0
実施したきっかけ,学校の授業等で興味を持ち、自主的に始めた,64,27,21,23,20,9,14,27,16,3,3,14,2,19,2,0
実施したきっかけ,所属する団体（会社等）に奨められた,17,7,7,4,6,4,7,3,3,4,4,2,1,1,0,0
実施したきっかけ,障害のある有名選手・パラアスリートの影響,14,6,4,6,4,6,3,1,3,3,2,1,2,1,0,0
実施したきっかけ,障害のない有名選手・アスリートの影響,13,8,8,4,4,4,4,0,3,1,4,0,0,3,1,0
実施したきっかけ,テレビや新聞の影響,66,39,44,29,14,4,12,0,4,3,5,1,5,7,2,0
実施したきっかけ,インターネットや動画配信を見て,81,51,51,35,17,5,16,2,5,0,3,3,4,11,1,1
実施したきっかけ,ＳＮＳの影響,40,26,21,19,9,4,11,2,3,2,4,2,3,3,0,1
実施したきっかけ,漫画、ドラマ、映画等の影響,20,13,9,9,8,1,8,3,2,2,1,1,1,5,0,0
実施したきっかけ,現地やテレビ等でそのスポーツを観た,22,9,12,9,5,5,7,3,2,2,2,2,2,7,1,0
実施したきっかけ,スポーツ団体等の関係者から誘われた,11,3,4,4,5,1,8,5,0,0,3,1,1,4,0,1
実施したきっかけ,スポーツイベントや体験会等で興味を持った,18,7,5,8,7,5,6,7,1,1,2,5,2,7,1,0
実施したきっかけ,スポーツ以外をテーマとするイベント（福祉祭り等の中の講演や体験会等）で興味を持った,6,2,2,2,3,2,4,0,0,0,0,2,0,1,0,0
実施したきっかけ,福祉施設で実施している運動プログラムに参加して,36,14,16,14,4,9,8,3,5,0,9,12,6,5,4,0
実施したきっかけ,行政の広報誌,15,4,7,6,3,2,7,1,1,0,2,1,0,1,3,0
実施したきっかけ,その他,89,30,48,25,13,4,13,6,4,1,2,3,5,14,6,3
実施したきっかけ,特にきっかけはない・なんとなく,676,231,385,179,87,11,63,30,15,4,7,27,5,65,11,34
スポーツ・運動への取組意向,スポーツや運動を行っており、満足している,834,342,406,284,177,61,108,78,44,18,26,29,25,80,16,6
スポーツ・運動への取組意向,スポーツや運動を行っているが、もっと行いたい,578,235,293,192,95,52,88,29,25,11,20,34,17,53,15,3
スポーツ・運動への取組意向,スポーツや運動を行いたいと思うができない,396,167,230,100,33,11,37,12,10,3,11,16,21,28,9,6
スポーツ・運動への取組意向,スポーツや運動に関心はない,283,85,154,57,9,6,8,9,6,3,7,8,5,10,4,32
実施していない理由,医師に止められており、身体的にできない,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
実施していない理由,どのくらい体を動かしたらよいかわからない,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
実施していない理由,身近なところにスポーツや運動ができる場所がない,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
実施していない理由,スポーツや運動ができる場所への移動手段がない,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
実施していない理由,自分に合ったスポーツや運動の情報がない,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
実施していない理由,一緒にできる仲間がいない,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
実施していない理由,介助者がいない,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
実施していない理由,金銭的な余裕がない,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
実施していない理由,時間がない,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
実施していない理由,必要な競技用具や補助具がない,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
実施していない理由,その他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
実施していない理由,活動したいと思わない,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
活動したいと思わない理由,スポーツ・運動が嫌いだから,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
活動したいと思わない理由,スポーツ・運動に興味がないから,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
活動したいと思わない理由,スポーツ・運動を楽しんだ経験がないから,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
活動したいと思わない理由,疲れるから,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
活動したいと思わない理由,人前に出るのが好きではないから,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
活動したいと思わない理由,学校の体育や部活動等で苦手意識を持ったから,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
活動したいと思わない理由,一緒に運動・スポーツする人に迷惑をかけるのではないかと心配だから,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
活動したいと思わない理由,スポーツ以外に趣味があるから,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
活動したいと思わない理由,忙しいから,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
活動したいと思わない理由,その他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
活動したいと思わない理由,わからない,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
学校体育の参加状況,参加していて、体育が好きである,241,81,70,97,67,43,55,67,52,7,8,55,5,48,1,0
学校体育の参加状況,参加しているが、体育は好きではない,111,35,30,31,20,9,11,26,4,5,2,10,1,9,2,1
学校体育の参加状況,参加していない,22,10,4,8,2,0,2,1,1,0,0,2,0,0,1,0
学校体育の参加状況,わからない,17,3,4,1,0,0,0,1,4,0,0,4,0,2,0,4
学校体育に参加しない理由,授業の内容のとおりに身体を動かすことができないから,5,5,0,2,0,0,0,0,0,0,0,1,0,0,0,0
学校体育に参加しない理由,自分にはできないと思ったから,6,3,2,3,0,0,0,1,0,0,0,0,0,0,0,0
学校体育に参加しない理由,他の生徒や先生に迷惑をかけると思ったから,6,3,0,2,2,0,1,0,0,0,0,1,0,0,0,0
学校体育に参加しない理由,参加するために必要なスポーツ用具がなかったから,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
学校体育に参加しない理由,医師から止められていたから,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
学校体育に参加しない理由,学校の先生から見学するように言われたから,2,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0
学校体育に参加しない理由,身体を動かすことが怖いから,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
学校体育に参加しない理由,その他,5,1,2,3,0,0,0,0,0,0,0,1,0,0,1,0
スポーツ・運動の参加方法,現地の会場で対面での参加,936,350,416,305,216,84,171,97,60,23,43,62,38,111,23,4
スポーツ・運動の参加方法,リモート参加,110,53,40,34,16,15,7,4,3,3,7,2,1,3,1,1
スポーツ・運動の参加方法,ハイブリッド（現地参加とリモート参加の両方から選択できる）,195,85,86,82,28,20,30,14,12,6,6,9,11,16,5,0
スポーツ・運動の参加方法,参加したいと思わない,850,341,541,212,54,11,33,13,10,3,8,14,18,41,15,42
参加したいスポーツ活動,ルールが簡単,736,335,379,279,137,49,96,72,44,12,32,58,19,73,13,10
