調査項目,回答,全体(人),実際に体を動かして行う、スポーツやフィットネスのゲーム（「ニンテンドースイッチスポーツ」や「リングフィットアドベンチャー」、「ウィーフィット」など）をやったことがある(人),実際に体を動かして行う、スポーツやフィットネスのゲーム（「ニンテンドースイッチスポーツ」や「リングフィットアドベンチャー」、「ウィーフィット」など）をやったことがない(人),「やったことがない」のうち、やりたい(人),「やったことがない」のうち、やりたいと思わない(人)
過去1年間の実施種目,ボッチャ,50,16,34,16,18
過去1年間の実施種目,球技（キャッチボールなどのボールを使った軽い運動も含めます）,124,47,77,43,34
過去1年間の実施種目,ダンス（フォークダンス、ジャズダンス、社交ダンス、フラダンス、バレエ、民謡踊りなど）,94,35,59,26,33
過去1年間の実施種目,格闘技（ボクシング、レスリング、相撲（すもう）など）,19,7,12,8,4
過去1年間の実施種目,武道（柔道、剣道、空手、合気道など）,24,11,13,6,7
過去1年間の実施種目,射的（弓道、アーチェリー、ダーツ、スポーツ吹矢など）,15,10,5,2,3
過去1年間の実施種目,ウィンタースポーツ（スキー、スノーボード、スケートなど）,47,26,21,10,11
過去1年間の実施種目,ウォータースポーツ（ボート、ヨット、スキンダイビング、スクーバダイビング、カヌー、水上バイク、サーフィン、ウィンドサーフィン、ボディボード、ボードセーリングなど）,38,17,21,11,10
過去1年間の実施種目,スカイスポーツ（ハンググライダー、パラグライダー、スカイダイビングなど）,13,9,4,3,1
過去1年間の実施種目,アウトドアスポーツ（ハイキング、ワンダーフォーゲル、釣り、登山、キャンプなど）,105,40,65,31,34
過去1年間の実施種目,サイクリング、モーター（サイクル）スポーツ,114,34,80,38,42
過去1年間の実施種目,運動あそび（鬼ごっこ、かくれんぼ、鉄棒、ぶらんこなど）,134,48,86,53,33
過去1年間の実施種目,ゲーム機を使い体を動かして行うスポーツ・フィットネス等,79,65,14,9,5
過去1年間の実施種目,その他,53,10,43,17,26
過去1年間の実施種目,この1年間に運動・スポーツは行わなかった,1135,66,1069,179,890
実施頻度（1年間）,週3日以上（年151日以上）,604,131,473,148,325
実施頻度（1年間）,週2日程度（年101日～150日）,429,117,312,145,167
実施頻度（1年間）,週1日程度（年51日～100日）,506,106,400,163,237
実施頻度（1年間）,月に1～3日程度（年12日～50日）,280,55,225,97,128
実施頻度（1年間）,3か月に1～2日程度（年4日～11日）,75,14,61,23,38
実施頻度（1年間）,年に1～3日程度,52,11,41,14,27
実施頻度（1年間）,わからない,145,15,130,31,99
実施した場所,自宅,829,242,587,235,352
実施した場所,道路や遊歩道,1083,195,888,302,586
実施した場所,広場や公園,633,166,467,203,264
実施した場所,民間のスポーツ施設,314,105,209,111,98
実施した場所,公共のスポーツ施設（障害者専用施設）,130,52,78,54,24
実施した場所,公共のスポーツ施設（障害者専用施設以外）,241,67,174,96,78
実施した場所,小中高校の体育施設,128,47,81,49,32
実施した場所,特別支援学校の体育施設,85,31,54,26,28
実施した場所,職場のスポーツ施設,35,17,18,10,8
実施した場所,福祉施設,64,19,45,16,29
実施した場所,児童通所サービス（放課後等デイサービス等）,87,26,61,31,30
実施した場所,医療機関（病院やリハビリ施設）,68,11,57,20,37
実施した場所,山・川・海・空,171,56,115,59,56
実施した場所,その他,44,3,41,15,26
実施した場所,わからない,47,2,45,3,42
一緒に実施する人,一人,1133,222,911,324,587
一緒に実施する人,家族,762,211,551,242,309
一緒に実施する人,福祉施設の職員・仲間,174,46,128,48,80
一緒に実施する人,障害がある人のサークル・障害者スポーツサークル等の仲間,91,35,56,36,20
一緒に実施する人,障害がある人やない人など様々な人がいるサークルの仲間,107,35,72,44,28
一緒に実施する人,スポーツ教室の指導者・仲間,151,45,106,55,51
一緒に実施する人,障害者専用スポーツ施設の職員・仲間,61,20,41,24,17
一緒に実施する人,地域の公共スポーツ施設の職員・仲間,48,18,30,15,15
一緒に実施する人,ボランティアの人たち,54,18,36,22,14
一緒に実施する人,学校の先生や学校の友達,150,56,94,50,44
一緒に実施する人,児童通所サービス（放課後等デイサービス等）の職員・仲間,86,24,62,32,30
一緒に実施する人,その他の友人・知人,137,44,93,46,47
一緒に実施する人,その他,35,2,33,13,20
一緒に実施する人,わからない,40,1,39,3,36
実施した理由,健康・体力づくりのため,1503,338,1165,448,717
実施した理由,楽しみや気晴らしのため,890,251,639,272,367
実施した理由,運動不足解消のため,1109,255,854,340,514
実施した理由,精神の修養や訓練のため（心をきたえるため）,240,77,163,85,78
実施した理由,自己の記録や能力を向上させるため,182,62,120,61,59
実施した理由,リハビリテーションや医療・治療のため,340,65,275,105,170
実施した理由,家族のふれあいのため,154,56,98,51,47
実施した理由,友人・仲間との交流のため,254,92,162,92,70
実施した理由,美容や肥満解消（ダイエット）のため,217,70,147,82,65
実施した理由,障害者スポーツ大会に参加するため,17,9,8,2,6
実施した理由,その他,36,4,32,13,19
実施した理由,わからない,61,1,60,8,52
実施したきっかけ,家族に奨められた,561,172,389,143,246
実施したきっかけ,（障害のある）友人・知人・同僚に奨められた,101,41,60,37,23
実施したきっかけ,（障害のない）友人・知人・同僚に奨められた,119,37,82,50,32
実施したきっかけ,医師に奨められた,500,92,408,146,262
実施したきっかけ,看護師に奨められた,114,34,80,31,49
実施したきっかけ,作業療法士（OT）に奨められた,100,29,71,39,32
実施したきっかけ,理学療法士（PT）に奨められた,128,25,103,41,62
実施したきっかけ,言語聴覚士（ST）に奨められた,39,20,19,10,9
実施したきっかけ,視能訓練士（CO）に奨められた,21,7,14,9,5
実施したきっかけ,義肢装具士に奨められた,15,7,8,7,1
実施したきっかけ,介護福祉士に奨められた,43,15,28,13,15
実施したきっかけ,社会福祉士（ソーシャルワーカー）に奨められた,49,14,35,15,20
実施したきっかけ,スポーツ指導者に奨められた,20,9,11,8,3
実施したきっかけ,パラスポーツ指導員（旧障害者スポーツ指導員）に奨められた,19,13,6,5,1
実施したきっかけ,学校の先生に奨められた,57,23,34,19,15
実施したきっかけ,学校の授業等で興味を持ち、自主的に始めた,64,25,39,21,18
実施したきっかけ,所属する団体（会社等）に奨められた,17,7,10,6,4
実施したきっかけ,障害のある有名選手・パラアスリートの影響,14,4,10,8,2
実施したきっかけ,障害のない有名選手・アスリートの影響,13,5,8,6,2
実施したきっかけ,テレビや新聞の影響,66,22,44,21,23
実施したきっかけ,インターネットや動画配信を見て,81,32,49,30,19
実施したきっかけ,ＳＮＳの影響,40,18,22,12,10
実施したきっかけ,漫画、ドラマ、映画等の影響,20,10,10,6,4
実施したきっかけ,現地やテレビ等でそのスポーツを観た,22,8,14,10,4
実施したきっかけ,スポーツ団体等の関係者から誘われた,11,5,6,2,4
実施したきっかけ,スポーツイベントや体験会等で興味を持った,18,7,11,7,4
実施したきっかけ,スポーツ以外をテーマとするイベント（福祉祭り等の中の講演や体験会等）で興味を持った,6,2,4,4,0
実施したきっかけ,福祉施設で実施している運動プログラムに参加して,36,8,28,9,19
実施したきっかけ,行政の広報誌,15,1,14,6,8
実施したきっかけ,その他,89,10,79,30,49
実施したきっかけ,特にきっかけはない・なんとなく,676,114,562,172,390
スポーツ・運動への取組意向,スポーツや運動を行っており、満足している,849,218,631,251,380
スポーツ・運動への取組意向,スポーツや運動を行っているが、もっと行いたい,600,127,473,217,256
スポーツ・運動への取組意向,スポーツや運動を行いたいと思うができない,732,102,630,214,416
スポーツ・運動への取組意向,スポーツや運動に関心はない,1045,68,977,118,859
実施していない理由,医師に止められており、身体的にできない,127,5,122,17,105
実施していない理由,どのくらい体を動かしたらよいかわからない,74,5,69,14,55
実施していない理由,身近なところにスポーツや運動ができる場所がない,61,4,57,26,31
実施していない理由,スポーツや運動ができる場所への移動手段がない,40,2,38,15,23
実施していない理由,自分に合ったスポーツや運動の情報がない,89,5,84,32,52
実施していない理由,一緒にできる仲間がいない,96,12,84,30,54
実施していない理由,介助者がいない,93,2,91,30,61
実施していない理由,金銭的な余裕がない,117,10,107,36,71
実施していない理由,時間がない,90,8,82,31,51
実施していない理由,必要な競技用具や補助具がない,42,1,41,10,31
実施していない理由,その他,87,6,81,15,66
実施していない理由,活動したいと思わない,666,34,632,51,581
活動したいと思わない理由,スポーツ・運動が嫌いだから,158,9,149,14,135
活動したいと思わない理由,スポーツ・運動に興味がないから,151,11,140,14,126
活動したいと思わない理由,スポーツ・運動を楽しんだ経験がないから,39,3,36,3,33
活動したいと思わない理由,疲れるから,163,12,151,13,138
活動したいと思わない理由,人前に出るのが好きではないから,57,7,50,7,43
活動したいと思わない理由,学校の体育や部活動等で苦手意識を持ったから,23,2,21,4,17
活動したいと思わない理由,一緒に運動・スポーツする人に迷惑をかけるのではないかと心配だから,18,2,16,3,13
活動したいと思わない理由,スポーツ以外に趣味があるから,64,9,55,4,51
活動したいと思わない理由,忙しいから,34,2,32,2,30
活動したいと思わない理由,その他,56,1,55,6,49
活動したいと思わない理由,わからない,216,6,210,15,195
学校体育の参加状況,参加していて、体育が好きである,279,103,176,98,78
学校体育の参加状況,参加しているが、体育は好きではない,146,35,111,57,54
学校体育の参加状況,参加していない,42,7,35,14,21
学校体育の参加状況,わからない,37,1,36,6,30
学校体育に参加しない理由,授業の内容のとおりに身体を動かすことができないから,9,3,6,2,4
学校体育に参加しない理由,自分にはできないと思ったから,12,1,11,6,5
学校体育に参加しない理由,他の生徒や先生に迷惑をかけると思ったから,6,3,3,1,2
学校体育に参加しない理由,参加するために必要なスポーツ用具がなかったから,1,0,1,1,0
学校体育に参加しない理由,医師から止められていたから,1,0,1,0,1
学校体育に参加しない理由,学校の先生から見学するように言われたから,3,1,2,0,2
学校体育に参加しない理由,身体を動かすことが怖いから,5,0,5,0,5
学校体育に参加しない理由,その他,12,3,9,6,3
スポーツ・運動の参加方法,現地の会場で対面での参加,1083,275,808,412,396
スポーツ・運動の参加方法,リモート参加,134,35,99,54,45
スポーツ・運動の参加方法,ハイブリッド（現地参加とリモート参加の両方から選択できる）,241,56,185,95,90
スポーツ・運動の参加方法,参加したいと思わない,1768,149,1619,239,1380
参加したいスポーツ活動,ルールが簡単,891,250,641,316,325
参加したいスポーツ活動,自分のペースに合わせてできる,1507,302,1205,504,701
参加したいスポーツ活動,汗をかかない,151,35,116,42,74
参加したいスポーツ活動,自宅で実施できる,570,110,460,177,283
参加したいスポーツ活動,短い時間で実施できる,705,129,576,247,329
参加したいスポーツ活動,上達したことが分かる,362,114,248,147,101
参加したいスポーツ活動,ゲーム機を使い体を動かして行なうスポーツ・フィットネス等,203,89,114,85,29
参加したいスポーツ活動,好きな種目を選べる,468,140,328,177,151
参加したいスポーツ活動,やったことがないスポーツを試せる,138,51,87,61,26
参加したいスポーツ活動,予約や申し込みなしに、参加したいときに参加できる,355,94,261,138,123
参加したいスポーツ活動,有名な選手に会える,85,35,50,30,20
参加したいスポーツ活動,親子で一緒に参加ができる,149,45,104,67,37
参加したいスポーツ活動,新しい友達をつくることができる,263,84,179,110,69
参加したいスポーツ活動,スポーツ以外に芸術・文化的なパフォーマンスも楽しめる,130,34,96,50,46
参加したいスポーツ活動,失敗しても笑われたり恥ずかしい思いをしない,365,98,267,149,118
参加したいスポーツ活動,新しい道具やウェアを買わなくてよい,326,59,267,125,142
参加したいスポーツ活動,その他,63,7,56,12,44
参加したいスポーツ活動,どのようなスポーツや運動でも参加したいと思わない,909,32,877,46,831
スポーツ・運動の継続実施に必要なもの,スタジアム、体育館などの建物や設備のバリアフリー化,344,132,212,110,102
スポーツ・運動の継続実施に必要なもの,交通機関（電車やバス）やまちのバリアフリー化,375,97,278,137,141
スポーツ・運動の継続実施に必要なもの,会場までの送迎,360,97,263,113,150
スポーツ・運動の継続実施に必要なもの,障害者への施設開放の促進（障害者が優先的に使える施設が増える）,274,72,202,119,83
スポーツ・運動の継続実施に必要なもの,障害にあわせた教室やプログラム,463,128,335,179,156
スポーツ・運動の継続実施に必要なもの,介助者や手話通訳などの支援,120,38,82,41,41
スポーツ・運動の継続実施に必要なもの,障害に対応した情報の提供や問合せ方法の充実,232,58,174,87,87
スポーツ・運動の継続実施に必要なもの,施設や用具等を利用する際に必要な手続きの支援,138,41,97,52,45
スポーツ・運動の継続実施に必要なもの,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進,109,37,72,41,31
スポーツ・運動の継続実施に必要なもの,健康や体調を管理する医療的なサポート,280,66,214,98,116
スポーツ・運動の継続実施に必要なもの,目標となる大会やイベント,136,52,84,52,32
スポーツ・運動の継続実施に必要なもの,スポーツ用具等の貸出し,172,54,118,70,48
スポーツ・運動の継続実施に必要なもの,施設の利用料減免　（利用料が安くなったり、無料になったりする）,314,79,235,119,116
スポーツ・運動の継続実施に必要なもの,リモートにより、障害に応じたスポーツ・運動を指導してくれる支援、またはその充実,89,34,55,28,27
スポーツ・運動の継続実施に必要なもの,自宅でもできる、障害に応じたスポーツ・運動方法についての情報提供、またはその充実,258,63,195,77,118
スポーツ・運動の継続実施に必要なもの,一緒に行う仲間（障害の無い人）,331,101,230,116,114
スポーツ・運動の継続実施に必要なもの,一緒に行う仲間（自分と同じ障害のある人）,291,86,205,105,100
スポーツ・運動の継続実施に必要なもの,一緒に行う仲間（自分と異なる障害のある人）,157,50,107,59,48
スポーツ・運動の継続実施に必要なもの,適切な指導者やコーチ、トレーナー,356,84,272,138,134
スポーツ・運動の継続実施に必要なもの,その他,44,6,38,12,26
スポーツ・運動の継続実施に必要なもの,特にない,362,39,323,67,256
スポーツ・運動の継続実施に必要なもの,わからない,247,20,227,42,185
新たに別のスポーツ・運動を始めるために必要な支援,スタジアム、体育館などの建物や設備のバリアフリー化,245,88,157,74,83
新たに別のスポーツ・運動を始めるために必要な支援,交通機関（電車やバス）やまちのバリアフリー化,228,56,172,80,92
新たに別のスポーツ・運動を始めるために必要な支援,会場までの送迎,321,71,250,110,140
新たに別のスポーツ・運動を始めるために必要な支援,障害者への施設開放の促進（障害者が優先的に使える施設が増える）,159,39,120,67,53
新たに別のスポーツ・運動を始めるために必要な支援,障害にあわせた教室やプログラム,340,92,248,127,121
新たに別のスポーツ・運動を始めるために必要な支援,介助者や手話通訳などの支援,65,19,46,27,19
新たに別のスポーツ・運動を始めるために必要な支援,障害に対応した情報の提供や問合せ方法の充実,142,36,106,54,52
新たに別のスポーツ・運動を始めるために必要な支援,施設や用具等を利用する際に必要な手続きの支援,75,19,56,36,20
新たに別のスポーツ・運動を始めるために必要な支援,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進,54,17,37,18,19
新たに別のスポーツ・運動を始めるために必要な支援,健康や体調を管理する医療的なサポート,186,41,145,68,77
新たに別のスポーツ・運動を始めるために必要な支援,目標となる大会やイベント,85,31,54,35,19
新たに別のスポーツ・運動を始めるために必要な支援,スポーツ用具等の貸出し,102,31,71,45,26
新たに別のスポーツ・運動を始めるために必要な支援,施設の利用料減免（利用料が安くなったり、無料になったりする）,245,70,175,88,87
新たに別のスポーツ・運動を始めるために必要な支援,リモートにより、障害に応じたスポーツ・運動を指導してくれる支援、またはその充実,50,18,32,15,17
新たに別のスポーツ・運動を始めるために必要な支援,自宅でもできる、障害に応じたスポーツ・運動方法についての情報提供、またはその充実,146,36,110,42,68
新たに別のスポーツ・運動を始めるために必要な支援,一緒に行う仲間（障害の無い人）,197,52,145,65,80
新たに別のスポーツ・運動を始めるために必要な支援,一緒に行う仲間（自分と同じ障害のある人）,164,42,122,63,59
新たに別のスポーツ・運動を始めるために必要な支援,一緒に行う仲間（自分と異なる障害のある人）,47,11,36,19,17
新たに別のスポーツ・運動を始めるために必要な支援,適切な指導者やコーチ、トレーナー,303,72,231,122,109
新たに別のスポーツ・運動を始めるために必要な支援,その他,23,2,21,10,11
新たに別のスポーツ・運動を始めるために必要な支援,特にない,396,50,346,71,275
新たに別のスポーツ・運動を始めるために必要な支援,わからない,249,23,226,40,186
スポーツを始めるきっかけとして必要な支援,スタジアム、体育館などの建物や設備のバリアフリー化,31,6,25,13,12
スポーツを始めるきっかけとして必要な支援,交通機関（電車やバス）やまちのバリアフリー化,32,4,28,12,16
スポーツを始めるきっかけとして必要な支援,会場までの送迎,95,6,89,32,57
スポーツを始めるきっかけとして必要な支援,障害者への施設開放の促進（障害者が優先的に使える施設が増える）,35,2,33,8,25
スポーツを始めるきっかけとして必要な支援,障害にあわせた教室やプログラム,112,8,104,38,66
スポーツを始めるきっかけとして必要な支援,介助者や手話通訳などの支援,29,2,27,6,21
スポーツを始めるきっかけとして必要な支援,障害に対応した情報の提供や問合せ方法の充実,38,3,35,13,22
スポーツを始めるきっかけとして必要な支援,施設や用具等を利用する際に必要な手続きの支援,13,2,11,3,8
スポーツを始めるきっかけとして必要な支援,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進,5,2,3,2,1
スポーツを始めるきっかけとして必要な支援,健康や体調を管理する医療的なサポート,65,6,59,18,41
スポーツを始めるきっかけとして必要な支援,目標となる大会やイベント,9,2,7,5,2
スポーツを始めるきっかけとして必要な支援,スポーツ用具等の貸出し,17,2,15,7,8
スポーツを始めるきっかけとして必要な支援,施設の利用料減免（利用料が安くなったり、無料になったりする）,46,5,41,14,27
スポーツを始めるきっかけとして必要な支援,リモートにより、障害に応じたスポーツ・運動を指導してくれる支援、またはその充実,9,0,9,2,7
スポーツを始めるきっかけとして必要な支援,自宅でもできる、障害に応じたスポーツ・運動方法についての情報提供、またはその充実,57,5,52,19,33
スポーツを始めるきっかけとして必要な支援,一緒に行う仲間（障害の無い人）,49,8,41,19,22
スポーツを始めるきっかけとして必要な支援,一緒に行う仲間（自分と同じ障害のある人）,65,7,58,20,38
スポーツを始めるきっかけとして必要な支援,一緒に行う仲間（自分と異なる障害のある人）,13,1,12,4,8
スポーツを始めるきっかけとして必要な支援,適切な指導者やコーチ、トレーナー,87,6,81,23,58
スポーツを始めるきっかけとして必要な支援,その他,23,1,22,0,22
スポーツを始めるきっかけとして必要な支援,特にない,385,17,368,27,341
スポーツを始めるきっかけとして必要な支援,わからない,354,15,339,40,299
スポーツ以外に関心のある事,旅行,1225,247,978,361,617
スポーツ以外に関心のある事,グルメ・食べ歩き,1182,259,923,353,570
スポーツ以外に関心のある事,買い物・ショッピング,840,190,650,241,409
スポーツ以外に関心のある事,テレビ視聴,1133,187,946,302,644
スポーツ以外に関心のある事,動画配信サービス視聴,912,215,697,267,430
スポーツ以外に関心のある事,ＣＤやスマートフォンによる音楽鑑賞,481,125,356,134,222
スポーツ以外に関心のある事,ＳＮＳ閲覧・投稿,528,131,397,161,236
スポーツ以外に関心のある事,インターネット閲覧,957,193,764,274,490
スポーツ以外に関心のある事,映画鑑賞,765,156,609,221,388
スポーツ以外に関心のある事,読書,563,110,453,156,297
スポーツ以外に関心のある事,アニメ／漫画,592,168,424,175,249
スポーツ以外に関心のある事,スマートフォン・家庭用ゲーム機によるゲーム,615,198,417,185,232
スポーツ以外に関心のある事,写真の撮影,289,84,205,84,121
スポーツ以外に関心のある事,遊園地・動物園・水族館などの見物,347,108,239,103,136
スポーツ以外に関心のある事,美術鑑賞,293,54,239,82,157
スポーツ以外に関心のある事,コンサートなどによる音楽鑑賞,350,71,279,104,175
スポーツ以外に関心のある事,演劇・舞踏鑑賞,178,48,130,45,85
スポーツ以外に関心のある事,カラオケ,330,98,232,102,130
スポーツ以外に関心のある事,楽器の演奏,161,50,111,42,69
スポーツ以外に関心のある事,料理・菓子作り,284,85,199,80,119
スポーツ以外に関心のある事,園芸・ガーデニング,189,42,147,43,104
スポーツ以外に関心のある事,日曜大工,75,19,56,23,33
スポーツ以外に関心のある事,編み物・手芸,123,37,86,32,54
スポーツ以外に関心のある事,和裁・洋裁,46,10,36,12,24
スポーツ以外に関心のある事,大道芸や手品等の鑑賞,33,13,20,8,12
