調査項目,回答,全体(人),スタジアム、体育館などの建物や設備のバリアフリー化(人),交通機関（電車やバス）やまちのバリアフリー化(人),会場までの送迎(人),障害者への施設開放の促進（障害者が優先的に使える施設が増える）(人),障害にあわせた教室やプログラム(人),介助者や手話通訳などの支援(人),障害に対応した情報の提供や問合せ方法の充実(人),施設や用具等を利用する際に必要な手続きの支援(人),障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進(人),健康や体調を管理する医療的なサポート(人),目標となる大会やイベント(人),スポーツ用具等の貸出し(人),施設の利用料減免　（利用料が安くなったり、無料になったりする）(人),リモートにより、障害に応じたスポーツ・運動を指導してくれる支援、またはその充実(人),自宅でもできる、障害に応じたスポーツ・運動方法についての情報提供、またはその充実(人),一緒に行う仲間（障害の無い人）(人),一緒に行う仲間（自分と同じ障害のある人）(人),一緒に行う仲間（自分と異なる障害のある人）(人),適切な指導者やコーチ、トレーナー(人),その他(人),特にない(人),わからない(人)
障害者の性別,無回答・その他,40,1,1,1,0,1,2,0,1,0,1,0,0,0,0,1,2,2,0,2,0,9,24
障害種別,視覚障害,81,1,2,7,2,7,1,4,0,1,2,0,0,3,0,1,0,2,0,7,3,27,31
障害種別,聴覚・平衡機能障害,96,2,1,6,3,5,2,3,0,2,8,0,1,5,0,3,4,3,0,10,2,33,37
障害種別,音声・言語・そしゃく機能障害,58,0,0,2,1,3,1,4,0,0,4,1,1,2,0,3,2,3,0,6,3,17,25
障害種別,肢体不自由（上肢）,163,6,6,20,8,21,8,7,3,1,12,2,3,5,2,15,4,8,1,10,2,49,48
障害種別,肢体不自由（下肢）,341,15,16,38,14,42,12,11,5,2,22,2,5,13,4,21,11,18,3,26,4,123,90
障害種別,肢体不自由（体幹）,171,5,5,20,9,19,8,8,5,2,13,1,0,8,3,12,5,7,2,10,5,62,46
障害種別,肢体不自由（脳原性運動機能障害）,47,3,3,7,3,6,1,6,1,0,5,0,1,1,0,2,0,2,1,5,2,14,13
障害種別,内部障害,190,2,4,11,3,14,1,4,1,0,18,2,5,6,1,4,7,5,1,14,5,79,55
障害種別,知的障害,165,6,3,23,12,32,5,9,5,0,8,3,1,5,0,5,12,17,5,22,3,34,55
障害種別,精神障害,289,6,6,10,12,18,5,10,4,1,12,1,4,15,3,14,15,22,7,17,5,97,102
車椅子の必要性,必要とする,238,12,12,29,16,31,16,15,6,2,22,1,3,7,2,10,8,18,3,19,4,73,63
車椅子の必要性,必要としない,244,6,7,24,2,25,3,5,0,0,10,2,5,14,3,22,9,9,2,17,5,94,67
障害者手帳の有無,持っている,746,23,27,72,30,90,23,30,11,2,46,8,14,31,6,40,31,45,8,60,13,247,213
障害者手帳の有無,持っていない,389,8,5,23,5,22,6,8,2,3,19,1,3,15,3,17,18,20,5,27,10,138,141
障害種別,身体障害者手帳　1級,188,9,7,17,8,25,4,10,5,1,13,2,3,6,1,8,6,10,1,15,3,74,43
障害種別,身体障害者手帳　2級,97,3,3,9,5,13,4,6,1,0,2,1,1,1,2,4,4,7,1,8,3,34,27
障害種別,身体障害者手帳　3級,89,4,5,14,1,9,2,0,0,0,3,1,2,6,1,3,2,1,0,5,3,32,28
障害種別,身体障害者手帳　4級,66,2,5,10,1,7,2,2,1,1,13,0,3,4,0,7,2,4,0,5,0,18,16
障害種別,身体障害者手帳　5級,28,0,2,2,0,6,1,1,1,0,3,1,1,1,0,3,1,4,1,1,0,7,8
障害種別,身体障害者手帳　6級,26,0,0,2,0,1,1,1,0,0,1,0,1,2,0,2,1,0,0,2,0,9,10
障害種別,療育手帳（愛の手帳）1度（最重度）,9,0,0,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,4
障害種別,療育手帳（愛の手帳）2度（重度）,29,2,2,10,2,7,3,2,0,1,3,0,0,0,0,1,1,2,2,4,1,3,7
障害種別,療育手帳（愛の手帳）3度（中度）,18,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,5,9
障害種別,療育手帳（愛の手帳）4度（軽度）,49,1,1,7,4,14,1,3,1,0,1,3,1,2,1,2,7,5,0,9,1,9,14
障害種別,精神障害者保健福祉手帳　1級,8,0,0,2,3,3,2,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,2
障害種別,精神障害者保健福祉手帳　2級,87,2,3,4,3,4,1,2,1,0,3,0,0,4,0,3,2,8,2,6,1,33,28
障害種別,精神障害者保健福祉手帳　3級,81,1,1,2,4,5,2,3,0,0,6,0,2,6,1,7,4,4,2,6,1,28,25
障害種別,障害者手帳は持っていない,389,8,5,23,5,22,6,8,2,3,19,1,3,15,3,17,18,20,5,27,10,138,141
受傷の時期,生まれたとき,249,11,8,28,8,34,9,9,6,1,6,1,1,6,2,5,13,19,4,21,3,71,89
受傷の時期,生まれた後,886,20,24,67,27,78,20,29,7,4,59,8,16,40,7,52,36,46,9,66,20,314,265
学校の種別,小学校の普通学校（通常学級のみに在籍）,12,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,2,0,0,0,3,5
学校の種別,小学校の普通学校（通級による指導あり）,6,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,2,1,0,2,0,0,1
学校の種別,小学校の普通学校（特別支援学級）,13,0,0,3,3,5,1,1,2,0,1,1,0,1,0,1,1,1,0,2,0,3,2
学校の種別,小学校の特別支援学校（養護学校・盲学校・ろう学校）,14,3,1,3,0,5,2,1,2,0,0,0,0,0,0,0,0,1,0,2,0,3,2
学校の種別,中学校の普通学校（通常学級のみに在籍）,12,0,1,2,0,1,0,0,0,0,1,0,0,0,0,0,2,3,1,2,0,3,4
学校の種別,中学校の普通学校（通級による指導あり）,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
学校の種別,中学校の普通学校（特別支援学級）,10,0,0,3,0,4,0,0,0,0,0,0,0,2,0,0,2,2,1,2,0,1,2
学校の種別,中学校の特別支援学校（養護学校・盲学校・ろう学校）,11,1,0,0,3,4,2,2,1,0,0,0,0,1,1,0,1,0,0,2,0,1,2
学校の種別,高等学校の普通学校（通常学級のみに在籍）,16,1,0,1,0,3,0,2,0,2,1,0,0,0,1,1,1,2,1,2,0,4,5
学校の種別,高等学校の普通学校（通級による指導あり）,4,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
学校の種別,高等学校の特別支援学校（養護学校・盲学校・ろう学校）,13,1,1,2,1,2,0,1,0,0,1,0,0,0,0,0,1,3,1,2,0,1,5
学校の種別,大学・短期大学,12,0,0,3,0,2,0,1,0,0,0,0,0,1,0,1,1,0,0,2,0,4,2
学校の種別,特別支援学校高等部専攻科、高等学校専攻科,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,2
学校の種別,職業能力開発校、障害者職業能力開発校等,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
学校の種別,なし,56,2,0,3,1,5,3,3,0,0,1,1,1,0,1,2,3,2,0,8,1,14,25
仕事の有無,仕事をしている,333,7,12,21,9,20,4,7,3,1,16,2,8,16,2,18,19,18,5,20,5,133,99
仕事の有無,仕事をしていない,744,23,18,68,24,84,23,29,9,4,46,7,8,30,6,37,28,43,8,63,18,242,225
仕事の有無,福祉的就労をしている（就労移行支援、就労継続支援Ａ型・Ｂ型、就労定着支援）,58,1,2,6,2,8,2,2,1,0,3,0,1,0,1,2,2,4,0,4,0,10,30
平日・日中の居場所,自分の家,745,20,16,57,12,58,15,19,7,4,36,4,10,30,6,38,20,34,7,45,14,265,246
平日・日中の居場所,職場（一般企業など）,171,2,8,10,4,11,0,4,1,0,7,1,5,11,1,10,12,7,2,14,4,75,48
平日・日中の居場所,職場（福祉的就労（就労移行支援、就労継続支援Ａ型・Ｂ型、就労定着支援）の施設）,28,1,2,5,2,6,1,2,0,0,2,0,0,0,1,2,2,2,0,2,0,4,10
平日・日中の居場所,学校,80,5,4,13,9,18,3,4,2,1,3,4,1,4,1,2,12,12,3,11,0,16,16
平日・日中の居場所,通所施設（生活介護、デイケアなど）,50,0,2,5,1,7,4,4,1,0,4,0,1,0,0,5,0,3,1,6,3,13,17
平日・日中の居場所,入所施設,41,3,0,3,5,6,4,4,2,0,9,0,0,0,0,0,2,5,0,5,2,9,10
平日・日中の居場所,その他,20,0,0,2,2,6,2,1,0,0,4,0,0,1,0,0,1,2,0,4,0,3,7
放課後の居場所,自分の家,89,4,3,11,7,18,4,7,6,2,2,2,0,2,2,2,12,12,3,12,0,18,25
放課後の居場所,習いごと（塾や英会話等の学習系）,10,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,3,3,1,2,0,2,1
放課後の居場所,習いごと（スイミングやサッカー等のスポーツ系）,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
放課後の居場所,習いごと（音楽や習字等の芸術系）,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
放課後の居場所,児童通所サービス（放課後等デイサービス　等）,28,4,2,5,3,8,3,3,3,0,0,0,0,2,0,0,2,4,1,7,0,3,5
放課後の居場所,学童保育,6,1,0,1,0,2,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,2
放課後の居場所,広場や公園,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
放課後の居場所,学校（校庭や体育館）,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
放課後の居場所,児童館や図書館などの公共施設,2,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
放課後の居場所,その他,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
障害福祉サービスの利用状況,利用していない,737,19,16,41,10,47,7,15,4,3,32,6,14,30,5,34,35,34,7,41,13,288,239
障害福祉サービスの利用状況,居宅介護（ホームヘルプ）,88,3,7,14,7,14,4,4,1,1,4,1,0,4,1,8,2,5,1,7,2,26,23
障害福祉サービスの利用状況,重度訪問介護,15,2,1,3,1,2,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,4,5
障害福祉サービスの利用状況,同行援護,21,2,2,8,3,6,2,0,1,1,2,0,0,1,0,1,0,0,0,1,0,4,6
障害福祉サービスの利用状況,行動援護,16,0,1,1,2,2,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0,6,5
障害福祉サービスの利用状況,重度障害者等包括支援,5,1,1,1,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,1
障害福祉サービスの利用状況,短期入所（ショートステイ）,69,2,3,10,4,10,5,5,3,1,5,0,1,4,1,1,2,6,1,11,2,19,19
障害福祉サービスの利用状況,療養介護,13,0,1,3,3,3,3,1,0,1,3,0,0,1,0,0,2,0,0,2,0,2,2
障害福祉サービスの利用状況,生活介護,38,1,3,9,5,10,4,2,0,1,5,0,0,2,1,1,0,2,2,7,0,8,6
障害福祉サービスの利用状況,施設入所支援,24,1,0,2,4,4,2,4,1,0,4,0,0,0,0,1,3,2,0,3,1,3,8
障害福祉サービスの利用状況,自立訓練,18,0,0,6,1,2,1,1,0,0,3,0,0,2,0,1,1,1,0,2,1,3,5
障害福祉サービスの利用状況,就労移行支援,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,2,1
障害福祉サービスの利用状況,就労継続支援（A型）,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
障害福祉サービスの利用状況,就労継続支援（B型）,26,0,1,5,2,7,2,1,1,0,2,0,1,0,1,1,1,2,0,5,0,6,7
障害福祉サービスの利用状況,就労定着支援,5,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0
障害福祉サービスの利用状況,自立生活援助,10,0,0,2,1,2,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,3,2
障害福祉サービスの利用状況,共同生活援助（グループホーム）,14,0,1,3,0,5,0,2,1,0,6,0,0,0,0,0,0,1,0,3,0,0,4
障害福祉サービスの利用状況,計画相談支援,10,1,0,1,1,3,1,1,0,0,0,0,0,0,1,0,0,0,0,2,1,4,1
障害福祉サービスの利用状況,地域相談支援,16,0,1,3,1,3,0,1,0,0,0,0,0,1,0,0,1,1,0,3,2,5,2
障害福祉サービスの利用状況,移動支援,22,2,0,4,0,5,2,2,0,1,4,1,0,0,1,0,0,0,1,4,1,5,5
障害福祉サービスの利用状況,地域活動支援センター,21,1,0,6,1,3,1,2,0,1,3,0,0,3,0,1,1,3,0,2,1,2,5
障害福祉サービスの利用状況,福祉ホーム,8,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,2,2
障害福祉サービスの利用状況,児童発達支援,7,0,0,3,0,4,2,0,0,0,0,0,0,1,0,1,0,0,0,3,0,0,2
障害福祉サービスの利用状況,医療型児童発達支援,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
障害福祉サービスの利用状況,放課後等デイサービス,65,4,2,7,9,15,7,7,4,0,1,1,0,3,1,5,5,5,1,11,0,19,11
障害福祉サービスの利用状況,居宅訪問型児童発達支援,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
障害福祉サービスの利用状況,保育所等訪問支援,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
障害福祉サービスの利用状況,訪問看護,105,5,4,15,4,14,3,4,1,1,8,1,1,5,2,7,1,5,2,9,2,35,30
障害福祉サービスの利用状況,訪問リハビリテーション,89,3,5,17,4,15,7,3,2,1,12,0,1,3,1,11,1,2,1,10,1,12,34
過去1年間の実施種目,ウォーキング、散歩（散策、ペットの散歩など）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
過去1年間の実施種目,体操（ラジオ体操、職場体操、ストレッチ、エアロビクス、ヨガ、ピラティス、縄跳びなど）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
過去1年間の実施種目,室内運動器具（ウエイト器具、ランニングマシーン、バランスボールなど）を用いる運動,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
過去1年間の実施種目,陸上競技（ランニング、ジョギングなどの軽い運動も含めます）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
過去1年間の実施種目,水泳・遊泳（水中歩行・水中運動）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
過去1年間の実施種目,ブラインドサッカー,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
過去1年間の実施種目,車いすテニス,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
過去1年間の実施種目,サウンドテーブルテニス,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
過去1年間の実施種目,パラバレーボール,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
過去1年間の実施種目,車いすバスケットボール,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
過去1年間の実施種目,車いすラグビー,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
過去1年間の実施種目,ボッチャ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
過去1年間の実施種目,球技（キャッチボールなどのボールを使った軽い運動も含めます）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
過去1年間の実施種目,ダンス（フォークダンス、ジャズダンス、社交ダンス、フラダンス、バレエ、民謡踊りなど）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
過去1年間の実施種目,格闘技（ボクシング、レスリング、相撲（すもう）など）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
過去1年間の実施種目,武道（柔道、剣道、空手、合気道など）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
過去1年間の実施種目,射的（弓道、アーチェリー、ダーツ、スポーツ吹矢など）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
過去1年間の実施種目,ウィンタースポーツ（スキー、スノーボード、スケートなど）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
過去1年間の実施種目,ウォータースポーツ（ボート、ヨット、スキンダイビング、スクーバダイビング、カヌー、水上バイク、サーフィン、ウィンドサーフィン、ボディボード、ボードセーリングなど）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
過去1年間の実施種目,スカイスポーツ（ハンググライダー、パラグライダー、スカイダイビングなど）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
過去1年間の実施種目,アウトドアスポーツ（ハイキング、ワンダーフォーゲル、釣り、登山、キャンプなど）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
過去1年間の実施種目,サイクリング、モーター（サイクル）スポーツ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
過去1年間の実施種目,運動あそび（鬼ごっこ、かくれんぼ、鉄棒、ぶらんこなど）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
過去1年間の実施種目,ゲーム機を使い体を動かして行うスポーツ・フィットネス等,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
過去1年間の実施種目,その他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
過去1年間の実施種目,この1年間に運動・スポーツは行わなかった,1135,31,32,95,35,112,29,38,13,5,65,9,17,46,9,57,49,65,13,87,23,385,354
実施頻度（1年間）,週3日以上（年151日以上）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
実施頻度（1年間）,週2日程度（年101日～150日）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
実施頻度（1年間）,週1日程度（年51日～100日）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
実施頻度（1年間）,月に1～3日程度（年12日～50日）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
実施頻度（1年間）,3か月に1～2日程度（年4日～11日）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
実施頻度（1年間）,年に1～3日程度,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
実施頻度（1年間）,わからない,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
実施した場所,自宅,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
実施した場所,道路や遊歩道,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
実施した場所,広場や公園,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
実施した場所,民間のスポーツ施設,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
実施した場所,公共のスポーツ施設（障害者専用施設）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
実施した場所,公共のスポーツ施設（障害者専用施設以外）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
実施した場所,小中高校の体育施設,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
実施した場所,特別支援学校の体育施設,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
実施した場所,職場のスポーツ施設,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
実施した場所,福祉施設,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
実施した場所,児童通所サービス（放課後等デイサービス等）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
実施した場所,医療機関（病院やリハビリ施設）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
実施した場所,山・川・海・空,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
実施した場所,その他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
実施した場所,わからない,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
一緒に実施する人,一人,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
一緒に実施する人,家族,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
一緒に実施する人,福祉施設の職員・仲間,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
一緒に実施する人,障害がある人のサークル・障害者スポーツサークル等の仲間,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
一緒に実施する人,障害がある人やない人など様々な人がいるサークルの仲間,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
一緒に実施する人,スポーツ教室の指導者・仲間,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
一緒に実施する人,障害者専用スポーツ施設の職員・仲間,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
一緒に実施する人,地域の公共スポーツ施設の職員・仲間,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
一緒に実施する人,ボランティアの人たち,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
一緒に実施する人,学校の先生や学校の友達,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
一緒に実施する人,児童通所サービス（放課後等デイサービス等）の職員・仲間,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
一緒に実施する人,その他の友人・知人,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
一緒に実施する人,その他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
一緒に実施する人,わからない,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
実施した理由,健康・体力づくりのため,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
実施した理由,楽しみや気晴らしのため,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
実施した理由,運動不足解消のため,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
実施した理由,精神の修養や訓練のため（心をきたえるため）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
実施した理由,自己の記録や能力を向上させるため,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
実施した理由,リハビリテーションや医療・治療のため,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
実施した理由,家族のふれあいのため,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
実施した理由,友人・仲間との交流のため,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
実施した理由,美容や肥満解消（ダイエット）のため,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
実施した理由,障害者スポーツ大会に参加するため,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
実施した理由,その他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
実施した理由,わからない,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
実施したきっかけ,家族に奨められた,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
実施したきっかけ,（障害のある）友人・知人・同僚に奨められた,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
実施したきっかけ,（障害のない）友人・知人・同僚に奨められた,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
実施したきっかけ,医師に奨められた,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
実施したきっかけ,看護師に奨められた,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
実施したきっかけ,作業療法士（OT）に奨められた,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
実施したきっかけ,理学療法士（PT）に奨められた,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
実施したきっかけ,言語聴覚士（ST）に奨められた,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
実施したきっかけ,視能訓練士（CO）に奨められた,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
