調査項目,回答,全体(人),小学校の普通学校（通常学級のみに在籍）(人),小学校の普通学校（通級による指導あり）(人),小学校の普通学校（特別支援学級）(人),小学校の特別支援学校（養護学校・盲学校・ろう学校）(人),中学校の普通学校（通常学級のみに在籍）(人),中学校の普通学校（通級による指導あり）(人),中学校の普通学校（特別支援学級）(人),中学校の特別支援学校（養護学校・盲学校・ろう学校）(人),高等学校の普通学校（通常学級のみに在籍）(人),高等学校の普通学校（通級による指導あり）(人),高等学校の特別支援学校（養護学校・盲学校・ろう学校）(人),大学・短期大学(人),特別支援学校高等部専攻科、高等学校専攻科(人),職業能力開発校、障害者職業能力開発校等(人),なし(人)
平日・日中の居場所,自分の家,225,30,10,17,12,14,5,6,10,11,5,10,18,6,1,70
平日・日中の居場所,職場（一般企業など）,59,3,2,6,1,0,1,3,1,3,0,2,2,0,1,34
平日・日中の居場所,職場（福祉的就労（就労移行支援、就労継続支援Ａ型・Ｂ型、就労定着支援）の施設）,26,0,0,0,1,0,1,1,0,1,0,1,0,0,1,20
平日・日中の居場所,学校,362,54,25,61,33,28,8,26,29,35,7,28,16,8,4,0
平日・日中の居場所,通所施設（生活介護、デイケアなど）,18,2,1,2,1,1,0,2,0,0,0,1,0,0,0,8
平日・日中の居場所,入所施設,5,0,0,0,0,1,1,1,0,0,0,0,0,0,0,2
平日・日中の居場所,その他,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
放課後の居場所,自分の家,345,75,19,56,23,33,9,32,20,41,10,27,0,0,0,0
放課後の居場所,習いごと（塾や英会話等の学習系）,75,23,13,5,3,9,3,3,2,11,3,0,0,0,0,0
放課後の居場所,習いごと（スイミングやサッカー等のスポーツ系）,59,18,8,11,4,7,2,4,3,2,0,0,0,0,0,0
放課後の居場所,習いごと（音楽や習字等の芸術系）,41,10,9,5,2,4,2,3,1,3,0,2,0,0,0,0
放課後の居場所,児童通所サービス（放課後等デイサービス　等）,156,4,14,38,35,3,2,11,25,2,1,21,0,0,0,0
放課後の居場所,学童保育,34,6,10,11,3,1,1,0,1,1,0,0,0,0,0,0
放課後の居場所,広場や公園,35,10,9,7,2,1,0,1,0,3,0,2,0,0,0,0
放課後の居場所,学校（校庭や体育館）,35,1,2,5,2,8,2,4,0,8,1,2,0,0,0,0
放課後の居場所,児童館や図書館などの公共施設,16,3,2,3,1,1,0,1,0,4,0,1,0,0,0,0
放課後の居場所,その他,8,1,1,0,0,0,0,1,0,4,0,1,0,0,0,0
障害福祉サービスの利用状況,利用していない,389,78,17,26,11,32,9,19,9,40,9,13,29,8,3,86
障害福祉サービスの利用状況,居宅介護（ホームヘルプ）,25,2,0,4,2,1,2,3,2,2,0,4,0,1,0,2
障害福祉サービスの利用状況,重度訪問介護,4,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0
障害福祉サービスの利用状況,同行援護,18,0,1,7,3,2,1,2,1,0,0,0,0,0,0,1
障害福祉サービスの利用状況,行動援護,23,1,0,4,2,0,0,1,4,1,0,5,0,1,0,4
障害福祉サービスの利用状況,重度障害者等包括支援,8,0,0,1,2,2,1,1,1,0,0,0,0,0,0,0
障害福祉サービスの利用状況,短期入所（ショートステイ）,44,1,1,5,4,0,1,4,7,1,0,10,1,0,1,8
障害福祉サービスの利用状況,療養介護,8,1,0,1,1,3,0,1,0,1,0,0,0,0,0,0
障害福祉サービスの利用状況,生活介護,9,0,0,1,0,0,2,1,0,1,0,1,1,0,0,2
障害福祉サービスの利用状況,施設入所支援,5,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1
障害福祉サービスの利用状況,自立訓練,8,0,0,3,0,0,0,0,1,1,1,0,1,0,0,1
障害福祉サービスの利用状況,就労移行支援,13,0,0,1,0,1,0,0,0,1,0,1,0,0,0,9
障害福祉サービスの利用状況,就労継続支援（A型）,8,0,2,0,0,0,1,1,0,0,1,0,0,1,1,1
障害福祉サービスの利用状況,就労継続支援（B型）,18,0,0,0,0,0,1,0,0,0,0,1,0,0,1,15
障害福祉サービスの利用状況,就労定着支援,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
障害福祉サービスの利用状況,自立生活援助,10,1,0,2,0,1,0,1,0,0,0,1,1,0,0,3
障害福祉サービスの利用状況,共同生活援助（グループホーム）,5,0,0,0,0,0,0,2,0,1,0,1,0,0,0,1
障害福祉サービスの利用状況,計画相談支援,23,1,1,3,2,0,0,2,2,0,0,5,0,0,0,7
障害福祉サービスの利用状況,地域相談支援,19,2,0,2,1,3,0,1,1,2,0,2,1,0,0,4
障害福祉サービスの利用状況,移動支援,25,1,0,2,3,0,0,4,5,1,0,2,0,0,0,7
障害福祉サービスの利用状況,地域活動支援センター,15,1,0,1,3,3,0,2,0,2,0,2,0,0,0,1
障害福祉サービスの利用状況,福祉ホーム,6,0,2,1,0,0,2,0,0,0,0,0,0,0,0,1
障害福祉サービスの利用状況,児童発達支援,50,2,6,19,6,1,0,3,5,3,0,1,1,0,2,1
障害福祉サービスの利用状況,医療型児童発達支援,9,1,1,2,0,0,0,2,0,0,0,0,0,2,1,0
障害福祉サービスの利用状況,放課後等デイサービス,150,1,17,34,29,2,1,12,24,2,0,21,1,2,1,3
障害福祉サービスの利用状況,居宅訪問型児童発達支援,7,0,2,0,2,0,1,1,0,0,0,1,0,0,0,0
障害福祉サービスの利用状況,保育所等訪問支援,5,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0
障害福祉サービスの利用状況,訪問看護,18,1,1,2,3,0,0,4,1,1,1,0,2,0,0,2
障害福祉サービスの利用状況,訪問リハビリテーション,13,1,0,3,3,0,0,1,0,0,0,0,0,0,0,5
過去1年間の実施種目,ウォーキング、散歩（散策、ペットの散歩など）,310,46,16,42,20,16,6,13,16,21,5,21,21,7,4,56
過去1年間の実施種目,体操（ラジオ体操、職場体操、ストレッチ、エアロビクス、ヨガ、ピラティス、縄跳びなど）,138,20,17,22,17,7,3,3,7,11,4,5,5,1,1,15
過去1年間の実施種目,室内運動器具（ウエイト器具、ランニングマシーン、バランスボールなど）を用いる運動,68,6,4,13,12,2,2,4,3,2,2,1,1,0,1,15
過去1年間の実施種目,陸上競技（ランニング、ジョギングなどの軽い運動も含めます）,91,14,5,12,3,8,3,8,4,11,3,4,1,3,3,9
過去1年間の実施種目,水泳・遊泳（水中歩行・水中運動）,152,34,14,30,19,5,3,6,8,7,1,6,3,4,2,10
過去1年間の実施種目,ブラインドサッカー,14,0,6,1,1,0,1,0,1,0,1,1,1,0,0,1
過去1年間の実施種目,車いすテニス,9,1,1,1,0,1,0,0,0,1,0,2,1,0,0,1
過去1年間の実施種目,サウンドテーブルテニス,13,0,6,1,0,1,1,1,1,0,0,1,0,0,0,1
過去1年間の実施種目,パラバレーボール,14,0,7,2,1,0,1,0,0,1,0,1,0,0,0,1
過去1年間の実施種目,車いすバスケットボール,9,1,4,2,0,0,0,0,0,0,0,1,0,0,0,1
過去1年間の実施種目,車いすラグビー,6,0,4,0,0,0,0,1,1,0,0,0,0,0,0,0
過去1年間の実施種目,ボッチャ,38,0,4,6,7,1,0,3,3,1,0,4,2,1,0,6
過去1年間の実施種目,球技（キャッチボールなどのボールを使った軽い運動も含めます）,80,14,6,16,8,6,2,3,3,7,3,4,0,0,1,7
過去1年間の実施種目,ダンス（フォークダンス、ジャズダンス、社交ダンス、フラダンス、バレエ、民謡踊りなど）,63,9,4,9,12,4,0,0,2,6,2,4,4,0,0,7
過去1年間の実施種目,格闘技（ボクシング、レスリング、相撲（すもう）など）,9,0,3,2,2,0,0,1,0,0,0,0,0,0,0,1
過去1年間の実施種目,武道（柔道、剣道、空手、合気道など）,16,3,3,3,1,1,0,0,1,2,0,0,0,0,0,2
過去1年間の実施種目,射的（弓道、アーチェリー、ダーツ、スポーツ吹矢など）,7,0,4,1,0,0,0,1,0,0,0,1,0,0,0,0
過去1年間の実施種目,ウィンタースポーツ（スキー、スノーボード、スケートなど）,22,6,2,3,2,3,0,0,0,1,0,0,3,1,0,1
過去1年間の実施種目,ウォータースポーツ（ボート、ヨット、スキンダイビング、スクーバダイビング、カヌー、水上バイク、サーフィン、ウィンドサーフィン、ボディボード、ボードセーリングなど）,15,2,4,1,2,1,0,0,0,3,0,0,1,0,0,1
過去1年間の実施種目,スカイスポーツ（ハンググライダー、パラグライダー、スカイダイビングなど）,5,0,2,1,0,0,0,0,0,1,0,0,1,0,0,0
過去1年間の実施種目,アウトドアスポーツ（ハイキング、ワンダーフォーゲル、釣り、登山、キャンプなど）,47,9,4,7,1,4,1,4,1,3,2,3,2,0,0,6
過去1年間の実施種目,サイクリング、モーター（サイクル）スポーツ,31,13,4,4,0,0,0,1,0,3,0,2,2,0,0,2
過去1年間の実施種目,運動あそび（鬼ごっこ、かくれんぼ、鉄棒、ぶらんこなど）,120,25,10,38,18,2,1,5,6,4,0,5,0,1,0,5
過去1年間の実施種目,ゲーム機を使い体を動かして行うスポーツ・フィットネス等,42,8,3,5,4,0,2,0,3,3,0,1,3,0,1,9
過去1年間の実施種目,その他,14,1,1,0,0,2,0,4,1,1,0,1,1,1,0,1
過去1年間の実施種目,この1年間に運動・スポーツは行わなかった,185,12,6,13,14,12,2,10,11,16,4,13,12,4,0,56
実施頻度（1年間）,週3日以上（年151日以上）,121,19,8,14,8,12,2,6,4,9,0,4,12,2,2,19
実施頻度（1年間）,週2日程度（年101日～150日）,117,17,12,26,11,7,3,6,7,7,2,7,2,1,1,8
実施頻度（1年間）,週1日程度（年51日～100日）,129,26,6,16,11,3,1,10,6,9,4,7,7,2,2,19
実施頻度（1年間）,月に1～3日程度（年12日～50日）,76,4,2,13,2,4,6,2,5,5,2,6,1,3,1,20
実施頻度（1年間）,3か月に1～2日程度（年4日～11日）,20,3,1,2,0,1,0,4,1,0,0,0,1,0,1,6
実施頻度（1年間）,年に1～3日程度,11,1,0,0,2,2,1,0,1,1,0,1,0,0,0,2
実施頻度（1年間）,わからない,39,7,3,2,0,3,1,1,5,3,0,4,2,2,0,6
実施した場所,自宅,170,34,11,29,12,6,3,3,5,14,2,10,10,3,3,25
実施した場所,道路や遊歩道,166,26,7,18,8,7,4,10,5,9,2,12,13,4,3,38
実施した場所,広場や公園,171,32,15,31,18,6,3,7,6,9,3,7,6,4,1,23
実施した場所,民間のスポーツ施設,110,25,12,23,8,7,0,3,2,5,2,2,4,1,1,15
実施した場所,公共のスポーツ施設（障害者専用施設）,56,7,11,11,6,1,1,4,4,1,2,4,1,0,0,3
実施した場所,公共のスポーツ施設（障害者専用施設以外）,88,11,14,13,3,4,5,6,3,5,0,4,1,2,1,16
実施した場所,小中高校の体育施設,101,21,9,18,3,11,3,9,5,12,1,3,0,0,2,4
実施した場所,特別支援学校の体育施設,69,1,8,5,20,1,0,5,7,0,1,13,0,5,1,2
実施した場所,職場のスポーツ施設,14,0,7,2,0,0,0,0,0,1,1,1,0,0,0,2
実施した場所,福祉施設,14,1,1,4,0,1,1,1,0,0,0,1,0,0,0,4
実施した場所,児童通所サービス（放課後等デイサービス等）,72,1,7,24,17,0,0,5,7,1,0,9,1,0,0,0
実施した場所,医療機関（病院やリハビリ施設）,8,2,0,1,1,0,0,0,0,1,0,1,2,0,0,0
実施した場所,山・川・海・空,67,15,5,15,6,3,2,4,3,3,0,3,0,1,0,7
実施した場所,その他,6,1,0,2,0,0,0,0,1,0,0,0,0,0,0,2
実施した場所,わからない,9,1,0,0,0,1,1,1,0,1,0,0,1,0,0,3
一緒に実施する人,一人,128,16,5,13,4,5,1,7,1,13,3,5,12,3,2,38
一緒に実施する人,家族,259,45,15,48,23,10,5,14,11,12,5,16,10,5,4,36
一緒に実施する人,福祉施設の職員・仲間,43,4,6,10,6,3,2,1,2,0,1,3,2,0,0,3
一緒に実施する人,障害がある人のサークル・障害者スポーツサークル等の仲間,41,4,6,7,7,0,0,3,2,1,0,3,2,0,0,6
一緒に実施する人,障害がある人やない人など様々な人がいるサークルの仲間,34,4,10,5,5,1,1,1,0,1,0,2,1,0,0,3
一緒に実施する人,スポーツ教室の指導者・仲間,72,18,10,15,4,3,1,4,4,2,2,2,0,0,1,6
一緒に実施する人,障害者専用スポーツ施設の職員・仲間,27,1,6,5,4,1,2,1,1,2,0,1,0,0,0,3
一緒に実施する人,地域の公共スポーツ施設の職員・仲間,22,2,8,3,0,2,0,2,0,1,1,1,0,0,0,2
一緒に実施する人,ボランティアの人たち,16,2,3,3,3,0,0,1,0,0,0,2,0,0,0,2
一緒に実施する人,学校の先生や学校の友達,145,18,13,21,18,14,3,10,11,13,1,12,1,6,2,2
一緒に実施する人,児童通所サービス（放課後等デイサービス等）の職員・仲間,75,0,7,26,17,1,1,5,8,2,0,8,0,0,0,0
一緒に実施する人,その他の友人・知人,44,9,4,4,2,2,0,4,0,4,0,0,6,0,0,9
一緒に実施する人,その他,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
一緒に実施する人,わからない,8,1,0,0,0,2,1,0,1,1,0,0,0,0,0,2
実施した理由,健康・体力づくりのため,337,53,14,51,24,19,8,19,20,21,5,22,16,9,4,52
実施した理由,楽しみや気晴らしのため,267,44,18,40,18,15,5,15,11,16,4,20,12,6,3,40
実施した理由,運動不足解消のため,249,37,15,37,18,12,6,11,14,16,5,16,11,8,3,40
実施した理由,精神の修養や訓練のため（心をきたえるため）,71,7,8,15,6,5,3,5,3,3,3,3,3,1,0,6
実施した理由,自己の記録や能力を向上させるため,67,11,14,17,3,0,2,5,3,1,0,3,0,1,0,7
実施した理由,リハビリテーションや医療・治療のため,47,1,11,8,5,1,2,3,3,2,0,1,3,0,1,6
実施した理由,家族のふれあいのため,78,17,6,17,12,3,2,5,0,2,1,4,0,2,0,7
実施した理由,友人・仲間との交流のため,128,22,17,16,15,9,2,7,6,6,2,9,2,4,1,10
実施した理由,美容や肥満解消（ダイエット）のため,40,0,7,4,3,1,0,2,1,5,1,1,3,1,0,11
実施した理由,障害者スポーツ大会に参加するため,9,0,0,1,2,0,0,1,1,0,0,4,0,0,0,0
実施した理由,その他,13,2,0,1,0,0,0,2,2,5,0,0,0,0,1,0
実施した理由,わからない,15,1,0,0,1,2,1,0,0,1,1,1,2,0,0,5
実施したきっかけ,家族に奨められた,148,26,9,24,7,9,5,6,5,7,1,9,7,5,3,25
実施したきっかけ,（障害のある）友人・知人・同僚に奨められた,33,2,4,8,2,1,0,4,1,1,2,3,1,0,0,4
実施したきっかけ,（障害のない）友人・知人・同僚に奨められた,32,6,3,5,1,4,0,2,0,2,0,0,5,1,0,3
実施したきっかけ,医師に奨められた,65,12,6,12,2,1,3,2,1,4,2,4,4,1,0,11
実施したきっかけ,看護師に奨められた,24,3,10,2,0,0,1,1,0,3,0,2,1,0,0,1
実施したきっかけ,作業療法士（OT）に奨められた,29,0,3,14,6,0,0,1,1,0,1,2,0,0,0,1
実施したきっかけ,理学療法士（PT）に奨められた,24,1,4,6,3,1,0,1,1,1,1,1,0,0,1,3
実施したきっかけ,言語聴覚士（ST）に奨められた,20,1,9,1,2,2,0,2,1,0,0,0,0,0,0,2
実施したきっかけ,視能訓練士（CO）に奨められた,7,0,3,1,1,0,2,0,0,0,0,0,0,0,0,0
実施したきっかけ,義肢装具士に奨められた,5,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0
実施したきっかけ,介護福祉士に奨められた,11,0,6,0,3,0,0,0,0,0,1,1,0,0,0,0
実施したきっかけ,社会福祉士（ソーシャルワーカー）に奨められた,13,1,3,2,1,1,1,0,0,2,0,1,0,0,0,1
実施したきっかけ,スポーツ指導者に奨められた,8,1,2,1,0,0,1,0,1,0,0,1,0,0,0,1
実施したきっかけ,パラスポーツ指導員（旧障害者スポーツ指導員）に奨められた,11,0,6,1,0,0,0,0,1,1,0,1,0,0,0,1
実施したきっかけ,学校の先生に奨められた,50,4,6,10,6,2,0,2,3,3,3,7,0,2,0,2
実施したきっかけ,学校の授業等で興味を持ち、自主的に始めた,55,4,3,8,7,5,2,4,5,6,2,3,0,2,0,4
実施したきっかけ,所属する団体（会社等）に奨められた,8,0,2,2,0,0,0,0,0,2,0,1,0,0,0,1
実施したきっかけ,障害のある有名選手・パラアスリートの影響,4,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0
実施したきっかけ,障害のない有名選手・アスリートの影響,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
実施したきっかけ,テレビや新聞の影響,10,0,3,1,0,1,0,0,0,0,1,1,2,0,0,1
実施したきっかけ,インターネットや動画配信を見て,19,2,2,1,2,3,0,2,0,0,0,1,1,0,0,5
実施したきっかけ,ＳＮＳの影響,13,0,0,2,0,0,0,0,0,1,1,1,3,0,1,4
実施したきっかけ,漫画、ドラマ、映画等の影響,13,2,3,1,0,2,0,0,0,1,0,0,2,0,0,2
実施したきっかけ,現地やテレビ等でそのスポーツを観た,8,3,0,2,0,0,0,0,0,0,0,1,1,0,0,1
実施したきっかけ,スポーツ団体等の関係者から誘われた,6,1,0,2,0,0,1,0,0,0,0,0,0,0,0,2
実施したきっかけ,スポーツイベントや体験会等で興味を持った,12,2,0,5,1,0,0,0,1,1,0,1,0,0,0,1
実施したきっかけ,スポーツ以外をテーマとするイベント（福祉祭り等の中の講演や体験会等）で興味を持った,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
実施したきっかけ,福祉施設で実施している運動プログラムに参加して,16,0,0,5,4,0,0,1,2,1,0,2,0,0,0,1
実施したきっかけ,行政の広報誌,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
実施したきっかけ,その他,17,4,1,1,1,0,1,1,2,3,0,2,0,0,1,0
実施したきっかけ,特にきっかけはない・なんとなく,150,21,7,19,11,9,2,11,11,11,1,8,7,2,3,27
スポーツ・運動への取組意向,スポーツや運動を行っており、満足している,235,48,21,25,10,19,5,15,11,15,4,10,13,4,3,32
スポーツ・運動への取組意向,スポーツや運動を行っているが、もっと行いたい,150,14,6,36,14,5,3,9,11,11,2,9,7,3,2,18
スポーツ・運動への取組意向,スポーツや運動を行いたいと思うができない,119,9,6,14,17,7,4,7,5,6,2,11,4,3,1,23
スポーツ・運動への取組意向,スポーツや運動に関心はない,194,18,5,11,7,13,4,8,13,18,4,12,13,4,1,63
実施していない理由,医師に止められており、身体的にできない,8,0,0,1,0,1,0,1,0,2,0,0,2,0,0,1
実施していない理由,どのくらい体を動かしたらよいかわからない,13,1,0,0,0,1,0,2,0,2,0,1,3,0,0,3
実施していない理由,身近なところにスポーツや運動ができる場所がない,16,1,1,2,2,1,0,2,1,0,0,2,2,0,0,2
実施していない理由,スポーツや運動ができる場所への移動手段がない,5,0,0,1,0,0,0,1,0,0,0,0,2,0,0,1
実施していない理由,自分に合ったスポーツや運動の情報がない,18,0,1,2,1,0,2,0,4,2,1,1,1,1,0,2
実施していない理由,一緒にできる仲間がいない,29,2,5,2,2,2,1,2,2,3,0,2,2,0,0,4
実施していない理由,介助者がいない,20,0,2,3,6,0,1,0,3,0,0,1,0,0,0,4
実施していない理由,金銭的な余裕がない,16,0,0,1,2,0,0,2,3,2,0,1,0,1,0,4
実施していない理由,時間がない,21,1,1,1,2,0,0,0,2,2,0,2,4,2,0,4
実施していない理由,必要な競技用具や補助具がない,5,0,0,1,0,0,0,1,2,0,0,0,0,0,0,1
実施していない理由,その他,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
実施していない理由,活動したいと思わない,109,8,1,7,5,7,0,6,3,11,3,8,5,2,0,43
活動したいと思わない理由,スポーツ・運動が嫌いだから,25,1,0,2,1,0,0,2,0,4,1,3,3,1,0,7
活動したいと思わない理由,スポーツ・運動に興味がないから,30,0,0,2,3,2,0,3,1,4,1,4,1,1,0,8
活動したいと思わない理由,スポーツ・運動を楽しんだ経験がないから,7,0,0,1,1,0,0,0,0,0,0,1,2,0,0,2
活動したいと思わない理由,疲れるから,19,0,1,1,3,1,0,2,0,3,1,1,2,0,0,4
活動したいと思わない理由,人前に出るのが好きではないから,12,0,1,1,2,0,0,0,0,0,1,1,3,0,0,3
活動したいと思わない理由,学校の体育や部活動等で苦手意識を持ったから,9,0,0,1,0,2,0,0,0,0,1,0,2,0,0,3
活動したいと思わない理由,一緒に運動・スポーツする人に迷惑をかけるのではないかと心配だから,6,0,0,1,0,0,0,0,1,0,0,0,2,0,0,2
活動したいと思わない理由,スポーツ以外に趣味があるから,16,0,1,1,1,1,0,1,0,1,0,1,2,0,0,7
活動したいと思わない理由,忙しいから,5,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2
活動したいと思わない理由,その他,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2
活動したいと思わない理由,わからない,46,6,0,4,2,1,0,2,1,4,2,1,0,1,0,22
学校体育の参加状況,参加していて、体育が好きである,279,52,24,50,39,20,5,17,26,18,4,24,0,0,0,0
学校体育の参加状況,参加しているが、体育は好きではない,146,20,9,25,3,14,7,15,9,27,6,11,0,0,0,0
学校体育の参加状況,参加していない,42,8,5,8,4,7,3,3,1,2,1,0,0,0,0,0
学校体育の参加状況,わからない,37,9,0,3,2,3,1,4,4,3,1,7,0,0,0,0
学校体育に参加しない理由,授業の内容のとおりに身体を動かすことができないから,9,1,1,3,0,1,0,1,1,1,0,0,0,0,0,0
学校体育に参加しない理由,自分にはできないと思ったから,12,3,1,2,2,2,0,1,0,1,0,0,0,0,0,0
学校体育に参加しない理由,他の生徒や先生に迷惑をかけると思ったから,6,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0
学校体育に参加しない理由,参加するために必要なスポーツ用具がなかったから,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
学校体育に参加しない理由,医師から止められていたから,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
学校体育に参加しない理由,学校の先生から見学するように言われたから,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
学校体育に参加しない理由,身体を動かすことが怖いから,5,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0
学校体育に参加しない理由,その他,12,2,3,1,1,2,1,1,0,0,1,0,0,0,0,0
スポーツ・運動の参加方法,現地の会場で対面での参加,396,62,30,55,32,23,11,22,26,28,6,25,12,7,6,51
スポーツ・運動の参加方法,リモート参加,28,3,0,10,2,1,0,2,2,2,0,0,6,0,0,0
スポーツ・運動の参加方法,ハイブリッド（現地参加とリモート参加の両方から選択できる）,62,7,3,12,6,3,2,5,2,3,2,5,3,1,0,8
スポーツ・運動の参加方法,参加したいと思わない,212,17,5,9,8,17,3,10,10,17,4,12,16,6,1,77
