調査項目,回答,全体(人),自分の家(人),職場（一般企業など）(人),職場（福祉的就労（就労移行支援、就労継続支援Ａ型・Ｂ型、就労定着支援）の施設）(人),学校(人),通所施設（生活介護、デイケアなど）(人),入所施設(人),その他(人)
過去1年間の実施種目,運動あそび（鬼ごっこ、かくれんぼ、鉄棒、ぶらんこなど）,134,27,9,2,93,3,0,0
過去1年間の実施種目,ゲーム機を使い体を動かして行うスポーツ・フィットネス等,79,29,25,4,19,1,1,0
過去1年間の実施種目,その他,53,30,9,3,9,1,0,1
過去1年間の実施種目,この1年間に運動・スポーツは行わなかった,1135,745,171,28,80,50,41,20
実施頻度（1年間）,週3日以上（年151日以上）,604,339,148,10,75,20,5,7
実施頻度（1年間）,週2日程度（年101日～150日）,429,217,96,11,80,15,5,5
実施頻度（1年間）,週1日程度（年51日～100日）,506,260,130,20,69,20,7,0
実施頻度（1年間）,月に1～3日程度（年12日～50日）,280,130,68,24,32,19,4,3
実施頻度（1年間）,3か月に1～2日程度（年4日～11日）,75,37,22,1,6,7,2,0
実施頻度（1年間）,年に1～3日程度,52,24,17,3,4,2,2,0
実施頻度（1年間）,わからない,145,91,25,5,16,2,3,3
実施した場所,自宅,829,519,177,14,82,24,8,5
実施した場所,道路や遊歩道,1083,619,290,38,85,32,11,8
実施した場所,広場や公園,633,317,158,22,105,21,7,3
実施した場所,民間のスポーツ施設,314,116,94,7,74,16,5,2
実施した場所,公共のスポーツ施設（障害者専用施設）,130,55,26,8,30,10,1,0
実施した場所,公共のスポーツ施設（障害者専用施設以外）,241,105,58,9,54,9,2,4
実施した場所,小中高校の体育施設,128,27,12,4,80,5,0,0
実施した場所,特別支援学校の体育施設,85,10,8,5,56,5,1,0
実施した場所,職場のスポーツ施設,35,9,16,2,7,1,0,0
実施した場所,福祉施設,64,31,5,7,5,10,5,1
実施した場所,児童通所サービス（放課後等デイサービス等）,87,17,2,1,61,6,0,0
実施した場所,医療機関（病院やリハビリ施設）,68,44,8,0,6,7,1,2
実施した場所,山・川・海・空,171,69,47,5,46,2,1,1
実施した場所,その他,44,29,9,0,2,0,1,3
実施した場所,わからない,47,29,11,2,0,2,2,1
一緒に実施する人,一人,1133,664,358,28,51,17,7,8
一緒に実施する人,家族,762,385,147,32,144,38,9,7
一緒に実施する人,福祉施設の職員・仲間,174,91,16,10,25,19,10,3
一緒に実施する人,障害がある人のサークル・障害者スポーツサークル等の仲間,91,36,17,9,19,7,2,1
一緒に実施する人,障害がある人やない人など様々な人がいるサークルの仲間,107,40,29,8,17,12,1,0
一緒に実施する人,スポーツ教室の指導者・仲間,151,54,21,6,55,12,0,3
一緒に実施する人,障害者専用スポーツ施設の職員・仲間,61,19,13,7,14,8,0,0
一緒に実施する人,地域の公共スポーツ施設の職員・仲間,48,14,13,2,12,6,1,0
一緒に実施する人,ボランティアの人たち,54,22,11,6,9,5,1,0
一緒に実施する人,学校の先生や学校の友達,150,17,4,1,124,4,0,0
一緒に実施する人,児童通所サービス（放課後等デイサービス等）の職員・仲間,86,18,2,1,62,3,0,0
一緒に実施する人,その他の友人・知人,137,61,43,3,27,2,0,1
一緒に実施する人,その他,35,31,2,0,2,0,0,0
一緒に実施する人,わからない,40,28,5,0,3,1,2,1
実施した理由,健康・体力づくりのため,1503,818,366,52,192,45,16,14
実施した理由,楽しみや気晴らしのため,890,436,203,36,159,35,11,10
実施した理由,運動不足解消のため,1109,600,266,39,146,33,13,12
実施した理由,精神の修養や訓練のため（心をきたえるため）,240,105,59,9,47,15,2,3
実施した理由,自己の記録や能力を向上させるため,182,73,42,5,42,17,1,2
実施した理由,リハビリテーションや医療・治療のため,340,227,51,9,24,18,6,5
実施した理由,家族のふれあいのため,154,68,23,3,50,8,1,1
実施した理由,友人・仲間との交流のため,254,96,41,7,92,12,3,3
実施した理由,美容や肥満解消（ダイエット）のため,217,100,81,9,18,7,0,2
実施した理由,障害者スポーツ大会に参加するため,17,4,4,1,7,0,0,1
実施した理由,その他,36,16,8,0,12,0,0,0
実施した理由,わからない,61,41,11,0,4,1,3,1
実施したきっかけ,家族に奨められた,561,328,108,22,70,19,6,8
実施したきっかけ,（障害のある）友人・知人・同僚に奨められた,101,44,18,11,19,8,1,0
実施したきっかけ,（障害のない）友人・知人・同僚に奨められた,119,55,32,3,18,9,2,0
実施したきっかけ,医師に奨められた,500,318,107,9,32,21,8,5
実施したきっかけ,看護師に奨められた,114,62,19,4,15,11,2,1
実施したきっかけ,作業療法士（OT）に奨められた,100,55,16,2,14,11,1,1
実施したきっかけ,理学療法士（PT）に奨められた,128,81,15,3,15,11,2,1
実施したきっかけ,言語聴覚士（ST）に奨められた,39,10,8,1,13,6,1,0
実施したきっかけ,視能訓練士（CO）に奨められた,21,5,9,1,4,2,0,0
実施したきっかけ,義肢装具士に奨められた,15,5,3,1,4,2,0,0
実施したきっかけ,介護福祉士に奨められた,43,25,1,0,9,6,2,0
実施したきっかけ,社会福祉士（ソーシャルワーカー）に奨められた,49,26,7,1,7,6,2,0
実施したきっかけ,スポーツ指導者に奨められた,20,9,3,1,5,1,0,1
実施したきっかけ,パラスポーツ指導員（旧障害者スポーツ指導員）に奨められた,19,4,4,2,7,1,0,1
実施したきっかけ,学校の先生に奨められた,57,14,4,1,37,1,0,0
実施したきっかけ,学校の授業等で興味を持ち、自主的に始めた,64,12,7,1,44,0,0,0
実施したきっかけ,所属する団体（会社等）に奨められた,17,5,2,4,5,1,0,0
実施したきっかけ,障害のある有名選手・パラアスリートの影響,14,6,3,0,3,0,1,1
実施したきっかけ,障害のない有名選手・アスリートの影響,13,3,5,1,2,1,0,1
実施したきっかけ,テレビや新聞の影響,66,35,17,2,9,2,1,0
実施したきっかけ,インターネットや動画配信を見て,81,33,29,4,13,0,1,1
実施したきっかけ,ＳＮＳの影響,40,17,17,1,5,0,0,0
実施したきっかけ,漫画、ドラマ、映画等の影響,20,6,6,0,8,0,0,0
実施したきっかけ,現地やテレビ等でそのスポーツを観た,22,11,7,1,3,0,0,0
実施したきっかけ,スポーツ団体等の関係者から誘われた,11,0,4,3,2,1,0,1
実施したきっかけ,スポーツイベントや体験会等で興味を持った,18,4,4,1,8,0,0,1
実施したきっかけ,スポーツ以外をテーマとするイベント（福祉祭り等の中の講演や体験会等）で興味を持った,6,0,2,0,1,2,0,1
実施したきっかけ,福祉施設で実施している運動プログラムに参加して,36,10,2,3,13,2,4,2
実施したきっかけ,行政の広報誌,15,12,1,0,2,0,0,0
実施したきっかけ,その他,89,52,20,0,16,0,0,1
実施したきっかけ,特にきっかけはない・なんとなく,676,334,212,22,85,12,7,4
スポーツ・運動への取組意向,スポーツや運動を行っており、満足している,849,423,216,30,141,21,12,6
スポーツ・運動への取組意向,スポーツや運動を行っているが、もっと行いたい,600,287,159,17,87,35,9,6
スポーツ・運動への取組意向,スポーツや運動を行いたいと思うができない,732,458,125,21,60,32,25,11
スポーツ・運動への取組意向,スポーツや運動に関心はない,1045,675,177,34,74,47,23,15
実施していない理由,医師に止められており、身体的にできない,127,98,6,2,3,5,11,2
実施していない理由,どのくらい体を動かしたらよいかわからない,74,54,6,1,6,5,1,1
実施していない理由,身近なところにスポーツや運動ができる場所がない,61,31,9,5,10,2,3,1
実施していない理由,スポーツや運動ができる場所への移動手段がない,40,25,4,0,2,4,4,1
実施していない理由,自分に合ったスポーツや運動の情報がない,89,52,13,3,11,8,2,0
実施していない理由,一緒にできる仲間がいない,96,57,15,3,14,2,2,3
実施していない理由,介助者がいない,93,60,2,4,12,5,8,2
実施していない理由,金銭的な余裕がない,117,75,21,3,9,3,4,2
実施していない理由,時間がない,90,35,36,0,16,2,1,0
実施していない理由,必要な競技用具や補助具がない,42,26,4,0,3,2,6,1
実施していない理由,その他,87,54,11,0,1,4,11,6
実施していない理由,活動したいと思わない,666,450,106,16,38,31,13,12
活動したいと思わない理由,スポーツ・運動が嫌いだから,158,101,33,4,9,4,3,4
活動したいと思わない理由,スポーツ・運動に興味がないから,151,86,32,7,12,7,2,5
活動したいと思わない理由,スポーツ・運動を楽しんだ経験がないから,39,25,5,2,2,2,2,1
活動したいと思わない理由,疲れるから,163,104,32,3,7,12,3,2
活動したいと思わない理由,人前に出るのが好きではないから,57,40,4,2,6,2,1,2
活動したいと思わない理由,学校の体育や部活動等で苦手意識を持ったから,23,11,5,1,4,1,0,1
活動したいと思わない理由,一緒に運動・スポーツする人に迷惑をかけるのではないかと心配だから,18,10,2,1,3,0,0,2
活動したいと思わない理由,スポーツ以外に趣味があるから,64,37,14,2,8,2,0,1
活動したいと思わない理由,忙しいから,34,14,16,1,2,1,0,0
活動したいと思わない理由,その他,56,37,5,2,2,7,3,0
活動したいと思わない理由,わからない,216,158,21,6,12,9,6,4
学校体育の参加状況,参加していて、体育が好きである,279,53,14,2,207,2,1,0
学校体育の参加状況,参加しているが、体育は好きではない,146,38,6,2,94,6,0,0
学校体育の参加状況,参加していない,42,23,0,0,18,1,0,0
学校体育の参加状況,わからない,37,16,2,1,15,1,2,0
学校体育に参加しない理由,授業の内容のとおりに身体を動かすことができないから,9,3,0,0,6,0,0,0
学校体育に参加しない理由,自分にはできないと思ったから,12,9,0,0,3,0,0,0
学校体育に参加しない理由,他の生徒や先生に迷惑をかけると思ったから,6,1,0,0,4,1,0,0
学校体育に参加しない理由,参加するために必要なスポーツ用具がなかったから,1,0,0,0,1,0,0,0
学校体育に参加しない理由,医師から止められていたから,1,0,0,0,1,0,0,0
学校体育に参加しない理由,学校の先生から見学するように言われたから,3,0,0,0,3,0,0,0
学校体育に参加しない理由,身体を動かすことが怖いから,5,2,0,0,3,0,0,0
学校体育に参加しない理由,その他,12,10,0,0,2,0,0,0
スポーツ・運動の参加方法,現地の会場で対面での参加,1083,482,239,47,250,35,17,13
スポーツ・運動の参加方法,リモート参加,134,82,23,3,9,11,6,0
スポーツ・運動の参加方法,ハイブリッド（現地参加とリモート参加の両方から選択できる）,241,116,55,6,34,23,6,1
スポーツ・運動の参加方法,参加したいと思わない,1768,1163,360,46,69,66,40,24
参加したいスポーツ活動,ルールが簡単,891,415,185,46,181,35,19,10
参加したいスポーツ活動,自分のペースに合わせてできる,1507,821,318,53,221,45,27,22
参加したいスポーツ活動,汗をかかない,151,98,28,6,10,6,2,1
参加したいスポーツ活動,自宅で実施できる,570,386,93,19,41,15,7,9
参加したいスポーツ活動,短い時間で実施できる,705,400,151,28,76,27,15,8
参加したいスポーツ活動,上達したことが分かる,362,146,82,11,94,16,5,8
参加したいスポーツ活動,ゲーム機を使い体を動かして行なうスポーツ・フィットネス等,203,91,46,11,43,12,0,0
参加したいスポーツ活動,好きな種目を選べる,468,209,119,14,94,20,5,7
参加したいスポーツ活動,やったことがないスポーツを試せる,138,44,36,6,43,5,2,2
参加したいスポーツ活動,予約や申し込みなしに、参加したいときに参加できる,355,163,85,18,60,17,6,6
参加したいスポーツ活動,有名な選手に会える,85,28,18,4,27,5,1,2
参加したいスポーツ活動,親子で一緒に参加ができる,149,50,17,10,59,8,4,1
参加したいスポーツ活動,新しい友達をつくることができる,263,104,56,9,74,10,6,4
参加したいスポーツ活動,スポーツ以外に芸術・文化的なパフォーマンスも楽しめる,130,56,39,2,25,5,3,0
参加したいスポーツ活動,失敗しても笑われたり恥ずかしい思いをしない,365,159,77,15,92,9,6,7
参加したいスポーツ活動,新しい道具やウェアを買わなくてよい,326,187,60,12,48,6,7,6
参加したいスポーツ活動,その他,63,32,14,2,7,3,2,3
参加したいスポーツ活動,どのようなスポーツや運動でも参加したいと思わない,909,628,166,18,24,36,26,11
スポーツ・運動の継続実施に必要なもの,スタジアム、体育館などの建物や設備のバリアフリー化,344,182,81,11,48,14,5,3
スポーツ・運動の継続実施に必要なもの,交通機関（電車やバス）やまちのバリアフリー化,375,210,87,11,38,22,6,1
スポーツ・運動の継続実施に必要なもの,会場までの送迎,360,201,59,13,65,14,6,2
スポーツ・運動の継続実施に必要なもの,障害者への施設開放の促進（障害者が優先的に使える施設が増える）,274,115,62,13,51,25,7,1
スポーツ・運動の継続実施に必要なもの,障害にあわせた教室やプログラム,463,223,80,22,108,21,5,4
スポーツ・運動の継続実施に必要なもの,介助者や手話通訳などの支援,120,53,20,5,25,11,4,2
スポーツ・運動の継続実施に必要なもの,障害に対応した情報の提供や問合せ方法の充実,232,109,55,8,45,10,3,2
スポーツ・運動の継続実施に必要なもの,施設や用具等を利用する際に必要な手続きの支援,138,57,33,7,30,8,1,2
スポーツ・運動の継続実施に必要なもの,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進,109,40,32,6,18,10,2,1
スポーツ・運動の継続実施に必要なもの,健康や体調を管理する医療的なサポート,280,163,60,10,25,12,6,4
スポーツ・運動の継続実施に必要なもの,目標となる大会やイベント,136,45,39,4,38,7,2,1
スポーツ・運動の継続実施に必要なもの,スポーツ用具等の貸出し,172,76,44,5,38,6,2,1
スポーツ・運動の継続実施に必要なもの,施設の利用料減免　（利用料が安くなったり、無料になったりする）,314,147,82,10,58,6,5,6
スポーツ・運動の継続実施に必要なもの,リモートにより、障害に応じたスポーツ・運動を指導してくれる支援、またはその充実,89,53,17,1,10,3,3,2
スポーツ・運動の継続実施に必要なもの,自宅でもできる、障害に応じたスポーツ・運動方法についての情報提供、またはその充実,258,158,52,7,28,8,2,3
スポーツ・運動の継続実施に必要なもの,一緒に行う仲間（障害の無い人）,331,138,73,18,90,5,4,3
スポーツ・運動の継続実施に必要なもの,一緒に行う仲間（自分と同じ障害のある人）,291,130,49,16,78,12,4,2
スポーツ・運動の継続実施に必要なもの,一緒に行う仲間（自分と異なる障害のある人）,157,64,26,8,52,4,2,1
スポーツ・運動の継続実施に必要なもの,適切な指導者やコーチ、トレーナー,356,167,58,15,96,12,2,6
スポーツ・運動の継続実施に必要なもの,その他,44,23,12,0,7,0,0,2
スポーツ・運動の継続実施に必要なもの,特にない,362,207,108,10,21,6,4,6
スポーツ・運動の継続実施に必要なもの,わからない,247,143,64,10,19,5,5,1
新たに別のスポーツ・運動を始めるために必要な支援,スタジアム、体育館などの建物や設備のバリアフリー化,245,137,58,10,24,10,6,0
新たに別のスポーツ・運動を始めるために必要な支援,交通機関（電車やバス）やまちのバリアフリー化,228,140,46,5,14,19,4,0
新たに別のスポーツ・運動を始めるために必要な支援,会場までの送迎,321,179,57,10,55,15,4,1
新たに別のスポーツ・運動を始めるために必要な支援,障害者への施設開放の促進（障害者が優先的に使える施設が増える）,159,69,34,7,31,14,2,2
新たに別のスポーツ・運動を始めるために必要な支援,障害にあわせた教室やプログラム,340,153,59,17,87,17,4,3
新たに別のスポーツ・運動を始めるために必要な支援,介助者や手話通訳などの支援,65,26,13,4,12,7,2,1
新たに別のスポーツ・運動を始めるために必要な支援,障害に対応した情報の提供や問合せ方法の充実,142,77,22,7,24,8,3,1
新たに別のスポーツ・運動を始めるために必要な支援,施設や用具等を利用する際に必要な手続きの支援,75,34,22,1,11,6,1,0
新たに別のスポーツ・運動を始めるために必要な支援,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進,54,20,11,4,11,7,1,0
新たに別のスポーツ・運動を始めるために必要な支援,健康や体調を管理する医療的なサポート,186,107,42,6,12,11,6,2
新たに別のスポーツ・運動を始めるために必要な支援,目標となる大会やイベント,85,29,27,7,17,3,1,1
新たに別のスポーツ・運動を始めるために必要な支援,スポーツ用具等の貸出し,102,53,30,1,15,2,1,0
新たに別のスポーツ・運動を始めるために必要な支援,施設の利用料減免（利用料が安くなったり、無料になったりする）,245,132,60,7,32,5,5,4
新たに別のスポーツ・運動を始めるために必要な支援,リモートにより、障害に応じたスポーツ・運動を指導してくれる支援、またはその充実,50,30,9,1,5,5,0,0
新たに別のスポーツ・運動を始めるために必要な支援,自宅でもできる、障害に応じたスポーツ・運動方法についての情報提供、またはその充実,146,93,31,2,10,5,1,4
新たに別のスポーツ・運動を始めるために必要な支援,一緒に行う仲間（障害の無い人）,197,84,54,9,40,4,4,2
新たに別のスポーツ・運動を始めるために必要な支援,一緒に行う仲間（自分と同じ障害のある人）,164,77,31,7,42,6,1,0
新たに別のスポーツ・運動を始めるために必要な支援,一緒に行う仲間（自分と異なる障害のある人）,47,19,9,3,14,2,0,0
新たに別のスポーツ・運動を始めるために必要な支援,適切な指導者やコーチ、トレーナー,303,135,54,11,78,14,5,6
新たに別のスポーツ・運動を始めるために必要な支援,その他,23,12,5,0,5,1,0,0
新たに別のスポーツ・運動を始めるために必要な支援,特にない,396,217,126,9,26,7,4,7
新たに別のスポーツ・運動を始めるために必要な支援,わからない,249,146,60,12,22,4,3,2
スポーツを始めるきっかけとして必要な支援,スタジアム、体育館などの建物や設備のバリアフリー化,31,20,2,1,5,0,3,0
スポーツを始めるきっかけとして必要な支援,交通機関（電車やバス）やまちのバリアフリー化,32,16,8,2,4,2,0,0
スポーツを始めるきっかけとして必要な支援,会場までの送迎,95,57,10,5,13,5,3,2
スポーツを始めるきっかけとして必要な支援,障害者への施設開放の促進（障害者が優先的に使える施設が増える）,35,12,4,2,9,1,5,2
スポーツを始めるきっかけとして必要な支援,障害にあわせた教室やプログラム,112,58,11,6,18,7,6,6
スポーツを始めるきっかけとして必要な支援,介助者や手話通訳などの支援,29,15,0,1,3,4,4,2
スポーツを始めるきっかけとして必要な支援,障害に対応した情報の提供や問合せ方法の充実,38,19,4,2,4,4,4,1
スポーツを始めるきっかけとして必要な支援,施設や用具等を利用する際に必要な手続きの支援,13,7,1,0,2,1,2,0
スポーツを始めるきっかけとして必要な支援,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進,5,4,0,0,1,0,0,0
スポーツを始めるきっかけとして必要な支援,健康や体調を管理する医療的なサポート,65,36,7,2,3,4,9,4
スポーツを始めるきっかけとして必要な支援,目標となる大会やイベント,9,4,1,0,4,0,0,0
スポーツを始めるきっかけとして必要な支援,スポーツ用具等の貸出し,17,10,5,0,1,1,0,0
スポーツを始めるきっかけとして必要な支援,施設の利用料減免（利用料が安くなったり、無料になったりする）,46,30,11,0,4,0,0,1
