調査項目,回答,全体(人),スタジアム、体育館などの建物や設備のバリアフリー化(人),交通機関（電車やバス）やまちのバリアフリー化(人),会場までの送迎(人),障害者への施設開放の促進（障害者が優先的に使える施設が増える）(人),障害にあわせた教室やプログラム(人),介助者や手話通訳などの支援(人),障害に対応した情報の提供や問合せ方法の充実(人),施設や用具等を利用する際に必要な手続きの支援(人),障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進(人),健康や体調を管理する医療的なサポート(人),目標となる大会やイベント(人),スポーツ用具等の貸出し(人),施設の利用料減免　（利用料が安くなったり、無料になったりする）(人),リモートにより、障害に応じたスポーツ・運動を指導してくれる支援、またはその充実(人),自宅でもできる、障害に応じたスポーツ・運動方法についての情報提供、またはその充実(人),一緒に行う仲間（障害の無い人）(人),一緒に行う仲間（自分と同じ障害のある人）(人),一緒に行う仲間（自分と異なる障害のある人）(人),適切な指導者やコーチ、トレーナー(人),その他(人),特にない(人),わからない(人)
学校の種別,小学校の普通学校（通常学級のみに在籍）,77,14,10,15,6,11,3,3,2,3,3,11,6,6,0,1,16,8,5,11,2,9,8
学校の種別,小学校の普通学校（通級による指導あり）,32,4,5,8,5,12,5,7,5,5,6,4,5,6,3,7,10,9,7,8,0,2,0
学校の種別,小学校の普通学校（特別支援学級）,73,14,11,21,20,39,8,15,8,4,4,7,6,19,2,6,23,23,16,28,2,4,2
学校の種別,小学校の特別支援学校（養護学校・盲学校・ろう学校）,34,4,6,11,14,16,6,8,7,4,4,3,5,9,1,2,7,8,3,9,2,3,1
学校の種別,中学校の普通学校（通常学級のみに在籍）,32,3,4,5,3,4,2,1,1,0,2,4,1,3,2,2,7,7,4,6,1,5,1
学校の種別,中学校の普通学校（通級による指導あり）,14,2,3,0,3,3,0,0,1,1,0,1,0,0,0,0,4,0,0,3,0,0,2
学校の種別,中学校の普通学校（特別支援学級）,29,6,5,10,8,11,6,5,3,5,5,8,9,7,4,6,9,11,5,12,0,0,2
学校の種別,中学校の特別支援学校（養護学校・盲学校・ろう学校）,29,7,3,7,6,15,4,5,2,2,2,2,5,7,0,6,8,7,6,10,0,1,0
学校の種別,高等学校の普通学校（通常学級のみに在籍）,34,6,4,3,3,6,3,3,2,2,4,4,4,3,1,2,5,4,3,7,0,3,8
学校の種別,高等学校の普通学校（通級による指導あり）,8,0,0,1,4,2,1,1,0,0,1,1,1,1,1,3,4,3,0,0,0,0,1
学校の種別,高等学校の特別支援学校（養護学校・盲学校・ろう学校）,29,6,6,10,5,14,4,4,7,1,4,4,7,5,1,3,10,9,6,9,0,2,3
学校の種別,大学・短期大学,25,8,4,3,2,4,0,1,3,3,5,2,4,3,0,2,6,5,2,0,0,1,2
学校の種別,特別支援学校高等部専攻科、高等学校専攻科,10,1,0,2,3,5,1,0,0,0,1,0,0,2,0,3,2,6,2,6,0,1,1
学校の種別,職業能力開発校、障害者職業能力開発校等,7,2,2,0,0,3,0,2,2,0,1,2,0,2,0,0,0,1,2,4,0,1,0
学校の種別,なし,80,8,11,7,14,26,4,11,7,6,13,7,8,18,0,7,18,17,10,18,1,10,14
仕事の有無,仕事をしている,894,162,158,115,100,147,39,91,59,50,112,57,78,129,38,98,123,92,50,119,21,174,116
仕事の有無,仕事をしていない,1077,163,195,222,149,284,75,127,68,49,151,72,86,165,46,146,181,173,91,214,22,175,115
仕事の有無,福祉的就労をしている（就労移行支援、就労継続支援Ａ型・Ｂ型、就労定着支援）,120,19,22,23,25,32,6,14,11,10,17,7,8,20,5,14,27,26,16,23,1,13,16
平日・日中の居場所,自分の家,1098,182,210,201,115,223,53,109,57,40,163,45,76,147,53,158,138,130,64,167,23,207,143
平日・日中の居場所,職場（一般企業など）,506,81,87,59,62,80,20,55,33,32,60,39,44,82,17,52,73,49,26,58,12,108,64
平日・日中の居場所,職場（福祉的就労（就労移行支援、就労継続支援Ａ型・Ｂ型、就労定着支援）の施設）,74,11,11,13,13,22,5,8,7,6,10,4,5,10,1,7,18,16,8,15,0,10,10
平日・日中の居場所,学校,282,48,38,65,51,108,25,45,30,18,25,38,38,58,10,28,90,78,52,96,7,21,19
平日・日中の居場所,通所施設（生活介護、デイケアなど）,85,14,22,14,25,21,11,10,8,10,12,7,6,6,3,8,5,12,4,12,0,6,5
平日・日中の居場所,入所施設,28,5,6,6,7,5,4,3,1,2,6,2,2,5,3,2,4,4,2,2,0,4,5
平日・日中の居場所,その他,18,3,1,2,1,4,2,2,2,1,4,1,1,6,2,3,3,2,1,6,2,6,1
放課後の居場所,自分の家,256,45,34,61,45,84,24,29,19,9,17,39,29,37,7,22,69,56,30,71,7,21,23
放課後の居場所,習いごと（塾や英会話等の学習系）,65,11,10,10,11,18,8,11,5,8,9,11,10,4,5,6,16,12,6,11,1,6,5
放課後の居場所,習いごと（スイミングやサッカー等のスポーツ系）,57,12,9,17,14,19,7,13,8,8,8,10,7,10,3,4,19,12,8,17,3,1,2
放課後の居場所,習いごと（音楽や習字等の芸術系）,39,4,4,12,15,9,7,6,5,6,7,8,9,8,1,5,8,8,4,4,1,2,0
放課後の居場所,児童通所サービス（放課後等デイサービス　等）,128,22,24,40,35,63,20,25,18,14,17,10,22,34,7,18,38,41,26,48,3,6,7
放課後の居場所,学童保育,28,6,3,8,9,15,6,10,6,5,6,5,5,9,2,3,10,10,5,6,0,0,1
放課後の居場所,広場や公園,34,6,4,10,8,14,7,6,7,6,6,9,9,12,4,5,16,14,11,14,2,0,2
放課後の居場所,学校（校庭や体育館）,34,4,5,7,7,11,3,2,4,2,3,9,9,10,2,3,20,15,10,13,0,0,1
放課後の居場所,児童館や図書館などの公共施設,14,4,3,6,5,8,3,4,3,2,4,3,5,5,1,2,9,7,5,6,0,1,3
放課後の居場所,その他,7,0,0,2,2,2,1,0,0,0,0,1,1,4,0,0,3,2,1,2,0,1,1
障害福祉サービスの利用状況,利用していない,1380,198,219,174,115,227,45,116,64,44,165,87,105,193,51,152,200,152,80,194,34,311,196
障害福祉サービスの利用状況,居宅介護（ホームヘルプ）,134,43,52,46,31,39,15,25,19,16,32,14,16,20,9,23,17,21,10,19,1,4,9
障害福祉サービスの利用状況,重度訪問介護,14,7,5,6,7,4,3,4,3,3,1,1,1,2,1,2,3,1,1,1,0,0,0
障害福祉サービスの利用状況,同行援護,49,16,20,21,17,19,11,14,6,4,9,5,5,9,5,5,6,8,5,8,1,4,0
障害福祉サービスの利用状況,行動援護,65,14,20,23,24,25,12,13,11,8,12,3,7,14,2,5,10,15,6,10,0,3,5
障害福祉サービスの利用状況,重度障害者等包括支援,24,4,3,3,12,7,4,3,2,2,3,0,0,1,1,4,1,1,0,2,0,0,0
障害福祉サービスの利用状況,短期入所（ショートステイ）,72,17,17,21,23,29,14,16,15,9,18,9,14,11,3,13,9,13,6,18,1,4,3
障害福祉サービスの利用状況,療養介護,21,6,6,7,7,8,5,5,5,4,5,3,4,3,2,3,3,7,2,4,0,0,0
障害福祉サービスの利用状況,生活介護,47,12,19,18,15,14,12,9,10,6,10,6,6,8,3,7,8,9,5,10,0,4,3
障害福祉サービスの利用状況,施設入所支援,19,0,6,3,6,4,4,4,2,3,7,2,2,2,3,6,2,4,2,3,0,2,0
障害福祉サービスの利用状況,自立訓練,47,8,13,18,8,17,3,11,5,3,14,3,5,8,1,6,6,11,1,10,1,1,6
障害福祉サービスの利用状況,就労移行支援,37,8,6,10,8,9,3,6,4,4,8,6,5,13,1,4,13,12,5,11,0,3,5
障害福祉サービスの利用状況,就労継続支援（A型）,21,5,2,3,6,6,0,5,0,5,3,2,3,2,1,2,5,6,1,3,0,4,1
障害福祉サービスの利用状況,就労継続支援（B型）,63,11,13,14,14,20,3,9,6,3,10,3,4,13,4,10,16,15,10,18,1,8,9
障害福祉サービスの利用状況,就労定着支援,14,4,4,5,3,4,0,5,1,1,4,3,1,4,0,0,5,6,2,3,0,1,0
障害福祉サービスの利用状況,自立生活援助,35,7,9,11,10,8,5,7,7,3,7,2,6,8,2,3,8,8,6,5,1,4,1
障害福祉サービスの利用状況,共同生活援助（グループホーム）,19,3,4,9,6,7,2,4,2,0,3,2,3,2,1,3,1,4,1,5,0,2,1
障害福祉サービスの利用状況,計画相談支援,41,11,10,13,15,20,9,16,10,11,12,12,10,16,7,11,12,15,9,17,2,2,5
障害福祉サービスの利用状況,地域相談支援,41,12,12,17,12,15,10,13,6,9,8,7,8,11,5,10,12,16,10,14,3,1,3
障害福祉サービスの利用状況,移動支援,54,12,15,19,17,25,12,12,13,11,19,8,10,14,6,11,12,13,10,16,1,6,2
障害福祉サービスの利用状況,地域活動支援センター,60,20,14,18,17,19,8,11,8,8,15,5,7,12,6,13,10,13,9,14,2,7,2
障害福祉サービスの利用状況,福祉ホーム,17,6,10,3,3,4,5,2,2,3,3,3,2,1,3,3,2,2,2,1,0,0,0
障害福祉サービスの利用状況,児童発達支援,48,10,11,16,11,27,5,15,10,6,4,10,8,16,4,10,20,20,14,19,1,1,0
障害福祉サービスの利用状況,医療型児童発達支援,10,4,1,2,2,6,1,4,3,2,1,1,3,2,1,1,3,3,2,3,1,2,0
障害福祉サービスの利用状況,放課後等デイサービス,143,24,23,45,36,76,24,34,21,19,22,14,19,40,12,24,40,40,25,64,3,6,8
障害福祉サービスの利用状況,居宅訪問型児童発達支援,8,2,3,2,2,5,3,2,3,2,3,3,3,4,1,1,3,2,2,3,0,0,1
障害福祉サービスの利用状況,保育所等訪問支援,4,3,1,1,3,3,1,3,1,1,1,0,0,3,0,0,3,1,0,3,0,0,0
障害福祉サービスの利用状況,訪問看護,74,14,20,28,15,20,5,16,13,8,21,5,11,19,9,22,21,16,10,26,1,10,4
障害福祉サービスの利用状況,訪問リハビリテーション,76,20,26,30,11,23,7,13,7,7,15,2,5,18,5,21,13,16,10,20,2,6,6
過去1年間の実施種目,ウォーキング、散歩（散策、ペットの散歩など）,1595,288,308,271,190,349,77,172,103,73,221,94,130,236,65,207,251,223,116,256,32,309,203
過去1年間の実施種目,体操（ラジオ体操、職場体操、ストレッチ、エアロビクス、ヨガ、ピラティス、縄跳びなど）,531,98,124,124,90,151,36,79,52,42,99,43,73,126,48,107,115,108,63,134,10,70,48
過去1年間の実施種目,室内運動器具（ウエイト器具、ランニングマシーン、バランスボールなど）を用いる運動,285,55,60,63,68,79,27,51,24,25,46,20,46,63,22,53,50,49,28,81,8,33,20
過去1年間の実施種目,陸上競技（ランニング、ジョギングなどの軽い運動も含めます）,170,40,34,32,38,46,19,22,17,14,24,28,25,33,10,17,43,40,22,43,4,12,12
過去1年間の実施種目,水泳・遊泳（水中歩行・水中運動）,293,60,55,70,64,108,26,47,33,22,36,39,33,71,11,34,77,62,33,80,9,29,12
過去1年間の実施種目,ブラインドサッカー,24,5,5,2,8,5,10,5,3,9,3,1,6,2,3,3,2,4,2,1,0,0,1
過去1年間の実施種目,車いすテニス,15,7,5,7,7,6,4,4,4,3,4,3,6,4,1,1,3,5,2,3,1,0,1
過去1年間の実施種目,サウンドテーブルテニス,26,8,7,4,10,6,5,6,4,8,7,3,4,2,5,4,1,3,3,1,0,0,0
過去1年間の実施種目,パラバレーボール,26,6,11,3,8,4,8,4,3,8,6,4,5,3,2,3,2,3,2,1,0,0,1
過去1年間の実施種目,車いすバスケットボール,19,6,6,2,7,6,5,4,3,4,4,1,4,4,2,2,2,2,0,1,0,0,0
過去1年間の実施種目,車いすラグビー,13,3,3,2,2,4,4,2,2,3,1,2,0,2,1,3,1,0,1,0,0,0,0
過去1年間の実施種目,ボッチャ,50,13,13,19,14,30,10,12,10,8,8,8,8,21,3,7,19,16,12,20,1,1,1
過去1年間の実施種目,球技（キャッチボールなどのボールを使った軽い運動も含めます）,124,18,13,36,21,36,10,21,9,11,14,26,18,28,3,9,54,31,22,43,3,14,9
過去1年間の実施種目,ダンス（フォークダンス、ジャズダンス、社交ダンス、フラダンス、バレエ、民謡踊りなど）,94,18,17,22,18,35,10,15,10,9,15,15,15,21,7,14,32,33,17,29,1,8,6
過去1年間の実施種目,格闘技（ボクシング、レスリング、相撲（すもう）など）,19,5,3,2,5,5,3,4,4,3,4,2,4,7,1,1,5,4,2,8,0,2,1
過去1年間の実施種目,武道（柔道、剣道、空手、合気道など）,24,3,7,5,5,6,4,5,3,3,4,7,4,7,2,5,13,8,5,8,1,1,0
過去1年間の実施種目,射的（弓道、アーチェリー、ダーツ、スポーツ吹矢など）,15,3,2,3,5,3,5,3,2,2,4,5,6,4,0,2,4,4,1,3,0,1,0
過去1年間の実施種目,ウィンタースポーツ（スキー、スノーボード、スケートなど）,47,12,11,8,7,13,6,7,4,5,4,10,11,10,4,6,10,10,6,12,1,7,2
過去1年間の実施種目,ウォータースポーツ（ボート、ヨット、スキンダイビング、スクーバダイビング、カヌー、水上バイク、サーフィン、ウィンドサーフィン、ボディボード、ボードセーリングなど）,38,10,14,8,10,8,9,6,8,8,6,5,13,11,2,4,12,7,3,9,1,5,2
過去1年間の実施種目,スカイスポーツ（ハンググライダー、パラグライダー、スカイダイビングなど）,13,5,6,2,5,4,6,4,2,4,3,0,2,1,2,0,2,0,0,0,0,0,0
過去1年間の実施種目,アウトドアスポーツ（ハイキング、ワンダーフォーゲル、釣り、登山、キャンプなど）,105,18,17,18,19,29,13,12,11,11,21,17,21,26,8,18,34,25,16,30,4,16,4
過去1年間の実施種目,サイクリング、モーター（サイクル）スポーツ,114,27,27,18,21,30,8,24,11,12,24,20,23,29,8,21,32,24,17,25,3,19,8
過去1年間の実施種目,運動あそび（鬼ごっこ、かくれんぼ、鉄棒、ぶらんこなど）,134,26,18,39,29,64,13,22,17,11,13,19,20,35,5,15,47,44,26,54,4,8,11
過去1年間の実施種目,ゲーム機を使い体を動かして行うスポーツ・フィットネス等,79,15,14,20,13,27,8,14,9,7,9,12,9,18,6,16,25,23,14,20,3,6,8
過去1年間の実施種目,その他,53,8,7,11,6,10,3,4,4,4,9,8,8,13,3,9,19,13,7,17,4,4,7
過去1年間の実施種目,この1年間に運動・スポーツは行わなかった,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
実施頻度（1年間）,週3日以上（年151日以上）,604,108,117,101,59,108,24,61,38,28,69,43,41,93,24,76,74,72,38,98,17,133,68
実施頻度（1年間）,週2日程度（年101日～150日）,429,85,94,92,78,117,33,64,44,27,71,34,39,73,26,59,83,75,45,96,8,50,40
実施頻度（1年間）,週1日程度（年51日～100日）,506,77,81,85,62,115,29,54,29,35,75,30,45,64,13,56,79,67,32,79,8,76,50
実施頻度（1年間）,月に1～3日程度（年12日～50日）,280,43,42,48,44,74,17,31,16,8,42,15,28,53,19,42,59,43,21,54,6,46,24
実施頻度（1年間）,3か月に1～2日程度（年4日～11日）,75,15,20,17,19,22,7,11,8,5,12,11,10,17,3,12,16,17,11,9,1,12,7
実施頻度（1年間）,年に1～3日程度,52,7,12,3,5,10,4,7,2,4,6,1,4,6,2,4,8,7,3,4,1,11,6
実施頻度（1年間）,わからない,145,9,9,14,7,17,6,4,1,2,5,2,5,8,2,9,12,10,7,16,3,34,52
実施した場所,自宅,829,181,189,153,107,211,55,102,63,39,138,51,78,143,56,154,147,125,71,158,21,120,93
実施した場所,道路や遊歩道,1083,177,222,173,126,235,51,128,79,52,171,66,89,166,41,162,165,150,78,180,27,230,131
実施した場所,広場や公園,633,129,139,129,97,187,45,93,55,40,109,56,74,115,31,83,126,118,65,128,9,102,49
実施した場所,民間のスポーツ施設,314,87,65,71,64,81,26,44,26,27,37,38,38,58,16,33,68,53,32,73,9,35,23
実施した場所,公共のスポーツ施設（障害者専用施設）,130,38,36,35,50,47,25,34,20,23,21,13,21,27,6,15,21,26,14,18,3,3,1
実施した場所,公共のスポーツ施設（障害者専用施設以外）,241,56,49,54,46,81,21,48,24,19,42,40,34,75,20,33,79,52,34,78,3,28,10
実施した場所,小中高校の体育施設,128,27,22,27,23,44,15,18,8,13,16,25,20,22,4,9,48,33,22,47,2,9,9
実施した場所,特別支援学校の体育施設,85,19,21,23,34,43,17,19,17,14,16,10,10,19,8,16,20,26,16,22,3,5,2
実施した場所,職場のスポーツ施設,35,11,10,7,11,9,7,10,6,9,8,7,6,8,4,7,7,6,4,2,1,2,0
実施した場所,福祉施設,64,14,19,22,21,19,12,11,9,9,15,6,11,13,6,10,12,21,9,15,1,4,3
実施した場所,児童通所サービス（放課後等デイサービス等）,87,13,16,26,29,45,11,22,16,11,14,5,15,28,7,15,27,30,19,40,2,4,5
実施した場所,医療機関（病院やリハビリ施設）,68,11,27,30,14,27,3,14,12,8,25,6,7,25,5,23,10,14,9,23,1,4,4
実施した場所,山・川・海・空,171,31,35,36,31,57,16,30,23,14,35,29,38,49,14,34,64,48,34,58,5,25,8
実施した場所,その他,44,5,9,10,6,14,4,8,3,4,7,3,8,12,2,11,7,7,5,14,2,7,4
実施した場所,わからない,47,1,1,3,1,1,0,0,0,0,0,1,2,1,1,1,2,1,0,2,0,12,25
一緒に実施する人,一人,1133,189,206,170,112,210,33,109,69,49,164,63,102,184,54,160,165,152,83,184,33,247,154
一緒に実施する人,家族,762,146,158,155,119,228,61,106,66,39,111,57,72,126,39,125,145,136,76,157,15,104,76
一緒に実施する人,福祉施設の職員・仲間,174,40,58,65,41,63,26,33,21,21,38,12,23,38,9,30,27,36,19,35,2,8,7
一緒に実施する人,障害がある人のサークル・障害者スポーツサークル等の仲間,91,27,26,28,27,35,14,23,14,15,11,19,15,19,3,9,15,22,11,17,1,3,1
一緒に実施する人,障害がある人やない人など様々な人がいるサークルの仲間,107,28,29,27,39,30,20,30,13,18,24,19,13,25,10,12,28,26,17,21,1,6,2
一緒に実施する人,スポーツ教室の指導者・仲間,151,32,33,41,28,56,23,30,9,13,27,24,18,39,8,11,53,33,22,54,3,8,4
一緒に実施する人,障害者専用スポーツ施設の職員・仲間,61,12,15,19,31,26,18,16,11,18,13,10,9,16,5,10,11,13,6,15,1,0,0
一緒に実施する人,地域の公共スポーツ施設の職員・仲間,48,9,13,10,16,8,8,14,12,10,12,10,11,10,3,5,15,9,6,11,0,1,0
一緒に実施する人,ボランティアの人たち,54,18,24,24,20,26,10,21,7,12,17,9,13,14,5,8,12,15,10,13,1,0,0
一緒に実施する人,学校の先生や学校の友達,150,24,19,36,32,58,14,19,13,11,18,25,27,38,6,19,54,55,36,57,5,10,7
一緒に実施する人,児童通所サービス（放課後等デイサービス等）の職員・仲間,86,12,14,28,24,49,8,22,13,9,15,6,11,28,7,16,26,32,18,39,2,4,5
一緒に実施する人,その他の友人・知人,137,30,28,32,16,32,4,16,13,6,22,26,26,30,12,25,65,31,24,41,4,22,7
一緒に実施する人,その他,35,3,6,11,6,12,6,7,5,6,16,1,2,13,4,14,8,9,4,16,0,2,5
一緒に実施する人,わからない,40,0,1,1,0,2,0,0,0,0,1,0,1,0,1,0,2,1,2,1,0,11,24
実施した理由,健康・体力づくりのため,1503,296,299,291,193,352,78,179,107,72,223,106,139,259,70,207,273,243,127,303,33,260,153
実施した理由,楽しみや気晴らしのため,890,184,192,194,136,250,66,124,82,55,142,87,114,167,54,129,199,180,101,203,15,125,77
実施した理由,運動不足解消のため,1109,197,219,223,161,300,70,155,101,67,187,86,123,211,62,176,214,192,101,248,25,199,102
実施した理由,精神の修養や訓練のため（心をきたえるため）,240,47,64,51,64,76,28,52,34,26,53,29,36,60,23,37,63,62,34,63,3,23,16
実施した理由,自己の記録や能力を向上させるため,182,40,43,50,49,53,20,43,29,22,37,26,32,43,21,31,52,37,24,54,4,14,5
実施した理由,リハビリテーションや医療・治療のため,340,70,105,96,74,117,38,71,47,37,99,27,45,81,30,82,53,67,34,91,5,35,19
実施した理由,家族のふれあいのため,154,40,43,53,41,75,25,35,25,17,30,22,32,48,15,33,52,48,29,54,2,9,11
実施した理由,友人・仲間との交流のため,254,60,58,63,51,91,34,48,30,25,52,47,42,66,21,43,103,79,50,86,5,17,6
実施した理由,美容や肥満解消（ダイエット）のため,217,36,44,40,42,58,21,39,29,16,47,22,33,65,24,51,54,50,31,60,8,36,19
実施した理由,障害者スポーツ大会に参加するため,17,5,5,7,5,8,5,7,4,4,7,9,6,9,3,3,8,6,4,9,1,2,0
実施した理由,その他,36,8,8,6,7,12,4,6,2,6,5,3,6,7,3,8,10,10,8,13,8,4,5
実施した理由,わからない,61,0,2,1,0,1,1,1,0,1,0,1,0,0,1,0,0,1,1,0,0,13,40
実施したきっかけ,家族に奨められた,561,146,131,125,75,153,42,76,54,26,77,41,45,82,23,79,95,96,56,95,8,62,44
実施したきっかけ,（障害のある）友人・知人・同僚に奨められた,101,43,45,36,27,40,12,24,16,16,18,15,16,25,9,15,23,28,16,22,1,2,3
実施したきっかけ,（障害のない）友人・知人・同僚に奨められた,119,40,34,26,23,26,13,17,17,10,21,18,18,22,6,14,41,21,15,26,2,9,1
実施したきっかけ,医師に奨められた,500,88,130,113,84,146,35,75,42,32,131,29,53,98,23,94,83,81,39,99,15,63,39
実施したきっかけ,看護師に奨められた,114,29,38,36,25,39,18,26,14,15,29,7,14,17,8,21,19,22,11,20,2,6,6
実施したきっかけ,作業療法士（OT）に奨められた,100,28,37,24,39,46,16,27,19,19,22,7,8,22,10,22,20,21,11,26,1,7,2
実施したきっかけ,理学療法士（PT）に奨められた,128,24,34,26,40,39,16,26,16,16,27,8,13,29,8,25,15,20,9,26,2,11,8
実施したきっかけ,言語聴覚士（ST）に奨められた,39,7,11,8,13,11,11,14,7,13,10,4,7,3,5,8,3,8,4,5,0,0,0
実施したきっかけ,視能訓練士（CO）に奨められた,21,4,5,1,12,3,4,7,2,7,3,1,0,2,1,3,2,0,1,0,0,0,0
