調査項目,回答,全体(人),行っている(人),ウォーキング、散歩（散策、ペットの散歩など）(人),体操（ラジオ体操、職場体操、ストレッチ、エアロビクス、ヨガ、ピラティス、縄跳びなど）(人),室内運動器具（ウエイト器具、ランニングマシーン、バランスボールなど）を用いる運動(人),陸上競技（ランニング、ジョギングなどの軽い運動も含めます）(人),水泳・遊泳（水中歩行・水中運動）(人),ブラインドサッカー(人),車いすテニス(人),サウンドテーブルテニス(人),パラバレーボール(人),車いすバスケットボール(人),車いすラグビー(人),ボッチャ(人),球技（キャッチボールなどのボールを使った軽い運動も含めます）(人),ダンス（フォークダンス、ジャズダンス、社交ダンス、フラダンス、バレエ、民謡踊りなど）(人),格闘技（ボクシング、レスリング、相撲（すもう）など）(人),武道（柔道、剣道、空手、合気道など）(人),射的（弓道、アーチェリー、ダーツ、スポーツ吹矢など）(人),ウィンタースポーツ（スキー、スノーボード、スケートなど）(人),ウォータースポーツ（ボート、ヨット、スキンダイビング、スクーバダイビング、カヌー、水上バイク、サーフィン、ウィンドサーフィン、ボディボード、ボードセーリングなど）(人),スカイスポーツ（ハンググライダー、パラグライダー、スカイダイビングなど）(人),アウトドアスポーツ（ハイキング、ワンダーフォーゲル、釣り、登山、キャンプなど）(人),サイクリング、モーター（サイクル）スポーツ(人),運動あそび（鬼ごっこ、かくれんぼ、鉄棒、ぶらんこなど）(人),ゲーム機を使い体を動かして行うスポーツ・フィットネス等(人),その他(人),行っていない（人）
障害種別,身体障害者手帳　2級,248,151,109,40,31,11,19,7,4,6,11,6,5,5,6,4,5,4,5,5,6,3,7,6,5,3,3,97
障害種別,身体障害者手帳　3級,225,136,102,39,27,9,10,1,1,1,0,1,1,1,6,3,1,1,1,3,3,1,5,4,4,9,3,89
障害種別,身体障害者手帳　4級,224,158,115,41,22,11,16,4,3,3,3,1,0,2,5,7,1,1,3,5,1,1,8,10,2,2,6,66
障害種別,身体障害者手帳　5級,92,64,46,12,8,5,8,0,0,1,2,0,2,2,1,2,0,0,1,0,1,0,0,3,0,2,1,28
障害種別,身体障害者手帳　6級,85,59,50,17,11,5,13,1,0,3,0,0,0,0,3,4,1,0,0,5,2,0,5,6,4,4,1,26
障害種別,療育手帳（愛の手帳）1度（最重度）,24,15,9,2,2,1,5,0,0,0,0,2,0,4,2,2,0,0,0,0,0,0,1,0,2,0,0,9
障害種別,療育手帳（愛の手帳）2度（重度）,96,67,51,19,8,3,23,0,0,1,0,0,0,7,5,8,0,0,0,0,1,0,1,0,18,0,2,29
障害種別,療育手帳（愛の手帳）3度（中度）,79,61,48,18,6,10,17,0,2,1,0,0,0,8,10,10,0,0,1,2,2,1,4,2,14,3,1,18
障害種別,療育手帳（愛の手帳）4度（軽度）,170,121,71,25,21,23,27,1,1,2,1,0,0,3,16,9,3,6,1,2,1,0,12,9,27,11,9,49
障害種別,精神障害者保健福祉手帳　1級,23,15,12,5,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8
障害種別,精神障害者保健福祉手帳　2級,216,129,105,27,14,5,16,0,0,0,1,0,0,2,3,4,1,0,1,4,4,0,3,11,1,4,4,87
障害種別,精神障害者保健福祉手帳　3級,242,161,130,42,18,12,19,0,1,1,2,1,0,2,7,3,3,2,1,0,3,1,8,9,5,4,6,81
障害種別,障害者手帳は持っていない,1123,734,561,185,83,64,99,7,4,8,3,5,5,9,49,39,2,11,2,15,10,3,39,40,55,35,12,389
障害の程度別,重度,810,499,388,133,81,30,70,10,5,8,15,11,5,22,24,15,8,5,5,12,13,6,22,22,27,8,12,311
障害の程度別,軽度,1293,858,646,213,121,76,124,7,6,10,8,3,3,19,51,40,9,8,8,20,15,4,44,52,52,36,29,435
障害の程度別,障害者手帳は持っていない,1123,734,561,185,83,64,99,7,4,8,3,5,5,9,49,39,2,11,2,15,10,3,39,40,55,35,12,389
受傷の時期,生まれたとき,852,603,393,133,91,70,116,11,9,14,13,10,5,25,55,46,7,10,2,16,16,7,36,25,61,32,12,249
受傷の時期,生まれた後,2374,1488,1202,398,194,100,177,13,6,12,13,9,8,25,69,48,12,14,13,31,22,6,69,89,73,47,41,886
学校の種別,小学校の普通学校（通常学級のみに在籍）,89,77,46,20,6,14,34,0,1,0,0,1,0,0,14,9,0,3,0,6,2,0,9,13,25,8,1,12
学校の種別,小学校の普通学校（通級による指導あり）,38,32,16,17,4,5,14,6,1,6,7,4,4,4,6,4,3,3,4,2,4,2,4,4,10,3,1,6
学校の種別,小学校の普通学校（特別支援学級）,86,73,42,22,13,12,30,1,1,1,2,2,0,6,16,9,2,3,1,3,1,1,7,4,38,5,0,13
学校の種別,小学校の特別支援学校（養護学校・盲学校・ろう学校）,48,34,20,17,12,3,19,1,0,0,1,0,0,7,8,12,2,1,0,2,2,0,1,0,18,4,0,14
学校の種別,中学校の普通学校（通常学級のみに在籍）,44,32,16,7,2,8,5,0,1,1,0,0,0,1,6,4,0,1,0,3,1,0,4,0,2,0,2,12
学校の種別,中学校の普通学校（通級による指導あり）,16,14,6,3,2,3,3,1,0,1,1,0,0,0,2,0,0,0,0,0,0,0,1,0,1,2,0,2
学校の種別,中学校の普通学校（特別支援学級）,39,29,13,3,4,8,6,0,0,1,0,0,1,3,3,0,1,0,1,0,0,0,4,1,5,0,4,10
学校の種別,中学校の特別支援学校（養護学校・盲学校・ろう学校）,40,29,16,7,3,4,8,1,0,1,0,0,1,3,3,2,0,1,0,0,0,0,1,0,6,3,1,11
学校の種別,高等学校の普通学校（通常学級のみに在籍）,50,34,21,11,2,11,7,0,1,0,1,0,0,1,7,6,0,2,0,1,3,1,3,3,4,3,1,16
学校の種別,高等学校の普通学校（通級による指導あり）,12,8,5,4,2,3,1,1,0,0,0,0,0,0,3,2,0,0,0,0,0,0,2,0,0,0,0,4
学校の種別,高等学校の特別支援学校（養護学校・盲学校・ろう学校）,42,29,21,5,1,4,6,1,2,1,1,1,0,4,4,4,0,0,1,0,0,0,3,2,5,1,1,13
学校の種別,大学・短期大学,37,25,21,5,1,1,3,1,1,0,0,0,0,2,0,4,0,0,0,3,1,1,2,2,0,3,1,12
学校の種別,特別支援学校高等部専攻科、高等学校専攻科,14,10,7,1,0,3,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,4
学校の種別,職業能力開発校、障害者職業能力開発校等,7,7,4,1,1,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
学校の種別,なし,136,80,56,15,15,9,10,1,1,1,1,1,0,6,7,7,1,2,0,1,1,0,6,2,5,9,1,56
仕事の有無,仕事をしている,1227,894,705,229,148,77,91,15,8,16,12,11,7,10,40,26,12,12,8,29,24,7,49,64,16,35,23,333
仕事の有無,仕事をしていない,1821,1077,797,277,130,83,182,9,6,8,10,8,3,33,77,60,6,12,7,17,10,5,53,45,116,37,27,744
仕事の有無,福祉的就労をしている（就労移行支援、就労継続支援Ａ型・Ｂ型、就労定着支援）,178,120,93,25,7,10,20,0,1,2,4,0,3,7,7,8,1,0,0,1,4,1,3,5,2,7,3,58
平日・日中の居場所,自分の家,1843,1098,904,279,134,40,102,10,9,11,10,9,2,8,23,27,4,9,6,9,11,6,36,45,27,29,30,745
平日・日中の居場所,職場（一般企業など）,677,506,386,119,92,46,45,6,2,6,2,7,3,3,27,10,7,3,3,18,14,2,33,37,9,25,9,171
平日・日中の居場所,職場（福祉的就労（就労移行支援、就労継続支援Ａ型・Ｂ型、就労定着支援）の施設）,102,74,59,15,4,8,15,0,1,1,0,0,1,7,6,6,1,0,0,1,3,1,2,3,2,4,3,28
平日・日中の居場所,学校,362,282,157,86,38,69,115,8,3,6,8,2,4,29,65,45,6,10,4,17,9,2,31,26,93,19,9,80
平日・日中の居場所,通所施設（生活介護、デイケアなど）,135,85,55,18,13,5,10,0,0,2,5,1,3,2,3,4,0,2,2,1,1,2,2,3,3,1,1,50
平日・日中の居場所,入所施設,69,28,18,8,1,0,4,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,41
平日・日中の居場所,その他,38,18,16,6,3,2,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,20
放課後の居場所,自分の家,345,256,159,67,30,51,82,5,5,4,3,4,1,15,49,31,4,6,3,12,5,2,26,15,74,22,9,89
放課後の居場所,習いごと（塾や英会話等の学習系）,75,65,35,32,10,23,24,8,3,4,6,3,3,1,17,13,3,5,4,4,7,3,10,11,19,6,0,10
放課後の居場所,習いごと（スイミングやサッカー等のスポーツ系）,59,57,26,22,8,14,34,1,1,4,3,2,2,4,16,11,1,0,0,5,5,1,10,8,20,7,0,2
放課後の居場所,習いごと（音楽や習字等の芸術系）,41,39,18,17,6,16,22,4,3,3,6,2,3,3,10,7,3,4,4,4,5,3,5,6,10,6,0,2
放課後の居場所,児童通所サービス（放課後等デイサービス　等）,156,128,76,51,24,23,51,7,4,6,7,2,2,20,28,22,3,5,2,4,7,2,14,12,62,12,2,28
放課後の居場所,学童保育,34,28,11,9,4,6,14,4,2,5,5,2,4,3,3,3,4,4,2,3,4,3,2,1,8,3,0,6
放課後の居場所,広場や公園,35,34,18,16,8,14,23,4,2,5,7,2,4,4,12,6,4,3,3,5,5,2,7,9,16,7,0,1
放課後の居場所,学校（校庭や体育館）,35,34,16,13,6,14,14,0,1,0,1,0,1,3,15,4,1,1,1,5,2,1,7,4,12,4,3,1
放課後の居場所,児童館や図書館などの公共施設,16,14,11,9,1,4,10,0,2,1,0,0,0,1,6,5,0,0,0,1,1,1,3,3,8,5,0,2
放課後の居場所,その他,8,7,3,2,1,2,2,0,0,0,0,0,0,0,1,2,0,1,0,0,2,0,0,0,0,1,2,1
障害福祉サービスの利用状況,利用していない,2117,1380,1121,323,168,106,158,9,6,4,5,5,1,9,70,51,11,13,5,36,19,4,72,79,59,51,33,737
障害福祉サービスの利用状況,居宅介護（ホームヘルプ）,222,134,92,46,20,14,8,0,3,5,4,3,2,8,1,2,2,1,1,3,2,4,5,8,2,4,1,88
障害福祉サービスの利用状況,重度訪問介護,29,14,7,4,5,0,2,2,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,2,0,0,2,15
障害福祉サービスの利用状況,同行援護,70,49,32,18,12,9,11,2,3,2,3,2,1,5,3,3,1,1,2,3,2,1,1,3,4,2,1,21
障害福祉サービスの利用状況,行動援護,81,65,41,24,11,10,20,2,3,2,3,3,1,4,3,3,0,0,0,0,3,2,1,4,5,2,1,16
障害福祉サービスの利用状況,重度障害者等包括支援,29,24,7,4,8,5,6,2,1,5,1,1,2,2,2,3,1,0,0,0,0,0,0,2,0,0,0,5
障害福祉サービスの利用状況,短期入所（ショートステイ）,141,72,51,20,13,6,16,2,5,4,6,2,4,6,5,6,1,2,3,1,5,3,2,3,10,6,1,69
障害福祉サービスの利用状況,療養介護,34,21,13,8,5,4,3,2,2,2,0,1,0,1,1,2,1,1,1,1,2,2,0,1,1,1,1,13
障害福祉サービスの利用状況,生活介護,85,47,34,19,7,4,5,0,1,1,2,1,1,2,1,1,1,0,1,1,2,2,0,2,2,5,0,38
障害福祉サービスの利用状況,施設入所支援,43,19,10,5,3,0,4,0,0,2,0,1,1,1,1,1,0,2,2,0,0,1,0,1,0,0,1,24
障害福祉サービスの利用状況,自立訓練,65,47,30,19,11,4,4,1,1,2,2,4,1,1,1,2,1,0,1,1,0,2,2,1,2,1,2,18
障害福祉サービスの利用状況,就労移行支援,42,37,33,17,1,10,4,0,3,1,1,1,0,4,3,2,1,1,1,0,2,2,2,3,2,2,1,5
障害福祉サービスの利用状況,就労継続支援（A型）,23,21,13,6,4,2,4,0,0,3,0,2,1,0,3,1,0,0,0,0,1,0,2,2,0,1,1,2
障害福祉サービスの利用状況,就労継続支援（B型）,89,63,50,16,7,4,14,0,1,1,1,0,0,3,3,4,0,0,2,2,2,1,4,3,1,5,3,26
障害福祉サービスの利用状況,就労定着支援,19,14,10,4,2,4,3,0,0,1,0,0,0,0,3,1,0,0,1,0,0,0,0,2,1,0,1,5
障害福祉サービスの利用状況,自立生活援助,45,35,25,13,4,4,2,0,2,1,1,0,1,0,4,1,0,1,0,0,3,1,0,3,2,2,0,10
障害福祉サービスの利用状況,共同生活援助（グループホーム）,33,19,14,3,1,2,4,0,2,0,1,1,0,0,0,2,0,0,2,0,1,1,0,0,0,1,2,14
障害福祉サービスの利用状況,計画相談支援,51,41,26,17,5,5,8,1,2,1,1,0,1,5,5,4,0,2,1,1,3,0,3,5,7,4,4,10
障害福祉サービスの利用状況,地域相談支援,57,41,33,14,7,8,5,0,4,2,0,1,0,2,4,1,1,2,1,1,5,3,3,4,4,1,3,16
障害福祉サービスの利用状況,移動支援,76,54,37,14,9,5,10,0,3,1,0,0,0,5,2,1,0,1,1,1,3,1,3,4,2,1,4,22
障害福祉サービスの利用状況,地域活動支援センター,81,60,49,21,13,6,11,1,3,3,1,2,0,2,3,2,1,1,0,1,4,2,4,4,3,3,2,21
障害福祉サービスの利用状況,福祉ホーム,25,17,9,10,6,3,2,2,0,6,2,2,2,2,0,0,2,1,1,2,2,5,2,2,1,2,0,8
障害福祉サービスの利用状況,児童発達支援,55,48,26,21,10,11,21,2,1,3,5,0,2,7,9,6,2,4,0,1,2,1,4,3,20,5,0,7
障害福祉サービスの利用状況,医療型児童発達支援,11,10,5,2,3,4,5,0,1,1,0,2,1,2,2,3,0,1,1,1,0,1,2,2,1,1,0,1
障害福祉サービスの利用状況,放課後等デイサービス,208,143,85,52,28,23,54,6,1,6,8,2,4,20,25,20,4,6,4,5,5,3,16,9,57,8,6,65
障害福祉サービスの利用状況,居宅訪問型児童発達支援,8,8,3,3,1,1,3,0,1,2,3,1,1,1,2,1,1,0,1,0,2,0,0,1,2,0,0,0
障害福祉サービスの利用状況,保育所等訪問支援,5,4,1,2,1,0,2,1,0,0,1,0,0,1,2,0,2,2,1,0,1,0,2,1,1,1,0,1
障害福祉サービスの利用状況,訪問看護,179,74,54,28,11,2,8,0,0,0,0,1,0,2,4,3,0,0,1,2,2,0,1,6,3,3,3,105
障害福祉サービスの利用状況,訪問リハビリテーション,165,76,61,27,10,1,5,0,1,0,1,2,0,2,4,3,0,1,0,1,3,0,2,4,5,2,0,89
実施頻度（1年間）,週3日以上（年151日以上）,604,604,496,192,94,61,74,6,3,4,7,7,2,21,45,29,8,10,6,15,14,5,32,46,35,22,18,0
実施頻度（1年間）,週2日程度（年101日～150日）,429,429,326,145,72,50,75,6,6,11,8,5,6,11,30,25,8,7,4,14,10,4,23,20,39,15,5,0
実施頻度（1年間）,週1日程度（年51日～100日）,506,506,365,111,78,33,71,8,1,6,4,2,3,4,17,21,1,4,1,9,5,3,24,24,29,21,10,0
実施頻度（1年間）,月に1～3日程度（年12日～50日）,280,280,206,50,26,14,45,1,1,1,2,1,2,8,21,13,1,3,2,5,8,0,17,16,18,10,10,0
実施頻度（1年間）,3か月に1～2日程度（年4日～11日）,75,75,46,9,6,5,16,1,0,3,2,3,0,1,4,2,0,0,1,2,0,0,5,4,5,3,4,0
実施頻度（1年間）,年に1～3日程度,52,52,31,4,4,1,4,0,1,0,2,0,0,2,1,1,1,0,0,2,1,1,1,2,1,3,2,0
実施頻度（1年間）,わからない,145,145,125,20,5,6,8,2,3,1,1,1,0,3,6,3,0,0,1,0,0,0,3,2,7,5,4,0
実施した場所,自宅,829,829,701,353,156,73,109,9,8,5,9,9,4,17,44,39,4,11,7,16,20,7,57,54,63,63,15,0
実施した場所,道路や遊歩道,1083,1083,1041,253,102,79,100,6,5,8,7,6,2,13,37,29,5,6,5,13,16,8,56,82,45,36,13,0
実施した場所,広場や公園,633,633,571,189,79,73,110,11,5,6,8,6,3,22,61,34,6,6,5,18,15,5,49,54,83,33,6,0
実施した場所,民間のスポーツ施設,314,314,190,114,90,57,114,6,6,11,8,11,4,11,41,36,9,8,4,20,11,5,29,32,43,20,14,0
実施した場所,公共のスポーツ施設（障害者専用施設）,130,130,77,44,33,22,55,12,8,13,10,7,5,9,18,13,3,5,6,9,9,3,12,10,13,5,2,0
実施した場所,公共のスポーツ施設（障害者専用施設以外）,241,241,142,86,63,35,110,4,3,8,12,6,5,13,34,22,7,10,3,11,8,3,25,17,32,14,12,0
実施した場所,小中高校の体育施設,128,128,76,50,32,51,50,7,5,3,6,5,2,12,51,23,2,7,4,12,8,3,19,17,46,14,7,0
実施した場所,特別支援学校の体育施設,85,85,42,28,22,21,37,6,4,10,11,6,6,20,19,15,5,2,4,3,5,2,4,6,21,3,6,0
実施した場所,職場のスポーツ施設,35,35,16,17,12,9,7,7,1,7,10,4,4,3,3,3,3,4,2,4,5,2,5,3,2,1,0,0
実施した場所,福祉施設,64,64,45,29,11,8,6,2,4,4,3,3,0,8,5,5,3,4,2,1,3,3,3,5,5,3,3,0
実施した場所,児童通所サービス（放課後等デイサービス等）,87,87,51,44,23,21,34,4,1,3,4,3,1,15,23,20,2,4,1,5,6,3,10,8,50,8,2,0
実施した場所,医療機関（病院やリハビリ施設）,68,68,49,30,19,6,8,0,2,1,1,0,0,3,5,5,1,2,0,1,2,0,5,8,5,2,4,0
実施した場所,山・川・海・空,171,171,139,60,35,39,60,0,2,1,0,1,0,7,26,18,2,4,1,22,17,1,67,35,42,16,4,0
実施した場所,その他,44,44,33,15,11,2,4,0,0,0,0,0,0,1,2,4,3,1,0,3,3,0,2,6,1,1,7,0
実施した場所,わからない,47,47,39,6,3,2,1,1,1,0,1,0,0,2,1,1,0,0,2,0,0,0,0,1,0,1,4,0
一緒に実施する人,一人,1133,1133,976,314,175,74,109,6,6,4,4,6,0,10,37,32,8,7,7,12,17,3,55,77,30,41,17,0
一緒に実施する人,家族,762,762,650,198,79,68,144,4,4,7,6,5,2,23,53,45,8,6,4,29,12,4,61,50,99,51,12,0
一緒に実施する人,福祉施設の職員・仲間,174,174,130,82,36,16,27,6,6,11,5,5,2,13,17,11,3,4,2,4,11,5,8,9,19,8,8,0
一緒に実施する人,障害がある人のサークル・障害者スポーツサークル等の仲間,91,91,50,33,19,15,32,7,5,7,7,4,3,12,14,13,3,4,4,3,5,2,5,10,10,2,4,0
一緒に実施する人,障害がある人やない人など様々な人がいるサークルの仲間,107,107,52,38,35,17,28,8,4,10,9,8,7,11,18,16,8,9,7,4,12,5,11,8,8,3,5,0
一緒に実施する人,スポーツ教室の指導者・仲間,151,151,75,61,31,31,59,4,3,10,9,5,5,11,23,25,8,7,4,9,2,5,18,12,27,8,4,0
一緒に実施する人,障害者専用スポーツ施設の職員・仲間,61,61,28,22,21,11,21,5,4,8,6,5,4,8,8,7,2,4,4,5,8,5,6,7,7,3,3,0
一緒に実施する人,地域の公共スポーツ施設の職員・仲間,48,48,26,20,13,12,16,5,3,6,9,5,4,3,17,5,3,4,3,4,6,1,8,6,5,3,2,0
一緒に実施する人,ボランティアの人たち,54,54,34,19,12,9,19,3,5,5,4,3,3,5,6,5,3,3,3,4,4,4,4,7,6,1,1,0
一緒に実施する人,学校の先生や学校の友達,150,150,83,58,28,50,66,5,3,6,8,3,1,24,46,29,3,8,2,11,6,1,20,17,62,15,8,0
一緒に実施する人,児童通所サービス（放課後等デイサービス等）の職員・仲間,86,86,50,40,19,20,31,1,2,5,1,2,1,17,20,19,0,3,0,3,4,3,8,5,49,8,2,0
一緒に実施する人,その他の友人・知人,137,137,99,46,29,22,34,1,1,0,0,1,0,5,29,11,3,5,2,14,8,0,29,20,23,12,10,0
一緒に実施する人,その他,35,35,24,15,12,1,1,0,0,0,0,0,0,2,3,2,1,0,0,0,1,0,1,0,2,0,5,0
一緒に実施する人,わからない,40,40,32,3,3,3,0,1,1,0,1,0,0,0,2,0,0,0,1,0,0,0,0,1,0,1,3,0
実施した理由,健康・体力づくりのため,1503,1503,1249,435,211,120,216,10,8,8,7,10,3,32,87,63,10,14,8,32,26,4,83,85,99,59,35,0
実施した理由,楽しみや気晴らしのため,890,890,704,248,117,99,158,11,6,12,9,9,5,32,87,65,12,13,8,37,25,8,76,73,89,49,27,0
実施した理由,運動不足解消のため,1109,1109,909,334,167,93,174,9,5,7,7,8,1,23,69,51,10,10,7,21,20,4,67,73,80,52,30,0
実施した理由,精神の修養や訓練のため（心をきたえるため）,240,240,176,86,56,44,48,11,7,6,8,7,5,8,21,23,5,12,5,7,14,4,21,31,16,12,4,0
実施した理由,自己の記録や能力を向上させるため,182,182,112,71,48,39,45,7,3,15,13,8,6,5,25,19,9,9,7,8,8,5,17,24,25,14,5,0
実施した理由,リハビリテーションや医療・治療のため,340,340,257,133,74,23,53,12,7,11,10,10,6,13,13,16,8,4,8,5,10,5,20,27,19,10,9,0
実施した理由,家族のふれあいのため,154,154,135,57,22,24,52,1,1,2,2,1,1,10,25,18,2,1,1,12,5,1,23,24,47,22,4,0
実施した理由,友人・仲間との交流のため,254,254,165,102,45,55,77,9,6,9,10,8,5,18,51,40,9,10,9,24,16,7,44,27,55,24,14,0
実施した理由,美容や肥満解消（ダイエット）のため,217,217,171,92,56,27,35,7,3,4,7,3,2,8,9,16,4,5,3,3,7,3,19,25,9,25,7,0
実施した理由,障害者スポーツ大会に参加するため,17,17,11,5,2,5,6,1,3,1,3,2,0,3,7,3,0,1,1,1,1,0,1,4,2,1,0,0
実施した理由,その他,36,36,22,7,5,8,7,0,0,0,0,0,0,2,6,4,1,1,0,2,2,0,2,5,5,1,6,0
実施した理由,わからない,61,61,48,7,4,3,1,1,2,0,1,0,0,0,2,0,0,0,1,0,0,0,1,1,0,1,3,0
実施したきっかけ,家族に奨められた,561,561,467,138,74,51,84,6,5,8,3,4,3,15,31,21,5,9,3,15,8,5,27,27,38,28,9,0
実施したきっかけ,（障害のある）友人・知人・同僚に奨められた,101,101,77,45,20,16,26,5,4,7,6,5,1,7,13,8,2,1,2,3,5,4,10,4,9,6,2,0
実施したきっかけ,（障害のない）友人・知人・同僚に奨められた,119,119,87,45,31,26,30,2,3,5,6,5,2,6,17,11,5,3,1,8,5,2,9,12,12,6,4,0
実施したきっかけ,医師に奨められた,500,500,426,149,61,26,63,4,5,9,4,3,2,10,18,14,2,3,3,4,9,3,22,32,14,18,10,0
実施したきっかけ,看護師に奨められた,114,114,85,38,23,14,17,7,3,8,6,8,3,5,8,5,4,2,4,2,5,3,7,6,1,5,5,0
