調査項目,回答,全体(人),生まれたとき(人),生まれた後(人)
障害福祉サービスの利用状況,就労定着支援,19,6,13
障害福祉サービスの利用状況,自立生活援助,45,15,30
障害福祉サービスの利用状況,共同生活援助（グループホーム）,33,12,21
障害福祉サービスの利用状況,計画相談支援,51,28,23
障害福祉サービスの利用状況,地域相談支援,57,21,36
障害福祉サービスの利用状況,移動支援,76,28,48
障害福祉サービスの利用状況,地域活動支援センター,81,21,60
障害福祉サービスの利用状況,福祉ホーム,25,8,17
障害福祉サービスの利用状況,児童発達支援,55,27,28
障害福祉サービスの利用状況,医療型児童発達支援,11,5,6
障害福祉サービスの利用状況,放課後等デイサービス,208,85,123
障害福祉サービスの利用状況,居宅訪問型児童発達支援,8,5,3
障害福祉サービスの利用状況,保育所等訪問支援,5,3,2
障害福祉サービスの利用状況,訪問看護,179,18,161
障害福祉サービスの利用状況,訪問リハビリテーション,165,17,148
過去1年間の実施種目,ウォーキング、散歩（散策、ペットの散歩など）,1595,393,1202
過去1年間の実施種目,体操（ラジオ体操、職場体操、ストレッチ、エアロビクス、ヨガ、ピラティス、縄跳びなど）,531,133,398
過去1年間の実施種目,室内運動器具（ウエイト器具、ランニングマシーン、バランスボールなど）を用いる運動,285,91,194
過去1年間の実施種目,陸上競技（ランニング、ジョギングなどの軽い運動も含めます）,170,70,100
過去1年間の実施種目,水泳・遊泳（水中歩行・水中運動）,293,116,177
過去1年間の実施種目,ブラインドサッカー,24,11,13
過去1年間の実施種目,車いすテニス,15,9,6
過去1年間の実施種目,サウンドテーブルテニス,26,14,12
過去1年間の実施種目,パラバレーボール,26,13,13
過去1年間の実施種目,車いすバスケットボール,19,10,9
過去1年間の実施種目,車いすラグビー,13,5,8
過去1年間の実施種目,ボッチャ,50,25,25
過去1年間の実施種目,球技（キャッチボールなどのボールを使った軽い運動も含めます）,124,55,69
過去1年間の実施種目,ダンス（フォークダンス、ジャズダンス、社交ダンス、フラダンス、バレエ、民謡踊りなど）,94,46,48
過去1年間の実施種目,格闘技（ボクシング、レスリング、相撲（すもう）など）,19,7,12
過去1年間の実施種目,武道（柔道、剣道、空手、合気道など）,24,10,14
過去1年間の実施種目,射的（弓道、アーチェリー、ダーツ、スポーツ吹矢など）,15,2,13
過去1年間の実施種目,ウィンタースポーツ（スキー、スノーボード、スケートなど）,47,16,31
過去1年間の実施種目,ウォータースポーツ（ボート、ヨット、スキンダイビング、スクーバダイビング、カヌー、水上バイク、サーフィン、ウィンドサーフィン、ボディボード、ボードセーリングなど）,38,16,22
過去1年間の実施種目,スカイスポーツ（ハンググライダー、パラグライダー、スカイダイビングなど）,13,7,6
過去1年間の実施種目,アウトドアスポーツ（ハイキング、ワンダーフォーゲル、釣り、登山、キャンプなど）,105,36,69
過去1年間の実施種目,サイクリング、モーター（サイクル）スポーツ,114,25,89
過去1年間の実施種目,運動あそび（鬼ごっこ、かくれんぼ、鉄棒、ぶらんこなど）,134,61,73
過去1年間の実施種目,ゲーム機を使い体を動かして行うスポーツ・フィットネス等,79,32,47
過去1年間の実施種目,その他,53,12,41
過去1年間の実施種目,この1年間に運動・スポーツは行わなかった,1135,249,886
実施頻度（1年間）,週3日以上（年151日以上）,604,142,462
実施頻度（1年間）,週2日程度（年101日～150日）,429,117,312
実施頻度（1年間）,週1日程度（年51日～100日）,506,154,352
実施頻度（1年間）,月に1～3日程度（年12日～50日）,280,93,187
実施頻度（1年間）,3か月に1～2日程度（年4日～11日）,75,26,49
実施頻度（1年間）,年に1～3日程度,52,11,41
実施頻度（1年間）,わからない,145,60,85
実施した場所,自宅,829,212,617
実施した場所,道路や遊歩道,1083,211,872
実施した場所,広場や公園,633,176,457
実施した場所,民間のスポーツ施設,314,113,201
実施した場所,公共のスポーツ施設（障害者専用施設）,130,65,65
実施した場所,公共のスポーツ施設（障害者専用施設以外）,241,79,162
実施した場所,小中高校の体育施設,128,61,67
実施した場所,特別支援学校の体育施設,85,52,33
実施した場所,職場のスポーツ施設,35,14,21
実施した場所,福祉施設,64,23,41
実施した場所,児童通所サービス（放課後等デイサービス等）,87,40,47
実施した場所,医療機関（病院やリハビリ施設）,68,10,58
実施した場所,山・川・海・空,171,53,118
実施した場所,その他,44,9,35
実施した場所,わからない,47,24,23
一緒に実施する人,一人,1133,202,931
一緒に実施する人,家族,762,238,524
一緒に実施する人,福祉施設の職員・仲間,174,57,117
一緒に実施する人,障害がある人のサークル・障害者スポーツサークル等の仲間,91,45,46
一緒に実施する人,障害がある人やない人など様々な人がいるサークルの仲間,107,60,47
一緒に実施する人,スポーツ教室の指導者・仲間,151,66,85
一緒に実施する人,障害者専用スポーツ施設の職員・仲間,61,32,29
一緒に実施する人,地域の公共スポーツ施設の職員・仲間,48,26,22
一緒に実施する人,ボランティアの人たち,54,23,31
一緒に実施する人,学校の先生や学校の友達,150,79,71
一緒に実施する人,児童通所サービス（放課後等デイサービス等）の職員・仲間,86,40,46
一緒に実施する人,その他の友人・知人,137,36,101
一緒に実施する人,その他,35,3,32
一緒に実施する人,わからない,40,22,18
実施した理由,健康・体力づくりのため,1503,362,1141
実施した理由,楽しみや気晴らしのため,890,256,634
実施した理由,運動不足解消のため,1109,262,847
実施した理由,精神の修養や訓練のため（心をきたえるため）,240,68,172
実施した理由,自己の記録や能力を向上させるため,182,62,120
実施した理由,リハビリテーションや医療・治療のため,340,49,291
実施した理由,家族のふれあいのため,154,50,104
実施した理由,友人・仲間との交流のため,254,99,155
実施した理由,美容や肥満解消（ダイエット）のため,217,47,170
実施した理由,障害者スポーツ大会に参加するため,17,10,7
実施した理由,その他,36,9,27
実施した理由,わからない,61,29,32
実施したきっかけ,家族に奨められた,561,169,392
実施したきっかけ,（障害のある）友人・知人・同僚に奨められた,101,48,53
実施したきっかけ,（障害のない）友人・知人・同僚に奨められた,119,45,74
実施したきっかけ,医師に奨められた,500,81,419
実施したきっかけ,看護師に奨められた,114,36,78
実施したきっかけ,作業療法士（OT）に奨められた,100,33,67
実施したきっかけ,理学療法士（PT）に奨められた,128,36,92
実施したきっかけ,言語聴覚士（ST）に奨められた,39,19,20
実施したきっかけ,視能訓練士（CO）に奨められた,21,14,7
実施したきっかけ,義肢装具士に奨められた,15,7,8
実施したきっかけ,介護福祉士に奨められた,43,8,35
実施したきっかけ,社会福祉士（ソーシャルワーカー）に奨められた,49,10,39
実施したきっかけ,スポーツ指導者に奨められた,20,11,9
実施したきっかけ,パラスポーツ指導員（旧障害者スポーツ指導員）に奨められた,19,11,8
実施したきっかけ,学校の先生に奨められた,57,35,22
実施したきっかけ,学校の授業等で興味を持ち、自主的に始めた,64,32,32
実施したきっかけ,所属する団体（会社等）に奨められた,17,9,8
実施したきっかけ,障害のある有名選手・パラアスリートの影響,14,7,7
実施したきっかけ,障害のない有名選手・アスリートの影響,13,4,9
実施したきっかけ,テレビや新聞の影響,66,11,55
実施したきっかけ,インターネットや動画配信を見て,81,13,68
実施したきっかけ,ＳＮＳの影響,40,12,28
実施したきっかけ,漫画、ドラマ、映画等の影響,20,7,13
実施したきっかけ,現地やテレビ等でそのスポーツを観た,22,10,12
実施したきっかけ,スポーツ団体等の関係者から誘われた,11,6,5
実施したきっかけ,スポーツイベントや体験会等で興味を持った,18,10,8
実施したきっかけ,スポーツ以外をテーマとするイベント（福祉祭り等の中の講演や体験会等）で興味を持った,6,4,2
実施したきっかけ,福祉施設で実施している運動プログラムに参加して,36,16,20
実施したきっかけ,行政の広報誌,15,2,13
実施したきっかけ,その他,89,15,74
実施したきっかけ,特にきっかけはない・なんとなく,676,170,506
スポーツ・運動への取組意向,スポーツや運動を行っており、満足している,849,265,584
スポーツ・運動への取組意向,スポーツや運動を行っているが、もっと行いたい,600,182,418
スポーツ・運動への取組意向,スポーツや運動を行いたいと思うができない,732,134,598
スポーツ・運動への取組意向,スポーツや運動に関心はない,1045,271,774
実施していない理由,医師に止められており、身体的にできない,127,20,107
実施していない理由,どのくらい体を動かしたらよいかわからない,74,12,62
実施していない理由,身近なところにスポーツや運動ができる場所がない,61,17,44
実施していない理由,スポーツや運動ができる場所への移動手段がない,40,6,34
実施していない理由,自分に合ったスポーツや運動の情報がない,89,21,68
実施していない理由,一緒にできる仲間がいない,96,23,73
実施していない理由,介助者がいない,93,23,70
実施していない理由,金銭的な余裕がない,117,15,102
実施していない理由,時間がない,90,17,73
実施していない理由,必要な競技用具や補助具がない,42,7,35
実施していない理由,その他,87,9,78
実施していない理由,活動したいと思わない,666,152,514
活動したいと思わない理由,スポーツ・運動が嫌いだから,158,25,133
活動したいと思わない理由,スポーツ・運動に興味がないから,151,29,122
活動したいと思わない理由,スポーツ・運動を楽しんだ経験がないから,39,7,32
活動したいと思わない理由,疲れるから,163,20,143
活動したいと思わない理由,人前に出るのが好きではないから,57,8,49
活動したいと思わない理由,学校の体育や部活動等で苦手意識を持ったから,23,5,18
活動したいと思わない理由,一緒に運動・スポーツする人に迷惑をかけるのではないかと心配だから,18,4,14
活動したいと思わない理由,スポーツ以外に趣味があるから,64,12,52
活動したいと思わない理由,忙しいから,34,9,25
活動したいと思わない理由,その他,56,6,50
活動したいと思わない理由,わからない,216,77,139
学校体育の参加状況,参加していて、体育が好きである,279,147,132
学校体育の参加状況,参加しているが、体育は好きではない,146,65,81
学校体育の参加状況,参加していない,42,22,20
学校体育の参加状況,わからない,37,28,9
学校体育に参加しない理由,授業の内容のとおりに身体を動かすことができないから,9,7,2
学校体育に参加しない理由,自分にはできないと思ったから,12,6,6
学校体育に参加しない理由,他の生徒や先生に迷惑をかけると思ったから,6,4,2
学校体育に参加しない理由,参加するために必要なスポーツ用具がなかったから,1,1,0
学校体育に参加しない理由,医師から止められていたから,1,0,1
学校体育に参加しない理由,学校の先生から見学するように言われたから,3,1,2
学校体育に参加しない理由,身体を動かすことが怖いから,5,5,0
学校体育に参加しない理由,その他,12,1,11
スポーツ・運動の参加方法,現地の会場で対面での参加,1083,365,718
スポーツ・運動の参加方法,リモート参加,134,60,74
スポーツ・運動の参加方法,ハイブリッド（現地参加とリモート参加の両方から選択できる）,241,75,166
スポーツ・運動の参加方法,参加したいと思わない,1768,352,1416
参加したいスポーツ活動,ルールが簡単,891,300,591
参加したいスポーツ活動,自分のペースに合わせてできる,1507,365,1142
参加したいスポーツ活動,汗をかかない,151,40,111
参加したいスポーツ活動,自宅で実施できる,570,105,465
参加したいスポーツ活動,短い時間で実施できる,705,133,572
参加したいスポーツ活動,上達したことが分かる,362,112,250
参加したいスポーツ活動,ゲーム機を使い体を動かして行なうスポーツ・フィットネス等,203,75,128
参加したいスポーツ活動,好きな種目を選べる,468,130,338
参加したいスポーツ活動,やったことがないスポーツを試せる,138,43,95
参加したいスポーツ活動,予約や申し込みなしに、参加したいときに参加できる,355,83,272
参加したいスポーツ活動,有名な選手に会える,85,25,60
参加したいスポーツ活動,親子で一緒に参加ができる,149,68,81
参加したいスポーツ活動,新しい友達をつくることができる,263,79,184
参加したいスポーツ活動,スポーツ以外に芸術・文化的なパフォーマンスも楽しめる,130,32,98
参加したいスポーツ活動,失敗しても笑われたり恥ずかしい思いをしない,365,104,261
参加したいスポーツ活動,新しい道具やウェアを買わなくてよい,326,63,263
参加したいスポーツ活動,その他,63,12,51
参加したいスポーツ活動,どのようなスポーツや運動でも参加したいと思わない,909,187,722
スポーツ・運動の継続実施に必要なもの,スタジアム、体育館などの建物や設備のバリアフリー化,344,136,208
スポーツ・運動の継続実施に必要なもの,交通機関（電車やバス）やまちのバリアフリー化,375,110,265
スポーツ・運動の継続実施に必要なもの,会場までの送迎,360,104,256
スポーツ・運動の継続実施に必要なもの,障害者への施設開放の促進（障害者が優先的に使える施設が増える）,274,113,161
スポーツ・運動の継続実施に必要なもの,障害にあわせた教室やプログラム,463,141,322
スポーツ・運動の継続実施に必要なもの,介助者や手話通訳などの支援,120,57,63
スポーツ・運動の継続実施に必要なもの,障害に対応した情報の提供や問合せ方法の充実,232,77,155
スポーツ・運動の継続実施に必要なもの,施設や用具等を利用する際に必要な手続きの支援,138,43,95
スポーツ・運動の継続実施に必要なもの,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進,109,44,65
スポーツ・運動の継続実施に必要なもの,健康や体調を管理する医療的なサポート,280,69,211
スポーツ・運動の継続実施に必要なもの,目標となる大会やイベント,136,48,88
スポーツ・運動の継続実施に必要なもの,スポーツ用具等の貸出し,172,53,119
スポーツ・運動の継続実施に必要なもの,施設の利用料減免　（利用料が安くなったり、無料になったりする）,314,83,231
スポーツ・運動の継続実施に必要なもの,リモートにより、障害に応じたスポーツ・運動を指導してくれる支援、またはその充実,89,25,64
スポーツ・運動の継続実施に必要なもの,自宅でもできる、障害に応じたスポーツ・運動方法についての情報提供、またはその充実,258,52,206
スポーツ・運動の継続実施に必要なもの,一緒に行う仲間（障害の無い人）,331,94,237
スポーツ・運動の継続実施に必要なもの,一緒に行う仲間（自分と同じ障害のある人）,291,96,195
スポーツ・運動の継続実施に必要なもの,一緒に行う仲間（自分と異なる障害のある人）,157,51,106
スポーツ・運動の継続実施に必要なもの,適切な指導者やコーチ、トレーナー,356,91,265
スポーツ・運動の継続実施に必要なもの,その他,44,8,36
スポーツ・運動の継続実施に必要なもの,特にない,362,57,305
スポーツ・運動の継続実施に必要なもの,わからない,247,64,183
新たに別のスポーツ・運動を始めるために必要な支援,スタジアム、体育館などの建物や設備のバリアフリー化,245,101,144
新たに別のスポーツ・運動を始めるために必要な支援,交通機関（電車やバス）やまちのバリアフリー化,228,79,149
新たに別のスポーツ・運動を始めるために必要な支援,会場までの送迎,321,86,235
新たに別のスポーツ・運動を始めるために必要な支援,障害者への施設開放の促進（障害者が優先的に使える施設が増える）,159,67,92
新たに別のスポーツ・運動を始めるために必要な支援,障害にあわせた教室やプログラム,340,104,236
新たに別のスポーツ・運動を始めるために必要な支援,介助者や手話通訳などの支援,65,29,36
新たに別のスポーツ・運動を始めるために必要な支援,障害に対応した情報の提供や問合せ方法の充実,142,53,89
新たに別のスポーツ・運動を始めるために必要な支援,施設や用具等を利用する際に必要な手続きの支援,75,26,49
新たに別のスポーツ・運動を始めるために必要な支援,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進,54,27,27
新たに別のスポーツ・運動を始めるために必要な支援,健康や体調を管理する医療的なサポート,186,42,144
新たに別のスポーツ・運動を始めるために必要な支援,目標となる大会やイベント,85,22,63
新たに別のスポーツ・運動を始めるために必要な支援,スポーツ用具等の貸出し,102,24,78
新たに別のスポーツ・運動を始めるために必要な支援,施設の利用料減免（利用料が安くなったり、無料になったりする）,245,59,186
新たに別のスポーツ・運動を始めるために必要な支援,リモートにより、障害に応じたスポーツ・運動を指導してくれる支援、またはその充実,50,17,33
新たに別のスポーツ・運動を始めるために必要な支援,自宅でもできる、障害に応じたスポーツ・運動方法についての情報提供、またはその充実,146,19,127
新たに別のスポーツ・運動を始めるために必要な支援,一緒に行う仲間（障害の無い人）,197,48,149
新たに別のスポーツ・運動を始めるために必要な支援,一緒に行う仲間（自分と同じ障害のある人）,164,61,103
新たに別のスポーツ・運動を始めるために必要な支援,一緒に行う仲間（自分と異なる障害のある人）,47,14,33
新たに別のスポーツ・運動を始めるために必要な支援,適切な指導者やコーチ、トレーナー,303,71,232
新たに別のスポーツ・運動を始めるために必要な支援,その他,23,6,17
新たに別のスポーツ・運動を始めるために必要な支援,特にない,396,63,333
新たに別のスポーツ・運動を始めるために必要な支援,わからない,249,73,176
スポーツを始めるきっかけとして必要な支援,スタジアム、体育館などの建物や設備のバリアフリー化,31,11,20
スポーツを始めるきっかけとして必要な支援,交通機関（電車やバス）やまちのバリアフリー化,32,8,24
スポーツを始めるきっかけとして必要な支援,会場までの送迎,95,28,67
スポーツを始めるきっかけとして必要な支援,障害者への施設開放の促進（障害者が優先的に使える施設が増える）,35,8,27
スポーツを始めるきっかけとして必要な支援,障害にあわせた教室やプログラム,112,34,78
スポーツを始めるきっかけとして必要な支援,介助者や手話通訳などの支援,29,9,20
スポーツを始めるきっかけとして必要な支援,障害に対応した情報の提供や問合せ方法の充実,38,9,29
スポーツを始めるきっかけとして必要な支援,施設や用具等を利用する際に必要な手続きの支援,13,6,7
スポーツを始めるきっかけとして必要な支援,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進,5,1,4
スポーツを始めるきっかけとして必要な支援,健康や体調を管理する医療的なサポート,65,6,59
スポーツを始めるきっかけとして必要な支援,目標となる大会やイベント,9,1,8
スポーツを始めるきっかけとして必要な支援,スポーツ用具等の貸出し,17,1,16
スポーツを始めるきっかけとして必要な支援,施設の利用料減免（利用料が安くなったり、無料になったりする）,46,6,40
スポーツを始めるきっかけとして必要な支援,リモートにより、障害に応じたスポーツ・運動を指導してくれる支援、またはその充実,9,2,7
スポーツを始めるきっかけとして必要な支援,自宅でもできる、障害に応じたスポーツ・運動方法についての情報提供、またはその充実,57,5,52
スポーツを始めるきっかけとして必要な支援,一緒に行う仲間（障害の無い人）,49,13,36
スポーツを始めるきっかけとして必要な支援,一緒に行う仲間（自分と同じ障害のある人）,65,19,46
スポーツを始めるきっかけとして必要な支援,一緒に行う仲間（自分と異なる障害のある人）,13,4,9
スポーツを始めるきっかけとして必要な支援,適切な指導者やコーチ、トレーナー,87,21,66
スポーツを始めるきっかけとして必要な支援,その他,23,3,20
スポーツを始めるきっかけとして必要な支援,特にない,385,71,314
スポーツを始めるきっかけとして必要な支援,わからない,354,89,265
スポーツ以外に関心のある事,旅行,1225,256,969
スポーツ以外に関心のある事,グルメ・食べ歩き,1182,270,912
スポーツ以外に関心のある事,買い物・ショッピング,840,168,672
スポーツ以外に関心のある事,テレビ視聴,1133,225,908
スポーツ以外に関心のある事,動画配信サービス視聴,912,250,662
スポーツ以外に関心のある事,ＣＤやスマートフォンによる音楽鑑賞,481,117,364
スポーツ以外に関心のある事,ＳＮＳ閲覧・投稿,528,114,414
スポーツ以外に関心のある事,インターネット閲覧,957,198,759
スポーツ以外に関心のある事,映画鑑賞,765,144,621
スポーツ以外に関心のある事,読書,563,85,478
スポーツ以外に関心のある事,アニメ／漫画,592,160,432
スポーツ以外に関心のある事,スマートフォン・家庭用ゲーム機によるゲーム,615,179,436
スポーツ以外に関心のある事,写真の撮影,289,82,207
スポーツ以外に関心のある事,遊園地・動物園・水族館などの見物,347,108,239
スポーツ以外に関心のある事,美術鑑賞,293,39,254
スポーツ以外に関心のある事,コンサートなどによる音楽鑑賞,350,67,283
スポーツ以外に関心のある事,演劇・舞踏鑑賞,178,30,148
スポーツ以外に関心のある事,カラオケ,330,80,250
スポーツ以外に関心のある事,楽器の演奏,161,39,122
スポーツ以外に関心のある事,料理・菓子作り,284,51,233
スポーツ以外に関心のある事,園芸・ガーデニング,189,17,172
スポーツ以外に関心のある事,日曜大工,75,8,67
スポーツ以外に関心のある事,編み物・手芸,123,20,103
スポーツ以外に関心のある事,和裁・洋裁,46,9,37
スポーツ以外に関心のある事,大道芸や手品等の鑑賞,33,16,17
スポーツ以外に関心のある事,ギャンブル,103,13,90
スポーツ以外に関心のある事,その他,134,25,109
スポーツ以外に関心のある事,特にない,322,112,210
情報入手先,家族,1446,385,1061
情報入手先,友人,791,198,593
情報入手先,学校や職場、施設の人,564,206,358
情報入手先,ボランティア,76,38,38
情報入手先,ホームヘルパー、ガイドヘルパーなどの支援者,206,57,149
情報入手先,医師や看護師、理学療法士、作業療法士などの医療関係者,367,68,299
情報入手先,テレビ,1551,270,1281
情報入手先,ラジオ,314,54,260
情報入手先,新聞,466,51,415
情報入手先,雑誌,199,39,160
情報入手先,障害者団体の会合や機関誌,80,26,54
情報入手先,検索エンジンを活用（Yahoo!、Googleなど）,743,154,589
情報入手先,インターネットのニュースサイトやニュースアプリ,1129,193,936
情報入手先,ＳＮＳ（X（旧Twitter）、Facebook、Instagram、TikTokなど）,808,178,630
情報入手先,動画配信サービス（YouTubeなど）,718,173,545
情報入手先,行政の窓口,164,30,134
情報入手先,区市町村などの広報誌,272,36,236
情報入手先,その他,16,2,14
情報入手先,わからない,84,32,52
情報入手先,得ていない,181,74,107
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,実際に体を動かして行う、スポーツやフィットネスのゲーム（「ニンテンドースイッチスポーツ」や「リングフィットアドベンチャー」、「ウィーフィット」など）,515,178,337
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,実際に体を動かして行う、スポーツ以外のゲーム（「太鼓の達人」、「ドラゴンクエストソード」など）,390,151,239
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,指先など体の一部を動かして一般的なコントローラーを操作して行うゲーム（ポケットモンスター、スプラトゥーン、マインクラフト、ぷよぷよなど）,758,248,510
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,指先など体の一部を動かして障害の状態に応じた入力装置（フレックスコントローラーや視線入力装置、個人用にカスタムされたスイッチ等）を操作して行うゲーム（ポケットモンスター、スプラトゥーン、マインクラフト、ぷよぷよなど）,257,100,157
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,やったことはない,2004,417,1587
家庭用ゲーム機を使って行うスポーツ・フィットネス等の興味関心,やりたい,1431,459,972
家庭用ゲーム機を使って行うスポーツ・フィットネス等の興味関心,やりたくない,1733,369,1364
デフリンピックの認知度,よく内容を知っている,187,94,93
デフリンピックの認知度,見たり聞いたりしたことがある,792,240,552
デフリンピックの認知度,知らない,2247,518,1729
デフリンピックに期待すること,競技観戦,393,129,264
デフリンピックに期待すること,記録の更新,195,64,131
デフリンピックに期待すること,日本人選手の活躍,724,186,538
デフリンピックに期待すること,外国人選手の活躍,183,51,132
デフリンピックに期待すること,国際交流の促進,291,71,220
デフリンピックに期待すること,大会記念グッズの展開,91,33,58
デフリンピックに期待すること,日本東京の観光、伝統文化や食などの海外発信,190,58,132
デフリンピックに期待すること,競技体験,104,38,66
デフリンピックに期待すること,大会への子供の参加,160,57,103
デフリンピックに期待すること,デジタル技術を活用したコミュニケーション,155,44,111
デフリンピックに期待すること,手話の普及と理解の促進,187,51,136
デフリンピックに期待すること,デフスポーツの普及と理解の促進,323,84,239
デフリンピックに期待すること,障害や障害者への理解の促進,593,136,457
デフリンピックに期待すること,その他,13,2,11
デフリンピックに期待すること,期待するものはない,1686,380,1306
