調査項目,回答,全体(人),男性(人),女性(人),無回答・その他(人)
放課後の居場所,学童保育,34,19,15,0
放課後の居場所,広場や公園,35,19,16,0
放課後の居場所,学校（校庭や体育館）,35,26,8,1
放課後の居場所,児童館や図書館などの公共施設,16,10,5,1
放課後の居場所,その他,8,6,2,0
障害福祉サービスの利用状況,利用していない,2117,1133,890,94
障害福祉サービスの利用状況,居宅介護（ホームヘルプ）,222,105,112,5
障害福祉サービスの利用状況,重度訪問介護,29,16,12,1
障害福祉サービスの利用状況,同行援護,70,38,31,1
障害福祉サービスの利用状況,行動援護,81,38,42,1
障害福祉サービスの利用状況,重度障害者等包括支援,29,14,13,2
障害福祉サービスの利用状況,短期入所（ショートステイ）,141,68,71,2
障害福祉サービスの利用状況,療養介護,34,12,21,1
障害福祉サービスの利用状況,生活介護,85,47,35,3
障害福祉サービスの利用状況,施設入所支援,43,18,24,1
障害福祉サービスの利用状況,自立訓練,65,28,36,1
障害福祉サービスの利用状況,就労移行支援,42,22,19,1
障害福祉サービスの利用状況,就労継続支援（A型）,23,10,11,2
障害福祉サービスの利用状況,就労継続支援（B型）,89,53,34,2
障害福祉サービスの利用状況,就労定着支援,19,8,11,0
障害福祉サービスの利用状況,自立生活援助,45,26,18,1
障害福祉サービスの利用状況,共同生活援助（グループホーム）,33,17,15,1
障害福祉サービスの利用状況,計画相談支援,51,30,21,0
障害福祉サービスの利用状況,地域相談支援,57,23,32,2
障害福祉サービスの利用状況,移動支援,76,47,28,1
障害福祉サービスの利用状況,地域活動支援センター,81,42,39,0
障害福祉サービスの利用状況,福祉ホーム,25,16,8,1
障害福祉サービスの利用状況,児童発達支援,55,31,22,2
障害福祉サービスの利用状況,医療型児童発達支援,11,7,4,0
障害福祉サービスの利用状況,放課後等デイサービス,208,119,82,7
障害福祉サービスの利用状況,居宅訪問型児童発達支援,8,3,4,1
障害福祉サービスの利用状況,保育所等訪問支援,5,5,0,0
障害福祉サービスの利用状況,訪問看護,179,71,106,2
障害福祉サービスの利用状況,訪問リハビリテーション,165,67,96,2
過去1年間の実施種目,ウォーキング、散歩（散策、ペットの散歩など）,1595,901,634,60
過去1年間の実施種目,体操（ラジオ体操、職場体操、ストレッチ、エアロビクス、ヨガ、ピラティス、縄跳びなど）,531,254,254,23
過去1年間の実施種目,室内運動器具（ウエイト器具、ランニングマシーン、バランスボールなど）を用いる運動,285,156,119,10
過去1年間の実施種目,陸上競技（ランニング、ジョギングなどの軽い運動も含めます）,170,106,55,9
過去1年間の実施種目,水泳・遊泳（水中歩行・水中運動）,293,168,111,14
過去1年間の実施種目,ブラインドサッカー,24,13,10,1
過去1年間の実施種目,車いすテニス,15,7,7,1
過去1年間の実施種目,サウンドテーブルテニス,26,7,17,2
過去1年間の実施種目,パラバレーボール,26,9,15,2
過去1年間の実施種目,車いすバスケットボール,19,7,11,1
過去1年間の実施種目,車いすラグビー,13,8,5,0
過去1年間の実施種目,ボッチャ,50,34,14,2
過去1年間の実施種目,球技（キャッチボールなどのボールを使った軽い運動も含めます）,124,79,41,4
過去1年間の実施種目,ダンス（フォークダンス、ジャズダンス、社交ダンス、フラダンス、バレエ、民謡踊りなど）,94,32,60,2
過去1年間の実施種目,格闘技（ボクシング、レスリング、相撲（すもう）など）,19,12,7,0
過去1年間の実施種目,武道（柔道、剣道、空手、合気道など）,24,15,9,0
過去1年間の実施種目,射的（弓道、アーチェリー、ダーツ、スポーツ吹矢など）,15,6,9,0
過去1年間の実施種目,ウィンタースポーツ（スキー、スノーボード、スケートなど）,47,27,17,3
過去1年間の実施種目,ウォータースポーツ（ボート、ヨット、スキンダイビング、スクーバダイビング、カヌー、水上バイク、サーフィン、ウィンドサーフィン、ボディボード、ボードセーリングなど）,38,20,16,2
過去1年間の実施種目,スカイスポーツ（ハンググライダー、パラグライダー、スカイダイビングなど）,13,3,10,0
過去1年間の実施種目,アウトドアスポーツ（ハイキング、ワンダーフォーゲル、釣り、登山、キャンプなど）,105,71,28,6
過去1年間の実施種目,サイクリング、モーター（サイクル）スポーツ,114,81,31,2
過去1年間の実施種目,運動あそび（鬼ごっこ、かくれんぼ、鉄棒、ぶらんこなど）,134,72,58,4
過去1年間の実施種目,ゲーム機を使い体を動かして行うスポーツ・フィットネス等,79,37,41,1
過去1年間の実施種目,その他,53,29,23,1
過去1年間の実施種目,この1年間に運動・スポーツは行わなかった,1135,538,557,40
実施頻度（1年間）,週3日以上（年151日以上）,604,360,229,15
実施頻度（1年間）,週2日程度（年101日～150日）,429,233,177,19
実施頻度（1年間）,週1日程度（年51日～100日）,506,263,222,21
実施頻度（1年間）,月に1～3日程度（年12日～50日）,280,154,114,12
実施頻度（1年間）,3か月に1～2日程度（年4日～11日）,75,41,31,3
実施頻度（1年間）,年に1～3日程度,52,26,23,3
実施頻度（1年間）,わからない,145,83,51,11
実施した場所,自宅,829,425,364,40
実施した場所,道路や遊歩道,1083,620,430,33
実施した場所,広場や公園,633,365,244,24
実施した場所,民間のスポーツ施設,314,178,123,13
実施した場所,公共のスポーツ施設（障害者専用施設）,130,77,49,4
実施した場所,公共のスポーツ施設（障害者専用施設以外）,241,135,95,11
実施した場所,小中高校の体育施設,128,72,51,5
実施した場所,特別支援学校の体育施設,85,46,36,3
実施した場所,職場のスポーツ施設,35,18,17,0
実施した場所,福祉施設,64,30,32,2
実施した場所,児童通所サービス（放課後等デイサービス等）,87,49,38,0
実施した場所,医療機関（病院やリハビリ施設）,68,27,41,0
実施した場所,山・川・海・空,171,111,53,7
実施した場所,その他,44,24,20,0
実施した場所,わからない,47,25,16,6
一緒に実施する人,一人,1133,694,401,38
一緒に実施する人,家族,762,353,373,36
一緒に実施する人,福祉施設の職員・仲間,174,83,84,7
一緒に実施する人,障害がある人のサークル・障害者スポーツサークル等の仲間,91,59,32,0
一緒に実施する人,障害がある人やない人など様々な人がいるサークルの仲間,107,60,41,6
一緒に実施する人,スポーツ教室の指導者・仲間,151,80,68,3
一緒に実施する人,障害者専用スポーツ施設の職員・仲間,61,35,23,3
一緒に実施する人,地域の公共スポーツ施設の職員・仲間,48,20,23,5
一緒に実施する人,ボランティアの人たち,54,24,29,1
一緒に実施する人,学校の先生や学校の友達,150,84,64,2
一緒に実施する人,児童通所サービス（放課後等デイサービス等）の職員・仲間,86,51,35,0
一緒に実施する人,その他の友人・知人,137,82,52,3
一緒に実施する人,その他,35,13,22,0
一緒に実施する人,わからない,40,18,16,6
実施した理由,健康・体力づくりのため,1503,832,614,57
実施した理由,楽しみや気晴らしのため,890,479,378,33
実施した理由,運動不足解消のため,1109,639,430,40
実施した理由,精神の修養や訓練のため（心をきたえるため）,240,138,96,6
実施した理由,自己の記録や能力を向上させるため,182,111,63,8
実施した理由,リハビリテーションや医療・治療のため,340,180,153,7
実施した理由,家族のふれあいのため,154,82,65,7
実施した理由,友人・仲間との交流のため,254,140,106,8
実施した理由,美容や肥満解消（ダイエット）のため,217,104,109,4
実施した理由,障害者スポーツ大会に参加するため,17,13,4,0
実施した理由,その他,36,21,15,0
実施した理由,わからない,61,33,21,7
実施したきっかけ,家族に奨められた,561,281,254,26
実施したきっかけ,（障害のある）友人・知人・同僚に奨められた,101,50,49,2
実施したきっかけ,（障害のない）友人・知人・同僚に奨められた,119,56,56,7
実施したきっかけ,医師に奨められた,500,274,211,15
実施したきっかけ,看護師に奨められた,114,55,58,1
実施したきっかけ,作業療法士（OT）に奨められた,100,57,40,3
実施したきっかけ,理学療法士（PT）に奨められた,128,57,66,5
実施したきっかけ,言語聴覚士（ST）に奨められた,39,19,19,1
実施したきっかけ,視能訓練士（CO）に奨められた,21,7,12,2
実施したきっかけ,義肢装具士に奨められた,15,6,9,0
実施したきっかけ,介護福祉士に奨められた,43,14,28,1
実施したきっかけ,社会福祉士（ソーシャルワーカー）に奨められた,49,22,25,2
実施したきっかけ,スポーツ指導者に奨められた,20,9,9,2
実施したきっかけ,パラスポーツ指導員（旧障害者スポーツ指導員）に奨められた,19,8,9,2
実施したきっかけ,学校の先生に奨められた,57,35,20,2
実施したきっかけ,学校の授業等で興味を持ち、自主的に始めた,64,41,23,0
実施したきっかけ,所属する団体（会社等）に奨められた,17,11,6,0
実施したきっかけ,障害のある有名選手・パラアスリートの影響,14,7,7,0
実施したきっかけ,障害のない有名選手・アスリートの影響,13,8,5,0
実施したきっかけ,テレビや新聞の影響,66,31,35,0
実施したきっかけ,インターネットや動画配信を見て,81,45,35,1
実施したきっかけ,ＳＮＳの影響,40,18,19,3
実施したきっかけ,漫画、ドラマ、映画等の影響,20,7,12,1
実施したきっかけ,現地やテレビ等でそのスポーツを観た,22,13,6,3
実施したきっかけ,スポーツ団体等の関係者から誘われた,11,5,5,1
実施したきっかけ,スポーツイベントや体験会等で興味を持った,18,11,6,1
実施したきっかけ,スポーツ以外をテーマとするイベント（福祉祭り等の中の講演や体験会等）で興味を持った,6,3,3,0
実施したきっかけ,福祉施設で実施している運動プログラムに参加して,36,17,19,0
実施したきっかけ,行政の広報誌,15,5,10,0
実施したきっかけ,その他,89,54,33,2
実施したきっかけ,特にきっかけはない・なんとなく,676,415,232,29
スポーツ・運動への取組意向,スポーツや運動を行っており、満足している,849,468,346,35
スポーツ・運動への取組意向,スポーツや運動を行っているが、もっと行いたい,600,355,226,19
スポーツ・運動への取組意向,スポーツや運動を行いたいと思うができない,732,384,329,19
スポーツ・運動への取組意向,スポーツや運動に関心はない,1045,491,503,51
実施していない理由,医師に止められており、身体的にできない,127,57,68,2
実施していない理由,どのくらい体を動かしたらよいかわからない,74,40,32,2
実施していない理由,身近なところにスポーツや運動ができる場所がない,61,34,27,0
実施していない理由,スポーツや運動ができる場所への移動手段がない,40,23,17,0
実施していない理由,自分に合ったスポーツや運動の情報がない,89,49,38,2
実施していない理由,一緒にできる仲間がいない,96,46,47,3
実施していない理由,介助者がいない,93,43,47,3
実施していない理由,金銭的な余裕がない,117,65,50,2
実施していない理由,時間がない,90,50,36,4
実施していない理由,必要な競技用具や補助具がない,42,19,22,1
実施していない理由,その他,87,43,42,2
実施していない理由,活動したいと思わない,666,296,339,31
活動したいと思わない理由,スポーツ・運動が嫌いだから,158,67,83,8
活動したいと思わない理由,スポーツ・運動に興味がないから,151,70,78,3
活動したいと思わない理由,スポーツ・運動を楽しんだ経験がないから,39,14,21,4
活動したいと思わない理由,疲れるから,163,72,85,6
活動したいと思わない理由,人前に出るのが好きではないから,57,25,30,2
活動したいと思わない理由,学校の体育や部活動等で苦手意識を持ったから,23,7,13,3
活動したいと思わない理由,一緒に運動・スポーツする人に迷惑をかけるのではないかと心配だから,18,6,9,3
活動したいと思わない理由,スポーツ以外に趣味があるから,64,40,21,3
活動したいと思わない理由,忙しいから,34,16,15,3
活動したいと思わない理由,その他,56,19,36,1
活動したいと思わない理由,わからない,216,97,102,17
学校体育の参加状況,参加していて、体育が好きである,279,155,113,11
学校体育の参加状況,参加しているが、体育は好きではない,146,84,59,3
学校体育の参加状況,参加していない,42,23,14,5
学校体育の参加状況,わからない,37,21,10,6
学校体育に参加しない理由,授業の内容のとおりに身体を動かすことができないから,9,5,1,3
学校体育に参加しない理由,自分にはできないと思ったから,12,7,3,2
学校体育に参加しない理由,他の生徒や先生に迷惑をかけると思ったから,6,3,2,1
学校体育に参加しない理由,参加するために必要なスポーツ用具がなかったから,1,1,0,0
学校体育に参加しない理由,医師から止められていたから,1,1,0,0
学校体育に参加しない理由,学校の先生から見学するように言われたから,3,2,1,0
学校体育に参加しない理由,身体を動かすことが怖いから,5,3,2,0
学校体育に参加しない理由,その他,12,7,5,0
スポーツ・運動の参加方法,現地の会場で対面での参加,1083,618,434,31
スポーツ・運動の参加方法,リモート参加,134,52,77,5
スポーツ・運動の参加方法,ハイブリッド（現地参加とリモート参加の両方から選択できる）,241,116,116,9
スポーツ・運動の参加方法,参加したいと思わない,1768,912,777,79
参加したいスポーツ活動,ルールが簡単,891,474,386,31
参加したいスポーツ活動,自分のペースに合わせてできる,1507,819,644,44
参加したいスポーツ活動,汗をかかない,151,69,79,3
参加したいスポーツ活動,自宅で実施できる,570,272,283,15
参加したいスポーツ活動,短い時間で実施できる,705,362,325,18
参加したいスポーツ活動,上達したことが分かる,362,189,152,21
参加したいスポーツ活動,ゲーム機を使い体を動かして行なうスポーツ・フィットネス等,203,93,104,6
参加したいスポーツ活動,好きな種目を選べる,468,264,195,9
参加したいスポーツ活動,やったことがないスポーツを試せる,138,81,52,5
参加したいスポーツ活動,予約や申し込みなしに、参加したいときに参加できる,355,202,143,10
参加したいスポーツ活動,有名な選手に会える,85,47,35,3
参加したいスポーツ活動,親子で一緒に参加ができる,149,80,66,3
参加したいスポーツ活動,新しい友達をつくることができる,263,144,108,11
参加したいスポーツ活動,スポーツ以外に芸術・文化的なパフォーマンスも楽しめる,130,66,60,4
参加したいスポーツ活動,失敗しても笑われたり恥ずかしい思いをしない,365,211,144,10
参加したいスポーツ活動,新しい道具やウェアを買わなくてよい,326,191,131,4
参加したいスポーツ活動,その他,63,34,27,2
参加したいスポーツ活動,どのようなスポーツや運動でも参加したいと思わない,909,442,424,43
スポーツ・運動の継続実施に必要なもの,スタジアム、体育館などの建物や設備のバリアフリー化,344,188,138,18
スポーツ・運動の継続実施に必要なもの,交通機関（電車やバス）やまちのバリアフリー化,375,197,161,17
スポーツ・運動の継続実施に必要なもの,会場までの送迎,360,199,154,7
スポーツ・運動の継続実施に必要なもの,障害者への施設開放の促進（障害者が優先的に使える施設が増える）,274,162,106,6
スポーツ・運動の継続実施に必要なもの,障害にあわせた教室やプログラム,463,259,193,11
スポーツ・運動の継続実施に必要なもの,介助者や手話通訳などの支援,120,61,53,6
スポーツ・運動の継続実施に必要なもの,障害に対応した情報の提供や問合せ方法の充実,232,122,104,6
スポーツ・運動の継続実施に必要なもの,施設や用具等を利用する際に必要な手続きの支援,138,79,55,4
スポーツ・運動の継続実施に必要なもの,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進,109,57,48,4
スポーツ・運動の継続実施に必要なもの,健康や体調を管理する医療的なサポート,280,144,128,8
スポーツ・運動の継続実施に必要なもの,目標となる大会やイベント,136,86,43,7
スポーツ・運動の継続実施に必要なもの,スポーツ用具等の貸出し,172,100,63,9
スポーツ・運動の継続実施に必要なもの,施設の利用料減免　（利用料が安くなったり、無料になったりする）,314,184,121,9
スポーツ・運動の継続実施に必要なもの,リモートにより、障害に応じたスポーツ・運動を指導してくれる支援、またはその充実,89,45,41,3
スポーツ・運動の継続実施に必要なもの,自宅でもできる、障害に応じたスポーツ・運動方法についての情報提供、またはその充実,258,121,130,7
スポーツ・運動の継続実施に必要なもの,一緒に行う仲間（障害の無い人）,331,179,136,16
スポーツ・運動の継続実施に必要なもの,一緒に行う仲間（自分と同じ障害のある人）,291,157,126,8
スポーツ・運動の継続実施に必要なもの,一緒に行う仲間（自分と異なる障害のある人）,157,86,65,6
スポーツ・運動の継続実施に必要なもの,適切な指導者やコーチ、トレーナー,356,205,145,6
スポーツ・運動の継続実施に必要なもの,その他,44,28,13,3
スポーツ・運動の継続実施に必要なもの,特にない,362,232,117,13
スポーツ・運動の継続実施に必要なもの,わからない,247,126,111,10
新たに別のスポーツ・運動を始めるために必要な支援,スタジアム、体育館などの建物や設備のバリアフリー化,245,130,103,12
新たに別のスポーツ・運動を始めるために必要な支援,交通機関（電車やバス）やまちのバリアフリー化,228,117,98,13
新たに別のスポーツ・運動を始めるために必要な支援,会場までの送迎,321,165,149,7
新たに別のスポーツ・運動を始めるために必要な支援,障害者への施設開放の促進（障害者が優先的に使える施設が増える）,159,86,66,7
新たに別のスポーツ・運動を始めるために必要な支援,障害にあわせた教室やプログラム,340,197,135,8
新たに別のスポーツ・運動を始めるために必要な支援,介助者や手話通訳などの支援,65,39,22,4
新たに別のスポーツ・運動を始めるために必要な支援,障害に対応した情報の提供や問合せ方法の充実,142,66,69,7
新たに別のスポーツ・運動を始めるために必要な支援,施設や用具等を利用する際に必要な手続きの支援,75,51,22,2
新たに別のスポーツ・運動を始めるために必要な支援,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進,54,31,21,2
新たに別のスポーツ・運動を始めるために必要な支援,健康や体調を管理する医療的なサポート,186,86,93,7
新たに別のスポーツ・運動を始めるために必要な支援,目標となる大会やイベント,85,49,28,8
新たに別のスポーツ・運動を始めるために必要な支援,スポーツ用具等の貸出し,102,61,37,4
新たに別のスポーツ・運動を始めるために必要な支援,施設の利用料減免（利用料が安くなったり、無料になったりする）,245,135,105,5
新たに別のスポーツ・運動を始めるために必要な支援,リモートにより、障害に応じたスポーツ・運動を指導してくれる支援、またはその充実,50,19,27,4
新たに別のスポーツ・運動を始めるために必要な支援,自宅でもできる、障害に応じたスポーツ・運動方法についての情報提供、またはその充実,146,65,78,3
新たに別のスポーツ・運動を始めるために必要な支援,一緒に行う仲間（障害の無い人）,197,109,81,7
新たに別のスポーツ・運動を始めるために必要な支援,一緒に行う仲間（自分と同じ障害のある人）,164,97,62,5
新たに別のスポーツ・運動を始めるために必要な支援,一緒に行う仲間（自分と異なる障害のある人）,47,20,25,2
新たに別のスポーツ・運動を始めるために必要な支援,適切な指導者やコーチ、トレーナー,303,187,113,3
新たに別のスポーツ・運動を始めるために必要な支援,その他,23,15,8,0
新たに別のスポーツ・運動を始めるために必要な支援,特にない,396,236,146,14
新たに別のスポーツ・運動を始めるために必要な支援,わからない,249,140,96,13
スポーツを始めるきっかけとして必要な支援,スタジアム、体育館などの建物や設備のバリアフリー化,31,16,14,1
スポーツを始めるきっかけとして必要な支援,交通機関（電車やバス）やまちのバリアフリー化,32,17,14,1
スポーツを始めるきっかけとして必要な支援,会場までの送迎,95,51,43,1
スポーツを始めるきっかけとして必要な支援,障害者への施設開放の促進（障害者が優先的に使える施設が増える）,35,25,10,0
スポーツを始めるきっかけとして必要な支援,障害にあわせた教室やプログラム,112,55,56,1
スポーツを始めるきっかけとして必要な支援,介助者や手話通訳などの支援,29,10,17,2
スポーツを始めるきっかけとして必要な支援,障害に対応した情報の提供や問合せ方法の充実,38,25,13,0
スポーツを始めるきっかけとして必要な支援,施設や用具等を利用する際に必要な手続きの支援,13,10,2,1
スポーツを始めるきっかけとして必要な支援,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進,5,4,1,0
スポーツを始めるきっかけとして必要な支援,健康や体調を管理する医療的なサポート,65,29,35,1
スポーツを始めるきっかけとして必要な支援,目標となる大会やイベント,9,7,2,0
スポーツを始めるきっかけとして必要な支援,スポーツ用具等の貸出し,17,11,6,0
スポーツを始めるきっかけとして必要な支援,施設の利用料減免（利用料が安くなったり、無料になったりする）,46,26,20,0
スポーツを始めるきっかけとして必要な支援,リモートにより、障害に応じたスポーツ・運動を指導してくれる支援、またはその充実,9,3,6,0
スポーツを始めるきっかけとして必要な支援,自宅でもできる、障害に応じたスポーツ・運動方法についての情報提供、またはその充実,56,27,29,0
スポーツを始めるきっかけとして必要な支援,一緒に行う仲間（障害の無い人）,49,27,20,2
スポーツを始めるきっかけとして必要な支援,一緒に行う仲間（自分と同じ障害のある人）,65,34,29,2
スポーツを始めるきっかけとして必要な支援,一緒に行う仲間（自分と異なる障害のある人）,13,8,5,0
スポーツを始めるきっかけとして必要な支援,適切な指導者やコーチ、トレーナー,87,48,37,2
スポーツを始めるきっかけとして必要な支援,その他,23,14,9,0
スポーツを始めるきっかけとして必要な支援,特にない,385,187,189,9
スポーツを始めるきっかけとして必要な支援,わからない,354,150,180,24
スポーツ以外に関心のある事,旅行,1225,641,538,46
スポーツ以外に関心のある事,グルメ・食べ歩き,1182,599,543,40
スポーツ以外に関心のある事,買い物・ショッピング,840,348,462,30
スポーツ以外に関心のある事,テレビ視聴,1133,584,516,33
スポーツ以外に関心のある事,動画配信サービス視聴,912,526,361,25
スポーツ以外に関心のある事,ＣＤやスマートフォンによる音楽鑑賞,481,277,193,11
スポーツ以外に関心のある事,ＳＮＳ閲覧・投稿,528,270,243,15
スポーツ以外に関心のある事,インターネット閲覧,957,596,338,23
スポーツ以外に関心のある事,映画鑑賞,765,447,298,20
スポーツ以外に関心のある事,読書,563,308,245,10
スポーツ以外に関心のある事,アニメ／漫画,592,340,235,17
スポーツ以外に関心のある事,スマートフォン・家庭用ゲーム機によるゲーム,615,372,226,17
スポーツ以外に関心のある事,写真の撮影,289,163,116,10
スポーツ以外に関心のある事,遊園地・動物園・水族館などの見物,347,165,171,11
スポーツ以外に関心のある事,美術鑑賞,293,140,147,6
スポーツ以外に関心のある事,コンサートなどによる音楽鑑賞,350,159,180,11
スポーツ以外に関心のある事,演劇・舞踏鑑賞,178,82,94,2
スポーツ以外に関心のある事,カラオケ,330,149,177,4
スポーツ以外に関心のある事,楽器の演奏,161,86,70,5
スポーツ以外に関心のある事,料理・菓子作り,284,119,152,13
スポーツ以外に関心のある事,園芸・ガーデニング,189,89,96,4
スポーツ以外に関心のある事,日曜大工,75,59,15,1
スポーツ以外に関心のある事,編み物・手芸,123,19,101,3
スポーツ以外に関心のある事,和裁・洋裁,46,8,38,0
スポーツ以外に関心のある事,大道芸や手品等の鑑賞,33,20,12,1
スポーツ以外に関心のある事,ギャンブル,103,83,19,1
スポーツ以外に関心のある事,その他,134,86,42,6
スポーツ以外に関心のある事,特にない,322,157,136,29
情報入手先,家族,1446,697,694,55
情報入手先,友人,791,374,397,20
情報入手先,学校や職場、施設の人,564,312,236,16
情報入手先,ボランティア,76,41,31,4
情報入手先,ホームヘルパー、ガイドヘルパーなどの支援者,206,97,103,6
情報入手先,医師や看護師、理学療法士、作業療法士などの医療関係者,367,171,185,11
情報入手先,テレビ,1551,809,701,41
情報入手先,ラジオ,314,175,129,10
情報入手先,新聞,466,253,198,15
情報入手先,雑誌,199,113,81,5
情報入手先,障害者団体の会合や機関誌,80,49,30,1
情報入手先,検索エンジンを活用（Yahoo!、Googleなど）,743,473,253,17
情報入手先,インターネットのニュースサイトやニュースアプリ,1129,703,396,30
情報入手先,ＳＮＳ（X（旧Twitter）、Facebook、Instagram、TikTokなど）,808,432,350,26
情報入手先,動画配信サービス（YouTubeなど）,718,430,273,15
情報入手先,行政の窓口,164,80,77,7
情報入手先,区市町村などの広報誌,272,144,124,4
情報入手先,その他,16,8,8,0
情報入手先,わからない,84,34,41,9
情報入手先,得ていない,181,89,78,14
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,実際に体を動かして行う、スポーツやフィットネスのゲーム（「ニンテンドースイッチスポーツ」や「リングフィットアドベンチャー」、「ウィーフィット」など）,515,266,226,23
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,実際に体を動かして行う、スポーツ以外のゲーム（「太鼓の達人」、「ドラゴンクエストソード」など）,390,193,182,15
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,指先など体の一部を動かして一般的なコントローラーを操作して行うゲーム（ポケットモンスター、スプラトゥーン、マインクラフト、ぷよぷよなど）,758,432,301,25
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,指先など体の一部を動かして障害の状態に応じた入力装置（フレックスコントローラーや視線入力装置、個人用にカスタムされたスイッチ等）を操作して行うゲーム（ポケットモンスター、スプラトゥーン、マインクラフト、ぷよぷよなど）,257,124,121,12
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,やったことはない,2004,1026,905,73
家庭用ゲーム機を使って行うスポーツ・フィットネス等の興味関心,やりたい,1431,783,596,52
家庭用ゲーム機を使って行うスポーツ・フィットネス等の興味関心,やりたくない,1733,889,775,69
デフリンピックの認知度,よく内容を知っている,187,93,88,6
デフリンピックの認知度,見たり聞いたりしたことがある,792,436,326,30
デフリンピックの認知度,知らない,2247,1169,990,88
デフリンピックに期待すること,競技観戦,393,211,168,14
デフリンピックに期待すること,記録の更新,195,109,80,6
