調査項目,回答,全体(人),実際に体を動かして行う、スポーツ以外のゲーム（「太鼓の達人」、「ドラゴンクエストソード」など）をやったことがある(人),実際に体を動かして行う、スポーツ以外のゲーム（「太鼓の達人」、「ドラゴンクエストソード」など）をやったことがない(人),「やったことがない」のうち、やりたい(人),「やったことがない」のうち、やりたいと思わない(人)
実施した場所,公共のスポーツ施設（障害者専用施設以外）,241,61,180,78,102
実施した場所,小中高校の体育施設,128,42,86,53,33
実施した場所,特別支援学校の体育施設,85,30,55,32,23
実施した場所,職場のスポーツ施設,35,19,16,10,6
実施した場所,福祉施設,64,15,49,19,30
実施した場所,児童通所サービス（放課後等デイサービス等）,87,26,61,32,29
実施した場所,医療機関（病院やリハビリ施設）,68,12,56,17,39
実施した場所,山・川・海・空,171,43,128,53,75
実施した場所,その他,44,2,42,11,31
実施した場所,わからない,47,1,46,5,41
一緒に実施する人,一人,1133,137,996,286,710
一緒に実施する人,家族,762,155,607,241,366
一緒に実施する人,福祉施設の職員・仲間,174,43,131,54,77
一緒に実施する人,障害がある人のサークル・障害者スポーツサークル等の仲間,91,32,59,38,21
一緒に実施する人,障害がある人やない人など様々な人がいるサークルの仲間,107,39,68,43,25
一緒に実施する人,スポーツ教室の指導者・仲間,151,42,109,55,54
一緒に実施する人,障害者専用スポーツ施設の職員・仲間,61,25,36,16,20
一緒に実施する人,地域の公共スポーツ施設の職員・仲間,48,21,27,14,13
一緒に実施する人,ボランティアの人たち,54,19,35,20,15
一緒に実施する人,学校の先生や学校の友達,150,46,104,65,39
一緒に実施する人,児童通所サービス（放課後等デイサービス等）の職員・仲間,86,24,62,33,29
一緒に実施する人,その他の友人・知人,137,37,100,35,65
一緒に実施する人,その他,35,5,30,8,22
一緒に実施する人,わからない,40,0,40,2,38
実施した理由,健康・体力づくりのため,1503,210,1293,442,851
実施した理由,楽しみや気晴らしのため,890,180,710,282,428
実施した理由,運動不足解消のため,1109,171,938,334,604
実施した理由,精神の修養や訓練のため（心をきたえるため）,240,69,171,77,94
実施した理由,自己の記録や能力を向上させるため,182,50,132,61,71
実施した理由,リハビリテーションや医療・治療のため,340,59,281,79,202
実施した理由,家族のふれあいのため,154,49,105,52,53
実施した理由,友人・仲間との交流のため,254,79,175,88,87
実施した理由,美容や肥満解消（ダイエット）のため,217,48,169,69,100
実施した理由,障害者スポーツ大会に参加するため,17,6,11,5,6
実施した理由,その他,36,6,30,11,19
実施した理由,わからない,61,1,60,4,56
実施したきっかけ,家族に奨められた,561,103,458,170,288
実施したきっかけ,（障害のある）友人・知人・同僚に奨められた,101,35,66,42,24
実施したきっかけ,（障害のない）友人・知人・同僚に奨められた,119,40,79,44,35
実施したきっかけ,医師に奨められた,500,81,419,107,312
実施したきっかけ,看護師に奨められた,114,35,79,25,54
実施したきっかけ,作業療法士（OT）に奨められた,100,34,66,27,39
実施したきっかけ,理学療法士（PT）に奨められた,128,25,103,35,68
実施したきっかけ,言語聴覚士（ST）に奨められた,39,16,23,11,12
実施したきっかけ,視能訓練士（CO）に奨められた,21,13,8,5,3
実施したきっかけ,義肢装具士に奨められた,15,9,6,6,0
実施したきっかけ,介護福祉士に奨められた,43,12,31,12,19
実施したきっかけ,社会福祉士（ソーシャルワーカー）に奨められた,49,15,34,13,21
実施したきっかけ,スポーツ指導者に奨められた,20,4,16,11,5
実施したきっかけ,パラスポーツ指導員（旧障害者スポーツ指導員）に奨められた,19,12,7,6,1
実施したきっかけ,学校の先生に奨められた,57,21,36,19,17
実施したきっかけ,学校の授業等で興味を持ち、自主的に始めた,64,19,45,28,17
実施したきっかけ,所属する団体（会社等）に奨められた,17,8,9,5,4
実施したきっかけ,障害のある有名選手・パラアスリートの影響,14,6,8,5,3
実施したきっかけ,障害のない有名選手・アスリートの影響,13,6,7,4,3
実施したきっかけ,テレビや新聞の影響,66,20,46,20,26
実施したきっかけ,インターネットや動画配信を見て,81,25,56,27,29
実施したきっかけ,ＳＮＳの影響,40,15,25,17,8
実施したきっかけ,漫画、ドラマ、映画等の影響,20,11,9,6,3
実施したきっかけ,現地やテレビ等でそのスポーツを観た,22,11,11,5,6
実施したきっかけ,スポーツ団体等の関係者から誘われた,11,4,7,4,3
実施したきっかけ,スポーツイベントや体験会等で興味を持った,18,7,11,8,3
実施したきっかけ,スポーツ以外をテーマとするイベント（福祉祭り等の中の講演や体験会等）で興味を持った,6,1,5,3,2
実施したきっかけ,福祉施設で実施している運動プログラムに参加して,36,5,31,12,19
実施したきっかけ,行政の広報誌,15,2,13,4,9
実施したきっかけ,その他,89,8,81,24,57
実施したきっかけ,特にきっかけはない・なんとなく,676,68,608,173,435
スポーツ・運動への取組意向,スポーツや運動を行っており、満足している,849,137,712,261,451
スポーツ・運動への取組意向,スポーツや運動を行っているが、もっと行いたい,600,126,474,180,294
スポーツ・運動への取組意向,スポーツや運動を行いたいと思うができない,732,68,664,181,483
スポーツ・運動への取組意向,スポーツや運動に関心はない,1045,59,986,116,870
実施していない理由,医師に止められており、身体的にできない,127,6,121,13,108
実施していない理由,どのくらい体を動かしたらよいかわからない,74,3,71,11,60
実施していない理由,身近なところにスポーツや運動ができる場所がない,61,4,57,19,38
実施していない理由,スポーツや運動ができる場所への移動手段がない,40,1,39,14,25
実施していない理由,自分に合ったスポーツや運動の情報がない,89,6,83,26,57
実施していない理由,一緒にできる仲間がいない,96,9,87,31,56
実施していない理由,介助者がいない,93,8,85,22,63
実施していない理由,金銭的な余裕がない,117,6,111,32,79
実施していない理由,時間がない,90,7,83,26,57
実施していない理由,必要な競技用具や補助具がない,42,1,41,10,31
実施していない理由,その他,87,5,82,12,70
実施していない理由,活動したいと思わない,666,27,639,49,590
活動したいと思わない理由,スポーツ・運動が嫌いだから,158,9,149,11,138
活動したいと思わない理由,スポーツ・運動に興味がないから,151,13,138,15,123
活動したいと思わない理由,スポーツ・運動を楽しんだ経験がないから,39,3,36,1,35
活動したいと思わない理由,疲れるから,163,14,149,12,137
活動したいと思わない理由,人前に出るのが好きではないから,57,7,50,2,48
活動したいと思わない理由,学校の体育や部活動等で苦手意識を持ったから,23,5,18,1,17
活動したいと思わない理由,一緒に運動・スポーツする人に迷惑をかけるのではないかと心配だから,18,2,16,1,15
活動したいと思わない理由,スポーツ以外に趣味があるから,64,7,57,5,52
活動したいと思わない理由,忙しいから,34,3,31,1,30
活動したいと思わない理由,その他,56,2,54,3,51
活動したいと思わない理由,わからない,216,3,213,16,197
学校体育の参加状況,参加していて、体育が好きである,279,85,194,117,77
学校体育の参加状況,参加しているが、体育は好きではない,146,47,99,57,42
学校体育の参加状況,参加していない,42,10,32,12,20
学校体育の参加状況,わからない,37,1,36,7,29
学校体育に参加しない理由,授業の内容のとおりに身体を動かすことができないから,9,3,6,1,5
学校体育に参加しない理由,自分にはできないと思ったから,12,3,9,4,5
学校体育に参加しない理由,他の生徒や先生に迷惑をかけると思ったから,6,4,2,2,0
学校体育に参加しない理由,参加するために必要なスポーツ用具がなかったから,1,0,1,0,1
学校体育に参加しない理由,医師から止められていたから,1,0,1,0,1
学校体育に参加しない理由,学校の先生から見学するように言われたから,3,1,2,1,1
学校体育に参加しない理由,身体を動かすことが怖いから,5,0,5,0,5
学校体育に参加しない理由,その他,12,3,9,5,4
スポーツ・運動の参加方法,現地の会場で対面での参加,1083,200,883,401,482
スポーツ・運動の参加方法,リモート参加,134,40,94,47,47
スポーツ・運動の参加方法,ハイブリッド（現地参加とリモート参加の両方から選択できる）,241,54,187,78,109
スポーツ・運動の参加方法,参加したいと思わない,1768,96,1672,212,1460
参加したいスポーツ活動,ルールが簡単,891,174,717,324,393
参加したいスポーツ活動,自分のペースに合わせてできる,1507,223,1284,464,820
参加したいスポーツ活動,汗をかかない,151,35,116,35,81
参加したいスポーツ活動,自宅で実施できる,570,78,492,141,351
参加したいスポーツ活動,短い時間で実施できる,705,101,604,206,398
参加したいスポーツ活動,上達したことが分かる,362,91,271,153,118
参加したいスポーツ活動,ゲーム機を使い体を動かして行なうスポーツ・フィットネス等,203,67,136,87,49
参加したいスポーツ活動,好きな種目を選べる,468,116,352,174,178
参加したいスポーツ活動,やったことがないスポーツを試せる,138,37,101,58,43
参加したいスポーツ活動,予約や申し込みなしに、参加したいときに参加できる,355,68,287,127,160
参加したいスポーツ活動,有名な選手に会える,85,28,57,29,28
参加したいスポーツ活動,親子で一緒に参加ができる,149,42,107,68,39
参加したいスポーツ活動,新しい友達をつくることができる,263,65,198,111,87
参加したいスポーツ活動,スポーツ以外に芸術・文化的なパフォーマンスも楽しめる,130,35,95,41,54
参加したいスポーツ活動,失敗しても笑われたり恥ずかしい思いをしない,365,79,286,141,145
参加したいスポーツ活動,新しい道具やウェアを買わなくてよい,326,54,272,105,167
参加したいスポーツ活動,その他,63,4,59,6,53
参加したいスポーツ活動,どのようなスポーツや運動でも参加したいと思わない,909,20,889,47,842
スポーツ・運動の継続実施に必要なもの,スタジアム、体育館などの建物や設備のバリアフリー化,344,78,266,132,134
スポーツ・運動の継続実施に必要なもの,交通機関（電車やバス）やまちのバリアフリー化,375,71,304,128,176
スポーツ・運動の継続実施に必要なもの,会場までの送迎,360,77,283,114,169
スポーツ・運動の継続実施に必要なもの,障害者への施設開放の促進（障害者が優先的に使える施設が増える）,274,74,200,103,97
スポーツ・運動の継続実施に必要なもの,障害にあわせた教室やプログラム,463,106,357,166,191
スポーツ・運動の継続実施に必要なもの,介助者や手話通訳などの支援,120,36,84,42,42
スポーツ・運動の継続実施に必要なもの,障害に対応した情報の提供や問合せ方法の充実,232,56,176,72,104
スポーツ・運動の継続実施に必要なもの,施設や用具等を利用する際に必要な手続きの支援,138,33,105,51,54
スポーツ・運動の継続実施に必要なもの,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進,109,35,74,36,38
スポーツ・運動の継続実施に必要なもの,健康や体調を管理する医療的なサポート,280,54,226,86,140
スポーツ・運動の継続実施に必要なもの,目標となる大会やイベント,136,40,96,52,44
スポーツ・運動の継続実施に必要なもの,スポーツ用具等の貸出し,172,39,133,74,59
スポーツ・運動の継続実施に必要なもの,施設の利用料減免　（利用料が安くなったり、無料になったりする）,314,66,248,105,143
スポーツ・運動の継続実施に必要なもの,リモートにより、障害に応じたスポーツ・運動を指導してくれる支援、またはその充実,89,24,65,29,36
スポーツ・運動の継続実施に必要なもの,自宅でもできる、障害に応じたスポーツ・運動方法についての情報提供、またはその充実,258,52,206,72,134
スポーツ・運動の継続実施に必要なもの,一緒に行う仲間（障害の無い人）,331,72,259,124,135
スポーツ・運動の継続実施に必要なもの,一緒に行う仲間（自分と同じ障害のある人）,291,65,226,111,115
スポーツ・運動の継続実施に必要なもの,一緒に行う仲間（自分と異なる障害のある人）,157,36,121,63,58
スポーツ・運動の継続実施に必要なもの,適切な指導者やコーチ、トレーナー,356,61,295,129,166
スポーツ・運動の継続実施に必要なもの,その他,44,3,41,10,31
スポーツ・運動の継続実施に必要なもの,特にない,362,21,341,62,279
スポーツ・運動の継続実施に必要なもの,わからない,247,14,233,41,192
新たに別のスポーツ・運動を始めるために必要な支援,スタジアム、体育館などの建物や設備のバリアフリー化,245,43,202,91,111
新たに別のスポーツ・運動を始めるために必要な支援,交通機関（電車やバス）やまちのバリアフリー化,228,51,177,65,112
新たに別のスポーツ・運動を始めるために必要な支援,会場までの送迎,321,59,262,106,156
新たに別のスポーツ・運動を始めるために必要な支援,障害者への施設開放の促進（障害者が優先的に使える施設が増える）,159,49,110,55,55
新たに別のスポーツ・運動を始めるために必要な支援,障害にあわせた教室やプログラム,340,84,256,119,137
新たに別のスポーツ・運動を始めるために必要な支援,介助者や手話通訳などの支援,65,17,48,22,26
新たに別のスポーツ・運動を始めるために必要な支援,障害に対応した情報の提供や問合せ方法の充実,142,33,109,53,56
新たに別のスポーツ・運動を始めるために必要な支援,施設や用具等を利用する際に必要な手続きの支援,75,18,57,28,29
新たに別のスポーツ・運動を始めるために必要な支援,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進,54,17,37,20,17
新たに別のスポーツ・運動を始めるために必要な支援,健康や体調を管理する医療的なサポート,186,28,158,55,103
新たに別のスポーツ・運動を始めるために必要な支援,目標となる大会やイベント,85,22,63,34,29
新たに別のスポーツ・運動を始めるために必要な支援,スポーツ用具等の貸出し,102,27,75,43,32
新たに別のスポーツ・運動を始めるために必要な支援,施設の利用料減免（利用料が安くなったり、無料になったりする）,245,47,198,82,116
新たに別のスポーツ・運動を始めるために必要な支援,リモートにより、障害に応じたスポーツ・運動を指導してくれる支援、またはその充実,50,13,37,16,21
新たに別のスポーツ・運動を始めるために必要な支援,自宅でもできる、障害に応じたスポーツ・運動方法についての情報提供、またはその充実,146,27,119,40,79
新たに別のスポーツ・運動を始めるために必要な支援,一緒に行う仲間（障害の無い人）,197,38,159,66,93
新たに別のスポーツ・運動を始めるために必要な支援,一緒に行う仲間（自分と同じ障害のある人）,164,33,131,58,73
新たに別のスポーツ・運動を始めるために必要な支援,一緒に行う仲間（自分と異なる障害のある人）,47,10,37,17,20
新たに別のスポーツ・運動を始めるために必要な支援,適切な指導者やコーチ、トレーナー,303,52,251,110,141
新たに別のスポーツ・運動を始めるために必要な支援,その他,23,4,19,7,12
新たに別のスポーツ・運動を始めるために必要な支援,特にない,396,28,368,69,299
新たに別のスポーツ・運動を始めるために必要な支援,わからない,249,12,237,39,198
スポーツを始めるきっかけとして必要な支援,スタジアム、体育館などの建物や設備のバリアフリー化,31,5,26,12,14
スポーツを始めるきっかけとして必要な支援,交通機関（電車やバス）やまちのバリアフリー化,32,3,29,13,16
スポーツを始めるきっかけとして必要な支援,会場までの送迎,95,5,90,27,63
スポーツを始めるきっかけとして必要な支援,障害者への施設開放の促進（障害者が優先的に使える施設が増える）,35,1,34,10,24
スポーツを始めるきっかけとして必要な支援,障害にあわせた教室やプログラム,112,9,103,30,73
スポーツを始めるきっかけとして必要な支援,介助者や手話通訳などの支援,29,4,25,7,18
スポーツを始めるきっかけとして必要な支援,障害に対応した情報の提供や問合せ方法の充実,38,6,32,6,26
スポーツを始めるきっかけとして必要な支援,施設や用具等を利用する際に必要な手続きの支援,13,1,12,4,8
スポーツを始めるきっかけとして必要な支援,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進,5,1,4,1,3
スポーツを始めるきっかけとして必要な支援,健康や体調を管理する医療的なサポート,65,4,61,10,51
スポーツを始めるきっかけとして必要な支援,目標となる大会やイベント,9,3,6,4,2
スポーツを始めるきっかけとして必要な支援,スポーツ用具等の貸出し,17,1,16,4,12
スポーツを始めるきっかけとして必要な支援,施設の利用料減免（利用料が安くなったり、無料になったりする）,46,2,44,10,34
スポーツを始めるきっかけとして必要な支援,リモートにより、障害に応じたスポーツ・運動を指導してくれる支援、またはその充実,9,0,9,1,8
スポーツを始めるきっかけとして必要な支援,自宅でもできる、障害に応じたスポーツ・運動方法についての情報提供、またはその充実,57,4,53,14,39
スポーツを始めるきっかけとして必要な支援,一緒に行う仲間（障害の無い人）,49,8,41,15,26
スポーツを始めるきっかけとして必要な支援,一緒に行う仲間（自分と同じ障害のある人）,65,7,58,23,35
スポーツを始めるきっかけとして必要な支援,一緒に行う仲間（自分と異なる障害のある人）,13,1,12,5,7
スポーツを始めるきっかけとして必要な支援,適切な指導者やコーチ、トレーナー,87,2,85,23,62
スポーツを始めるきっかけとして必要な支援,その他,23,0,23,1,22
スポーツを始めるきっかけとして必要な支援,特にない,385,13,372,22,350
スポーツを始めるきっかけとして必要な支援,わからない,354,14,340,35,305
スポーツ以外に関心のある事,旅行,1225,168,1057,341,716
スポーツ以外に関心のある事,グルメ・食べ歩き,1182,179,1003,355,648
スポーツ以外に関心のある事,買い物・ショッピング,840,139,701,243,458
スポーツ以外に関心のある事,テレビ視聴,1133,137,996,264,732
スポーツ以外に関心のある事,動画配信サービス視聴,912,184,728,264,464
スポーツ以外に関心のある事,ＣＤやスマートフォンによる音楽鑑賞,481,107,374,137,237
スポーツ以外に関心のある事,ＳＮＳ閲覧・投稿,528,102,426,150,276
スポーツ以外に関心のある事,インターネット閲覧,957,148,809,256,553
スポーツ以外に関心のある事,映画鑑賞,765,113,652,214,438
スポーツ以外に関心のある事,読書,563,80,483,143,340
スポーツ以外に関心のある事,アニメ／漫画,592,132,460,186,274
スポーツ以外に関心のある事,スマートフォン・家庭用ゲーム機によるゲーム,615,165,450,210,240
スポーツ以外に関心のある事,写真の撮影,289,73,216,76,140
スポーツ以外に関心のある事,遊園地・動物園・水族館などの見物,347,80,267,123,144
スポーツ以外に関心のある事,美術鑑賞,293,45,248,73,175
スポーツ以外に関心のある事,コンサートなどによる音楽鑑賞,350,65,285,91,194
スポーツ以外に関心のある事,演劇・舞踏鑑賞,178,32,146,50,96
スポーツ以外に関心のある事,カラオケ,330,78,252,108,144
スポーツ以外に関心のある事,楽器の演奏,161,38,123,45,78
スポーツ以外に関心のある事,料理・菓子作り,284,57,227,91,136
スポーツ以外に関心のある事,園芸・ガーデニング,189,23,166,48,118
スポーツ以外に関心のある事,日曜大工,75,16,59,23,36
スポーツ以外に関心のある事,編み物・手芸,123,30,93,35,58
スポーツ以外に関心のある事,和裁・洋裁,46,10,36,12,24
スポーツ以外に関心のある事,大道芸や手品等の鑑賞,33,12,21,13,8
スポーツ以外に関心のある事,ギャンブル,103,15,88,21,67
スポーツ以外に関心のある事,その他,134,15,119,22,97
スポーツ以外に関心のある事,特にない,322,3,319,19,300
情報入手先,家族,1446,206,1240,389,851
