調査項目,回答,全体(人),参加していて、体育が好きである(人),参加しているが、体育は好きではない(人),参加していない(人),わからない(人)
学校の種別,中学校の普通学校（特別支援学級）,39,17,15,3,4
学校の種別,中学校の特別支援学校（養護学校・盲学校・ろう学校）,40,26,9,1,4
学校の種別,高等学校の普通学校（通常学級のみに在籍）,50,18,27,2,3
学校の種別,高等学校の普通学校（通級による指導あり）,12,4,6,1,1
学校の種別,高等学校の特別支援学校（養護学校・盲学校・ろう学校）,42,24,11,0,7
学校の種別,大学・短期大学,0,0,0,0,0
学校の種別,特別支援学校高等部専攻科、高等学校専攻科,0,0,0,0,0
学校の種別,職業能力開発校、障害者職業能力開発校等,0,0,0,0,0
学校の種別,なし,0,0,0,0,0
仕事の有無,仕事をしている,54,31,19,1,3
仕事の有無,仕事をしていない,442,246,125,39,32
仕事の有無,福祉的就労をしている（就労移行支援、就労継続支援Ａ型・Ｂ型、就労定着支援）,8,2,2,2,2
平日・日中の居場所,自分の家,130,53,38,23,16
平日・日中の居場所,職場（一般企業など）,22,14,6,0,2
平日・日中の居場所,職場（福祉的就労（就労移行支援、就労継続支援Ａ型・Ｂ型、就労定着支援）の施設）,5,2,2,0,1
平日・日中の居場所,学校,334,207,94,18,15
平日・日中の居場所,通所施設（生活介護、デイケアなど）,10,2,6,1,1
平日・日中の居場所,入所施設,3,1,0,0,2
平日・日中の居場所,その他,0,0,0,0,0
放課後の居場所,自分の家,345,170,112,33,30
放課後の居場所,習いごと（塾や英会話等の学習系）,75,55,15,4,1
放課後の居場所,習いごと（スイミングやサッカー等のスポーツ系）,59,42,14,3,0
放課後の居場所,習いごと（音楽や習字等の芸術系）,41,26,11,3,1
放課後の居場所,児童通所サービス（放課後等デイサービス　等）,156,113,26,7,10
放課後の居場所,学童保育,34,21,10,2,1
放課後の居場所,広場や公園,35,28,6,1,0
放課後の居場所,学校（校庭や体育館）,35,26,8,0,1
放課後の居場所,児童館や図書館などの公共施設,16,13,2,1,0
放課後の居場所,その他,8,4,4,0,0
障害福祉サービスの利用状況,利用していない,263,128,87,26,22
障害福祉サービスの利用状況,居宅介護（ホームヘルプ）,22,13,5,3,1
障害福祉サービスの利用状況,重度訪問介護,4,2,1,1,0
障害福祉サービスの利用状況,同行援護,17,11,5,1,0
障害福祉サービスの利用状況,行動援護,18,9,6,1,2
障害福祉サービスの利用状況,重度障害者等包括支援,8,4,4,0,0
障害福祉サービスの利用状況,短期入所（ショートステイ）,34,18,8,4,4
障害福祉サービスの利用状況,療養介護,8,6,2,0,0
障害福祉サービスの利用状況,生活介護,6,4,2,0,0
障害福祉サービスの利用状況,施設入所支援,4,2,2,0,0
障害福祉サービスの利用状況,自立訓練,6,4,2,0,0
障害福祉サービスの利用状況,就労移行支援,4,3,1,0,0
障害福祉サービスの利用状況,就労継続支援（A型）,5,4,1,0,0
障害福祉サービスの利用状況,就労継続支援（B型）,2,1,0,0,1
障害福祉サービスの利用状況,就労定着支援,0,0,0,0,0
障害福祉サービスの利用状況,自立生活援助,6,4,0,1,1
障害福祉サービスの利用状況,共同生活援助（グループホーム）,4,1,2,1,0
障害福祉サービスの利用状況,計画相談支援,16,11,2,1,2
障害福祉サービスの利用状況,地域相談支援,14,8,3,2,1
障害福祉サービスの利用状況,移動支援,18,9,3,1,5
障害福祉サービスの利用状況,地域活動支援センター,14,9,3,2,0
障害福祉サービスの利用状況,福祉ホーム,5,5,0,0,0
障害福祉サービスの利用状況,児童発達支援,46,29,12,2,3
障害福祉サービスの利用状況,医療型児童発達支援,6,5,1,0,0
障害福祉サービスの利用状況,放課後等デイサービス,143,104,26,5,8
障害福祉サービスの利用状況,居宅訪問型児童発達支援,7,6,0,0,1
障害福祉サービスの利用状況,保育所等訪問支援,5,2,2,1,0
障害福祉サービスの利用状況,訪問看護,14,8,3,1,2
障害福祉サービスの利用状況,訪問リハビリテーション,8,6,1,1,0
過去1年間の実施種目,ウォーキング、散歩（散策、ペットの散歩など）,222,128,70,13,11
過去1年間の実施種目,体操（ラジオ体操、職場体操、ストレッチ、エアロビクス、ヨガ、ピラティス、縄跳びなど）,116,88,24,3,1
過去1年間の実施種目,室内運動器具（ウエイト器具、ランニングマシーン、バランスボールなど）を用いる運動,51,35,14,1,1
過去1年間の実施種目,陸上競技（ランニング、ジョギングなどの軽い運動も含めます）,75,56,17,2,0
過去1年間の実施種目,水泳・遊泳（水中歩行・水中運動）,133,104,26,2,1
過去1年間の実施種目,ブラインドサッカー,12,9,3,0,0
過去1年間の実施種目,車いすテニス,7,5,2,0,0
過去1年間の実施種目,サウンドテーブルテニス,12,10,2,0,0
過去1年間の実施種目,パラバレーボール,13,8,3,1,1
過去1年間の実施種目,車いすバスケットボール,8,6,2,0,0
過去1年間の実施種目,車いすラグビー,6,5,1,0,0
過去1年間の実施種目,ボッチャ,29,24,4,0,1
過去1年間の実施種目,球技（キャッチボールなどのボールを使った軽い運動も含めます）,72,58,13,1,0
過去1年間の実施種目,ダンス（フォークダンス、ジャズダンス、社交ダンス、フラダンス、バレエ、民謡踊りなど）,52,38,14,0,0
過去1年間の実施種目,格闘技（ボクシング、レスリング、相撲（すもう）など）,8,6,2,0,0
過去1年間の実施種目,武道（柔道、剣道、空手、合気道など）,14,11,3,0,0
過去1年間の実施種目,射的（弓道、アーチェリー、ダーツ、スポーツ吹矢など）,7,5,2,0,0
過去1年間の実施種目,ウィンタースポーツ（スキー、スノーボード、スケートなど）,17,15,2,0,0
過去1年間の実施種目,ウォータースポーツ（ボート、ヨット、スキンダイビング、スクーバダイビング、カヌー、水上バイク、サーフィン、ウィンドサーフィン、ボディボード、ボードセーリングなど）,13,12,1,0,0
過去1年間の実施種目,スカイスポーツ（ハンググライダー、パラグライダー、スカイダイビングなど）,4,3,1,0,0
過去1年間の実施種目,アウトドアスポーツ（ハイキング、ワンダーフォーゲル、釣り、登山、キャンプなど）,39,29,9,0,1
過去1年間の実施種目,サイクリング、モーター（サイクル）スポーツ,27,21,6,0,0
過去1年間の実施種目,運動あそび（鬼ごっこ、かくれんぼ、鉄棒、ぶらんこなど）,114,85,24,2,3
過去1年間の実施種目,ゲーム機を使い体を動かして行うスポーツ・フィットネス等,29,19,8,2,0
過去1年間の実施種目,その他,11,7,3,0,1
過去1年間の実施種目,この1年間に運動・スポーツは行わなかった,113,38,35,20,20
実施頻度（1年間）,週3日以上（年151日以上）,86,70,13,2,1
実施頻度（1年間）,週2日程度（年101日～150日）,105,78,21,4,2
実施頻度（1年間）,週1日程度（年51日～100日）,99,56,37,4,2
実施頻度（1年間）,月に1～3日程度（年12日～50日）,51,23,21,6,1
実施頻度（1年間）,3か月に1～2日程度（年4日～11日）,12,5,4,2,1
実施頻度（1年間）,年に1～3日程度,9,3,3,1,2
実施頻度（1年間）,わからない,29,6,12,3,8
実施した場所,自宅,129,81,35,10,3
実施した場所,道路や遊歩道,108,70,30,4,4
実施した場所,広場や公園,137,97,31,8,1
実施した場所,民間のスポーツ施設,89,67,20,2,0
実施した場所,公共のスポーツ施設（障害者専用施設）,52,43,9,0,0
実施した場所,公共のスポーツ施設（障害者専用施設以外）,68,55,11,2,0
実施した場所,小中高校の体育施設,95,67,26,1,1
実施した場所,特別支援学校の体育施設,61,52,4,1,4
実施した場所,職場のスポーツ施設,12,7,5,0,0
実施した場所,福祉施設,10,8,2,0,0
実施した場所,児童通所サービス（放課後等デイサービス等）,71,55,10,2,4
実施した場所,医療機関（病院やリハビリ施設）,6,5,1,0,0
実施した場所,山・川・海・空,59,48,9,0,2
実施した場所,その他,4,1,2,1,0
実施した場所,わからない,5,0,1,0,4
一緒に実施する人,一人,73,48,19,3,3
一緒に実施する人,家族,204,128,55,13,8
一緒に実施する人,福祉施設の職員・仲間,38,30,6,1,1
一緒に実施する人,障害がある人のサークル・障害者スポーツサークル等の仲間,33,27,4,2,0
一緒に実施する人,障害がある人やない人など様々な人がいるサークルの仲間,30,22,6,1,1
一緒に実施する人,スポーツ教室の指導者・仲間,65,46,19,0,0
一緒に実施する人,障害者専用スポーツ施設の職員・仲間,24,18,6,0,0
一緒に実施する人,地域の公共スポーツ施設の職員・仲間,20,16,4,0,0
一緒に実施する人,ボランティアの人たち,14,12,1,0,1
一緒に実施する人,学校の先生や学校の友達,134,107,24,1,2
一緒に実施する人,児童通所サービス（放課後等デイサービス等）の職員・仲間,75,57,12,2,4
一緒に実施する人,その他の友人・知人,29,21,8,0,0
一緒に実施する人,その他,3,1,2,0,0
一緒に実施する人,わからない,6,1,1,1,3
実施した理由,健康・体力づくりのため,256,171,64,11,10
実施した理由,楽しみや気晴らしのため,206,151,43,9,3
実施した理由,運動不足解消のため,187,124,52,7,4
実施した理由,精神の修養や訓練のため（心をきたえるため）,61,39,19,3,0
実施した理由,自己の記録や能力を向上させるため,59,45,11,2,1
実施した理由,リハビリテーションや医療・治療のため,37,25,9,3,0
実施した理由,家族のふれあいのため,69,46,16,5,2
実施した理由,友人・仲間との交流のため,111,90,19,1,1
実施した理由,美容や肥満解消（ダイエット）のため,25,13,11,1,0
実施した理由,障害者スポーツ大会に参加するため,9,7,1,1,0
実施した理由,その他,12,6,6,0,0
実施した理由,わからない,8,1,2,1,4
実施したきっかけ,家族に奨められた,108,64,33,6,5
実施したきっかけ,（障害のある）友人・知人・同僚に奨められた,28,23,5,0,0
実施したきっかけ,（障害のない）友人・知人・同僚に奨められた,23,14,8,1,0
実施したきっかけ,医師に奨められた,49,32,11,4,2
実施したきっかけ,看護師に奨められた,22,13,5,3,1
実施したきっかけ,作業療法士（OT）に奨められた,28,22,4,2,0
実施したきっかけ,理学療法士（PT）に奨められた,20,13,6,1,0
実施したきっかけ,言語聴覚士（ST）に奨められた,18,15,2,1,0
実施したきっかけ,視能訓練士（CO）に奨められた,7,5,2,0,0
実施したきっかけ,義肢装具士に奨められた,5,3,1,1,0
実施したきっかけ,介護福祉士に奨められた,11,11,0,0,0
実施したきっかけ,社会福祉士（ソーシャルワーカー）に奨められた,12,9,3,0,0
実施したきっかけ,スポーツ指導者に奨められた,7,6,1,0,0
実施したきっかけ,パラスポーツ指導員（旧障害者スポーツ指導員）に奨められた,10,7,3,0,0
実施したきっかけ,学校の先生に奨められた,46,36,8,2,0
実施したきっかけ,学校の授業等で興味を持ち、自主的に始めた,49,41,7,0,1
実施したきっかけ,所属する団体（会社等）に奨められた,7,5,2,0,0
実施したきっかけ,障害のある有名選手・パラアスリートの影響,4,4,0,0,0
実施したきっかけ,障害のない有名選手・アスリートの影響,3,3,0,0,0
実施したきっかけ,テレビや新聞の影響,7,6,1,0,0
実施したきっかけ,インターネットや動画配信を見て,13,10,2,1,0
実施したきっかけ,ＳＮＳの影響,5,3,2,0,0
実施したきっかけ,漫画、ドラマ、映画等の影響,9,6,3,0,0
実施したきっかけ,現地やテレビ等でそのスポーツを観た,6,6,0,0,0
実施したきっかけ,スポーツ団体等の関係者から誘われた,4,4,0,0,0
実施したきっかけ,スポーツイベントや体験会等で興味を持った,11,9,2,0,0
実施したきっかけ,スポーツ以外をテーマとするイベント（福祉祭り等の中の講演や体験会等）で興味を持った,1,1,0,0,0
実施したきっかけ,福祉施設で実施している運動プログラムに参加して,15,14,1,0,0
実施したきっかけ,行政の広報誌,2,2,0,0,0
実施したきっかけ,その他,16,8,8,0,0
実施したきっかけ,特にきっかけはない・なんとなく,111,67,29,6,9
スポーツ・運動への取組意向,スポーツや運動を行っており、満足している,183,137,35,4,7
スポーツ・運動への取組意向,スポーツや運動を行っているが、もっと行いたい,120,80,34,3,3
スポーツ・運動への取組意向,スポーツや運動を行いたいと思うができない,88,37,32,14,5
スポーツ・運動への取組意向,スポーツや運動に関心はない,113,25,45,21,22
実施していない理由,医師に止められており、身体的にできない,5,0,3,2,0
実施していない理由,どのくらい体を動かしたらよいかわからない,7,3,2,1,1
実施していない理由,身近なところにスポーツや運動ができる場所がない,12,10,2,0,0
実施していない理由,スポーツや運動ができる場所への移動手段がない,2,2,0,0,0
実施していない理由,自分に合ったスポーツや運動の情報がない,14,5,5,3,1
実施していない理由,一緒にできる仲間がいない,23,9,8,5,1
実施していない理由,介助者がいない,16,12,1,3,0
実施していない理由,金銭的な余裕がない,11,6,4,0,1
実施していない理由,時間がない,11,6,4,1,0
実施していない理由,必要な競技用具や補助具がない,4,3,0,1,0
実施していない理由,その他,1,1,0,0,0
実施していない理由,活動したいと思わない,59,12,21,10,16
活動したいと思わない理由,スポーツ・運動が嫌いだから,14,2,7,4,1
活動したいと思わない理由,スポーツ・運動に興味がないから,20,6,9,3,2
活動したいと思わない理由,スポーツ・運動を楽しんだ経験がないから,3,1,1,1,0
活動したいと思わない理由,疲れるから,13,3,4,5,1
活動したいと思わない理由,人前に出るのが好きではないから,6,2,2,2,0
活動したいと思わない理由,学校の体育や部活動等で苦手意識を持ったから,4,0,2,2,0
活動したいと思わない理由,一緒に運動・スポーツする人に迷惑をかけるのではないかと心配だから,2,0,2,0,0
活動したいと思わない理由,スポーツ以外に趣味があるから,7,1,5,1,0
活動したいと思わない理由,忙しいから,2,2,0,0,0
活動したいと思わない理由,その他,1,1,0,0,0
活動したいと思わない理由,わからない,23,4,4,2,13
学校体育に参加しない理由,授業の内容のとおりに身体を動かすことができないから,9,0,0,9,0
学校体育に参加しない理由,自分にはできないと思ったから,12,0,0,12,0
学校体育に参加しない理由,他の生徒や先生に迷惑をかけると思ったから,6,0,0,6,0
学校体育に参加しない理由,参加するために必要なスポーツ用具がなかったから,1,0,0,1,0
学校体育に参加しない理由,医師から止められていたから,1,0,0,1,0
学校体育に参加しない理由,学校の先生から見学するように言われたから,3,0,0,3,0
学校体育に参加しない理由,身体を動かすことが怖いから,5,0,0,5,0
学校体育に参加しない理由,その他,12,0,0,12,0
スポーツ・運動の参加方法,現地の会場で対面での参加,320,224,86,5,5
スポーツ・運動の参加方法,リモート参加,22,7,11,3,1
スポーツ・運動の参加方法,ハイブリッド（現地参加とリモート参加の両方から選択できる）,50,22,18,9,1
スポーツ・運動の参加方法,参加したいと思わない,112,26,31,25,30
参加したいスポーツ活動,ルールが簡単,240,152,67,11,10
参加したいスポーツ活動,自分のペースに合わせてできる,286,176,85,19,6
参加したいスポーツ活動,汗をかかない,19,11,6,2,0
参加したいスポーツ活動,自宅で実施できる,58,29,18,10,1
参加したいスポーツ活動,短い時間で実施できる,94,53,31,6,4
参加したいスポーツ活動,上達したことが分かる,113,82,27,3,1
参加したいスポーツ活動,ゲーム機を使い体を動かして行なうスポーツ・フィットネス等,59,29,26,4,0
参加したいスポーツ活動,好きな種目を選べる,125,83,36,5,1
参加したいスポーツ活動,やったことがないスポーツを試せる,54,44,6,3,1
参加したいスポーツ活動,予約や申し込みなしに、参加したいときに参加できる,71,52,16,1,2
参加したいスポーツ活動,有名な選手に会える,31,23,6,1,1
参加したいスポーツ活動,親子で一緒に参加ができる,80,56,12,7,5
参加したいスポーツ活動,新しい友達をつくることができる,87,69,15,2,1
参加したいスポーツ活動,スポーツ以外に芸術・文化的なパフォーマンスも楽しめる,31,22,9,0,0
参加したいスポーツ活動,失敗しても笑われたり恥ずかしい思いをしない,108,67,33,7,1
参加したいスポーツ活動,新しい道具やウェアを買わなくてよい,53,38,11,2,2
参加したいスポーツ活動,その他,8,6,1,0,1
参加したいスポーツ活動,どのようなスポーツや運動でも参加したいと思わない,47,9,10,12,16
スポーツ・運動の継続実施に必要なもの,スタジアム、体育館などの建物や設備のバリアフリー化,66,48,9,5,4
スポーツ・運動の継続実施に必要なもの,交通機関（電車やバス）やまちのバリアフリー化,57,39,13,3,2
スポーツ・運動の継続実施に必要なもの,会場までの送迎,91,64,18,5,4
スポーツ・運動の継続実施に必要なもの,障害者への施設開放の促進（障害者が優先的に使える施設が増える）,77,50,19,4,4
スポーツ・運動の継続実施に必要なもの,障害にあわせた教室やプログラム,133,96,30,5,2
スポーツ・運動の継続実施に必要なもの,介助者や手話通訳などの支援,42,26,12,2,2
スポーツ・運動の継続実施に必要なもの,障害に対応した情報の提供や問合せ方法の充実,52,39,10,2,1
スポーツ・運動の継続実施に必要なもの,施設や用具等を利用する際に必要な手続きの支援,38,29,5,2,2
スポーツ・運動の継続実施に必要なもの,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進,27,21,1,1,4
スポーツ・運動の継続実施に必要なもの,健康や体調を管理する医療的なサポート,35,22,10,1,2
スポーツ・運動の継続実施に必要なもの,目標となる大会やイベント,49,36,13,0,0
スポーツ・運動の継続実施に必要なもの,スポーツ用具等の貸出し,49,38,9,1,1
スポーツ・運動の継続実施に必要なもの,施設の利用料減免　（利用料が安くなったり、無料になったりする）,66,53,11,1,1
スポーツ・運動の継続実施に必要なもの,リモートにより、障害に応じたスポーツ・運動を指導してくれる支援、またはその充実,15,9,4,1,1
スポーツ・運動の継続実施に必要なもの,自宅でもできる、障害に応じたスポーツ・運動方法についての情報提供、またはその充実,38,27,9,1,1
スポーツ・運動の継続実施に必要なもの,一緒に行う仲間（障害の無い人）,103,72,24,3,4
スポーツ・運動の継続実施に必要なもの,一緒に行う仲間（自分と同じ障害のある人）,89,66,18,2,3
スポーツ・運動の継続実施に必要なもの,一緒に行う仲間（自分と異なる障害のある人）,55,45,7,1,2
スポーツ・運動の継続実施に必要なもの,適切な指導者やコーチ、トレーナー,103,75,23,4,1
スポーツ・運動の継続実施に必要なもの,その他,7,5,2,0,0
スポーツ・運動の継続実施に必要なもの,特にない,29,18,6,2,3
スポーツ・運動の継続実施に必要なもの,わからない,28,10,10,3,5
新たに別のスポーツ・運動を始めるために必要な支援,スタジアム、体育館などの建物や設備のバリアフリー化,39,29,4,3,3
新たに別のスポーツ・運動を始めるために必要な支援,交通機関（電車やバス）やまちのバリアフリー化,34,16,13,2,3
新たに別のスポーツ・運動を始めるために必要な支援,会場までの送迎,76,51,21,3,1
新たに別のスポーツ・運動を始めるために必要な支援,障害者への施設開放の促進（障害者が優先的に使える施設が増える）,44,29,10,3,2
新たに別のスポーツ・運動を始めるために必要な支援,障害にあわせた教室やプログラム,112,73,31,7,1
新たに別のスポーツ・運動を始めるために必要な支援,介助者や手話通訳などの支援,21,14,6,1,0
新たに別のスポーツ・運動を始めるために必要な支援,障害に対応した情報の提供や問合せ方法の充実,28,21,7,0,0
新たに別のスポーツ・運動を始めるために必要な支援,施設や用具等を利用する際に必要な手続きの支援,17,11,6,0,0
新たに別のスポーツ・運動を始めるために必要な支援,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進,18,10,4,1,3
新たに別のスポーツ・運動を始めるために必要な支援,健康や体調を管理する医療的なサポート,21,14,7,0,0
新たに別のスポーツ・運動を始めるために必要な支援,目標となる大会やイベント,25,17,6,2,0
新たに別のスポーツ・運動を始めるために必要な支援,スポーツ用具等の貸出し,21,14,7,0,0
新たに別のスポーツ・運動を始めるために必要な支援,施設の利用料減免（利用料が安くなったり、無料になったりする）,37,30,7,0,0
新たに別のスポーツ・運動を始めるために必要な支援,リモートにより、障害に応じたスポーツ・運動を指導してくれる支援、またはその充実,11,4,6,1,0
新たに別のスポーツ・運動を始めるために必要な支援,自宅でもできる、障害に応じたスポーツ・運動方法についての情報提供、またはその充実,14,10,3,1,0
新たに別のスポーツ・運動を始めるために必要な支援,一緒に行う仲間（障害の無い人）,47,31,12,2,2
新たに別のスポーツ・運動を始めるために必要な支援,一緒に行う仲間（自分と同じ障害のある人）,50,33,14,2,1
新たに別のスポーツ・運動を始めるために必要な支援,一緒に行う仲間（自分と異なる障害のある人）,13,10,2,1,0
新たに別のスポーツ・運動を始めるために必要な支援,適切な指導者やコーチ、トレーナー,91,62,25,2,2
新たに別のスポーツ・運動を始めるために必要な支援,その他,5,4,1,0,0
新たに別のスポーツ・運動を始めるために必要な支援,特にない,35,22,9,2,2
新たに別のスポーツ・運動を始めるために必要な支援,わからない,33,14,9,3,7
スポーツを始めるきっかけとして必要な支援,スタジアム、体育館などの建物や設備のバリアフリー化,8,5,1,1,1
スポーツを始めるきっかけとして必要な支援,交通機関（電車やバス）やまちのバリアフリー化,5,2,2,1,0
スポーツを始めるきっかけとして必要な支援,会場までの送迎,17,5,8,3,1
スポーツを始めるきっかけとして必要な支援,障害者への施設開放の促進（障害者が優先的に使える施設が増える）,9,5,3,0,1
スポーツを始めるきっかけとして必要な支援,障害にあわせた教室やプログラム,25,9,9,5,2
スポーツを始めるきっかけとして必要な支援,介助者や手話通訳などの支援,5,3,1,1,0
スポーツを始めるきっかけとして必要な支援,障害に対応した情報の提供や問合せ方法の充実,8,1,4,0,3
スポーツを始めるきっかけとして必要な支援,施設や用具等を利用する際に必要な手続きの支援,6,2,0,2,2
スポーツを始めるきっかけとして必要な支援,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進,2,1,1,0,0
スポーツを始めるきっかけとして必要な支援,健康や体調を管理する医療的なサポート,4,1,2,1,0
スポーツを始めるきっかけとして必要な支援,目標となる大会やイベント,3,2,1,0,0
スポーツを始めるきっかけとして必要な支援,スポーツ用具等の貸出し,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,施設の利用料減免（利用料が安くなったり、無料になったりする）,4,3,1,0,0
スポーツを始めるきっかけとして必要な支援,リモートにより、障害に応じたスポーツ・運動を指導してくれる支援、またはその充実,2,0,0,2,0
スポーツを始めるきっかけとして必要な支援,自宅でもできる、障害に応じたスポーツ・運動方法についての情報提供、またはその充実,3,0,2,1,0
スポーツを始めるきっかけとして必要な支援,一緒に行う仲間（障害の無い人）,13,3,8,1,1
スポーツを始めるきっかけとして必要な支援,一緒に行う仲間（自分と同じ障害のある人）,16,5,8,2,1
スポーツを始めるきっかけとして必要な支援,一緒に行う仲間（自分と異なる障害のある人）,4,0,2,0,2
スポーツを始めるきっかけとして必要な支援,適切な指導者やコーチ、トレーナー,16,7,7,2,0
スポーツを始めるきっかけとして必要な支援,その他,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,特にない,19,5,5,5,4
スポーツを始めるきっかけとして必要な支援,わからない,30,10,5,5,10
スポーツ以外に関心のある事,旅行,162,105,44,10,3
スポーツ以外に関心のある事,グルメ・食べ歩き,166,103,52,8,3
スポーツ以外に関心のある事,買い物・ショッピング,93,59,28,6,0
スポーツ以外に関心のある事,テレビ視聴,160,100,47,10,3
スポーツ以外に関心のある事,動画配信サービス視聴,235,139,78,13,5
スポーツ以外に関心のある事,ＣＤやスマートフォンによる音楽鑑賞,91,51,32,5,3
スポーツ以外に関心のある事,ＳＮＳ閲覧・投稿,71,39,27,4,1
スポーツ以外に関心のある事,インターネット閲覧,133,72,44,13,4
スポーツ以外に関心のある事,映画鑑賞,93,53,31,6,3
スポーツ以外に関心のある事,読書,51,33,14,2,2
スポーツ以外に関心のある事,アニメ／漫画,155,94,45,13,3
スポーツ以外に関心のある事,スマートフォン・家庭用ゲーム機によるゲーム,190,108,62,16,4
スポーツ以外に関心のある事,写真の撮影,65,39,20,5,1
スポーツ以外に関心のある事,遊園地・動物園・水族館などの見物,111,81,26,4,0
スポーツ以外に関心のある事,美術鑑賞,21,12,9,0,0
スポーツ以外に関心のある事,コンサートなどによる音楽鑑賞,31,19,8,2,2
スポーツ以外に関心のある事,演劇・舞踏鑑賞,16,11,3,2,0
スポーツ以外に関心のある事,カラオケ,63,36,25,1,1
スポーツ以外に関心のある事,楽器の演奏,34,25,8,1,0
スポーツ以外に関心のある事,料理・菓子作り,54,28,18,7,1
スポーツ以外に関心のある事,園芸・ガーデニング,13,6,5,1,1
スポーツ以外に関心のある事,日曜大工,8,6,2,0,0
スポーツ以外に関心のある事,編み物・手芸,10,7,2,0,1
スポーツ以外に関心のある事,和裁・洋裁,3,1,2,0,0
スポーツ以外に関心のある事,大道芸や手品等の鑑賞,10,9,1,0,0
スポーツ以外に関心のある事,ギャンブル,1,1,0,0,0
スポーツ以外に関心のある事,その他,13,10,1,2,0
スポーツ以外に関心のある事,特にない,31,8,4,5,14
情報入手先,家族,323,191,91,23,18
情報入手先,友人,192,128,55,5,4
情報入手先,学校や職場、施設の人,223,149,59,5,10
情報入手先,ボランティア,25,14,7,4,0
情報入手先,ホームヘルパー、ガイドヘルパーなどの支援者,30,23,5,1,1
情報入手先,医師や看護師、理学療法士、作業療法士などの医療関係者,41,25,11,2,3
情報入手先,テレビ,172,96,58,12,6
情報入手先,ラジオ,20,13,6,1,0
情報入手先,新聞,18,14,3,1,0
情報入手先,雑誌,20,14,5,1,0
情報入手先,障害者団体の会合や機関誌,14,12,0,2,0
情報入手先,検索エンジンを活用（Yahoo!、Googleなど）,74,43,27,4,0
情報入手先,インターネットのニュースサイトやニュースアプリ,110,59,38,12,1
情報入手先,ＳＮＳ（X（旧Twitter）、Facebook、Instagram、TikTokなど）,111,57,43,7,4
情報入手先,動画配信サービス（YouTubeなど）,178,107,55,14,2
情報入手先,行政の窓口,14,11,2,0,1
情報入手先,区市町村などの広報誌,10,8,2,0,0
