調査項目,回答,全体(人),一人(人),家族(人),福祉施設の職員・仲間(人),障害がある人のサークル・障害者スポーツサークル等の仲間(人),障害がある人やない人など様々な人がいるサークルの仲間(人),スポーツ教室の指導者・仲間(人),障害者専用スポーツ施設の職員・仲間(人),地域の公共スポーツ施設の職員・仲間(人),ボランティアの人たち(人),学校の先生や学校の友達(人),児童通所サービス（放課後等デイサービス等）の職員・仲間(人),その他の友人・知人(人),その他(人),わからない(人)
放課後の居場所,学校（校庭や体育館）,34,11,16,5,1,3,8,4,2,2,24,6,5,0,0
放課後の居場所,児童館や図書館などの公共施設,14,7,13,3,1,3,5,3,2,2,9,6,4,0,0
放課後の居場所,その他,7,0,2,1,1,1,2,0,0,0,6,0,1,0,0
障害福祉サービスの利用状況,利用していない,1380,894,476,31,22,39,80,7,15,11,69,6,106,15,29
障害福祉サービスの利用状況,居宅介護（ホームヘルプ）,134,55,52,33,17,13,11,11,6,11,8,5,8,5,4
障害福祉サービスの利用状況,重度訪問介護,14,4,5,5,2,3,1,1,0,2,1,0,2,0,0
障害福祉サービスの利用状況,同行援護,49,12,19,16,12,9,7,7,2,10,3,2,3,1,0
障害福祉サービスの利用状況,行動援護,65,12,24,19,9,9,10,13,4,10,4,8,5,0,0
障害福祉サービスの利用状況,重度障害者等包括支援,24,3,4,4,4,8,4,4,1,1,0,2,1,0,0
障害福祉サービスの利用状況,短期入所（ショートステイ）,72,10,33,23,12,14,11,10,3,10,9,10,1,2,1
障害福祉サービスの利用状況,療養介護,21,5,12,7,4,6,2,6,1,3,1,2,2,0,0
障害福祉サービスの利用状況,生活介護,47,14,19,20,5,7,4,5,1,2,2,1,3,1,0
障害福祉サービスの利用状況,施設入所支援,19,1,8,11,2,5,2,3,2,2,2,0,1,0,1
障害福祉サービスの利用状況,自立訓練,47,20,14,18,5,3,10,4,2,5,2,5,0,1,1
障害福祉サービスの利用状況,就労移行支援,37,24,12,5,5,6,4,4,3,3,3,1,0,1,0
障害福祉サービスの利用状況,就労継続支援（A型）,21,9,6,3,5,5,4,4,3,1,1,1,0,0,0
障害福祉サービスの利用状況,就労継続支援（B型）,63,36,23,8,6,4,5,4,1,7,0,1,2,0,0
障害福祉サービスの利用状況,就労定着支援,14,8,6,2,2,2,2,1,2,2,0,0,2,0,0
障害福祉サービスの利用状況,自立生活援助,35,16,12,12,2,4,1,3,5,2,3,0,4,1,0
障害福祉サービスの利用状況,共同生活援助（グループホーム）,19,4,10,7,2,2,1,2,0,3,0,2,1,0,1
障害福祉サービスの利用状況,計画相談支援,41,17,19,11,10,8,5,5,5,5,5,8,5,2,1
障害福祉サービスの利用状況,地域相談支援,41,20,17,15,10,11,5,6,4,7,4,2,2,1,0
障害福祉サービスの利用状況,移動支援,54,21,28,11,9,8,4,7,4,10,4,5,3,4,0
障害福祉サービスの利用状況,地域活動支援センター,60,26,28,20,9,6,3,6,2,5,4,2,2,2,1
障害福祉サービスの利用状況,福祉ホーム,17,3,4,13,7,4,4,3,1,6,2,4,0,0,0
障害福祉サービスの利用状況,児童発達支援,48,7,26,8,5,7,10,4,4,5,24,21,4,0,0
障害福祉サービスの利用状況,医療型児童発達支援,10,5,5,1,2,3,1,1,1,1,2,1,1,0,0
障害福祉サービスの利用状況,放課後等デイサービス,143,17,78,22,13,10,21,12,10,6,56,65,5,6,1
障害福祉サービスの利用状況,居宅訪問型児童発達支援,8,1,3,4,3,0,4,4,3,2,2,1,0,0,1
障害福祉サービスの利用状況,保育所等訪問支援,4,0,1,0,0,2,3,1,1,0,1,1,1,0,0
障害福祉サービスの利用状況,訪問看護,74,39,23,19,0,1,2,0,2,0,2,6,9,11,0
障害福祉サービスの利用状況,訪問リハビリテーション,76,43,25,28,3,2,2,2,3,5,4,3,4,4,1
過去1年間の実施種目,ウォーキング、散歩（散策、ペットの散歩など）,1595,976,650,130,50,52,75,28,26,34,83,50,99,24,32
過去1年間の実施種目,体操（ラジオ体操、職場体操、ストレッチ、エアロビクス、ヨガ、ピラティス、縄跳びなど）,531,314,198,82,33,38,61,22,20,19,58,40,46,15,3
過去1年間の実施種目,室内運動器具（ウエイト器具、ランニングマシーン、バランスボールなど）を用いる運動,285,175,79,36,19,35,31,21,13,12,28,19,29,12,3
過去1年間の実施種目,陸上競技（ランニング、ジョギングなどの軽い運動も含めます）,170,74,68,16,15,17,31,11,12,9,50,20,22,1,3
過去1年間の実施種目,水泳・遊泳（水中歩行・水中運動）,293,109,144,27,32,28,59,21,16,19,66,31,34,1,0
過去1年間の実施種目,ブラインドサッカー,24,6,4,6,7,8,4,5,5,3,5,1,1,0,1
過去1年間の実施種目,車いすテニス,15,6,4,6,5,4,3,4,3,5,3,2,1,0,1
過去1年間の実施種目,サウンドテーブルテニス,26,4,7,11,7,10,10,8,6,5,6,5,0,0,0
過去1年間の実施種目,パラバレーボール,26,4,6,5,7,9,9,6,9,4,8,1,0,0,1
過去1年間の実施種目,車いすバスケットボール,19,6,5,5,4,8,5,5,5,3,3,2,1,0,0
過去1年間の実施種目,車いすラグビー,13,0,2,2,3,7,5,4,4,3,1,1,0,0,0
過去1年間の実施種目,ボッチャ,50,10,23,13,12,11,11,8,3,5,24,17,5,2,0
過去1年間の実施種目,球技（キャッチボールなどのボールを使った軽い運動も含めます）,124,37,53,17,14,18,23,8,17,6,46,20,29,3,2
過去1年間の実施種目,ダンス（フォークダンス、ジャズダンス、社交ダンス、フラダンス、バレエ、民謡踊りなど）,94,32,45,11,13,16,25,7,5,5,29,19,11,2,0
過去1年間の実施種目,格闘技（ボクシング、レスリング、相撲（すもう）など）,19,8,8,3,3,8,8,2,3,3,3,0,3,1,0
過去1年間の実施種目,武道（柔道、剣道、空手、合気道など）,24,7,6,4,4,9,7,4,4,3,8,3,5,0,0
過去1年間の実施種目,射的（弓道、アーチェリー、ダーツ、スポーツ吹矢など）,15,7,4,2,4,7,4,4,3,3,2,0,2,0,1
過去1年間の実施種目,ウィンタースポーツ（スキー、スノーボード、スケートなど）,47,12,29,4,3,4,9,5,4,4,11,3,14,0,0
過去1年間の実施種目,ウォータースポーツ（ボート、ヨット、スキンダイビング、スクーバダイビング、カヌー、水上バイク、サーフィン、ウィンドサーフィン、ボディボード、ボードセーリングなど）,38,17,12,11,5,12,2,8,6,4,6,4,8,1,0
過去1年間の実施種目,スカイスポーツ（ハンググライダー、パラグライダー、スカイダイビングなど）,13,3,4,5,2,5,5,5,1,4,1,3,0,0,0
過去1年間の実施種目,アウトドアスポーツ（ハイキング、ワンダーフォーゲル、釣り、登山、キャンプなど）,105,55,61,8,5,11,18,6,8,4,20,8,29,1,0
過去1年間の実施種目,サイクリング、モーター（サイクル）スポーツ,114,77,50,9,10,8,12,7,6,7,17,5,20,0,1
過去1年間の実施種目,運動あそび（鬼ごっこ、かくれんぼ、鉄棒、ぶらんこなど）,134,30,99,19,10,8,27,7,5,6,62,49,23,2,0
過去1年間の実施種目,ゲーム機を使い体を動かして行うスポーツ・フィットネス等,79,41,51,8,2,3,8,3,3,1,15,8,12,0,1
過去1年間の実施種目,その他,53,17,12,8,4,5,4,3,2,1,8,2,10,5,3
過去1年間の実施種目,この1年間に運動・スポーツは行わなかった,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
実施頻度（1年間）,週3日以上（年151日以上）,604,433,182,44,20,27,38,12,13,8,53,20,34,13,0
実施頻度（1年間）,週2日程度（年101日～150日）,429,215,179,48,29,31,48,21,17,21,49,34,23,5,2
実施頻度（1年間）,週1日程度（年51日～100日）,506,234,186,49,26,25,42,14,11,14,26,13,33,11,5
実施頻度（1年間）,月に1～3日程度（年12日～50日）,280,127,118,22,10,19,15,8,4,8,10,13,29,3,1
実施頻度（1年間）,3か月に1～2日程度（年4日～11日）,75,30,34,5,4,3,3,3,2,1,4,1,12,0,2
実施頻度（1年間）,年に1～3日程度,52,22,18,3,1,1,2,2,1,1,2,2,3,1,2
実施頻度（1年間）,わからない,145,72,45,3,1,1,3,1,0,1,6,3,3,2,28
実施した場所,自宅,829,561,363,82,21,35,37,21,18,19,50,29,61,19,4
実施した場所,道路や遊歩道,1083,749,458,76,30,30,40,17,13,22,45,28,68,17,4
実施した場所,広場や公園,633,348,343,55,29,40,46,18,16,26,65,32,70,9,2
実施した場所,民間のスポーツ施設,314,140,105,32,32,36,81,24,13,15,36,19,44,2,1
実施した場所,公共のスポーツ施設（障害者専用施設）,130,29,51,36,43,38,28,29,18,16,12,9,4,0,0
実施した場所,公共のスポーツ施設（障害者専用施設以外）,241,102,95,23,24,40,56,17,20,17,32,15,37,3,1
実施した場所,小中高校の体育施設,128,28,60,10,13,17,37,9,10,10,70,19,20,1,1
実施した場所,特別支援学校の体育施設,85,9,35,18,19,20,14,14,10,10,46,26,1,0,0
実施した場所,職場のスポーツ施設,35,10,10,9,8,14,9,9,11,5,3,2,3,0,0
実施した場所,福祉施設,64,17,25,44,15,8,8,8,6,11,6,5,4,1,0
実施した場所,児童通所サービス（放課後等デイサービス等）,87,11,48,18,9,9,18,8,6,4,38,68,6,3,2
実施した場所,医療機関（病院やリハビリ施設）,68,33,30,28,6,3,7,5,3,6,5,4,5,11,0
実施した場所,山・川・海・空,171,84,119,11,6,11,23,4,7,5,35,18,45,2,0
実施した場所,その他,44,21,17,7,1,2,3,2,0,0,1,1,5,10,1
実施した場所,わからない,47,9,6,2,0,0,1,0,0,0,0,0,2,0,30
実施した理由,健康・体力づくりのため,1503,917,588,125,48,59,99,25,26,36,108,63,103,22,3
実施した理由,楽しみや気晴らしのため,890,451,419,93,50,50,83,23,24,30,95,50,88,13,1
実施した理由,運動不足解消のため,1109,673,451,100,41,56,72,32,24,31,79,52,90,25,1
実施した理由,精神の修養や訓練のため（心をきたえるため）,240,123,88,28,24,35,28,21,11,13,20,15,16,3,0
実施した理由,自己の記録や能力を向上させるため,182,84,59,24,26,31,39,14,16,18,28,16,19,0,0
実施した理由,リハビリテーションや医療・治療のため,340,194,126,67,28,31,32,23,16,17,13,14,26,19,1
実施した理由,家族のふれあいのため,154,48,154,16,11,10,18,6,6,6,36,20,20,2,0
実施した理由,友人・仲間との交流のため,254,89,115,37,25,40,49,22,20,22,68,33,70,4,0
実施した理由,美容や肥満解消（ダイエット）のため,217,161,71,13,5,11,25,6,10,12,9,7,24,5,0
実施した理由,障害者スポーツ大会に参加するため,17,6,5,2,7,4,4,4,3,4,7,2,3,0,0
実施した理由,その他,36,18,9,2,1,2,4,1,0,0,10,2,5,3,1
実施した理由,わからない,61,18,7,0,1,1,1,0,0,0,0,1,1,0,36
実施したきっかけ,家族に奨められた,561,278,336,52,24,29,52,12,13,21,35,19,28,7,4
実施したきっかけ,（障害のある）友人・知人・同僚に奨められた,101,33,55,28,27,19,19,14,8,9,13,7,8,0,0
実施したきっかけ,（障害のない）友人・知人・同僚に奨められた,119,52,43,19,14,22,24,6,13,11,10,2,34,2,1
実施したきっかけ,医師に奨められた,500,302,196,74,21,28,28,20,9,17,16,15,26,15,2
実施したきっかけ,看護師に奨められた,114,43,42,29,18,22,14,14,9,8,7,6,6,6,0
実施したきっかけ,作業療法士（OT）に奨められた,100,36,46,27,14,17,16,11,5,10,8,13,4,5,1
実施したきっかけ,理学療法士（PT）に奨められた,128,57,44,34,11,20,13,17,7,8,10,13,4,9,1
実施したきっかけ,言語聴覚士（ST）に奨められた,39,3,11,15,10,16,9,9,11,9,8,6,1,1,0
実施したきっかけ,視能訓練士（CO）に奨められた,21,2,6,3,3,6,8,9,5,6,0,1,0,0,0
実施したきっかけ,義肢装具士に奨められた,15,4,1,6,3,8,2,5,7,2,5,1,0,0,0
実施したきっかけ,介護福祉士に奨められた,43,12,18,20,9,8,9,10,8,6,5,4,1,4,1
実施したきっかけ,社会福祉士（ソーシャルワーカー）に奨められた,49,13,18,16,11,6,10,8,7,11,4,5,1,2,0
実施したきっかけ,スポーツ指導者に奨められた,20,4,5,5,7,7,12,4,6,7,2,1,2,0,0
実施したきっかけ,パラスポーツ指導員（旧障害者スポーツ指導員）に奨められた,19,2,5,5,3,10,8,7,7,6,6,3,0,0,0
実施したきっかけ,学校の先生に奨められた,57,9,32,12,7,8,11,7,6,4,32,10,3,0,0
実施したきっかけ,学校の授業等で興味を持ち、自主的に始めた,64,21,32,6,7,8,11,4,4,4,39,16,9,1,0
実施したきっかけ,所属する団体（会社等）に奨められた,17,4,5,8,5,4,6,4,5,2,2,4,2,0,0
実施したきっかけ,障害のある有名選手・パラアスリートの影響,14,4,8,2,3,5,3,4,4,2,1,0,2,0,0
実施したきっかけ,障害のない有名選手・アスリートの影響,13,6,4,2,4,2,5,3,0,2,1,1,4,0,0
実施したきっかけ,テレビや新聞の影響,66,44,27,12,5,6,7,6,4,6,3,3,8,1,0
実施したきっかけ,インターネットや動画配信を見て,81,57,33,5,5,5,9,3,2,3,6,3,9,3,0
実施したきっかけ,ＳＮＳの影響,40,32,16,8,3,3,3,3,1,4,2,2,4,0,0
実施したきっかけ,漫画、ドラマ、映画等の影響,20,9,8,2,1,1,3,1,2,2,3,1,8,1,0
実施したきっかけ,現地やテレビ等でそのスポーツを観た,22,13,7,4,3,2,6,3,4,5,2,1,8,0,0
実施したきっかけ,スポーツ団体等の関係者から誘われた,11,3,4,2,3,2,7,2,4,2,1,2,4,0,0
実施したきっかけ,スポーツイベントや体験会等で興味を持った,18,6,10,3,4,2,8,4,3,2,4,5,6,0,0
実施したきっかけ,スポーツ以外をテーマとするイベント（福祉祭り等の中の講演や体験会等）で興味を持った,6,2,3,1,0,0,3,0,1,0,1,1,2,0,1
実施したきっかけ,福祉施設で実施している運動プログラムに参加して,36,8,18,23,4,0,5,7,3,4,10,12,1,1,0
実施したきっかけ,行政の広報誌,15,7,5,4,2,1,5,2,1,1,1,1,1,1,0
実施したきっかけ,その他,89,54,21,4,2,3,14,0,1,2,8,3,7,13,3
実施したきっかけ,特にきっかけはない・なんとなく,676,442,213,20,3,13,17,2,3,4,40,26,46,3,28
スポーツ・運動への取組意向,スポーツや運動を行っており、満足している,834,452,320,71,44,49,86,20,26,24,83,27,56,7,3
スポーツ・運動への取組意向,スポーツや運動を行っているが、もっと行いたい,578,306,215,56,32,42,38,29,17,19,40,32,41,14,3
スポーツ・運動への取組意向,スポーツや運動を行いたいと思うができない,396,230,139,34,10,11,22,9,3,7,16,18,36,8,4
スポーツ・運動への取組意向,スポーツや運動に関心はない,283,145,88,13,5,5,5,3,2,4,11,9,4,6,30
実施していない理由,医師に止められており、身体的にできない,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
実施していない理由,どのくらい体を動かしたらよいかわからない,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
実施していない理由,身近なところにスポーツや運動ができる場所がない,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
実施していない理由,スポーツや運動ができる場所への移動手段がない,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
実施していない理由,自分に合ったスポーツや運動の情報がない,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
実施していない理由,一緒にできる仲間がいない,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
実施していない理由,介助者がいない,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
実施していない理由,金銭的な余裕がない,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
実施していない理由,時間がない,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
実施していない理由,必要な競技用具や補助具がない,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
実施していない理由,その他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
実施していない理由,活動したいと思わない,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
活動したいと思わない理由,スポーツ・運動が嫌いだから,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
活動したいと思わない理由,スポーツ・運動に興味がないから,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
活動したいと思わない理由,スポーツ・運動を楽しんだ経験がないから,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
活動したいと思わない理由,疲れるから,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
活動したいと思わない理由,人前に出るのが好きではないから,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
活動したいと思わない理由,学校の体育や部活動等で苦手意識を持ったから,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
活動したいと思わない理由,一緒に運動・スポーツする人に迷惑をかけるのではないかと心配だから,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
活動したいと思わない理由,スポーツ以外に趣味があるから,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
活動したいと思わない理由,忙しいから,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
活動したいと思わない理由,その他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
活動したいと思わない理由,わからない,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
学校体育の参加状況,参加していて、体育が好きである,241,48,128,30,27,22,46,18,16,12,107,57,21,1,1
学校体育の参加状況,参加しているが、体育は好きではない,111,19,55,6,4,6,19,6,4,1,24,12,8,2,1
学校体育の参加状況,参加していない,22,3,13,1,2,1,0,0,0,0,1,2,0,0,1
学校体育の参加状況,わからない,17,3,8,1,0,1,0,0,0,1,2,4,0,0,3
学校体育に参加しない理由,授業の内容のとおりに身体を動かすことができないから,5,2,3,0,0,0,0,0,0,0,0,1,0,0,0
学校体育に参加しない理由,自分にはできないと思ったから,6,1,4,1,0,0,0,0,0,0,0,0,0,0,0
学校体育に参加しない理由,他の生徒や先生に迷惑をかけると思ったから,6,0,3,0,2,1,0,0,0,0,0,1,0,0,0
学校体育に参加しない理由,参加するために必要なスポーツ用具がなかったから,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
学校体育に参加しない理由,医師から止められていたから,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
学校体育に参加しない理由,学校の先生から見学するように言われたから,2,0,1,0,0,0,0,0,0,0,1,1,0,0,0
学校体育に参加しない理由,身体を動かすことが怖いから,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1
学校体育に参加しない理由,その他,5,0,5,0,0,0,0,0,0,0,0,1,0,0,0
スポーツ・運動の参加方法,現地の会場で対面での参加,936,425,385,104,63,70,118,36,34,40,118,59,92,13,3
スポーツ・運動の参加方法,リモート参加,110,43,38,15,9,9,11,5,5,5,3,2,2,2,1
スポーツ・運動の参加方法,ハイブリッド（現地参加とリモート参加の両方から選択できる）,195,97,78,25,12,18,12,13,7,5,14,11,12,5,1
スポーツ・運動の参加方法,参加したいと思わない,850,568,261,30,7,10,10,7,2,4,15,14,31,15,35
参加したいスポーツ活動,ルールが簡単,736,367,349,80,42,38,60,20,15,23,83,57,48,10,5
参加したいスポーツ活動,自分のペースに合わせてできる,1218,698,497,109,55,49,86,27,24,27,95,57,97,23,2
参加したいスポーツ活動,汗をかかない,110,58,37,19,13,8,10,7,5,7,5,1,5,4,1
参加したいスポーツ活動,自宅で実施できる,424,272,181,57,17,28,11,11,7,11,18,8,30,12,1
参加したいスポーツ活動,短い時間で実施できる,539,311,243,61,22,24,29,20,6,16,34,23,37,11,1
参加したいスポーツ活動,上達したことが分かる,310,158,139,28,21,30,53,17,18,14,43,25,40,6,0
参加したいスポーツ活動,ゲーム機を使い体を動かして行なうスポーツ・フィットネス等,167,77,79,18,15,19,22,15,12,13,18,14,16,2,0
参加したいスポーツ活動,好きな種目を選べる,388,208,163,36,25,30,57,22,21,12,53,22,54,8,0
参加したいスポーツ活動,やったことがないスポーツを試せる,122,58,49,11,12,21,28,9,7,10,27,12,23,2,0
参加したいスポーツ活動,予約や申し込みなしに、参加したいときに参加できる,287,176,120,22,18,25,31,16,16,18,26,23,29,2,1
参加したいスポーツ活動,有名な選手に会える,72,37,35,8,6,8,15,8,7,6,13,4,12,0,1
