調査項目,回答,　全体(人),7-17歳(人),18-19歳(人),20-29歳(人),30-39歳(人),40-49歳(人),50-59歳(人),60-69歳(人),70-120歳(人),18歳以上(人)
実施した場所,児童通所サービス（放課後等デイサービス等）,87,69,1,3,5,2,1,1,5,18
実施した場所,医療機関（病院やリハビリ施設）,68,5,1,3,5,7,10,9,28,63
実施した場所,山・川・海・空,171,58,1,10,15,28,33,15,11,113
実施した場所,その他,44,4,1,3,2,6,7,10,11,40
実施した場所,わからない,47,5,0,5,10,10,6,6,5,42
一緒に実施する人,一人,1133,68,4,106,144,182,257,195,177,1065
一緒に実施する人,家族,762,205,11,64,82,87,108,72,133,557
一緒に実施する人,福祉施設の職員・仲間,174,36,0,12,24,19,24,9,50,138
一緒に実施する人,障害がある人のサークル・障害者スポーツサークル等の仲間,91,30,2,16,12,12,7,3,9,61
一緒に実施する人,障害がある人やない人など様々な人がいるサークルの仲間,107,26,2,10,19,20,10,12,8,81
一緒に実施する人,スポーツ教室の指導者・仲間,151,66,1,10,19,9,15,12,19,85
一緒に実施する人,障害者専用スポーツ施設の職員・仲間,61,21,1,8,6,4,8,6,7,40
一緒に実施する人,地域の公共スポーツ施設の職員・仲間,48,16,0,8,5,3,3,3,10,32
一緒に実施する人,ボランティアの人たち,54,14,0,4,12,6,5,3,10,40
一緒に実施する人,学校の先生や学校の友達,150,140,2,5,2,1,0,0,0,10
一緒に実施する人,児童通所サービス（放課後等デイサービス等）の職員・仲間,86,72,2,1,3,1,0,1,6,14
一緒に実施する人,その他の友人・知人,137,26,5,16,21,18,20,17,14,111
一緒に実施する人,その他,35,3,0,2,3,3,6,10,8,32
一緒に実施する人,わからない,40,7,0,3,4,5,6,7,8,33
実施した理由,健康・体力づくりのため,1503,256,13,117,166,198,280,219,254,1247
実施した理由,楽しみや気晴らしのため,890,204,10,81,110,121,127,111,126,686
実施した理由,運動不足解消のため,1109,187,10,90,124,142,201,159,196,922
実施した理由,精神の修養や訓練のため（心をきたえるため）,240,57,4,17,40,35,38,28,21,183
実施した理由,自己の記録や能力を向上させるため,182,57,1,13,26,25,24,16,20,125
実施した理由,リハビリテーションや医療・治療のため,340,33,2,17,29,39,70,58,92,307
実施した理由,家族のふれあいのため,154,71,1,11,14,10,19,10,18,83
実施した理由,友人・仲間との交流のため,254,110,5,21,27,19,21,23,28,144
実施した理由,美容や肥満解消（ダイエット）のため,217,22,3,29,37,47,44,23,12,195
実施した理由,障害者スポーツ大会に参加するため,17,9,0,1,1,3,3,0,0,8
実施した理由,その他,36,13,0,1,5,5,8,2,2,23
実施した理由,わからない,61,8,1,9,5,11,10,9,8,53
実施したきっかけ,家族に奨められた,561,106,5,63,48,55,88,70,126,455
実施したきっかけ,（障害のある）友人・知人・同僚に奨められた,101,26,1,10,16,14,6,11,17,75
実施したきっかけ,（障害のない）友人・知人・同僚に奨められた,119,22,5,13,17,22,14,9,17,97
実施したきっかけ,医師に奨められた,500,44,5,22,47,50,118,94,120,456
実施したきっかけ,看護師に奨められた,114,19,2,4,13,15,17,14,30,95
実施したきっかけ,作業療法士（OT）に奨められた,100,27,0,3,10,13,16,12,19,73
実施したきっかけ,理学療法士（PT）に奨められた,128,20,2,5,15,14,20,22,30,108
実施したきっかけ,言語聴覚士（ST）に奨められた,39,16,0,5,6,3,2,2,5,23
実施したきっかけ,視能訓練士（CO）に奨められた,21,6,0,2,7,2,0,3,1,15
実施したきっかけ,義肢装具士に奨められた,15,4,0,2,3,1,2,1,2,11
実施したきっかけ,介護福祉士に奨められた,43,11,0,0,4,1,3,3,21,32
実施したきっかけ,社会福祉士（ソーシャルワーカー）に奨められた,49,11,0,4,4,5,6,4,15,38
実施したきっかけ,スポーツ指導者に奨められた,20,7,0,2,3,2,2,1,3,13
実施したきっかけ,パラスポーツ指導員（旧障害者スポーツ指導員）に奨められた,19,9,0,3,6,1,0,0,0,10
実施したきっかけ,学校の先生に奨められた,57,47,1,4,3,1,0,1,0,10
実施したきっかけ,学校の授業等で興味を持ち、自主的に始めた,64,51,1,5,4,3,0,0,0,13
実施したきっかけ,所属する団体（会社等）に奨められた,17,7,0,4,2,1,1,0,2,10
実施したきっかけ,障害のある有名選手・パラアスリートの影響,14,3,0,2,2,3,3,1,0,11
実施したきっかけ,障害のない有名選手・アスリートの影響,13,2,0,4,3,2,1,0,1,11
実施したきっかけ,テレビや新聞の影響,66,7,1,2,10,7,7,14,18,59
実施したきっかけ,インターネットや動画配信を見て,81,13,0,9,19,8,13,12,7,68
実施したきっかけ,ＳＮＳの影響,40,5,2,10,10,4,3,5,1,35
実施したきっかけ,漫画、ドラマ、映画等の影響,20,8,1,5,3,2,0,0,1,12
実施したきっかけ,現地やテレビ等でそのスポーツを観た,22,5,0,5,5,2,1,1,3,17
実施したきっかけ,スポーツ団体等の関係者から誘われた,11,3,0,4,3,0,0,0,1,8
実施したきっかけ,スポーツイベントや体験会等で興味を持った,18,9,0,5,1,1,1,0,1,9
実施したきっかけ,スポーツ以外をテーマとするイベント（福祉祭り等の中の講演や体験会等）で興味を持った,6,1,0,4,1,0,0,0,0,5
実施したきっかけ,福祉施設で実施している運動プログラムに参加して,36,15,0,1,3,3,4,0,10,21
実施したきっかけ,行政の広報誌,15,2,0,0,0,2,1,2,8,13
実施したきっかけ,その他,89,17,0,3,9,8,21,21,10,72
実施したきっかけ,特にきっかけはない・なんとなく,676,110,6,58,93,125,127,91,66,566
スポーツ・運動への取組意向,スポーツや運動を行っており、満足している,849,178,8,89,87,90,153,106,138,671
スポーツ・運動への取組意向,スポーツや運動を行っているが、もっと行いたい,600,121,3,47,87,94,93,80,75,479
スポーツ・運動への取組意向,スポーツや運動を行いたいと思うができない,732,83,11,43,67,81,149,132,166,649
スポーツ・運動への取組意向,スポーツや運動に関心はない,1045,125,11,94,95,112,193,136,279,920
実施していない理由,医師に止められており、身体的にできない,127,5,0,6,6,4,23,22,61,122
実施していない理由,どのくらい体を動かしたらよいかわからない,74,6,2,6,3,9,12,11,25,68
実施していない理由,身近なところにスポーツや運動ができる場所がない,61,12,2,3,7,6,15,9,7,49
実施していない理由,スポーツや運動ができる場所への移動手段がない,40,2,2,2,1,3,6,11,13,38
実施していない理由,自分に合ったスポーツや運動の情報がない,89,14,1,5,9,8,17,12,23,75
実施していない理由,一緒にできる仲間がいない,96,23,1,9,10,7,14,12,20,73
実施していない理由,介助者がいない,93,16,0,7,4,5,8,14,39,77
実施していない理由,金銭的な余裕がない,117,12,1,6,11,10,39,15,23,105
実施していない理由,時間がない,90,12,2,11,8,4,26,22,5,78
実施していない理由,必要な競技用具や補助具がない,42,4,0,1,2,2,8,5,20,38
実施していない理由,その他,87,1,1,6,4,7,12,18,38,86
実施していない理由,活動したいと思わない,666,73,4,52,60,66,123,96,192,593
活動したいと思わない理由,スポーツ・運動が嫌いだから,158,13,1,16,18,28,34,18,30,145
活動したいと思わない理由,スポーツ・運動に興味がないから,151,21,2,13,13,17,32,20,33,130
活動したいと思わない理由,スポーツ・運動を楽しんだ経験がないから,39,2,0,6,3,3,8,7,10,37
活動したいと思わない理由,疲れるから,163,13,1,8,18,19,33,26,45,150
活動したいと思わない理由,人前に出るのが好きではないから,57,7,0,7,4,6,12,9,12,50
活動したいと思わない理由,学校の体育や部活動等で苦手意識を持ったから,23,5,0,6,4,2,5,0,1,18
活動したいと思わない理由,一緒に運動・スポーツする人に迷惑をかけるのではないかと心配だから,18,2,0,5,2,2,2,3,2,16
活動したいと思わない理由,スポーツ以外に趣味があるから,64,9,1,8,8,9,8,13,8,55
活動したいと思わない理由,忙しいから,34,1,0,4,6,3,9,6,5,33
活動したいと思わない理由,その他,56,1,0,3,3,4,8,6,31,55
活動したいと思わない理由,わからない,216,34,1,19,22,15,35,25,65,182
学校体育の参加状況,参加していて、体育が好きである,279,263,4,12,0,0,0,0,0,16
学校体育の参加状況,参加しているが、体育は好きではない,146,135,3,8,0,0,0,0,0,11
学校体育の参加状況,参加していない,42,41,1,0,0,0,0,0,0,1
学校体育の参加状況,わからない,37,33,2,2,0,0,0,0,0,4
学校体育に参加しない理由,授業の内容のとおりに身体を動かすことができないから,9,9,0,0,0,0,0,0,0,0
学校体育に参加しない理由,自分にはできないと思ったから,12,12,0,0,0,0,0,0,0,0
学校体育に参加しない理由,他の生徒や先生に迷惑をかけると思ったから,6,5,1,0,0,0,0,0,0,1
学校体育に参加しない理由,参加するために必要なスポーツ用具がなかったから,1,1,0,0,0,0,0,0,0,0
学校体育に参加しない理由,医師から止められていたから,1,1,0,0,0,0,0,0,0,0
学校体育に参加しない理由,学校の先生から見学するように言われたから,3,3,0,0,0,0,0,0,0,0
学校体育に参加しない理由,身体を動かすことが怖いから,5,5,0,0,0,0,0,0,0,0
学校体育に参加しない理由,その他,12,12,0,0,0,0,0,0,0,0
スポーツ・運動の参加方法,現地の会場で対面での参加,1083,315,17,104,127,108,165,105,142,768
スポーツ・運動の参加方法,リモート参加,134,18,1,20,21,15,16,19,24,116
スポーツ・運動の参加方法,ハイブリッド（現地参加とリモート参加の両方から選択できる）,241,46,3,25,27,35,41,32,32,195
スポーツ・運動の参加方法,参加したいと思わない,1768,128,12,124,161,219,366,298,460,1640
参加したいスポーツ活動,ルールが簡単,891,239,18,99,107,105,132,75,116,652
参加したいスポーツ活動,自分のペースに合わせてできる,1507,285,20,125,144,179,268,211,275,1222
参加したいスポーツ活動,汗をかかない,151,17,2,17,18,17,26,25,29,134
参加したいスポーツ活動,自宅で実施できる,570,56,3,48,62,63,95,92,151,514
参加したいスポーツ活動,短い時間で実施できる,705,95,7,60,76,81,118,112,156,610
参加したいスポーツ活動,上達したことが分かる,362,111,6,36,44,40,50,34,41,251
参加したいスポーツ活動,ゲーム機を使い体を動かして行なうスポーツ・フィットネス等,203,52,4,37,33,34,18,9,16,151
参加したいスポーツ活動,好きな種目を選べる,468,127,10,43,63,45,73,58,49,341
参加したいスポーツ活動,やったことがないスポーツを試せる,138,54,0,10,25,12,18,11,8,84
参加したいスポーツ活動,予約や申し込みなしに、参加したいときに参加できる,355,72,6,34,49,46,52,53,43,283
参加したいスポーツ活動,有名な選手に会える,85,32,1,8,13,9,10,6,6,53
参加したいスポーツ活動,親子で一緒に参加ができる,149,80,4,18,13,15,5,7,7,69
参加したいスポーツ活動,新しい友達をつくることができる,263,89,6,26,33,27,34,22,26,174
参加したいスポーツ活動,スポーツ以外に芸術・文化的なパフォーマンスも楽しめる,130,30,1,12,20,17,19,15,16,100
参加したいスポーツ活動,失敗しても笑われたり恥ずかしい思いをしない,365,110,6,41,46,36,51,35,40,255
参加したいスポーツ活動,新しい道具やウェアを買わなくてよい,326,52,7,22,35,41,67,51,51,274
参加したいスポーツ活動,その他,63,7,0,7,4,9,15,10,11,56
参加したいスポーツ活動,どのようなスポーツや運動でも参加したいと思わない,909,61,2,49,75,101,200,161,260,848
スポーツ・運動の継続実施に必要なもの,スタジアム、体育館などの建物や設備のバリアフリー化,344,63,7,36,40,43,65,43,47,281
スポーツ・運動の継続実施に必要なもの,交通機関（電車やバス）やまちのバリアフリー化,375,53,3,30,40,52,67,61,69,322
スポーツ・運動の継続実施に必要なもの,会場までの送迎,360,88,3,23,31,41,44,56,74,272
スポーツ・運動の継続実施に必要なもの,障害者への施設開放の促進（障害者が優先的に使える施設が増える）,274,74,1,31,33,35,38,36,26,200
スポーツ・運動の継続実施に必要なもの,障害にあわせた教室やプログラム,463,137,6,43,43,47,71,48,68,326
スポーツ・運動の継続実施に必要なもの,介助者や手話通訳などの支援,120,40,0,13,11,9,15,9,23,80
スポーツ・運動の継続実施に必要なもの,障害に対応した情報の提供や問合せ方法の充実,232,52,4,20,26,28,36,33,33,180
スポーツ・運動の継続実施に必要なもの,施設や用具等を利用する際に必要な手続きの支援,138,36,3,14,12,19,20,17,17,102
スポーツ・運動の継続実施に必要なもの,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進,109,23,2,18,18,13,18,11,6,86
スポーツ・運動の継続実施に必要なもの,健康や体調を管理する医療的なサポート,280,32,6,21,40,31,46,36,68,248
スポーツ・運動の継続実施に必要なもの,目標となる大会やイベント,136,49,2,13,18,19,19,9,7,87
スポーツ・運動の継続実施に必要なもの,スポーツ用具等の貸出し,172,44,4,19,27,20,33,13,12,128
スポーツ・運動の継続実施に必要なもの,施設の利用料減免　（利用料が安くなったり、無料になったりする）,314,69,4,29,35,36,54,42,45,245
スポーツ・運動の継続実施に必要なもの,リモートにより、障害に応じたスポーツ・運動を指導してくれる支援、またはその充実,89,13,2,3,16,16,17,10,12,76
スポーツ・運動の継続実施に必要なもの,自宅でもできる、障害に応じたスポーツ・運動方法についての情報提供、またはその充実,258,37,5,15,23,37,42,43,56,221
スポーツ・運動の継続実施に必要なもの,一緒に行う仲間（障害の無い人）,331,101,6,34,41,43,42,27,37,230
スポーツ・運動の継続実施に必要なもの,一緒に行う仲間（自分と同じ障害のある人）,291,92,7,29,31,42,39,20,31,199
スポーツ・運動の継続実施に必要なもの,一緒に行う仲間（自分と異なる障害のある人）,157,58,3,16,14,17,21,12,16,99
スポーツ・運動の継続実施に必要なもの,適切な指導者やコーチ、トレーナー,356,110,5,26,35,32,47,38,63,246
スポーツ・運動の継続実施に必要なもの,その他,44,7,0,1,3,5,13,11,4,37
スポーツ・運動の継続実施に必要なもの,特にない,362,30,1,20,35,49,85,72,70,332
スポーツ・運動の継続実施に必要なもの,わからない,247,27,1,30,27,43,54,35,30,220
新たに別のスポーツ・運動を始めるために必要な支援,スタジアム、体育館などの建物や設備のバリアフリー化,245,36,6,25,25,34,51,34,34,209
新たに別のスポーツ・運動を始めるために必要な支援,交通機関（電車やバス）やまちのバリアフリー化,228,32,1,17,28,26,46,36,42,196
新たに別のスポーツ・運動を始めるために必要な支援,会場までの送迎,321,72,4,18,35,29,46,46,71,249
新たに別のスポーツ・運動を始めるために必要な支援,障害者への施設開放の促進（障害者が優先的に使える施設が増える）,159,43,0,18,21,21,18,23,15,116
新たに別のスポーツ・運動を始めるために必要な支援,障害にあわせた教室やプログラム,340,114,6,31,25,36,39,37,52,226
新たに別のスポーツ・運動を始めるために必要な支援,介助者や手話通訳などの支援,65,21,1,5,10,5,6,5,12,44
新たに別のスポーツ・運動を始めるために必要な支援,障害に対応した情報の提供や問合せ方法の充実,142,27,3,17,14,18,15,19,29,115
新たに別のスポーツ・運動を始めるために必要な支援,施設や用具等を利用する際に必要な手続きの支援,75,18,0,7,7,15,13,10,5,57
新たに別のスポーツ・運動を始めるために必要な支援,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進,54,17,1,6,12,8,5,3,2,37
新たに別のスポーツ・運動を始めるために必要な支援,健康や体調を管理する医療的なサポート,186,18,5,14,27,25,32,26,39,168
新たに別のスポーツ・運動を始めるために必要な支援,目標となる大会やイベント,85,22,2,12,12,15,13,4,5,63
新たに別のスポーツ・運動を始めるために必要な支援,スポーツ用具等の貸出し,102,19,3,5,23,13,27,7,5,83
新たに別のスポーツ・運動を始めるために必要な支援,施設の利用料減免（利用料が安くなったり、無料になったりする）,245,40,3,25,34,36,51,31,25,205
新たに別のスポーツ・運動を始めるために必要な支援,リモートにより、障害に応じたスポーツ・運動を指導してくれる支援、またはその充実,50,10,1,4,5,8,6,8,8,40
