調査項目,回答,全体(人),現地の会場で対面での参加(人),リモート参加(人),ハイブリッド（現地参加とリモート参加の両方から選択できる）(人),参加したいと思わない(人)
仕事の有無,福祉的就労をしている（就労移行支援、就労継続支援Ａ型・Ｂ型、就労定着支援）,178,71,5,15,87
平日・日中の居場所,自分の家,1843,482,82,116,1163
平日・日中の居場所,職場（一般企業など）,677,239,23,55,360
平日・日中の居場所,職場（福祉的就労（就労移行支援、就労継続支援Ａ型・Ｂ型、就労定着支援）の施設）,102,47,3,6,46
平日・日中の居場所,学校,362,250,9,34,69
平日・日中の居場所,通所施設（生活介護、デイケアなど）,135,35,11,23,66
平日・日中の居場所,入所施設,69,17,6,6,40
平日・日中の居場所,その他,38,13,0,1,24
放課後の居場所,自分の家,345,212,12,33,88
放課後の居場所,習いごと（塾や英会話等の学習系）,75,57,6,3,9
放課後の居場所,習いごと（スイミングやサッカー等のスポーツ系）,59,46,3,7,3
放課後の居場所,習いごと（音楽や習字等の芸術系）,41,23,5,8,5
放課後の居場所,児童通所サービス（放課後等デイサービス　等）,156,114,3,13,26
放課後の居場所,学童保育,34,26,2,5,1
放課後の居場所,広場や公園,35,29,1,3,2
放課後の居場所,学校（校庭や体育館）,35,27,1,2,5
放課後の居場所,児童館や図書館などの公共施設,16,12,1,1,2
放課後の居場所,その他,8,7,0,0,1
障害福祉サービスの利用状況,利用していない,2117,653,64,132,1268
障害福祉サービスの利用状況,居宅介護（ホームヘルプ）,222,75,20,22,105
障害福祉サービスの利用状況,重度訪問介護,29,5,4,5,15
障害福祉サービスの利用状況,同行援護,70,34,11,6,19
障害福祉サービスの利用状況,行動援護,81,44,12,6,19
障害福祉サービスの利用状況,重度障害者等包括支援,29,7,7,8,7
障害福祉サービスの利用状況,短期入所（ショートステイ）,141,45,6,12,78
障害福祉サービスの利用状況,療養介護,34,19,5,3,7
障害福祉サービスの利用状況,生活介護,85,24,9,12,40
障害福祉サービスの利用状況,施設入所支援,43,12,2,6,23
障害福祉サービスの利用状況,自立訓練,65,23,8,6,28
障害福祉サービスの利用状況,就労移行支援,42,21,2,6,13
障害福祉サービスの利用状況,就労継続支援（A型）,23,10,0,3,10
障害福祉サービスの利用状況,就労継続支援（B型）,89,40,3,6,40
障害福祉サービスの利用状況,就労定着支援,19,9,1,2,7
障害福祉サービスの利用状況,自立生活援助,45,17,6,7,15
障害福祉サービスの利用状況,共同生活援助（グループホーム）,33,12,2,2,17
障害福祉サービスの利用状況,計画相談支援,51,25,1,9,16
障害福祉サービスの利用状況,地域相談支援,57,27,2,6,22
障害福祉サービスの利用状況,移動支援,76,35,4,3,34
障害福祉サービスの利用状況,地域活動支援センター,81,40,4,7,30
障害福祉サービスの利用状況,福祉ホーム,25,11,4,5,5
障害福祉サービスの利用状況,児童発達支援,55,41,3,6,5
障害福祉サービスの利用状況,医療型児童発達支援,11,6,1,1,3
障害福祉サービスの利用状況,放課後等デイサービス,208,125,1,15,67
障害福祉サービスの利用状況,居宅訪問型児童発達支援,8,6,1,0,1
障害福祉サービスの利用状況,保育所等訪問支援,5,4,1,0,0
障害福祉サービスの利用状況,訪問看護,179,42,6,15,116
障害福祉サービスの利用状況,訪問リハビリテーション,165,39,6,15,105
スポーツ運動の実施の有無,行っている,2091,936,110,195,850
スポーツ運動の実施の有無,行っていない,1135,147,24,46,918
過去1年間の実施種目,ウォーキング、散歩（散策、ペットの散歩など）,1595,675,62,131,727
過去1年間の実施種目,体操（ラジオ体操、職場体操、ストレッチ、エアロビクス、ヨガ、ピラティス、縄跳びなど）,531,276,38,63,154
過去1年間の実施種目,室内運動器具（ウエイト器具、ランニングマシーン、バランスボールなど）を用いる運動,285,145,23,36,81
過去1年間の実施種目,陸上競技（ランニング、ジョギングなどの軽い運動も含めます）,170,113,12,19,26
過去1年間の実施種目,水泳・遊泳（水中歩行・水中運動）,293,195,11,36,51
過去1年間の実施種目,ブラインドサッカー,24,14,5,4,1
過去1年間の実施種目,車いすテニス,15,12,2,0,1
過去1年間の実施種目,サウンドテーブルテニス,26,14,2,6,4
過去1年間の実施種目,パラバレーボール,26,13,6,5,2
過去1年間の実施種目,車いすバスケットボール,19,9,1,6,3
過去1年間の実施種目,車いすラグビー,13,6,2,4,1
過去1年間の実施種目,ボッチャ,50,40,2,5,3
過去1年間の実施種目,球技（キャッチボールなどのボールを使った軽い運動も含めます）,124,97,4,10,13
過去1年間の実施種目,ダンス（フォークダンス、ジャズダンス、社交ダンス、フラダンス、バレエ、民謡踊りなど）,94,76,2,10,6
過去1年間の実施種目,格闘技（ボクシング、レスリング、相撲（すもう）など）,19,14,1,1,3
過去1年間の実施種目,武道（柔道、剣道、空手、合気道など）,24,19,1,2,2
過去1年間の実施種目,射的（弓道、アーチェリー、ダーツ、スポーツ吹矢など）,15,12,0,1,2
過去1年間の実施種目,ウィンタースポーツ（スキー、スノーボード、スケートなど）,47,35,3,4,5
過去1年間の実施種目,ウォータースポーツ（ボート、ヨット、スキンダイビング、スクーバダイビング、カヌー、水上バイク、サーフィン、ウィンドサーフィン、ボディボード、ボードセーリングなど）,38,27,3,5,3
過去1年間の実施種目,スカイスポーツ（ハンググライダー、パラグライダー、スカイダイビングなど）,13,6,5,2,0
過去1年間の実施種目,アウトドアスポーツ（ハイキング、ワンダーフォーゲル、釣り、登山、キャンプなど）,105,74,5,7,19
過去1年間の実施種目,サイクリング、モーター（サイクル）スポーツ,114,64,1,17,32
過去1年間の実施種目,運動あそび（鬼ごっこ、かくれんぼ、鉄棒、ぶらんこなど）,134,102,4,12,16
過去1年間の実施種目,ゲーム機を使い体を動かして行うスポーツ・フィットネス等,79,35,4,15,25
過去1年間の実施種目,その他,53,33,3,1,16
過去1年間の実施種目,この1年間に運動・スポーツは行わなかった,1135,147,24,46,918
実施頻度（1年間）,週3日以上（年151日以上）,604,257,23,42,282
実施頻度（1年間）,週2日程度（年101日～150日）,429,221,26,44,138
実施頻度（1年間）,週1日程度（年51日～100日）,506,241,41,56,168
実施頻度（1年間）,月に1～3日程度（年12日～50日）,280,139,13,30,98
実施頻度（1年間）,3か月に1～2日程度（年4日～11日）,75,33,4,9,29
実施頻度（1年間）,年に1～3日程度,52,19,3,5,25
実施頻度（1年間）,わからない,145,26,0,9,110
実施した場所,自宅,829,350,53,85,341
実施した場所,道路や遊歩道,1083,416,40,86,541
実施した場所,広場や公園,633,305,34,82,212
実施した場所,民間のスポーツ施設,314,216,16,28,54
実施した場所,公共のスポーツ施設（障害者専用施設）,130,84,15,20,11
実施した場所,公共のスポーツ施設（障害者専用施設以外）,241,171,7,30,33
実施した場所,小中高校の体育施設,128,97,4,14,13
実施した場所,特別支援学校の体育施設,85,60,3,12,10
実施した場所,職場のスポーツ施設,35,23,3,6,3
実施した場所,福祉施設,64,43,7,6,8
実施した場所,児童通所サービス（放課後等デイサービス等）,87,62,2,9,14
実施した場所,医療機関（病院やリハビリ施設）,68,38,1,11,18
実施した場所,山・川・海・空,171,111,3,16,41
実施した場所,その他,44,23,1,5,15
実施した場所,わからない,47,4,1,0,42
一緒に実施する人,一人,1133,425,43,97,568
一緒に実施する人,家族,762,385,38,78,261
一緒に実施する人,福祉施設の職員・仲間,174,104,15,25,30
一緒に実施する人,障害がある人のサークル・障害者スポーツサークル等の仲間,91,63,9,12,7
一緒に実施する人,障害がある人やない人など様々な人がいるサークルの仲間,107,70,9,18,10
一緒に実施する人,スポーツ教室の指導者・仲間,151,118,11,12,10
一緒に実施する人,障害者専用スポーツ施設の職員・仲間,61,36,5,13,7
一緒に実施する人,地域の公共スポーツ施設の職員・仲間,48,34,5,7,2
一緒に実施する人,ボランティアの人たち,54,40,5,5,4
一緒に実施する人,学校の先生や学校の友達,150,118,3,14,15
一緒に実施する人,児童通所サービス（放課後等デイサービス等）の職員・仲間,86,59,2,11,14
一緒に実施する人,その他の友人・知人,137,92,2,12,31
一緒に実施する人,その他,35,13,2,5,15
一緒に実施する人,わからない,40,3,1,1,35
実施した理由,健康・体力づくりのため,1503,721,58,131,593
実施した理由,楽しみや気晴らしのため,890,466,36,97,291
実施した理由,運動不足解消のため,1109,527,42,104,436
実施した理由,精神の修養や訓練のため（心をきたえるため）,240,121,23,31,65
実施した理由,自己の記録や能力を向上させるため,182,98,18,20,46
実施した理由,リハビリテーションや医療・治療のため,340,154,20,41,125
実施した理由,家族のふれあいのため,154,92,2,26,34
実施した理由,友人・仲間との交流のため,254,181,9,29,35
実施した理由,美容や肥満解消（ダイエット）のため,217,96,15,26,80
実施した理由,障害者スポーツ大会に参加するため,17,12,1,3,1
実施した理由,その他,36,15,1,1,19
実施した理由,わからない,61,3,1,3,54
実施したきっかけ,家族に奨められた,561,293,29,54,185
実施したきっかけ,（障害のある）友人・知人・同僚に奨められた,101,58,9,19,15
実施したきっかけ,（障害のない）友人・知人・同僚に奨められた,119,73,12,16,18
実施したきっかけ,医師に奨められた,500,200,28,58,214
実施したきっかけ,看護師に奨められた,114,49,11,14,40
実施したきっかけ,作業療法士（OT）に奨められた,100,45,13,21,21
実施したきっかけ,理学療法士（PT）に奨められた,128,54,15,23,36
実施したきっかけ,言語聴覚士（ST）に奨められた,39,16,6,11,6
実施したきっかけ,視能訓練士（CO）に奨められた,21,10,5,3,3
実施したきっかけ,義肢装具士に奨められた,15,7,4,2,2
実施したきっかけ,介護福祉士に奨められた,43,24,4,2,13
実施したきっかけ,社会福祉士（ソーシャルワーカー）に奨められた,49,33,2,7,7
実施したきっかけ,スポーツ指導者に奨められた,20,17,0,3,0
実施したきっかけ,パラスポーツ指導員（旧障害者スポーツ指導員）に奨められた,19,14,3,1,1
実施したきっかけ,学校の先生に奨められた,57,45,0,10,2
実施したきっかけ,学校の授業等で興味を持ち、自主的に始めた,64,53,1,5,5
実施したきっかけ,所属する団体（会社等）に奨められた,17,15,0,0,2
実施したきっかけ,障害のある有名選手・パラアスリートの影響,14,9,3,2,0
実施したきっかけ,障害のない有名選手・アスリートの影響,13,10,2,1,0
実施したきっかけ,テレビや新聞の影響,66,31,5,8,22
実施したきっかけ,インターネットや動画配信を見て,81,34,7,15,25
実施したきっかけ,ＳＮＳの影響,40,19,4,6,11
実施したきっかけ,漫画、ドラマ、映画等の影響,20,16,1,1,2
実施したきっかけ,現地やテレビ等でそのスポーツを観た,22,16,3,2,1
実施したきっかけ,スポーツ団体等の関係者から誘われた,11,10,0,1,0
実施したきっかけ,スポーツイベントや体験会等で興味を持った,18,14,2,2,0
実施したきっかけ,スポーツ以外をテーマとするイベント（福祉祭り等の中の講演や体験会等）で興味を持った,6,5,0,1,0
実施したきっかけ,福祉施設で実施している運動プログラムに参加して,36,30,0,4,2
実施したきっかけ,行政の広報誌,15,13,0,1,1
実施したきっかけ,その他,89,46,5,6,32
実施したきっかけ,特にきっかけはない・なんとなく,676,249,6,37,384
スポーツ・運動への取組意向,スポーツや運動を行っており、満足している,849,455,31,63,300
スポーツ・運動への取組意向,スポーツや運動を行っているが、もっと行いたい,600,297,59,75,169
スポーツ・運動への取組意向,スポーツや運動を行いたいと思うができない,732,248,34,84,366
スポーツ・運動への取組意向,スポーツや運動に関心はない,1045,83,10,19,933
実施していない理由,医師に止められており、身体的にできない,127,10,7,4,106
実施していない理由,どのくらい体を動かしたらよいかわからない,74,16,3,9,46
実施していない理由,身近なところにスポーツや運動ができる場所がない,61,29,2,7,23
実施していない理由,スポーツや運動ができる場所への移動手段がない,40,15,3,4,18
実施していない理由,自分に合ったスポーツや運動の情報がない,89,34,1,7,47
実施していない理由,一緒にできる仲間がいない,96,34,4,6,52
実施していない理由,介助者がいない,93,31,3,10,49
実施していない理由,金銭的な余裕がない,117,25,2,12,78
実施していない理由,時間がない,90,23,2,9,56
実施していない理由,必要な競技用具や補助具がない,42,11,2,2,27
実施していない理由,その他,87,14,2,4,67
実施していない理由,活動したいと思わない,666,31,4,9,622
活動したいと思わない理由,スポーツ・運動が嫌いだから,158,5,2,3,148
活動したいと思わない理由,スポーツ・運動に興味がないから,151,13,2,3,133
活動したいと思わない理由,スポーツ・運動を楽しんだ経験がないから,39,4,0,1,34
活動したいと思わない理由,疲れるから,163,12,0,2,149
活動したいと思わない理由,人前に出るのが好きではないから,57,1,1,2,53
活動したいと思わない理由,学校の体育や部活動等で苦手意識を持ったから,23,3,0,0,20
活動したいと思わない理由,一緒に運動・スポーツする人に迷惑をかけるのではないかと心配だから,18,3,0,0,15
活動したいと思わない理由,スポーツ以外に趣味があるから,64,5,1,2,56
活動したいと思わない理由,忙しいから,34,1,0,0,33
活動したいと思わない理由,その他,56,2,0,0,54
活動したいと思わない理由,わからない,216,6,0,3,207
学校体育の参加状況,参加していて、体育が好きである,279,224,7,22,26
学校体育の参加状況,参加しているが、体育は好きではない,146,86,11,18,31
学校体育の参加状況,参加していない,42,5,3,9,25
学校体育の参加状況,わからない,37,5,1,1,30
学校体育に参加しない理由,授業の内容のとおりに身体を動かすことができないから,9,2,2,2,3
学校体育に参加しない理由,自分にはできないと思ったから,12,1,1,3,7
学校体育に参加しない理由,他の生徒や先生に迷惑をかけると思ったから,6,1,0,4,1
学校体育に参加しない理由,参加するために必要なスポーツ用具がなかったから,1,0,0,0,1
学校体育に参加しない理由,医師から止められていたから,1,0,0,0,1
学校体育に参加しない理由,学校の先生から見学するように言われたから,3,0,1,1,1
学校体育に参加しない理由,身体を動かすことが怖いから,5,0,0,1,4
学校体育に参加しない理由,その他,12,1,0,2,9
参加したいスポーツ活動,ルールが簡単,891,508,52,98,233
参加したいスポーツ活動,自分のペースに合わせてできる,1507,745,57,152,553
参加したいスポーツ活動,汗をかかない,151,43,20,15,73
参加したいスポーツ活動,自宅で実施できる,570,173,48,70,279
参加したいスポーツ活動,短い時間で実施できる,705,277,41,95,292
参加したいスポーツ活動,上達したことが分かる,362,236,17,37,72
参加したいスポーツ活動,ゲーム機を使い体を動かして行なうスポーツ・フィットネス等,203,87,10,40,66
参加したいスポーツ活動,好きな種目を選べる,468,279,15,66,108
参加したいスポーツ活動,やったことがないスポーツを試せる,138,89,6,24,19
参加したいスポーツ活動,予約や申し込みなしに、参加したいときに参加できる,355,193,13,52,97
参加したいスポーツ活動,有名な選手に会える,85,51,3,8,23
参加したいスポーツ活動,親子で一緒に参加ができる,149,94,9,24,22
参加したいスポーツ活動,新しい友達をつくることができる,263,185,7,37,34
参加したいスポーツ活動,スポーツ以外に芸術・文化的なパフォーマンスも楽しめる,130,73,3,23,31
参加したいスポーツ活動,失敗しても笑われたり恥ずかしい思いをしない,365,213,10,45,97
参加したいスポーツ活動,新しい道具やウェアを買わなくてよい,326,146,12,43,125
参加したいスポーツ活動,その他,63,22,2,5,34
参加したいスポーツ活動,どのようなスポーツや運動でも参加したいと思わない,909,14,5,1,889
スポーツ・運動の継続実施に必要なもの,スタジアム、体育館などの建物や設備のバリアフリー化,344,209,20,38,77
スポーツ・運動の継続実施に必要なもの,交通機関（電車やバス）やまちのバリアフリー化,375,193,25,50,107
スポーツ・運動の継続実施に必要なもの,会場までの送迎,360,215,21,43,81
スポーツ・運動の継続実施に必要なもの,障害者への施設開放の促進（障害者が優先的に使える施設が増える）,274,148,23,43,60
スポーツ・運動の継続実施に必要なもの,障害にあわせた教室やプログラム,463,269,25,63,106
スポーツ・運動の継続実施に必要なもの,介助者や手話通訳などの支援,120,66,12,23,19
スポーツ・運動の継続実施に必要なもの,障害に対応した情報の提供や問合せ方法の充実,232,122,11,45,54
スポーツ・運動の継続実施に必要なもの,施設や用具等を利用する際に必要な手続きの支援,138,73,9,24,32
スポーツ・運動の継続実施に必要なもの,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進,109,49,9,27,24
スポーツ・運動の継続実施に必要なもの,健康や体調を管理する医療的なサポート,280,141,21,34,84
スポーツ・運動の継続実施に必要なもの,目標となる大会やイベント,136,101,2,12,21
スポーツ・運動の継続実施に必要なもの,スポーツ用具等の貸出し,172,101,9,25,37
スポーツ・運動の継続実施に必要なもの,施設の利用料減免　（利用料が安くなったり、無料になったりする）,314,190,9,47,68
スポーツ・運動の継続実施に必要なもの,リモートにより、障害に応じたスポーツ・運動を指導してくれる支援、またはその充実,89,32,12,28,17
スポーツ・運動の継続実施に必要なもの,自宅でもできる、障害に応じたスポーツ・運動方法についての情報提供、またはその充実,258,98,17,51,92
スポーツ・運動の継続実施に必要なもの,一緒に行う仲間（障害の無い人）,331,221,11,41,58
スポーツ・運動の継続実施に必要なもの,一緒に行う仲間（自分と同じ障害のある人）,291,189,13,38,51
スポーツ・運動の継続実施に必要なもの,一緒に行う仲間（自分と異なる障害のある人）,157,104,4,27,22
スポーツ・運動の継続実施に必要なもの,適切な指導者やコーチ、トレーナー,356,232,6,46,72
スポーツ・運動の継続実施に必要なもの,その他,44,17,0,3,24
スポーツ・運動の継続実施に必要なもの,特にない,362,94,5,8,255
スポーツ・運動の継続実施に必要なもの,わからない,247,47,4,5,191
新たに別のスポーツ・運動を始めるために必要な支援,スタジアム、体育館などの建物や設備のバリアフリー化,245,130,18,28,69
新たに別のスポーツ・運動を始めるために必要な支援,交通機関（電車やバス）やまちのバリアフリー化,228,121,22,25,60
新たに別のスポーツ・運動を始めるために必要な支援,会場までの送迎,321,168,30,38,85
新たに別のスポーツ・運動を始めるために必要な支援,障害者への施設開放の促進（障害者が優先的に使える施設が増える）,159,82,14,24,39
新たに別のスポーツ・運動を始めるために必要な支援,障害にあわせた教室やプログラム,340,193,19,50,78
新たに別のスポーツ・運動を始めるために必要な支援,介助者や手話通訳などの支援,65,38,3,12,12
新たに別のスポーツ・運動を始めるために必要な支援,障害に対応した情報の提供や問合せ方法の充実,142,62,15,29,36
新たに別のスポーツ・運動を始めるために必要な支援,施設や用具等を利用する際に必要な手続きの支援,75,42,3,9,21
新たに別のスポーツ・運動を始めるために必要な支援,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進,54,23,9,8,14
新たに別のスポーツ・運動を始めるために必要な支援,健康や体調を管理する医療的なサポート,186,91,11,24,60
新たに別のスポーツ・運動を始めるために必要な支援,目標となる大会やイベント,85,62,4,9,10
新たに別のスポーツ・運動を始めるために必要な支援,スポーツ用具等の貸出し,102,63,2,9,28
新たに別のスポーツ・運動を始めるために必要な支援,施設の利用料減免（利用料が安くなったり、無料になったりする）,245,142,5,30,68
新たに別のスポーツ・運動を始めるために必要な支援,リモートにより、障害に応じたスポーツ・運動を指導してくれる支援、またはその充実,50,14,10,12,14
新たに別のスポーツ・運動を始めるために必要な支援,自宅でもできる、障害に応じたスポーツ・運動方法についての情報提供、またはその充実,146,42,17,22,65
新たに別のスポーツ・運動を始めるために必要な支援,一緒に行う仲間（障害の無い人）,197,126,5,18,48
新たに別のスポーツ・運動を始めるために必要な支援,一緒に行う仲間（自分と同じ障害のある人）,164,110,2,14,38
新たに別のスポーツ・運動を始めるために必要な支援,一緒に行う仲間（自分と異なる障害のある人）,47,30,0,9,8
新たに別のスポーツ・運動を始めるために必要な支援,適切な指導者やコーチ、トレーナー,303,193,5,35,70
新たに別のスポーツ・運動を始めるために必要な支援,その他,23,11,0,3,9
新たに別のスポーツ・運動を始めるために必要な支援,特にない,396,111,8,15,262
新たに別のスポーツ・運動を始めるために必要な支援,わからない,249,60,4,4,181
スポーツを始めるきっかけとして必要な支援,スタジアム、体育館などの建物や設備のバリアフリー化,31,16,3,3,9
スポーツを始めるきっかけとして必要な支援,交通機関（電車やバス）やまちのバリアフリー化,32,12,3,3,14
スポーツを始めるきっかけとして必要な支援,会場までの送迎,95,33,5,10,47
スポーツを始めるきっかけとして必要な支援,障害者への施設開放の促進（障害者が優先的に使える施設が増える）,35,14,1,3,17
スポーツを始めるきっかけとして必要な支援,障害にあわせた教室やプログラム,112,41,2,11,58
スポーツを始めるきっかけとして必要な支援,介助者や手話通訳などの支援,29,9,1,2,17
スポーツを始めるきっかけとして必要な支援,障害に対応した情報の提供や問合せ方法の充実,38,9,1,4,24
スポーツを始めるきっかけとして必要な支援,施設や用具等を利用する際に必要な手続きの支援,13,5,1,2,5
スポーツを始めるきっかけとして必要な支援,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進,5,1,2,0,2
スポーツを始めるきっかけとして必要な支援,健康や体調を管理する医療的なサポート,65,15,1,5,44
スポーツを始めるきっかけとして必要な支援,目標となる大会やイベント,9,8,0,0,1
スポーツを始めるきっかけとして必要な支援,スポーツ用具等の貸出し,17,6,3,2,6
スポーツを始めるきっかけとして必要な支援,施設の利用料減免（利用料が安くなったり、無料になったりする）,46,23,2,5,16
スポーツを始めるきっかけとして必要な支援,リモートにより、障害に応じたスポーツ・運動を指導してくれる支援、またはその充実,9,2,2,1,4
スポーツを始めるきっかけとして必要な支援,自宅でもできる、障害に応じたスポーツ・運動方法についての情報提供、またはその充実,57,10,1,5,41
スポーツを始めるきっかけとして必要な支援,一緒に行う仲間（障害の無い人）,49,22,1,4,22
スポーツを始めるきっかけとして必要な支援,一緒に行う仲間（自分と同じ障害のある人）,65,22,3,3,37
スポーツを始めるきっかけとして必要な支援,一緒に行う仲間（自分と異なる障害のある人）,13,2,2,1,8
スポーツを始めるきっかけとして必要な支援,適切な指導者やコーチ、トレーナー,87,31,0,4,52
スポーツを始めるきっかけとして必要な支援,その他,23,3,1,1,18
スポーツを始めるきっかけとして必要な支援,特にない,385,15,1,8,361
スポーツを始めるきっかけとして必要な支援,わからない,354,13,2,7,332
スポーツ以外に関心のある事,旅行,1225,531,42,107,545
スポーツ以外に関心のある事,グルメ・食べ歩き,1182,500,43,106,533
スポーツ以外に関心のある事,買い物・ショッピング,840,318,35,75,412
スポーツ以外に関心のある事,テレビ視聴,1133,418,39,71,605
スポーツ以外に関心のある事,動画配信サービス視聴,912,377,39,90,406
スポーツ以外に関心のある事,ＣＤやスマートフォンによる音楽鑑賞,481,186,30,47,218
スポーツ以外に関心のある事,ＳＮＳ閲覧・投稿,528,198,26,52,252
スポーツ以外に関心のある事,インターネット閲覧,957,352,38,90,477
スポーツ以外に関心のある事,映画鑑賞,765,300,31,67,367
スポーツ以外に関心のある事,読書,563,208,30,44,281
スポーツ以外に関心のある事,アニメ／漫画,592,252,22,45,273
スポーツ以外に関心のある事,スマートフォン・家庭用ゲーム機によるゲーム,615,274,22,46,273
スポーツ以外に関心のある事,写真の撮影,289,124,21,39,105
スポーツ以外に関心のある事,遊園地・動物園・水族館などの見物,347,184,11,39,113
スポーツ以外に関心のある事,美術鑑賞,293,113,13,32,135
スポーツ以外に関心のある事,コンサートなどによる音楽鑑賞,350,146,10,30,164
スポーツ以外に関心のある事,演劇・舞踏鑑賞,178,73,13,20,72
スポーツ以外に関心のある事,カラオケ,330,161,12,27,130
スポーツ以外に関心のある事,楽器の演奏,161,72,8,25,56
スポーツ以外に関心のある事,料理・菓子作り,284,111,9,30,134
スポーツ以外に関心のある事,園芸・ガーデニング,189,67,9,13,100
スポーツ以外に関心のある事,日曜大工,75,29,4,9,33
スポーツ以外に関心のある事,編み物・手芸,123,45,9,11,58
スポーツ以外に関心のある事,和裁・洋裁,46,14,5,4,23
スポーツ以外に関心のある事,大道芸や手品等の鑑賞,33,22,3,3,5
スポーツ以外に関心のある事,ギャンブル,103,26,4,7,66
スポーツ以外に関心のある事,その他,134,38,2,11,83
スポーツ以外に関心のある事,特にない,322,17,4,6,295
情報入手先,家族,1446,598,46,109,693
情報入手先,友人,791,389,32,75,295
情報入手先,学校や職場、施設の人,564,312,17,54,181
情報入手先,ボランティア,76,47,11,11,7
情報入手先,ホームヘルパー、ガイドヘルパーなどの支援者,206,87,12,21,86
情報入手先,医師や看護師、理学療法士、作業療法士などの医療関係者,367,127,31,32,177
情報入手先,テレビ,1551,517,51,104,879
情報入手先,ラジオ,314,106,14,23,171
情報入手先,新聞,466,144,23,39,260
情報入手先,雑誌,199,82,10,26,81
