調査項目,回答,全体(人),指先など体の一部を動かして障害の状態に応じた入力装置（フレックスコントローラーや視線入力装置、個人用にカスタムされたスイッチ等）を操作して行うゲーム（ポケットモンスター、スプラトゥーン、マインクラフト、ぷよぷよなど）をやったことがある(人),指先など体の一部を動かして障害の状態に応じた入力装置（フレックスコントローラーや視線入力装置、個人用にカスタムされたスイッチ等）を操作して行うゲーム（ポケットモンスター、スプラトゥーン、マインクラフト、ぷよぷよなど）をやったことがない(人),「やったことがない」のうち、やりたい(人),「やったことがない」のうち、やりたいと思わない(人)
平日・日中の居場所,職場（一般企業など）,677,63,614,198,416
平日・日中の居場所,職場（福祉的就労（就労移行支援、就労継続支援Ａ型・Ｂ型、就労定着支援）の施設）,102,11,91,24,67
平日・日中の居場所,学校,362,54,308,138,170
平日・日中の居場所,通所施設（生活介護、デイケアなど）,135,10,125,44,81
平日・日中の居場所,入所施設,69,4,65,14,51
平日・日中の居場所,その他,38,2,36,5,31
放課後の居場所,自分の家,345,54,291,136,155
放課後の居場所,習いごと（塾や英会話等の学習系）,75,15,60,35,25
放課後の居場所,習いごと（スイミングやサッカー等のスポーツ系）,59,11,48,21,27
放課後の居場所,習いごと（音楽や習字等の芸術系）,41,13,28,17,11
放課後の居場所,児童通所サービス（放課後等デイサービス　等）,156,15,141,63,78
放課後の居場所,学童保育,34,8,26,17,9
放課後の居場所,広場や公園,35,13,22,14,8
放課後の居場所,学校（校庭や体育館）,35,7,28,17,11
放課後の居場所,児童館や図書館などの公共施設,16,5,11,6,5
放課後の居場所,その他,8,2,6,6,0
障害福祉サービスの利用状況,利用していない,2117,150,1967,516,1451
障害福祉サービスの利用状況,居宅介護（ホームヘルプ）,222,18,204,72,132
障害福祉サービスの利用状況,重度訪問介護,29,6,23,8,15
障害福祉サービスの利用状況,同行援護,70,11,59,27,32
障害福祉サービスの利用状況,行動援護,81,11,70,29,41
障害福祉サービスの利用状況,重度障害者等包括支援,29,5,24,14,10
障害福祉サービスの利用状況,短期入所（ショートステイ）,141,10,131,37,94
障害福祉サービスの利用状況,療養介護,34,7,27,14,13
障害福祉サービスの利用状況,生活介護,85,10,75,25,50
障害福祉サービスの利用状況,施設入所支援,43,3,40,8,32
障害福祉サービスの利用状況,自立訓練,65,6,59,22,37
障害福祉サービスの利用状況,就労移行支援,42,6,36,13,23
障害福祉サービスの利用状況,就労継続支援（A型）,23,4,19,8,11
障害福祉サービスの利用状況,就労継続支援（B型）,89,8,81,23,58
障害福祉サービスの利用状況,就労定着支援,19,3,16,6,10
障害福祉サービスの利用状況,自立生活援助,45,7,38,14,24
障害福祉サービスの利用状況,共同生活援助（グループホーム）,33,7,26,9,17
障害福祉サービスの利用状況,計画相談支援,51,5,46,21,25
障害福祉サービスの利用状況,地域相談支援,57,11,46,13,33
障害福祉サービスの利用状況,移動支援,76,6,70,26,44
障害福祉サービスの利用状況,地域活動支援センター,81,7,74,23,51
障害福祉サービスの利用状況,福祉ホーム,25,3,22,15,7
障害福祉サービスの利用状況,児童発達支援,55,16,39,20,19
障害福祉サービスの利用状況,医療型児童発達支援,11,3,8,5,3
障害福祉サービスの利用状況,放課後等デイサービス,208,18,190,69,121
障害福祉サービスの利用状況,居宅訪問型児童発達支援,8,2,6,4,2
障害福祉サービスの利用状況,保育所等訪問支援,5,1,4,4,0
障害福祉サービスの利用状況,訪問看護,179,10,169,40,129
障害福祉サービスの利用状況,訪問リハビリテーション,165,5,160,46,114
スポーツ運動の実施の有無,行っている,2091,211,1880,649,1231
スポーツ運動の実施の有無,行っていない,1135,46,1089,192,897
過去1年間の実施種目,ウォーキング、散歩（散策、ペットの散歩など）,1595,139,1456,483,973
過去1年間の実施種目,体操（ラジオ体操、職場体操、ストレッチ、エアロビクス、ヨガ、ピラティス、縄跳びなど）,531,50,481,180,301
過去1年間の実施種目,室内運動器具（ウエイト器具、ランニングマシーン、バランスボールなど）を用いる運動,285,34,251,108,143
過去1年間の実施種目,陸上競技（ランニング、ジョギングなどの軽い運動も含めます）,170,25,145,80,65
過去1年間の実施種目,水泳・遊泳（水中歩行・水中運動）,293,44,249,114,135
過去1年間の実施種目,ブラインドサッカー,24,6,18,17,1
過去1年間の実施種目,車いすテニス,15,6,9,7,2
過去1年間の実施種目,サウンドテーブルテニス,26,6,20,16,4
過去1年間の実施種目,パラバレーボール,26,8,18,14,4
過去1年間の実施種目,車いすバスケットボール,19,3,16,11,5
過去1年間の実施種目,車いすラグビー,13,2,11,8,3
過去1年間の実施種目,ボッチャ,50,4,46,23,23
過去1年間の実施種目,球技（キャッチボールなどのボールを使った軽い運動も含めます）,124,23,101,52,49
過去1年間の実施種目,ダンス（フォークダンス、ジャズダンス、社交ダンス、フラダンス、バレエ、民謡踊りなど）,94,21,73,27,46
過去1年間の実施種目,格闘技（ボクシング、レスリング、相撲（すもう）など）,19,5,14,10,4
過去1年間の実施種目,武道（柔道、剣道、空手、合気道など）,24,4,20,12,8
過去1年間の実施種目,射的（弓道、アーチェリー、ダーツ、スポーツ吹矢など）,15,4,11,8,3
過去1年間の実施種目,ウィンタースポーツ（スキー、スノーボード、スケートなど）,47,12,35,13,22
過去1年間の実施種目,ウォータースポーツ（ボート、ヨット、スキンダイビング、スクーバダイビング、カヌー、水上バイク、サーフィン、ウィンドサーフィン、ボディボード、ボードセーリングなど）,38,7,31,21,10
過去1年間の実施種目,スカイスポーツ（ハンググライダー、パラグライダー、スカイダイビングなど）,13,5,8,7,1
過去1年間の実施種目,アウトドアスポーツ（ハイキング、ワンダーフォーゲル、釣り、登山、キャンプなど）,105,12,93,41,52
過去1年間の実施種目,サイクリング、モーター（サイクル）スポーツ,114,19,95,42,53
過去1年間の実施種目,運動あそび（鬼ごっこ、かくれんぼ、鉄棒、ぶらんこなど）,134,24,110,56,54
過去1年間の実施種目,ゲーム機を使い体を動かして行うスポーツ・フィットネス等,79,19,60,36,24
過去1年間の実施種目,その他,53,7,46,9,37
過去1年間の実施種目,この1年間に運動・スポーツは行わなかった,1135,46,1089,192,897
実施頻度（1年間）,週3日以上（年151日以上）,604,53,551,178,373
実施頻度（1年間）,週2日程度（年101日～150日）,429,42,387,154,233
実施頻度（1年間）,週1日程度（年51日～100日）,506,57,449,158,291
実施頻度（1年間）,月に1～3日程度（年12日～50日）,280,32,248,95,153
実施頻度（1年間）,3か月に1～2日程度（年4日～11日）,75,6,69,26,43
実施頻度（1年間）,年に1～3日程度,52,6,46,14,32
実施頻度（1年間）,わからない,145,15,130,24,106
実施した場所,自宅,829,82,747,283,464
実施した場所,道路や遊歩道,1083,84,999,317,682
実施した場所,広場や公園,633,67,566,235,331
実施した場所,民間のスポーツ施設,314,50,264,111,153
実施した場所,公共のスポーツ施設（障害者専用施設）,130,23,107,62,45
実施した場所,公共のスポーツ施設（障害者専用施設以外）,241,28,213,90,123
実施した場所,小中高校の体育施設,128,29,99,54,45
実施した場所,特別支援学校の体育施設,85,20,65,35,30
実施した場所,職場のスポーツ施設,35,5,30,22,8
実施した場所,福祉施設,64,10,54,20,34
実施した場所,児童通所サービス（放課後等デイサービス等）,87,9,78,38,40
実施した場所,医療機関（病院やリハビリ施設）,68,9,59,19,40
実施した場所,山・川・海・空,171,21,150,67,83
実施した場所,その他,44,3,41,9,32
実施した場所,わからない,47,0,47,3,44
一緒に実施する人,一人,1133,91,1042,320,722
一緒に実施する人,家族,762,79,683,277,406
一緒に実施する人,福祉施設の職員・仲間,174,28,146,66,80
一緒に実施する人,障害がある人のサークル・障害者スポーツサークル等の仲間,91,15,76,43,33
一緒に実施する人,障害がある人やない人など様々な人がいるサークルの仲間,107,23,84,50,34
一緒に実施する人,スポーツ教室の指導者・仲間,151,26,125,51,74
一緒に実施する人,障害者専用スポーツ施設の職員・仲間,61,11,50,24,26
一緒に実施する人,地域の公共スポーツ施設の職員・仲間,48,8,40,25,15
一緒に実施する人,ボランティアの人たち,54,8,46,27,19
一緒に実施する人,学校の先生や学校の友達,150,33,117,58,59
一緒に実施する人,児童通所サービス（放課後等デイサービス等）の職員・仲間,86,8,78,38,40
一緒に実施する人,その他の友人・知人,137,19,118,43,75
一緒に実施する人,その他,35,3,32,6,26
一緒に実施する人,わからない,40,1,39,1,38
実施した理由,健康・体力づくりのため,1503,142,1361,458,903
実施した理由,楽しみや気晴らしのため,890,100,790,319,471
実施した理由,運動不足解消のため,1109,109,1000,359,641
実施した理由,精神の修養や訓練のため（心をきたえるため）,240,34,206,99,107
実施した理由,自己の記録や能力を向上させるため,182,35,147,68,79
実施した理由,リハビリテーションや医療・治療のため,340,26,314,122,192
実施した理由,家族のふれあいのため,154,28,126,57,69
実施した理由,友人・仲間との交流のため,254,48,206,88,118
実施した理由,美容や肥満解消（ダイエット）のため,217,23,194,78,116
実施した理由,障害者スポーツ大会に参加するため,17,4,13,4,9
実施した理由,その他,36,6,30,13,17
実施した理由,わからない,61,1,60,7,53
実施したきっかけ,家族に奨められた,561,47,514,202,312
実施したきっかけ,（障害のある）友人・知人・同僚に奨められた,101,16,85,45,40
実施したきっかけ,（障害のない）友人・知人・同僚に奨められた,119,17,102,50,52
実施したきっかけ,医師に奨められた,500,37,463,146,317
実施したきっかけ,看護師に奨められた,114,12,102,44,58
実施したきっかけ,作業療法士（OT）に奨められた,100,13,87,47,40
実施したきっかけ,理学療法士（PT）に奨められた,128,22,106,46,60
実施したきっかけ,言語聴覚士（ST）に奨められた,39,5,34,26,8
実施したきっかけ,視能訓練士（CO）に奨められた,21,7,14,10,4
実施したきっかけ,義肢装具士に奨められた,15,4,11,10,1
実施したきっかけ,介護福祉士に奨められた,43,6,37,19,18
実施したきっかけ,社会福祉士（ソーシャルワーカー）に奨められた,49,12,37,17,20
実施したきっかけ,スポーツ指導者に奨められた,20,3,17,9,8
実施したきっかけ,パラスポーツ指導員（旧障害者スポーツ指導員）に奨められた,19,7,12,10,2
実施したきっかけ,学校の先生に奨められた,57,10,47,29,18
実施したきっかけ,学校の授業等で興味を持ち、自主的に始めた,64,16,48,28,20
実施したきっかけ,所属する団体（会社等）に奨められた,17,3,14,8,6
実施したきっかけ,障害のある有名選手・パラアスリートの影響,14,3,11,10,1
実施したきっかけ,障害のない有名選手・アスリートの影響,13,5,8,6,2
実施したきっかけ,テレビや新聞の影響,66,14,52,23,29
実施したきっかけ,インターネットや動画配信を見て,81,20,61,26,35
実施したきっかけ,ＳＮＳの影響,40,14,26,11,15
実施したきっかけ,漫画、ドラマ、映画等の影響,20,6,14,7,7
実施したきっかけ,現地やテレビ等でそのスポーツを観た,22,5,17,13,4
実施したきっかけ,スポーツ団体等の関係者から誘われた,11,2,9,4,5
実施したきっかけ,スポーツイベントや体験会等で興味を持った,18,4,14,8,6
実施したきっかけ,スポーツ以外をテーマとするイベント（福祉祭り等の中の講演や体験会等）で興味を持った,6,1,5,3,2
実施したきっかけ,福祉施設で実施している運動プログラムに参加して,36,6,30,11,19
実施したきっかけ,行政の広報誌,15,2,13,3,10
実施したきっかけ,その他,89,8,81,17,64
実施したきっかけ,特にきっかけはない・なんとなく,676,54,622,168,454
スポーツ・運動への取組意向,スポーツや運動を行っており、満足している,849,84,765,284,481
スポーツ・運動への取組意向,スポーツや運動を行っているが、もっと行いたい,600,65,535,204,331
スポーツ・運動への取組意向,スポーツや運動を行いたいと思うができない,732,55,677,198,479
スポーツ・運動への取組意向,スポーツや運動に関心はない,1045,53,992,155,837
実施していない理由,医師に止められており、身体的にできない,127,8,119,19,100
実施していない理由,どのくらい体を動かしたらよいかわからない,74,1,73,18,55
実施していない理由,身近なところにスポーツや運動ができる場所がない,61,3,58,20,38
実施していない理由,スポーツや運動ができる場所への移動手段がない,40,1,39,14,25
実施していない理由,自分に合ったスポーツや運動の情報がない,89,5,84,31,53
実施していない理由,一緒にできる仲間がいない,96,7,89,34,55
実施していない理由,介助者がいない,93,1,92,29,63
実施していない理由,金銭的な余裕がない,117,5,112,24,88
実施していない理由,時間がない,90,6,84,25,59
実施していない理由,必要な競技用具や補助具がない,42,1,41,16,25
実施していない理由,その他,87,1,86,19,67
実施していない理由,活動したいと思わない,666,20,646,77,569
活動したいと思わない理由,スポーツ・運動が嫌いだから,158,7,151,26,125
活動したいと思わない理由,スポーツ・運動に興味がないから,151,6,145,27,118
活動したいと思わない理由,スポーツ・運動を楽しんだ経験がないから,39,2,37,7,30
活動したいと思わない理由,疲れるから,163,8,155,23,132
活動したいと思わない理由,人前に出るのが好きではないから,57,3,54,14,40
活動したいと思わない理由,学校の体育や部活動等で苦手意識を持ったから,23,1,22,6,16
活動したいと思わない理由,一緒に運動・スポーツする人に迷惑をかけるのではないかと心配だから,18,1,17,5,12
活動したいと思わない理由,スポーツ以外に趣味があるから,64,4,60,12,48
活動したいと思わない理由,忙しいから,34,2,32,2,30
活動したいと思わない理由,その他,56,3,53,6,47
活動したいと思わない理由,わからない,216,2,214,17,197
学校体育の参加状況,参加していて、体育が好きである,279,36,243,123,120
学校体育の参加状況,参加しているが、体育は好きではない,146,32,114,57,57
学校体育の参加状況,参加していない,42,7,35,17,18
学校体育の参加状況,わからない,37,1,36,5,31
学校体育に参加しない理由,授業の内容のとおりに身体を動かすことができないから,9,1,8,3,5
学校体育に参加しない理由,自分にはできないと思ったから,12,0,12,8,4
学校体育に参加しない理由,他の生徒や先生に迷惑をかけると思ったから,6,1,5,3,2
学校体育に参加しない理由,参加するために必要なスポーツ用具がなかったから,1,0,1,0,1
学校体育に参加しない理由,医師から止められていたから,1,0,1,0,1
学校体育に参加しない理由,学校の先生から見学するように言われたから,3,1,2,0,2
学校体育に参加しない理由,身体を動かすことが怖いから,5,2,3,0,3
学校体育に参加しない理由,その他,12,2,10,6,4
スポーツ・運動の参加方法,現地の会場で対面での参加,1083,124,959,411,548
スポーツ・運動の参加方法,リモート参加,134,15,119,60,59
スポーツ・運動の参加方法,ハイブリッド（現地参加とリモート参加の両方から選択できる）,241,31,210,98,112
スポーツ・運動の参加方法,参加したいと思わない,1768,87,1681,272,1409
参加したいスポーツ活動,ルールが簡単,891,111,780,340,440
参加したいスポーツ活動,自分のペースに合わせてできる,1507,139,1368,488,880
参加したいスポーツ活動,汗をかかない,151,20,131,51,80
参加したいスポーツ活動,自宅で実施できる,570,51,519,186,333
参加したいスポーツ活動,短い時間で実施できる,705,58,647,233,414
参加したいスポーツ活動,上達したことが分かる,362,52,310,152,158
参加したいスポーツ活動,ゲーム機を使い体を動かして行なうスポーツ・フィットネス等,203,47,156,95,61
参加したいスポーツ活動,好きな種目を選べる,468,70,398,184,214
参加したいスポーツ活動,やったことがないスポーツを試せる,138,27,111,63,48
参加したいスポーツ活動,予約や申し込みなしに、参加したいときに参加できる,355,40,315,137,178
参加したいスポーツ活動,有名な選手に会える,85,16,69,37,32
参加したいスポーツ活動,親子で一緒に参加ができる,149,23,126,69,57
参加したいスポーツ活動,新しい友達をつくることができる,263,41,222,117,105
参加したいスポーツ活動,スポーツ以外に芸術・文化的なパフォーマンスも楽しめる,130,17,113,59,54
参加したいスポーツ活動,失敗しても笑われたり恥ずかしい思いをしない,365,52,313,139,174
参加したいスポーツ活動,新しい道具やウェアを買わなくてよい,326,22,304,110,194
参加したいスポーツ活動,その他,63,6,57,11,46
参加したいスポーツ活動,どのようなスポーツや運動でも参加したいと思わない,909,26,883,78,805
スポーツ・運動の継続実施に必要なもの,スタジアム、体育館などの建物や設備のバリアフリー化,344,39,305,159,146
スポーツ・運動の継続実施に必要なもの,交通機関（電車やバス）やまちのバリアフリー化,375,38,337,162,175
スポーツ・運動の継続実施に必要なもの,会場までの送迎,360,51,309,139,170
スポーツ・運動の継続実施に必要なもの,障害者への施設開放の促進（障害者が優先的に使える施設が増える）,274,36,238,131,107
スポーツ・運動の継続実施に必要なもの,障害にあわせた教室やプログラム,463,65,398,179,219
スポーツ・運動の継続実施に必要なもの,介助者や手話通訳などの支援,120,17,103,60,43
スポーツ・運動の継続実施に必要なもの,障害に対応した情報の提供や問合せ方法の充実,232,37,195,98,97
スポーツ・運動の継続実施に必要なもの,施設や用具等を利用する際に必要な手続きの支援,138,21,117,58,59
スポーツ・運動の継続実施に必要なもの,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進,109,20,89,54,35
スポーツ・運動の継続実施に必要なもの,健康や体調を管理する医療的なサポート,280,23,257,106,151
スポーツ・運動の継続実施に必要なもの,目標となる大会やイベント,136,20,116,62,54
スポーツ・運動の継続実施に必要なもの,スポーツ用具等の貸出し,172,20,152,88,64
スポーツ・運動の継続実施に必要なもの,施設の利用料減免　（利用料が安くなったり、無料になったりする）,314,36,278,120,158
スポーツ・運動の継続実施に必要なもの,リモートにより、障害に応じたスポーツ・運動を指導してくれる支援、またはその充実,89,11,78,35,43
スポーツ・運動の継続実施に必要なもの,自宅でもできる、障害に応じたスポーツ・運動方法についての情報提供、またはその充実,258,28,230,90,140
スポーツ・運動の継続実施に必要なもの,一緒に行う仲間（障害の無い人）,331,50,281,115,166
スポーツ・運動の継続実施に必要なもの,一緒に行う仲間（自分と同じ障害のある人）,291,52,239,113,126
スポーツ・運動の継続実施に必要なもの,一緒に行う仲間（自分と異なる障害のある人）,157,25,132,66,66
スポーツ・運動の継続実施に必要なもの,適切な指導者やコーチ、トレーナー,356,43,313,118,195
スポーツ・運動の継続実施に必要なもの,その他,44,3,41,7,34
スポーツ・運動の継続実施に必要なもの,特にない,362,20,342,63,279
スポーツ・運動の継続実施に必要なもの,わからない,247,15,232,40,192
新たに別のスポーツ・運動を始めるために必要な支援,スタジアム、体育館などの建物や設備のバリアフリー化,245,30,215,107,108
新たに別のスポーツ・運動を始めるために必要な支援,交通機関（電車やバス）やまちのバリアフリー化,228,18,210,99,111
新たに別のスポーツ・運動を始めるために必要な支援,会場までの送迎,321,33,288,124,164
新たに別のスポーツ・運動を始めるために必要な支援,障害者への施設開放の促進（障害者が優先的に使える施設が増える）,159,26,133,69,64
新たに別のスポーツ・運動を始めるために必要な支援,障害にあわせた教室やプログラム,340,46,294,119,175
新たに別のスポーツ・運動を始めるために必要な支援,介助者や手話通訳などの支援,65,10,55,28,27
新たに別のスポーツ・運動を始めるために必要な支援,障害に対応した情報の提供や問合せ方法の充実,142,25,117,61,56
新たに別のスポーツ・運動を始めるために必要な支援,施設や用具等を利用する際に必要な手続きの支援,75,9,66,38,28
新たに別のスポーツ・運動を始めるために必要な支援,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進,54,7,47,23,24
新たに別のスポーツ・運動を始めるために必要な支援,健康や体調を管理する医療的なサポート,186,21,165,67,98
新たに別のスポーツ・運動を始めるために必要な支援,目標となる大会やイベント,85,17,68,34,34
新たに別のスポーツ・運動を始めるために必要な支援,スポーツ用具等の貸出し,102,15,87,48,39
新たに別のスポーツ・運動を始めるために必要な支援,施設の利用料減免（利用料が安くなったり、無料になったりする）,245,26,219,92,127
新たに別のスポーツ・運動を始めるために必要な支援,リモートにより、障害に応じたスポーツ・運動を指導してくれる支援、またはその充実,50,7,43,17,26
新たに別のスポーツ・運動を始めるために必要な支援,自宅でもできる、障害に応じたスポーツ・運動方法についての情報提供、またはその充実,146,18,128,45,83
新たに別のスポーツ・運動を始めるために必要な支援,一緒に行う仲間（障害の無い人）,197,26,171,64,107
新たに別のスポーツ・運動を始めるために必要な支援,一緒に行う仲間（自分と同じ障害のある人）,164,24,140,64,76
新たに別のスポーツ・運動を始めるために必要な支援,一緒に行う仲間（自分と異なる障害のある人）,47,11,36,16,20
新たに別のスポーツ・運動を始めるために必要な支援,適切な指導者やコーチ、トレーナー,303,36,267,97,170
新たに別のスポーツ・運動を始めるために必要な支援,その他,23,2,21,10,11
新たに別のスポーツ・運動を始めるために必要な支援,特にない,396,18,378,71,307
新たに別のスポーツ・運動を始めるために必要な支援,わからない,249,16,233,39,194
スポーツを始めるきっかけとして必要な支援,スタジアム、体育館などの建物や設備のバリアフリー化,31,4,27,14,13
スポーツを始めるきっかけとして必要な支援,交通機関（電車やバス）やまちのバリアフリー化,32,5,27,9,18
スポーツを始めるきっかけとして必要な支援,会場までの送迎,95,4,91,28,63
スポーツを始めるきっかけとして必要な支援,障害者への施設開放の促進（障害者が優先的に使える施設が増える）,35,2,33,10,23
スポーツを始めるきっかけとして必要な支援,障害にあわせた教室やプログラム,112,7,105,37,68
スポーツを始めるきっかけとして必要な支援,介助者や手話通訳などの支援,29,2,27,6,21
スポーツを始めるきっかけとして必要な支援,障害に対応した情報の提供や問合せ方法の充実,38,2,36,13,23
スポーツを始めるきっかけとして必要な支援,施設や用具等を利用する際に必要な手続きの支援,13,1,12,4,8
スポーツを始めるきっかけとして必要な支援,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進,5,0,5,3,2
スポーツを始めるきっかけとして必要な支援,健康や体調を管理する医療的なサポート,65,3,62,14,48
スポーツを始めるきっかけとして必要な支援,目標となる大会やイベント,9,0,9,7,2
スポーツを始めるきっかけとして必要な支援,スポーツ用具等の貸出し,17,0,17,5,12
スポーツを始めるきっかけとして必要な支援,施設の利用料減免（利用料が安くなったり、無料になったりする）,46,2,44,15,29
スポーツを始めるきっかけとして必要な支援,リモートにより、障害に応じたスポーツ・運動を指導してくれる支援、またはその充実,9,1,8,0,8
スポーツを始めるきっかけとして必要な支援,自宅でもできる、障害に応じたスポーツ・運動方法についての情報提供、またはその充実,57,1,56,21,35
スポーツを始めるきっかけとして必要な支援,一緒に行う仲間（障害の無い人）,49,3,46,15,31
スポーツを始めるきっかけとして必要な支援,一緒に行う仲間（自分と同じ障害のある人）,65,5,60,23,37
スポーツを始めるきっかけとして必要な支援,一緒に行う仲間（自分と異なる障害のある人）,13,1,12,5,7
スポーツを始めるきっかけとして必要な支援,適切な指導者やコーチ、トレーナー,87,3,84,23,61
スポーツを始めるきっかけとして必要な支援,その他,23,1,22,2,20
スポーツを始めるきっかけとして必要な支援,特にない,385,7,378,36,342
スポーツを始めるきっかけとして必要な支援,わからない,354,18,336,44,292
スポーツ以外に関心のある事,旅行,1225,115,1110,355,755
スポーツ以外に関心のある事,グルメ・食べ歩き,1182,117,1065,382,683
スポーツ以外に関心のある事,買い物・ショッピング,840,90,750,263,487
スポーツ以外に関心のある事,テレビ視聴,1133,95,1038,325,713
スポーツ以外に関心のある事,動画配信サービス視聴,912,122,790,293,497
スポーツ以外に関心のある事,ＣＤやスマートフォンによる音楽鑑賞,481,69,412,169,243
スポーツ以外に関心のある事,ＳＮＳ閲覧・投稿,528,81,447,171,276
スポーツ以外に関心のある事,インターネット閲覧,957,127,830,282,548
スポーツ以外に関心のある事,映画鑑賞,765,84,681,237,444
スポーツ以外に関心のある事,読書,563,51,512,165,347
スポーツ以外に関心のある事,アニメ／漫画,592,105,487,203,284
スポーツ以外に関心のある事,スマートフォン・家庭用ゲーム機によるゲーム,615,123,492,253,239
スポーツ以外に関心のある事,写真の撮影,289,45,244,96,148
スポーツ以外に関心のある事,遊園地・動物園・水族館などの見物,347,59,288,111,177
スポーツ以外に関心のある事,美術鑑賞,293,31,262,70,192
スポーツ以外に関心のある事,コンサートなどによる音楽鑑賞,350,39,311,103,208
スポーツ以外に関心のある事,演劇・舞踏鑑賞,178,19,159,55,104
スポーツ以外に関心のある事,カラオケ,330,43,287,118,169
スポーツ以外に関心のある事,楽器の演奏,161,20,141,52,89
スポーツ以外に関心のある事,料理・菓子作り,284,44,240,90,150
スポーツ以外に関心のある事,園芸・ガーデニング,189,14,175,46,129
