調査項目,回答,全体(人),競技観戦(人),記録の更新(人),日本人選手の活躍(人),外国人選手の活躍(人),国際交流の促進(人),大会記念グッズの展開(人),日本東京の観光、伝統文化や食などの海外発信(人),競技体験(人),大会への子供の参加(人),デジタル技術を活用したコミュニケーション(人),手話の普及と理解の促進(人),デフスポーツの普及と理解の促進(人),障害や障害者への理解の促進(人),その他(人),期待するものはない(人)
障害福祉サービスの利用状況,就労継続支援（B型）,89,12,4,17,4,7,4,8,5,6,3,8,11,25,0,42
障害福祉サービスの利用状況,就労定着支援,19,3,2,8,3,3,2,2,2,2,2,3,5,9,0,4
障害福祉サービスの利用状況,自立生活援助,45,6,5,16,3,7,6,6,5,6,6,3,5,11,0,19
障害福祉サービスの利用状況,共同生活援助（グループホーム）,33,6,2,5,4,3,2,5,3,2,3,5,4,9,0,18
障害福祉サービスの利用状況,計画相談支援,51,6,3,12,0,8,3,7,5,7,5,7,15,25,0,18
障害福祉サービスの利用状況,地域相談支援,57,9,7,19,6,12,7,6,5,6,7,5,11,10,1,24
障害福祉サービスの利用状況,移動支援,76,9,8,19,3,12,3,9,5,10,5,5,11,24,1,30
障害福祉サービスの利用状況,地域活動支援センター,81,20,9,29,9,15,8,13,8,5,7,5,14,21,1,29
障害福祉サービスの利用状況,福祉ホーム,25,9,5,9,2,3,5,4,3,7,5,4,3,5,0,4
障害福祉サービスの利用状況,児童発達支援,55,14,3,12,5,8,5,10,8,11,9,6,13,22,0,13
障害福祉サービスの利用状況,医療型児童発達支援,11,3,1,4,0,2,2,4,2,3,2,2,1,3,0,2
障害福祉サービスの利用状況,放課後等デイサービス,208,28,13,45,7,17,12,18,13,24,14,12,27,58,2,89
障害福祉サービスの利用状況,居宅訪問型児童発達支援,8,3,2,3,1,3,3,3,4,3,4,2,3,3,0,1
障害福祉サービスの利用状況,保育所等訪問支援,5,0,0,0,0,0,1,0,1,3,2,1,1,4,0,0
障害福祉サービスの利用状況,訪問看護,179,14,6,38,7,18,3,10,5,9,7,11,22,41,0,106
障害福祉サービスの利用状況,訪問リハビリテーション,165,22,12,41,10,14,4,13,4,7,8,7,19,37,2,88
スポーツ運動の実施の有無,行っている,2091,321,169,585,160,245,84,159,92,130,132,161,261,456,9,851
スポーツ運動の実施の有無,行っていない,1135,72,26,139,23,46,7,31,12,30,23,26,62,137,4,835
過去1年間の実施種目,ウォーキング、散歩（散策、ペットの散歩など）,1595,252,132,456,121,199,55,116,65,94,97,124,213,380,5,670
過去1年間の実施種目,体操（ラジオ体操、職場体操、ストレッチ、エアロビクス、ヨガ、ピラティス、縄跳びなど）,531,116,50,162,54,77,37,59,35,40,48,61,93,136,0,187
過去1年間の実施種目,室内運動器具（ウエイト器具、ランニングマシーン、バランスボールなど）を用いる運動,285,63,36,93,28,38,24,36,18,25,28,35,48,73,0,93
過去1年間の実施種目,陸上競技（ランニング、ジョギングなどの軽い運動も含めます）,170,47,24,64,24,31,18,22,15,19,21,19,37,41,0,45
過去1年間の実施種目,水泳・遊泳（水中歩行・水中運動）,293,64,25,99,30,56,16,29,20,38,29,30,51,77,3,81
過去1年間の実施種目,ブラインドサッカー,24,7,5,10,7,6,8,10,1,4,4,7,3,2,0,2
過去1年間の実施種目,車いすテニス,15,6,2,6,2,4,3,4,3,5,3,5,3,2,0,2
過去1年間の実施種目,サウンドテーブルテニス,26,10,7,6,7,6,11,11,6,7,7,5,4,2,0,1
過去1年間の実施種目,パラバレーボール,26,7,3,7,5,5,10,9,3,8,8,3,1,1,0,2
過去1年間の実施種目,車いすバスケットボール,19,7,5,4,5,6,6,6,2,5,5,5,3,2,0,3
過去1年間の実施種目,車いすラグビー,13,3,3,1,2,2,4,3,1,6,3,1,0,0,0,1
過去1年間の実施種目,ボッチャ,50,10,6,12,1,8,5,4,6,13,7,5,11,20,0,11
過去1年間の実施種目,球技（キャッチボールなどのボールを使った軽い運動も含めます）,124,26,4,42,13,10,6,16,11,14,11,16,22,32,0,39
過去1年間の実施種目,ダンス（フォークダンス、ジャズダンス、社交ダンス、フラダンス、バレエ、民謡踊りなど）,94,20,9,29,10,16,7,13,8,15,8,21,25,24,0,30
過去1年間の実施種目,格闘技（ボクシング、レスリング、相撲（すもう）など）,19,5,3,4,2,4,4,5,3,6,8,6,4,6,0,4
過去1年間の実施種目,武道（柔道、剣道、空手、合気道など）,24,5,3,9,2,6,3,3,0,3,4,6,6,4,0,6
過去1年間の実施種目,射的（弓道、アーチェリー、ダーツ、スポーツ吹矢など）,15,4,2,6,4,4,6,4,4,7,7,5,3,5,0,1
過去1年間の実施種目,ウィンタースポーツ（スキー、スノーボード、スケートなど）,47,10,3,11,4,10,4,3,1,11,7,7,10,6,0,12
過去1年間の実施種目,ウォータースポーツ（ボート、ヨット、スキンダイビング、スクーバダイビング、カヌー、水上バイク、サーフィン、ウィンドサーフィン、ボディボード、ボードセーリングなど）,38,8,6,18,7,11,8,8,3,7,8,10,8,8,0,7
過去1年間の実施種目,スカイスポーツ（ハンググライダー、パラグライダー、スカイダイビングなど）,13,6,4,5,3,5,5,4,2,6,3,4,3,1,0,0
過去1年間の実施種目,アウトドアスポーツ（ハイキング、ワンダーフォーゲル、釣り、登山、キャンプなど）,105,28,14,39,17,19,9,7,5,18,12,14,18,25,1,32
過去1年間の実施種目,サイクリング、モーター（サイクル）スポーツ,114,20,11,36,13,30,14,17,12,20,16,20,27,44,2,36
過去1年間の実施種目,運動あそび（鬼ごっこ、かくれんぼ、鉄棒、ぶらんこなど）,134,29,11,40,9,18,4,10,16,24,11,16,32,41,0,40
過去1年間の実施種目,ゲーム機を使い体を動かして行うスポーツ・フィットネス等,79,18,12,29,9,13,6,9,9,12,11,17,25,31,0,25
過去1年間の実施種目,その他,53,6,1,17,4,6,1,3,1,1,1,4,11,18,1,22
過去1年間の実施種目,この1年間に運動・スポーツは行わなかった,1135,72,26,139,23,46,7,31,12,30,23,26,62,137,4,835
実施頻度（1年間）,週3日以上（年151日以上）,604,111,56,166,49,71,27,43,24,35,38,41,75,133,1,273
実施頻度（1年間）,週2日程度（年101日～150日）,429,80,43,129,33,69,24,37,25,37,34,41,69,99,2,138
実施頻度（1年間）,週1日程度（年51日～100日）,506,66,39,151,33,57,17,34,24,27,30,38,52,101,1,190
実施頻度（1年間）,月に1～3日程度（年12日～50日）,280,40,15,88,29,30,8,26,15,17,21,23,42,74,4,113
実施頻度（1年間）,3か月に1～2日程度（年4日～11日）,75,11,8,24,8,11,2,10,1,6,2,7,13,22,0,22
実施頻度（1年間）,年に1～3日程度,52,7,5,11,5,1,3,3,2,3,4,6,5,11,0,21
実施頻度（1年間）,わからない,145,6,3,16,3,6,3,6,1,5,3,5,5,16,1,94
実施した場所,自宅,829,158,84,244,85,122,40,74,46,59,65,77,129,207,2,318
実施した場所,道路や遊歩道,1083,175,86,320,98,144,34,78,49,64,67,93,153,280,5,465
実施した場所,広場や公園,633,130,64,224,72,99,34,65,48,54,59,77,110,185,1,213
実施した場所,民間のスポーツ施設,314,67,33,111,24,47,20,35,17,33,31,24,57,67,1,96
実施した場所,公共のスポーツ施設（障害者専用施設）,130,39,23,47,20,30,19,22,15,22,17,14,24,25,2,19
実施した場所,公共のスポーツ施設（障害者専用施設以外）,241,47,19,86,25,48,18,34,20,25,30,38,43,65,2,73
実施した場所,小中高校の体育施設,128,35,10,44,18,25,11,19,8,22,12,16,21,31,0,31
実施した場所,特別支援学校の体育施設,85,18,12,25,8,8,10,10,11,15,12,10,16,26,0,17
実施した場所,職場のスポーツ施設,35,12,8,13,8,5,14,11,8,8,10,7,8,6,0,3
実施した場所,福祉施設,64,13,10,19,6,10,11,8,9,8,10,7,10,19,1,19
実施した場所,児童通所サービス（放課後等デイサービス等）,87,14,6,19,8,12,7,8,9,13,7,7,15,27,0,27
実施した場所,医療機関（病院やリハビリ施設）,68,12,7,20,6,13,5,8,4,5,5,6,13,26,0,22
実施した場所,山・川・海・空,171,38,18,57,22,37,10,17,16,26,21,28,35,58,1,54
実施した場所,その他,44,4,0,10,2,3,0,0,0,4,2,5,5,10,0,20
実施した場所,わからない,47,2,0,1,0,0,0,1,0,0,0,1,0,0,0,42
一緒に実施する人,一人,1133,171,94,329,93,141,36,82,45,62,76,94,159,277,5,504
一緒に実施する人,家族,762,144,69,225,66,107,34,58,48,68,48,65,105,187,6,277
一緒に実施する人,福祉施設の職員・仲間,174,41,31,59,17,28,18,21,15,14,17,9,21,44,1,49
一緒に実施する人,障害がある人のサークル・障害者スポーツサークル等の仲間,91,22,15,31,7,18,14,14,9,17,8,11,14,18,1,17
一緒に実施する人,障害がある人やない人など様々な人がいるサークルの仲間,107,24,19,37,15,19,16,18,11,17,12,18,14,25,1,19
一緒に実施する人,スポーツ教室の指導者・仲間,151,34,11,52,18,29,18,18,15,26,23,17,30,36,0,33
一緒に実施する人,障害者専用スポーツ施設の職員・仲間,61,15,10,26,8,11,10,15,7,12,10,15,14,14,0,7
一緒に実施する人,地域の公共スポーツ施設の職員・仲間,48,11,8,19,6,8,12,12,6,10,14,8,11,7,0,6
一緒に実施する人,ボランティアの人たち,54,18,11,20,7,13,9,12,6,14,12,8,9,12,0,9
一緒に実施する人,学校の先生や学校の友達,150,38,14,48,14,23,10,20,13,27,14,17,26,48,0,34
一緒に実施する人,児童通所サービス（放課後等デイサービス等）の職員・仲間,86,14,3,16,6,9,4,6,11,15,3,9,14,26,0,33
一緒に実施する人,その他の友人・知人,137,31,10,47,17,14,3,12,11,10,12,18,30,37,1,57
一緒に実施する人,その他,35,4,0,10,1,4,1,2,0,1,2,4,7,12,0,13
一緒に実施する人,わからない,40,1,0,1,1,0,1,1,0,0,0,0,2,4,0,33
実施した理由,健康・体力づくりのため,1503,263,134,441,119,193,45,111,75,95,101,129,216,365,7,618
実施した理由,楽しみや気晴らしのため,890,186,90,303,103,146,48,92,66,84,80,91,147,243,4,300
実施した理由,運動不足解消のため,1109,193,110,360,112,169,43,101,63,77,89,117,188,308,5,430
実施した理由,精神の修養や訓練のため（心をきたえるため）,240,59,37,88,39,54,26,36,26,30,31,37,50,68,1,56
実施した理由,自己の記録や能力を向上させるため,182,44,21,53,20,30,28,31,17,23,28,25,32,36,1,57
実施した理由,リハビリテーションや医療・治療のため,340,58,33,115,35,55,23,45,26,37,33,46,56,104,2,117
実施した理由,家族のふれあいのため,154,36,15,55,16,33,13,18,18,26,17,17,36,54,1,40
実施した理由,友人・仲間との交流のため,254,64,31,91,36,49,25,31,24,36,32,32,59,63,2,71
実施した理由,美容や肥満解消（ダイエット）のため,217,38,24,79,34,46,15,36,11,18,30,42,60,77,2,71
実施した理由,障害者スポーツ大会に参加するため,17,4,2,6,1,3,2,5,3,5,3,6,7,8,1,3
実施した理由,その他,36,5,0,9,3,3,0,2,1,3,2,2,4,13,1,16
実施した理由,わからない,61,2,0,1,0,0,2,1,1,1,0,0,1,2,0,51
実施したきっかけ,家族に奨められた,561,123,60,172,51,91,23,37,32,43,44,51,85,130,2,186
実施したきっかけ,（障害のある）友人・知人・同僚に奨められた,101,35,20,48,9,24,10,18,13,16,15,20,19,28,0,17
実施したきっかけ,（障害のない）友人・知人・同僚に奨められた,119,30,19,48,15,24,14,15,9,18,19,17,26,23,0,30
実施したきっかけ,医師に奨められた,500,77,55,181,57,85,22,47,30,38,38,50,86,153,3,176
実施したきっかけ,看護師に奨められた,114,31,20,41,20,24,16,26,13,10,17,18,23,26,1,26
実施したきっかけ,作業療法士（OT）に奨められた,100,25,14,30,11,19,14,18,6,13,13,14,23,32,1,19
実施したきっかけ,理学療法士（PT）に奨められた,128,16,14,51,15,17,18,22,9,14,12,13,17,37,1,29
実施したきっかけ,言語聴覚士（ST）に奨められた,39,9,9,12,6,13,13,9,3,13,11,7,5,8,0,1
実施したきっかけ,視能訓練士（CO）に奨められた,21,4,2,7,3,0,12,8,2,6,7,3,0,0,0,0
実施したきっかけ,義肢装具士に奨められた,15,5,5,6,3,4,4,5,1,3,3,4,1,1,0,0
実施したきっかけ,介護福祉士に奨められた,43,12,7,16,5,8,9,8,5,8,6,6,7,10,0,8
実施したきっかけ,社会福祉士（ソーシャルワーカー）に奨められた,49,12,7,21,6,15,5,9,5,6,10,8,15,17,0,10
実施したきっかけ,スポーツ指導者に奨められた,20,6,3,11,2,5,5,4,5,5,4,6,2,2,0,2
実施したきっかけ,パラスポーツ指導員（旧障害者スポーツ指導員）に奨められた,19,3,5,8,4,5,7,6,5,7,7,6,4,4,0,0
実施したきっかけ,学校の先生に奨められた,57,18,11,24,6,11,8,10,10,15,9,6,12,20,0,7
実施したきっかけ,学校の授業等で興味を持ち、自主的に始めた,64,23,11,26,11,11,4,8,9,13,8,9,16,17,0,9
実施したきっかけ,所属する団体（会社等）に奨められた,17,2,4,5,3,1,1,1,4,4,3,3,4,5,0,3
実施したきっかけ,障害のある有名選手・パラアスリートの影響,14,5,2,6,3,3,2,3,4,2,3,4,8,7,1,0
実施したきっかけ,障害のない有名選手・アスリートの影響,13,5,4,7,5,3,1,1,3,4,4,7,7,5,0,1
実施したきっかけ,テレビや新聞の影響,66,22,19,40,16,20,10,16,12,8,18,17,26,31,1,11
実施したきっかけ,インターネットや動画配信を見て,81,20,15,38,16,24,10,15,13,12,17,15,27,35,0,18
実施したきっかけ,ＳＮＳの影響,40,11,5,17,10,15,5,8,10,6,9,8,13,22,0,7
実施したきっかけ,漫画、ドラマ、映画等の影響,20,6,3,12,6,6,5,6,5,4,9,8,9,8,0,4
実施したきっかけ,現地やテレビ等でそのスポーツを観た,22,10,4,10,3,4,1,3,4,5,5,3,9,6,0,3
実施したきっかけ,スポーツ団体等の関係者から誘われた,11,3,1,3,2,2,2,1,2,4,2,3,4,4,0,3
実施したきっかけ,スポーツイベントや体験会等で興味を持った,18,7,4,5,2,6,2,2,4,4,2,1,6,6,0,4
実施したきっかけ,スポーツ以外をテーマとするイベント（福祉祭り等の中の講演や体験会等）で興味を持った,6,3,2,2,1,1,2,0,2,1,0,0,2,3,0,0
実施したきっかけ,福祉施設で実施している運動プログラムに参加して,36,6,5,12,4,5,4,5,3,5,2,3,10,14,0,12
実施したきっかけ,行政の広報誌,15,0,0,5,2,3,0,1,2,1,1,1,3,5,0,6
実施したきっかけ,その他,89,12,5,28,9,15,2,7,2,6,10,13,17,31,4,36
実施したきっかけ,特にきっかけはない・なんとなく,676,77,33,139,31,47,9,36,20,22,23,31,50,113,3,394
スポーツ・運動への取組意向,スポーツや運動を行っており、満足している,849,167,76,253,70,112,43,67,41,66,55,68,111,162,4,325
スポーツ・運動への取組意向,スポーツや運動を行っているが、もっと行いたい,600,103,64,204,59,81,29,49,31,31,48,49,83,155,2,195
スポーツ・運動への取組意向,スポーツや運動を行いたいと思うができない,732,92,38,163,38,67,14,45,26,39,31,51,93,178,4,355
スポーツ・運動への取組意向,スポーツや運動に関心はない,1045,31,17,104,16,31,5,29,6,24,21,19,36,98,3,811
実施していない理由,医師に止められており、身体的にできない,127,13,1,18,2,7,0,2,1,5,4,2,9,22,0,85
実施していない理由,どのくらい体を動かしたらよいかわからない,74,11,4,17,4,4,2,4,2,2,4,1,6,11,0,47
実施していない理由,身近なところにスポーツや運動ができる場所がない,61,11,4,17,2,6,1,4,3,4,3,3,6,12,0,33
実施していない理由,スポーツや運動ができる場所への移動手段がない,40,6,3,8,3,3,2,5,1,2,3,1,4,10,0,22
実施していない理由,自分に合ったスポーツや運動の情報がない,89,18,3,17,6,8,1,4,3,4,7,6,9,22,1,44
実施していない理由,一緒にできる仲間がいない,96,13,1,22,6,12,2,7,3,8,3,4,9,19,1,56
実施していない理由,介助者がいない,93,13,2,17,2,4,1,4,3,3,4,2,7,18,0,54
実施していない理由,金銭的な余裕がない,117,11,4,17,6,8,3,7,4,7,4,5,9,22,0,79
実施していない理由,時間がない,90,8,3,16,4,9,0,3,2,3,2,4,11,24,2,51
実施していない理由,必要な競技用具や補助具がない,42,5,3,10,2,3,2,3,3,2,3,2,7,9,1,24
実施していない理由,その他,87,3,2,17,2,4,0,2,1,4,3,1,10,16,0,57
実施していない理由,活動したいと思わない,666,15,10,48,6,20,2,17,4,10,7,14,21,57,1,556
活動したいと思わない理由,スポーツ・運動が嫌いだから,158,1,4,7,1,3,1,2,1,1,4,3,2,7,0,142
活動したいと思わない理由,スポーツ・運動に興味がないから,151,5,2,16,2,8,1,6,1,3,1,3,6,15,0,125
活動したいと思わない理由,スポーツ・運動を楽しんだ経験がないから,39,0,1,4,0,2,0,2,0,0,0,0,1,2,0,32
活動したいと思わない理由,疲れるから,163,5,1,14,2,6,1,6,2,3,4,7,8,22,1,128
活動したいと思わない理由,人前に出るのが好きではないから,57,0,1,4,1,2,0,1,0,2,0,2,3,9,0,44
活動したいと思わない理由,学校の体育や部活動等で苦手意識を持ったから,23,0,0,0,0,1,0,0,0,0,0,1,0,1,0,21
活動したいと思わない理由,一緒に運動・スポーツする人に迷惑をかけるのではないかと心配だから,18,1,1,2,0,1,0,1,0,0,0,0,1,2,0,13
活動したいと思わない理由,スポーツ以外に趣味があるから,64,1,2,6,3,5,0,2,1,1,3,2,6,13,0,45
活動したいと思わない理由,忙しいから,34,1,0,3,1,2,0,2,0,0,0,1,3,4,0,26
活動したいと思わない理由,その他,56,3,2,7,1,1,0,1,0,1,1,1,4,10,1,40
活動したいと思わない理由,わからない,216,3,2,6,1,3,0,1,0,2,1,2,2,5,0,201
学校体育の参加状況,参加していて、体育が好きである,279,76,29,73,19,38,22,27,29,42,24,24,44,64,2,85
学校体育の参加状況,参加しているが、体育は好きではない,146,17,8,39,9,12,2,10,5,10,8,7,15,25,0,47
学校体育の参加状況,参加していない,42,4,1,11,5,3,0,4,1,2,1,1,1,6,0,20
学校体育の参加状況,わからない,37,2,2,6,0,3,0,1,0,1,0,0,0,4,0,26
