調査項目,回答,全体(人),ルールが簡単(人),自分のペースに合わせてできる(人),汗をかかない(人),自宅で実施できる(人),短い時間で実施できる(人),上達したことが分かる(人),ゲーム機を使い体を動かして行なうスポーツ・フィットネス等(人),好きな種目を選べる(人),やったことがないスポーツを試せる(人),予約や申し込みなしに、参加したいときに参加できる(人),有名な選手に会える(人),親子で一緒に参加ができる(人),新しい友達をつくることができる(人),スポーツ以外に芸術・文化的なパフォーマンスも楽しめる(人),失敗しても笑われたり恥ずかしい思いをしない(人),新しい道具やウェアを買わなくてよい(人),その他(人),どのようなスポーツや運動でも参加したいと思わない(人)
受傷の時期,生まれたとき,852,300,365,40,105,133,112,75,130,43,83,25,68,79,32,104,63,12,187
受傷の時期,生まれた後,2374,591,1142,111,465,572,250,128,338,95,272,60,81,184,98,261,263,51,722
学校の種別,小学校の普通学校（通常学級のみに在籍）,89,43,46,2,7,13,25,5,20,5,8,5,7,13,2,10,4,1,8
学校の種別,小学校の普通学校（通級による指導あり）,38,16,17,4,4,8,14,7,14,11,4,3,9,9,4,11,3,0,0
学校の種別,小学校の普通学校（特別支援学級）,86,54,62,4,8,17,26,6,19,8,12,4,18,21,9,32,13,2,6
学校の種別,小学校の特別支援学校（養護学校・盲学校・ろう学校）,48,25,25,2,8,8,9,7,11,7,13,1,16,8,3,9,7,0,4
学校の種別,中学校の普通学校（通常学級のみに在籍）,44,12,18,2,7,8,7,4,9,4,5,5,3,6,3,6,2,0,10
学校の種別,中学校の普通学校（通級による指導あり）,16,6,6,0,3,4,2,2,6,1,0,0,2,1,0,4,1,0,1
学校の種別,中学校の普通学校（特別支援学級）,39,21,27,1,3,7,8,14,11,6,7,7,9,7,4,8,7,1,2
学校の種別,中学校の特別支援学校（養護学校・盲学校・ろう学校）,40,24,21,0,6,9,6,3,8,5,8,1,9,3,1,10,6,3,3
学校の種別,高等学校の普通学校（通常学級のみに在籍）,50,15,31,2,5,9,9,5,16,3,8,3,4,7,2,11,5,1,5
学校の種別,高等学校の普通学校（通級による指導あり）,12,2,7,1,1,5,2,2,4,0,1,0,0,3,0,1,1,0,3
学校の種別,高等学校の特別支援学校（養護学校・盲学校・ろう学校）,42,22,26,1,6,6,5,4,7,4,5,2,3,9,3,6,4,0,5
学校の種別,大学・短期大学,37,14,18,2,10,9,5,7,7,1,4,1,2,4,1,2,3,1,4
学校の種別,特別支援学校高等部専攻科、高等学校専攻科,14,8,10,0,2,5,3,2,2,0,4,1,4,4,0,5,3,0,2
学校の種別,職業能力開発校、障害者職業能力開発校等,7,5,4,0,1,2,2,0,4,1,2,0,1,2,0,2,1,0,0
学校の種別,なし,136,48,62,6,16,33,22,16,27,3,19,5,9,15,6,18,13,1,40
仕事の有無,仕事をしている,1227,332,580,63,200,278,145,88,204,58,145,32,31,96,61,128,108,23,303
仕事の有無,仕事をしていない,1821,488,840,80,339,385,196,95,236,69,182,47,105,153,64,214,192,37,565
仕事の有無,福祉的就労をしている（就労移行支援、就労継続支援Ａ型・Ｂ型、就労定着支援）,178,71,87,8,31,42,21,20,28,11,28,6,13,14,5,23,26,3,41
平日・日中の居場所,自分の家,1843,415,821,98,386,400,146,91,209,44,163,28,50,104,56,159,187,32,628
平日・日中の居場所,職場（一般企業など）,677,185,318,28,93,151,82,46,119,36,85,18,17,56,39,77,60,14,166
平日・日中の居場所,職場（福祉的就労（就労移行支援、就労継続支援Ａ型・Ｂ型、就労定着支援）の施設）,102,46,53,6,19,28,11,11,14,6,18,4,10,9,2,15,12,2,18
平日・日中の居場所,学校,362,181,221,10,41,76,94,43,94,43,60,27,59,74,25,92,48,7,24
平日・日中の居場所,通所施設（生活介護、デイケアなど）,135,35,45,6,15,27,16,12,20,5,17,5,8,10,5,9,6,3,36
平日・日中の居場所,入所施設,69,19,27,2,7,15,5,0,5,2,6,1,4,6,3,6,7,2,26
平日・日中の居場所,その他,38,10,22,1,9,8,8,0,7,2,6,2,1,4,0,7,6,3,11
放課後の居場所,自分の家,345,168,200,13,40,58,86,39,82,32,45,19,42,60,22,71,37,6,39
放課後の居場所,習いごと（塾や英会話等の学習系）,75,28,43,8,10,17,32,11,25,13,14,9,8,13,7,14,5,3,2
放課後の居場所,習いごと（スイミングやサッカー等のスポーツ系）,59,29,33,1,7,13,28,13,23,12,11,8,11,13,6,17,8,2,1
放課後の居場所,習いごと（音楽や習字等の芸術系）,41,10,17,5,8,11,13,13,16,8,7,3,7,5,4,7,3,1,1
放課後の居場所,児童通所サービス（放課後等デイサービス　等）,156,94,102,5,17,33,37,21,39,23,32,11,45,36,14,47,27,3,8
放課後の居場所,学童保育,34,15,17,2,5,9,11,8,13,13,9,4,8,9,5,11,4,0,1
放課後の居場所,広場や公園,35,18,19,2,8,7,24,8,19,10,8,6,12,12,7,14,3,1,0
放課後の居場所,学校（校庭や体育館）,35,18,25,0,8,11,16,5,17,7,5,5,3,17,2,14,4,0,0
放課後の居場所,児童館や図書館などの公共施設,16,11,10,0,4,4,10,7,8,4,5,4,4,9,3,7,3,0,1
放課後の居場所,その他,8,5,6,0,1,3,3,1,4,1,1,0,0,3,0,4,2,0,0
障害福祉サービスの利用状況,利用していない,2117,524,977,82,338,431,196,115,294,68,216,48,60,142,73,215,195,38,663
障害福祉サービスの利用状況,居宅介護（ホームヘルプ）,222,57,105,26,61,50,33,13,28,13,19,7,7,24,14,26,25,2,57
障害福祉サービスの利用状況,重度訪問介護,29,8,9,2,8,4,3,1,3,0,0,0,0,2,1,1,1,1,11
障害福祉サービスの利用状況,同行援護,70,29,34,7,16,21,12,5,7,6,7,3,6,10,3,9,5,1,11
障害福祉サービスの利用状況,行動援護,81,31,37,5,19,27,21,10,12,8,12,2,6,14,3,18,7,1,9
障害福祉サービスの利用状況,重度障害者等包括支援,29,4,10,2,3,7,5,5,1,2,2,1,2,1,1,3,1,0,1
障害福祉サービスの利用状況,短期入所（ショートステイ）,141,41,56,6,31,35,12,15,15,10,17,5,13,10,6,17,18,4,37
障害福祉サービスの利用状況,療養介護,34,13,17,5,10,13,11,6,8,5,8,2,4,5,5,9,4,0,5
障害福祉サービスの利用状況,生活介護,85,31,41,7,25,31,14,8,16,3,10,2,5,5,5,14,10,0,21
障害福祉サービスの利用状況,施設入所支援,43,7,15,2,7,10,2,1,5,1,5,0,4,1,4,6,7,2,14
障害福祉サービスの利用状況,自立訓練,65,20,32,4,19,21,9,6,9,2,9,2,4,8,1,7,10,2,11
障害福祉サービスの利用状況,就労移行支援,42,25,21,6,8,11,9,6,12,3,14,5,2,7,3,10,7,2,7
障害福祉サービスの利用状況,就労継続支援（A型）,23,9,13,1,1,6,8,2,7,3,3,3,2,5,0,3,1,2,2
障害福祉サービスの利用状況,就労継続支援（B型）,89,44,53,6,21,31,13,11,22,7,21,3,9,10,4,14,16,2,14
障害福祉サービスの利用状況,就労定着支援,19,8,15,1,3,8,5,1,8,3,7,4,1,4,3,6,2,1,2
障害福祉サービスの利用状況,自立生活援助,45,14,20,2,12,12,6,6,11,3,8,5,6,12,4,6,6,2,7
障害福祉サービスの利用状況,共同生活援助（グループホーム）,33,14,17,2,5,7,6,5,6,2,6,0,5,3,0,6,5,1,3
障害福祉サービスの利用状況,計画相談支援,51,26,31,4,12,14,14,10,20,10,15,4,10,13,8,17,13,4,6
障害福祉サービスの利用状況,地域相談支援,57,20,28,6,16,16,11,8,17,5,11,5,6,10,9,10,8,3,10
障害福祉サービスの利用状況,移動支援,76,22,41,5,17,15,15,13,12,9,15,6,9,9,9,14,19,2,11
障害福祉サービスの利用状況,地域活動支援センター,81,32,45,8,23,22,18,11,14,8,13,7,7,11,9,15,13,3,13
障害福祉サービスの利用状況,福祉ホーム,25,12,11,6,7,7,5,4,4,4,3,1,3,4,4,2,1,0,2
障害福祉サービスの利用状況,児童発達支援,55,32,35,2,9,11,20,10,11,13,10,3,17,21,8,25,9,1,2
障害福祉サービスの利用状況,医療型児童発達支援,11,7,7,1,3,4,5,5,5,4,4,2,2,3,2,3,2,1,0
障害福祉サービスの利用状況,放課後等デイサービス,208,107,122,9,30,46,44,23,44,27,39,8,44,40,20,54,37,5,33
障害福祉サービスの利用状況,居宅訪問型児童発達支援,8,5,3,1,1,3,2,2,5,2,2,3,4,2,2,2,2,0,1
障害福祉サービスの利用状況,保育所等訪問支援,5,3,4,0,0,1,3,1,0,1,2,1,2,4,2,3,3,0,0
障害福祉サービスの利用状況,訪問看護,179,35,82,10,48,47,23,7,22,3,21,5,3,12,12,24,29,3,66
障害福祉サービスの利用状況,訪問リハビリテーション,165,38,80,10,55,50,21,3,21,6,13,2,3,9,13,18,23,3,50
スポーツ運動の実施の有無,行っている,2091,736,1218,110,424,539,310,167,388,122,287,72,122,221,107,282,252,33,274
スポーツ運動の実施の有無,行っていない,1135,155,289,41,146,166,52,36,80,16,68,13,27,42,23,83,74,30,635
過去1年間の実施種目,ウォーキング、散歩（散策、ペットの散歩など）,1595,592,962,84,347,443,215,113,282,87,218,54,84,159,87,210,202,21,236
過去1年間の実施種目,体操（ラジオ体操、職場体操、ストレッチ、エアロビクス、ヨガ、ピラティス、縄跳びなど）,531,225,340,37,161,187,110,50,140,53,102,28,38,81,34,101,91,12,45
過去1年間の実施種目,室内運動器具（ウエイト器具、ランニングマシーン、バランスボールなど）を用いる運動,285,104,177,24,90,75,64,38,78,31,65,14,23,51,19,54,35,3,18
過去1年間の実施種目,陸上競技（ランニング、ジョギングなどの軽い運動も含めます）,170,81,102,16,27,50,50,22,61,25,42,20,23,36,16,42,22,2,8
過去1年間の実施種目,水泳・遊泳（水中歩行・水中運動）,293,134,197,7,39,61,76,31,80,36,68,21,44,60,16,71,36,6,9
過去1年間の実施種目,ブラインドサッカー,24,8,8,6,9,6,9,7,7,5,4,4,3,4,3,1,0,0,1
過去1年間の実施種目,車いすテニス,15,7,6,2,3,3,5,5,3,2,4,2,3,2,2,1,1,0,1
過去1年間の実施種目,サウンドテーブルテニス,26,5,7,4,6,8,8,7,7,8,2,4,5,4,5,1,0,0,1
過去1年間の実施種目,パラバレーボール,26,6,5,5,9,1,4,10,5,10,7,4,6,2,4,1,0,0,1
過去1年間の実施種目,車いすバスケットボール,19,7,5,3,5,3,7,6,6,5,4,3,2,4,2,1,1,0,0
過去1年間の実施種目,車いすラグビー,13,2,2,2,4,2,4,4,2,4,5,0,4,0,2,2,0,0,0
過去1年間の実施種目,ボッチャ,50,31,32,3,6,12,16,6,11,11,16,7,12,12,4,11,9,1,0
過去1年間の実施種目,球技（キャッチボールなどのボールを使った軽い運動も含めます）,124,64,78,5,11,28,34,10,54,19,27,13,20,32,8,38,14,3,2
過去1年間の実施種目,ダンス（フォークダンス、ジャズダンス、社交ダンス、フラダンス、バレエ、民謡踊りなど）,94,50,57,6,9,27,31,13,42,11,30,9,18,27,13,26,16,1,2
過去1年間の実施種目,格闘技（ボクシング、レスリング、相撲（すもう）など）,19,6,9,3,2,5,9,4,11,7,4,5,5,6,4,4,4,0,0
過去1年間の実施種目,武道（柔道、剣道、空手、合気道など）,24,10,10,3,3,3,12,2,9,4,5,1,3,7,5,9,4,0,0
過去1年間の実施種目,射的（弓道、アーチェリー、ダーツ、スポーツ吹矢など）,15,6,7,3,2,6,5,5,8,5,6,3,4,2,3,2,3,0,1
過去1年間の実施種目,ウィンタースポーツ（スキー、スノーボード、スケートなど）,47,15,25,2,4,8,16,4,20,7,12,2,8,14,3,6,5,1,1
過去1年間の実施種目,ウォータースポーツ（ボート、ヨット、スキンダイビング、スクーバダイビング、カヌー、水上バイク、サーフィン、ウィンドサーフィン、ボディボード、ボードセーリングなど）,38,12,18,3,12,7,12,7,15,7,9,3,4,10,4,8,4,0,3
過去1年間の実施種目,スカイスポーツ（ハンググライダー、パラグライダー、スカイダイビングなど）,13,3,0,6,5,5,5,6,6,2,2,2,2,3,1,1,0,0,0
過去1年間の実施種目,アウトドアスポーツ（ハイキング、ワンダーフォーゲル、釣り、登山、キャンプなど）,105,43,70,6,26,30,35,10,44,14,25,10,20,24,14,27,20,3,3
過去1年間の実施種目,サイクリング、モーター（サイクル）スポーツ,114,47,80,10,20,36,33,17,42,15,26,12,12,31,17,23,22,3,6
過去1年間の実施種目,運動あそび（鬼ごっこ、かくれんぼ、鉄棒、ぶらんこなど）,134,89,97,2,14,38,53,14,46,19,32,13,37,38,11,47,27,1,3
過去1年間の実施種目,ゲーム機を使い体を動かして行うスポーツ・フィットネス等,79,44,54,8,26,23,25,33,36,13,16,7,9,18,6,22,15,2,3
過去1年間の実施種目,その他,53,17,34,3,8,13,6,4,17,5,9,3,1,7,2,11,15,8,4
過去1年間の実施種目,この1年間に運動・スポーツは行わなかった,1135,155,289,41,146,166,52,36,80,16,68,13,27,42,23,83,74,30,635
実施頻度（1年間）,週3日以上（年151日以上）,604,210,358,28,130,133,79,34,104,28,77,16,20,54,25,69,58,14,93
実施頻度（1年間）,週2日程度（年101日～150日）,429,163,267,26,101,115,84,43,111,37,75,19,33,68,27,70,58,3,40
実施頻度（1年間）,週1日程度（年51日～100日）,506,179,303,24,95,131,79,48,82,22,60,13,31,48,24,60,55,4,43
実施頻度（1年間）,月に1～3日程度（年12日～50日）,280,102,176,12,62,97,35,23,55,16,45,10,22,26,13,55,50,4,29
実施頻度（1年間）,3か月に1～2日程度（年4日～11日）,75,19,45,7,12,24,16,7,22,10,15,4,10,15,13,19,15,0,9
実施頻度（1年間）,年に1～3日程度,52,17,19,5,8,11,8,3,8,6,7,3,4,3,4,6,5,1,11
実施頻度（1年間）,わからない,145,46,50,8,16,28,9,9,6,3,8,7,2,7,1,3,11,7,49
実施した場所,自宅,829,335,511,57,309,272,140,85,171,54,123,35,48,87,50,133,118,13,100
実施した場所,道路や遊歩道,1083,379,693,64,267,329,131,81,201,56,153,33,53,117,64,145,164,14,155
実施した場所,広場や公園,633,279,427,35,145,212,113,57,153,53,106,33,58,87,53,112,92,9,52
実施した場所,民間のスポーツ施設,314,137,198,17,41,69,78,32,90,37,57,22,29,60,21,51,30,10,14
実施した場所,公共のスポーツ施設（障害者専用施設）,130,49,73,12,22,35,35,26,36,19,25,14,21,22,9,19,10,2,1
実施した場所,公共のスポーツ施設（障害者専用施設以外）,241,96,160,8,42,53,58,27,82,35,59,22,20,56,26,61,36,4,8
実施した場所,小中高校の体育施設,128,72,80,8,13,25,45,20,44,20,29,13,18,38,8,38,11,1,3
実施した場所,特別支援学校の体育施設,85,44,39,5,13,16,22,15,20,19,21,9,23,15,8,16,13,3,3
実施した場所,職場のスポーツ施設,35,12,7,4,12,9,11,11,11,6,6,3,5,7,8,5,4,0,0
実施した場所,福祉施設,64,32,37,6,17,16,15,8,14,11,11,5,10,20,9,14,12,2,1
実施した場所,児童通所サービス（放課後等デイサービス等）,87,58,53,3,10,17,31,14,21,11,22,5,29,23,8,30,19,1,1
実施した場所,医療機関（病院やリハビリ施設）,68,19,49,6,30,28,10,5,17,3,7,1,8,7,5,10,17,1,3
実施した場所,山・川・海・空,171,73,121,4,33,47,51,14,70,20,40,12,32,41,20,52,37,4,10
実施した場所,その他,44,13,32,0,4,16,9,5,12,2,9,1,3,4,5,11,10,3,4
実施した場所,わからない,47,10,6,1,1,5,2,2,1,0,0,1,0,1,0,1,1,3,30
一緒に実施する人,一人,1133,367,698,58,272,311,158,77,208,58,176,37,30,107,62,148,160,19,179
一緒に実施する人,家族,762,349,497,37,181,243,139,79,163,49,120,35,93,101,52,127,98,9,64
一緒に実施する人,福祉施設の職員・仲間,174,80,109,19,57,61,28,18,36,11,22,8,20,28,9,27,23,3,6
一緒に実施する人,障害がある人のサークル・障害者スポーツサークル等の仲間,91,42,55,13,17,22,21,15,25,12,18,6,18,17,7,16,12,1,1
一緒に実施する人,障害がある人やない人など様々な人がいるサークルの仲間,107,38,49,8,28,24,30,19,30,21,25,8,14,21,14,24,9,1,2
一緒に実施する人,スポーツ教室の指導者・仲間,151,60,86,10,11,29,53,22,57,28,31,15,18,35,14,38,17,3,3
一緒に実施する人,障害者専用スポーツ施設の職員・仲間,61,20,27,7,11,20,17,15,22,9,16,8,13,12,5,10,8,1,1
一緒に実施する人,地域の公共スポーツ施設の職員・仲間,48,15,24,5,7,6,18,12,21,7,16,7,13,14,7,9,2,1,0
一緒に実施する人,ボランティアの人たち,54,23,27,7,11,16,14,13,12,10,18,6,13,13,6,15,4,1,2
一緒に実施する人,学校の先生や学校の友達,150,83,95,5,18,34,43,18,53,27,26,13,28,43,12,44,19,3,2
一緒に実施する人,児童通所サービス（放課後等デイサービス等）の職員・仲間,86,57,57,1,8,23,25,14,22,12,23,4,27,23,6,32,19,1,2
一緒に実施する人,その他の友人・知人,137,48,97,5,30,37,40,16,54,23,29,12,14,41,20,41,33,5,5
一緒に実施する人,その他,35,10,23,4,12,11,6,2,8,2,2,0,2,1,4,8,13,4,2
一緒に実施する人,わからない,40,5,2,1,1,1,0,0,0,0,1,1,0,0,1,0,1,3,28
実施した理由,健康・体力づくりのため,1503,611,980,71,333,415,231,114,300,93,234,55,83,179,82,232,204,24,171
実施した理由,楽しみや気晴らしのため,890,383,614,46,179,261,176,81,239,80,153,48,82,145,69,173,140,13,72
実施した理由,運動不足解消のため,1109,426,769,62,300,362,194,97,260,79,202,44,76,150,74,204,191,21,107
実施した理由,精神の修養や訓練のため（心をきたえるため）,240,105,144,19,61,73,66,33,68,28,62,16,23,44,30,66,42,3,12
実施した理由,自己の記録や能力を向上させるため,182,77,98,16,47,57,62,26,62,35,42,15,23,41,23,48,26,3,8
実施した理由,リハビリテーションや医療・治療のため,340,107,214,26,125,123,64,38,84,28,57,15,31,43,31,59,67,7,30
実施した理由,家族のふれあいのため,154,86,119,8,38,54,50,23,57,20,41,13,44,40,20,51,33,0,7
実施した理由,友人・仲間との交流のため,254,107,157,15,47,61,80,28,102,41,60,27,48,77,33,73,44,5,8
実施した理由,美容や肥満解消（ダイエット）のため,217,85,143,20,74,75,48,47,66,25,60,14,15,35,27,59,57,9,24
実施した理由,障害者スポーツ大会に参加するため,17,8,13,0,3,1,5,3,7,7,5,4,3,4,3,4,3,0,0
実施した理由,その他,36,10,18,1,6,10,6,4,12,2,7,3,2,3,4,7,8,7,5
実施した理由,わからない,61,9,5,1,1,4,3,1,0,0,2,1,0,1,1,0,1,3,39
実施したきっかけ,家族に奨められた,561,262,358,31,149,174,89,50,107,30,72,24,35,67,32,83,59,7,42
実施したきっかけ,（障害のある）友人・知人・同僚に奨められた,101,50,76,9,23,35,25,20,35,13,17,14,14,21,16,25,10,1,3
実施したきっかけ,（障害のない）友人・知人・同僚に奨められた,119,53,72,14,31,32,27,19,37,14,23,10,10,33,16,23,13,0,4
実施したきっかけ,医師に奨められた,500,161,346,38,149,183,69,48,101,36,79,16,17,49,37,71,80,12,50
実施したきっかけ,看護師に奨められた,114,47,68,18,40,39,24,14,25,13,20,13,10,18,11,18,19,3,2
実施したきっかけ,作業療法士（OT）に奨められた,100,45,50,13,32,37,26,18,26,9,19,6,15,19,12,26,19,2,5
実施したきっかけ,理学療法士（PT）に奨められた,128,36,67,9,45,39,30,20,33,12,23,7,13,14,11,19,22,2,10
実施したきっかけ,言語聴覚士（ST）に奨められた,39,9,13,8,13,9,16,13,11,10,10,5,9,4,6,5,1,0,0
実施したきっかけ,視能訓練士（CO）に奨められた,21,3,2,3,3,6,5,7,3,5,5,1,9,3,2,1,0,0,1
実施したきっかけ,義肢装具士に奨められた,15,3,5,1,6,1,6,5,4,4,6,2,3,2,1,2,1,0,0
実施したきっかけ,介護福祉士に奨められた,43,13,20,6,13,17,11,7,13,5,7,4,6,7,6,8,4,0,3
実施したきっかけ,社会福祉士（ソーシャルワーカー）に奨められた,49,27,32,10,11,19,18,9,17,8,13,5,4,10,9,16,6,3,0
実施したきっかけ,スポーツ指導者に奨められた,20,8,15,1,1,5,9,4,10,6,8,2,7,8,2,7,0,0,0
実施したきっかけ,パラスポーツ指導員（旧障害者スポーツ指導員）に奨められた,19,7,5,3,6,3,9,5,7,6,3,5,5,3,6,4,1,0,0
実施したきっかけ,学校の先生に奨められた,57,35,36,0,11,15,25,12,23,14,12,6,18,18,8,18,9,1,0
実施したきっかけ,学校の授業等で興味を持ち、自主的に始めた,64,36,42,0,10,14,22,8,33,13,13,5,18,22,5,25,9,1,0
実施したきっかけ,所属する団体（会社等）に奨められた,17,10,7,2,3,6,5,1,12,2,3,2,4,4,3,7,2,0,0
実施したきっかけ,障害のある有名選手・パラアスリートの影響,14,6,8,2,4,5,9,2,6,3,2,3,3,5,4,4,1,0,0
実施したきっかけ,障害のない有名選手・アスリートの影響,13,5,8,3,3,5,8,3,9,6,3,5,1,5,2,4,1,1,0
実施したきっかけ,テレビや新聞の影響,66,35,48,8,22,32,24,10,24,11,15,7,2,12,9,18,14,2,3
実施したきっかけ,インターネットや動画配信を見て,81,43,57,5,28,38,25,15,33,16,16,12,5,13,10,20,17,1,4
実施したきっかけ,ＳＮＳの影響,40,25,29,3,13,14,15,10,12,4,8,7,2,7,10,12,8,2,3
実施したきっかけ,漫画、ドラマ、映画等の影響,20,10,13,4,6,7,12,4,10,5,5,4,1,5,6,6,1,2,0
実施したきっかけ,現地やテレビ等でそのスポーツを観た,22,6,10,2,3,3,8,4,13,5,3,6,4,6,3,6,1,1,1
実施したきっかけ,スポーツ団体等の関係者から誘われた,11,6,7,0,2,3,6,2,6,6,5,3,1,6,2,4,1,1,0
実施したきっかけ,スポーツイベントや体験会等で興味を持った,18,8,9,0,4,6,10,5,11,5,8,3,7,9,3,10,3,1,0
実施したきっかけ,スポーツ以外をテーマとするイベント（福祉祭り等の中の講演や体験会等）で興味を持った,6,1,4,0,1,2,1,1,5,3,3,2,1,4,3,3,1,0,0
実施したきっかけ,福祉施設で実施している運動プログラムに参加して,36,21,30,0,7,14,6,3,8,5,11,2,8,8,4,16,9,0,1
実施したきっかけ,行政の広報誌,15,2,12,0,2,4,2,1,6,2,4,0,1,4,3,7,3,0,0
実施したきっかけ,その他,89,27,62,4,23,27,20,4,24,11,15,1,6,9,7,18,19,10,5
実施したきっかけ,特にきっかけはない・なんとなく,676,202,359,20,95,125,62,28,107,25,85,22,33,58,28,69,81,11,164
