調査項目,回答,全体(人),家族(人),友人(人),学校や職場、施設の人(人),ボランティア(人),ホームヘルパー、ガイドヘルパーなどの支援者(人),医師や看護師、理学療法士、作業療法士などの医療関係者(人),テレビ(人),ラジオ(人),新聞(人),雑誌(人),障害者団体の会合や機関誌(人),検索エンジンを活用（Yahoo!、Googleなど）(人),インターネットのニュースサイトやニュースアプリ(人),ＳＮＳ（X（旧Twitter）、Facebook、Instagram、TikTokなど）(人),動画配信サービス（YouTubeなど）(人),行政の窓口(人),区市町村などの広報誌(人),その他(人),わからない(人),得ていない(人)
受傷の時期,生まれたとき,852,385,198,206,38,57,68,270,54,51,39,26,154,193,178,173,30,36,2,32,74
受傷の時期,生まれた後,2374,1061,593,358,38,149,299,1281,260,415,160,54,589,936,630,545,134,236,14,52,107
学校の種別,小学校の普通学校（通常学級のみに在籍）,89,66,42,26,4,1,5,23,1,2,1,0,11,13,20,24,0,0,0,2,4
学校の種別,小学校の普通学校（通級による指導あり）,38,22,12,17,6,6,5,18,5,6,7,5,6,7,5,15,0,0,0,0,0
学校の種別,小学校の普通学校（特別支援学級）,86,60,32,43,4,4,12,34,3,0,0,2,16,14,11,46,2,2,0,2,1
学校の種別,小学校の特別支援学校（養護学校・盲学校・ろう学校）,48,27,11,23,4,6,6,10,1,2,2,3,8,6,2,11,2,3,1,2,2
学校の種別,中学校の普通学校（通常学級のみに在籍）,44,28,25,13,1,2,0,15,1,1,2,0,6,15,15,11,2,1,0,0,2
学校の種別,中学校の普通学校（通級による指導あり）,16,8,4,6,0,1,0,4,0,1,0,0,0,2,3,6,0,0,0,2,0
学校の種別,中学校の普通学校（特別支援学級）,39,29,15,18,3,5,4,15,3,2,2,1,5,11,8,16,3,2,0,0,2
学校の種別,中学校の特別支援学校（養護学校・盲学校・ろう学校）,40,26,7,27,1,2,3,12,1,1,0,0,1,8,2,7,1,1,0,1,1
学校の種別,高等学校の普通学校（通常学級のみに在籍）,50,27,28,21,1,1,2,17,3,3,5,0,11,22,27,24,0,0,0,1,1
学校の種別,高等学校の普通学校（通級による指導あり）,12,7,6,4,0,0,0,7,0,0,1,0,2,4,6,4,0,0,0,0,1
学校の種別,高等学校の特別支援学校（養護学校・盲学校・ろう学校）,42,23,10,25,1,2,4,17,2,0,0,3,8,8,12,14,4,1,0,1,3
学校の種別,大学・短期大学,37,19,15,9,0,0,3,16,2,2,1,1,12,15,18,7,1,1,0,0,2
学校の種別,特別支援学校高等部専攻科、高等学校専攻科,14,10,7,9,0,0,2,5,0,0,0,0,7,6,6,5,1,0,0,1,1
学校の種別,職業能力開発校、障害者職業能力開発校等,7,5,4,4,0,0,0,3,0,0,0,0,2,2,3,2,1,1,0,0,0
学校の種別,なし,136,65,27,22,2,7,8,45,6,6,2,3,31,38,43,39,3,3,0,6,18
仕事の有無,仕事をしている,1227,471,330,235,28,43,119,556,148,164,107,30,395,554,443,308,59,107,5,29,62
仕事の有無,仕事をしていない,1821,907,436,282,39,144,227,943,153,293,89,36,315,533,320,374,88,145,10,48,105
仕事の有無,福祉的就労をしている（就労移行支援、就労継続支援Ａ型・Ｂ型、就労定着支援）,178,68,25,47,9,19,21,52,13,9,3,14,33,42,45,36,17,20,1,7,14
平日・日中の居場所,自分の家,1843,775,399,127,33,113,224,967,188,319,111,39,400,645,425,352,101,180,9,49,120
平日・日中の居場所,職場（一般企業など）,677,274,178,160,15,16,57,315,80,98,61,12,228,330,252,174,29,59,2,18,24
平日・日中の居場所,職場（福祉的就労（就労移行支援、就労継続支援Ａ型・Ｂ型、就労定着支援）の施設）,102,40,16,33,3,8,8,32,6,6,0,7,20,29,27,23,7,9,1,5,7
平日・日中の居場所,学校,362,246,156,192,12,22,31,137,15,15,17,11,67,91,79,147,14,10,1,6,11
平日・日中の居場所,通所施設（生活介護、デイケアなど）,135,60,22,24,12,28,22,54,16,16,7,9,12,15,11,9,7,7,1,1,7
平日・日中の居場所,入所施設,69,30,12,23,1,16,12,22,6,7,3,2,6,8,4,7,3,1,2,4,9
平日・日中の居場所,その他,38,21,8,5,0,3,13,24,3,5,0,0,10,11,10,6,3,6,0,1,3
放課後の居場所,自分の家,345,240,143,140,17,12,23,122,13,11,10,3,57,84,80,131,8,5,1,8,13
放課後の居場所,習いごと（塾や英会話等の学習系）,75,45,40,28,6,9,8,23,8,8,7,5,14,21,24,27,3,2,0,1,0
放課後の居場所,習いごと（スイミングやサッカー等のスポーツ系）,59,42,33,25,7,5,8,21,3,4,5,1,12,14,15,29,3,3,0,0,1
放課後の居場所,習いごと（音楽や習字等の芸術系）,41,17,16,13,5,8,5,14,7,7,7,5,6,8,13,11,2,2,0,0,0
放課後の居場所,児童通所サービス（放課後等デイサービス　等）,156,99,44,97,7,16,18,58,6,5,6,9,24,24,11,61,7,7,1,5,7
放課後の居場所,学童保育,34,21,13,12,5,4,4,12,4,6,3,2,2,7,8,12,0,0,0,0,0
放課後の居場所,広場や公園,35,26,23,18,4,6,6,17,6,6,4,5,13,13,12,24,2,2,0,0,0
放課後の居場所,学校（校庭や体育館）,35,23,25,22,2,1,2,17,3,3,2,1,8,11,13,19,1,2,0,0,0
放課後の居場所,児童館や図書館などの公共施設,16,14,13,13,3,2,2,11,3,2,4,1,7,9,4,11,3,4,0,0,0
放課後の居場所,その他,8,3,6,5,1,0,1,3,0,0,0,0,2,3,6,5,0,0,0,0,0
障害福祉サービスの利用状況,利用していない,2117,935,556,298,28,27,152,1070,196,314,141,26,543,852,613,497,89,175,5,56,132
障害福祉サービスの利用状況,居宅介護（ホームヘルプ）,222,98,47,31,9,79,57,111,32,36,12,8,44,63,40,35,15,22,1,2,9
障害福祉サービスの利用状況,重度訪問介護,29,10,3,3,4,7,9,8,6,3,2,3,9,8,6,4,2,4,1,3,2
障害福祉サービスの利用状況,同行援護,70,31,16,21,5,20,13,35,15,9,6,3,13,17,8,13,6,8,0,0,1
障害福祉サービスの利用状況,行動援護,81,35,15,28,11,21,15,32,13,8,6,7,13,21,13,15,5,4,0,1,2
障害福祉サービスの利用状況,重度障害者等包括支援,29,5,4,5,3,9,6,5,4,3,3,1,2,2,5,3,1,2,0,1,0
障害福祉サービスの利用状況,短期入所（ショートステイ）,141,74,18,28,2,30,31,60,15,18,8,7,12,19,12,11,9,9,1,2,12
障害福祉サービスの利用状況,療養介護,34,19,14,6,4,14,8,18,9,6,6,0,4,9,8,6,5,3,0,0,1
障害福祉サービスの利用状況,生活介護,85,45,18,23,5,19,22,45,11,13,5,4,20,24,16,15,5,8,0,1,3
障害福祉サービスの利用状況,施設入所支援,43,19,3,20,0,8,12,19,8,8,4,0,4,4,3,4,3,0,2,0,1
障害福祉サービスの利用状況,自立訓練,65,26,18,13,3,13,16,37,10,12,7,3,14,16,11,10,3,7,1,3,3
障害福祉サービスの利用状況,就労移行支援,42,21,13,11,3,4,8,18,6,5,5,2,19,17,21,15,7,5,0,0,1
障害福祉サービスの利用状況,就労継続支援（A型）,23,10,7,10,1,3,2,11,4,6,4,3,5,8,6,6,4,3,0,2,0
障害福祉サービスの利用状況,就労継続支援（B型）,89,32,12,32,3,8,12,29,7,6,1,6,23,25,33,25,9,14,2,1,4
障害福祉サービスの利用状況,就労定着支援,19,10,10,10,1,2,5,10,4,4,2,4,6,9,7,6,5,2,0,0,1
障害福祉サービスの利用状況,自立生活援助,45,17,15,13,4,8,18,19,8,6,2,4,20,23,17,14,6,9,0,0,1
障害福祉サービスの利用状況,共同生活援助（グループホーム）,33,16,6,14,3,8,5,18,6,5,0,5,5,9,4,3,4,2,1,1,1
障害福祉サービスの利用状況,計画相談支援,51,29,14,21,6,13,21,24,5,9,5,5,20,17,14,23,17,18,1,1,0
障害福祉サービスの利用状況,地域相談支援,57,21,20,12,4,10,18,27,10,14,6,3,15,19,15,14,14,13,1,3,1
障害福祉サービスの利用状況,移動支援,76,37,14,28,9,21,19,36,11,11,5,5,22,28,15,18,9,13,1,1,3
障害福祉サービスの利用状況,地域活動支援センター,81,37,20,20,6,18,23,36,11,13,5,10,21,31,20,15,19,18,1,2,4
障害福祉サービスの利用状況,福祉ホーム,25,11,8,9,4,6,6,8,5,3,0,3,4,7,10,6,4,2,0,0,0
障害福祉サービスの利用状況,児童発達支援,55,31,19,33,4,5,11,24,4,4,4,3,15,15,10,24,4,4,0,1,0
障害福祉サービスの利用状況,医療型児童発達支援,11,8,6,5,1,2,4,5,3,1,1,0,3,6,6,6,2,1,0,0,0
障害福祉サービスの利用状況,放課後等デイサービス,208,120,47,99,4,28,33,89,14,22,8,12,29,31,18,65,10,9,2,6,10
障害福祉サービスの利用状況,居宅訪問型児童発達支援,8,2,4,3,3,3,2,2,2,2,2,3,3,3,2,3,2,2,0,1,1
障害福祉サービスの利用状況,保育所等訪問支援,5,4,1,4,0,1,0,2,1,1,2,1,2,0,0,2,0,0,0,0,0
障害福祉サービスの利用状況,訪問看護,179,80,32,27,4,39,53,99,22,36,11,8,51,55,43,41,18,29,1,5,6
障害福祉サービスの利用状況,訪問リハビリテーション,165,90,37,25,2,42,50,92,17,34,10,6,37,46,18,24,11,21,3,5,9
スポーツ運動の実施の有無,行っている,2091,1018,611,437,71,133,259,978,220,311,156,63,538,774,604,527,122,195,6,41,62
スポーツ運動の実施の有無,行っていない,1135,428,180,127,5,73,108,573,94,155,43,17,205,355,204,191,42,77,10,43,119
過去1年間の実施種目,ウォーキング、散歩（散策、ペットの散歩など）,1595,808,464,316,48,84,193,777,182,255,129,39,435,620,471,406,101,169,5,25,58
過去1年間の実施種目,体操（ラジオ体操、職場体操、ストレッチ、エアロビクス、ヨガ、ピラティス、縄跳びなど）,531,277,195,161,32,46,90,287,71,95,61,21,169,220,181,173,43,76,3,3,7
過去1年間の実施種目,室内運動器具（ウエイト器具、ランニングマシーン、バランスボールなど）を用いる運動,285,114,88,67,14,28,56,127,37,46,22,14,93,126,102,91,23,31,0,2,7
過去1年間の実施種目,陸上競技（ランニング、ジョギングなどの軽い運動も含めます）,170,94,73,86,7,15,15,81,22,25,18,9,47,64,61,66,9,13,1,0,2
過去1年間の実施種目,水泳・遊泳（水中歩行・水中運動）,293,177,117,116,17,25,39,131,24,28,19,12,76,92,83,102,19,29,2,2,4
過去1年間の実施種目,ブラインドサッカー,24,7,4,10,3,8,7,9,4,4,4,4,5,5,6,5,1,0,0,0,2
過去1年間の実施種目,車いすテニス,15,6,6,7,1,3,3,7,6,1,2,1,2,4,3,2,3,2,0,0,1
過去1年間の実施種目,サウンドテーブルテニス,26,8,8,8,6,11,7,7,4,3,3,6,5,7,9,5,1,1,0,0,0
過去1年間の実施種目,パラバレーボール,26,7,4,9,4,7,8,6,3,6,3,8,5,7,6,3,0,0,0,1,0
過去1年間の実施種目,車いすバスケットボール,19,6,7,5,6,2,5,5,3,2,2,2,4,4,8,5,0,0,0,0,0
過去1年間の実施種目,車いすラグビー,13,4,0,2,1,2,3,4,1,4,0,2,3,4,4,3,0,0,0,0,0
過去1年間の実施種目,ボッチャ,50,36,15,28,3,7,8,21,3,5,3,3,10,10,10,15,5,8,0,0,2
過去1年間の実施種目,球技（キャッチボールなどのボールを使った軽い運動も含めます）,124,81,63,60,6,5,12,62,8,16,12,5,36,44,42,55,4,7,0,2,3
過去1年間の実施種目,ダンス（フォークダンス、ジャズダンス、社交ダンス、フラダンス、バレエ、民謡踊りなど）,94,65,52,42,6,5,11,46,8,9,9,5,23,28,33,34,5,7,0,2,2
過去1年間の実施種目,格闘技（ボクシング、レスリング、相撲（すもう）など）,19,10,12,9,2,4,2,9,3,2,4,3,7,10,7,7,0,1,0,0,0
過去1年間の実施種目,武道（柔道、剣道、空手、合気道など）,24,10,11,9,1,2,4,9,5,5,5,1,7,5,7,4,4,1,0,1,0
過去1年間の実施種目,射的（弓道、アーチェリー、ダーツ、スポーツ吹矢など）,15,3,6,6,1,4,2,8,4,4,3,4,4,6,7,5,2,3,0,0,0
過去1年間の実施種目,ウィンタースポーツ（スキー、スノーボード、スケートなど）,47,25,23,24,1,1,3,26,3,7,4,1,17,21,19,18,5,4,0,0,0
過去1年間の実施種目,ウォータースポーツ（ボート、ヨット、スキンダイビング、スクーバダイビング、カヌー、水上バイク、サーフィン、ウィンドサーフィン、ボディボード、ボードセーリングなど）,38,13,17,17,3,5,7,11,7,6,6,1,17,18,17,13,5,4,0,1,1
過去1年間の実施種目,スカイスポーツ（ハンググライダー、パラグライダー、スカイダイビングなど）,13,3,4,5,1,3,5,3,5,0,1,1,2,4,6,2,1,0,0,0,0
過去1年間の実施種目,アウトドアスポーツ（ハイキング、ワンダーフォーゲル、釣り、登山、キャンプなど）,105,52,54,41,4,8,9,55,14,16,14,4,47,43,48,50,10,12,0,1,2
過去1年間の実施種目,サイクリング、モーター（サイクル）スポーツ,114,53,43,39,4,8,20,62,22,25,15,7,51,61,43,51,16,19,1,1,1
過去1年間の実施種目,運動あそび（鬼ごっこ、かくれんぼ、鉄棒、ぶらんこなど）,134,106,71,80,4,3,16,62,4,7,7,4,31,29,27,68,7,9,1,0,4
過去1年間の実施種目,ゲーム機を使い体を動かして行うスポーツ・フィットネス等,79,54,44,36,4,6,6,40,4,6,6,4,28,29,38,35,9,10,0,1,0
過去1年間の実施種目,その他,53,24,25,16,1,4,7,28,7,9,3,1,17,24,18,20,4,8,0,4,1
過去1年間の実施種目,この1年間に運動・スポーツは行わなかった,1135,428,180,127,5,73,108,573,94,155,43,17,205,355,204,191,42,77,10,43,119
実施頻度（1年間）,週3日以上（年151日以上）,604,296,183,121,12,30,66,310,69,100,55,19,171,258,181,156,35,66,2,6,15
実施頻度（1年間）,週2日程度（年101日～150日）,429,227,153,111,25,32,62,206,58,73,34,19,119,172,130,134,23,43,0,2,2
実施頻度（1年間）,週1日程度（年51日～100日）,506,244,144,101,20,49,80,222,48,74,39,14,114,148,139,114,34,46,3,8,14
実施頻度（1年間）,月に1～3日程度（年12日～50日）,280,140,73,59,9,12,29,140,29,39,19,5,85,114,91,79,14,26,0,4,7
実施頻度（1年間）,3か月に1～2日程度（年4日～11日）,75,28,23,13,2,5,8,39,5,5,5,3,22,31,25,18,5,6,0,1,1
実施頻度（1年間）,年に1～3日程度,52,26,15,12,1,3,3,22,3,5,2,3,12,21,15,9,4,2,0,1,2
実施頻度（1年間）,わからない,145,57,20,20,2,2,11,39,8,15,2,0,15,30,23,17,7,6,1,19,21
実施した場所,自宅,829,462,287,179,37,54,128,411,94,142,74,22,245,327,259,232,69,104,3,11,18
実施した場所,道路や遊歩道,1083,552,327,212,27,55,145,599,138,205,98,28,343,483,338,298,78,141,2,15,25
実施した場所,広場や公園,633,361,220,163,32,37,90,321,90,109,61,17,195,244,193,194,46,81,2,5,14
実施した場所,民間のスポーツ施設,314,159,136,103,23,30,44,141,35,34,35,12,88,124,114,97,16,28,1,1,3
実施した場所,公共のスポーツ施設（障害者専用施設）,130,60,46,42,16,30,33,44,18,17,17,17,23,36,26,28,9,11,0,0,0
実施した場所,公共のスポーツ施設（障害者専用施設以外）,241,132,102,75,18,17,41,115,23,41,29,11,68,95,77,79,18,29,1,4,6
実施した場所,小中高校の体育施設,128,86,71,71,6,8,16,65,15,8,10,5,29,39,46,58,3,6,0,0,0
実施した場所,特別支援学校の体育施設,85,54,24,48,9,17,16,23,9,9,5,7,16,17,15,26,5,4,1,1,3
実施した場所,職場のスポーツ施設,35,13,12,12,7,8,6,14,7,7,6,7,11,12,15,7,2,3,0,0,0
実施した場所,福祉施設,64,37,24,25,8,17,20,25,11,16,5,3,15,17,17,13,6,8,0,0,1
実施した場所,児童通所サービス（放課後等デイサービス等）,87,54,24,49,6,9,12,38,3,4,3,6,18,11,6,34,6,3,1,2,5
実施した場所,医療機関（病院やリハビリ施設）,68,39,22,17,3,11,18,42,9,20,8,4,14,26,16,16,15,15,1,1,1
実施した場所,山・川・海・空,171,110,92,73,10,7,20,94,20,28,23,7,71,83,67,76,16,28,0,1,3
実施した場所,その他,44,19,12,6,1,4,4,28,4,10,3,1,17,26,19,17,4,5,1,0,1
実施した場所,わからない,47,10,3,3,0,2,1,5,1,2,0,0,2,3,5,2,2,0,0,12,13
一緒に実施する人,一人,1133,485,339,180,24,43,141,597,152,212,106,18,389,555,417,326,83,151,4,19,33
一緒に実施する人,家族,762,545,261,217,39,51,98,376,68,101,51,26,165,233,184,192,48,65,1,7,12
一緒に実施する人,福祉施設の職員・仲間,174,87,54,56,24,39,47,67,19,35,13,7,31,43,31,28,18,19,0,0,4
一緒に実施する人,障害がある人のサークル・障害者スポーツサークル等の仲間,91,48,32,31,13,26,19,30,15,12,9,11,14,23,16,17,7,9,0,0,0
一緒に実施する人,障害がある人やない人など様々な人がいるサークルの仲間,107,43,36,28,16,27,19,42,18,16,16,11,22,29,28,20,5,9,0,1,0
一緒に実施する人,スポーツ教室の指導者・仲間,151,89,75,57,13,16,25,73,16,17,16,16,36,52,39,50,9,12,0,0,1
一緒に実施する人,障害者専用スポーツ施設の職員・仲間,61,21,13,18,9,19,17,21,11,16,8,10,10,20,13,12,4,6,0,0,0
一緒に実施する人,地域の公共スポーツ施設の職員・仲間,48,20,18,17,10,13,11,20,7,9,8,10,15,16,13,11,5,6,0,0,0
一緒に実施する人,ボランティアの人たち,54,23,21,17,13,16,15,17,11,8,5,8,12,14,11,11,6,4,0,0,1
一緒に実施する人,学校の先生や学校の友達,150,109,80,98,7,9,14,62,6,9,7,4,29,38,43,73,7,5,1,0,2
一緒に実施する人,児童通所サービス（放課後等デイサービス等）の職員・仲間,86,56,24,51,4,5,13,40,2,4,3,3,13,13,8,38,5,4,1,2,3
一緒に実施する人,その他の友人・知人,137,71,90,44,0,4,11,82,11,23,15,3,62,68,66,66,10,21,0,2,2
一緒に実施する人,その他,35,17,9,8,0,5,14,20,3,6,2,1,12,20,14,11,7,6,1,1,0
一緒に実施する人,わからない,40,5,2,2,0,1,0,5,1,1,0,0,1,3,2,2,2,0,0,12,15
実施した理由,健康・体力づくりのため,1503,804,482,331,50,84,179,769,170,245,128,39,424,591,467,422,100,172,6,17,42
実施した理由,楽しみや気晴らしのため,890,537,351,259,38,64,115,459,104,148,78,36,265,349,288,274,63,96,3,6,14
実施した理由,運動不足解消のため,1109,592,380,271,40,73,152,616,142,208,103,39,356,490,358,338,83,140,6,9,16
実施した理由,精神の修養や訓練のため（心をきたえるため）,240,124,80,63,19,28,50,116,36,35,28,14,82,101,83,85,24,34,2,3,2
実施した理由,自己の記録や能力を向上させるため,182,88,68,52,16,27,38,83,33,26,20,14,60,73,64,72,15,23,2,0,2
実施した理由,リハビリテーションや医療・治療のため,340,166,105,59,16,48,92,179,50,71,30,18,99,151,96,91,39,56,4,3,4
実施した理由,家族のふれあいのため,154,128,73,70,14,13,27,79,15,18,11,6,46,58,42,61,17,20,1,0,1
実施した理由,友人・仲間との交流のため,254,143,145,106,19,24,38,131,22,40,30,15,78,93,86,107,16,27,0,2,5
実施した理由,美容や肥満解消（ダイエット）のため,217,101,86,62,9,11,31,112,30,32,32,9,104,125,115,102,26,39,2,2,4
実施した理由,障害者スポーツ大会に参加するため,17,10,10,10,4,3,3,9,3,1,2,2,6,9,6,7,3,5,0,0,0
実施した理由,その他,36,20,17,14,0,0,4,22,2,4,3,0,14,18,15,21,3,5,0,0,1
実施した理由,わからない,61,13,5,3,0,1,2,9,3,1,0,0,4,7,5,3,3,0,0,16,15
実施したきっかけ,家族に奨められた,561,408,189,134,27,45,68,275,55,99,43,9,120,161,125,125,39,51,0,7,11
実施したきっかけ,（障害のある）友人・知人・同僚に奨められた,101,58,54,33,22,19,18,41,11,13,10,7,24,27,26,28,12,15,0,0,0
実施したきっかけ,（障害のない）友人・知人・同僚に奨められた,119,58,60,31,12,15,21,57,15,20,15,5,38,47,39,34,4,12,0,0,0
実施したきっかけ,医師に奨められた,500,239,146,87,23,47,122,273,78,101,46,14,135,219,146,123,49,75,3,3,9
実施したきっかけ,看護師に奨められた,114,46,31,22,18,24,35,52,20,27,14,7,27,32,22,23,8,13,1,2,0
実施したきっかけ,作業療法士（OT）に奨められた,100,46,22,33,11,16,40,46,17,15,8,8,25,29,19,27,8,12,0,0,0
実施したきっかけ,理学療法士（PT）に奨められた,128,53,35,29,9,26,35,61,16,22,16,10,30,48,29,26,13,11,1,0,6
実施したきっかけ,言語聴覚士（ST）に奨められた,39,13,7,14,8,11,14,11,6,10,9,8,8,10,11,7,2,3,0,0,0
実施したきっかけ,視能訓練士（CO）に奨められた,21,3,3,5,2,4,6,7,6,4,4,5,5,2,4,2,0,0,0,0,0
実施したきっかけ,義肢装具士に奨められた,15,2,3,4,4,5,3,5,4,5,3,2,3,4,3,2,2,0,0,0,0
実施したきっかけ,介護福祉士に奨められた,43,24,13,13,5,19,16,20,9,8,5,7,10,11,10,8,5,5,0,0,2
実施したきっかけ,社会福祉士（ソーシャルワーカー）に奨められた,49,26,19,13,11,15,18,24,11,11,6,4,14,17,13,14,9,7,0,0,0
実施したきっかけ,スポーツ指導者に奨められた,20,11,12,11,3,5,4,10,6,6,3,3,3,9,8,6,2,4,0,0,0
実施したきっかけ,パラスポーツ指導員（旧障害者スポーツ指導員）に奨められた,19,8,6,6,7,7,7,8,5,6,4,7,7,5,9,6,2,2,0,0,0
実施したきっかけ,学校の先生に奨められた,57,41,25,33,6,9,8,32,5,10,5,3,15,14,16,22,5,4,1,0,0
実施したきっかけ,学校の授業等で興味を持ち、自主的に始めた,64,47,41,42,5,7,5,39,7,7,6,4,21,18,24,35,5,4,0,0,0
実施したきっかけ,所属する団体（会社等）に奨められた,17,8,8,6,4,2,4,10,2,1,2,2,5,7,4,7,1,2,0,0,1
実施したきっかけ,障害のある有名選手・パラアスリートの影響,14,3,4,3,4,4,2,6,5,3,4,5,9,4,5,4,3,4,0,0,0
実施したきっかけ,障害のない有名選手・アスリートの影響,13,4,6,7,1,5,4,6,5,2,3,1,5,7,8,5,3,2,0,0,0
実施したきっかけ,テレビや新聞の影響,66,38,32,14,7,9,13,54,20,23,15,5,25,31,26,21,10,16,0,0,1
実施したきっかけ,インターネットや動画配信を見て,81,46,37,27,7,4,11,45,17,14,11,5,48,50,45,49,10,16,0,0,1
実施したきっかけ,ＳＮＳの影響,40,19,14,9,5,2,8,17,7,2,7,2,18,23,35,22,9,7,0,1,0
実施したきっかけ,漫画、ドラマ、映画等の影響,20,9,11,7,2,2,5,9,4,3,6,3,11,8,11,11,5,5,0,0,0
実施したきっかけ,現地やテレビ等でそのスポーツを観た,22,11,12,8,4,2,4,13,4,3,4,2,7,12,10,8,2,4,0,0,0
