調査項目,回答,全体(人),持っている(人),持っていない(人)
仕事の有無,仕事をしていない,1821,1182,639
仕事の有無,福祉的就労をしている（就労移行支援、就労継続支援Ａ型・Ｂ型、就労定着支援）,178,161,17
平日・日中の居場所,自分の家,1843,1177,666
平日・日中の居場所,職場（一般企業など）,677,423,254
平日・日中の居場所,職場（福祉的就労（就労移行支援、就労継続支援Ａ型・Ｂ型、就労定着支援）の施設）,102,97,5
平日・日中の居場所,学校,362,222,140
平日・日中の居場所,通所施設（生活介護、デイケアなど）,135,101,34
平日・日中の居場所,入所施設,69,52,17
平日・日中の居場所,その他,38,31,7
放課後の居場所,自分の家,345,190,155
放課後の居場所,習いごと（塾や英会話等の学習系）,75,30,45
放課後の居場所,習いごと（スイミングやサッカー等のスポーツ系）,59,26,33
放課後の居場所,習いごと（音楽や習字等の芸術系）,41,25,16
放課後の居場所,児童通所サービス（放課後等デイサービス　等）,156,130,26
放課後の居場所,学童保育,34,22,12
放課後の居場所,広場や公園,35,22,13
放課後の居場所,学校（校庭や体育館）,35,15,20
放課後の居場所,児童館や図書館などの公共施設,16,5,11
放課後の居場所,その他,8,5,3
障害福祉サービスの利用状況,利用していない,2117,1237,880
障害福祉サービスの利用状況,居宅介護（ホームヘルプ）,222,175,47
障害福祉サービスの利用状況,重度訪問介護,29,27,2
障害福祉サービスの利用状況,同行援護,70,60,10
障害福祉サービスの利用状況,行動援護,81,66,15
障害福祉サービスの利用状況,重度障害者等包括支援,29,23,6
障害福祉サービスの利用状況,短期入所（ショートステイ）,141,113,28
障害福祉サービスの利用状況,療養介護,34,27,7
障害福祉サービスの利用状況,生活介護,85,69,16
障害福祉サービスの利用状況,施設入所支援,43,35,8
障害福祉サービスの利用状況,自立訓練,65,49,16
障害福祉サービスの利用状況,就労移行支援,42,40,2
障害福祉サービスの利用状況,就労継続支援（A型）,23,18,5
障害福祉サービスの利用状況,就労継続支援（B型）,89,88,1
障害福祉サービスの利用状況,就労定着支援,19,17,2
障害福祉サービスの利用状況,自立生活援助,45,35,10
障害福祉サービスの利用状況,共同生活援助（グループホーム）,33,30,3
障害福祉サービスの利用状況,計画相談支援,51,45,6
障害福祉サービスの利用状況,地域相談支援,57,36,21
障害福祉サービスの利用状況,移動支援,76,65,11
障害福祉サービスの利用状況,地域活動支援センター,81,60,21
障害福祉サービスの利用状況,福祉ホーム,25,23,2
障害福祉サービスの利用状況,児童発達支援,55,39,16
障害福祉サービスの利用状況,医療型児童発達支援,11,8,3
障害福祉サービスの利用状況,放課後等デイサービス,208,162,46
障害福祉サービスの利用状況,居宅訪問型児童発達支援,8,6,2
障害福祉サービスの利用状況,保育所等訪問支援,5,4,1
障害福祉サービスの利用状況,訪問看護,179,139,40
障害福祉サービスの利用状況,訪問リハビリテーション,165,110,55
過去1年間の実施種目,ウォーキング、散歩（散策、ペットの散歩など）,1595,1034,561
過去1年間の実施種目,体操（ラジオ体操、職場体操、ストレッチ、エアロビクス、ヨガ、ピラティス、縄跳びなど）,531,346,185
過去1年間の実施種目,室内運動器具（ウエイト器具、ランニングマシーン、バランスボールなど）を用いる運動,285,202,83
過去1年間の実施種目,陸上競技（ランニング、ジョギングなどの軽い運動も含めます）,170,106,64
過去1年間の実施種目,水泳・遊泳（水中歩行・水中運動）,293,194,99
過去1年間の実施種目,ブラインドサッカー,24,17,7
過去1年間の実施種目,車いすテニス,15,11,4
過去1年間の実施種目,サウンドテーブルテニス,26,18,8
過去1年間の実施種目,パラバレーボール,26,23,3
過去1年間の実施種目,車いすバスケットボール,19,14,5
過去1年間の実施種目,車いすラグビー,13,8,5
過去1年間の実施種目,ボッチャ,50,41,9
過去1年間の実施種目,球技（キャッチボールなどのボールを使った軽い運動も含めます）,124,75,49
過去1年間の実施種目,ダンス（フォークダンス、ジャズダンス、社交ダンス、フラダンス、バレエ、民謡踊りなど）,94,55,39
過去1年間の実施種目,格闘技（ボクシング、レスリング、相撲（すもう）など）,19,17,2
過去1年間の実施種目,武道（柔道、剣道、空手、合気道など）,24,13,11
過去1年間の実施種目,射的（弓道、アーチェリー、ダーツ、スポーツ吹矢など）,15,13,2
過去1年間の実施種目,ウィンタースポーツ（スキー、スノーボード、スケートなど）,47,32,15
過去1年間の実施種目,ウォータースポーツ（ボート、ヨット、スキンダイビング、スクーバダイビング、カヌー、水上バイク、サーフィン、ウィンドサーフィン、ボディボード、ボードセーリングなど）,38,28,10
過去1年間の実施種目,スカイスポーツ（ハンググライダー、パラグライダー、スカイダイビングなど）,13,10,3
過去1年間の実施種目,アウトドアスポーツ（ハイキング、ワンダーフォーゲル、釣り、登山、キャンプなど）,105,66,39
過去1年間の実施種目,サイクリング、モーター（サイクル）スポーツ,114,74,40
過去1年間の実施種目,運動あそび（鬼ごっこ、かくれんぼ、鉄棒、ぶらんこなど）,134,79,55
過去1年間の実施種目,ゲーム機を使い体を動かして行うスポーツ・フィットネス等,79,44,35
過去1年間の実施種目,その他,53,41,12
過去1年間の実施種目,この1年間に運動・スポーツは行わなかった,1135,746,389
実施頻度（1年間）,週3日以上（年151日以上）,604,408,196
実施頻度（1年間）,週2日程度（年101日～150日）,429,282,147
実施頻度（1年間）,週1日程度（年51日～100日）,506,327,179
実施頻度（1年間）,月に1～3日程度（年12日～50日）,280,184,96
実施頻度（1年間）,3か月に1～2日程度（年4日～11日）,75,54,21
実施頻度（1年間）,年に1～3日程度,52,29,23
実施頻度（1年間）,わからない,145,73,72
実施した場所,自宅,829,516,313
実施した場所,道路や遊歩道,1083,714,369
実施した場所,広場や公園,633,400,233
実施した場所,民間のスポーツ施設,314,205,109
実施した場所,公共のスポーツ施設（障害者専用施設）,130,99,31
実施した場所,公共のスポーツ施設（障害者専用施設以外）,241,159,82
実施した場所,小中高校の体育施設,128,68,60
実施した場所,特別支援学校の体育施設,85,76,9
実施した場所,職場のスポーツ施設,35,25,10
実施した場所,福祉施設,64,55,9
実施した場所,児童通所サービス（放課後等デイサービス等）,87,68,19
実施した場所,医療機関（病院やリハビリ施設）,68,51,17
実施した場所,山・川・海・空,171,110,61
実施した場所,その他,44,29,15
実施した場所,わからない,47,25,22
一緒に実施する人,一人,1133,730,403
一緒に実施する人,家族,762,488,274
一緒に実施する人,福祉施設の職員・仲間,174,128,46
一緒に実施する人,障害がある人のサークル・障害者スポーツサークル等の仲間,91,74,17
一緒に実施する人,障害がある人やない人など様々な人がいるサークルの仲間,107,76,31
一緒に実施する人,スポーツ教室の指導者・仲間,151,100,51
一緒に実施する人,障害者専用スポーツ施設の職員・仲間,61,45,16
一緒に実施する人,地域の公共スポーツ施設の職員・仲間,48,34,14
一緒に実施する人,ボランティアの人たち,54,45,9
一緒に実施する人,学校の先生や学校の友達,150,100,50
一緒に実施する人,児童通所サービス（放課後等デイサービス等）の職員・仲間,86,66,20
一緒に実施する人,その他の友人・知人,137,92,45
一緒に実施する人,その他,35,27,8
一緒に実施する人,わからない,40,16,24
実施した理由,健康・体力づくりのため,1503,990,513
実施した理由,楽しみや気晴らしのため,890,575,315
実施した理由,運動不足解消のため,1109,732,377
実施した理由,精神の修養や訓練のため（心をきたえるため）,240,154,86
実施した理由,自己の記録や能力を向上させるため,182,115,67
実施した理由,リハビリテーションや医療・治療のため,340,235,105
実施した理由,家族のふれあいのため,154,94,60
実施した理由,友人・仲間との交流のため,254,172,82
実施した理由,美容や肥満解消（ダイエット）のため,217,161,56
実施した理由,障害者スポーツ大会に参加するため,17,15,2
実施した理由,その他,36,25,11
実施した理由,わからない,61,27,34
実施したきっかけ,家族に奨められた,561,320,241
実施したきっかけ,（障害のある）友人・知人・同僚に奨められた,101,78,23
実施したきっかけ,（障害のない）友人・知人・同僚に奨められた,119,76,43
実施したきっかけ,医師に奨められた,500,318,182
実施したきっかけ,看護師に奨められた,114,80,34
実施したきっかけ,作業療法士（OT）に奨められた,100,78,22
実施したきっかけ,理学療法士（PT）に奨められた,128,97,31
実施したきっかけ,言語聴覚士（ST）に奨められた,39,30,9
実施したきっかけ,視能訓練士（CO）に奨められた,21,17,4
実施したきっかけ,義肢装具士に奨められた,15,13,2
実施したきっかけ,介護福祉士に奨められた,43,30,13
実施したきっかけ,社会福祉士（ソーシャルワーカー）に奨められた,49,33,16
実施したきっかけ,スポーツ指導者に奨められた,20,15,5
実施したきっかけ,パラスポーツ指導員（旧障害者スポーツ指導員）に奨められた,19,17,2
実施したきっかけ,学校の先生に奨められた,57,43,14
実施したきっかけ,学校の授業等で興味を持ち、自主的に始めた,64,43,21
実施したきっかけ,所属する団体（会社等）に奨められた,17,13,4
実施したきっかけ,障害のある有名選手・パラアスリートの影響,14,13,1
実施したきっかけ,障害のない有名選手・アスリートの影響,13,10,3
実施したきっかけ,テレビや新聞の影響,66,41,25
実施したきっかけ,インターネットや動画配信を見て,81,45,36
実施したきっかけ,ＳＮＳの影響,40,24,16
実施したきっかけ,漫画、ドラマ、映画等の影響,20,11,9
実施したきっかけ,現地やテレビ等でそのスポーツを観た,22,10,12
実施したきっかけ,スポーツ団体等の関係者から誘われた,11,6,5
実施したきっかけ,スポーツイベントや体験会等で興味を持った,18,12,6
実施したきっかけ,スポーツ以外をテーマとするイベント（福祉祭り等の中の講演や体験会等）で興味を持った,6,4,2
実施したきっかけ,福祉施設で実施している運動プログラムに参加して,36,30,6
実施したきっかけ,行政の広報誌,15,9,6
実施したきっかけ,その他,89,66,23
実施したきっかけ,特にきっかけはない・なんとなく,676,442,234
スポーツ・運動への取組意向,スポーツや運動を行っており、満足している,849,530,319
スポーツ・運動への取組意向,スポーツや運動を行っているが、もっと行いたい,600,414,186
スポーツ・運動への取組意向,スポーツや運動を行いたいと思うができない,732,512,220
スポーツ・運動への取組意向,スポーツや運動に関心はない,1045,647,398
実施していない理由,医師に止められており、身体的にできない,127,94,33
実施していない理由,どのくらい体を動かしたらよいかわからない,74,52,22
実施していない理由,身近なところにスポーツや運動ができる場所がない,61,48,13
実施していない理由,スポーツや運動ができる場所への移動手段がない,40,30,10
実施していない理由,自分に合ったスポーツや運動の情報がない,89,60,29
実施していない理由,一緒にできる仲間がいない,96,65,31
実施していない理由,介助者がいない,93,70,23
実施していない理由,金銭的な余裕がない,117,83,34
実施していない理由,時間がない,90,62,28
実施していない理由,必要な競技用具や補助具がない,42,34,8
実施していない理由,その他,87,60,27
実施していない理由,活動したいと思わない,666,411,255
活動したいと思わない理由,スポーツ・運動が嫌いだから,158,109,49
活動したいと思わない理由,スポーツ・運動に興味がないから,151,104,47
活動したいと思わない理由,スポーツ・運動を楽しんだ経験がないから,39,25,14
活動したいと思わない理由,疲れるから,163,104,59
活動したいと思わない理由,人前に出るのが好きではないから,57,40,17
活動したいと思わない理由,学校の体育や部活動等で苦手意識を持ったから,23,13,10
活動したいと思わない理由,一緒に運動・スポーツする人に迷惑をかけるのではないかと心配だから,18,15,3
活動したいと思わない理由,スポーツ以外に趣味があるから,64,46,18
活動したいと思わない理由,忙しいから,34,20,14
活動したいと思わない理由,その他,56,35,21
活動したいと思わない理由,わからない,216,112,104
学校体育の参加状況,参加していて、体育が好きである,279,177,102
学校体育の参加状況,参加しているが、体育は好きではない,146,82,64
学校体育の参加状況,参加していない,42,19,23
学校体育の参加状況,わからない,37,20,17
学校体育に参加しない理由,授業の内容のとおりに身体を動かすことができないから,9,4,5
学校体育に参加しない理由,自分にはできないと思ったから,12,6,6
学校体育に参加しない理由,他の生徒や先生に迷惑をかけると思ったから,6,4,2
学校体育に参加しない理由,参加するために必要なスポーツ用具がなかったから,1,1,0
学校体育に参加しない理由,医師から止められていたから,1,0,1
学校体育に参加しない理由,学校の先生から見学するように言われたから,3,1,2
学校体育に参加しない理由,身体を動かすことが怖いから,5,2,3
学校体育に参加しない理由,その他,12,3,9
スポーツ・運動の参加方法,現地の会場で対面での参加,1083,735,348
スポーツ・運動の参加方法,リモート参加,134,95,39
スポーツ・運動の参加方法,ハイブリッド（現地参加とリモート参加の両方から選択できる）,241,163,78
スポーツ・運動の参加方法,参加したいと思わない,1768,1110,658
参加したいスポーツ活動,ルールが簡単,891,597,294
参加したいスポーツ活動,自分のペースに合わせてできる,1507,1015,492
参加したいスポーツ活動,汗をかかない,151,109,42
参加したいスポーツ活動,自宅で実施できる,570,382,188
参加したいスポーツ活動,短い時間で実施できる,705,473,232
参加したいスポーツ活動,上達したことが分かる,362,231,131
参加したいスポーツ活動,ゲーム機を使い体を動かして行なうスポーツ・フィットネス等,203,135,68
参加したいスポーツ活動,好きな種目を選べる,468,313,155
参加したいスポーツ活動,やったことがないスポーツを試せる,138,94,44
参加したいスポーツ活動,予約や申し込みなしに、参加したいときに参加できる,355,262,93
参加したいスポーツ活動,有名な選手に会える,85,54,31
参加したいスポーツ活動,親子で一緒に参加ができる,149,115,34
参加したいスポーツ活動,新しい友達をつくることができる,263,183,80
参加したいスポーツ活動,スポーツ以外に芸術・文化的なパフォーマンスも楽しめる,130,93,37
参加したいスポーツ活動,失敗しても笑われたり恥ずかしい思いをしない,365,246,119
参加したいスポーツ活動,新しい道具やウェアを買わなくてよい,326,240,86
参加したいスポーツ活動,その他,63,52,11
参加したいスポーツ活動,どのようなスポーツや運動でも参加したいと思わない,909,567,342
スポーツ・運動の継続実施に必要なもの,スタジアム、体育館などの建物や設備のバリアフリー化,344,231,113
スポーツ・運動の継続実施に必要なもの,交通機関（電車やバス）やまちのバリアフリー化,375,253,122
スポーツ・運動の継続実施に必要なもの,会場までの送迎,360,243,117
スポーツ・運動の継続実施に必要なもの,障害者への施設開放の促進（障害者が優先的に使える施設が増える）,274,215,59
スポーツ・運動の継続実施に必要なもの,障害にあわせた教室やプログラム,463,326,137
スポーツ・運動の継続実施に必要なもの,介助者や手話通訳などの支援,120,90,30
スポーツ・運動の継続実施に必要なもの,障害に対応した情報の提供や問合せ方法の充実,232,171,61
スポーツ・運動の継続実施に必要なもの,施設や用具等を利用する際に必要な手続きの支援,138,98,40
スポーツ・運動の継続実施に必要なもの,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進,109,86,23
スポーツ・運動の継続実施に必要なもの,健康や体調を管理する医療的なサポート,280,201,79
スポーツ・運動の継続実施に必要なもの,目標となる大会やイベント,136,89,47
スポーツ・運動の継続実施に必要なもの,スポーツ用具等の貸出し,172,113,59
スポーツ・運動の継続実施に必要なもの,施設の利用料減免　（利用料が安くなったり、無料になったりする）,314,233,81
スポーツ・運動の継続実施に必要なもの,リモートにより、障害に応じたスポーツ・運動を指導してくれる支援、またはその充実,89,68,21
スポーツ・運動の継続実施に必要なもの,自宅でもできる、障害に応じたスポーツ・運動方法についての情報提供、またはその充実,258,173,85
スポーツ・運動の継続実施に必要なもの,一緒に行う仲間（障害の無い人）,331,218,113
スポーツ・運動の継続実施に必要なもの,一緒に行う仲間（自分と同じ障害のある人）,291,206,85
スポーツ・運動の継続実施に必要なもの,一緒に行う仲間（自分と異なる障害のある人）,157,110,47
スポーツ・運動の継続実施に必要なもの,適切な指導者やコーチ、トレーナー,356,249,107
スポーツ・運動の継続実施に必要なもの,その他,44,28,16
スポーツ・運動の継続実施に必要なもの,特にない,362,238,124
スポーツ・運動の継続実施に必要なもの,わからない,247,148,99
新たに別のスポーツ・運動を始めるために必要な支援,スタジアム、体育館などの建物や設備のバリアフリー化,245,155,90
新たに別のスポーツ・運動を始めるために必要な支援,交通機関（電車やバス）やまちのバリアフリー化,228,146,82
新たに別のスポーツ・運動を始めるために必要な支援,会場までの送迎,321,215,106
新たに別のスポーツ・運動を始めるために必要な支援,障害者への施設開放の促進（障害者が優先的に使える施設が増える）,159,115,44
新たに別のスポーツ・運動を始めるために必要な支援,障害にあわせた教室やプログラム,340,246,94
新たに別のスポーツ・運動を始めるために必要な支援,介助者や手話通訳などの支援,65,46,19
新たに別のスポーツ・運動を始めるために必要な支援,障害に対応した情報の提供や問合せ方法の充実,142,96,46
新たに別のスポーツ・運動を始めるために必要な支援,施設や用具等を利用する際に必要な手続きの支援,75,54,21
新たに別のスポーツ・運動を始めるために必要な支援,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進,54,32,22
新たに別のスポーツ・運動を始めるために必要な支援,健康や体調を管理する医療的なサポート,186,123,63
新たに別のスポーツ・運動を始めるために必要な支援,目標となる大会やイベント,85,50,35
新たに別のスポーツ・運動を始めるために必要な支援,スポーツ用具等の貸出し,102,64,38
新たに別のスポーツ・運動を始めるために必要な支援,施設の利用料減免（利用料が安くなったり、無料になったりする）,245,181,64
新たに別のスポーツ・運動を始めるために必要な支援,リモートにより、障害に応じたスポーツ・運動を指導してくれる支援、またはその充実,50,32,18
新たに別のスポーツ・運動を始めるために必要な支援,自宅でもできる、障害に応じたスポーツ・運動方法についての情報提供、またはその充実,146,95,51
新たに別のスポーツ・運動を始めるために必要な支援,一緒に行う仲間（障害の無い人）,197,114,83
新たに別のスポーツ・運動を始めるために必要な支援,一緒に行う仲間（自分と同じ障害のある人）,164,104,60
新たに別のスポーツ・運動を始めるために必要な支援,一緒に行う仲間（自分と異なる障害のある人）,47,29,18
新たに別のスポーツ・運動を始めるために必要な支援,適切な指導者やコーチ、トレーナー,303,214,89
新たに別のスポーツ・運動を始めるために必要な支援,その他,23,18,5
新たに別のスポーツ・運動を始めるために必要な支援,特にない,396,261,135
新たに別のスポーツ・運動を始めるために必要な支援,わからない,249,149,100
スポーツを始めるきっかけとして必要な支援,スタジアム、体育館などの建物や設備のバリアフリー化,31,23,8
スポーツを始めるきっかけとして必要な支援,交通機関（電車やバス）やまちのバリアフリー化,32,27,5
スポーツを始めるきっかけとして必要な支援,会場までの送迎,95,72,23
スポーツを始めるきっかけとして必要な支援,障害者への施設開放の促進（障害者が優先的に使える施設が増える）,35,30,5
スポーツを始めるきっかけとして必要な支援,障害にあわせた教室やプログラム,112,90,22
スポーツを始めるきっかけとして必要な支援,介助者や手話通訳などの支援,29,23,6
スポーツを始めるきっかけとして必要な支援,障害に対応した情報の提供や問合せ方法の充実,38,30,8
スポーツを始めるきっかけとして必要な支援,施設や用具等を利用する際に必要な手続きの支援,13,11,2
スポーツを始めるきっかけとして必要な支援,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進,5,2,3
スポーツを始めるきっかけとして必要な支援,健康や体調を管理する医療的なサポート,65,46,19
スポーツを始めるきっかけとして必要な支援,目標となる大会やイベント,9,8,1
スポーツを始めるきっかけとして必要な支援,スポーツ用具等の貸出し,17,14,3
スポーツを始めるきっかけとして必要な支援,施設の利用料減免（利用料が安くなったり、無料になったりする）,46,31,15
スポーツを始めるきっかけとして必要な支援,リモートにより、障害に応じたスポーツ・運動を指導してくれる支援、またはその充実,9,6,3
スポーツを始めるきっかけとして必要な支援,自宅でもできる、障害に応じたスポーツ・運動方法についての情報提供、またはその充実,57,40,17
スポーツを始めるきっかけとして必要な支援,一緒に行う仲間（障害の無い人）,49,31,18
スポーツを始めるきっかけとして必要な支援,一緒に行う仲間（自分と同じ障害のある人）,65,45,20
スポーツを始めるきっかけとして必要な支援,一緒に行う仲間（自分と異なる障害のある人）,13,8,5
スポーツを始めるきっかけとして必要な支援,適切な指導者やコーチ、トレーナー,87,60,27
スポーツを始めるきっかけとして必要な支援,その他,23,13,10
スポーツを始めるきっかけとして必要な支援,特にない,385,247,138
スポーツを始めるきっかけとして必要な支援,わからない,354,213,141
スポーツ以外に関心のある事,旅行,1225,800,425
スポーツ以外に関心のある事,グルメ・食べ歩き,1182,790,392
スポーツ以外に関心のある事,買い物・ショッピング,840,567,273
スポーツ以外に関心のある事,テレビ視聴,1133,772,361
スポーツ以外に関心のある事,動画配信サービス視聴,912,615,297
スポーツ以外に関心のある事,ＣＤやスマートフォンによる音楽鑑賞,481,333,148
スポーツ以外に関心のある事,ＳＮＳ閲覧・投稿,528,341,187
スポーツ以外に関心のある事,インターネット閲覧,957,680,277
スポーツ以外に関心のある事,映画鑑賞,765,526,239
スポーツ以外に関心のある事,読書,563,384,179
スポーツ以外に関心のある事,アニメ／漫画,592,389,203
スポーツ以外に関心のある事,スマートフォン・家庭用ゲーム機によるゲーム,615,414,201
スポーツ以外に関心のある事,写真の撮影,289,207,82
スポーツ以外に関心のある事,遊園地・動物園・水族館などの見物,347,248,99
スポーツ以外に関心のある事,美術鑑賞,293,214,79
スポーツ以外に関心のある事,コンサートなどによる音楽鑑賞,350,236,114
スポーツ以外に関心のある事,演劇・舞踏鑑賞,178,130,48
スポーツ以外に関心のある事,カラオケ,330,219,111
スポーツ以外に関心のある事,楽器の演奏,161,103,58
スポーツ以外に関心のある事,料理・菓子作り,284,174,110
スポーツ以外に関心のある事,園芸・ガーデニング,189,121,68
スポーツ以外に関心のある事,日曜大工,75,48,27
スポーツ以外に関心のある事,編み物・手芸,123,77,46
スポーツ以外に関心のある事,和裁・洋裁,46,26,20
スポーツ以外に関心のある事,大道芸や手品等の鑑賞,33,17,16
スポーツ以外に関心のある事,ギャンブル,103,72,31
スポーツ以外に関心のある事,その他,134,95,39
スポーツ以外に関心のある事,特にない,322,173,149
情報入手先,家族,1446,919,527
情報入手先,友人,791,503,288
情報入手先,学校や職場、施設の人,564,405,159
情報入手先,ボランティア,76,61,15
情報入手先,ホームヘルパー、ガイドヘルパーなどの支援者,206,160,46
情報入手先,医師や看護師、理学療法士、作業療法士などの医療関係者,367,272,95
情報入手先,テレビ,1551,1038,513
情報入手先,ラジオ,314,218,96
情報入手先,新聞,466,310,156
情報入手先,雑誌,199,122,77
情報入手先,障害者団体の会合や機関誌,80,71,9
情報入手先,検索エンジンを活用（Yahoo!、Googleなど）,743,531,212
情報入手先,インターネットのニュースサイトやニュースアプリ,1129,796,333
情報入手先,ＳＮＳ（X（旧Twitter）、Facebook、Instagram、TikTokなど）,808,532,276
情報入手先,動画配信サービス（YouTubeなど）,718,487,231
情報入手先,行政の窓口,164,123,41
情報入手先,区市町村などの広報誌,272,212,60
情報入手先,その他,16,13,3
情報入手先,わからない,84,53,31
情報入手先,得ていない,181,96,85
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,実際に体を動かして行う、スポーツやフィットネスのゲーム（「ニンテンドースイッチスポーツ」や「リングフィットアドベンチャー」、「ウィーフィット」など）,515,331,184
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,実際に体を動かして行う、スポーツ以外のゲーム（「太鼓の達人」、「ドラゴンクエストソード」など）,390,255,135
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,指先など体の一部を動かして一般的なコントローラーを操作して行うゲーム（ポケットモンスター、スプラトゥーン、マインクラフト、ぷよぷよなど）,758,520,238
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,指先など体の一部を動かして障害の状態に応じた入力装置（フレックスコントローラーや視線入力装置、個人用にカスタムされたスイッチ等）を操作して行うゲーム（ポケットモンスター、スプラトゥーン、マインクラフト、ぷよぷよなど）,257,167,90
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,やったことはない,2004,1294,710
家庭用ゲーム機を使って行うスポーツ・フィットネス等の興味関心,やりたい,1431,967,464
家庭用ゲーム機を使って行うスポーツ・フィットネス等の興味関心,やりたくない,1733,1098,635
デフリンピックの認知度,よく内容を知っている,187,140,47
デフリンピックの認知度,見たり聞いたりしたことがある,792,534,258
デフリンピックの認知度,知らない,2247,1429,818
デフリンピックに期待すること,競技観戦,393,259,134
デフリンピックに期待すること,記録の更新,195,132,63
デフリンピックに期待すること,日本人選手の活躍,724,477,247
デフリンピックに期待すること,外国人選手の活躍,183,125,58
デフリンピックに期待すること,国際交流の促進,291,188,103
デフリンピックに期待すること,大会記念グッズの展開,91,63,28
デフリンピックに期待すること,日本東京の観光、伝統文化や食などの海外発信,190,126,64
デフリンピックに期待すること,競技体験,104,72,32
デフリンピックに期待すること,大会への子供の参加,160,107,53
デフリンピックに期待すること,デジタル技術を活用したコミュニケーション,155,102,53
デフリンピックに期待すること,手話の普及と理解の促進,187,132,55
デフリンピックに期待すること,デフスポーツの普及と理解の促進,323,221,102
デフリンピックに期待すること,障害や障害者への理解の促進,593,455,138
デフリンピックに期待すること,その他,13,7,6
デフリンピックに期待すること,期待するものはない,1686,1057,629
