調査項目,回答,全体(人),青ヶ島村(人),昭島市(人),あきる野市(人),足立区(人),荒川区(人),板橋区(人),稲城市(人),江戸川区(人),青梅市(人),大島町(人),大田区(人),小笠原村(人),奥多摩町(人),葛飾区(人),北区(人),清瀬市(人),国立市(人),神津島村(人),江東区(人),小金井市(人),国分寺市(人),小平市(人),狛江市(人),品川区(人),渋谷区(人),新宿区(人),杉並区(人),墨田区(人),世田谷区(人),台東区(人),立川市(人),多摩市(人),中央区(人),調布市(人),千代田区(人),豊島区(人),利島村(人),中野区(人),新島村(人),西東京市(人),練馬区(人),八王子市(人),八丈町(人),羽村市(人),東久留米市(人),東村山市(人),東大和市(人),日野市(人),日の出町(人),檜原村(人),府中市(人),福生市(人),文京区(人),町田市(人),御蔵島村(人),瑞穂町(人),三鷹市(人),港区(人),三宅村(人),武蔵野市(人),武蔵村山市(人),目黒区(人),上記以外(人)
障害種別,内部障害,613,0,3,5,29,12,32,6,28,2,0,30,0,4,18,22,6,1,0,19,4,5,13,1,25,7,13,18,9,39,9,6,7,8,17,1,10,0,14,0,9,31,24,0,1,4,8,2,8,2,0,9,6,14,24,0,2,8,12,0,7,4,15,0
障害種別,知的障害,498,1,4,6,29,7,13,2,22,6,1,27,0,1,16,13,4,5,0,14,4,2,5,4,17,2,14,13,10,29,3,3,7,4,12,0,10,0,6,0,15,32,22,0,3,6,5,1,16,0,1,9,1,8,17,0,0,15,11,0,9,3,8,0
障害種別,精神障害,693,0,7,3,37,9,32,2,33,5,1,34,0,13,24,18,3,1,2,30,4,7,10,8,12,10,19,26,14,49,9,12,9,6,17,5,15,0,16,0,11,45,38,0,1,6,8,6,4,0,0,14,2,8,16,0,0,9,11,0,4,2,6,0
車椅子の必要性,必要とする,396,0,1,2,22,13,15,5,20,5,0,17,0,7,11,16,3,5,0,11,4,2,5,1,11,4,8,16,5,20,5,5,6,5,10,2,4,0,10,0,5,27,12,0,1,6,5,2,6,0,0,10,1,4,11,1,1,7,6,0,3,3,9,0
車椅子の必要性,必要としない,2830,2,22,21,142,35,131,20,142,26,2,151,0,26,93,72,19,13,2,104,23,23,48,20,78,43,64,109,48,181,34,40,37,30,62,12,56,1,60,0,59,160,136,3,9,22,27,12,40,3,1,48,12,39,80,0,3,39,50,1,32,16,46,0
障害者手帳の有無,持っている,2103,1,17,10,111,36,103,19,102,20,0,115,0,22,67,66,15,7,1,78,14,19,34,9,54,29,54,77,35,124,26,27,25,22,42,8,34,1,42,0,50,133,89,2,6,19,22,12,30,1,0,40,10,29,57,1,4,32,34,1,20,11,34,0
障害者手帳の有無,持っていない,1123,1,6,13,53,12,43,6,60,11,2,53,0,11,37,22,7,11,1,37,13,6,19,12,35,18,18,48,18,77,13,18,18,13,30,6,26,0,28,0,14,54,59,1,4,9,10,2,16,2,1,18,3,14,34,0,0,14,22,0,15,8,21,0
障害種別,身体障害者手帳　1級,461,0,3,3,28,11,27,8,24,5,0,29,0,5,13,16,5,2,0,11,2,3,13,0,9,6,12,16,3,26,8,5,5,5,11,2,8,0,8,0,11,24,22,0,0,1,5,3,9,0,0,9,3,3,11,1,3,5,9,0,4,1,5,0
障害種別,身体障害者手帳　2級,248,0,0,1,14,4,11,2,13,3,0,16,0,2,9,8,2,0,0,7,1,3,4,1,10,3,6,9,4,12,4,4,4,2,5,3,2,0,5,0,5,15,14,2,1,2,4,1,0,0,0,6,0,2,2,0,0,5,3,0,3,0,9,0
障害種別,身体障害者手帳　3級,225,0,2,1,16,2,12,4,11,2,0,14,0,2,12,2,1,1,0,8,3,0,3,1,5,4,4,10,2,13,4,6,3,1,1,1,2,0,5,0,5,15,9,0,0,0,1,1,3,1,0,3,0,5,6,0,0,3,7,0,3,1,4,0
障害種別,身体障害者手帳　4級,224,0,1,1,7,8,12,4,14,1,0,11,0,2,4,2,2,1,0,9,1,5,2,0,11,1,4,7,4,14,1,2,1,3,3,1,7,0,8,0,2,16,5,0,1,4,3,2,3,0,0,3,2,7,5,0,0,1,4,0,2,5,5,0
障害種別,身体障害者手帳　5級,92,0,2,0,4,0,6,0,2,0,0,3,0,1,4,5,0,0,0,3,3,0,1,1,2,4,2,3,2,5,1,0,1,2,3,0,0,0,3,0,3,4,3,0,0,0,0,0,3,0,0,2,1,0,6,0,1,1,3,0,0,0,2,0
障害種別,身体障害者手帳　6級,85,0,0,1,4,0,4,0,9,1,0,6,0,0,4,7,0,1,0,5,0,1,2,0,1,4,2,4,3,7,0,0,0,2,1,0,0,0,1,0,1,3,4,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,2,0
障害種別,療育手帳（愛の手帳）1度（最重度）,24,0,0,0,2,0,1,0,2,0,0,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,3,2,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0
障害種別,療育手帳（愛の手帳）2度（重度）,96,0,0,1,7,1,3,0,3,1,0,5,0,1,4,4,2,0,0,3,0,1,0,0,3,0,1,1,3,6,1,0,1,0,2,1,2,0,0,0,9,5,2,0,1,1,1,0,1,0,0,1,0,3,7,0,0,5,1,0,2,0,0,0
障害種別,療育手帳（愛の手帳）3度（中度）,79,0,3,0,2,1,1,0,2,0,0,3,0,0,2,3,0,0,0,4,1,1,0,2,3,0,1,6,2,8,0,0,2,0,2,0,1,0,2,0,2,4,3,0,1,2,2,0,1,0,0,1,0,0,3,0,0,3,2,0,1,0,2,0
障害種別,療育手帳（愛の手帳）4度（軽度）,170,0,1,2,7,2,7,1,6,3,0,10,0,0,4,3,1,1,0,7,1,0,4,0,5,1,6,4,2,12,1,4,2,2,4,0,2,0,2,0,6,14,8,0,1,1,2,0,7,0,0,3,1,2,6,0,0,4,1,1,4,0,2,0
障害種別,精神障害者保健福祉手帳　1級,23,0,0,0,3,0,1,0,1,0,0,0,0,1,3,1,0,0,0,0,0,0,1,0,0,2,0,1,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
障害種別,精神障害者保健福祉手帳　2級,216,0,1,0,7,4,11,0,11,1,0,8,0,3,7,8,1,0,1,12,0,2,2,2,2,3,6,7,6,13,2,3,4,1,3,0,6,0,6,0,4,22,13,0,0,5,3,3,2,0,0,5,1,6,6,0,0,1,2,0,0,0,0,0
障害種別,精神障害者保健福祉手帳　3級,242,1,4,0,15,3,14,0,8,3,0,13,0,4,6,10,2,1,0,11,1,3,3,2,4,2,10,11,4,16,3,4,3,4,7,1,3,0,4,0,3,15,8,0,1,5,1,2,2,0,0,4,1,1,6,0,0,4,2,0,1,3,3,0
障害種別,障害者手帳は持っていない,1123,1,6,13,53,12,43,6,60,11,2,53,0,11,37,22,7,11,1,37,13,6,19,12,35,18,18,48,18,77,13,18,18,13,30,6,26,0,28,0,14,54,59,1,4,9,10,2,16,2,1,18,3,14,34,0,0,14,22,0,15,8,21,0
受傷の時期,生まれたとき,852,1,8,10,39,15,30,9,43,9,2,41,0,10,24,22,7,7,2,23,9,5,17,5,26,10,24,37,10,52,12,10,10,7,21,7,16,1,21,0,18,48,45,1,2,7,8,3,14,1,0,14,0,7,17,1,2,15,18,0,11,2,16,0
受傷の時期,生まれた後,2374,1,15,13,125,33,116,16,119,22,0,127,0,23,80,66,15,11,0,92,18,20,36,16,63,37,48,88,43,149,27,35,33,28,51,7,44,0,49,0,46,139,103,2,8,21,24,11,32,2,1,44,13,36,74,0,2,31,38,1,24,17,39,0
学校の種別,小学校の普通学校（通常学級のみに在籍）,89,0,1,1,3,1,6,0,10,1,0,7,0,0,1,2,2,1,0,2,0,2,2,2,2,1,0,3,1,6,2,1,2,1,2,0,1,0,0,0,1,2,7,0,0,0,0,1,2,0,0,1,0,0,2,0,0,0,4,0,1,0,2,0
学校の種別,小学校の普通学校（通級による指導あり）,38,0,0,1,3,3,2,0,5,0,0,1,0,0,2,1,0,0,0,0,1,0,1,0,1,0,1,0,0,3,0,0,1,1,1,0,1,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0
学校の種別,小学校の普通学校（特別支援学級）,86,0,0,2,7,2,0,2,3,0,1,4,0,1,2,3,0,4,0,3,0,0,2,0,7,0,4,3,1,3,0,1,0,2,0,1,0,0,2,0,0,8,1,0,1,1,2,0,3,0,0,2,0,1,3,0,0,1,0,0,2,0,1,0
学校の種別,小学校の特別支援学校（養護学校・盲学校・ろう学校）,48,0,1,0,3,0,3,1,2,0,0,3,0,0,2,1,0,0,0,1,1,0,0,0,1,2,0,0,0,1,1,1,1,0,1,0,0,0,0,0,4,2,0,0,0,1,1,0,1,0,0,1,0,0,3,0,0,4,2,0,1,0,2,0
学校の種別,中学校の普通学校（通常学級のみに在籍）,44,0,0,2,4,0,0,0,5,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,3,4,2,0,0,0,0,1,0,0,1,0,0,2,3,4,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0
学校の種別,中学校の普通学校（通級による指導あり）,16,0,0,0,1,1,0,0,3,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0
学校の種別,中学校の普通学校（特別支援学級）,39,0,0,1,0,1,2,0,5,0,0,2,0,0,1,2,0,1,0,0,1,0,2,0,1,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,4,4,0,0,0,0,0,2,0,0,0,0,2,1,0,0,2,0,0,1,0,0,0
学校の種別,中学校の特別支援学校（養護学校・盲学校・ろう学校）,40,0,1,0,3,0,1,0,3,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,4,2,0,0,0,0,0,0,0,0,1,0,4,1,2,0,0,1,0,0,4,0,0,2,0,0,1,0,0,1,2,0,0,0,1,0
学校の種別,高等学校の普通学校（通常学級のみに在籍）,50,0,0,1,3,1,2,0,2,1,0,2,0,0,1,0,0,1,1,4,0,1,2,0,0,1,2,2,0,6,0,1,1,0,2,0,1,0,1,0,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0
学校の種別,高等学校の普通学校（通級による指導あり）,12,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
学校の種別,高等学校の特別支援学校（養護学校・盲学校・ろう学校）,42,0,1,1,0,0,2,0,1,1,0,4,0,0,1,1,1,0,0,2,0,1,0,0,3,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,1,0,0,0,0,0,0,2,3,0,0,1,1,0,0,0,0,0
学校の種別,大学・短期大学,37,0,0,0,3,1,1,1,3,0,0,1,0,0,2,1,0,0,0,1,1,1,1,0,1,1,1,1,0,6,0,0,1,0,0,1,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
学校の種別,特別支援学校高等部専攻科、高等学校専攻科,14,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0
学校の種別,職業能力開発校、障害者職業能力開発校等,7,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
学校の種別,なし,136,0,1,1,5,2,7,1,6,3,0,3,0,1,4,2,0,0,0,5,1,2,3,3,6,1,4,4,3,9,1,0,3,1,3,0,6,0,3,0,3,9,8,0,1,1,2,0,2,0,0,5,0,1,2,0,0,2,3,0,1,2,0,0
仕事の有無,仕事をしている,1227,1,8,4,59,19,49,9,68,9,1,68,0,13,44,36,3,6,1,49,10,9,20,6,33,19,38,55,24,86,22,14,12,23,25,9,29,0,30,0,15,69,52,1,2,9,15,2,11,0,0,15,7,22,21,0,1,13,20,0,11,7,23,0
仕事の有無,仕事をしていない,1821,1,13,19,91,26,83,14,92,18,1,91,0,18,55,46,19,11,1,58,16,15,32,10,52,25,31,69,28,109,16,29,28,12,39,4,26,1,36,0,42,108,88,2,7,18,14,10,33,3,1,40,6,19,66,1,3,30,32,1,21,11,30,0
仕事の有無,福祉的就労をしている（就労移行支援、就労継続支援Ａ型・Ｂ型、就労定着支援）,178,0,2,0,14,3,14,2,2,4,0,9,0,2,5,6,0,1,0,8,1,1,1,5,4,3,3,1,1,6,1,2,3,0,8,1,5,0,4,0,7,10,8,0,1,1,3,2,2,0,0,3,0,2,4,0,0,3,4,0,3,1,2,0
平日・日中の居場所,自分の家,1843,1,13,10,87,27,86,14,80,15,1,92,0,19,56,56,17,9,1,65,18,17,33,10,52,28,37,67,29,113,20,33,29,17,48,7,30,0,44,0,38,112,84,2,4,17,16,12,27,3,1,34,8,23,52,1,3,23,34,1,20,13,34,0
平日・日中の居場所,職場（一般企業など）,677,1,4,2,37,9,29,4,38,5,1,37,0,8,27,15,1,4,0,26,5,4,10,5,22,10,23,33,15,46,13,6,4,12,10,4,18,0,15,0,6,37,35,0,2,3,10,1,6,0,0,9,4,11,12,0,1,6,11,0,5,4,11,0
平日・日中の居場所,職場（福祉的就労（就労移行支援、就労継続支援Ａ型・Ｂ型、就労定着支援）の施設）,102,0,2,0,8,1,7,0,0,4,0,6,0,1,4,4,0,0,0,5,1,1,1,4,1,2,1,1,1,4,1,0,1,0,5,0,5,0,1,0,5,4,3,0,1,1,1,0,1,0,0,2,0,1,3,0,0,3,2,0,1,1,1,0
平日・日中の居場所,学校,362,0,4,7,18,6,14,4,33,4,0,21,0,1,6,7,1,5,1,10,2,2,6,2,11,2,7,10,7,21,1,5,5,4,4,2,2,0,4,0,11,20,21,0,2,4,2,0,8,0,0,8,0,6,14,0,0,10,8,0,5,0,4,0
平日・日中の居場所,通所施設（生活介護、デイケアなど）,135,0,0,2,5,0,5,3,6,2,0,7,0,2,10,2,2,0,0,5,1,1,1,0,3,4,2,10,1,8,2,1,1,0,1,1,2,0,4,0,1,9,3,1,0,0,2,1,2,0,0,2,1,1,9,0,0,2,1,0,2,1,3,0
平日・日中の居場所,入所施設,69,0,0,1,6,4,2,0,5,1,0,3,0,1,1,3,1,0,0,2,0,0,0,0,0,0,0,3,0,6,1,0,1,2,3,0,3,1,1,0,2,3,0,0,0,2,1,0,1,0,0,2,0,1,1,0,0,1,0,0,2,0,2,0
平日・日中の居場所,その他,38,0,0,1,3,1,3,0,0,0,0,2,0,1,0,1,0,0,0,2,0,0,2,0,0,1,2,1,0,3,1,0,2,0,1,0,0,0,1,0,1,2,2,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
放課後の居場所,自分の家,345,0,4,7,16,6,16,2,27,2,1,17,0,1,5,5,3,6,1,9,3,4,9,2,12,4,8,10,8,22,2,3,3,4,6,0,3,0,2,0,4,17,26,0,1,2,2,2,7,0,0,5,0,4,8,0,1,10,12,0,3,2,6,0
放課後の居場所,習いごと（塾や英会話等の学習系）,75,0,0,1,6,3,4,0,8,0,0,5,0,0,1,0,0,2,0,1,0,0,0,1,3,1,0,2,1,5,2,1,0,2,3,0,1,0,1,0,2,1,4,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1,4,0,1,1,2,0
放課後の居場所,習いごと（スイミングやサッカー等のスポーツ系）,59,0,0,0,1,1,4,0,4,1,0,1,0,0,5,2,0,3,0,2,1,0,0,1,3,1,0,2,2,4,1,1,0,2,1,0,0,0,1,0,0,3,2,0,1,0,0,0,3,0,0,2,0,1,1,0,0,0,1,0,1,0,0,0
放課後の居場所,習いごと（音楽や習字等の芸術系）,41,0,0,0,2,4,2,0,8,1,0,2,0,0,2,1,0,2,0,1,0,0,1,1,1,0,0,1,0,2,0,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
放課後の居場所,児童通所サービス（放課後等デイサービス　等）,156,0,2,4,13,2,5,1,11,1,0,14,0,0,3,6,1,3,0,2,0,0,1,0,7,0,1,4,4,8,1,0,1,2,1,0,0,0,1,0,7,8,3,0,1,2,3,0,5,0,0,4,0,4,9,0,0,5,2,0,2,0,2,0
放課後の居場所,学童保育,34,0,0,0,1,3,3,0,5,1,0,1,0,0,1,2,0,0,0,0,0,0,1,1,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
放課後の居場所,広場や公園,35,0,0,1,1,2,4,1,7,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,4,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
放課後の居場所,学校（校庭や体育館）,35,0,0,1,2,1,2,0,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,3,0,2,2,0,3,0,0,0,0,0,0,0,0,0,0,1,3,3,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,1,0,0,0,1,0
放課後の居場所,児童館や図書館などの公共施設,16,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,1,1,1,0,2,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
放課後の居場所,その他,8,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
障害福祉サービスの利用状況,利用していない,2117,1,16,14,100,26,93,14,106,16,1,109,0,19,67,49,13,8,2,79,19,15,45,14,58,29,46,93,35,140,30,32,29,22,50,9,46,0,51,0,44,116,104,1,6,14,20,7,27,3,1,33,11,27,63,0,3,25,41,1,21,14,39,0
