調査項目,回答,全体(人),旅行(人),グルメ・食べ歩き(人),買い物・ショッピング(人),テレビ視聴(人),動画配信サービス視聴(人),CDやスマートフォンによる音楽鑑賞(人),ＳＮＳ閲覧・投稿(人),インターネット閲覧(人),映画鑑賞(人),読書(人),アニメ／漫画(人),スマートフォン・家庭用ゲーム機によるゲーム(人),写真の撮影(人),遊園地・動物園・水族館などの見物(人),美術鑑賞(人),コンサートなどによる音楽鑑賞(人),演劇・舞踏鑑賞(人),カラオケ(人),楽器の演奏(人),料理・菓子作り(人),園芸・ガーデニング(人),日曜大工(人),編み物・手芸(人),和裁・洋裁(人),大道芸や手品等の鑑賞(人),ギャンブル(人),その他(人),特にない(人)
障害種別,内部障害,619,310,259,189,235,161,92,90,183,200,148,81,93,62,61,82,93,46,56,34,67,59,19,22,11,2,20,28,56
障害種別,知的障害,552,150,178,95,185,214,85,63,146,85,34,140,161,55,92,17,33,12,76,21,40,12,5,14,3,10,5,19,63
障害種別,精神障害,824,275,292,247,249,302,164,223,320,200,153,246,198,89,110,86,112,47,120,59,79,38,15,49,15,12,35,37,79
車椅子の必要性,必要とする,396,111,122,79,162,74,56,41,78,77,59,41,52,27,32,32,35,22,35,15,19,22,9,13,3,4,12,14,60
車椅子の必要性,必要としない,637,256,238,163,241,137,79,86,194,157,135,79,84,44,40,66,67,38,52,24,52,46,20,23,9,2,26,31,54
障害者手帳の有無,持っている,2103,800,790,567,772,615,333,341,680,526,384,389,414,207,248,214,236,130,219,103,174,121,48,77,26,17,72,95,173
障害者手帳の有無,持っていない,1123,425,392,273,361,297,148,187,277,239,179,203,201,82,99,79,114,48,111,58,110,68,27,46,20,16,31,39,149
障害種別,身体障害者手帳　1級,461,197,166,121,183,106,64,49,125,136,94,49,59,32,42,60,59,37,36,22,36,34,12,17,6,0,18,25,56
障害種別,身体障害者手帳　2級,248,88,96,70,108,64,41,31,77,59,48,31,44,25,24,29,31,18,19,10,14,13,10,5,3,1,6,8,19
障害種別,身体障害者手帳　3級,225,93,96,61,90,46,19,28,63,51,40,31,30,17,17,21,22,16,13,10,22,14,3,8,1,2,8,8,19
障害種別,身体障害者手帳　4級,224,107,83,68,89,55,36,36,69,67,49,20,34,23,21,21,28,16,27,14,21,26,8,9,3,3,7,11,13
障害種別,身体障害者手帳　5級,92,47,40,22,28,20,13,13,25,27,19,10,10,9,6,9,13,7,6,4,7,6,4,2,1,0,5,2,5
障害種別,身体障害者手帳　6級,85,28,25,25,29,20,11,16,28,18,17,15,20,8,13,7,3,3,6,2,3,4,1,1,0,0,6,3,7
障害種別,療育手帳（愛の手帳）1度（最重度）,24,4,4,4,6,9,2,2,1,1,1,4,3,2,3,0,1,1,0,1,0,0,0,0,0,0,0,0,6
障害種別,療育手帳（愛の手帳）2度（重度）,96,23,40,18,32,37,14,5,23,5,4,11,15,2,15,2,7,3,13,0,5,1,0,1,1,5,1,3,4
障害種別,療育手帳（愛の手帳）3度（中度）,79,27,31,13,31,32,14,5,22,14,4,19,32,12,14,3,4,2,14,5,4,1,0,2,1,1,1,3,6
障害種別,療育手帳（愛の手帳）4度（軽度）,170,58,62,35,64,77,32,25,54,43,15,63,71,22,39,8,8,3,26,9,19,5,2,6,2,1,1,9,5
障害種別,精神障害者保健福祉手帳　1級,23,5,7,6,6,8,4,4,3,2,3,5,5,3,3,1,2,0,2,0,0,0,0,3,0,0,1,0,3
障害種別,精神障害者保健福祉手帳　2級,216,64,80,77,65,76,47,58,95,56,42,64,43,25,29,25,25,11,39,12,16,8,2,11,4,3,9,13,20
障害種別,精神障害者保健福祉手帳　3級,242,86,89,74,75,95,52,80,113,63,57,87,69,35,38,33,45,17,39,18,33,14,7,16,7,3,12,11,19
障害種別,障害者手帳は持っていない,1123,425,392,273,361,297,148,187,277,239,179,203,201,82,99,79,114,48,111,58,110,68,27,46,20,16,31,39,149
受傷の時期,生まれたとき,852,256,270,168,225,250,117,114,198,144,85,160,179,82,108,39,67,30,80,39,51,17,8,20,9,16,13,25,112
受傷の時期,生まれた後,2374,969,912,672,908,662,364,414,759,621,478,432,436,207,239,254,283,148,250,122,233,172,67,103,37,17,90,109,210
学校の種別,小学校の普通学校（通常学級のみに在籍）,89,36,35,20,29,29,8,11,23,19,9,31,27,11,18,3,4,3,8,10,6,1,2,2,0,0,0,1,7
学校の種別,小学校の普通学校（通級による指導あり）,38,8,5,9,13,19,10,2,14,7,6,14,17,5,9,4,4,3,5,2,5,4,3,1,0,1,0,0,0
学校の種別,小学校の普通学校（特別支援学級）,86,32,27,11,35,44,9,7,19,13,9,27,37,13,28,4,1,2,8,5,7,1,0,2,1,2,0,6,3
学校の種別,小学校の特別支援学校（養護学校・盲学校・ろう学校）,48,14,20,9,14,23,7,1,8,4,4,9,15,9,14,0,2,1,3,5,5,0,0,0,0,1,0,3,3
学校の種別,中学校の普通学校（通常学級のみに在籍）,44,20,16,10,14,21,10,8,10,11,6,12,16,5,11,1,3,1,6,3,6,5,0,1,0,1,0,0,5
学校の種別,中学校の普通学校（通級による指導あり）,16,2,3,1,2,5,2,3,4,5,1,6,9,0,2,0,1,0,1,1,3,1,1,0,0,0,0,0,2
学校の種別,中学校の普通学校（特別支援学級）,39,9,9,6,10,20,5,3,11,10,3,12,18,3,7,2,2,0,3,0,5,0,0,0,0,1,0,1,4
学校の種別,中学校の特別支援学校（養護学校・盲学校・ろう学校）,40,9,11,1,10,16,6,1,5,4,2,10,9,3,5,0,1,0,5,2,2,0,1,1,0,2,0,0,3
学校の種別,高等学校の普通学校（通常学級のみに在籍）,50,18,23,12,10,27,17,22,19,13,8,17,23,12,10,4,10,3,17,5,7,1,1,3,2,1,0,1,2
学校の種別,高等学校の普通学校（通級による指導あり）,12,2,4,5,5,7,2,6,7,2,1,5,5,0,1,0,1,1,3,0,1,0,0,0,0,0,0,0,1
学校の種別,高等学校の特別支援学校（養護学校・盲学校・ろう学校）,42,12,13,9,18,24,15,7,13,5,2,12,14,4,6,3,2,2,4,1,7,0,0,0,0,1,1,1,1
学校の種別,大学・短期大学,37,19,19,16,13,14,9,13,13,6,7,9,10,6,4,5,3,1,5,4,6,1,1,3,1,1,2,0,2
学校の種別,特別支援学校高等部専攻科、高等学校専攻科,14,2,6,2,6,7,5,5,10,4,2,5,8,2,4,1,1,1,3,0,0,0,0,0,0,0,0,0,2
学校の種別,職業能力開発校、障害者職業能力開発校等,7,2,3,1,4,5,1,1,3,2,0,3,4,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
学校の種別,なし,136,40,45,36,29,54,25,36,36,27,6,36,40,12,20,9,22,5,21,5,6,2,1,11,4,2,2,8,26
仕事の有無,仕事をしている,1227,585,552,388,381,384,229,271,442,365,259,261,240,137,133,140,188,90,149,83,133,70,42,43,18,18,52,56,88
仕事の有無,仕事をしていない,1821,595,571,405,702,473,222,225,466,367,284,291,333,131,185,138,149,84,153,74,144,112,30,69,26,13,48,66,215
仕事の有無,福祉的就労をしている（就労移行支援、就労継続支援Ａ型・Ｂ型、就労定着支援）,178,45,59,47,50,55,30,32,49,33,20,40,42,21,29,15,13,4,28,4,7,7,3,11,2,2,3,12,19
平日・日中の居場所,自分の家,1843,662,622,471,678,434,241,284,537,446,343,260,277,142,141,182,192,103,158,79,164,126,49,81,31,11,66,73,227
平日・日中の居場所,職場（一般企業など）,677,347,323,217,211,216,124,149,245,199,143,156,130,75,80,76,107,53,81,44,71,36,18,20,9,10,30,36,33
平日・日中の居場所,職場（福祉的就労（就労移行支援、就労継続支援Ａ型・Ｂ型、就労定着支援）の施設）,102,26,34,29,32,40,20,17,34,24,12,29,31,13,21,9,7,2,16,3,4,5,1,3,1,1,1,7,8
平日・日中の居場所,学校,362,129,125,80,131,186,71,56,96,68,43,126,151,52,89,16,25,11,49,31,33,7,5,7,3,11,1,10,16
平日・日中の居場所,通所施設（生活介護、デイケアなど）,135,26,41,25,45,19,11,11,24,16,11,8,18,4,10,6,9,6,11,4,7,9,1,7,0,0,1,1,19
平日・日中の居場所,入所施設,69,20,21,11,17,8,7,4,12,6,7,4,2,2,3,2,4,1,10,0,2,4,1,2,1,0,0,3,15
平日・日中の居場所,その他,38,15,16,7,19,9,7,7,9,6,4,9,6,1,3,2,6,2,5,0,3,2,0,3,1,0,4,4,4
放課後の居場所,自分の家,345,122,124,64,115,168,64,58,103,78,35,114,137,44,73,15,19,11,43,20,40,5,4,6,2,6,0,8,27
放課後の居場所,習いごと（塾や英会話等の学習系）,75,35,26,21,23,33,15,17,24,20,20,33,31,14,23,9,9,4,11,5,8,6,5,1,1,2,0,1,2
放課後の居場所,習いごと（スイミングやサッカー等のスポーツ系）,59,22,17,10,24,31,12,10,18,16,11,25,28,10,22,7,5,2,9,6,8,3,3,0,1,1,0,3,1
放課後の居場所,習いごと（音楽や習字等の芸術系）,41,14,12,11,13,19,9,5,9,9,10,13,20,9,15,4,6,4,4,5,6,4,2,2,1,1,1,0,0
放課後の居場所,児童通所サービス（放課後等デイサービス　等）,156,50,52,23,63,79,20,6,34,21,18,43,61,21,44,7,5,5,21,10,17,4,1,1,2,6,0,8,9
放課後の居場所,学童保育,34,12,6,7,10,12,5,3,9,3,6,8,14,6,10,4,4,3,5,5,3,3,3,2,1,1,0,1,0
放課後の居場所,広場や公園,35,17,16,10,12,22,11,11,17,12,11,17,26,11,19,8,6,3,10,5,10,2,2,3,1,3,0,1,0
放課後の居場所,学校（校庭や体育館）,35,14,11,9,15,22,9,9,10,10,7,16,24,6,13,3,7,0,6,4,3,1,0,0,1,1,0,1,0
放課後の居場所,児童館や図書館などの公共施設,16,11,8,2,8,12,3,4,7,3,7,7,9,10,7,3,2,1,4,2,1,0,0,0,1,2,0,0,0
放課後の居場所,その他,8,2,4,3,1,6,5,5,4,2,1,4,7,1,2,0,2,0,2,1,2,0,0,1,0,0,0,1,0
障害福祉サービスの利用状況,利用していない,2117,892,827,601,705,610,309,383,666,554,400,407,392,196,206,209,261,131,205,114,197,128,58,80,36,18,74,82,219
障害福祉サービスの利用状況,居宅介護（ホームヘルプ）,222,65,76,50,90,47,37,23,49,48,37,26,29,22,22,24,20,16,27,9,11,10,3,5,3,3,8,6,23
障害福祉サービスの利用状況,重度訪問介護,29,6,8,11,6,6,6,6,9,9,2,5,3,3,0,2,0,1,0,2,2,0,1,2,0,1,1,0,7
障害福祉サービスの利用状況,同行援護,70,21,25,17,28,22,13,9,18,14,9,11,15,7,6,6,4,4,7,3,9,4,3,3,2,0,1,3,4
障害福祉サービスの利用状況,行動援護,81,18,33,19,30,22,12,10,19,14,9,12,12,9,8,6,6,4,11,4,3,4,3,1,2,2,2,2,5
障害福祉サービスの利用状況,重度障害者等包括支援,29,5,6,8,5,5,8,7,5,4,3,5,3,4,3,3,1,2,1,1,1,2,1,1,0,0,0,0,0
障害福祉サービスの利用状況,短期入所（ショートステイ）,141,31,37,15,59,25,19,7,16,16,20,9,12,8,12,13,13,8,12,10,7,8,4,7,3,2,4,4,25
障害福祉サービスの利用状況,療養介護,34,13,16,7,14,9,6,5,7,8,8,6,6,8,5,5,3,1,4,3,3,4,1,2,1,0,1,2,1
障害福祉サービスの利用状況,生活介護,85,26,28,24,35,24,16,15,27,20,17,11,18,9,6,10,8,6,11,7,5,6,3,4,2,1,5,5,9
障害福祉サービスの利用状況,施設入所支援,43,8,14,5,19,8,3,2,8,5,5,1,6,2,3,2,2,2,6,1,1,3,0,0,0,0,0,1,4
障害福祉サービスの利用状況,自立訓練,65,17,21,17,30,12,11,5,17,16,17,12,11,5,3,5,4,5,6,3,3,3,1,3,1,2,1,2,6
障害福祉サービスの利用状況,就労移行支援,42,20,20,15,20,16,14,13,17,9,10,18,14,10,9,5,7,2,12,1,9,5,0,5,1,0,1,2,3
障害福祉サービスの利用状況,就労継続支援（A型）,23,9,10,7,5,8,5,5,10,4,4,6,10,1,11,2,5,1,5,1,4,3,1,1,0,0,2,2,1
障害福祉サービスの利用状況,就労継続支援（B型）,89,27,33,28,31,34,19,22,33,25,14,24,29,16,17,7,8,2,20,4,3,4,0,4,0,1,2,7,5
障害福祉サービスの利用状況,就労定着支援,19,6,10,6,10,9,5,6,8,6,5,10,8,3,7,5,3,2,5,1,5,1,1,2,1,1,0,2,1
障害福祉サービスの利用状況,自立生活援助,45,13,16,14,16,17,10,14,21,18,10,11,12,4,7,5,8,3,4,2,5,3,1,2,0,1,1,2,2
障害福祉サービスの利用状況,共同生活援助（グループホーム）,33,11,9,10,15,6,5,4,10,4,3,4,6,4,6,1,3,3,5,1,2,2,0,0,1,0,0,1,2
障害福祉サービスの利用状況,計画相談支援,51,19,16,15,22,26,16,10,18,19,13,19,19,6,15,8,7,5,12,2,7,2,1,3,1,2,1,9,2
障害福祉サービスの利用状況,地域相談支援,57,25,22,19,24,16,15,10,19,18,12,15,16,9,9,9,11,3,9,2,11,9,3,4,2,1,4,5,3
障害福祉サービスの利用状況,移動支援,76,33,24,17,30,26,15,11,28,22,13,14,19,11,13,11,14,7,13,8,7,5,2,2,2,1,1,1,4
障害福祉サービスの利用状況,地域活動支援センター,81,32,37,27,36,26,21,19,29,25,18,22,21,12,16,11,11,4,16,8,10,8,1,2,3,1,0,4,4
障害福祉サービスの利用状況,福祉ホーム,25,8,10,9,5,8,7,5,8,10,7,5,7,4,4,3,2,2,2,2,1,1,2,0,0,0,1,1,0
障害福祉サービスの利用状況,児童発達支援,55,22,19,12,19,27,8,8,16,10,6,19,28,8,19,3,4,0,5,4,7,4,1,1,2,3,0,2,2
障害福祉サービスの利用状況,医療型児童発達支援,11,6,4,4,3,6,2,3,5,3,3,6,7,2,3,1,2,0,4,2,0,0,1,2,0,3,0,1,0
障害福祉サービスの利用状況,放課後等デイサービス,208,61,62,25,92,87,28,13,49,32,21,46,64,20,46,10,13,10,24,10,19,8,2,4,1,6,2,14,19
障害福祉サービスの利用状況,居宅訪問型児童発達支援,8,2,2,3,5,3,3,2,3,3,3,3,4,3,3,3,3,2,1,0,1,0,0,0,0,1,0,0,1
障害福祉サービスの利用状況,保育所等訪問支援,5,2,0,1,1,2,1,0,1,0,2,1,3,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1
障害福祉サービスの利用状況,訪問看護,179,55,60,56,71,48,33,37,54,41,35,25,30,14,15,21,20,11,19,9,18,12,2,14,4,0,6,9,27
障害福祉サービスの利用状況,訪問リハビリテーション,165,52,60,41,68,33,19,17,39,36,31,13,18,4,14,17,17,8,12,8,16,14,5,7,1,1,4,4,24
スポーツ運動の実施の有無,行っている,2091,954,904,623,733,674,362,397,681,565,429,429,454,244,283,238,254,135,245,121,222,145,63,79,33,29,62,77,98
スポーツ運動の実施の有無,行っていない,1135,271,278,217,400,238,119,131,276,200,134,163,161,45,64,55,96,43,85,40,62,44,12,44,13,4,41,57,224
過去1年間の実施種目,ウォーキング、散歩（散策、ペットの散歩など）,1595,805,759,519,585,513,284,316,538,454,360,321,328,203,215,206,201,112,185,89,176,127,54,65,30,22,52,60,87
過去1年間の実施種目,体操（ラジオ体操、職場体操、ストレッチ、エアロビクス、ヨガ、ピラティス、縄跳びなど）,531,284,270,204,227,201,119,132,211,177,153,144,145,100,113,90,90,61,81,49,85,55,31,38,17,11,15,23,9
過去1年間の実施種目,室内運動器具（ウエイト器具、ランニングマシーン、バランスボールなど）を用いる運動,285,156,146,101,111,123,74,77,128,103,84,78,79,53,63,50,51,27,39,29,46,18,16,16,9,11,11,11,6
過去1年間の実施種目,陸上競技（ランニング、ジョギングなどの軽い運動も含めます）,170,92,80,67,62,77,49,49,71,53,42,56,72,41,42,24,28,15,37,18,31,14,7,7,5,8,9,8,4
過去1年間の実施種目,水泳・遊泳（水中歩行・水中運動）,293,158,148,90,116,134,58,57,118,79,54,84,100,55,82,30,36,18,46,24,41,18,10,14,1,7,3,11,2
過去1年間の実施種目,ブラインドサッカー,24,8,8,11,6,7,12,7,7,9,8,9,7,7,5,6,5,4,4,4,3,5,3,4,1,2,0,0,1
過去1年間の実施種目,車いすテニス,15,10,5,5,5,7,5,5,3,5,6,4,4,6,3,5,4,5,4,4,4,4,2,2,2,2,0,0,1
過去1年間の実施種目,サウンドテーブルテニス,26,5,6,7,6,8,10,5,7,7,6,7,11,5,7,5,5,4,4,3,3,3,2,2,0,2,1,0,0
過去1年間の実施種目,パラバレーボール,26,7,6,10,4,6,9,6,7,5,5,6,11,5,5,7,4,5,4,1,4,6,2,2,0,0,0,0,1
過去1年間の実施種目,車いすバスケットボール,19,5,5,6,5,9,7,5,5,5,3,7,6,2,6,2,4,3,1,4,0,0,1,2,0,2,0,0,0
過去1年間の実施種目,車いすラグビー,13,3,3,3,4,4,3,2,3,2,4,5,6,2,4,2,6,1,2,2,1,2,3,3,0,1,0,0,0
過去1年間の実施種目,ボッチャ,50,26,19,16,20,31,19,9,16,9,7,17,23,10,17,7,6,5,12,8,8,3,3,5,1,4,1,2,2
過去1年間の実施種目,球技（キャッチボールなどのボールを使った軽い運動も含めます）,124,64,60,39,56,62,26,32,41,27,25,46,66,22,36,12,14,5,21,13,19,8,4,9,1,4,3,5,3
過去1年間の実施種目,ダンス（フォークダンス、ジャズダンス、社交ダンス、フラダンス、バレエ、民謡踊りなど）,94,53,58,41,39,48,23,29,33,26,20,27,33,26,32,14,21,16,32,18,21,12,3,6,3,5,0,4,0
過去1年間の実施種目,格闘技（ボクシング、レスリング、相撲（すもう）など）,19,12,11,9,6,7,4,3,6,9,3,7,9,6,5,2,3,2,3,3,2,3,0,0,0,1,1,1,0
過去1年間の実施種目,武道（柔道、剣道、空手、合気道など）,24,9,9,8,5,6,6,6,8,10,7,8,14,6,8,5,7,7,5,3,6,5,2,3,2,1,1,1,1
過去1年間の実施種目,射的（弓道、アーチェリー、ダーツ、スポーツ吹矢など）,15,8,4,9,8,5,7,5,6,6,4,4,8,8,4,3,5,2,6,3,2,4,2,2,1,2,0,1,0
過去1年間の実施種目,ウィンタースポーツ（スキー、スノーボード、スケートなど）,47,33,28,18,24,23,11,11,19,17,6,14,20,12,16,3,9,2,6,6,8,3,5,2,1,1,1,1,0
過去1年間の実施種目,ウォータースポーツ（ボート、ヨット、スキンダイビング、スクーバダイビング、カヌー、水上バイク、サーフィン、ウィンドサーフィン、ボディボード、ボードセーリングなど）,38,23,20,18,16,16,11,13,16,19,9,7,14,14,10,5,8,4,6,8,8,6,5,2,2,0,1,5,0
過去1年間の実施種目,スカイスポーツ（ハンググライダー、パラグライダー、スカイダイビングなど）,13,4,4,7,4,3,4,4,2,4,3,2,3,4,3,1,2,2,1,3,0,1,2,1,1,1,0,0,0
過去1年間の実施種目,アウトドアスポーツ（ハイキング、ワンダーフォーゲル、釣り、登山、キャンプなど）,105,69,65,43,46,51,35,35,44,42,28,42,44,30,35,26,25,14,22,16,25,14,11,11,5,4,7,9,1
過去1年間の実施種目,サイクリング、モーター（サイクル）スポーツ,114,72,69,51,44,55,35,35,55,51,41,42,42,30,35,33,19,13,24,19,24,19,20,8,4,8,9,10,0
過去1年間の実施種目,運動あそび（鬼ごっこ、かくれんぼ、鉄棒、ぶらんこなど）,134,69,66,37,66,87,18,20,45,32,25,58,68,28,61,11,14,5,28,11,26,7,5,6,3,5,2,6,0
過去1年間の実施種目,ゲーム機を使い体を動かして行うスポーツ・フィットネス等,79,40,45,33,38,49,23,29,36,28,16,37,43,18,24,12,13,10,21,11,18,8,4,7,2,3,3,3,1
過去1年間の実施種目,その他,53,25,17,16,17,17,12,5,13,15,7,14,20,6,10,5,9,2,12,4,8,4,2,6,2,1,4,7,1
過去1年間の実施種目,この1年間に運動・スポーツは行わなかった,1135,271,278,217,400,238,119,131,276,200,134,163,161,45,64,55,96,43,85,40,62,44,12,44,13,4,41,57,224
実施頻度（1年間）,週3日以上（年151日以上）,604,301,283,189,242,202,113,130,217,198,147,138,148,73,81,81,82,43,66,38,72,46,25,28,12,13,23,27,17
実施頻度（1年間）,週2日程度（年101日～150日）,429,207,190,135,183,149,81,78,149,121,102,90,99,65,57,44,48,29,54,26,53,35,15,16,5,6,10,10,5
実施頻度（1年間）,週1日程度（年51日～100日）,506,206,214,137,145,146,85,85,139,108,86,98,100,42,68,49,61,29,63,21,39,26,4,15,5,5,14,21,18
実施頻度（1年間）,月に1～3日程度（年12日～50日）,280,126,121,96,99,111,42,55,95,80,53,65,70,33,48,41,39,22,39,23,36,26,8,12,9,2,7,13,8
実施頻度（1年間）,3か月に1～2日程度（年4日～11日）,75,42,35,27,28,27,18,17,33,26,16,11,14,12,14,12,13,7,9,6,10,7,5,4,0,2,5,3,2
実施頻度（1年間）,年に1～3日程度,52,27,18,13,13,18,11,13,16,13,11,6,6,8,6,7,4,2,6,2,3,2,4,2,1,1,1,1,2
実施頻度（1年間）,わからない,145,45,43,26,23,21,12,19,32,19,14,21,17,11,9,4,7,3,8,5,9,3,2,2,1,0,2,2,46
実施した場所,自宅,829,427,420,312,327,284,165,189,316,263,206,199,197,112,131,127,124,82,113,57,118,72,34,50,25,12,24,35,24
実施した場所,道路や遊歩道,1083,549,517,370,436,371,216,226,394,333,276,225,222,147,140,161,153,85,132,67,119,102,38,46,21,16,39,48,46
実施した場所,広場や公園,633,335,341,219,254,247,132,133,222,203,169,151,159,101,121,95,96,46,84,41,80,59,26,28,12,11,18,28,12
実施した場所,民間のスポーツ施設,314,173,154,103,104,114,62,69,127,97,76,78,94,50,72,40,51,30,49,21,43,23,13,14,6,13,9,10,3
実施した場所,公共のスポーツ施設（障害者専用施設）,130,53,45,29,40,47,30,19,46,32,28,28,35,16,24,15,16,15,17,10,16,9,6,5,2,7,2,1,0
実施した場所,公共のスポーツ施設（障害者専用施設以外）,241,130,125,84,90,90,55,51,90,72,54,76,73,37,64,38,50,29,43,21,35,22,13,14,5,6,8,8,3
実施した場所,小中高校の体育施設,128,59,56,38,59,70,30,28,48,36,26,53,67,25,45,13,14,7,23,12,21,5,4,7,1,8,0,4,1
実施した場所,特別支援学校の体育施設,85,26,36,24,25,44,22,14,21,16,11,21,41,14,26,7,8,8,11,7,9,6,3,2,1,2,0,2,1
実施した場所,職場のスポーツ施設,35,14,14,9,11,13,6,8,6,11,9,11,14,6,11,8,9,8,9,6,8,4,3,1,1,1,1,0,0
実施した場所,福祉施設,64,31,27,19,26,16,15,13,17,16,14,12,18,9,11,7,11,6,13,5,7,9,0,6,0,3,0,6,2
実施した場所,児童通所サービス（放課後等デイサービス等）,87,34,35,17,38,48,7,3,24,11,9,20,37,16,32,4,4,2,13,7,14,5,1,3,2,3,0,5,0
実施した場所,医療機関（病院やリハビリ施設）,68,29,36,23,32,25,16,13,20,24,27,14,15,11,13,15,14,12,10,4,9,8,3,3,2,2,1,7,2
実施した場所,山・川・海・空,171,119,96,64,77,85,48,45,76,69,57,60,61,55,54,34,35,16,36,21,33,19,14,10,3,6,7,19,1
実施した場所,その他,44,24,23,17,20,16,8,17,18,17,14,7,10,11,8,7,4,4,5,3,6,4,2,1,2,0,3,5,1
実施した場所,わからない,47,9,7,6,5,6,3,3,5,5,4,3,4,2,1,1,3,1,4,0,2,0,0,0,0,0,1,1,26
一緒に実施する人,一人,1133,590,528,377,418,393,235,270,443,376,308,252,231,160,141,175,180,92,139,73,136,90,45,56,24,15,49,53,48
一緒に実施する人,家族,762,399,397,251,292,253,114,118,220,187,132,162,182,87,124,74,81,41,89,43,88,62,13,28,13,11,10,34,22
一緒に実施する人,福祉施設の職員・仲間,174,58,76,53,67,47,33,27,50,40,34,32,38,22,27,16,17,13,22,12,15,14,9,4,1,6,4,6,4
一緒に実施する人,障害がある人のサークル・障害者スポーツサークル等の仲間,91,37,33,27,36,25,24,11,25,25,16,26,26,14,21,10,11,9,17,8,11,9,6,5,1,5,0,2,1
一緒に実施する人,障害がある人やない人など様々な人がいるサークルの仲間,107,44,38,35,39,39,21,20,28,24,22,22,32,11,26,12,16,8,17,12,15,12,8,7,4,6,2,2,0
一緒に実施する人,スポーツ教室の指導者・仲間,151,73,62,41,60,64,28,28,55,42,37,43,57,21,38,20,24,23,29,16,19,12,5,6,1,5,0,7,1
一緒に実施する人,障害者専用スポーツ施設の職員・仲間,61,16,18,13,23,17,16,8,16,15,14,12,21,11,17,7,7,8,7,6,6,6,5,4,2,3,1,0,0
