調査項目,回答,全体(人),実際に体を動かして行う、スポーツやフィットネスのゲーム（「ニンテンドースイッチスポーツ」や「リングフィットアドベンチャー」、「ウィーフィット」など）(人),実際に体を動かして行う、スポーツ以外のゲーム（「太鼓の達人」、「ドラゴンクエストソード」など）(人),指先など体の一部を動かして一般的なコントローラーを操作して行うゲーム（ポケットモンスター、スプラトゥーン、マインクラフト、ぷよぷよなど）(人),指先など体の一部を動かして障害の状態に応じた入力装置（フレックスコントローラーや視線入力装置、個人用にカスタムされたスイッチ等）を操作して行うゲーム（ポケットモンスター、スプラトゥーン、マインクラフト、ぷよぷよなど）(人),やったことはない(人)
過去1年間の実施種目,パラバレーボール,26,15,13,16,8,1
過去1年間の実施種目,車いすバスケットボール,19,10,12,10,3,2
過去1年間の実施種目,車いすラグビー,13,5,7,8,2,1
過去1年間の実施種目,ボッチャ,50,16,15,23,4,19
過去1年間の実施種目,球技（キャッチボールなどのボールを使った軽い運動も含めます）,124,47,41,68,23,38
過去1年間の実施種目,ダンス（フォークダンス、ジャズダンス、社交ダンス、フラダンス、バレエ、民謡踊りなど）,94,35,30,47,21,32
過去1年間の実施種目,格闘技（ボクシング、レスリング、相撲（すもう）など）,19,7,9,11,5,6
過去1年間の実施種目,武道（柔道、剣道、空手、合気道など）,24,11,11,11,4,7
過去1年間の実施種目,射的（弓道、アーチェリー、ダーツ、スポーツ吹矢など）,15,10,9,11,4,4
過去1年間の実施種目,ウィンタースポーツ（スキー、スノーボード、スケートなど）,47,26,18,25,12,12
過去1年間の実施種目,ウォータースポーツ（ボート、ヨット、スキンダイビング、スクーバダイビング、カヌー、水上バイク、サーフィン、ウィンドサーフィン、ボディボード、ボードセーリングなど）,38,17,12,20,7,10
過去1年間の実施種目,スカイスポーツ（ハンググライダー、パラグライダー、スカイダイビングなど）,13,9,8,10,5,0
過去1年間の実施種目,アウトドアスポーツ（ハイキング、ワンダーフォーゲル、釣り、登山、キャンプなど）,105,40,31,43,12,40
過去1年間の実施種目,サイクリング、モーター（サイクル）スポーツ,114,34,35,55,19,42
過去1年間の実施種目,運動あそび（鬼ごっこ、かくれんぼ、鉄棒、ぶらんこなど）,134,48,44,74,24,35
過去1年間の実施種目,ゲーム機を使い体を動かして行うスポーツ・フィットネス等,79,65,38,53,19,4
過去1年間の実施種目,その他,53,10,9,22,7,27
過去1年間の実施種目,この1年間に運動・スポーツは行わなかった,1135,66,58,176,46,890
実施頻度（1年間）,週3日以上（年151日以上）,604,131,85,164,53,351
実施頻度（1年間）,週2日程度（年101日～150日）,429,117,98,137,42,197
実施頻度（1年間）,週1日程度（年51日～100日）,506,106,82,138,57,256
実施頻度（1年間）,月に1～3日程度（年12日～50日）,280,55,43,88,32,143
実施頻度（1年間）,3か月に1～2日程度（年4日～11日）,75,14,9,21,6,36
実施頻度（1年間）,年に1～3日程度,52,11,5,16,6,26
実施頻度（1年間）,わからない,145,15,10,18,15,105
実施した場所,自宅,829,242,152,226,82,420
実施した場所,道路や遊歩道,1083,195,148,282,84,647
実施した場所,広場や公園,633,166,135,206,67,295
実施した場所,民間のスポーツ施設,314,105,77,130,50,116
実施した場所,公共のスポーツ施設（障害者専用施設）,130,52,49,48,23,27
実施した場所,公共のスポーツ施設（障害者専用施設以外）,241,67,61,109,28,98
実施した場所,小中高校の体育施設,128,47,42,75,29,29
実施した場所,特別支援学校の体育施設,85,31,30,39,20,27
実施した場所,職場のスポーツ施設,35,17,19,15,5,7
実施した場所,福祉施設,64,19,15,23,10,32
実施した場所,児童通所サービス（放課後等デイサービス等）,87,26,26,40,9,34
実施した場所,医療機関（病院やリハビリ施設）,68,11,12,18,9,40
実施した場所,山・川・海・空,171,56,43,73,21,65
実施した場所,その他,44,3,2,12,3,30
実施した場所,わからない,47,2,1,2,0,42
一緒に実施する人,一人,1133,222,137,284,91,677
一緒に実施する人,家族,762,211,155,237,79,356
一緒に実施する人,福祉施設の職員・仲間,174,46,43,54,28,80
一緒に実施する人,障害がある人のサークル・障害者スポーツサークル等の仲間,91,35,32,42,15,17
一緒に実施する人,障害がある人やない人など様々な人がいるサークルの仲間,107,35,39,57,23,23
一緒に実施する人,スポーツ教室の指導者・仲間,151,45,42,71,26,56
一緒に実施する人,障害者専用スポーツ施設の職員・仲間,61,20,25,26,11,15
一緒に実施する人,地域の公共スポーツ施設の職員・仲間,48,18,21,23,8,10
一緒に実施する人,ボランティアの人たち,54,18,19,24,8,16
一緒に実施する人,学校の先生や学校の友達,150,56,46,79,33,46
一緒に実施する人,児童通所サービス（放課後等デイサービス等）の職員・仲間,86,24,24,41,8,33
一緒に実施する人,その他の友人・知人,137,44,37,62,19,55
一緒に実施する人,その他,35,2,5,8,3,26
一緒に実施する人,わからない,40,1,0,1,1,38
実施した理由,健康・体力づくりのため,1503,338,210,410,142,841
実施した理由,楽しみや気晴らしのため,890,251,180,305,100,420
実施した理由,運動不足解消のため,1109,255,171,327,109,604
実施した理由,精神の修養や訓練のため（心をきたえるため）,240,77,69,92,34,85
実施した理由,自己の記録や能力を向上させるため,182,62,50,87,35,56
実施した理由,リハビリテーションや医療・治療のため,340,65,59,87,26,195
実施した理由,家族のふれあいのため,154,56,49,71,28,58
実施した理由,友人・仲間との交流のため,254,92,79,124,48,81
実施した理由,美容や肥満解消（ダイエット）のため,217,70,48,91,23,93
実施した理由,障害者スポーツ大会に参加するため,17,9,6,7,4,5
実施した理由,その他,36,4,6,17,6,17
実施した理由,わからない,61,1,1,2,1,56
実施したきっかけ,家族に奨められた,561,172,103,144,47,269
実施したきっかけ,（障害のある）友人・知人・同僚に奨められた,101,41,35,47,16,22
実施したきっかけ,（障害のない）友人・知人・同僚に奨められた,119,37,40,52,17,38
実施したきっかけ,医師に奨められた,500,92,81,125,37,298
実施したきっかけ,看護師に奨められた,114,34,35,33,12,46
実施したきっかけ,作業療法士（OT）に奨められた,100,29,34,34,13,36
実施したきっかけ,理学療法士（PT）に奨められた,128,25,25,40,22,64
実施したきっかけ,言語聴覚士（ST）に奨められた,39,20,16,23,5,7
実施したきっかけ,視能訓練士（CO）に奨められた,21,7,13,11,7,1
実施したきっかけ,義肢装具士に奨められた,15,7,9,5,4,1
実施したきっかけ,介護福祉士に奨められた,43,15,12,18,6,20
実施したきっかけ,社会福祉士（ソーシャルワーカー）に奨められた,49,14,15,16,12,23
実施したきっかけ,スポーツ指導者に奨められた,20,9,4,9,3,9
実施したきっかけ,パラスポーツ指導員（旧障害者スポーツ指導員）に奨められた,19,13,12,15,7,1
実施したきっかけ,学校の先生に奨められた,57,23,21,30,10,13
実施したきっかけ,学校の授業等で興味を持ち、自主的に始めた,64,25,19,39,16,15
実施したきっかけ,所属する団体（会社等）に奨められた,17,7,8,9,3,5
実施したきっかけ,障害のある有名選手・パラアスリートの影響,14,4,6,7,3,5
実施したきっかけ,障害のない有名選手・アスリートの影響,13,5,6,7,5,2
実施したきっかけ,テレビや新聞の影響,66,22,20,25,14,32
実施したきっかけ,インターネットや動画配信を見て,81,32,25,40,20,22
実施したきっかけ,ＳＮＳの影響,40,18,15,23,14,9
実施したきっかけ,漫画、ドラマ、映画等の影響,20,10,11,14,6,3
実施したきっかけ,現地やテレビ等でそのスポーツを観た,22,8,11,11,5,5
実施したきっかけ,スポーツ団体等の関係者から誘われた,11,5,4,7,2,2
実施したきっかけ,スポーツイベントや体験会等で興味を持った,18,7,7,9,4,5
実施したきっかけ,スポーツ以外をテーマとするイベント（福祉祭り等の中の講演や体験会等）で興味を持った,6,2,1,3,1,2
実施したきっかけ,福祉施設で実施している運動プログラムに参加して,36,8,5,11,6,19
実施したきっかけ,行政の広報誌,15,1,2,4,2,11
実施したきっかけ,その他,89,10,8,31,8,54
実施したきっかけ,特にきっかけはない・なんとなく,676,114,68,163,54,433
スポーツ・運動への取組意向,スポーツや運動を行っており、満足している,849,218,137,252,84,431
スポーツ・運動への取組意向,スポーツや運動を行っているが、もっと行いたい,600,127,126,174,65,291
スポーツ・運動への取組意向,スポーツや運動を行いたいと思うができない,732,102,68,162,55,474
スポーツ・運動への取組意向,スポーツや運動に関心はない,1045,68,59,170,53,808
実施していない理由,医師に止められており、身体的にできない,127,5,6,14,8,101
実施していない理由,どのくらい体を動かしたらよいかわからない,74,5,3,9,1,59
実施していない理由,身近なところにスポーツや運動ができる場所がない,61,4,4,16,3,42
実施していない理由,スポーツや運動ができる場所への移動手段がない,40,2,1,2,1,35
実施していない理由,自分に合ったスポーツや運動の情報がない,89,5,6,24,5,59
実施していない理由,一緒にできる仲間がいない,96,12,9,25,7,60
実施していない理由,介助者がいない,93,2,8,15,1,74
実施していない理由,金銭的な余裕がない,117,10,6,28,5,86
実施していない理由,時間がない,90,8,7,24,6,62
実施していない理由,必要な競技用具や補助具がない,42,1,1,4,1,35
実施していない理由,その他,87,6,5,11,1,70
実施していない理由,活動したいと思わない,666,34,27,94,20,548
活動したいと思わない理由,スポーツ・運動が嫌いだから,158,9,9,37,7,116
活動したいと思わない理由,スポーツ・運動に興味がないから,151,11,13,41,6,107
活動したいと思わない理由,スポーツ・運動を楽しんだ経験がないから,39,3,3,9,2,30
活動したいと思わない理由,疲れるから,163,12,14,44,8,113
活動したいと思わない理由,人前に出るのが好きではないから,57,7,7,22,3,34
活動したいと思わない理由,学校の体育や部活動等で苦手意識を持ったから,23,2,5,11,1,12
活動したいと思わない理由,一緒に運動・スポーツする人に迷惑をかけるのではないかと心配だから,18,2,2,5,1,12
活動したいと思わない理由,スポーツ以外に趣味があるから,64,9,7,26,4,36
活動したいと思わない理由,忙しいから,34,2,3,9,2,25
活動したいと思わない理由,その他,56,1,2,9,3,46
活動したいと思わない理由,わからない,216,6,3,6,2,202
学校体育の参加状況,参加していて、体育が好きである,279,103,85,131,36,88
学校体育の参加状況,参加しているが、体育は好きではない,146,35,47,65,32,40
学校体育の参加状況,参加していない,42,7,10,16,7,15
学校体育の参加状況,わからない,37,1,1,3,1,31
学校体育に参加しない理由,授業の内容のとおりに身体を動かすことができないから,9,3,3,1,1,5
学校体育に参加しない理由,自分にはできないと思ったから,12,1,3,7,0,4
学校体育に参加しない理由,他の生徒や先生に迷惑をかけると思ったから,6,3,4,2,1,0
学校体育に参加しない理由,参加するために必要なスポーツ用具がなかったから,1,0,0,0,0,1
学校体育に参加しない理由,医師から止められていたから,1,0,0,0,0,1
学校体育に参加しない理由,学校の先生から見学するように言われたから,3,1,1,0,1,1
学校体育に参加しない理由,身体を動かすことが怖いから,5,0,0,0,2,3
学校体育に参加しない理由,その他,12,3,3,7,2,3
スポーツ・運動の参加方法,現地の会場で対面での参加,1083,275,200,357,124,518
スポーツ・運動の参加方法,リモート参加,134,35,40,36,15,41
スポーツ・運動の参加方法,ハイブリッド（現地参加とリモート参加の両方から選択できる）,241,56,54,85,31,97
スポーツ・運動の参加方法,参加したいと思わない,1768,149,96,280,87,1348
参加したいスポーツ活動,ルールが簡単,891,250,174,279,111,422
参加したいスポーツ活動,自分のペースに合わせてできる,1507,302,223,451,139,836
参加したいスポーツ活動,汗をかかない,151,35,35,52,20,67
参加したいスポーツ活動,自宅で実施できる,570,110,78,150,51,330
参加したいスポーツ活動,短い時間で実施できる,705,129,101,192,58,409
参加したいスポーツ活動,上達したことが分かる,362,114,91,149,52,142
参加したいスポーツ活動,ゲーム機を使い体を動かして行なうスポーツ・フィットネス等,203,89,67,106,47,42
参加したいスポーツ活動,好きな種目を選べる,468,140,116,210,70,181
参加したいスポーツ活動,やったことがないスポーツを試せる,138,51,37,63,27,47
参加したいスポーツ活動,予約や申し込みなしに、参加したいときに参加できる,355,94,68,137,40,163
参加したいスポーツ活動,有名な選手に会える,85,35,28,38,16,27
参加したいスポーツ活動,親子で一緒に参加ができる,149,45,42,59,23,53
参加したいスポーツ活動,新しい友達をつくることができる,263,84,65,118,41,101
参加したいスポーツ活動,スポーツ以外に芸術・文化的なパフォーマンスも楽しめる,130,34,35,59,17,57
参加したいスポーツ活動,失敗しても笑われたり恥ずかしい思いをしない,365,98,79,158,52,157
参加したいスポーツ活動,新しい道具やウェアを買わなくてよい,326,59,54,115,22,180
参加したいスポーツ活動,その他,63,7,4,16,6,45
参加したいスポーツ活動,どのようなスポーツや運動でも参加したいと思わない,909,32,20,85,26,786
スポーツ・運動の継続実施に必要なもの,スタジアム、体育館などの建物や設備のバリアフリー化,344,132,78,109,39,132
スポーツ・運動の継続実施に必要なもの,交通機関（電車やバス）やまちのバリアフリー化,375,97,71,107,38,181
スポーツ・運動の継続実施に必要なもの,会場までの送迎,360,97,77,118,51,165
スポーツ・運動の継続実施に必要なもの,障害者への施設開放の促進（障害者が優先的に使える施設が増える）,274,72,74,100,36,104
スポーツ・運動の継続実施に必要なもの,障害にあわせた教室やプログラム,463,128,106,169,65,199
スポーツ・運動の継続実施に必要なもの,介助者や手話通訳などの支援,120,38,36,46,17,46
スポーツ・運動の継続実施に必要なもの,障害に対応した情報の提供や問合せ方法の充実,232,58,56,82,37,108
スポーツ・運動の継続実施に必要なもの,施設や用具等を利用する際に必要な手続きの支援,138,41,33,50,21,56
スポーツ・運動の継続実施に必要なもの,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進,109,37,35,50,20,35
スポーツ・運動の継続実施に必要なもの,健康や体調を管理する医療的なサポート,280,66,54,93,23,148
スポーツ・運動の継続実施に必要なもの,目標となる大会やイベント,136,52,40,64,20,45
スポーツ・運動の継続実施に必要なもの,スポーツ用具等の貸出し,172,54,39,66,20,66
スポーツ・運動の継続実施に必要なもの,施設の利用料減免　（利用料が安くなったり、無料になったりする）,314,79,66,115,36,155
スポーツ・運動の継続実施に必要なもの,リモートにより、障害に応じたスポーツ・運動を指導してくれる支援、またはその充実,89,34,24,33,11,39
スポーツ・運動の継続実施に必要なもの,自宅でもできる、障害に応じたスポーツ・運動方法についての情報提供、またはその充実,258,63,52,76,28,134
スポーツ・運動の継続実施に必要なもの,一緒に行う仲間（障害の無い人）,331,101,72,139,50,147
スポーツ・運動の継続実施に必要なもの,一緒に行う仲間（自分と同じ障害のある人）,291,86,65,129,52,121
スポーツ・運動の継続実施に必要なもの,一緒に行う仲間（自分と異なる障害のある人）,157,50,36,70,25,66
スポーツ・運動の継続実施に必要なもの,適切な指導者やコーチ、トレーナー,356,84,61,132,43,183
スポーツ・運動の継続実施に必要なもの,その他,44,6,3,18,3,25
スポーツ・運動の継続実施に必要なもの,特にない,362,39,21,70,20,268
スポーツ・運動の継続実施に必要なもの,わからない,247,20,14,42,15,191
新たに別のスポーツ・運動を始めるために必要な支援,スタジアム、体育館などの建物や設備のバリアフリー化,245,88,43,59,30,102
新たに別のスポーツ・運動を始めるために必要な支援,交通機関（電車やバス）やまちのバリアフリー化,228,56,51,52,18,109
新たに別のスポーツ・運動を始めるために必要な支援,会場までの送迎,321,71,59,98,33,156
新たに別のスポーツ・運動を始めるために必要な支援,障害者への施設開放の促進（障害者が優先的に使える施設が増える）,159,39,49,64,26,50
新たに別のスポーツ・運動を始めるために必要な支援,障害にあわせた教室やプログラム,340,92,84,123,46,150
新たに別のスポーツ・運動を始めるために必要な支援,介助者や手話通訳などの支援,65,19,17,25,10,23
新たに別のスポーツ・運動を始めるために必要な支援,障害に対応した情報の提供や問合せ方法の充実,142,36,33,56,25,51
新たに別のスポーツ・運動を始めるために必要な支援,施設や用具等を利用する際に必要な手続きの支援,75,19,18,26,9,31
新たに別のスポーツ・運動を始めるために必要な支援,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進,54,17,17,25,7,11
新たに別のスポーツ・運動を始めるために必要な支援,健康や体調を管理する医療的なサポート,186,41,28,61,21,95
新たに別のスポーツ・運動を始めるために必要な支援,目標となる大会やイベント,85,31,22,31,17,27
新たに別のスポーツ・運動を始めるために必要な支援,スポーツ用具等の貸出し,102,31,27,45,15,41
新たに別のスポーツ・運動を始めるために必要な支援,施設の利用料減免（利用料が安くなったり、無料になったりする）,245,70,47,92,26,114
新たに別のスポーツ・運動を始めるために必要な支援,リモートにより、障害に応じたスポーツ・運動を指導してくれる支援、またはその充実,50,18,13,17,7,19
新たに別のスポーツ・運動を始めるために必要な支援,自宅でもできる、障害に応じたスポーツ・運動方法についての情報提供、またはその充実,146,36,27,37,18,81
新たに別のスポーツ・運動を始めるために必要な支援,一緒に行う仲間（障害の無い人）,197,52,38,70,26,94
新たに別のスポーツ・運動を始めるために必要な支援,一緒に行う仲間（自分と同じ障害のある人）,164,42,33,63,24,72
新たに別のスポーツ・運動を始めるために必要な支援,一緒に行う仲間（自分と異なる障害のある人）,47,11,10,16,11,19
新たに別のスポーツ・運動を始めるために必要な支援,適切な指導者やコーチ、トレーナー,303,72,52,109,36,155
新たに別のスポーツ・運動を始めるために必要な支援,その他,23,2,4,11,2,12
新たに別のスポーツ・運動を始めるために必要な支援,特にない,396,50,28,80,18,289
新たに別のスポーツ・運動を始めるために必要な支援,わからない,249,23,12,44,16,189
スポーツを始めるきっかけとして必要な支援,スタジアム、体育館などの建物や設備のバリアフリー化,31,6,5,6,4,18
スポーツを始めるきっかけとして必要な支援,交通機関（電車やバス）やまちのバリアフリー化,32,4,3,7,5,20
スポーツを始めるきっかけとして必要な支援,会場までの送迎,95,6,5,13,4,74
スポーツを始めるきっかけとして必要な支援,障害者への施設開放の促進（障害者が優先的に使える施設が増える）,35,2,1,8,2,23
スポーツを始めるきっかけとして必要な支援,障害にあわせた教室やプログラム,112,8,9,19,7,82
スポーツを始めるきっかけとして必要な支援,介助者や手話通訳などの支援,29,2,4,4,2,22
スポーツを始めるきっかけとして必要な支援,障害に対応した情報の提供や問合せ方法の充実,38,3,6,7,2,26
スポーツを始めるきっかけとして必要な支援,施設や用具等を利用する際に必要な手続きの支援,13,2,1,2,1,10
スポーツを始めるきっかけとして必要な支援,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進,5,2,1,0,0,2
スポーツを始めるきっかけとして必要な支援,健康や体調を管理する医療的なサポート,65,6,4,10,3,49
スポーツを始めるきっかけとして必要な支援,目標となる大会やイベント,9,2,3,2,0,4
スポーツを始めるきっかけとして必要な支援,スポーツ用具等の貸出し,17,2,1,4,0,12
スポーツを始めるきっかけとして必要な支援,施設の利用料減免（利用料が安くなったり、無料になったりする）,46,5,2,15,2,28
スポーツを始めるきっかけとして必要な支援,リモートにより、障害に応じたスポーツ・運動を指導してくれる支援、またはその充実,9,0,0,0,1,8
スポーツを始めるきっかけとして必要な支援,自宅でもできる、障害に応じたスポーツ・運動方法についての情報提供、またはその充実,57,5,4,15,1,39
スポーツを始めるきっかけとして必要な支援,一緒に行う仲間（障害の無い人）,49,8,8,23,3,21
スポーツを始めるきっかけとして必要な支援,一緒に行う仲間（自分と同じ障害のある人）,65,7,7,22,5,38
スポーツを始めるきっかけとして必要な支援,一緒に行う仲間（自分と異なる障害のある人）,13,1,1,5,1,6
スポーツを始めるきっかけとして必要な支援,適切な指導者やコーチ、トレーナー,87,6,2,15,3,70
スポーツを始めるきっかけとして必要な支援,その他,23,1,0,2,1,19
スポーツを始めるきっかけとして必要な支援,特にない,385,17,13,43,7,326
スポーツを始めるきっかけとして必要な支援,わからない,354,15,14,51,18,289
