区分１,区分２,部門,名称,説明
個人競技,水泳,身体・知的障害部門,平泳ぎ,距離は種目に応じて、25m、50m、100mなどがあります。日本水泳連盟競技規則に準じて行われますが、障害の種別によって水中スタートや浮助具の使用が認められます。また、視覚障害によりターンやゴールの判断ができない選手に対しては、主催者に許可された者が、指示棒などで合図をしてもよいことになっています。
個人競技,水泳,身体・知的障害部門,背泳ぎ,距離は種目に応じて、25m、50m、100mなどがあります。日本水泳連盟競技規則に準じて行われますが、障害の種別によって水中スタートや浮助具の使用が認められます。また、視覚障害によりターンやゴールの判断ができない選手に対しては、主催者に許可された者が、指示棒などで合図をしてもよいことになっています。
個人競技,水泳,身体・知的障害部門,バタフライ,距離は種目に応じて、25m、50m、100mなどがあります。日本水泳連盟競技規則に準じて行われますが、障害の種別によって水中スタートや浮助具の使用が認められます。また、視覚障害によりターンやゴールの判断ができない選手に対しては、主催者に許可された者が、指示棒などで合図をしてもよいことになっています。
個人競技,水泳,知的障害部門,リレー,距離は種目に応じて、25m、50m、100mなどがあります。日本水泳連盟競技規則に準じて行われますが、障害の種別によって水中スタートや浮助具の使用が認められます。また、視覚障害によりターンやゴールの判断ができない選手に対しては、主催者に許可された者が、指示棒などで合図をしてもよいことになっています。
個人競技,卓球,-,卓球,日本卓球ルールに準じて行われますが、身体的、知的理由において、主審の承認等の決められた手続きを踏めばサービスの規定を緩和することができます。また、障害の種別によって、ラケットを持っていない手がコートに触れても失点となりません。
個人競技,サウンドテーブルテニス（ＳＴＴ）,-,サウンドテーブルテニス（ＳＴＴ）,一般の卓球が困難な視覚障害者（視力0?0.03、視野5度以内）が、専用の卓球台でボールを転がして得点を競います。ボールには金属球が入っており、転がると音が出るようになっています。ラケットは打球面が木質でラバーを貼っていないものを使用します。また、選手は視力による有利不利をなくすためアイマスクを着けます。
個人競技,アーチェリー,-,アーチェリー,全日本アーチェリー連盟競技規則に準じて行われ、弓の先端が逆反りした形状の弓を使用するリカーブボウ、弓の先端についた滑車の作用でリカーブよりも小さい力で弦を引くことができる形状の弓を使用するコンパウンドボウの部門があります。種目は50m・30mラウンドと30mダブルラウンドの他、初級者の参加を促すため、リカーブボウの部は18mダブルラウンドと12mダブルラウンドも実施します。また、リカーブ部門では、障害区分により身体的機能の補助を目的とした補助具を、審判の承認を得て使用することができます。
個人競技,フライングディスク,-,フライングディスク,直径23.5cm、重量100±5gのディスクを使用します。5mまたは7m離れたアキュラシーゴール（直径91.5cmの円形）に向けて10回投げ、その通過回数を競うアキュラシーと、ディスクを3回投げて遠投距離を競うディスタンスがあります。どちらも手、足、口等身体のあらゆる部分を使って投げることができます。視覚障害者へは、アキュラシーゴール後方から、なんらかの音源で方向を知らせることができます。
個人競技,ボーリング,-,ボーリング,全日本ボウリング協会競技規則に準じて行われ、ヨーロピアン方式でハンディなしの2ゲームトータルのスコアにより順位を決定します。
団体競技,バスケットボール（知的障害部門）,-,バスケットボール（知的障害部門）,リングの高さ、コートの広さ、ボールなどは一般のバスケットボールと同じで、日本バスケットボール協会競技規則に準じて行われます。
団体競技,バスケットボール（知的障害部門）,-,フィールドゴール,（個人種目）30秒間に入るシュート数を競います。
団体競技,バスケットボール（知的障害部門）,-,リバウンド,（個人種目）30秒間、ボードにボールをパスし、ジャンプ捕球して着地に成功した回数を競います。
団体競技,バスケットボール（知的障害部門）,-,ドリブル,（個人種目）ドリブルで、3mごとに置かれた障害物を30秒間に何個通り抜けることができるかを競います。
団体競技,車いすバスケットボール（身体障害部門）,-,車いすバスケットボール（身体障害部門）,日本バスケットボール協会競技規則に準じて行われます。車いすの障害の程度に応じて一人ひとりに持ち点があり、1チーム（5名）が14点以下で構成されます。ボールを持ったまま2回まで車いすをこぐことができ、またダブルドリブルの反則が適用されないことが特徴です。プレーヤーの安全を守るため、車いすにも規定があります。
団体競技,ソフトボール,-,ソフトボール,フィールドの広さ、用具は一般のソフトボールと同じですが、ホームベースからピッチャープレートまでを12.19mとして行います。
団体競技,グランドソフトボール（身体障害部門）,-,グランドソフトボール（身体障害部門）,視覚障害者が参加する競技です。通常のソフトボールのルールを基本にしていますが、1チーム10人で、そのうち4人がアイシェードをした全盲プレーヤー（ピッチャーもしくは両遊撃手のうち1名は全盲）、弱視プレーヤー（キャッチャーは弱視）で構成されます。ボールはハンドボールを使用し、ピッチャーはボールが本塁に到達するまでの間に3バウンド以上するように投げます。プレーヤーはボールの転がる音や手ばたきなどを頼りにプレーします。
団体競技,バレーボール（身体、知的、精神部門）,-,バレーボール（身体、知的、精神部門）,6人制で、身体（聴覚障害）・知的障害部門ではコートの広さ、ボールなどは一般のバレーボールと同じですが、ネットの高さは身体障害部門では男子2.43m、女子2.24m、知的障害部門では男子2.30m、女子2.15mで行います。精神障害部門では、ネットの高さは2.24mでボールはソフトバレーボールを使用します。また1チームに女子が常時1名以上出場していなければなりません。
団体競技,フットベースボール（知的障害部門）,-,フットベースボール（知的障害部門）,ソフトボールのルールを基本にしていますが、ピッチャーがホームベースに向けて転がしたサッカーボール（ゴム製）を、バッターはキックして攻撃を行い、グローブやバットは使いません。走者は、走塁中に投手がピッチャーズサークル内でボールを保持した場合は元の塁に戻らなければなりません。
団体競技,サッカー（知的障害部門）,-,サッカー（知的障害部門）,フィールドの広さ、用具などは一般のサッカーと同じです。
団体競技,サッカー（知的障害部門）,-,ドリブル・シュート,（個人種目）5つのコーンが設置されたコースをドリブルで通り抜け、シュートゾーンでボールを止めた後、シュートをし、シュートゾーンでボールを止めるまでの速さを競います。
団体競技,サッカー（知的障害部門）,-,ゲーム,（個人種目）個人種目参加者でチームを組み、試合を行います。
重度障害者競技,スポーツの集い,-,スポーツの集い,知的障害者が参加する競技会で、種目は30m競走、100m競走、花文字作り、大玉ころがし、綱引き、リレーなどがあります。
重度障害者競技,ボッチャ,-,ボッチャ,重度の身体障害者でも参加可能な競技です。自分のボールを、横6m縦10mのコートの中にある「ジャック」といわれる白いボールにできるだけ近づけるように投げたり転がしたりして得点を競います。障害が重いことでボールをうまく持てない、または離せない選手は、「ランプス」という、ボールを転がすことのできる溝を使って競技をすることができます。コートに背を向けたアシスタントが、選手の指示に従い、ランプスを動かしたり、ボールをランプスに置く手伝いをしたりします。
