名称,説明,参考URL
射撃,空気銃や火薬銃で標的を狙い撃ち、得点を競い合います。銃の種類には、ライフルとピストルがあります。ライフルの射撃姿勢には、立って撃つ「立射」と、うつ伏せで撃つ「伏射」、膝を立てて撃つ「膝射（しっしゃ）」があります。ピストルは立射のみです。下肢に障害のある射手は座って撃つ姿勢を立射とします。うつ伏せ姿勢が困難な射手は、テーブルに肘をつけて撃つ姿勢を「伏射」としています。また、視覚障害者は音で的を狙えるような「音式スコープ」を利用して行います。,http://tokyo-shospo-navi.info/sportsinfo/shooting
卓球,卓球競技は、車いす、腕の切断、片足の機能障害など、障害の種類や程度、運動機能に応じた「クラス」ごとに競技が行われます。競技は、国際卓球連盟(ITTF)のルールで、シングルとダブルスで行われますが、クラスによっては一部のルールだけが変更されています。例えば、車いすのルールでは、サービスは相手側のエンドラインを通過しなければなりません。これは、瞬間的にサイドライン側に動くことのできない車いすの特性に合わせた独自のルールになっています。,http://tokyo-shospo-navi.info/sportsinfo/tabletennis
卓球バレー,卓球バレーは、大阪府の筋ジストロフィー症児のための養護学校で始められた競技で、1974年（昭和49年）６月７日に「第５回近畿筋ジストロフィー症児交歓会スポーツ交流会」において実施され、1988年（昭和63年）に京都で開催された第24回全国身体障害者スポーツ大会において公開競技として全国に紹介されました。近年では第8回（大分）と第11回（山口）の全国障害者スポーツ大会でオープン競技として実施され、山口大会には12府県32チームが参加しました。そして、ここ数年は更に全国的に普及が進み、2015年（平成27年）の第15回和歌山大会でのオープン競技としての実施も決定しています。卓球バレー競技は、１チーム６人で、２チームがネットを挟んで卓球台を囲むように車椅子または椅子に座り、サウンドボール（卓球用の球の中に小さな金属の球が４個入ったもの）を使って、ネットの下を転がして打ち合う競技です。基本的にはバレーボールのルールに準じてプレーを行いますが、卓球台からボールが出ると負け（ボールアウト）になります。また、立ち上がったり、腰を浮かしてプレーすることはできません。１セットは15点で、通常は３セットマッチで２セット先取した方が勝ちとなります。,http://tokyo-shospo-navi.info/sportsinfo/pinpong-volleyball
電動車椅子サッカー,電動車椅子サッカーは、１チーム４名の電動車椅子に乗った選手で構成される２チームがバスケットボールコートを使用して対戦する室内サッカーです。プレーヤーに男性・女性の制限はありません。選手は自立歩行ができず、上肢にも機能障害があり、手動の車椅子を使用することも困難な方が多いですが、ジョイスティック型のコントローラーを巧みに操り、プレーします。国際的な呼称はパワーチェアーフットボールとなっており、２００７年に東京で初めてワールドカップが開催され、７か国が参加し日本は第４位でした（優勝はアメリカ）。試合時間は、前後半各２０分で、ボールは通常のサッカーボールより1.5倍ほど大きい特性のボールを使用します。スピードは国際ルールで時速１０km以下と決められていますが、電動車椅子の前に取り付けたフットガードでボールをコントロールし、前・後進や回転してのパスやシュートを行います。ゴールエリアを除いては、基本的にボールに対して３ｍ以内では、各チーム１名しかプレーに関与できません。東京でも毎年夏に多摩障害者スポーツセンターで都大会が開催され、第７回目となる２０１５年は４チームによる熱い戦いが繰り広げられました。,http://tokyo-shospo-navi.info/sportsinfo/powerchairfootball
脳性まひ者７人制サッカー（ＣＰサッカー）,"脳性まひ者７人制サッカー（CPサッカー）とは、比較的軽度の脳性まひ選手がプレーできるように考案された7人制サッカーで、立った状態で行う脳性まひ者スポーツの中では唯一の団体競技です。""CP""は「Cerebral Palsy（脳性まひ）」の略で、国際的には「Football 7-a-side」と呼ばれ、パラリンピックや欧州選手権、コパアメリカ、アジア大会などの大陸大会、世界選手権も行われています。脳性麻痺、脳血管障害（脳卒中など）、脳外傷や頭部外傷（交通事故など）で脳に何らかの障害が残り、身体に麻痺がある人を対象としています。競技を公平に行えるよう、麻痺レベルによってC5からC8までのクラス分けを実施しています。数が大きいほど軽度ということになります。チームを構成する選手は、このクラス分けによる障害クラスを元に構成され、試合中は、必ずＣ５またはＣ６クラスの選手が出場しなければならない。（いなければ６人で試合をする）、Ｃ８選手は、ピッチ上２名までしか出場できない、というルールがあります。プレーヤーの障害は人それぞれのため、お互いの障害を理解したプレーが求められ、チームワークがとても重要なスポーツです。日本選手権は毎年10月から11月の時期に開催されています。また、日本代表はアジア大会で成績を残し、４年に１度の世界大会には参加していますが、パラリンピックにはまだ出場できていません。これからの普及・強化が大切な競技です。",http://tokyo-shospo-navi.info/sportsinfo/cpfootball
パラアイスホッケー,パラアイスホッケーは、アイスホッケーと並び「氷上の格闘技」と呼ばれる激しいスポーツです。リンクは長さ60m×幅30m、ゴールラインの中央に高さ1.22ｍ、幅1.83ｍのゴールポストが置かれ、ゴールラインを3等分するようにブルーラインが2本引かれます。この2本のラインで分けられたゾーンの自陣側のゴールのある部分を「ディフェンディング・ゾーン」、中間が「ニュートラル・ゾーン」、相手側のゴールがある氷域を「アタッキング・ゾーン」と呼びます。選手はスケートの刃を付けた専用の「スレッジ（そり）」に乗り、左右の手にスティックを1本ずつ持って（ゴールキーパー以外）プレーします。氷上にはGK（ゴールキーパー）1人、DF（ディフェンス）2人、FW（フォワード）3人が並び、計6人で戦います。ベンチに入れるのは、15名。GK以外の選手は、何度も交代しながらプレーします。通常のアイスホッケーの試合は1試合20分3ピリオド制ですが、パラアイスホッケーでは1試合15分3ピリオド制で試合が行われます。3ピリオドが終了して同点の場合は、延長戦を戦って先に得点したチームが勝者となります。延長戦でも決着がつかない場合はシュートアウト（ペナルティショット）を行って勝敗を決めます。試合で特に盛り上がるのは、反則があったときに選手が一時退場してからの攻防です。相手より多い人数で戦うことを「パワープレー」、少ない人数で戦う場合は「キルプレー」と呼びます。パワープレー側のチームの得点のチャンスですが、キルプレー側のチームは必死に守ろうとするので、より激しいプレーが展開されるのです。ルール上でボディチェック（体当たり）をすることが認められているので、激しさも観戦者にとっては見どころのひとつです。なお、パラアイスホッケーの国際大会に出場できるのは、切断や脊髄損傷、麻痺、機能障害など下肢に障害があり、かつ大会の主催団体に認定された選手です。一方、日本国内で開催される大会は、性別や年齢、障がいの有無に関係なく、誰でも参加することが可能です。,http://tokyo-shospo-navi.info/sportsinfo/para_ice_hockey
パワーリフティング,下肢の障害のある選手が行うパワーリフティングで「ベンチプレス」種目だけが行われます。規則は、一般のパワーリフティングと同じですが、選手は下肢に障害があるために、からだを支えることが難しいため、ベンチプレス台の上で足を固定してバーベルを挙上します。また、障害によっては補助具の使用が認められることもあります。競技は男女別、体重別に各10階級で行われます。各階級の中で最も重い世界記録は、男子100kg以上級の290kgです。,http://tokyo-shospo-navi.info/sportsinfo/powerlifting
ブラインドサッカー,視覚障がい者が行う5人制サッカーです。また、視覚障がい者と健常者が同じフィールドでプレーすることのできるユニバーサルスポーツでもあります。4人のフィールドプレーヤーは視力の差を公平にするためにアイマスクを着用します。ゴールキーパーおよびガイド役のコーチ、コーラーは晴眼者や弱視者が務めます。ピッチはフットサルとほぼ同じですが、両サイドライン上に１ｍほどの高さのフェンスが設置され、音の鳴る特殊なボールを使ってプレーします。,http://tokyo-shospo-navi.info/sportsinfo/blindsoccer
ペガーボール,ペガーボールは、知的障害児の子供たちの運動量を高めるために、運動メニューを思考錯誤しながら創られたスポーツです。「追いかけて投げる」という分かりやすいルールは他の障害のある人ももちろん、子どもから高齢者まで幅広い層に受け入れられました。今では「障害のある人もない人も一緒に楽しめるニュースポーツ」として広がりをみせています。,http://tokyo-shospo-navi.info/sportsinfo/pegarball
ボッチャ,重度の障害がある、車いす使用の脳性まひ選手のために開発された競技です。専用のボール（皮製もしくは、合皮製・白、赤、青）を使用します。コート内に投げ込まれた白いターゲットボールに、より近くに投げ入れることを競い合う室内競技です。種目は、個人戦と2人1組で行う団体戦があり、選手は障害の程度によってグループ分けされ、そのグループごとに勝敗を決めます。ボールの持てない選手や投げ入れられない選手は、「ランプ」という投球補助具を使ってプレーをします。その際には、ランプを支えたりボールをランプにセットをする「ディレクター」というアシスタントの同伴が認められており、アシスタントは選手の指示に従ってランプを左右に振ったり高低をつけたりしますが、選手に助言をしたりプレー中にコート内を見たりすることは禁止されています。,http://tokyo-shospo-navi.info/sportsinfo/boccia
