調査項目,回答,全体(人),利用していない(人),居宅介護（ホームヘルプ）(人),重度訪問介護(人),同行援護(人),行動援護(人),重度障害者等包括支援(人),短期入所（ショートステイ）(人),療養介護(人),生活介護(人),施設入所支援(人),自立訓練(人),就労移行支援(人),就労継続支援（A型）(人),就労継続支援（B型）(人),就労定着支援(人),自立生活援助(人),共同生活援助（グループホーム）(人),計画相談支援(人),地域相談支援(人),移動支援(人),地域活動支援センター(人),福祉ホーム(人),児童発達支援(人),医療型児童発達支援(人),放課後等デイサービス(人),居宅訪問型児童発達支援(人),保育所等訪問支援(人),訪問看護(人),訪問リハビリテーション(人)
障害種別,内部障害,619,508,27,2,5,10,3,9,4,8,2,7,3,2,10,0,7,4,4,7,14,9,2,2,0,10,1,0,22,16
障害種別,知的障害,552,239,30,7,18,27,5,51,1,20,9,12,8,8,41,6,9,17,22,14,31,15,3,37,5,126,3,2,20,10
障害種別,精神障害,824,589,40,2,9,9,1,20,6,9,6,10,26,10,35,12,21,8,16,9,9,29,1,9,2,29,0,1,52,13
車椅子の必要性,必要とする,396,104,104,19,24,26,13,61,18,41,25,20,5,1,6,1,10,10,10,14,22,17,15,7,2,44,4,2,76,83
車椅子の必要性,必要としない,637,454,39,1,4,11,3,25,6,21,3,17,1,2,7,0,3,1,4,11,12,13,2,4,2,26,1,0,33,54
障害者手帳の有無,持っている,2103,1237,175,27,60,66,23,113,27,69,35,49,40,18,88,17,35,30,45,36,65,60,23,39,8,162,6,4,139,110
障害者手帳の有無,持っていない,1123,880,47,2,10,15,6,28,7,16,8,16,2,5,1,2,10,3,6,21,11,21,2,16,3,46,2,1,40,55
障害種別,身体障害者手帳　1級,461,293,52,18,15,14,8,30,4,24,12,9,4,0,8,0,6,4,7,6,25,10,5,3,0,25,0,1,42,42
障害種別,身体障害者手帳　2級,248,136,34,0,4,7,1,13,3,13,7,10,1,0,5,1,2,2,2,4,7,5,5,4,1,21,2,1,23,28
障害種別,身体障害者手帳　3級,225,141,22,2,9,6,2,12,2,6,3,4,3,3,7,0,0,1,2,4,0,6,5,0,0,7,0,0,14,14
障害種別,身体障害者手帳　4級,224,144,20,1,12,9,4,17,10,9,3,7,2,0,6,1,4,7,1,4,4,4,6,0,1,4,0,0,8,11
障害種別,身体障害者手帳　5級,92,66,9,1,3,5,1,7,3,4,1,1,1,1,0,0,3,0,1,0,1,0,1,0,0,3,0,0,3,2
障害種別,身体障害者手帳　6級,85,59,4,0,0,2,2,4,2,2,0,3,0,2,1,0,0,0,0,0,0,3,0,1,1,3,0,0,4,6
障害種別,療育手帳（愛の手帳）1度（最重度）,24,8,6,2,0,1,1,5,0,3,0,0,0,0,1,0,1,1,0,0,3,1,0,0,0,4,0,0,1,1
障害種別,療育手帳（愛の手帳）2度（重度）,96,12,2,2,5,15,2,19,1,10,5,4,0,1,11,0,1,5,6,1,13,5,0,7,0,43,2,0,4,3
障害種別,療育手帳（愛の手帳）3度（中度）,79,21,6,0,3,7,0,8,2,2,1,2,2,0,13,1,2,5,7,3,10,3,1,10,0,24,1,0,0,0
障害種別,療育手帳（愛の手帳）4度（軽度）,170,88,5,1,4,6,3,4,3,5,1,5,5,6,9,5,3,4,9,9,4,6,1,14,3,31,0,2,3,2
障害種別,精神障害者保健福祉手帳　1級,23,6,3,0,2,1,1,5,0,1,1,0,2,0,2,0,0,1,0,1,0,2,0,0,0,1,0,0,3,2
障害種別,精神障害者保健福祉手帳　2級,216,118,21,1,5,3,1,2,3,2,2,5,7,4,21,4,8,5,8,3,3,14,2,0,1,4,0,0,32,5
障害種別,精神障害者保健福祉手帳　3級,242,171,11,1,2,0,0,1,1,1,1,3,15,3,10,7,9,0,4,3,1,5,0,2,1,3,1,0,12,3
障害種別,障害者手帳は持っていない,1123,880,47,2,10,15,6,28,7,16,8,16,2,5,1,2,10,3,6,21,11,21,2,16,3,46,2,1,40,55
受傷の時期,生まれたとき,852,492,57,17,26,41,18,50,13,17,16,17,13,11,40,6,15,12,28,21,28,21,8,27,5,85,5,3,18,17
受傷の時期,生まれた後,2374,1625,165,12,44,40,11,91,21,68,27,48,29,12,49,13,30,21,23,36,48,60,17,28,6,123,3,2,161,148
障害の程度別,重度,810,442,86,20,24,33,12,62,6,41,25,21,7,1,24,1,10,11,15,12,43,22,10,12,1,85,4,2,66,71
障害の程度別,軽度,1293,795,89,7,36,33,11,51,21,28,10,28,33,17,64,16,25,19,30,24,22,38,13,27,7,77,2,2,73,39
障害の程度別,障害者手帳は持っていない,1123,880,47,2,10,15,6,28,7,16,8,16,2,5,1,2,10,3,6,21,11,21,2,16,3,46,2,1,40,55
障害が発生した年齢２,出生時,852,492,57,17,26,41,18,50,13,17,16,17,13,11,40,6,15,12,28,21,28,21,8,27,5,85,5,3,18,17
障害が発生した年齢２,１０歳未満,340,188,12,3,8,9,2,18,1,13,2,4,4,5,12,1,2,6,8,10,17,6,4,28,6,70,2,2,12,14
障害が発生した年齢２,１０歳～１９歳,226,173,8,2,3,3,1,1,0,1,0,5,4,2,7,5,5,4,3,2,3,11,1,0,0,1,0,0,10,3
障害が発生した年齢２,２０歳以上,1808,1264,145,7,33,28,8,72,20,54,25,39,21,5,30,7,23,11,12,24,28,43,12,0,0,52,1,0,139,131
障害が発生した年齢２,中途障害,2374,1625,165,12,44,40,11,91,21,68,27,48,29,12,49,13,30,21,23,36,48,60,17,28,6,123,3,2,161,148
学校の種別,小学校の普通学校（通常学級のみに在籍）,89,78,2,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,2,1,1,0,2,1,1,0,0,1,1
学校の種別,小学校の普通学校（通級による指導あり）,38,17,0,0,1,0,0,1,0,0,1,0,0,2,0,0,0,0,1,0,0,0,2,6,1,17,2,2,1,0
学校の種別,小学校の普通学校（特別支援学級）,86,26,4,2,7,4,1,5,1,1,1,3,1,0,0,0,2,0,3,2,2,1,1,19,2,34,0,3,2,3
学校の種別,小学校の特別支援学校（養護学校・盲学校・ろう学校）,48,11,2,1,3,2,2,4,1,0,0,0,0,0,0,0,0,0,2,1,3,3,0,6,0,29,2,0,3,3
学校の種別,中学校の普通学校（通常学級のみに在籍）,44,32,1,0,2,0,2,0,3,0,0,0,1,0,0,0,1,0,0,3,0,3,0,1,0,2,0,0,0,0
学校の種別,中学校の普通学校（通級による指導あり）,16,9,2,0,1,0,1,1,0,2,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0
学校の種別,中学校の普通学校（特別支援学級）,39,19,3,1,2,1,1,4,1,1,1,0,0,1,0,0,1,2,2,1,4,2,0,3,2,12,1,0,4,1
学校の種別,中学校の特別支援学校（養護学校・盲学校・ろう学校）,40,9,2,0,1,4,1,7,0,0,0,1,0,0,0,0,0,0,2,1,5,0,0,5,0,24,0,0,1,0
学校の種別,高等学校の普通学校（通常学級のみに在籍）,50,40,2,0,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,2,1,2,0,3,0,2,0,0,1,0
学校の種別,高等学校の普通学校（通級による指導あり）,12,9,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
学校の種別,高等学校の特別支援学校（養護学校・盲学校・ろう学校）,42,13,4,0,0,5,0,10,0,1,1,0,1,0,1,0,1,1,5,2,2,2,0,1,0,21,1,0,0,0
学校の種別,大学・短期大学,37,29,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,2,0
学校の種別,特別支援学校高等部専攻科、高等学校専攻科,14,8,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
学校の種別,職業能力開発校、障害者職業能力開発校等,7,3,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0
学校の種別,なし,136,86,2,0,1,4,0,8,0,2,1,1,9,1,15,4,3,1,7,4,7,1,1,1,0,3,0,0,2,5
仕事の有無,仕事をしている,1227,987,57,10,19,18,10,16,11,10,4,18,16,12,9,15,17,4,10,22,22,24,13,6,3,10,1,1,26,29
仕事の有無,仕事をしていない,1821,1098,154,18,45,48,16,112,22,64,38,42,13,1,3,0,24,17,26,30,41,44,9,45,8,195,6,4,144,130
仕事の有無,福祉的就労をしている（就労移行支援、就労継続支援Ａ型・Ｂ型、就労定着支援）,178,32,11,1,6,15,3,13,1,11,1,5,13,10,77,4,4,12,15,5,13,13,3,4,0,3,1,0,9,6
平日・日中の居場所,自分の家,1843,1271,151,19,38,35,12,68,20,44,6,41,19,4,29,4,29,10,22,35,35,45,11,10,2,72,1,1,144,124
平日・日中の居場所,職場（一般企業など）,677,575,24,4,10,4,5,6,3,3,3,5,6,8,3,10,5,2,5,7,8,12,3,2,2,2,0,0,6,10
平日・日中の居場所,職場（福祉的就労（就労移行支援、就労継続支援Ａ型・Ｂ型、就労定着支援）の施設）,102,17,4,1,5,6,2,7,1,6,0,1,8,9,53,4,1,6,7,3,10,9,1,2,0,1,0,0,3,0
平日・日中の居場所,学校,362,187,13,1,7,14,2,22,1,3,2,3,0,1,0,0,2,1,11,8,12,7,2,38,7,120,6,4,9,6
平日・日中の居場所,通所施設（生活介護、デイケアなど）,135,25,25,4,5,17,7,33,2,19,7,8,6,0,3,0,6,7,6,4,9,6,2,3,0,11,0,0,13,19
平日・日中の居場所,入所施設,69,19,3,0,5,5,1,1,5,10,23,5,2,0,0,0,2,6,0,0,2,1,6,0,0,1,1,0,2,3
平日・日中の居場所,その他,38,23,2,0,0,0,0,4,2,0,2,2,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,2,3
放課後の居場所,自分の家,345,217,14,4,11,7,2,15,6,4,2,3,4,1,0,0,4,4,9,12,8,10,2,26,4,74,3,2,10,6
放課後の居場所,習いごと（塾や英会話等の学習系）,75,44,5,1,3,2,1,2,4,2,1,1,2,2,0,0,2,1,2,5,2,4,1,6,3,16,2,1,2,0
放課後の居場所,習いごと（スイミングやサッカー等のスポーツ系）,59,28,4,0,4,6,2,3,4,3,0,0,1,2,0,0,1,1,4,4,5,4,2,7,2,15,2,1,1,0
放課後の居場所,習いごと（音楽や習字等の芸術系）,41,18,3,0,2,3,4,4,3,2,1,1,2,2,0,0,3,1,1,4,3,3,1,5,2,10,2,1,1,0
放課後の居場所,児童通所サービス（放課後等デイサービス　等）,156,11,7,0,8,12,0,22,2,2,1,2,1,0,1,0,2,2,10,4,11,5,2,27,1,124,4,2,6,4
放課後の居場所,学童保育,34,12,2,0,1,2,2,2,3,1,0,1,1,1,0,0,0,1,1,2,3,1,2,8,1,12,2,2,1,0
放課後の居場所,広場や公園,35,18,3,0,1,2,0,1,2,2,0,0,1,0,0,0,2,1,2,3,3,3,2,10,2,14,4,1,1,0
放課後の居場所,学校（校庭や体育館）,35,21,2,0,2,2,0,1,2,3,0,1,1,0,1,0,1,1,1,3,2,2,1,5,1,8,2,0,1,0
放課後の居場所,児童館や図書館などの公共施設,16,8,3,0,1,2,0,1,2,2,0,0,1,0,0,0,2,1,3,3,3,4,0,5,1,4,2,1,1,0
放課後の居場所,その他,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
過去1年間の実施種目,ウォーキング、散歩（散策、ペットの散歩など）,1595,1121,92,7,32,41,7,51,13,34,10,30,33,13,50,10,25,14,26,33,37,49,9,26,5,85,3,1,54,61
過去1年間の実施種目,体操（ラジオ体操、職場体操、ストレッチ、エアロビクス、ヨガ、ピラティス、縄跳びなど）,531,323,46,4,18,24,4,20,8,19,5,19,17,6,16,4,13,3,17,14,14,21,10,21,2,52,3,2,28,27
過去1年間の実施種目,室内運動器具（ウエイト器具、ランニングマシーン、バランスボールなど）を用いる運動,285,168,20,5,12,11,8,13,5,7,3,11,1,4,7,2,4,1,5,7,9,13,6,10,3,28,1,1,11,10
過去1年間の実施種目,陸上競技（ランニング、ジョギングなどの軽い運動も含めます）,170,106,14,0,9,10,5,6,4,4,0,4,10,2,4,4,4,2,5,8,5,6,3,11,4,23,1,0,2,1
過去1年間の実施種目,水泳・遊泳（水中歩行・水中運動）,293,158,8,2,11,20,6,16,3,5,4,4,4,4,14,3,2,4,8,5,10,11,2,21,5,54,3,2,8,5
過去1年間の実施種目,ブラインドサッカー,24,9,0,2,2,2,2,2,2,0,0,1,0,0,0,0,0,0,1,0,0,1,2,2,0,6,0,1,0,0
過去1年間の実施種目,車いすテニス,15,6,3,0,3,3,1,5,2,1,0,1,3,0,1,0,2,2,2,4,3,3,0,1,1,1,1,0,0,1
過去1年間の実施種目,サウンドテーブルテニス,26,4,5,1,2,2,5,4,2,1,2,2,1,3,1,1,1,0,1,2,1,3,6,3,1,6,2,0,0,0
過去1年間の実施種目,パラバレーボール,26,5,4,0,3,3,1,6,0,2,0,2,1,0,1,0,1,1,1,0,0,1,2,5,0,8,3,1,0,1
過去1年間の実施種目,車いすバスケットボール,19,5,3,1,2,3,1,2,1,1,1,4,1,2,0,0,0,1,0,1,0,2,2,0,2,2,1,0,1,2
過去1年間の実施種目,車いすラグビー,13,1,2,0,1,1,2,4,0,1,1,1,0,1,0,0,1,0,1,0,0,0,2,2,1,4,1,0,0,0
過去1年間の実施種目,ボッチャ,50,9,8,1,5,4,2,6,1,2,1,1,4,0,3,0,0,0,5,2,5,2,2,7,2,20,1,1,2,2
過去1年間の実施種目,球技（キャッチボールなどのボールを使った軽い運動も含めます）,124,70,1,1,3,3,2,5,1,1,1,1,3,3,3,3,4,0,5,4,2,3,0,9,2,25,2,2,4,4
過去1年間の実施種目,ダンス（フォークダンス、ジャズダンス、社交ダンス、フラダンス、バレエ、民謡踊りなど）,94,51,2,0,3,3,3,6,2,1,1,2,2,1,4,1,1,2,4,1,1,2,0,6,3,20,1,0,3,3
過去1年間の実施種目,格闘技（ボクシング、レスリング、相撲（すもう）など）,19,11,2,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,2,2,0,4,1,2,0,0
過去1年間の実施種目,武道（柔道、剣道、空手、合気道など）,24,13,1,0,1,0,0,2,1,0,2,0,1,0,0,0,1,0,2,2,1,1,1,4,1,6,0,2,0,1
過去1年間の実施種目,射的（弓道、アーチェリー、ダーツ、スポーツ吹矢など）,15,5,1,0,2,0,0,3,1,1,2,1,1,0,2,1,0,2,1,1,1,0,1,0,1,4,1,1,1,0
過去1年間の実施種目,ウィンタースポーツ（スキー、スノーボード、スケートなど）,47,36,3,0,3,0,0,1,1,1,0,1,0,0,2,0,0,0,1,1,1,1,2,1,1,5,0,0,2,1
過去1年間の実施種目,ウォータースポーツ（ボート、ヨット、スキンダイビング、スクーバダイビング、カヌー、水上バイク、サーフィン、ウィンドサーフィン、ボディボード、ボードセーリングなど）,38,19,2,1,2,3,0,5,2,2,0,0,2,1,2,0,3,1,3,5,3,4,2,2,0,5,2,1,2,3
過去1年間の実施種目,スカイスポーツ（ハンググライダー、パラグライダー、スカイダイビングなど）,13,4,4,1,1,2,0,3,2,2,1,2,2,0,1,0,1,1,0,3,1,2,5,1,1,3,0,0,0,0
過去1年間の実施種目,アウトドアスポーツ（ハイキング、ワンダーフォーゲル、釣り、登山、キャンプなど）,105,72,5,0,1,1,0,2,0,0,0,2,2,2,4,0,0,0,3,3,3,4,2,4,2,16,0,2,1,2
過去1年間の実施種目,サイクリング、モーター（サイクル）スポーツ,114,79,8,2,3,4,2,3,1,2,1,1,3,2,3,2,3,0,5,4,4,4,2,3,2,9,1,1,6,4
過去1年間の実施種目,運動あそび（鬼ごっこ、かくれんぼ、鉄棒、ぶらんこなど）,134,59,2,0,4,5,0,10,1,2,0,2,2,0,1,1,2,0,7,4,2,3,1,20,1,57,2,1,3,5
過去1年間の実施種目,ゲーム機を使い体を動かして行うスポーツ・フィットネス等,79,51,4,0,2,2,0,6,1,5,0,1,2,1,5,0,2,1,4,1,1,3,2,5,1,8,0,1,3,2
過去1年間の実施種目,その他,53,33,1,2,1,1,0,1,1,0,1,2,1,1,3,1,0,2,4,3,4,2,0,0,0,6,0,0,3,0
過去1年間の実施種目,この1年間に運動・スポーツは行わなかった,1135,737,88,15,21,16,5,69,13,38,24,18,5,2,26,5,10,14,10,16,22,21,8,7,1,65,0,1,105,89
実施頻度（1年間）,週3日以上（年151日以上）,604,450,28,5,11,9,5,10,3,9,3,6,15,5,13,4,8,5,13,10,14,11,3,12,2,32,2,2,16,22
実施頻度（1年間）,週2日程度（年101日～150日）,429,246,40,3,16,15,3,18,5,13,5,15,8,3,9,3,9,3,9,11,10,20,8,16,2,45,2,2,22,20
実施頻度（1年間）,週1日程度（年51日～100日）,506,308,39,4,14,25,10,17,10,10,5,15,7,9,19,3,13,3,7,14,16,17,4,11,4,30,2,0,20,16
実施頻度（1年間）,月に1～3日程度（年12日～50日）,280,182,16,2,6,8,6,19,1,10,3,6,3,1,17,1,3,2,4,3,6,7,2,3,1,20,1,0,10,11
実施頻度（1年間）,3か月に1～2日程度（年4日～11日）,75,46,6,0,1,3,0,1,1,1,2,2,1,1,0,3,0,4,3,1,3,0,0,3,0,5,0,0,3,2
実施頻度（1年間）,年に1～3日程度,52,35,3,0,1,3,0,3,1,2,1,0,1,0,3,0,2,1,1,1,3,4,0,2,0,3,1,0,2,1
実施頻度（1年間）,わからない,145,113,2,0,0,2,0,4,0,2,0,3,2,2,2,0,0,1,4,1,2,1,0,1,1,8,0,0,1,4
実施した場所,自宅,829,566,62,8,14,21,6,24,9,25,4,20,19,4,19,4,19,6,18,19,17,26,9,17,4,47,2,1,38,51
実施した場所,道路や遊歩道,1083,792,59,4,18,19,6,31,9,18,7,22,24,9,37,9,16,11,16,23,22,31,9,13,5,44,1,1,38,36
実施した場所,広場や公園,633,433,36,6,15,15,3,19,8,14,5,7,11,6,15,8,15,2,10,14,18,21,5,21,5,45,4,1,18,16
実施した場所,民間のスポーツ施設,314,197,20,5,15,19,4,11,3,7,2,7,6,3,9,3,6,3,10,8,6,13,7,14,6,25,2,2,6,6
実施した場所,公共のスポーツ施設（障害者専用施設）,130,34,21,2,16,20,7,17,9,12,2,6,7,5,7,2,6,2,8,10,9,9,5,7,3,22,4,1,3,5
実施した場所,公共のスポーツ施設（障害者専用施設以外）,241,141,16,0,7,9,6,12,5,4,2,6,6,6,7,4,4,2,8,9,10,7,5,15,3,28,3,1,10,6
実施した場所,小中高校の体育施設,128,75,4,1,5,6,3,5,3,3,0,3,2,3,2,1,1,1,3,3,3,3,0,13,4,30,1,2,1,2
実施した場所,特別支援学校の体育施設,85,18,10,2,7,7,4,16,4,3,4,3,2,3,2,1,2,1,7,4,5,2,3,11,2,35,4,1,2,2
実施した場所,職場のスポーツ施設,35,13,7,0,1,1,1,5,1,2,1,2,1,1,2,0,1,1,4,2,2,2,3,3,0,6,1,1,0,1
実施した場所,福祉施設,64,6,14,0,7,9,2,11,5,14,7,8,3,1,7,1,6,4,6,8,7,13,6,5,3,5,2,0,8,9
実施した場所,児童通所サービス（放課後等デイサービス等）,87,6,7,0,2,9,0,11,1,1,1,4,1,0,2,0,1,2,9,4,5,3,2,21,1,65,1,2,4,3
実施した場所,医療機関（病院やリハビリ施設）,68,25,11,0,1,1,1,9,2,6,2,7,0,0,0,0,3,2,4,4,5,8,2,2,1,8,1,0,9,12
実施した場所,山・川・海・空,171,124,7,0,4,4,0,1,1,2,1,2,1,2,4,1,3,0,6,5,7,5,0,14,2,23,2,1,7,2
実施した場所,その他,44,27,3,0,0,1,0,2,1,1,1,1,1,0,1,0,0,0,0,0,2,1,0,0,0,7,0,0,4,2
実施した場所,わからない,47,35,2,0,0,1,0,2,0,1,1,1,0,0,0,0,0,2,2,0,0,0,0,0,0,1,1,0,1,2
一緒に実施する人,一人,1133,894,55,4,12,12,3,10,5,14,1,20,24,9,36,8,16,4,17,20,21,26,3,7,5,17,1,0,39,43
一緒に実施する人,家族,762,476,52,5,19,24,4,33,12,19,8,14,12,6,23,6,12,10,19,17,28,28,4,26,5,78,3,1,23,25
一緒に実施する人,福祉施設の職員・仲間,174,31,33,5,16,19,4,23,7,20,11,18,5,3,8,2,12,7,11,15,11,20,13,8,1,22,4,0,19,28
一緒に実施する人,障害がある人のサークル・障害者スポーツサークル等の仲間,91,22,17,2,12,9,4,12,4,5,2,5,5,5,6,2,2,2,10,10,9,9,7,5,2,13,3,0,0,3
一緒に実施する人,障害がある人やない人など様々な人がいるサークルの仲間,107,39,13,3,9,9,8,14,6,7,5,3,6,5,4,2,4,2,8,11,8,6,4,7,3,10,0,2,1,2
一緒に実施する人,スポーツ教室の指導者・仲間,151,80,11,1,7,10,4,11,2,4,2,10,4,4,5,2,1,1,5,5,4,3,4,10,1,21,4,3,2,2
一緒に実施する人,障害者専用スポーツ施設の職員・仲間,61,7,11,1,7,13,4,10,6,5,3,4,4,4,4,1,3,2,5,6,7,6,3,4,1,12,4,1,0,2
一緒に実施する人,地域の公共スポーツ施設の職員・仲間,48,15,6,0,2,4,1,3,1,1,2,2,3,3,1,2,5,0,5,4,4,2,1,4,1,10,3,1,2,3
一緒に実施する人,ボランティアの人たち,54,11,11,2,10,10,1,10,3,2,2,5,3,1,7,2,2,3,5,7,10,5,6,5,1,6,2,0,0,5
一緒に実施する人,学校の先生や学校の友達,150,69,8,1,3,4,0,9,1,2,2,2,3,1,0,0,3,0,5,4,4,4,2,24,2,56,2,1,2,4
一緒に実施する人,児童通所サービス（放課後等デイサービス等）の職員・仲間,86,6,5,0,2,8,2,10,2,1,0,5,1,1,1,0,0,2,8,2,5,2,4,21,1,65,1,1,6,3
一緒に実施する人,その他の友人・知人,137,106,8,2,3,5,1,1,2,3,1,0,0,0,2,2,4,1,5,2,3,2,0,4,1,5,0,1,9,4
一緒に実施する人,その他,35,15,5,0,1,0,0,2,0,1,0,1,1,0,0,0,1,0,2,1,4,2,0,0,0,6,0,0,11,4
一緒に実施する人,わからない,40,29,4,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1
実施した理由,健康・体力づくりのため,1503,1036,84,8,30,36,5,39,11,27,9,33,33,15,49,10,22,13,30,32,37,49,10,33,6,99,4,3,54,58
実施した理由,楽しみや気晴らしのため,890,594,58,9,24,31,6,34,8,19,11,16,12,13,30,8,15,11,26,18,20,30,10,23,6,76,2,2,28,24
実施した理由,運動不足解消のため,1109,759,62,7,28,33,6,33,11,25,8,21,23,9,33,7,21,9,27,29,35,31,5,30,3,80,5,2,43,36
実施した理由,精神の修養や訓練のため（心をきたえるため）,240,133,21,5,12,13,8,13,9,8,0,10,9,2,8,5,11,4,9,7,7,7,0,10,5,18,1,1,9,9
実施した理由,自己の記録や能力を向上させるため,182,86,25,4,13,13,6,13,4,7,5,8,6,6,4,1,6,3,4,9,7,8,8,16,1,22,4,2,7,5
実施した理由,リハビリテーションや医療・治療のため,340,159,45,3,10,11,4,23,8,23,6,16,12,3,6,3,9,6,12,14,15,21,6,10,5,34,5,1,34,53
実施した理由,家族のふれあいのため,154,91,8,0,6,7,0,5,3,8,2,4,5,1,2,1,6,2,6,4,6,6,1,15,2,27,2,0,3,3
実施した理由,友人・仲間との交流のため,254,140,13,1,10,11,4,12,6,6,3,7,5,2,9,3,9,1,12,13,9,12,5,19,4,44,4,1,7,6
実施した理由,美容や肥満解消（ダイエット）のため,217,154,8,2,6,7,3,3,2,2,2,1,6,1,12,4,5,3,8,6,3,8,3,7,0,9,1,1,9,3
実施した理由,障害者スポーツ大会に参加するため,17,6,4,1,4,3,1,2,1,1,0,0,1,0,0,0,2,0,3,3,6,3,0,3,1,3,2,0,2,3
実施した理由,その他,36,30,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,3,0,0,1,0
実施した理由,わからない,61,49,2,0,0,1,0,2,0,0,1,2,0,0,0,0,0,1,2,0,0,0,0,0,0,2,1,0,0,2
実施したきっかけ,家族に奨められた,561,372,46,6,16,17,4,18,10,13,5,13,11,4,14,2,10,5,14,18,16,23,5,18,3,33,2,3,16,24
実施したきっかけ,（障害のある）友人・知人・同僚に奨められた,101,40,19,4,7,9,2,9,3,4,2,5,3,5,7,3,3,0,5,7,7,8,5,6,2,9,3,0,4,2
