調査項目,回答,全体(人),身体障害者手帳　1級(人),身体障害者手帳　2級(人),身体障害者手帳　3級(人),身体障害者手帳　4級(人),身体障害者手帳　5級(人),身体障害者手帳　6級(人),療育手帳（愛の手帳）1度（最重度）(人),療育手帳（愛の手帳）2度（重度）(人),療育手帳（愛の手帳）3度（中度）(人),療育手帳（愛の手帳）4度（軽度）(人),精神障害者保健福祉手帳　1級(人),精神障害者保健福祉手帳　2級(人),精神障害者保健福祉手帳　3級(人),持っていない(人)
車椅子の必要性,必要とする,320,140,80,34,34,13,6,11,10,4,4,6,5,4,0
車椅子の必要性,必要としない,404,46,78,84,83,50,46,0,3,6,9,1,9,7,0
障害者手帳の有無,持っている,2103,461,248,225,224,92,85,24,96,79,170,23,216,242,0
障害者手帳の有無,持っていない,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
受傷の時期,生まれたとき,551,94,66,54,37,20,30,18,69,52,75,9,32,36,0
受傷の時期,生まれた後,1552,367,182,171,187,72,55,6,27,27,95,14,184,206,0
学校の種別,小学校の普通学校（通常学級のみに在籍）,24,2,2,3,1,0,3,0,0,0,9,0,1,3,0
学校の種別,小学校の普通学校（通級による指導あり）,16,1,9,2,1,0,0,0,0,1,1,0,0,1,0
学校の種別,小学校の普通学校（特別支援学級）,60,4,6,1,2,1,2,0,3,10,27,1,1,2,0
学校の種別,小学校の特別支援学校（養護学校・盲学校・ろう学校）,48,5,5,6,3,0,0,2,17,10,5,0,0,0,0
学校の種別,中学校の普通学校（通常学級のみに在籍）,10,1,0,0,3,1,1,0,0,0,3,1,1,1,0
学校の種別,中学校の普通学校（通級による指導あり）,7,0,0,0,1,1,1,0,0,0,1,0,1,3,0
学校の種別,中学校の普通学校（特別支援学級）,33,3,2,2,1,1,1,0,1,3,17,0,3,1,0
学校の種別,中学校の特別支援学校（養護学校・盲学校・ろう学校）,36,7,1,1,0,1,1,4,11,10,4,0,0,0,0
学校の種別,高等学校の普通学校（通常学級のみに在籍）,15,2,0,0,0,0,2,0,0,1,4,0,3,4,0
学校の種別,高等学校の普通学校（通級による指導あり）,8,1,1,1,0,0,1,0,0,0,0,0,0,4,0
学校の種別,高等学校の特別支援学校（養護学校・盲学校・ろう学校）,41,3,3,1,0,0,1,2,16,8,8,0,3,1,0
学校の種別,大学・短期大学,21,3,3,1,2,0,5,0,0,0,0,0,2,5,0
学校の種別,特別支援学校高等部専攻科、高等学校専攻科,13,1,0,0,0,0,0,0,1,1,8,0,0,2,0
学校の種別,職業能力開発校、障害者職業能力開発校等,7,0,0,0,0,0,0,0,0,1,6,0,0,0,0
学校の種別,なし,92,15,8,3,3,3,0,2,7,9,25,2,10,12,0
仕事の有無,仕事をしている,760,156,97,91,95,37,40,3,6,12,50,5,62,131,0
仕事の有無,仕事をしていない,1182,288,141,124,121,52,43,17,73,45,102,13,122,90,0
仕事の有無,福祉的就労をしている（就労移行支援、就労継続支援Ａ型・Ｂ型、就労定着支援）,161,17,10,10,8,3,2,4,17,22,18,5,32,21,0
平日・日中の居場所,自分の家,1177,309,159,128,138,63,48,7,18,17,48,13,140,127,0
平日・日中の居場所,職場（一般企業など）,423,81,45,60,53,19,19,2,3,7,34,2,32,77,0
平日・日中の居場所,職場（福祉的就労（就労移行支援、就労継続支援Ａ型・Ｂ型、就労定着支援）の施設）,97,7,4,7,3,0,1,3,15,19,12,1,17,12,0
平日・日中の居場所,学校,222,17,20,7,8,0,12,6,40,31,67,0,9,15,0
平日・日中の居場所,通所施設（生活介護、デイケアなど）,101,20,10,21,11,6,3,5,13,1,8,3,10,5,0
平日・日中の居場所,入所施設,52,16,4,1,10,3,0,1,6,4,0,4,4,2,0
平日・日中の居場所,その他,31,11,6,1,1,1,2,0,1,0,1,0,4,4,0
放課後の居場所,自分の家,190,22,17,8,7,2,10,6,18,21,61,0,12,18,0
放課後の居場所,習いごと（塾や英会話等の学習系）,30,4,8,1,4,0,3,0,0,1,6,0,2,3,0
放課後の居場所,習いごと（スイミングやサッカー等のスポーツ系）,26,0,4,5,2,3,3,0,2,4,4,1,0,0,0
放課後の居場所,習いごと（音楽や習字等の芸術系）,25,3,7,1,5,0,3,1,0,1,3,1,0,2,0
放課後の居場所,児童通所サービス（放課後等デイサービス　等）,130,11,12,3,5,1,1,3,46,31,26,0,3,0,0
放課後の居場所,学童保育,22,1,8,2,0,1,0,0,1,2,9,0,0,0,0
放課後の居場所,広場や公園,22,1,8,1,0,0,1,0,2,3,6,0,0,0,0
放課後の居場所,学校（校庭や体育館）,15,1,1,0,1,0,0,0,1,2,6,0,1,2,0
放課後の居場所,児童館や図書館などの公共施設,5,0,0,0,1,0,0,0,0,2,2,0,0,0,0
放課後の居場所,その他,5,1,0,0,0,0,0,0,0,0,1,0,2,1,0
障害福祉サービスの利用状況,利用していない,1237,293,136,141,144,66,59,8,12,21,88,6,118,171,0
障害福祉サービスの利用状況,居宅介護（ホームヘルプ）,175,52,34,22,20,9,4,6,2,6,5,3,21,11,0
障害福祉サービスの利用状況,重度訪問介護,27,18,0,2,1,1,0,2,2,0,1,0,1,1,0
障害福祉サービスの利用状況,同行援護,60,15,4,9,12,3,0,0,5,3,4,2,5,2,0
障害福祉サービスの利用状況,行動援護,66,14,7,6,9,5,2,1,15,7,6,1,3,0,0
障害福祉サービスの利用状況,重度障害者等包括支援,23,8,1,2,4,1,2,1,2,0,3,1,1,0,0
障害福祉サービスの利用状況,短期入所（ショートステイ）,113,30,13,12,17,7,4,5,19,8,4,5,2,1,0
障害福祉サービスの利用状況,療養介護,27,4,3,2,10,3,2,0,1,2,3,0,3,1,0
障害福祉サービスの利用状況,生活介護,69,24,13,6,9,4,2,3,10,2,5,1,2,1,0
障害福祉サービスの利用状況,施設入所支援,35,12,7,3,3,1,0,0,5,1,1,1,2,1,0
障害福祉サービスの利用状況,自立訓練,49,9,10,4,7,1,3,0,4,2,5,0,5,3,0
障害福祉サービスの利用状況,就労移行支援,40,4,1,3,2,1,0,0,0,2,5,2,7,15,0
障害福祉サービスの利用状況,就労継続支援（A型）,18,0,0,3,0,1,2,0,1,0,6,0,4,3,0
障害福祉サービスの利用状況,就労継続支援（B型）,88,8,5,7,6,0,1,1,11,13,9,2,21,10,0
障害福祉サービスの利用状況,就労定着支援,17,0,1,0,1,0,0,0,0,1,5,0,4,7,0
障害福祉サービスの利用状況,自立生活援助,35,6,2,0,4,3,0,1,1,2,3,0,8,9,0
障害福祉サービスの利用状況,共同生活援助（グループホーム）,30,4,2,1,7,0,0,1,5,5,4,1,5,0,0
障害福祉サービスの利用状況,計画相談支援,45,7,2,2,1,1,0,0,6,7,9,0,8,4,0
障害福祉サービスの利用状況,地域相談支援,36,6,4,4,4,0,0,0,1,3,9,1,3,3,0
障害福祉サービスの利用状況,移動支援,65,25,7,0,4,1,0,3,13,10,4,0,3,1,0
障害福祉サービスの利用状況,地域活動支援センター,60,10,5,6,4,0,3,1,5,3,6,2,14,5,0
障害福祉サービスの利用状況,福祉ホーム,23,5,5,5,6,1,0,0,0,1,1,0,2,0,0
障害福祉サービスの利用状況,児童発達支援,39,3,4,0,0,0,1,0,7,10,14,0,0,2,0
障害福祉サービスの利用状況,医療型児童発達支援,8,0,1,0,1,0,1,0,0,0,3,0,1,1,0
障害福祉サービスの利用状況,放課後等デイサービス,162,25,21,7,4,3,3,4,43,24,31,1,4,3,0
障害福祉サービスの利用状況,居宅訪問型児童発達支援,6,0,2,0,0,0,0,0,2,1,0,0,0,1,0
障害福祉サービスの利用状況,保育所等訪問支援,4,1,1,0,0,0,0,0,0,0,2,0,0,0,0
障害福祉サービスの利用状況,訪問看護,139,42,23,14,8,3,4,1,4,0,3,3,32,12,0
障害福祉サービスの利用状況,訪問リハビリテーション,110,42,28,14,11,2,6,1,3,0,2,2,5,3,0
過去1年間の実施種目,ウォーキング、散歩（散策、ペットの散歩など）,1034,221,109,102,115,46,50,9,51,48,71,12,105,130,0
過去1年間の実施種目,体操（ラジオ体操、職場体操、ストレッチ、エアロビクス、ヨガ、ピラティス、縄跳びなど）,346,73,40,39,41,12,17,2,19,18,25,5,27,42,0
過去1年間の実施種目,室内運動器具（ウエイト器具、ランニングマシーン、バランスボールなど）を用いる運動,202,41,31,27,22,8,11,2,8,6,21,2,14,18,0
過去1年間の実施種目,陸上競技（ランニング、ジョギングなどの軽い運動も含めます）,106,16,11,9,11,5,5,1,3,10,23,0,5,12,0
過去1年間の実施種目,水泳・遊泳（水中歩行・水中運動）,194,26,19,10,16,8,13,5,23,17,27,2,16,19,0
過去1年間の実施種目,ブラインドサッカー,17,3,7,1,4,0,1,0,0,0,1,0,0,0,0
過去1年間の実施種目,車いすテニス,11,1,4,1,3,0,0,0,0,2,1,0,0,1,0
過去1年間の実施種目,サウンドテーブルテニス,18,2,6,1,3,1,3,0,1,1,2,0,0,1,0
過去1年間の実施種目,パラバレーボール,23,4,11,0,3,2,0,0,0,0,1,0,1,2,0
過去1年間の実施種目,車いすバスケットボール,14,4,6,1,1,0,0,2,0,0,0,0,0,1,0
過去1年間の実施種目,車いすラグビー,8,0,5,1,0,2,0,0,0,0,0,0,0,0,0
過去1年間の実施種目,ボッチャ,41,9,5,1,2,2,0,4,7,8,3,0,2,2,0
過去1年間の実施種目,球技（キャッチボールなどのボールを使った軽い運動も含めます）,75,12,6,6,5,1,3,2,5,10,16,0,3,7,0
過去1年間の実施種目,ダンス（フォークダンス、ジャズダンス、社交ダンス、フラダンス、バレエ、民謡踊りなど）,55,2,4,3,7,2,4,2,8,10,9,0,4,3,0
過去1年間の実施種目,格闘技（ボクシング、レスリング、相撲（すもう）など）,17,3,5,1,1,0,1,0,0,0,3,0,1,3,0
過去1年間の実施種目,武道（柔道、剣道、空手、合気道など）,13,1,4,1,1,0,0,0,0,0,6,0,0,2,0
過去1年間の実施種目,射的（弓道、アーチェリー、ダーツ、スポーツ吹矢など）,13,0,5,1,3,1,0,0,0,1,1,0,1,1,0
過去1年間の実施種目,ウィンタースポーツ（スキー、スノーボード、スケートなど）,32,7,5,3,5,0,5,0,0,2,2,0,4,0,0
過去1年間の実施種目,ウォータースポーツ（ボート、ヨット、スキンダイビング、スクーバダイビング、カヌー、水上バイク、サーフィン、ウィンドサーフィン、ボディボード、ボードセーリングなど）,28,6,6,3,1,1,2,0,1,2,1,0,4,3,0
過去1年間の実施種目,スカイスポーツ（ハンググライダー、パラグライダー、スカイダイビングなど）,10,3,3,1,1,0,0,0,0,1,0,0,0,1,0
過去1年間の実施種目,アウトドアスポーツ（ハイキング、ワンダーフォーゲル、釣り、登山、キャンプなど）,66,14,7,5,8,0,5,1,1,4,12,0,3,8,0
過去1年間の実施種目,サイクリング、モーター（サイクル）スポーツ,74,16,6,4,10,3,6,0,0,2,9,0,11,9,0
過去1年間の実施種目,運動あそび（鬼ごっこ、かくれんぼ、鉄棒、ぶらんこなど）,79,8,5,4,2,0,4,2,18,14,27,0,1,5,0
過去1年間の実施種目,ゲーム機を使い体を動かして行うスポーツ・フィットネス等,44,4,3,9,2,2,4,0,0,3,11,1,4,4,0
過去1年間の実施種目,その他,41,7,3,3,6,1,1,0,2,1,9,0,4,6,0
過去1年間の実施種目,この1年間に運動・スポーツは行わなかった,746,188,97,89,66,28,26,9,29,18,49,8,87,81,0
実施頻度（1年間）,週3日以上（年151日以上）,408,104,49,37,51,18,17,3,16,5,31,4,31,55,0
実施頻度（1年間）,週2日程度（年101日～150日）,282,43,41,28,28,17,11,1,13,21,32,3,26,26,0
実施頻度（1年間）,週1日程度（年51日～100日）,327,56,32,39,49,15,21,3,17,15,36,5,28,30,0
実施頻度（1年間）,月に1～3日程度（年12日～50日）,184,32,17,16,17,7,4,7,11,16,10,3,23,29,0
実施頻度（1年間）,3か月に1～2日程度（年4日～11日）,54,17,4,4,1,2,4,0,0,2,6,0,8,7,0
実施頻度（1年間）,年に1～3日程度,29,4,1,4,6,1,0,1,3,1,0,0,7,3,0
実施頻度（1年間）,わからない,73,17,7,8,6,4,2,0,7,1,6,0,6,11,0
実施した場所,自宅,516,125,61,52,61,20,27,6,12,18,37,4,51,69,0
実施した場所,道路や遊歩道,714,153,71,67,88,32,29,3,26,25,55,11,85,91,0
実施した場所,広場や公園,400,69,53,45,41,16,19,2,22,22,40,5,38,44,0
実施した場所,民間のスポーツ施設,205,29,29,24,22,9,17,1,10,15,25,1,10,20,0
実施した場所,公共のスポーツ施設（障害者専用施設）,99,19,17,13,17,3,4,3,11,7,9,2,5,2,0
実施した場所,公共のスポーツ施設（障害者専用施設以外）,159,23,19,10,16,10,6,2,8,14,20,0,19,20,0
実施した場所,小中高校の体育施設,68,13,6,2,7,1,3,0,6,8,19,0,3,3,0
実施した場所,特別支援学校の体育施設,76,6,15,1,5,2,1,4,17,15,11,0,0,5,0
実施した場所,職場のスポーツ施設,25,3,9,2,2,2,1,2,0,1,2,0,2,3,0
実施した場所,福祉施設,55,18,3,11,7,2,0,1,7,3,4,1,3,3,0
実施した場所,児童通所サービス（放課後等デイサービス等）,68,3,7,2,3,0,1,2,20,16,18,0,1,1,0
実施した場所,医療機関（病院やリハビリ施設）,51,18,7,5,9,1,3,0,0,3,0,0,5,3,0
実施した場所,山・川・海・空,110,23,6,8,9,3,7,1,4,10,17,1,13,11,0
実施した場所,その他,29,7,4,1,7,0,0,0,2,1,2,0,3,2,0
実施した場所,わからない,25,7,3,2,1,1,1,0,3,0,3,0,1,5,0
一緒に実施する人,一人,730,164,67,80,91,36,31,2,5,12,42,5,94,119,0
一緒に実施する人,家族,488,98,50,49,49,22,16,5,40,37,61,5,37,40,0
一緒に実施する人,福祉施設の職員・仲間,128,31,17,12,19,2,2,3,23,6,8,4,8,7,0
一緒に実施する人,障害がある人のサークル・障害者スポーツサークル等の仲間,74,7,11,12,10,1,2,1,4,12,9,2,2,4,0
一緒に実施する人,障害がある人やない人など様々な人がいるサークルの仲間,76,8,11,13,14,6,1,3,1,6,10,2,3,6,0
一緒に実施する人,スポーツ教室の指導者・仲間,100,10,19,10,13,9,6,0,7,6,17,0,2,6,0
一緒に実施する人,障害者専用スポーツ施設の職員・仲間,45,7,7,5,8,2,3,0,4,7,4,0,0,1,0
一緒に実施する人,地域の公共スポーツ施設の職員・仲間,34,5,8,1,4,2,2,3,1,3,4,1,1,3,0
一緒に実施する人,ボランティアの人たち,45,9,5,5,9,1,0,1,4,7,4,0,0,2,0
一緒に実施する人,学校の先生や学校の友達,100,9,7,3,7,0,4,4,17,19,28,0,2,6,0
一緒に実施する人,児童通所サービス（放課後等デイサービス等）の職員・仲間,66,3,5,1,6,1,1,2,18,17,19,0,0,0,0
一緒に実施する人,その他の友人・知人,92,20,11,9,12,3,9,0,1,1,8,0,13,12,0
一緒に実施する人,その他,27,7,2,4,3,0,0,0,0,0,1,1,6,4,0
一緒に実施する人,わからない,16,5,3,3,0,0,0,0,1,0,1,0,0,3,0
実施した理由,健康・体力づくりのため,990,203,98,91,118,45,42,9,51,45,94,9,94,130,0
実施した理由,楽しみや気晴らしのため,575,103,53,50,66,25,26,6,42,34,67,2,60,67,0
実施した理由,運動不足解消のため,732,155,70,69,90,27,27,6,42,38,57,8,73,95,0
実施した理由,精神の修養や訓練のため（心をきたえるため）,154,14,20,10,18,9,4,1,2,5,19,3,27,31,0
実施した理由,自己の記録や能力を向上させるため,115,14,13,16,15,6,6,1,3,4,15,4,12,15,0
実施した理由,リハビリテーションや医療・治療のため,235,51,44,27,40,20,9,3,6,5,4,2,23,14,0
実施した理由,家族のふれあいのため,94,16,9,10,7,2,4,0,12,10,14,2,10,5,0
実施した理由,友人・仲間との交流のため,172,25,20,11,29,4,8,2,13,15,31,2,10,14,0
実施した理由,美容や肥満解消（ダイエット）のため,161,22,17,17,17,6,1,1,1,4,15,3,34,30,0
実施した理由,障害者スポーツ大会に参加するため,15,3,4,0,2,0,0,0,0,3,2,0,0,1,0
実施した理由,その他,25,5,0,1,3,3,2,0,0,1,5,0,3,4,0
実施した理由,わからない,27,7,5,5,0,0,2,0,2,0,1,0,1,4,0
実施したきっかけ,家族に奨められた,320,80,37,34,33,14,12,3,9,19,38,4,25,22,0
実施したきっかけ,（障害のある）友人・知人・同僚に奨められた,78,13,12,9,12,3,3,1,3,9,6,0,5,7,0
実施したきっかけ,（障害のない）友人・知人・同僚に奨められた,76,13,10,12,11,5,8,1,1,3,7,0,5,8,0
実施したきっかけ,医師に奨められた,318,66,37,28,53,22,16,1,8,9,14,4,38,37,0
実施したきっかけ,看護師に奨められた,80,10,16,11,14,5,5,1,1,4,5,1,7,3,0
実施したきっかけ,作業療法士（OT）に奨められた,78,19,15,10,5,6,4,0,5,4,5,2,2,4,0
実施したきっかけ,理学療法士（PT）に奨められた,97,23,21,11,17,4,6,3,4,4,3,1,2,6,0
実施したきっかけ,言語聴覚士（ST）に奨められた,30,4,9,3,5,3,0,1,0,1,3,1,1,2,0
実施したきっかけ,視能訓練士（CO）に奨められた,17,3,6,1,3,1,1,0,0,0,2,0,0,2,0
実施したきっかけ,義肢装具士に奨められた,13,2,3,1,4,0,0,3,0,1,0,0,0,1,0
実施したきっかけ,介護福祉士に奨められた,30,7,7,2,6,2,2,0,3,2,3,0,0,1,0
実施したきっかけ,社会福祉士（ソーシャルワーカー）に奨められた,33,3,7,1,7,1,0,1,0,5,5,0,3,4,0
実施したきっかけ,スポーツ指導者に奨められた,15,1,3,2,3,1,0,0,1,2,2,0,0,1,0
実施したきっかけ,パラスポーツ指導員（旧障害者スポーツ指導員）に奨められた,17,0,8,1,0,1,0,1,1,4,1,0,0,2,0
実施したきっかけ,学校の先生に奨められた,43,7,5,0,2,0,2,3,7,7,11,0,1,1,0
実施したきっかけ,学校の授業等で興味を持ち、自主的に始めた,43,1,4,1,4,0,2,1,6,8,11,0,2,3,0
実施したきっかけ,所属する団体（会社等）に奨められた,13,0,4,1,0,1,0,1,3,2,2,0,0,1,0
実施したきっかけ,障害のある有名選手・パラアスリートの影響,13,2,2,2,2,2,0,1,0,1,1,1,1,1,0
実施したきっかけ,障害のない有名選手・アスリートの影響,10,1,2,2,3,1,0,0,0,0,1,0,1,0,0
実施したきっかけ,テレビや新聞の影響,41,10,4,4,7,2,2,0,0,3,3,1,4,4,0
実施したきっかけ,インターネットや動画配信を見て,45,2,2,3,8,2,1,0,0,3,3,1,13,9,0
実施したきっかけ,ＳＮＳの影響,24,2,1,1,3,1,2,0,1,2,3,1,5,5,0
実施したきっかけ,漫画、ドラマ、映画等の影響,11,2,3,0,2,0,2,0,0,0,2,0,1,2,0
実施したきっかけ,現地やテレビ等でそのスポーツを観た,10,2,1,0,3,1,0,0,0,2,0,0,0,1,0
実施したきっかけ,スポーツ団体等の関係者から誘われた,6,0,1,1,1,1,0,0,1,2,1,0,0,0,0
実施したきっかけ,スポーツイベントや体験会等で興味を持った,12,1,2,0,2,0,0,0,1,4,1,0,0,1,0
実施したきっかけ,スポーツ以外をテーマとするイベント（福祉祭り等の中の講演や体験会等）で興味を持った,4,0,2,0,0,0,0,0,1,0,1,0,0,0,0
実施したきっかけ,福祉施設で実施している運動プログラムに参加して,30,6,1,1,1,0,1,1,10,4,2,0,3,1,0
実施したきっかけ,行政の広報誌,9,0,1,1,2,1,0,0,1,1,0,0,1,2,0
実施したきっかけ,その他,66,17,5,5,10,3,2,0,3,1,7,1,4,11,0
実施したきっかけ,特にきっかけはない・なんとなく,442,93,40,42,46,20,11,1,28,17,36,4,47,67,0
スポーツ・運動への取組意向,スポーツや運動を行っており、満足している,530,109,63,53,72,23,25,8,18,23,63,5,32,55,0
スポーツ・運動への取組意向,スポーツや運動を行っているが、もっと行いたい,414,70,50,45,45,20,20,6,22,24,33,4,47,46,0
スポーツ・運動への取組意向,スポーツや運動を行いたいと思うができない,512,131,61,57,54,24,20,2,32,9,22,7,62,50,0
スポーツ・運動への取組意向,スポーツや運動に関心はない,647,151,74,70,53,25,20,8,24,23,52,7,75,91,0
実施していない理由,医師に止められており、身体的にできない,94,33,13,14,10,4,5,1,2,0,1,3,4,7,0
実施していない理由,どのくらい体を動かしたらよいかわからない,52,14,4,8,8,2,2,1,2,0,1,0,8,5,0
実施していない理由,身近なところにスポーツや運動ができる場所がない,48,15,5,4,4,1,0,0,7,1,3,1,3,6,0
実施していない理由,スポーツや運動ができる場所への移動手段がない,30,5,5,2,7,1,1,0,1,1,2,2,4,3,0
実施していない理由,自分に合ったスポーツや運動の情報がない,60,13,6,8,8,2,0,0,8,0,9,1,5,6,0
実施していない理由,一緒にできる仲間がいない,65,12,3,5,6,3,4,0,5,3,9,1,5,11,0
実施していない理由,介助者がいない,70,23,12,9,9,0,2,1,8,1,5,2,3,1,0
実施していない理由,金銭的な余裕がない,83,13,10,8,8,2,2,0,5,1,5,2,17,14,0
実施していない理由,時間がない,62,14,10,4,5,0,3,0,4,1,6,1,7,10,0
実施していない理由,必要な競技用具や補助具がない,34,9,5,4,8,1,0,0,2,2,1,1,2,2,0
実施していない理由,その他,60,21,12,6,7,1,4,2,1,0,0,1,5,4,0
実施していない理由,活動したいと思わない,411,83,52,54,32,16,14,5,6,13,34,1,61,52,0
活動したいと思わない理由,スポーツ・運動が嫌いだから,109,14,10,9,4,3,5,0,1,4,11,0,28,24,0
活動したいと思わない理由,スポーツ・運動に興味がないから,104,16,13,13,7,2,4,0,2,4,14,0,16,17,0
活動したいと思わない理由,スポーツ・運動を楽しんだ経験がないから,25,2,4,3,1,2,0,0,1,0,2,0,4,6,0
活動したいと思わない理由,疲れるから,104,23,13,12,6,4,2,0,2,3,4,0,18,19,0
活動したいと思わない理由,人前に出るのが好きではないから,40,10,6,3,0,1,0,0,0,1,2,0,11,7,0
活動したいと思わない理由,学校の体育や部活動等で苦手意識を持ったから,13,2,0,1,0,2,0,0,0,0,2,0,2,4,0
活動したいと思わない理由,一緒に運動・スポーツする人に迷惑をかけるのではないかと心配だから,15,2,1,2,1,0,2,1,0,0,2,0,1,3,0
活動したいと思わない理由,スポーツ以外に趣味があるから,46,8,9,5,2,4,0,0,0,2,2,0,5,10,0
活動したいと思わない理由,忙しいから,20,4,3,1,0,3,1,0,0,0,3,0,2,4,0
活動したいと思わない理由,その他,35,11,4,5,1,1,0,2,0,0,2,1,7,3,0
活動したいと思わない理由,わからない,112,20,16,17,16,4,4,2,3,5,11,0,8,8,0
学校体育の参加状況,参加していて、体育が好きである,177,22,17,10,7,1,6,5,33,30,45,2,4,7,0
学校体育の参加状況,参加しているが、体育は好きではない,82,2,6,4,3,2,5,2,8,8,28,0,9,11,0
学校体育の参加状況,参加していない,19,3,3,2,2,2,0,0,1,2,3,0,0,1,0
学校体育の参加状況,わからない,20,2,3,1,0,0,2,1,6,3,3,0,0,1,0
学校体育に参加しない理由,授業の内容のとおりに身体を動かすことができないから,4,2,0,0,0,1,0,0,0,1,0,0,0,0,0
学校体育に参加しない理由,自分にはできないと思ったから,6,0,2,1,0,1,0,0,1,0,1,0,0,0,0
学校体育に参加しない理由,他の生徒や先生に迷惑をかけると思ったから,4,0,1,1,1,0,0,0,0,0,0,0,0,1,0
学校体育に参加しない理由,参加するために必要なスポーツ用具がなかったから,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
学校体育に参加しない理由,医師から止められていたから,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
学校体育に参加しない理由,学校の先生から見学するように言われたから,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
学校体育に参加しない理由,身体を動かすことが怖いから,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0
学校体育に参加しない理由,その他,3,0,0,0,0,1,0,0,0,0,2,0,0,0,0
スポーツ・運動の参加方法,現地の会場で対面での参加,735,136,76,73,82,29,33,11,53,52,105,7,51,67,0
スポーツ・運動の参加方法,リモート参加,95,18,18,11,12,5,7,2,1,2,4,3,9,9,0
スポーツ・運動の参加方法,ハイブリッド（現地参加とリモート参加の両方から選択できる）,163,35,21,22,19,9,8,2,8,3,8,2,17,17,0
スポーツ・運動の参加方法,参加したいと思わない,1110,272,133,119,111,49,37,9,34,22,53,11,139,149,0
参加したいスポーツ活動,ルールが簡単,597,96,48,54,57,20,18,7,50,46,96,6,58,67,0
参加したいスポーツ活動,自分のペースに合わせてできる,1015,221,98,96,118,36,40,10,56,45,101,13,107,120,0
参加したいスポーツ活動,汗をかかない,109,27,20,9,12,4,3,0,1,1,7,1,14,17,0
参加したいスポーツ活動,自宅で実施できる,382,90,52,36,52,14,12,3,14,8,22,3,42,51,0
参加したいスポーツ活動,短い時間で実施できる,473,106,47,37,69,24,15,4,19,17,40,6,38,68,0
参加したいスポーツ活動,上達したことが分かる,231,34,29,20,22,2,5,2,11,13,44,1,35,31,0
参加したいスポーツ活動,ゲーム機を使い体を動かして行なうスポーツ・フィットネス等,135,19,12,8,17,9,3,1,9,7,23,2,19,16,0
参加したいスポーツ活動,好きな種目を選べる,313,58,32,35,36,7,8,0,12,18,44,2,38,38,0
参加したいスポーツ活動,やったことがないスポーツを試せる,94,18,14,5,8,4,1,1,5,6,11,0,13,15,0
参加したいスポーツ活動,予約や申し込みなしに、参加したいときに参加できる,262,47,23,18,30,7,6,4,16,20,29,1,34,41,0
参加したいスポーツ活動,有名な選手に会える,54,12,6,4,6,1,1,0,1,4,9,1,5,11,0
参加したいスポーツ活動,親子で一緒に参加ができる,115,15,14,10,6,0,2,3,23,17,21,1,4,7,0
