調査項目,回答,全体(人),視覚障害(人),聴覚・平衡機能障害(人),音声・言語・そしゃく機能障害(人),肢体不自由（上肢）(人),肢体不自由（下肢）(人),肢体不自由（体幹）(人),肢体不自由（脳原性運動機能障害）(人),内部障害(人),知的障害(人),精神障害(人),その他(人),肢体不自由(人)
障害福祉サービスの利用状況,居宅訪問型児童発達支援,8,0,0,0,0,3,1,1,1,3,0,0,5
障害福祉サービスの利用状況,保育所等訪問支援,5,0,0,0,1,1,2,1,0,2,1,0,2
障害福祉サービスの利用状況,訪問看護,179,8,9,17,46,88,45,10,22,20,52,7,109
障害福祉サービスの利用状況,訪問リハビリテーション,165,9,13,24,67,99,55,20,16,10,13,3,137
過去1年間の実施種目,ウォーキング、散歩（散策、ペットの散歩など）,1595,131,154,57,172,257,100,24,366,263,415,32,408
過去1年間の実施種目,体操（ラジオ体操、職場体操、ストレッチ、エアロビクス、ヨガ、ピラティス、縄跳びなど）,531,37,64,17,68,107,41,9,100,81,141,15,155
過去1年間の実施種目,室内運動器具（ウエイト器具、ランニングマシーン、バランスボールなど）を用いる運動,285,26,27,16,38,53,19,5,61,42,58,11,84
過去1年間の実施種目,陸上競技（ランニング、ジョギングなどの軽い運動も含めます）,170,12,29,5,9,9,9,2,23,54,33,4,25
過去1年間の実施種目,水泳・遊泳（水中歩行・水中運動）,293,18,33,11,18,37,20,4,36,99,55,8,67
過去1年間の実施種目,ブラインドサッカー,24,2,4,1,2,6,5,0,4,1,3,2,13
過去1年間の実施種目,車いすテニス,15,2,3,1,1,5,3,1,3,1,2,0,7
過去1年間の実施種目,サウンドテーブルテニス,26,4,6,1,3,6,5,3,0,2,2,0,15
過去1年間の実施種目,パラバレーボール,26,4,4,2,5,12,4,1,6,2,3,1,15
過去1年間の実施種目,車いすバスケットボール,19,2,4,0,1,6,3,1,1,1,4,0,8
過去1年間の実施種目,車いすラグビー,13,1,4,1,2,4,1,0,1,0,0,0,7
過去1年間の実施種目,ボッチャ,50,3,3,2,5,11,5,3,5,27,9,2,16
過去1年間の実施種目,球技（キャッチボールなどのボールを使った軽い運動も含めます）,124,5,17,4,3,6,6,3,17,45,28,3,15
過去1年間の実施種目,ダンス（フォークダンス、ジャズダンス、社交ダンス、フラダンス、バレエ、民謡踊りなど）,94,3,11,3,7,6,6,0,11,37,20,2,15
過去1年間の実施種目,格闘技（ボクシング、レスリング、相撲（すもう）など）,19,2,1,1,4,3,2,1,2,4,3,1,8
過去1年間の実施種目,武道（柔道、剣道、空手、合気道など）,24,1,4,3,0,3,4,0,1,7,4,1,6
過去1年間の実施種目,射的（弓道、アーチェリー、ダーツ、スポーツ吹矢など）,15,0,4,0,3,4,3,1,1,3,2,0,7
過去1年間の実施種目,ウィンタースポーツ（スキー、スノーボード、スケートなど）,47,5,16,2,2,6,1,0,7,7,6,2,8
過去1年間の実施種目,ウォータースポーツ（ボート、ヨット、スキンダイビング、スクーバダイビング、カヌー、水上バイク、サーフィン、ウィンドサーフィン、ボディボード、ボードセーリングなど）,38,7,7,3,2,8,3,1,4,2,13,2,9
過去1年間の実施種目,スカイスポーツ（ハンググライダー、パラグライダー、スカイダイビングなど）,13,2,4,0,2,2,2,1,1,0,3,0,5
過去1年間の実施種目,アウトドアスポーツ（ハイキング、ワンダーフォーゲル、釣り、登山、キャンプなど）,105,7,16,3,6,11,3,0,19,24,28,3,16
過去1年間の実施種目,サイクリング、モーター（サイクル）スポーツ,114,9,16,5,7,14,7,2,23,14,32,4,25
過去1年間の実施種目,運動あそび（鬼ごっこ、かくれんぼ、鉄棒、ぶらんこなど）,134,5,18,7,6,7,10,3,10,79,26,6,18
過去1年間の実施種目,ゲーム機を使い体を動かして行うスポーツ・フィットネス等,79,5,13,1,6,3,4,0,11,21,25,1,10
過去1年間の実施種目,その他,53,4,4,1,4,12,4,2,10,15,15,1,16
過去1年間の実施種目,この1年間に運動・スポーツは行わなかった,1135,81,96,58,163,341,171,47,190,165,289,27,482
実施頻度（1年間）,週3日以上（年151日以上）,604,55,60,21,83,110,37,14,140,83,144,14,169
実施頻度（1年間）,週2日程度（年101日～150日）,429,29,53,13,50,69,22,4,75,95,93,11,114
実施頻度（1年間）,週1日程度（年51日～100日）,506,41,43,27,45,85,48,6,101,96,130,10,141
実施頻度（1年間）,月に1～3日程度（年12日～50日）,280,14,20,8,22,40,20,4,46,68,84,1,71
実施頻度（1年間）,3か月に1～2日程度（年4日～11日）,75,9,8,3,8,9,2,1,21,11,25,2,14
実施頻度（1年間）,年に1～3日程度,52,2,7,2,2,7,1,3,15,5,18,0,11
実施頻度（1年間）,わからない,145,16,13,3,14,23,7,3,31,29,41,3,31
実施した場所,自宅,829,72,91,32,109,158,69,17,188,113,218,14,245
実施した場所,道路や遊歩道,1083,67,98,38,111,167,67,15,280,158,296,18,269
実施した場所,広場や公園,633,52,68,24,53,84,34,9,132,123,156,15,141
実施した場所,民間のスポーツ施設,314,24,46,12,25,47,18,4,48,64,63,6,79
実施した場所,公共のスポーツ施設（障害者専用施設）,130,19,20,6,25,25,13,7,9,31,14,6,53
実施した場所,公共のスポーツ施設（障害者専用施設以外）,241,12,21,10,17,41,16,2,39,62,62,6,67
実施した場所,小中高校の体育施設,128,7,14,8,5,6,9,0,13,50,29,6,19
実施した場所,特別支援学校の体育施設,85,2,9,2,8,15,8,3,3,49,6,1,27
実施した場所,職場のスポーツ施設,35,1,4,2,4,8,3,0,4,6,7,1,14
実施した場所,福祉施設,64,5,4,7,14,27,17,6,6,16,8,3,40
実施した場所,児童通所サービス（放課後等デイサービス等）,87,2,2,4,3,8,3,1,7,63,14,3,10
実施した場所,医療機関（病院やリハビリ施設）,68,2,2,9,18,23,15,6,19,6,10,3,42
実施した場所,山・川・海・空,171,9,25,6,5,15,5,2,37,42,39,1,22
実施した場所,その他,44,2,3,1,8,10,4,0,10,5,12,3,14
実施した場所,わからない,47,8,2,1,3,5,0,1,8,13,11,0,8
一緒に実施する人,一人,1133,83,97,31,131,200,69,14,279,111,360,17,295
一緒に実施する人,家族,762,56,84,32,56,100,39,16,164,193,164,15,165
一緒に実施する人,福祉施設の職員・仲間,174,13,17,15,32,49,22,11,19,45,27,7,77
一緒に実施する人,障害がある人のサークル・障害者スポーツサークル等の仲間,91,12,10,2,16,17,11,4,5,30,7,4,38
一緒に実施する人,障害がある人やない人など様々な人がいるサークルの仲間,107,14,17,8,15,20,17,5,11,22,15,2,40
一緒に実施する人,スポーツ教室の指導者・仲間,151,10,21,10,13,23,17,3,16,38,20,8,48
一緒に実施する人,障害者専用スポーツ施設の職員・仲間,61,4,9,4,15,15,7,3,2,16,5,3,32
一緒に実施する人,地域の公共スポーツ施設の職員・仲間,48,5,6,2,7,7,3,2,7,8,3,0,19
一緒に実施する人,ボランティアの人たち,54,4,7,5,9,13,7,5,2,13,6,4,24
一緒に実施する人,学校の先生や学校の友達,150,9,19,7,6,10,8,3,6,85,30,5,20
一緒に実施する人,児童通所サービス（放課後等デイサービス等）の職員・仲間,86,0,5,3,2,9,5,2,6,63,11,3,13
一緒に実施する人,その他の友人・知人,137,7,25,6,10,19,10,1,28,19,39,4,29
一緒に実施する人,その他,35,3,1,2,8,10,2,1,8,1,12,2,12
一緒に実施する人,わからない,40,7,2,1,5,5,0,0,5,9,9,0,8
実施した理由,健康・体力づくりのため,1503,101,146,51,156,247,89,25,333,268,402,33,376
実施した理由,楽しみや気晴らしのため,890,65,96,31,63,111,51,13,169,204,239,19,198
実施した理由,運動不足解消のため,1109,81,108,34,110,171,72,19,249,211,297,22,270
実施した理由,精神の修養や訓練のため（心をきたえるため）,240,13,20,12,20,28,16,2,32,43,97,9,49
実施した理由,自己の記録や能力を向上させるため,182,18,21,10,20,34,20,7,24,36,46,6,60
実施した理由,リハビリテーションや医療・治療のため,340,18,20,22,88,128,60,11,63,28,64,10,192
実施した理由,家族のふれあいのため,154,8,18,9,5,9,10,4,28,51,34,5,24
実施した理由,友人・仲間との交流のため,254,20,41,12,16,31,15,5,35,78,44,7,52
実施した理由,美容や肥満解消（ダイエット）のため,217,10,14,0,15,31,9,1,47,32,96,6,46
実施した理由,障害者スポーツ大会に参加するため,17,1,6,2,1,5,4,2,1,6,2,1,7
実施した理由,その他,36,5,3,2,2,6,2,2,7,10,9,1,7
実施した理由,わからない,61,7,4,1,7,9,2,1,13,11,14,0,15
実施したきっかけ,家族に奨められた,561,61,66,24,56,82,44,19,116,122,105,14,145
実施したきっかけ,（障害のある）友人・知人・同僚に奨められた,101,14,13,5,9,22,12,4,14,26,15,6,37
実施したきっかけ,（障害のない）友人・知人・同僚に奨められた,119,13,20,4,15,13,14,1,26,13,24,3,32
実施したきっかけ,医師に奨められた,500,35,50,19,69,109,48,11,130,46,129,14,169
実施したきっかけ,看護師に奨められた,114,9,11,7,20,36,15,5,18,13,17,4,56
実施したきっかけ,作業療法士（OT）に奨められた,100,18,13,10,26,33,11,6,7,20,11,3,45
実施したきっかけ,理学療法士（PT）に奨められた,128,7,8,12,45,59,26,5,20,17,13,3,84
実施したきっかけ,言語聴覚士（ST）に奨められた,39,5,8,5,7,10,2,0,3,4,5,0,15
実施したきっかけ,視能訓練士（CO）に奨められた,21,2,5,2,4,7,3,0,2,0,2,0,11
実施したきっかけ,義肢装具士に奨められた,15,2,2,3,1,3,4,0,0,1,2,1,7
実施したきっかけ,介護福祉士に奨められた,43,2,2,4,13,17,9,2,8,6,2,3,30
実施したきっかけ,社会福祉士（ソーシャルワーカー）に奨められた,49,3,2,2,4,16,8,4,6,9,10,2,24
実施したきっかけ,スポーツ指導者に奨められた,20,1,5,3,3,1,3,1,2,4,1,2,6
実施したきっかけ,パラスポーツ指導員（旧障害者スポーツ指導員）に奨められた,19,3,1,0,0,7,2,1,0,5,2,0,9
実施したきっかけ,学校の先生に奨められた,57,5,8,2,2,8,2,2,0,34,7,2,12
実施したきっかけ,学校の授業等で興味を持ち、自主的に始めた,64,2,11,0,2,2,4,0,2,30,16,1,6
実施したきっかけ,所属する団体（会社等）に奨められた,17,0,1,0,2,4,0,0,0,8,4,1,6
実施したきっかけ,障害のある有名選手・パラアスリートの影響,14,0,2,0,3,4,3,1,1,2,3,2,9
実施したきっかけ,障害のない有名選手・アスリートの影響,13,2,2,0,3,3,4,0,0,3,2,0,7
実施したきっかけ,テレビや新聞の影響,66,7,9,2,7,12,5,3,16,7,15,4,20
実施したきっかけ,インターネットや動画配信を見て,81,6,9,2,3,9,7,1,11,14,35,5,16
実施したきっかけ,ＳＮＳの影響,40,3,5,2,4,3,2,3,8,9,21,1,6
実施したきっかけ,漫画、ドラマ、映画等の影響,20,1,5,2,1,4,1,0,2,5,5,2,4
実施したきっかけ,現地やテレビ等でそのスポーツを観た,22,3,6,1,0,2,1,2,1,4,5,1,5
実施したきっかけ,スポーツ団体等の関係者から誘われた,11,0,2,2,1,1,2,0,0,6,0,0,4
実施したきっかけ,スポーツイベントや体験会等で興味を持った,18,1,3,1,0,2,1,1,0,10,2,2,4
実施したきっかけ,スポーツ以外をテーマとするイベント（福祉祭り等の中の講演や体験会等）で興味を持った,6,0,1,1,0,1,0,0,0,3,0,0,1
実施したきっかけ,福祉施設で実施している運動プログラムに参加して,36,1,2,1,5,3,2,1,5,20,7,1,7
実施したきっかけ,行政の広報誌,15,2,1,0,1,4,0,0,1,3,4,2,5
実施したきっかけ,その他,89,6,5,6,14,27,6,2,24,14,20,4,32
実施したきっかけ,特にきっかけはない・なんとなく,676,35,49,13,55,92,24,6,156,123,208,8,141
スポーツ・運動への取組意向,スポーツや運動を行っており、満足している,849,75,104,31,72,121,40,8,172,163,192,18,189
スポーツ・運動への取組意向,スポーツや運動を行っているが、もっと行いたい,600,53,55,24,76,99,41,12,107,122,147,15,171
スポーツ・運動への取組意向,スポーツや運動を行いたいと思うができない,732,34,61,35,113,215,103,24,145,97,185,10,312
スポーツ・運動への取組意向,スポーツや運動に関心はない,1045,85,80,45,126,249,124,38,195,170,300,25,361
実施していない理由,医師に止められており、身体的にできない,127,7,13,9,24,47,33,12,40,12,15,4,75
実施していない理由,どのくらい体を動かしたらよいかわからない,74,1,5,2,10,19,19,2,18,10,17,3,35
実施していない理由,身近なところにスポーツや運動ができる場所がない,61,1,4,5,13,23,10,4,7,14,13,2,30
実施していない理由,スポーツや運動ができる場所への移動手段がない,40,1,3,4,7,16,12,5,4,6,9,2,27
実施していない理由,自分に合ったスポーツや運動の情報がない,89,1,6,4,16,36,14,4,10,19,18,3,46
実施していない理由,一緒にできる仲間がいない,96,5,8,3,8,19,11,4,11,20,31,6,31
実施していない理由,介助者がいない,93,6,12,8,19,37,30,7,8,23,12,5,58
実施していない理由,金銭的な余裕がない,117,5,13,6,15,26,15,5,20,17,42,5,43
実施していない理由,時間がない,90,3,12,4,13,18,12,4,19,14,26,3,27
実施していない理由,必要な競技用具や補助具がない,42,1,5,3,11,22,15,2,2,8,7,2,33
実施していない理由,その他,87,8,12,10,22,44,18,8,12,10,13,3,54
実施していない理由,活動したいと思わない,666,55,53,29,74,185,79,16,100,89,202,12,246
活動したいと思わない理由,スポーツ・運動が嫌いだから,158,10,9,3,7,25,12,1,21,23,73,2,37
活動したいと思わない理由,スポーツ・運動に興味がないから,151,7,5,6,13,36,16,3,20,26,57,1,54
活動したいと思わない理由,スポーツ・運動を楽しんだ経験がないから,39,3,3,2,2,6,5,2,4,8,16,1,13
活動したいと思わない理由,疲れるから,163,10,10,4,13,40,20,3,32,17,58,4,57
活動したいと思わない理由,人前に出るのが好きではないから,57,3,2,3,8,13,10,1,7,6,24,2,22
活動したいと思わない理由,学校の体育や部活動等で苦手意識を持ったから,23,1,0,0,0,2,1,0,4,4,13,1,3
活動したいと思わない理由,一緒に運動・スポーツする人に迷惑をかけるのではないかと心配だから,18,0,1,1,1,3,4,1,3,6,7,1,6
活動したいと思わない理由,スポーツ以外に趣味があるから,64,0,2,2,11,16,13,1,11,7,22,0,23
活動したいと思わない理由,忙しいから,34,2,4,1,4,11,2,1,7,3,12,1,14
活動したいと思わない理由,その他,56,3,3,6,11,30,13,4,9,5,13,2,35
活動したいと思わない理由,わからない,216,32,24,10,27,58,19,5,24,36,53,4,72
学校体育の参加状況,参加していて、体育が好きである,279,16,31,11,13,23,18,5,9,160,48,8,42
学校体育の参加状況,参加しているが、体育は好きではない,146,6,10,7,3,4,4,0,13,65,47,2,9
学校体育の参加状況,参加していない,42,4,2,1,2,3,3,1,4,11,17,1,4
学校体育の参加状況,わからない,37,7,3,1,1,4,2,2,4,19,7,2,6
学校体育に参加しない理由,授業の内容のとおりに身体を動かすことができないから,9,0,0,1,2,2,2,1,0,3,3,0,2
学校体育に参加しない理由,自分にはできないと思ったから,12,1,0,0,0,0,0,0,2,5,4,0,0
学校体育に参加しない理由,他の生徒や先生に迷惑をかけると思ったから,6,1,1,1,0,0,1,0,0,2,0,1,1
学校体育に参加しない理由,参加するために必要なスポーツ用具がなかったから,1,0,0,0,0,0,0,0,0,1,0,0,0
学校体育に参加しない理由,医師から止められていたから,1,0,0,0,0,0,0,0,1,0,0,0,0
学校体育に参加しない理由,学校の先生から見学するように言われたから,3,0,1,1,0,0,0,0,1,0,0,0,0
学校体育に参加しない理由,身体を動かすことが怖いから,5,2,0,0,0,0,0,0,0,1,2,0,0
学校体育に参加しない理由,その他,12,0,0,0,0,1,0,0,1,2,9,0,1
スポーツ・運動の参加方法,現地の会場で対面での参加,1083,74,102,39,95,188,75,19,183,298,241,27,279
スポーツ・運動の参加方法,リモート参加,134,15,13,6,19,31,17,4,23,14,33,1,52
スポーツ・運動の参加方法,ハイブリッド（現地参加とリモート参加の両方から選択できる）,241,20,29,17,34,46,26,6,41,36,53,6,82
スポーツ・運動の参加方法,参加したいと思わない,1768,138,156,73,239,419,190,53,372,204,497,34,620
参加したいスポーツ活動,ルールが簡単,891,63,83,32,81,128,56,18,131,265,247,29,201
参加したいスポーツ活動,自分のペースに合わせてできる,1507,82,141,55,161,279,125,27,322,307,389,37,430
参加したいスポーツ活動,汗をかかない,151,13,16,2,13,31,20,5,31,13,46,5,53
参加したいスポーツ活動,自宅で実施できる,570,36,49,21,80,139,62,18,136,65,146,10,209
参加したいスポーツ活動,短い時間で実施できる,705,54,61,31,92,143,73,19,155,106,182,18,227
参加したいスポーツ活動,上達したことが分かる,362,21,40,19,34,56,38,6,48,89,107,12,98
参加したいスポーツ活動,ゲーム機を使い体を動かして行なうスポーツ・フィットネス等,203,14,20,9,17,22,18,3,25,52,61,6,44
参加したいスポーツ活動,好きな種目を選べる,468,21,50,15,50,79,33,9,89,103,125,19,120
参加したいスポーツ活動,やったことがないスポーツを試せる,138,9,19,8,14,23,11,4,19,35,44,7,35
参加したいスポーツ活動,予約や申し込みなしに、参加したいときに参加できる,355,11,31,9,40,62,30,7,64,80,107,14,96
参加したいスポーツ活動,有名な選手に会える,85,2,14,5,8,9,5,3,12,25,20,2,19
参加したいスポーツ活動,親子で一緒に参加ができる,149,8,14,8,10,14,10,8,13,78,30,6,29
参加したいスポーツ活動,新しい友達をつくることができる,263,16,23,9,23,41,21,8,39,77,81,7,66
参加したいスポーツ活動,スポーツ以外に芸術・文化的なパフォーマンスも楽しめる,130,9,7,6,19,26,18,2,22,26,36,6,44
参加したいスポーツ活動,失敗しても笑われたり恥ずかしい思いをしない,365,18,32,19,30,61,21,8,53,106,126,18,84
参加したいスポーツ活動,新しい道具やウェアを買わなくてよい,326,16,23,19,39,75,30,8,65,66,104,16,98
参加したいスポーツ活動,その他,63,5,4,5,12,19,11,4,13,14,11,2,26
参加したいスポーツ活動,どのようなスポーツや運動でも参加したいと思わない,909,83,83,40,123,255,107,31,174,104,241,14,352
スポーツ・運動の継続実施に必要なもの,スタジアム、体育館などの建物や設備のバリアフリー化,344,42,49,15,43,71,37,12,57,64,57,9,116
スポーツ・運動の継続実施に必要なもの,交通機関（電車やバス）やまちのバリアフリー化,375,51,45,20,62,98,48,14,81,54,62,15,146
スポーツ・運動の継続実施に必要なもの,会場までの送迎,360,28,34,20,55,91,36,16,56,86,73,18,135
スポーツ・運動の継続実施に必要なもの,障害者への施設開放の促進（障害者が優先的に使える施設が増える）,274,26,25,21,40,58,31,8,34,71,59,10,96
スポーツ・運動の継続実施に必要なもの,障害にあわせた教室やプログラム,463,30,38,24,55,97,34,12,76,139,94,18,143
スポーツ・運動の継続実施に必要なもの,介助者や手話通訳などの支援,120,15,25,7,17,24,20,6,14,28,13,6,45
スポーツ・運動の継続実施に必要なもの,障害に対応した情報の提供や問合せ方法の充実,232,17,20,16,35,52,23,7,34,59,53,9,79
スポーツ・運動の継続実施に必要なもの,施設や用具等を利用する際に必要な手続きの支援,138,8,13,7,19,28,16,4,21,41,31,7,48
スポーツ・運動の継続実施に必要なもの,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進,109,20,13,12,17,21,15,6,14,22,25,9,38
