項目名,全世帯／実数（円）,全世帯／対前年増加率／名目（％）,全世帯／対前年増加率／実質（％）,勤労者世帯／実数（円）,勤労者世帯／対前年増加率／名目（％）,勤労者世帯／対前年増加率／実質（％）
油脂・調味料,3529,1,0.9,3467,1.1,1
油脂,361,0.6,1.6,337,-2,-1
調味料,3168,1.1,0.9,3130,1.5,1.3
菓子類,5664,3.5,3.5,6217,2.5,2.5
調理食品,9917,2.9,2.3,10243,4.7,4.1
主食的調理食品,4094,2.8,2.3,4296,4.8,4.3
他の調理食品,5822,3,2.4,5947,4.7,4.1
飲料,4435,3.4,3.5,4733,4.2,4.3
茶類,1041,4.5,5,1044,6.9,7.4
コーヒー・ココア,894,-0.6,-0.2,956,-0.7,-0.3
他の飲料,2500,4.4,4.2,2732,4.9,4.7
酒類,3138,0,-0.3,3088,1.8,1.5
外食,12247,2.9,2,15429,1.7,0.8
一般外食,11407,3,2.1,14046,2.4,1.5
学校給食,840,1.2,1.1,1383,-5.2,-5.3
住居,16915,2.2,2.1,18200,-1.8,-1.9
家賃地代,8485,8.5,8.6,12144,6.3,6.4
設備修繕・維持,8430,-3.5,-3.7,6056,-14.9,-15.1
設備材料,2657,3.2,4.3,1984,3.4,4.6
工事その他のサービス,5774,-6.3,-7,4072,-21.6,-22.1
光熱・水道,22019,2.2,-1.7,21771,2.9,-1.1
電気代,10765,4.4,-0.1,10570,4.5,0
ガス代,4760,0.7,-2.3,4848,3,-0.1
他の光熱,1390,6.9,-9.1,1103,7.9,-8.2
上下水道料,5104,-1.8,-2.3,5249,-1.4,-1.9
家具・家事用品,10839,2.6,3.7,11338,3.3,4.4
家庭用耐久財,3683,6.6,9.1,3677,8.2,10.7
家事用耐久財,1867,3.8,8.2,1867,6.4,10.9
冷暖房用器具,1309,17.7,18.3,1268,25.9,26.5
一般家具,508,-6.6,-5.7,542,-14.9,-14
室内装備・装飾品,615,-15.1,-13.3,596,-13.1,-11.2
寝具類,799,11.4,12,860,13.9,14.5
家事雑貨,2094,1.4,1.7,2406,0.9,1.2
家事用消耗品,2827,2.6,3.2,3060,2.8,3.4
家事サービス,821,-2.6,-2.7,739,-5,-5.1
被服及び履物,10791,-0.1,-0.2,13072,-0.8,-0.9
和服,133,-33.5,-33.3,128,-57.2,-57.1
洋服,4328,3.2,3.3,5519,3,3.1
男子用洋服,1415,2.2,1.2,1828,1.2,0.2
婦人用洋服,2471,4.3,3.9,2976,7,6.6
子供用洋服,442,0.5,6.2,715,-6.8,-1.5
シャツ・セーター類,2136,-3.4,-3.5,2453,-2.4,-2.5
男子用シャツ・セーター類,663,-5.4,-4.8,771,-5.3,-4.7
婦人用シャツ・セーター類,1320,-2.6,-2.8,1434,0.7,0.5
子供用シャツ・セーター類,153,-2.5,-4.2,249,-9.5,-11.1
下着類,1009,0.6,0.2,1112,0.9,0.5
男子用下着類,322,-5,-5.3,298,-6,-6.3
婦人用下着類,574,2.7,2.7,628,3.6,3.6
子供用下着類,113,8.7,6.3,185,3.4,1.1
生地・糸類,118,-9.9,-,104,-19.4,-
他の被服,869,1.3,1.1,1041,1,0.8
履物類,1503,-0.3,-0.5,1912,0.5,0.3
被服関連サービス,695,-1.1,-2.3,802,-5.8,-6.9
保健医療,13227,2.7,1.2,11973,4.1,2.6
医薬品,2374,-2.2,-2,2025,0.7,0.9
健康保持用摂取品,1199,-3.2,-,820,-7.4,-
保健医療用品・器具,2201,2.5,2.3,2527,3.2,3
保健医療サービス,7453,5.6,2.7,6602,7.2,4.3
交通・通信,42107,6.1,4.6,51508,3.8,2.4
交通,5475,2.2,2,7030,-0.4,-0.6
自動車等関係費,23230,10.3,7,27940,8.4,5.1
自動車等購入,6551,11.8,11.2,7912,10.2,9.7
自転車購入,271,-7.5,-9.4,354,-16.7,-18.4
自動車等維持,16408,10.1,5.9,19674,8.3,4.1
通信,13402,1,2.7,16538,-1.5,0.2
教育,11785,6.5,6.1,19131,0.3,-0.1
授業料等,8857,7.3,7,14433,2.7,2.4
教科書・学習参考教材,179,-2.7,-2.8,302,-6.8,-6.9
補習教育,2749,4.7,4,4396,-6.6,-7.2
教養娯楽,27581,-1.3,-2.1,29838,-2.3,-3.1
教養娯楽用耐久財,1695,0.7,2.5,2056,0,1.8
教養娯楽用品,6354,3.3,3.4,7249,5.4,5.5
書籍・他の印刷物,3322,-3,-3.8,3041,-2.1,-2.9
教養娯楽サービス,16211,-2.9,-4.2,17492,-5.4,-6.7
宿泊料,1630,2.7,1,1799,-1.7,-3.3
パック旅行費,3218,-10.4,-,2605,-20.8,-
月謝類,2936,-1.5,-2.2,3999,-3.6,-4.3
他の教養娯楽サービス,8427,-1.3,-1.7,9088,-1.4,-1.8
その他の消費支出,58074,-1.8,-3,62394,-2.3,-3.5
諸雑費,23353,-0.6,-1.1,24167,-2.2,-2.7
理美容サービス,2946,-0.8,-1,2937,0.5,0.3
理美容用品,4392,2.5,2.6,4918,4.1,4.2
身の回り用品,1614,-6.5,-7.1,1942,-6.1,-6.7
たばこ,902,6.5,3.4,997,7.8,4.7
他の諸雑費,13499,-1.2,-1.6,13373,-4.9,-5.3
こづかい(使途不明) ,8849,-1.6,-2.8,11875,-7.1,-8.2
交際費,20060,-4.5,-5.6,17955,-1.2,-2.4
食料,5370,-10.5,-,4216,-9.9,-
家具・家事用品,255,-5.2,-,255,-17.7,-
被服及び履物,593,-11.1,-,594,-5.7,-
教養娯楽,1502,7.4,-,1208,7,-
他の物品サービス,547,-5.7,-,532,-3.4,-
贈与金,8490,-9.2,-,6671,-2.6,-
他の交際費,3302,20.8,-,4478,11.1,-
仕送り金,5813,3.1,1.9,8398,2.1,0.9
非消費支出,-,-,-,103593,4.2,-
勤労所得税,-,-,-,17412,6.9,-
個人住民税,-,-,-,19004,1,-
他の税,-,-,-,7012,-5,-
社会保険料,-,-,-,60079,5.6,-
実支出以外の支払(繰越金を除く),-,-,-,571542,5.8,-
預貯金,-,-,-,450373,6.9,-
可処分所得,-,-,-,455125,4.8,3.6
黒字,-,-,-,139811,15.2,-
金融資産純増,-,-,-,122965,25.7,-
貯蓄純増,-,-,-,121135,24.9,-
預貯金純増,-,-,-,102605,34.2,-
保険純増,-,-,-,18530,-9.9,-
有価証券純購入,-,-,-,1830,117.6,-
土地家屋借金純減,-,-,-,34589,13,-
分割払購入借入金純減,-,-,-,2492,22.9,-
一括払購入借入金純減,-,-,-,-17185,-,-
平均消費性向（％）,-,-,-,69.3,-,-
貯蓄純増(平均貯蓄率) （％）　　　　,-,-,-,26.6,-,-
エンゲル係数（％）,25.7,-,-,24.1,-,-
,,,,,,
東京都生計分析調査　平成30年,,,,,,
参考表１　１世帯当たり年平均１か月間の収入と支出－全国,,,,,,
注1） 内訳は主要項目を掲げたため、内訳を足し上げても必ずしも合計とは一致しない。,,,,,,
注2） 「その他の消費支出」、「こづかい（使途不明）」、「交際費」及び「仕送り金」は、消費者物価指数（持家の帰属家賃を除く総合）を用いて実質化している。,,,,,,
注3） 平成30年平均（農林漁家世帯を含む）,,,,,,
資料）総務省統計局 「家計調査」,,,,*B列26行目、B列34行目、B列143行目の項目名を修正しました（令和2年9月30日）。,,
