項目,階層,項目名,都平均／実数（円）,都平均／負担率（％）,都平均／対前年増加率（％）,第1階層／実数（円）,第1階層／負担率（％）,第2階層／実数（円）,第2階層／負担率（％）,第3階層／実数（円）,第3階層／負担率（％）,第4階層／実数（円）,第4階層／負担率（％）,第5階層／実数（円）,第5階層／負担率（％）,第6階層／実数（円）,第6階層／負担率（％）,第7階層／実数（円）,第7階層／負担率（％）
1,1,国公立高校,447,0.1,42.4,68,0.1,86,0.1,151,0.1,74,0,653,0.2,928,0.2,1179,0.2
1,1,国公立大学,275,0.1,-41.6,-,-,20,0,64,0,10,0,24,0,46,0,1762,0.2
1,1,たばこ,836,0.3,-10.2,472,0.5,804,0.5,873,0.4,764,0.3,1188,0.4,1055,0.3,695,0.1
2,0,準公共料金等,30393,9.4,-6.2,5370,5.2,12059,7.2,14252,6.6,19642,7.4,25715,7.9,31238,7.6,104472,13.6
2,1,牛乳,1293,0.4,-10,911,0.9,1135,0.7,1228,0.6,1216,0.5,1358,0.4,1458,0.4,1746,0.2
2,1,灯油,260,0.1,-12.8,231,0.2,332,0.2,315,0.1,301,0.1,267,0.1,193,0,171,0
2,1,プロパンガス,361,0.1,-5.5,278,0.3,463,0.3,547,0.3,449,0.2,344,0.1,263,0.1,179,0
2,1,理髪料,407,0.1,0.7,136,0.1,262,0.2,303,0.1,419,0.2,490,0.2,552,0.1,683,0.1
2,1,パーマネント代,343,0.1,-3.4,142,0.1,237,0.1,384,0.2,347,0.1,396,0.1,494,0.1,402,0.1
2,1,洗濯代,755,0.2,-2.7,147,0.1,265,0.2,532,0.2,676,0.3,807,0.2,1139,0.3,1723,0.2
2,1,新聞,2555,0.8,-5.1,1672,1.6,2348,1.4,2458,1.1,2699,1,2778,0.9,2803,0.7,3128,0.4
2,1,私立小学校,608,0.2,93.6,-,-,6,0,-,-,57,0,286,0.1,525,0.1,3370,0.4
2,1,私立中学校,1067,0.3,-14.1,-,-,9,0,1,0,234,0.1,183,0.1,1230,0.3,5785,0.8
2,1,私立高校,2162,0.7,-27.8,0,0,346,0.2,186,0.1,337,0.1,458,0.1,2459,0.6,11340,1.5
2,1,私立大学,7568,2.3,1.5,-,-,23,0,90,0,98,0,377,0.1,92,0,52377,6.8
2,1,幼児教育費用,1842,0.6,-0.1,165,0.2,1123,0.7,1469,0.7,1811,0.7,2136,0.7,2961,0.7,3214,0.4
2,1,民営家賃,10219,3.2,-8,1474,1.4,5025,3,5898,2.7,10041,3.8,15020,4.6,16037,3.9,18041,2.3
2,1,地代,953,0.3,-14.9,214,0.2,485,0.3,841,0.4,957,0.4,815,0.3,1032,0.3,2313,0.3
,,,,,,,,,,,,,,,,,,,
東京都生計分析調査　平成30年,,,,,,,,,,,,,,,,,,,
第１２表　生計支出７分位階層別１世帯当たり年平均１か月間の公共的料金支出　―　全　世　帯　―,,,,,,,,,,,,,,,,,,,
項目（0：世帯数等　1：公共料金等　2：準公共料金等）,,,,,,,,,,,,,,,,,,,
