項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年増加率（％）,400万円未満／実数（円）,400万円未満／構成比（％）,400万円以上600万円未満／実数（円）,400万円以上600万円未満／構成比（％）,600万円以上800万円未満／実数（円）,600万円以上800万円未満／構成比（％）,800万円以上1000万円未満／実数（円）,800万円以上1000万円未満／構成比（％）,1000万円以上／実数（円）,1000万円以上／構成比（％）
2,5,7,1,0,交通,9201,2.9,4.4,3885,1.8,7369,2.6,8430,2.7,10237,2.9,17824,3.8
2,5,7,2,0,自動車等関係費,13620,4.2,-10.3,7955,3.6,13572,4.8,12563,4,14730,4.1,20710,4.4
2,6,7,2,1,自動車等購入,3216,1,-35.1,1258,0.6,4564,1.6,1060,0.3,3029,0.9,5853,1.2
2,6,7,2,2,自転車購入,484,0.2,11.3,318,0.1,398,0.1,213,0.1,587,0.2,950,0.2
2,6,7,2,3,自動車等維持,9919,3.1,1.2,6380,2.9,8610,3,11291,3.6,11114,3.1,13907,3
2,5,7,3,0,通信,12835,4,0.7,8102,3.7,11620,4.1,13896,4.4,15166,4.3,17635,3.7
2,4,8,0,0,教育,20417,6.3,4,3465,1.6,9322,3.3,20874,6.6,29079,8.2,47477,10.1
2,5,8,1,0,授業料等,15467,4.8,1.2,3148,1.4,6730,2.4,16263,5.1,20319,5.7,36371,7.7
2,5,8,2,0,教科書・学習参考教材,186,0.1,-18.1,26,0,92,0,270,0.1,243,0.1,397,0.1
2,5,8,3,0,補習教育,4763,1.5,15.8,291,0.1,2500,0.9,4341,1.4,8517,2.4,10709,2.3
2,4,9,0,0,教養娯楽,36071,11.2,-3.3,20671,9.3,31779,11.1,34852,11,41380,11.6,57702,12.2
2,5,9,1,0,教養娯楽用耐久財,2214,0.7,-9.7,936,0.4,1959,0.7,2218,0.7,2799,0.8,3654,0.8
2,5,9,2,0,教養娯楽用品,6958,2.2,-4.3,3907,1.8,6563,2.3,7328,2.3,8215,2.3,10102,2.1
2,5,9,3,0,書籍・他の印刷物,3810,1.2,-4.2,3301,1.5,3903,1.4,3285,1,3769,1.1,4811,1
2,5,9,4,0,教養娯楽サービス,23089,7.2,-2.1,12528,5.6,19353,6.8,22021,6.9,26597,7.5,39135,8.3
2,6,9,4,1,宿泊料,2492,0.8,-1,1370,0.6,2044,0.7,1943,0.6,3280,0.9,4322,0.9
2,6,9,4,2,パック旅行費,5352,1.7,-9,3138,1.4,4529,1.6,5051,1.6,5433,1.5,9309,2
2,6,9,4,3,月謝類,4515,1.4,-2.2,1096,0.5,2815,1,4611,1.5,6799,1.9,9114,1.9
2,6,9,4,4,他の教養娯楽サービス,10731,3.3,1.5,6923,3.1,9966,3.5,10415,3.3,11085,3.1,16391,3.5
2,4,10,0,0,その他の消費支出,58264,18.1,-6,41889,18.9,48530,17,54426,17.2,65984,18.6,87988,18.7
2,5,10,1,0,諸雑費,25614,7.9,-1.3,19502,8.8,21859,7.7,22522,7.1,32438,9.1,35476,7.5
2,6,10,1,1,理美容サービス,3648,1.1,-2.8,2502,1.1,3130,1.1,3269,1,3974,1.1,5754,1.2
2,6,10,1,2,理美容用品,4933,1.5,3.4,3109,1.4,4057,1.4,4901,1.5,5704,1.6,7712,1.6
2,6,10,1,3,身の回り用品,2325,0.7,-6.3,959,0.4,1727,0.6,2138,0.7,2455,0.7,4807,1
2,6,10,1,4,たばこ,834,0.3,-10.3,798,0.4,637,0.2,1008,0.3,749,0.2,1003,0.2
2,6,10,1,5,他の諸雑費,13874,4.3,-1,12134,5.5,12308,4.3,11206,3.5,19556,5.5,16200,3.4
2,5,10,2,0,こづかい,9108,2.8,-8.5,4631,2.1,5904,2.1,9163,2.9,11589,3.3,16614,3.5
2,5,10,3,0,交際費,21541,6.7,-5.5,16897,7.6,19700,6.9,19497,6.1,18970,5.3,33067,7
2,6,10,3,0,食料,5508,1.7,-14.8,5021,2.3,5475,1.9,4529,1.4,4755,1.3,7518,1.6
2,6,10,3,0,家具・家事用品,208,0.1,-35,91,0,200,0.1,215,0.1,262,0.1,325,0.1
2,6,10,3,0,被服及び履物,571,0.2,-12.4,274,0.1,574,0.2,383,0.1,642,0.2,1053,0.2
2,6,10,3,0,教養娯楽,2369,0.7,56.4,1807,0.8,1541,0.5,3359,1.1,1100,0.3,4064,0.9
2,6,10,3,0,他の物品サービス,529,0.2,-1.3,415,0.2,277,0.1,802,0.3,488,0.1,757,0.2
2,6,10,3,6,贈与金,8162,2.5,-15.5,6958,3.1,8337,2.9,6666,2.1,6211,1.7,12209,2.6
2,6,10,3,7,他の交際費,4195,1.3,14.9,2331,1.1,3296,1.2,3542,1.1,5513,1.6,7142,1.5
2,5,10,4,0,仕送り金,2001,0.6,-39.3,859,0.4,1067,0.4,3245,1,2986,0.8,2831,0.6
2,3,0,0,0,土地家屋購入,1013,-,-66.7,-,-,1793,-,-,-,2542,-,1143,-
2,3,0,0,0,（再掲）教育関係費,23670,7.3,-1.3,4066,1.8,10844,3.8,26743,8.4,34268,9.6,52537,11.2
2,3,0,0,0,（再掲）教養娯楽関係費,42755,13.3,-1.2,24709,11.1,37537,13.1,42039,13.2,46045,13,69688,14.8
2,3,0,0,0,（再掲）移転支出（贈与金＋仕送り金）,10162,3.2,-21.6,7817,3.5,9403,3.3,9911,3.1,9196,2.6,15040,3.2
2,3,0,0,0,（再掲）経常消費支出,229256,71.1,-0.6,170751,77,207343,72.6,232192,73.2,253783,71.4,307780,65.3
2,3,0,0,0,（再掲）情報通信関係費,16390,5.1,-0.8,11258,5.1,15451,5.4,17845,5.6,18820,5.3,20950,4.4
2,3,0,0,0,（再掲）消費支出（除く住居等）　１）,284991,88.4,-0.4,193496,87.3,243299,85.2,279803,88.2,323670,91.1,424217,90
0,2,0,0,0,現物総額,-,-,-,-,-,-,-,-,-,-,-,-,-
0,3,0,0,0,食料,-,-,-,-,-,-,-,-,-,-,-,-,-
0,3,0,0,0,住居,-,-,-,-,-,-,-,-,-,-,-,-,-
0,3,0,0,0,光熱・水道,-,-,-,-,-,-,-,-,-,-,-,-,-
0,3,0,0,0,家具・家事用品,-,-,-,-,-,-,-,-,-,-,-,-,-
0,3,0,0,0,被服及び履物,-,-,-,-,-,-,-,-,-,-,-,-,-
0,3,0,0,0,保健医療,-,-,-,-,-,-,-,-,-,-,-,-,-
0,3,0,0,0,交通・通信,-,-,-,-,-,-,-,-,-,-,-,-,-
0,3,0,0,0,教育,-,-,-,-,-,-,-,-,-,-,-,-,-
0,3,0,0,0,教養娯楽,-,-,-,-,-,-,-,-,-,-,-,-,-
0,3,0,0,0,その他の消費支出,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,
東京都生計分析調査　平成30年,,,,,,,,,,,,,,,,,,
第３表　年間収入階級別１世帯当たり年平均１か月間の用途別生計支出　―　全　世　帯　―　,,,,,,,,,,,,,,,,,,
注）　１）は、「住居」のほか、「自動車等購入」、「贈与金」、「仕送り金」を除いたもの。,,,,,,,,,,,,,,,,,,
項目（0：世帯数等　2：生計支出）,,,,,,,,,,,,,,,,,,
