区分,男女計／実数（千人、％）,男女計／前年同期（千人、％）,男女計／対前年同期／増減数（千人、ポイント）,男女計／対前年同期／増減率（％）,男／実数（千人、％）,男／前年同期（千人、％）,男／対前年同期／増減数（千人、ポイント）,男／対前年同期／増減率（％）,女／実数（千人、％）,女／前年同期（千人、％）,女／対前年同期／増減数（千人、ポイント）,女／対前年同期／増減率（％）
〔就業者の主な産業別内訳〕／建設業,430,387,43,11.1,346,314,32,10.2,84,73,11,15.1
〔就業者の主な産業別内訳〕／製造業,663,696,-33,-4.7,478,489,-11,-2.2,185,207,-22,-10.6
〔就業者の主な産業別内訳〕／情報通信業,999,893,106,11.9,665,621,44,7.1,334,272,62,22.8
〔就業者の主な産業別内訳〕／運輸業，郵便業,338,385,-47,-12.2,252,293,-41,-14,86,93,-7,-7.5
〔就業者の主な産業別内訳〕／卸売業，小売業,1274,1281,-7,-0.5,672,645,27,4.2,602,636,-34,-5.3
〔就業者の主な産業別内訳〕／金融業，保険業,379,380,-1,-0.3,179,173,6,3.5,201,207,-6,-2.9
〔就業者の主な産業別内訳〕／不動産業，物品賃貸業,309,306,3,1,165,172,-7,-4.1,143,134,9,6.7
〔就業者の主な産業別内訳〕／学術研究，専門・技術サービス業,569,611,-42,-6.9,344,361,-17,-4.7,226,250,-24,-9.6
〔就業者の主な産業別内訳〕／宿泊業，飲食サービス業,526,483,43,8.9,221,202,19,9.4,305,281,24,8.5
〔就業者の主な産業別内訳〕／生活関連サービス業，娯楽業,277,231,46,19.9,120,100,20,20,158,132,26,19.7
〔就業者の主な産業別内訳〕／教育，学習支援業,460,478,-18,-3.8,199,214,-15,-7,261,264,-3,-1.1
〔就業者の主な産業別内訳〕／医療，福祉,886,874,12,1.4,218,208,10,4.8,669,666,3,0.5
〔就業者の主な産業別内訳〕／サービス業（他に分類されないもの）,686,678,8,1.2,402,376,26,6.9,284,302,-18,-6
〔雇用者の主な産業別内訳〕／建設業,360,313,47,15,286,247,39,15.8,75,66,9,13.6
〔雇用者の主な産業別内訳〕／製造業,637,677,-40,-5.9,458,474,-16,-3.4,179,203,-24,-11.8
〔雇用者の主な産業別内訳〕／情報通信業,954,855,99,11.6,630,590,40,6.8,324,265,59,22.3
〔雇用者の主な産業別内訳〕／運輸業，郵便業,315,355,-40,-11.3,232,265,-33,-12.5,83,90,-7,-7.8
〔雇用者の主な産業別内訳〕／卸売業，小売業,1217,1225,-8,-0.7,641,612,29,4.7,576,613,-37,-6
〔雇用者の主な産業別内訳〕／金融業，保険業,374,379,-5,-1.3,176,172,4,2.3,198,207,-9,-4.3
〔雇用者の主な産業別内訳〕／不動産業，物品賃貸業,259,266,-7,-2.6,141,153,-12,-7.8,118,114,4,3.5
〔雇用者の主な産業別内訳〕／学術研究，専門・技術サービス業,441,484,-43,-8.9,266,283,-17,-6,175,201,-26,-12.9
〔雇用者の主な産業別内訳〕／宿泊業，飲食サービス業,469,426,43,10.1,190,173,17,9.8,279,253,26,10.3
〔雇用者の主な産業別内訳〕／生活関連サービス業，娯楽業,211,176,35,19.9,91,76,15,19.7,121,100,21,21
〔雇用者の主な産業別内訳〕／教育，学習支援業,426,441,-15,-3.4,191,197,-6,-3,235,244,-9,-3.7
〔雇用者の主な産業別内訳〕／医療，福祉,852,826,26,3.1,193,178,15,8.4,659,648,11,1.7
〔雇用者の主な産業別内訳〕／サービス業（他に分類されないもの）,618,618,0,0,350,333,17,5.1,267,285,-18,-6.3
〔非農林業雇用者の従業者規模別内訳〕／総数,7571,7503,68,0.9,4093,4037,56,1.4,3478,3465,13,0.4
〔非農林業雇用者の従業者規模別内訳〕／総数／１～29人規模,1624,1587,37,2.3,861,843,18,2.1,764,744,20,2.7
〔非農林業雇用者の従業者規模別内訳〕／総数／30～499人規模,2258,2277,-19,-0.8,1205,1189,16,1.3,1053,1088,-35,-3.2
〔非農林業雇用者の従業者規模別内訳〕／総数／500人以上規模,3063,2997,66,2.2,1697,1669,28,1.7,1366,1328,38,2.9
〔完全失業率（年齢階級別）(%)〕／総数,2.5,3.1,-0.6,…,2.7,3.5,-0.8,…,2.3,2.6,-0.3,…
〔完全失業率（年齢階級別）(%)〕／総数／15～24歳,3.6,4.2,-0.6,…,4.7,5,-0.3,…,2.6,3.5,-0.9,…
〔完全失業率（年齢階級別）(%)〕／総数／25～34歳,3.5,3.4,0.1,…,3.8,4.3,-0.5,…,3.3,2.4,0.9,…
〔完全失業率（年齢階級別）(%)〕／総数／35～44歳,2.5,2.8,-0.3,…,2.9,3.1,-0.2,…,2,2.4,-0.4,…
〔完全失業率（年齢階級別）(%)〕／総数／45～54歳,1.7,2.7,-1,…,1.5,3.5,-2,…,2.1,1.7,0.4,…
〔完全失業率（年齢階級別）(%)〕／総数／55～64歳,2.5,3.5,-1,…,2.7,3.1,-0.4,…,2,4.2,-2.2,…
〔完全失業率（年齢階級別）(%)〕／総数／65歳以上,1.9,2.4,-0.5,…,1.9,2.7,-0.8,…,1.7,2.1,-0.4,…
〔就業率（%）〕／総数,66.8,66,0.8,…,75.1,73.9,1.2,…,58.9,58.3,0.6,…
〔労働力人口比率(%)〕／総数,68.5,68.1,0.4,…,77.2,76.6,0.6,…,60.3,59.9,0.4,…
,,,,,,,,,,,,
東京の労働力統計データ（令和４年７～９月期平均）,,,,,,,,,,,,
第１表　就業状態別15歳以上人口、産業別就業者数及び完全失業者数　　,,,,,,,,,,,,
令和４年７～９月期平均,,,,,,,,,,,,
注)非農林業雇用者の従業者規模別内訳の総数には官公・従業者規模不詳を含んでいるため、内訳の合計とは一致しない。,,,,,,,,,,,,
