年・期,建設業（千人）,製造業（千人）,情報通信業（千人）,"運輸業,郵便業（千人）","卸売業,小売業（千人）","金融業,保険業（千人）","不動産業,物品賃貸業（千人）","学術研究,専門･技術ｻｰﾋﾞｽ業（千人）","宿泊業,飲食ｻｰﾋﾞｽ業（千人）","生活関連ｻｰﾋﾞｽ業,娯楽業（千人）","教育,学習支援業（千人）","医療,福祉（千人）",ｻｰﾋﾞｽ業（他に分類されないもの）（千人）
対前年・対前年同期増減数／男女計／令和２年平均,-28,-17,35,19,-19,42,45,5,-59,-25,47,20,8
対前年・対前年同期増減数／男女計／令和３年平均,-8,-26,72,28,21,11,-8,23,-1,-1,3,44,-40
対前年・対前年同期増減数／男女計／令和２年１～３月平均,-19,-71,2,28,27,19,25,7,11,29,7,75,-50
対前年・対前年同期増減数／男女計／令和２年４～６月平均,-24,-78,25,14,-40,85,37,-11,-107,-80,80,28,31
対前年・対前年同期増減数／男女計／令和２年７～９月平均,-62,-11,44,24,-77,76,64,-7,-94,-27,42,-17,5
対前年・対前年同期増減数／男女計／令和２年10～12月平均,-5,96,79,16,27,-9,54,35,-39,-19,66,3,51
対前年・対前年同期増減数／男女計／令和３年１～３月平均,29,19,40,24,44,25,-10,26,-26,13,40,-3,-90
対前年・対前年同期増減数／男女計／令和３年４～６月平均,10,-42,105,-25,-8,-32,-19,-44,11,27,-22,57,-57
対前年・対前年同期増減数／男女計／令和３年７～９月平均,-34,-6,39,23,57,11,-17,92,-7,-33,8,76,-19
対前年・対前年同期増減数／男女計／令和３年10～12月平均,-40,-80,93,87,-25,34,12,12,11,-11,-19,37,0
対前年・対前年同期増減数／男女計／令和４年１～３月平均,32,7,51,-12,12,-5,8,77,1,10,-78,-4,-3
対前年・対前年同期増減数／男女計／令和４年４～６月平均,-25,-17,142,39,39,-23,50,56,68,27,-52,52,-12
対前年・対前年同期増減数／男／平成31年・令和元年平均,-15,13,14,-20,-15,19,3,-4,-7,16,14,-6,35
対前年・対前年同期増減数／男／令和２年平均,-19,-20,23,6,-15,16,20,1,-30,3,24,2,14
対前年・対前年同期増減数／男／令和３年平均,-11,-7,49,20,13,2,2,1,-7,-8,3,9,-37
対前年・対前年同期増減数／男／令和２年１～３月平均,-9,-72,2,2,1,34,11,13,-4,11,42,28,-16
対前年・対前年同期増減数／男／令和２年４～６月平均,-21,-47,12,13,-14,36,5,-17,-43,-16,26,2,28
対前年・対前年同期増減数／男／令和２年７～９月平均,-41,-12,46,7,-27,20,27,-12,-57,10,26,-17,10
対前年・対前年同期増減数／男／令和２年10～12月平均,-1,58,33,5,-12,-26,38,23,-15,9,2,-6,38
対前年・対前年同期増減数／男／令和３年１～３月平均,26,22,22,13,3,22,5,7,-17,17,8,14,-65
対前年・対前年同期増減数／男／令和３年４～６月平均,2,-16,91,-27,10,-21,6,-30,-2,0,-19,22,-63
対前年・対前年同期増減数／男／令和３年７～９月平均,-34,-8,22,22,27,-3,-12,35,-16,-24,22,13,-41
対前年・対前年同期増減数／男／令和３年10～12月平均,-41,-32,57,71,5,11,9,-11,3,-24,1,-13,19
対前年・対前年同期増減数／男／令和４年１～３月平均,36,9,40,7,-2,-9,2,13,-11,-3,-44,-23,-6
対前年・対前年同期増減数／男／令和４年４～６月平均,-12,-16,113,25,1,-6,42,38,14,-3,7,6,-4
対前年・対前年同期増減数／女／平成31年・令和元年平均,7,24,34,-1,3,-16,2,0,-21,-2,26,15,18
対前年・対前年同期増減数／女／令和２年平均,-10,1,12,14,-4,27,24,4,-29,-28,24,18,-6
対前年・対前年同期増減数／女／令和３年平均,3,-18,23,8,8,7,-10,22,6,7,-1,35,-3
対前年・対前年同期増減数／女／令和２年１～３月平均,-10,0,-1,26,27,-15,15,-7,14,18,-35,46,-34
対前年・対前年同期増減数／女／令和２年４～６月平均,-3,-31,12,0,-25,49,32,6,-63,-63,54,25,3
対前年・対前年同期増減数／女／令和２年７～９月平均,-19,1,-2,17,-50,56,38,4,-38,-37,17,-1,-4
対前年・対前年同期増減数／女／令和２年10～12月平均,-4,39,46,12,39,16,15,13,-25,-29,64,8,13
対前年・対前年同期増減数／女／令和３年１～３月平均,3,-3,18,11,40,3,-15,19,-8,-4,32,-16,-25
対前年・対前年同期増減数／女／令和３年４～６月平均,9,-26,14,4,-18,-12,-24,-14,12,26,-3,37,7
対前年・対前年同期増減数／女／令和３年７～９月平均,-1,2,17,2,30,14,-6,58,10,-8,-14,63,22
対前年・対前年同期増減数／女／令和３年10～12月平均,1,-47,36,15,-29,24,4,22,9,13,-20,50,-19
対前年・対前年同期増減数／女／令和４年１～３月平均,-3,-2,11,-19,15,4,5,64,11,14,-34,19,3
対前年・対前年同期増減数／女／令和４年４～６月平均,-14,-2,30,13,39,-17,7,17,55,30,-59,45,-8
,,,,,,,,,,,,,
東京の労働力統計データ（令和４年４～６月期平均）,,,,,,,,,,,,,
第４表　主な産業別就業者数  ,,,,,,,,,,,,,
