区分・年,実数／総数（千人、％）,実数／15～24歳（千人、％）,実数／25～34歳（千人、％）,実数／35～44歳（千人、％）,実数／45～54歳（千人、％）,実数／55～64歳（千人、％）,実数／65歳以上（千人、％）,対前年増減数／総数（千人、ポイント）,対前年増減数／15～24歳（千人、ポイント）,対前年増減数／25～34歳（千人、ポイント）,対前年増減数／35～44歳（千人、ポイント）,対前年増減数／45～54歳（千人、ポイント）,対前年増減数／55～64歳（千人、ポイント）,対前年増減数／65歳以上（千人、ポイント）,対前年増減率／総数（％）,対前年増減率／15～24歳（％）,対前年増減率／25～34歳（％）,対前年増減率／35～44歳（％）,対前年増減率／45～54歳（％）,対前年増減率／55～64歳（％）,対前年増減率／65歳以上（％）
就業者数／平成25年平均,3033,281,698,744,614,425,272,93,13,9,28,41,-12,14,3.2,4.9,1.3,3.9,7.2,-2.7,5.4
就業者数／平成26年平均,3129,278,717,764,652,422,296,96,-3,19,20,38,-3,24,3.2,-1.1,2.7,2.7,6.2,-0.7,8.8
就業者数／平成27年平均,3168,274,707,765,695,427,301,39,-4,-10,1,43,5,5,1.2,-1.4,-1.4,0.1,6.6,1.2,1.7
就業者数／平成28年平均,3229,312,727,751,728,430,280,61,38,20,-14,33,3,-21,1.9,13.9,2.8,-1.8,4.7,0.7,-7
就業者数／平成29年平均,3349,326,736,756,767,454,310,120,14,9,5,39,24,30,3.7,4.5,1.2,0.7,5.4,5.6,10.7
就業者数／平成30年平均,3504,364,739,776,805,474,347,155,38,3,20,38,20,37,4.6,11.7,0.4,2.6,5,4.4,11.9
就業者数／平成31年・令和元年平均,3590,375,751,781,852,494,338,86,11,12,5,47,20,-9,2.5,3,1.6,0.6,5.8,4.2,-2.6
就業者数／令和２年平均,3619,373,776,765,849,513,344,29,-2,25,-16,-3,19,6,0.8,-0.5,3.3,-2,-0.4,3.8,1.8
就業者数／令和３年平均,3718,376,816,780,856,526,364,99,3,40,15,7,13,20,2.7,0.8,5.2,2,0.8,2.5,5.8
就業者数／令和４年平均,3773,368,824,767,881,565,368,55,-8,8,-13,25,39,4,1.5,-2.1,1,-1.7,2.9,7.4,1.1
完全失業者数／平成24年平均,138,20,33,34,27,18,5,-6,1,-4,-6,-1,0,2,-4.2,5.3,-10.8,-15,-3.6,0,66.7
完全失業者数／平成25年平均,127,15,32,32,25,16,6,-11,-5,-1,-2,-2,-2,1,-8,-25,-3,-5.9,-7.4,-11.1,20
完全失業者数／平成26年平均,117,14,30,30,24,12,7,-10,-1,-2,-2,-1,-4,1,-7.9,-6.7,-6.3,-6.3,-4,-25,16.7
完全失業者数／平成27年平均,106,12,27,26,25,11,4,-11,-2,-3,-4,1,-1,-3,-9.4,-14.3,-10,-13.3,4.2,-8.3,-42.9
完全失業者数／平成28年平均,110,15,25,26,24,14,6,4,3,-2,0,-1,3,2,3.8,25,-7.4,0,-4,27.3,50
完全失業者数／平成29年平均,92,13,22,23,17,10,6,-18,-2,-3,-3,-7,-4,0,-16.4,-13.3,-12,-11.5,-29.2,-28.6,0
完全失業者数／平成30年平均,87,11,26,16,19,11,5,-5,-2,4,-7,2,1,-1,-5.4,-15.4,18.2,-30.4,11.8,10,-16.7
完全失業者数／平成31年・令和元年平均,80,14,21,16,17,7,5,-7,3,-5,0,-2,-4,0,-8,27.3,-19.2,0,-10.5,-36.4,0
完全失業者数／令和２年平均,105,14,30,17,25,14,5,25,0,9,1,8,7,0,31.3,0,42.9,6.3,47.1,100,0
完全失業者数／令和３年平均,96,12,21,17,21,18,7,-9,-2,-9,0,-4,4,2,-8.6,-14.3,-30,0,-16,28.6,40
完全失業者数／令和４年平均,96,9,28,20,17,15,6,0,-3,7,3,-4,-3,-1,0,-25,33.3,17.6,-19,-16.7,-14.3
非労働力人口／平成24年平均,2883,356,233,361,247,355,1332,30,-8,3,-1,12,-18,44,1.1,-2.2,1.3,-0.3,5.1,-4.8,3.4
非労働力人口／平成25年平均,2826,340,213,329,242,332,1370,-57,-16,-20,-32,-5,-23,38,-2,-4.5,-8.6,-8.9,-2,-6.5,2.9
非労働力人口／平成26年平均,2776,337,189,305,239,310,1395,-50,-3,-24,-24,-3,-22,25,-1.8,-0.9,-11.3,-7.3,-1.2,-6.6,1.8
非労働力人口／平成27年平均,2796,341,199,301,231,288,1435,20,4,10,-4,-8,-22,40,0.7,1.2,5.3,-1.3,-3.3,-7.1,2.9
非労働力人口／平成28年平均,2804,345,168,305,231,275,1480,8,4,-31,4,0,-13,45,0.3,1.2,-15.6,1.3,0,-4.5,3.1
非労働力人口／平成29年平均,2750,346,160,282,236,255,1472,-54,1,-8,-23,5,-20,-8,-1.9,0.3,-4.8,-7.5,2.2,-7.3,-0.5
非労働力人口／平成30年平均,2654,325,153,249,230,245,1453,-96,-21,-7,-33,-6,-10,-19,-3.5,-6.1,-4.4,-11.7,-2.5,-3.9,-1.3
非労働力人口／平成31年・令和元年平均,2627,315,153,226,213,246,1474,-27,-10,0,-23,-17,1,21,-1,-3.1,0,-9.2,-7.4,0.4,1.4
非労働力人口／令和２年平均,2613,307,136,226,222,244,1479,-14,-8,-17,0,9,-2,5,-0.5,-2.5,-11.1,0,4.2,-0.8,0.3
非労働力人口／令和３年平均,2569,304,126,203,242,247,1446,-44,-3,-10,-23,20,3,-33,-1.7,-1,-7.4,-10.2,9,1.2,-2.2
非労働力人口／令和４年平均,2508,303,107,192,223,238,1446,-61,-1,-19,-11,-19,-9,0,-2.4,-0.3,-15.1,-5.4,-7.9,-3.6,0
労働力人口比率／平成24年平均,51.6,44.7,75.7,67.5,70.8,56.2,16.5,-0.3,0.4,-0.5,0.2,-0.5,0.6,-0.3,…,…,…,…,…,…,…
労働力人口比率／平成25年平均,52.8,46.5,77.3,70.1,72.5,57.1,16.9,1.2,1.8,1.6,2.6,1.7,0.9,0.4,…,…,…,…,…,…,…
労働力人口比率／平成26年平均,53.9,46.3,79.7,72.2,73.8,58.3,17.8,1.1,-0.2,2.4,2.1,1.3,1.2,0.9,…,…,…,…,…,…,…
労働力人口比率／平成27年平均,53.9,45.6,78.7,72.4,75.7,60.2,17.6,0,-0.7,-1,0.2,1.9,1.9,-0.2,…,…,…,…,…,…,…
労働力人口比率／平成28年平均,54.3,48.7,81.7,71.8,76.4,61.8,16.2,0.4,3.1,3,-0.6,0.7,1.6,-1.4,…,…,…,…,…,…,…
労働力人口比率／平成29年平均,55.5,49.5,82.5,73.4,76.8,64.4,17.7,1.2,0.8,0.8,1.6,0.4,2.6,1.5,…,…,…,…,…,…,…
労働力人口比率／平成30年平均,57.5,53.5,83.2,76,78,66.4,19.4,2,4,0.7,2.6,1.2,2,1.7,…,…,…,…,…,…,…
労働力人口比率／平成31年・令和元年平均,58.2,55.2,83.4,77.8,80.3,67,18.8,0.7,1.7,0.2,1.8,2.3,0.6,-0.6,…,…,…,…,…,…,…
労働力人口比率／令和２年平均,58.7,55.5,85.6,77.6,79.7,68.2,19.1,0.5,0.3,2.2,-0.2,-0.6,1.2,0.3,…,…,…,…,…,…,…
労働力人口比率／令和３年平均,59.7,55.9,86.9,79.7,78.2,68.7,20.4,1,0.4,1.3,2.1,-1.5,0.5,1.3,…,…,…,…,…,…,…
労働力人口比率／令和４年平均,60.6,55.4,88.8,80.3,80,70.8,20.5,0.9,-0.5,1.9,0.6,1.8,2.1,0.1,…,…,…,…,…,…,…
就業率／平成24年平均,49.3,41.6,72.2,64.4,67.7,53.9,16.2,-0.2,0.2,-0.2,0.7,-0.2,0.4,-0.4,…,…,…,…,…,…,…
就業率／平成25年平均,50.6,44.2,73.9,67.3,69.7,55,16.5,1.3,2.6,1.7,2.9,2,1.1,0.3,…,…,…,…,…,…,…
就業率／平成26年平均,51.9,44.1,76.5,69.5,71.2,56.7,17.4,1.3,-0.1,2.6,2.2,1.5,1.7,0.9,…,…,…,…,…,…,…
就業率／平成27年平均,52.2,43.7,75.8,70,73.1,58.7,17.3,0.3,-0.4,-0.7,0.5,1.9,2,-0.1,…,…,…,…,…,…,…
就業率／平成28年平均,52.6,46.4,78.9,69.4,73.9,59.8,15.9,0.4,2.7,3.1,-0.6,0.8,1.1,-1.4,…,…,…,…,…,…,…
就業率／平成29年平均,54,47.6,80.1,71.1,75.1,63.1,17.3,1.4,1.2,1.2,1.7,1.2,3.3,1.4,…,…,…,…,…,…,…
就業率／平成30年平均,56.1,52.1,80.4,74.5,76.3,64.9,19.2,2.1,4.5,0.3,3.4,1.2,1.8,1.9,…,…,…,…,…,…,…
就業率／平成31年・令和元年平均,57,53.2,81,76.3,78.7,66,18.6,0.9,1.1,0.6,1.8,2.4,1.1,-0.6,…,…,…,…,…,…,…
就業率／令和２年平均,57.1,53.7,82.4,75.9,77.5,66.4,18.8,0.1,0.5,1.4,-0.4,-1.2,0.4,0.2,…,…,…,…,…,…,…
就業率／令和３年平均,58.2,54.2,84.7,78,76.4,66.4,20,1.1,0.5,2.3,2.1,-1.1,0,1.2,…,…,…,…,…,…,…
就業率／令和４年平均,59.1,54,85.9,78.3,78.5,69,20.2,0.9,-0.2,1.2,0.3,2.1,2.6,0.2,…,…,…,…,…,…,…
完全失業率／平成24年平均,4.5,6.9,4.6,4.5,4.5,3.9,1.9,-0.2,0.3,-0.4,-0.9,-0.3,0,0.7,…,…,…,…,…,…,…
完全失業率／平成25年平均,4,5.1,4.4,4.1,3.9,3.6,2.2,-0.5,-1.8,-0.2,-0.4,-0.6,-0.3,0.3,…,…,…,…,…,…,…
完全失業率／平成26年平均,3.6,4.8,4,3.8,3.6,2.8,2.3,-0.4,-0.3,-0.4,-0.3,-0.3,-0.8,0.1,…,…,…,…,…,…,…
完全失業率／平成27年平均,3.2,4.2,3.7,3.3,3.5,2.5,1.3,-0.4,-0.6,-0.3,-0.5,-0.1,-0.3,-1,…,…,…,…,…,…,…
完全失業率／平成28年平均,3.3,4.6,3.3,3.3,3.2,3.2,2.1,0.1,0.4,-0.4,0,-0.3,0.7,0.8,…,…,…,…,…,…,…
完全失業率／平成29年平均,2.7,3.8,2.9,2.9,2.2,2.2,1.9,-0.6,-0.8,-0.4,-0.4,-1,-1,-0.2,…,…,…,…,…,…,…
完全失業率／平成30年平均,2.4,2.9,3.4,2,2.3,2.3,1.4,-0.3,-0.9,0.5,-0.9,0.1,0.1,-0.5,…,…,…,…,…,…,…
完全失業率／平成31年・令和元年平均,2.2,3.6,2.7,2,2,1.4,1.5,-0.2,0.7,-0.7,0,-0.3,-0.9,0.1,…,…,…,…,…,…,…
完全失業率／令和２年平均,2.8,3.6,3.7,2.2,2.9,2.7,1.4,0.6,0,1,0.2,0.9,1.3,-0.1,…,…,…,…,…,…,…
完全失業率／令和３年平均,2.5,3.1,2.5,2.1,2.4,3.3,1.9,-0.3,-0.5,-1.2,-0.1,-0.5,0.6,0.5,…,…,…,…,…,…,…
完全失業率／令和４年平均,2.5,2.4,3.3,2.5,1.9,2.6,1.6,0,-0.7,0.8,0.4,-0.5,-0.7,-0.3,…,…,…,…,…,…,…
,,,,,,,,,,,,,,,,,,,,,
東京の労働力統計データ（令和４年平均）,,,,,,,,,,,,,,,,,,,,,
第３表　年齢階級別就業状態（女）,,,,,,,,,,,,,,,,,,,,,
