区分,男女計／実数（千人、％）,男女計／前年（千人、％）,男女計／対前年／増減数（千人、ポイント）,男女計／対前年／増減率（％）,男／実数（千人、％）,男／前年（千人、％）,男／対前年／増減数（千人、ポイント）,男／対前年／増減率（％）,女／実数（千人、％）,女／前年（千人、％）,女／対前年／増減数（千人、ポイント）,女／対前年／増減率（％）
〔就業者の主な産業別内訳〕／学術研究，専門・技術サービス業,587,570,17,3,346,342,4,1.2,241,228,13,5.7
〔就業者の主な産業別内訳〕／宿泊業，飲食サービス業,506,480,26,5.4,216,214,2,0.9,290,266,24,9
〔就業者の主な産業別内訳〕／生活関連サービス業，娯楽業,302,272,30,11,124,117,7,6,178,155,23,14.8
〔就業者の主な産業別内訳〕／教育，学習支援業,420,458,-38,-8.3,181,196,-15,-7.7,238,262,-24,-9.2
〔就業者の主な産業別内訳〕／医療，福祉,919,883,36,4.1,230,223,7,3.1,689,660,29,4.4
〔就業者の主な産業別内訳〕／サービス業（他に分類されないもの）,675,671,4,0.6,379,382,-3,-0.8,296,289,7,2.4
〔雇用者の主な産業別内訳〕／建設業,370,362,8,2.2,297,281,16,5.7,73,82,-9,-11
〔雇用者の主な産業別内訳〕／製造業,641,661,-20,-3,452,466,-14,-3,189,195,-6,-3.1
〔雇用者の主な産業別内訳〕／情報通信業,924,853,71,8.3,633,581,52,9,291,272,19,7
〔雇用者の主な産業別内訳〕／運輸業，郵便業,356,378,-22,-5.8,266,281,-15,-5.3,90,97,-7,-7.2
〔雇用者の主な産業別内訳〕／卸売業，小売業,1236,1228,8,0.7,613,608,5,0.8,622,620,2,0.3
〔雇用者の主な産業別内訳〕／金融業，保険業,347,351,-4,-1.1,176,169,7,4.1,171,182,-11,-6
〔雇用者の主な産業別内訳〕／不動産業，物品賃貸業,253,260,-7,-2.7,149,154,-5,-3.2,104,105,-1,-1
〔雇用者の主な産業別内訳〕／学術研究，専門・技術サービス業,447,444,3,0.7,265,263,2,0.8,183,181,2,1.1
〔雇用者の主な産業別内訳〕／宿泊業，飲食サービス業,454,417,37,8.9,188,178,10,5.6,266,239,27,11.3
〔雇用者の主な産業別内訳〕／生活関連サービス業，娯楽業,231,210,21,10,91,88,3,3.4,140,123,17,13.8
〔雇用者の主な産業別内訳〕／教育，学習支援業,384,419,-35,-8.4,174,180,-6,-3.3,211,239,-28,-11.7
〔雇用者の主な産業別内訳〕／医療，福祉,875,835,40,4.8,202,195,7,3.6,673,640,33,5.2
〔雇用者の主な産業別内訳〕／サービス業（他に分類されないもの）,624,621,3,0.5,343,347,-4,-1.2,281,273,8,2.9
〔非農林業雇用者の従業者規模別内訳〕／総数,7588,7495,93,1.2,4102,4055,47,1.2,3485,3440,45,1.3
〔非農林業雇用者の従業者規模別内訳〕／総数／１～29人規模,1723,1681,42,2.5,893,884,9,1,830,797,33,4.1
〔非農林業雇用者の従業者規模別内訳〕／総数／30～499人規模,2246,2256,-10,-0.4,1213,1208,5,0.4,1032,1048,-16,-1.5
〔非農林業雇用者の従業者規模別内訳〕／総数／500人以上規模,3054,2954,100,3.4,1702,1657,45,2.7,1352,1296,56,4.3
〔完全失業率（年齢階級別）(%)〕／総数,2.6,3,-0.4,…,2.8,3.4,-0.6,…,2.5,2.5,0,…
〔完全失業率（年齢階級別）(%)〕／総数／15～24歳,3.7,4.3,-0.6,…,5.2,5.6,-0.4,…,2.4,3.1,-0.7,…
〔完全失業率（年齢階級別）(%)〕／総数／25～34歳,3.4,3.7,-0.3,…,3.4,4.7,-1.3,…,3.3,2.5,0.8,…
〔完全失業率（年齢階級別）(%)〕／総数／35～44歳,2.5,2.5,0,…,2.4,2.8,-0.4,…,2.5,2.1,0.4,…
〔完全失業率（年齢階級別）(%)〕／総数／45～54歳,2.1,2.7,-0.6,…,2.2,3,-0.8,…,1.9,2.4,-0.5,…
〔完全失業率（年齢階級別）(%)〕／総数／55～64歳,2.6,3.1,-0.5,…,2.7,2.9,-0.2,…,2.6,3.3,-0.7,…
〔完全失業率（年齢階級別）(%)〕／総数／65歳以上,1.8,2.2,-0.4,…,2,2.4,-0.4,…,1.6,1.9,-0.3,…
〔就業率（%）〕／総数,66.9,66,0.9,…,75,74.1,0.9,…,59.1,58.2,0.9,…
〔労働力人口比率(%)〕／総数,68.7,68,0.7,…,77.1,76.7,0.4,…,60.6,59.7,0.9,…
,,,,,,,,,,,,
東京の労働力統計データ（令和４年平均）,,,,,,,,,,,,
第１表　就業状態別15歳以上人口、産業別就業者数及び完全失業者数,,,,,,,,,,,,
令和４年平均,,,,,,,,,,,,
注)非農林業雇用者の従業者規模別内訳の総数には官公・従業者規模不詳を含んでいるため、内訳の合計とは一致しない。,,,,,,,,,,,,
