Ａ自治体名（障害者サービス担当館）,Ｂ蔵書数録音資料テープ図書作成タイトル,Ｂ蔵書数録音資料テープ図書寄贈タイトル,Ｂ蔵書数録音資料テープ図書購入タイトル,Ｂ蔵書数録音資料テープ雑誌作成タイトル,Ｂ蔵書数録音資料テープ雑誌寄贈タイトル,Ｂ蔵書数録音資料テープ雑誌購入タイトル,Ｂ蔵書数録音資料ＤＡＩＳＹ図書作成タイトル,Ｂ蔵書数録音資料ＤＡＩＳＹ図書寄贈タイトル,Ｂ蔵書数録音資料ＤＡＩＳＹ図書購入タイトル,Ｂ蔵書数録音資料マルチメディアＤＡＩＳＹ図書作成タイトル,Ｂ蔵書数録音資料マルチメディアＤＡＩＳＹ図書寄贈タイトル,Ｂ蔵書数録音資料マルチメディアＤＡＩＳＹ図書購入タイトル,Ｂ蔵書数録音資料ＤＡＩＳＹ雑誌作成タイトル,Ｂ蔵書数録音資料ＤＡＩＳＹ雑誌寄贈タイトル,Ｂ蔵書数録音資料ＤＡＩＳＹ雑誌購入タイトル,Ｂ蔵書数録音資料録音資料合計タイトル,Ｂ蔵書数点字資料点字図書作成タイトル,Ｂ蔵書数点字資料点字図書寄贈タイトル,Ｂ蔵書数点字資料点字図書購入タイトル,Ｂ蔵書数点字資料点字雑誌作成タイトル,Ｂ蔵書数点字資料点字雑誌寄贈タイトル,Ｂ蔵書数点字資料点字雑誌購入タイトル,Ｂ蔵書数点字資料点字資料合計タイトル,Ｂ蔵書数拡大写本タイトル,Ｂ蔵書数点字絵本タイトル,Ｂ蔵書数さわる絵本タイトル,Ｂ蔵書数その他タイトル,Ｃ利用者登録者数（人）,Ｃ利用者登録者数内訳登録者内数（視覚障害以外）,Ｃ利用者登録者数内訳登録者内数（視覚障害以外の読書困難者）,Ｄ職員数専任（正規職員）（人）,Ｄ職員数兼任（正規・非常勤職員）（人）,Ｄ職員数専任（委託・指定管理職員）（人）,Ｄ職員数兼任（委託・指定管理職員）（人）,Ｄ職員数アルバイト（人）,Ｄ職員数その他（人）,Ｅ講習会等実施回数音訳講習会,Ｅ講習会等実施回数研修会,Ｅ講習会等実施回数展示会,Ｅ講習会等実施回数機器操作講習会,Ｅ講習会等実施回数担当者会,Ｅ講習会等実施回数その他,Ｆ貸出機器台数点字プリンター,Ｆ貸出機器台数デイジー再生用,Ｆ貸出機器台数その他,Ｆ貸出機器デイジー再生機器館外貸出サービス実施,Ｇ対面音訳利用状況利用者延人数,Ｇ対面音訳利用状況利用時間,Ｇ対面音訳利用状況音訳延人数,Ｇ対面音訳利用状況対面実施館数,Ｇ対面音訳音訳者職員（人）,Ｇ対面音訳音訳者職員以外（人）,Ｈ資料の自館製作録音資料音訳者職員（人）,Ｈ資料の自館製作録音資料音訳者職員以外（人）,Ｈ資料の自館製作録音資料校正者職員（人）,Ｈ資料の自館製作録音資料校正者職員以外（人）,Ｈ資料の自館製作録音資料ＤＡＩＳＹ編集者職員（人）,Ｈ資料の自館製作録音資料ＤＡＩＳＹ編集者職員以外（人）,Ｈ資料の自館製作録音資料ＤＡＩＳＹ校正者職員（人）,Ｈ資料の自館製作録音資料ＤＡＩＳＹ校正者職員以外（人）,Ｈ資料の自館製作点訳資料点訳者職員（人）,Ｈ資料の自館製作点訳資料点訳者職員以外（人）,Ｈ資料の自館製作点訳資料校正者職員（人）,Ｈ資料の自館製作点訳資料校正者職員以外（人）,Ｉ貸出・相互貸借個人貸出録音資料テープタイトル,Ｉ貸出・相互貸借個人貸出録音資料ＤＡＩＳＹタイトル,Ｉ貸出・相互貸借個人貸出録音資料マルチメディアＤＡＩＳＹタイトル,Ｉ貸出・相互貸借個人貸出点字資料タイトル,Ｉ貸出・相互貸借個人貸出その他タイトル,Ｉ貸出・相互貸借個人貸出個人貸出合計タイトル,Ｉ貸出・相互貸借相互賃借貸出資料別（タイトル）テープ,Ｉ貸出・相互貸借相互賃借貸出資料別（タイトル）ＤＡＩＳＹ,Ｉ貸出・相互貸借相互賃借貸出資料別（タイトル）マルチメディアＤＡＩＳＹ,Ｉ貸出・相互貸借相互賃借貸出資料別（タイトル）点字,Ｉ貸出・相互貸借相互賃借貸出資料別（タイトル）その他,Ｉ貸出・相互貸借相互賃借貸出貸出合計（タイトル）,Ｉ貸出・相互貸借相互賃借借受資料別（タイトル）テープ,Ｉ貸出・相互貸借相互賃借借受資料別（タイトル）ＤＡＩＳＹ,Ｉ貸出・相互貸借相互賃借借受資料別（タイトル）マルチメディアＤＡＩＳＹ,Ｉ貸出・相互貸借相互賃借借受資料別（タイトル）点字,Ｉ貸出・相互貸借相互賃借借受資料別（タイトル）その他,Ｉ貸出・相互貸借相互賃借借受借受合計（タイトル）,備考
武蔵野市,872,1,308,-,-,-,345,3,76,-,278,-,-,-,1,1884,-,-,-,-,-,6,6,-,？,？,29,110,19,10,0,2,0,0,1,0,5,3,1,2,0,0,0,6,0,有,189,307,378,2,0,84,0,66,1,66,0,66,2,66,0,0,0,0,60,766,47,-,82,955,78,758,0,-,0,836,32,644,0,-,-,676,
三鷹市,795,0,1168,0,0,0,357,0,75,0,0,31,32,0,0,2458,0,0,247,0,0,0,247,0,19,18,-,56,0,0,0,3,0,0,0,0,0,0,0,2,3,0,1,5,4,有,133,209,193,3,0,43,0,8,0,0,0,11,0,10,0,0,0,0,83,366,0,0,0,449,23,197,0,0,0,220,1,65,0,0,0,66,
青梅市,0,0,0,0,0,0,67,37,416,0,21,0,0,0,0,541,0,645,111,0,1,2,759,0,0,0,29,57,3,3,0,0,0,9,0,0,2,0,1,0,2,0,1,6,0,有,48,105,64,1,3,25,0,21,0,21,0,21,0,21,0,10,0,10,0,366,0,258,0,624,0,0,0,0,0,0,10,236,0,0,0,246,
府中市,6,2,253,0,0,0,118,63,472,0,？,？,0,20,0,934,0,63,566,0,0,306,935,0,？,46,97,36,？,？,0,6,0,0,0,0,1,0,1,0,0,0,0,8,0,有,85,170,85,1,0,18,0,18,0,18,0,18,0,18,0,0,0,0,22,635,0,47,0,704,0,91,0,0,0,91,＊,＊,0,＊,0,0,
昭島市,401,18,53,1,0,0,101,54,21,0,26,0,1,0,0,676,45,1,＊,0,0,1,47,0,23,4,5,49,？,？,1,1,0,0,0,0,1,0,0,1,0,0,0,4,0,無,3,90,46,1,0,31,0,31,0,31,0,31,0,31,0,0,0,0,23,218,0,0,0,241,1,10,0,0,0,11,22,214,0,0,0,236,
調布市,2417,2,2,0,0,0,2232,8,6,3,18,192,0,0,1,4881,64,25,13,0,0,3,105,？,？,？,387,299,179,？,5,0,0,0,0,6,1,0,9,0,0,4,0,23,5,有,129,239,129,1,10,13,0,38,0,13,1,8,1,11,0,25,0,25,44,4776,35,4,305,5164,25,1113,0,0,0,1138,11,2086,0,0,7,2104,
町田市,456,236,12,13,12,0,189,112,36,0,4,0,194,43,0,1307,109,529,85,1,134,64,922,0,340,0,309,202,48,？,0,6,0,0,0,0,1,2,0,0,0,0,0,0,8,無,386,744,386,3,0,32,0,9,0,1,0,2,0,2,0,3,0,3,293,1343,2,45,20,1703,10,104,0,1,1,116,279,1293,0,44,0,1616,
小金井市,169,35,39,0,0,0,51,？,0,0,1,0,0,0,0,295,162,＊,0,0,？,0,162,0,？,？,0,40,6,？,0,2,0,0,0,0,0,0,0,0,0,1,0,5,0,有,12,24,24,1,0,11,0,33,0,33,0,33,0,33,0,30,0,30,8,16,-,0,-,24,0,73,-,0,-,73,0,14,-,0,-,14,
小平市,197,0,0,0,0,0,25,5,18,0,299,45,0,0,0,589,0,317,562,0,0,55,934,19,165,193,21,68,18,10,0,2,0,0,0,0,1,0,6,0,0,2,0,2,0,有,7,14,14,8,0,22,0,22,0,22,0,6,0,6,0,29,0,29,4,824,0,66,372,1266,0,17,0,0,0,17,0,50,0,0,0,50,
日野市,446,20,1786,0,0,0,207,16,0,0,1,0,1,4,0,2481,389,1014,0,2,0,2,1407,0,424,0,0,178,-,-,1,1,0,0,0,4,1,1,2,1,2,0,1,15,0,有,178,460,311,2,1,44,1,44,0,44,1,16,1,6,1,11,1,11,193,5476,0,622,0,6291,0,4972,0,2728,0,7700,151,3616,0,200,0,3967,
東村山市（富士見）,238,0,453,1,0,0,31,15,84,0,0,2,1,0,0,825,0,311,0,0,0,0,311,0,？,？,？,66,15,1,0,1,0,0,1,0,2,0,0,0,0,0,0,2,0,無,217,434,434,3,0,31,0,31,0,10,0,10,0,5,-,-,-,-,134,1020,0,21,197,1372,1,6,0,0,0,7,7,629,0,11,0,647,
国分寺市（光）,0,0,0,0,0,0,0,1,17,0,4,10,0,0,0,32,0,2,0,0,0,0,2,0,119,94,-,55,19,0,0,2,0,0,0,0,0,0,0,0,0,0,0,10,0,有,0,0,0,0,0,5,0,-,0,-,0,-,0,-,0,0,0,0,64,623,0,5,-,692,0,0,0,0,0,0,0,602,0,4,-,606,・ＤＡＩＳＹ編集者は委託のため、人数不明
国立市,0,0,0,0,0,0,11,0,0,0,0,0,9,2,1,23,13,0,0,0,5,1,19,-,-,-,-,11,0,0,0,2,0,0,0,0,1,0,0,1,11,1,1,5,-,有,0,0,0,1,0,32,0,32,0,32,0,32,0,32,0,22,0,22,6,1701,-,99,-,1806,4,28,-,0,-,32,0,99,-,0,-,99,・絵本については児童サービスに含み、しょうがい者サービスとしてはカウントしていない。
福生市,0,0,286,0,0,0,0,0,130,0,0,0,0,0,0,416,0,106,0,0,0,0,106,0,13,4,293,12,7,0,0,3,0,0,0,0,0,1,0,0,3,0,0,0,0,無,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294,0,0,263,557,0,0,0,0,0,0,0,294,0,0,1,295,
狛江市,223,0,0,0,0,0,217,0,0,0,4,0,0,0,0,444,0,0,0,0,0,0,0,0,47,17,0,21,6,1,0,3,0,0,0,0,1,0,0,0,0,0,0,2,0,有,9,18,18,1,0,15,0,14,0,14,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,4,0,0,0,4,22,40,0,0,0,62,・録音資料製作は音訳者が同時にＤＡＩＳＹ編集も行い、校正者が同時にＤＡＩＳＹ編集の校正も行っている。
東大和市,449,128,106,0,0,0,106,1,0,0,0,0,58,0,0,848,34,56,0,0,0,0,90,？,？,？,？,35,6,？,0,5,0,0,1,0,1,0,0,0,0,0,1,1,1,無,0,0,0,0,0,0,0,20,0,10,0,20,0,10,0,3,0,1,0,1444,-,40,-,1484,5,53,-,2,-,60,0,1033,-,40,-,1073,
清瀬市,8,0,210,0,0,0,55,2,0,0,0,0,0,0,0,275,0,76,5,0,0,0,81,13,71,46,0,226,？,？,0,3,0,0,0,0,1,0,0,0,1,0,0,2,0,有,24,48,48,1,0,10,0,14,0,10,0,8,0,8,-,-,-,-,0,726,0,13,0,739,0,5,0,10,0,15,0,725,0,13,0,738,
東久留米市,960,0,497,0,0,0,66,0,16,0,5,0,0,0,0,1544,0,0,0,0,2,0,2,0,0,21,0,30,6,0,1,3,0,0,0,0,1,0,1,0,0,0,0,2,0,有,37,74,44,1,0,9,0,29,0,4,2,0,2,0,0,0,0,0,0,929,0,0,0,929,1,24,0,0,0,25,1,287,0,0,0,288,
武蔵村山市（中藤）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,＊,＊,0,0,0,233,0,？,0,0,5,5,0,0,1,0,0,0,0,-,-,-,-,-,-,0,0,0,無,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
多摩市（永山）,1739,13,37,0,0,0,258,39,0,0,227,0,1,8,1,2323,61,204,139,0,13,3,420,0,318,251,0,90,31,0,0,10,0,0,3,0,0,1,1,0,1,2,2,8,10,有,296,516,296,5,0,14,0,18,0,8,0,19,0,2,0,1,0,1,37,3806,0,12,0,3855,19,800,0,2,0,821,1,3495,0,8,0,3504,マルチメディアデイジーを心身に障がいがある子どものための学校へ貸出したが、個人への貸出ではないため計上できない。（２０８タイトル）
稲城市,221,482,369,0,0,0,84,1,0,0,0,0,0,0,0,1157,0,18,0,0,0,0,18,10,5,11,39,7,2,0,0,1,0,1,0,0,2,-,-,-,-,-,0,3,0,無,0,0,0,0,1,0,0,6,0,6,0,6,0,6,0,0,0,0,0,85,0,0,0,85,2,19,0,0,0,21,0,79,0,0,0,79,
羽村市,0,10,156,0,0,0,0,0,57,0,19,36,0,0,0,278,0,18,2,0,0,0,20,0,0,0,0,12,＊,＊,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,無,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,6,
