Ａ自治体名（障害者サービス担当館）,Ｂ蔵書数録音資料テープ図書作成タイトル,Ｂ蔵書数録音資料テープ図書寄贈タイトル,Ｂ蔵書数録音資料テープ図書購入タイトル,Ｂ蔵書数録音資料テープ雑誌作成タイトル,Ｂ蔵書数録音資料テープ雑誌寄贈タイトル,Ｂ蔵書数録音資料テープ雑誌購入タイトル,Ｂ蔵書数録音資料ＤＡＩＳＹ図書作成タイトル,Ｂ蔵書数録音資料ＤＡＩＳＹ図書寄贈タイトル,Ｂ蔵書数録音資料ＤＡＩＳＹ図書購入タイトル,Ｂ蔵書数録音資料マルチメディアＤＡＩＳＹ図書作成タイトル,Ｂ蔵書数録音資料マルチメディアＤＡＩＳＹ図書寄贈タイトル,Ｂ蔵書数録音資料マルチメディアＤＡＩＳＹ図書購入タイトル,Ｂ蔵書数録音資料ＤＡＩＳＹ雑誌作成タイトル,Ｂ蔵書数録音資料ＤＡＩＳＹ雑誌寄贈タイトル,Ｂ蔵書数録音資料ＤＡＩＳＹ雑誌購入タイトル,Ｂ蔵書数録音資料録音資料合計タイトル,Ｂ蔵書数点字資料点字図書作成タイトル,Ｂ蔵書数点字資料点字図書寄贈タイトル,Ｂ蔵書数点字資料点字図書購入タイトル,Ｂ蔵書数点字資料点字雑誌作成タイトル,Ｂ蔵書数点字資料点字雑誌寄贈タイトル,Ｂ蔵書数点字資料点字雑誌購入タイトル,Ｂ蔵書数点字資料点字資料合計タイトル,Ｂ蔵書数拡大写本タイトル,Ｂ蔵書数点字絵本タイトル,Ｂ蔵書数さわる絵本タイトル,Ｂ蔵書数その他タイトル,Ｃ利用者登録者数（人）,Ｃ利用者登録者数内訳登録者内数（視覚障害以外）,Ｃ利用者登録者数内訳登録者内数（視覚障害以外の読書困難者）,Ｄ職員数専任（正規職員）（人）,Ｄ職員数兼任（正規・非常勤職員）（人）,Ｄ職員数専任（委託・指定管理職員）（人）,Ｄ職員数兼任（委託・指定管理職員）（人）,Ｄ職員数アルバイト（人）,Ｄ職員数その他（人）,Ｅ講習会等実施回数音訳講習会,Ｅ講習会等実施回数研修会,Ｅ講習会等実施回数展示会,Ｅ講習会等実施回数機器操作講習会,Ｅ講習会等実施回数担当者会,Ｅ講習会等実施回数その他,Ｆ貸出機器台数点字プリンター,Ｆ貸出機器台数デイジー再生用,Ｆ貸出機器台数その他,Ｆ貸出機器デイジー再生機器館外貸出サービス実施,Ｇ対面音訳利用状況利用者延人数,Ｇ対面音訳利用状況利用時間,Ｇ対面音訳利用状況音訳延人数,Ｇ対面音訳利用状況対面実施館数,Ｇ対面音訳音訳者職員（人）,Ｇ対面音訳音訳者職員以外（人）,Ｈ資料の自館製作録音資料音訳者職員（人）,Ｈ資料の自館製作録音資料音訳者職員以外（人）,Ｈ資料の自館製作録音資料校正者職員（人）,Ｈ資料の自館製作録音資料校正者職員以外（人）,Ｈ資料の自館製作録音資料ＤＡＩＳＹ編集者職員（人）,Ｈ資料の自館製作録音資料ＤＡＩＳＹ編集者職員以外（人）,Ｈ資料の自館製作録音資料ＤＡＩＳＹ校正者職員（人）,Ｈ資料の自館製作録音資料ＤＡＩＳＹ校正者職員以外（人）,Ｈ資料の自館製作点訳資料点訳者職員（人）,Ｈ資料の自館製作点訳資料点訳者職員以外（人）,Ｈ資料の自館製作点訳資料校正者職員（人）,Ｈ資料の自館製作点訳資料校正者職員以外（人）,Ｉ貸出・相互貸借個人貸出録音資料テープタイトル,Ｉ貸出・相互貸借個人貸出録音資料ＤＡＩＳＹタイトル,Ｉ貸出・相互貸借個人貸出録音資料マルチメディアＤＡＩＳＹタイトル,Ｉ貸出・相互貸借個人貸出点字資料タイトル,Ｉ貸出・相互貸借個人貸出その他タイトル,Ｉ貸出・相互貸借個人貸出個人貸出合計タイトル,Ｉ貸出・相互貸借相互賃借貸出資料別（タイトル）テープ,Ｉ貸出・相互貸借相互賃借貸出資料別（タイトル）ＤＡＩＳＹ,Ｉ貸出・相互貸借相互賃借貸出資料別（タイトル）マルチメディアＤＡＩＳＹ,Ｉ貸出・相互貸借相互賃借貸出資料別（タイトル）点字,Ｉ貸出・相互貸借相互賃借貸出資料別（タイトル）その他,Ｉ貸出・相互貸借相互賃借貸出貸出合計（タイトル）,Ｉ貸出・相互貸借相互賃借借受資料別（タイトル）テープ,Ｉ貸出・相互貸借相互賃借借受資料別（タイトル）ＤＡＩＳＹ,Ｉ貸出・相互貸借相互賃借借受資料別（タイトル）マルチメディアＤＡＩＳＹ,Ｉ貸出・相互貸借相互賃借借受資料別（タイトル）点字,Ｉ貸出・相互貸借相互賃借借受資料別（タイトル）その他,Ｉ貸出・相互貸借相互賃借借受借受合計（タイトル）,J謝礼等対面音訳音訳者単価（円）,J謝礼等資料の自館製作録音資料音訳者単価（円）,J謝礼等資料の自館製作録音資料校正者単価（円）,J謝礼等資料の自館製作録音資料ＤＡＩＳＹ編集者単価（円）,J謝礼等資料の自館製作録音資料ＤＡＩＳＹ校正者単価（円）,J謝礼等資料の自館製作点訳資料点訳者単価（円）,J謝礼等資料の自館製作点訳資料校正者単価（円）,"J謝礼等宅配協
力
者単価（円）",K負担金サピエ会費の有無, L障害者サービス予算（千円,備　考
区合計,"14,262","1,260","11,821","1,515",16,52,"6,549","3,079","3,389",26,802,849,873,233,432,"45,158","5,334","3,546","4,958",35,143,389,"14,405","2,813",867,"2,441","3,261","5,971","1,982",558,10,133,28,176,2,0,34,5,7,11,47,16,8,236,7,18,"4,875","10,023","4,859",71,14,535,0,662,4,450,3,416,5,372,0,255,1,159,"3,935","83,443",396,"6,751","12,534","107,059",346,"11,830",0,185,216,"12,796","1,525","31,155",3,414,25,"33,581",,,,,,,,,18,"65,223",
八王子市,120,*,*,0,0,0,332,*,*,0,0,0,1,0,0,453,"5,046",*,*,0,0,0,"5,046",0,0,0,0,163,?,?,0,2,0,0,0,6,0,0,0,0,0,0,0,3,0,有,358,953,874,4,0,94,0,40,0,31,0,28,0,112,0,8,0,8,235,"3,675",0,48,0,"3,958",0,"2,140",0,0,0,"2,140",41,"1,897",0,46,0,"1,984",500/ｈ,2000/1タイトル,*,*,*,200/冊,*,500/回,有,"1,089",  Ｉ 貸出・相互貸借は、タイトル数で数えられないため、所蔵数で計上。
立川市,563,18,378,?,?,?,198,2,0,0,27,0,?,?,?,"1,186",869,*,*,?,?,?,869,0,?,48,42,45,?,?,3,2,0,8,0,0,1,0,1,0,1,2,0,5,0,有,35,70,35,1,0,1,0,74,0,50,0,22,0,22,0,7,0,7,207,"2,323",0,13,9,"2,552",0,47,0,0,39,86,207,"2,071",0,9,6,"2,293",652/30m,1399/30m,745/30m,745/30m,560/30m,374/枚,112/枚,　－,有,"2,847",
武蔵野市,882,2,302,0,0,0,493,4,91,0,422,0,0,0,1,"2,197",0,0,0,0,0,6,6,0,0,0,49,118,20,14,0,2,0,0,1,0,7,1,1,2,0,0,0,9,0,有,180,320,365,2,0,46,0,77,1,77,0,77,2,77,0,0,0,0,11,722,1,4,141,879,9,776,0,0,0,785,1,592,0,0,0,593,0,0,0,0,0,－,－,－,有,"1,769",
三鷹市,788,0,"1,159",0,0,0,375,0,89,0,0,31,0,0,0,"2,442",247,*,*,0,0,0,247,0,34,204,27,58,57,1,0,2,0,0,0,0,1,0,0,1,0,0,1,6,4,有,151,243,229,1,0,19,0,5,0,0,0,3,0,3,0,0,0,0,32,176,0,0,0,208,3,124,0,0,0,127,0,140,0,0,0,140,400/h,800/h,800/h,500/h,800/h,-,-,-,有,"1,251",
青梅市,0,0,0,0,0,0,85,42,416,0,112,0,0,0,0,655,0,696,111,0,1,2,810,0,?,?,29,58,2,2,0,0,0,9,0,0,0,1,6,0,2,0,1,6,0,有,47,88,58,1,1,18,0,23,0,4,0,9,0,4,0,7,0,7,0,248,0,97,0,345,0,0,0,0,0,0,6,187,0,0,0,193,750/ｈ,*,*,*,*,*,*,*,無,781,※Ⅰ貸出・相互貸借　個人貸出の点字資料タイトル数は、所蔵数で計上。
府中市,17,9,252,0,0,0,138,55,466,0,?,?,0,0,12,949,0,89,560,0,0,328,977,0,?,109,99,32,?,?,0,5,0,0,0,0,1,0,1,0,0,0,0,8,0,有,177,354,189,1,0,23,0,23,0,23,0,23,0,23,0,0,0,0,0,897,0,47,0,944,0,97,0,0,0,97,0,?,0,?,0,0,0,0,0,0,0,0,0,0,有,"1,179",蔵書数「その他」欄は布絵本の冊数を記入した。
昭島市,398,136,88,1,0,0,81,130,25,0,29,0,1,0,0,889,0,53,22,0,0,0,75,0,17,15,43,54,?,?,1,1,0,0,0,0,1,0,0,0,4,0,0,5,0,有,58,116,116,1,0,22,0,11,0,6,0,12,0,5,0,0,0,0,35,282,0,6,0,323,0,20,0,0,0,20,27,224,0,0,0,251,1980/h,3960/h,1980/h,1980/h,990/h,－,－,－,無,"1,094",
調布市,"2,416",3,2,0,0,0,"2,705",13,9,7,37,192,0,0,0,"5,384",65,27,14,0,0,3,109,?,?,?,420,290,184,?,5,0,0,0,0,6,1,0,9,0,0,4,0,23,5,有,129,256,129,1,11,15,0,34,0,11,1,23,1,10,0,25,0,0,27,"3,911",25,10,271,"4,244",13,835,0,0,0,848,11,"1,948",0,2,2,"1,963",1000/h,"2000/h（ＤＡＩＳＹ直接録音）
1800/h（テープ録音及びＤＲ－１録音）","1000/h（ＤＡＩＳＹ直接録音）
900/h（テープ録音及びＤＲ－１録音）",600/h,300/h,"500/件
250/枚",120/枚,0,有,"5,996",
町田市,461,237,12,14,10,0,204,119,34,0,30,0,247,109,0,"1,477",113,547,89,3,161,63,976,0,371,0,332,196,46,?,0,7,0,0,0,0,2,0,0,0,0,0,0,0,8,無,352,"695時間
10分",352,2,0,28,0,18,0,2,0,3,0,2,0,2,0,2,437,"1,625",0,160,19,"2,241",13,461,0,1,0,475,410,"1,582",0,153,6,"2,151",1000/2h,"1500/h
（デジタル録音）
1600/h
（カセット録音）","1500/h
（デジタル・カセット）",800/h,800/h,"150/頁
（タイプライター・点字版等）
40/頁（パソコン）","30/頁
（タイプライター・点字版等）
10/頁（パソコン）","図書カード
500円から",有,"1,514",
