Ａ自治体名（障害者サービス担当館）,Ｂ蔵書数録音資料テープ図書作成タイトル,Ｂ蔵書数録音資料テープ図書寄贈タイトル,Ｂ蔵書数録音資料テープ図書購入タイトル,Ｂ蔵書数録音資料テープ雑誌作成タイトル,Ｂ蔵書数録音資料テープ雑誌寄贈タイトル,Ｂ蔵書数録音資料テープ雑誌購入タイトル,Ｂ蔵書数録音資料ＤＡＩＳＹ図書作成タイトル,Ｂ蔵書数録音資料ＤＡＩＳＹ図書寄贈タイトル,Ｂ蔵書数録音資料ＤＡＩＳＹ図書購入タイトル,Ｂ蔵書数録音資料マルチメディアＤＡＩＳＹ図書作成タイトル,Ｂ蔵書数録音資料マルチメディアＤＡＩＳＹ図書寄贈タイトル,Ｂ蔵書数録音資料マルチメディアＤＡＩＳＹ図書購入タイトル,Ｂ蔵書数録音資料ＤＡＩＳＹ雑誌作成タイトル,Ｂ蔵書数録音資料ＤＡＩＳＹ雑誌寄贈タイトル,Ｂ蔵書数録音資料ＤＡＩＳＹ雑誌購入タイトル,Ｂ蔵書数録音資料録音資料合計タイトル,Ｂ蔵書数点字資料点字図書作成タイトル,Ｂ蔵書数点字資料点字図書寄贈タイトル,Ｂ蔵書数点字資料点字図書購入タイトル,Ｂ蔵書数点字資料点字雑誌作成タイトル,Ｂ蔵書数点字資料点字雑誌寄贈タイトル,Ｂ蔵書数点字資料点字雑誌購入タイトル,Ｂ蔵書数点字資料点字資料合計タイトル,Ｂ蔵書数拡大写本タイトル,Ｂ蔵書数点字絵本タイトル,Ｂ蔵書数さわる絵本タイトル,Ｂ蔵書数その他タイトル,Ｃ利用者登録者数（人）,Ｃ利用者登録者数内訳登録者内数（視覚障害以外）,Ｃ利用者登録者数内訳登録者内数（視覚障害以外の読書困難者）,Ｄ職員数専任（正規職員）（人）,Ｄ職員数兼任（正規・非常勤職員）（人）,Ｄ職員数専任（委託・指定管理職員）（人）,Ｄ職員数兼任（委託・指定管理職員）（人）,Ｄ職員数アルバイト（人）,Ｄ職員数その他（人）,Ｅ講習会等実施回数音訳講習会,Ｅ講習会等実施回数研修会,Ｅ講習会等実施回数展示会,Ｅ講習会等実施回数機器操作講習会,Ｅ講習会等実施回数担当者会,Ｅ講習会等実施回数その他,Ｆ貸出機器台数点字プリンター,Ｆ貸出機器台数デイジー再生用,Ｆ貸出機器台数その他,Ｆ貸出機器デイジー再生機器館外貸出サービス実施,Ｇ対面音訳利用状況利用者延人数,Ｇ対面音訳利用状況利用時間,Ｇ対面音訳利用状況音訳延人数,Ｇ対面音訳利用状況対面実施館数,Ｇ対面音訳音訳者職員（人）,Ｇ対面音訳音訳者職員以外（人）,Ｈ資料の自館製作録音資料音訳者職員（人）,Ｈ資料の自館製作録音資料音訳者職員以外（人）,Ｈ資料の自館製作録音資料校正者職員（人）,Ｈ資料の自館製作録音資料校正者職員以外（人）,Ｈ資料の自館製作録音資料ＤＡＩＳＹ編集者職員（人）,Ｈ資料の自館製作録音資料ＤＡＩＳＹ編集者職員以外（人）,Ｈ資料の自館製作録音資料ＤＡＩＳＹ校正者職員（人）,Ｈ資料の自館製作録音資料ＤＡＩＳＹ校正者職員以外（人）,Ｈ資料の自館製作点訳資料点訳者職員（人）,Ｈ資料の自館製作点訳資料点訳者職員以外（人）,Ｈ資料の自館製作点訳資料校正者職員（人）,Ｈ資料の自館製作点訳資料校正者職員以外（人）,Ｉ貸出・相互貸借個人貸出録音資料テープタイトル,Ｉ貸出・相互貸借個人貸出録音資料ＤＡＩＳＹタイトル,Ｉ貸出・相互貸借個人貸出録音資料マルチメディアＤＡＩＳＹタイトル,Ｉ貸出・相互貸借個人貸出点字資料タイトル,Ｉ貸出・相互貸借個人貸出その他タイトル,Ｉ貸出・相互貸借個人貸出個人貸出合計タイトル,Ｉ貸出・相互貸借相互賃借貸出資料別（タイトル）テープ,Ｉ貸出・相互貸借相互賃借貸出資料別（タイトル）ＤＡＩＳＹ,Ｉ貸出・相互貸借相互賃借貸出資料別（タイトル）マルチメディアＤＡＩＳＹ,Ｉ貸出・相互貸借相互賃借貸出資料別（タイトル）点字,Ｉ貸出・相互貸借相互賃借貸出資料別（タイトル）その他,Ｉ貸出・相互貸借相互賃借貸出貸出合計（タイトル）,Ｉ貸出・相互貸借相互賃借借受資料別（タイトル）テープ,Ｉ貸出・相互貸借相互賃借借受資料別（タイトル）ＤＡＩＳＹ,Ｉ貸出・相互貸借相互賃借借受資料別（タイトル）マルチメディアＤＡＩＳＹ,Ｉ貸出・相互貸借相互賃借借受資料別（タイトル）点字,Ｉ貸出・相互貸借相互賃借借受資料別（タイトル）その他,Ｉ貸出・相互貸借相互賃借借受借受合計（タイトル）,J謝礼等対面音訳音訳者単価（円）,J謝礼等資料の自館製作録音資料音訳者単価（円）,J謝礼等資料の自館製作録音資料校正者単価（円）,J謝礼等資料の自館製作録音資料ＤＡＩＳＹ編集者単価（円）,J謝礼等資料の自館製作録音資料ＤＡＩＳＹ校正者単価（円）,J謝礼等資料の自館製作点訳資料点訳者単価（円）,J謝礼等資料の自館製作点訳資料校正者単価（円）,"J謝礼等宅配協
力
者単価（円）",K負担金サピエ会費の有無, L障害者サービス予算（千円,備　考,,,,,,,
目黒区,954,61,351,0,0,0,565,58,116,0,34,129,0,4,2,"2,274",23,153,0,1,4,3,184,0,45,16,201,145,76,7,0,12,2,0,0,0,2,0,1,0,10,1,1,2,0,有,166,335,166,3,4,19,0,20,1,20,0,20,0,20,0,20,0,20,2,"2,880",21,8,49,"2,960",32,480,0,10,0,522,0,"2,724",0,1,0,"2,725",750/h,230/10m,80/10ｍ,410/10ｍ,DAISY編集に含む,130/枚,点訳に含む,‐,有,"3,433","・図書の貸出数はタイトル数で数えられないので、延べ貸出点数で計上。
・テープ図書は製作を中止し、DAISY再生機を所有しない障害者向けにはオーディオCD形式で作成している。                                                                                                     ・個人貸出のその他の項目は個別項目に出ていない障害者サービス資料（布の絵本・おもちゃ）の個人貸出し数を記入した。　　　　　　　　　　　　　　　　　　　　　　　　　",,,,,,,
大田区,"2,228",3,144,493,0,0,107,42,4,0,0,0,408,0,0,"3,429",0,75,2,0,0,0,77,728,0,0,0,386,300,7,0,2,0,28,0,0,1,0,0,0,1,0,0,6,0,有,273,546,273,8,0,71,0,71,0,71,0,71,0,71,0,0,0,0,231,"3,111",0,0,0,"3,342",39,"1,255",0,0,0,"1,294",147,701,0,0,0,848,2000/2ｈ,2000/90m,1000/90ｍ,300/10ｍ,100/10ｍ,0,0,0,無,"3,232",,,,,,,,
世田谷区,538,0,54,0,3,0,167,90,93,0,12,137,1,10,0,"1,105",1,78,"1,455",0,27,4,"1,565",0,289,2,0,534,192,208,0,44,0,1,0,0,1,0,0,0,1,0,0,8,0,無,218,432,218,6,0,14,0,27,0,28,0,0,0,0,0,0,0,0,45,485,3,10,0,543,3,205,0,0,0,208,2,361,0,0,0,363,1000/h,700/30,350/30,－,－,－,－,‐,無,"2,520",,,,,,,,
渋谷区,943,0,442,0,0,0,301,0,431,0,0,60,0,0,2,"2,179",69,242,996,0,0,0,"1,307",0,0,0,0,86,?,61,0,2,0,0,0,0,2,0,0,2,0,4,0,8,0,無,15,30,15,1,0,15,0,14,0,14,0,14,0,14,0,15,0,15,55,216,0,0,"1,924","2,195",0,42,0,0,0,42,0,0,0,0,0,0,1100/h,1300/h,600/h,900/h,600/h,80/枚,－,,無,"1,232",,,,,,,,
中野区,12,3,466,0,0,0,2,105,500,0,42,30,0,0,0,"1,160",0,0,0,0,3,2,5,0,25,2,0,136,96,4,0,0,0,3,0,0,0,0,0,0,5,0,0,4,0,有,110,220,110,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,3,458,2,14,-,477,0,0,0,0,0,0,0,59,0,0,-,59,1000/ｈ,2000/ｈ,1000/90ｍ,1000/90ｍ,1000/h,－,－,‐,有,"1,569",,,,,,,,
杉並区,0,0,0,0,0,0,37,0,0,9,0,0,248,0,0,294,0,0,"1,402",0,0,2,"1,404","1,179",?,？,"1,351",165,123,42,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,有,219,438,219,6,0,18,0,61,0,61,0,61,0,61,0,0,0,0,151,712,0,23,101,987,0,259,0,0,0,259,151,292,0,0,0,443,2200/2ｈ,2200/90m,1100/90ｍ,1100/1タイトル,0,－,－,‐,無,"3,000",,,,,,,,
豊島区,"1,276",0,0,0,41,0,"1,316","2,206",15,*,*,0,3,6,6,"4,869",908,"1,054",38,0,0,3,"2,003",102,*,37,-,568,8,*,5,4,0,0,0,0,2,14,0,0,0,3,0,12,0,有,137,274,137,3,0,32,0,46,4,21,0,8,0,5,0,48,1,48,259,"35,062",*,"2,617","3,469","41,407",43,"3,843",*,131,52,"4,069",218,"3,597",*,41,0,"3,856","1,800/1回（2h）",20/m,9/m,8/m,4/m,50/枚,50/枚,‐,有,"14,011",・予算には、システムの維持管理経費も含む,,,,,,,
北区,0,5,0,0,0,0,404,13,0,0,385,0,0,0,0,807,643,27,0,0,2,0,672,0,41,42,0,121,13,1,0,15,0,3,0,0,1,0,0,0,0,0,0,15,0,有,317,663,170,４館＋１地域振興室,0,34,0,5,0,8,0,5,0,3,0,38,0,38,101,"3,638",0,124,108,"3,971",1,84,0,9,0,94,40,"3,110",0,30,0,"3,180",800/h,２００００/１タイトル（年間５タイトル　委託）,,,,"2000/1タイトル
（年間5タイトル　
委託）",,439/回,有,"3,263",,,,,,,,
荒川区,"1,539",*,*,0,*,*,574,*,*,0,27,6,0,*,*,"2,146","1,058",＊,＊,0,＊,＊,"1,058",13,0,0,519,154,？,？,0,6,0,0,0,0,24,0,0,3,2,0,0,15,0,有,66,132,66,2,1,12,0,14,0,14,0,14,0,14,0,1,0,1,54,393,*,0,2,449,*,*,*,*,*,"4,710",*,*,*,*,*,"4,718",1000/h,1000/h,600/h,600/h,600/h,0/枚,,,有,"2,412",,,,,,,,
板橋区,3,27,0,0,0,0,1,8,0,0,1,0,0,40,0,80,0,321,2,2,114,9,448,0,94,43,1,74,33,4,0,4,16,34,0,0,8,2,0,0,2,1,0,4,0,0,407,803,407,6,0,28,0,17,0,0,0,0,0,0,0,0,0,0,0,19,0,151,280,450,0,0,0,0,0,0,0,1,0,0,0,1,500/ｈ,1000/ｈ,0,0,0,0,0,0,有,805,,,,,,,,
練馬区,"1,958",586,463,115,13,27,390,119,456,-,34,75,232,15,260,"4,743",85,"1,198","1,050",-,4,293,"2,630",‐,‐,"1,188",233,398,‐,241,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,無,954,"1,908",954,8,0,73,0,70,0,70,0,45,0,45,0,0,0,0,707,"3,755",-,293,0,"4,755",22,"2,488",-,6,-,"2,516",308,"1,449",-,0,-,"1,757",1000/h,300/10m,300/10m,300/10m,300/10m,－,－,‐,有,"7,762",,,,,,,,
足立区,135,0,"3,954",*,*,*,67,655,152,0,0,0,*,*,*,"4,963",0,96,0,0,0,0,96,0,0,0,0,208,14,0,0,5,0,3,0,0,1,1,0,0,0,1,1,29,0,有,61,121,61,1,3,7,0,7,0,7,0,7,0,7,0,0,0,0,-,"6,451",-,41,-,"6,492",-,34,-,0,-,34,-,"5,902",-,40,-,"5,942",1000/h,1500/90m,500/90m,1000/90m,500/90m,100/枚,－,‐,有,"2,048",,,,,,,,
葛飾区,81,0,0,0,0,0,223,18,106,25,36,78,0,0,124,691,"1,619",,,0,0,115,"1,734",0,264,9,0,"1,052",959,,0,10,0,0,0,0,1,1,1,0,11,2,1,5,0,有,115,224,117,3,0,35,0,35,0,35,0,35,0,35,0,20,0,20,81,748,302,"2,344",13,"3,488",0,28,0,15,0,43,0,25,0,0,0,25,1000/h,"５６/m（文字）
８４/m（図面）
（いずれも校正・編集込み）
",,,,"・点訳　　制作　　    ５０円/頁
　　　　　 校正　　    ４０円/頁
  ・データ入力校正　５０円/頁
　　　　　　　　",,0,有,"1,026",図書の貸し出し数はタイトル数で数えられないので所蔵数で計上。,,,,,,,
江戸川区,50,152,333,0,1,0,35,132,22,0,138,55,0,11,0,929,0,286,31,0,13,3,333,0,73,32,6,92,0,0,0,0,4,0,0,0,－,‐,‐,‐,2,‐,3,8,0,無,134,？,？,3,0,？,0,?,0,？,0,？,0,？,0,0,0,0,396,"6,921",2,328,776,"8,423",0,3,0,0,0,3,359,"6,318",2,224,25,"6,928",?,1500/h,600/h,600/h,?,?,?,‐,有,203,障害者サービス予算……資料費は含まない,,,,,,,
区合計,"13,945","1,281","10,200",608,58,27,"6,969","4,600","3,505",34,"1,140",772,914,224,395,"44,672","5,552","3,661","4,976",3,286,469,"14,947","2,964","1,010","2,316","3,042","6,023","1,883",606,8,132,28,145,0,0,50,19,10,11,49,14,9,235,8,17,"4,520","8,506","4,329",74,16,559,3,695,5,484,4,444,5,411,0,215,1,158,"3,172","79,387",374,"6,473","13,483","102,889",329,"11,702",6,172,155,"17,074","1,538","33,956",20,434,27,"40,693",,,,,,,,,17,"67,848",,,,,,,,
八王子市,134,*,*,0,0,0,380,*,*,0,0,0,3,*,*,517,"5,083",*,*,-,-,-,"5,083",0,0,0,0,171,?,？,0,2,0,0,0,7,0,0,0,0,0,0,0,3,0,有,435,870,799,4,0,111,0,*,0,*,0,*,0,*,0,10,0,*,244,"3,883",65,0,-,"4,192",0,"2,236",0,0,0,"2,236",30,"2,175",0,65,-,"2,270",500/ｈ,2000/1タイトル,*,*,*,200/冊,*,500/回,有,"1,137","〇貸出数は全て資料数にて計上。
〇デイジー図書貸出数は、雑誌・一般書の合計。
〇音訳者数はボランティア会員数にて計上。",,,,,,,
立川市,563,18,378,?,?,?,214,2,0,0,31,0,?,?,?,"1,206",871,*,*,?,?,?,871,0,?,48,42,47,?,?,3,2,0,8,0,0,1,0,1,0,1,0,0,6,0,有,31,65,31,1,0,1,0,66,0,50,0,22,0,22,0,7,0,7,211,"2,319",0,25,10,"2,565",1,20,0,0,25,46,210,"2,026",0,10,0,"2,246",658/30m,1411/30m,751/30m,751/30m,565/30m,377/枚,113/枚,　‐,有,"2,749",,,,,,,,
武蔵野市,885,2,302,0,0,0,551,5,91,0,505,75,0,0,1,"2,417",0,0,0,0,0,6,6,0,0,0,57,120,19,17,0,2,0,0,0,0,4,5,1,0,0,0,0,9,0,有,191,343,386,2,0,46,0,88,1,88,0,88,2,88,0,0,0,0,14,527,7,3,42,593,7,738,0,0,0,745,1,452,0,0,0,453,0,0,0,0,0,0,0,0,有,"1,846",,,,,,,,
三鷹市,788,0,"1,159",0,0,0,377,0,91,0,0,31,0,0,0,"2,446",247,*,*,0,0,0,247,0,62,133,55,61,5,27,0,2,0,0,0,0,0,0,0,1,3,0,0,6,4,有,137,228,230,1,0,23,0,2,0,0,0,2,0,2,0,0,0,0,2,217,0,0,0,219,3,149,0,0,0,152,2,190,0,0,0,192,400/h,800/h,-,500/h,800/h,-,-,-,有,"1,308",,,,,,,,
青梅市,0,0,0,0,0,0,94,47,416,0,115,0,0,0,0,672,0,715,111,0,1,2,829,0,?,?,29,60,2,2,0,0,0,9,0,0,0,0,7,0,2,0,1,6,0,有,47,90,57,1,1,21,0,25,0,5,0,20,0,5,0,7,0,7,0,540,0,71,0,611,0,0,0,0,0,0,6,342,0,0,0,348,764／ｈ,,,,,,,,無,748,※Ⅰ貸出・相互貸借　個人貸出の点字資料タイトル数は、蔵書数で計上。,,,,,,,
府中市,18,9,252,0,0,0,149,60,473,0,?,?,0,0,12,973,0,101,535,0,0,330,966,0,?,107,101,33,?,?,0,5,0,0,0,0,1,0,1,1,9,0,0,9,0,有,157,314,157,1,0,23,0,23,0,23,0,23,0,23,0,0,0,0,0,889,?,39,0,928,0,100,0,0,0,100,0,?,0,?,0,0,0,0,0,0,0,0,0,0,有,"1,106",蔵書数「その他」欄は、布の絵本の冊数を記入,,,,,,,
昭島市,398,136,88,1,0,0,82,154,25,0,29,0,1,0,0,914,0,54,22,0,0,0,76,0,17,15,44,,,,,,,,,,1,0,0,0,4,0,0,5,0,有,62,124,124,1,0,18,0,10,0,8,0,8,0,8,0,0,0,0,10,427,0,3,0,440,1,14,0,0,0,15,8,366,0,0,0,374,1980/h,3960/h,1980/h,1980/h,990/h,－,－,‐,有,,,,,,,,,
調布市,"2,412",3,2,0,0,0,"2,949",15,12,25,37,192,0,0,0,"5,647",68,29,16,0,0,3,116,?,?,?,431,290,189,?,11,0,0,0,0,0,0,0,10,0,0,3,0,25,5,有,105,191,105,1,11,10,0,33,0,11,1,23,1,10,0,24,0,24,100,"3,609",73,5,256,"4,043",87,545,0,0,0,632,4,"2,092",6,1,2,"2,105",1000/h,"2000/h(DAISY直接録音)
1800/h(テープ録音及びDR-1録音)","1000/h(DAISY直接録音)
900/h(テープ録音及びDR-1録音)",600/h,300/ｈ,"500/件
250/枚",120/枚,0,有,"5,502",,,,,,,,
