"年月[西暦]","調査項目","設問","調査回答者の属性種別","調査回答者の属性","調査数[人]","レジ袋[人]","ペットボトル[人]","お弁当などのプラスチック容器[人]","ストロースプーンフォークなど使い捨て食器類","うちわ、風船、ポケットティッシュなど配布物","その他[人]","特にない[人]","無回答[人]"
"202003","プラスチックごみ","Q22. あなたの今の暮らしの中で、最も不要だと感じている使い捨てプラスチック製品は何ですか。（１つ選択）","居住地区別","芝浦港南地区","164","22","11","15","34","48","1","14","19"
"202003","プラスチックごみ","Q22. あなたの今の暮らしの中で、最も不要だと感じている使い捨てプラスチック製品は何ですか。（１つ選択）","居住地区別","無回答","4","1","1","0","1","0","0","0","1"
"202003","プラスチックごみ","Q22. あなたの今の暮らしの中で、最も不要だと感じている使い捨てプラスチック製品は何ですか。（１つ選択）","住居形態別","持家（一戸建）","95","16","8","13","20","19","1","9","9"
"202003","プラスチックごみ","Q22. あなたの今の暮らしの中で、最も不要だと感じている使い捨てプラスチック製品は何ですか。（１つ選択）","住居形態別","持家（マンション）","302","39","14","27","72","68","5","32","45"
"202003","プラスチックごみ","Q22. あなたの今の暮らしの中で、最も不要だと感じている使い捨てプラスチック製品は何ですか。（１つ選択）","住居形態別","借家（一戸建）","7","1","1","1","1","2","0","0","1"
"202003","プラスチックごみ","Q22. あなたの今の暮らしの中で、最も不要だと感じている使い捨てプラスチック製品は何ですか。（１つ選択）","住居形態別","民間の賃貸マンション・アパート","171","23","4","19","35","52","5","15","18"
"202003","プラスチックごみ","Q22. あなたの今の暮らしの中で、最も不要だと感じている使い捨てプラスチック製品は何ですか。（１つ選択）","住居形態別","都営住宅・区営住宅・区立住宅","28","4","2","2","6","6","0","4","4"
"202003","プラスチックごみ","Q22. あなたの今の暮らしの中で、最も不要だと感じている使い捨てプラスチック製品は何ですか。（１つ選択）","住居形態別","ＵＲ（旧公団）・公社の賃貸住宅","18","1","2","2","4","5","0","1","3"
"202003","プラスチックごみ","Q22. あなたの今の暮らしの中で、最も不要だと感じている使い捨てプラスチック製品は何ですか。（１つ選択）","住居形態別","社宅・公務員宿舎","20","5","2","0","4","5","1","2","1"
"202003","プラスチックごみ","Q22. あなたの今の暮らしの中で、最も不要だと感じている使い捨てプラスチック製品は何ですか。（１つ選択）","住居形態別","寮・寄宿舎・住み込み・間借り","6","0","2","1","2","1","0","0","0"
"202003","プラスチックごみ","Q22. あなたの今の暮らしの中で、最も不要だと感じている使い捨てプラスチック製品は何ですか。（１つ選択）","住居形態別","その他","5","1","0","1","2","0","0","1","0"
"202003","プラスチックごみ","Q22. あなたの今の暮らしの中で、最も不要だと感じている使い捨てプラスチック製品は何ですか。（１つ選択）","住居形態別","無回答","6","1","1","1","2","0","0","0","1"
"202003","プラスチックごみ","Q22. あなたの今の暮らしの中で、最も不要だと感じている使い捨てプラスチック製品は何ですか。（１つ選択）","定住意向別","ずっと住み続けていたい","366","52","17","37","99","70","6","33","52"
"202003","プラスチックごみ","Q22. あなたの今の暮らしの中で、最も不要だと感じている使い捨てプラスチック製品は何ですか。（１つ選択）","定住意向別","当分は住んでいたい","224","29","17","23","37","66","3","26","23"
"202003","プラスチックごみ","Q22. あなたの今の暮らしの中で、最も不要だと感じている使い捨てプラスチック製品は何ですか。（１つ選択）","定住意向別","しばらくは住むつもりだが将来は区外に転居したい","42","3","1","5","10","13","2","4","4"
"202003","プラスチックごみ","Q22. あなたの今の暮らしの中で、最も不要だと感じている使い捨てプラスチック製品は何ですか。（１つ選択）","定住意向別","近いうちに区外に転居したいが、具体的な計画はない","2","0","0","0","0","2","0","0","0"
"202003","プラスチックごみ","Q22. あなたの今の暮らしの中で、最も不要だと感じている使い捨てプラスチック製品は何ですか。（１つ選択）","定住意向別","近いうちに区外に転居する予定である","9","3","0","1","0","4","0","0","1"
"202003","プラスチックごみ","Q22. あなたの今の暮らしの中で、最も不要だと感じている使い捨てプラスチック製品は何ですか。（１つ選択）","定住意向別","わからない","14","4","0","1","2","3","1","1","2"
"202003","プラスチックごみ","Q22. あなたの今の暮らしの中で、最も不要だと感じている使い捨てプラスチック製品は何ですか。（１つ選択）","定住意向別","無回答","1","0","1","0","0","0","0","0","0"

"第32回港区民世論調査クロス集計表・プラスチックごみQ22","Ver202003",,,,,,,,,,,,
