総平均・大類別/類別/品目数/ウエイト,西暦（年）,月,総平均,総平均/対前年(月)比（％）,総平均/対前年同月比（％）,工業製品,工業製品/加工食品,工業製品/繊維製品,工業製品/製材・木製品,工業製品/パルプ・紙・同製品,工業製品/化学製品,工業製品/プラスチック製品,工業製品/石油・石炭製品,工業製品/窯業・土石製品,工業製品/鉄鋼,工業製品/非鉄金属,工業製品/金属製品,工業製品/一般機器,工業製品/電気機器,工業製品/情報通信機器,工業製品/電子部品・デバイス,工業製品/輸送用機器,工業製品/精密機器,工業製品/その他工業製品,農林水産物,鉱産物,電力都市ガス水道,スクラップ類,（参考）輸出物価指数,（参考）輸入物価指数
平成21年度平均,2009,,102.6,-5.2,　　　-,102.5,106.8,105.8,104,112.3,101.8,106.8,107.8,110.7,115.2,115.2,106.8,100.1,93.2,72.4,82.4,104.2,99.1,102.6,96.2,112.8,104.4,116.4,88.7,101.5
平成22年度平均,2010,,103.3,0.7,,103.1,107.8,108,107,110.3,102,106.1,121.8,111,121,128.3,106,99.5,89.9,67.5,78.5,102.4,98.5,100.7,96,116.2,105.3,146.1,85.9,108.3
平成22年８月,2010,8,102.8,0.1,0,102.4,105.9,106.2,107,110.6,101,106.5,116.5,110.8,121,122.4,106.3,99.4,90.3,68.2,79.1,102.2,98.4,100.6,95.5,116.2,110.3,132,84.2,103.9
平成22年９月,2010,9,102.7,-0.1,-0.2,102.3,106.1,107.4,106.9,110.3,100.8,106,113.8,111.1,121.7,124.2,105.8,99.5,90.2,68,78.8,102.2,98.6,100.7,96.8,116.1,110.8,138,84,103.8
平成22年10月,2010,10,103,0.3,0.9,102.9,109.7,108.6,106.9,110.1,101.2,105.9,115.6,111.2,122.3,126.3,106.3,99.6,89.4,67.8,78.4,102.3,98.2,100.2,93.6,116.2,105.9,131,83.4,102.3
平成22年11月,2010,11,103,0,0.9,102.9,109.5,109.2,107,110.1,101.2,105.8,116.6,111.2,121.9,128.3,106.2,99.7,89.3,67.3,78,102.3,98.2,100.3,94.8,116,105,135.1,84.3,105.2
平成22年12月,2010,12,103.4,0.4,1.2,103.2,109.4,109.2,107,109.9,101.3,105.6,120.6,111.2,122.3,132.2,105.9,99.5,89.5,67.2,77.9,102.5,98.3,100.2,97.2,116.3,104.3,149.2,85.2,108.3
平成23年１月,2011,1,103.9,0.5,1.5,103.9,109.6,108.9,107.3,109.9,102.6,105.4,127.6,111.2,123,134.7,105.7,99.7,89.1,66.5,77.3,102.5,98.5,101,94,116.3,103.7,158.9,85.3,111.1
平成23年２月,2011,2,104.1,0.2,1.7,104,109.7,109.6,107.8,109.8,103.1,105.4,128.7,111,123.5,137,105.5,99.5,88.9,65.6,77,102.5,98.3,101,96.6,116.3,103.2,164.6,86.2,113.2
平成23年３月,2011,3,104.7,0.6,2,104.6,110,110.8,108.6,109.9,103.8,105.1,136.1,111.2,124,136.5,106.1,99.5,88.7,65.4,77.2,102.6,98.4,101.1,96.7,116.7,103.3,162.1,86,115.1
平成23年４月,2011,4,105.6,0.9,2.5,105.5,110,111.6,110.9,110.1,105.5,105.7,144.4,111.1,124.6,139.2,107.7,99.1,88.8,65.1,77.3,102.7,98.1,101.8,98.5,118.1,104.5,163.3,87.9,122
平成23年５月,2011,5,105.4,-0.2,2.2,105.3,110.1,111.1,111.3,110.3,106.2,106.1,143.5,111,124.8,134.6,107.8,99.2,88.4,64.1,77.2,102.6,97.7,101.9,97.1,115,105.6,156.8,86.2,122.4
平成23年６月,2011,6,105.4,0.1,2.5,105.3,109.9,110.6,111.4,110.3,106.4,106.7,141.5,110.9,125.7,134.2,107.6,99.5,88.3,63.8,77,102.5,98.1,102.2,97.2,114.7,107.1,154,85.7,120.4
平成23年７月,2011,7,105.7,0.2,2.9,105.3,110.1,109.9,111.3,110.3,106.2,106.9,139.6,111.1,125.7,136.2,108,99.5,88.4,63.7,76.7,102.5,98.1,102.6,95.7,114.7,113.3,154.6,84.6,119.8
平成23年8月注1),2011,8,105.5,-0.2,2.6,105,110.1,110.1,111,110.3,106.4,107,137.5,111.2,125.7,133,107.5,99.4,88.5,63.1,76.7,102.4,98.1,102.6,95.7,114.7,115,149.7,83.1,116.9
対前月比(%),,,-0.2,　　　-,　　　-,-0.3,0,0.2,-0.3,0,0.2,0.1,-1.5,0.1,0,-2.3,-0.5,-0.1,0.1,-0.9,0,-0.1,0,0,0,0,1.5,-3.2,-1.8,-2.4
対前年同月比(%),,,2.6,　　　-,　　　-,2.5,4,3.7,3.7,-0.3,5.3,0.5,18,0.4,3.9,8.7,1.1,0,-2,-7.5,-3,0.2,-0.3,2,0.2,-1.3,4.3,13.4,-1.3,12.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京の物価／平成23年9月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
参考表２　国内企業物価指数〔総平均・大類別・類別指数〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料　日本銀行調査統計局,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注 1)  最新月の数値は速報値のため、後日訂正される場合がある。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
２００５年＝１００／（平成１７年平均＝１００）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
