総平均・大類別/類別/品目数/ウエイト,西暦（年）,月,総平均,総平均/対前年(月)比（％）,総平均/対前年同月比（％）,工業製品,工業製品/加工食品,工業製品/繊維製品,工業製品/製材・木製品,工業製品/パルプ・紙・同製品,工業製品/化学製品,工業製品/プラスチック製品,工業製品/石油・石炭製品,工業製品/窯業・土石製品,工業製品/鉄鋼,工業製品/非鉄金属,工業製品/金属製品,工業製品/一般機器,工業製品/電気機器,工業製品/情報通信機器,工業製品/電子部品・デバイス,工業製品/輸送用機器,工業製品/精密機器,工業製品/その他工業製品,農林水産物,鉱産物,電力都市ガス水道,スクラップ類,（参考）輸出物価指数,（参考）輸入物価指数
平成21年度平均,2009,,102.6,-5.2,　　　-,102.5,106.8,105.8,104,112.3,101.8,106.8,107.8,110.7,115.2,115.2,106.8,100.1,93.2,72.4,82.4,104.2,99.1,102.6,96.2,112.8,104.4,116.4,88.7,101.5
平成22年度平均,2010,,103.3,0.7,,103.1,107.8,108,107,110.3,102,106.1,121.8,111,121,128.3,106,99.5,89.9,67.5,78.5,102.4,98.5,100.7,96,116.2,105.3,146.1,85.9,108.3
平成22年11月,2010,11,103,0,0.9,102.9,109.4,109.3,106.7,110.1,101.3,105.4,116.6,111,122.1,128.3,106.6,99.5,89.2,67.5,78,102.4,97.8,100.9,94.8,112.9,104.9,135.1,84.3,105.2
平成22年12月,2010,12,103.4,0.4,1.2,103.3,109.4,109.2,106.9,109.9,101.3,105.2,120.6,111,122.3,132.2,106.3,99.3,89.3,67.7,77.9,102.5,98,101,97.3,113,104.2,149.2,85.2,108.3
平成23年１月,2011,1,104,0.6,1.6,103.9,109.5,109,107.2,109.9,102.9,105.1,127.9,111,123,134.7,106.4,99.5,88.7,66.9,77.3,102.5,97.9,101.7,94,113.5,103.6,158.9,85.3,111.3
平成23年２月,2011,2,104.1,0.1,1.7,104.1,109.6,109.8,107.5,109.9,103.4,104.8,129,110.9,123.5,137.1,106.1,99.4,88.8,65.7,77.1,102.5,97.8,101.6,96.6,113.5,103,164.6,86.2,113.4
平成23年３月,2011,3,104.7,0.6,2,104.7,110.1,110.8,108.5,109.8,104.1,104.9,136.4,111,123.9,136.6,106.2,99.4,88.6,65.6,77.2,102.7,97.9,101.7,96.7,113.7,103.2,161.8,86.1,115.2
平成23年４月,2011,4,105.7,1,2.6,105.6,110.1,111.6,110.7,110.1,105.6,105.5,143.5,111.1,125.7,139.2,107.8,99.3,89,65.4,77.3,102.7,97.5,102.3,98.6,114.3,104.4,163.3,88,122.1
平成23年５月,2011,5,105.5,-0.2,2.2,105.4,110,111.2,111.3,110.3,106.3,106.1,142.8,111.1,126.5,134.6,108,99.2,88.6,64,77.2,102.6,97.4,102.2,97.2,114.6,105.4,156.8,86.2,122.5
平成23年６月,2011,6,105.5,0,2.5,105.4,109.9,110.6,111.4,110.3,106.5,106.7,140.9,111,126.4,134.2,107.8,99.4,88.5,64,77,102.6,97.7,102.4,97.3,114.4,107,154,85.7,120.4
平成23年７月,2011,7,105.7,0.2,2.8,105.3,110.1,110,111.3,110.3,106.3,106.9,139.2,111,126.9,136.3,108.2,99.4,88.4,63.5,76.7,102.6,97.8,102.6,95.6,114.2,113.2,154.6,84.5,119.8
平成23年８月,2011,8,105.5,-0.2,2.6,105.1,110.1,110.4,111,110.3,106.5,107,136.6,111.1,126.8,133.3,107.4,99.3,88.3,63.4,77,102.4,97.8,102.6,95.5,115.3,114.9,149.2,83.1,117.3
平成23年９月,2011,9,105.4,-0.1,2.5,104.8,110.4,111.4,111.1,110.4,106.2,106.9,133.4,111.3,127.1,130,107.3,99.4,88.3,63.5,77,102.3,97.5,102.7,94.3,115.8,116.3,148.4,82.3,115
平成23年10月,2011,10,104.6,-0.7,1.7,104.3,110.1,111.8,110.9,110.6,105.5,106.8,130.6,111.4,127,122.2,107.7,99.1,88.4,62.8,76.8,102.2,97.4,102.4,93.4,115.3,113.3,135.4,81.5,114.3
平成23年11月注1),2011,11,104.7,0.1,1.7,104.3,110,111.2,110.1,111.2,105.3,106.7,133.1,111.5,126.3,122.9,107.5,98.8,88.4,61.6,76.7,102.1,97.2,102.3,95.4,115.3,114.2,125.7,81.6,114.3
対前月比(%),,,0.1,　　　-,　　　-,0,-0.1,-0.5,-0.7,0.5,-0.2,-0.1,1.9,0.1,-0.6,0.6,-0.2,-0.3,0,-1.9,-0.1,-0.1,-0.2,-0.1,2.1,0,0.8,-7.2,0.1,0
対前年同月比(%),,,1.7,　　　-,　　　-,1.4,0.5,1.7,3.2,1,3.9,1.2,14.2,0.5,3.4,-4.2,0.8,-0.7,-0.9,-8.7,-1.7,-0.3,-0.6,1.4,0.6,2.1,8.9,-7,-3.2,8.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京の物価／平成23年12月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
参考表２　国内企業物価指数〔総平均・大類別・類別指数〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料　日本銀行調査統計局,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注 1)  最新月の数値は速報値のため、後日訂正される場合がある。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
２００５年＝１００／（平成１７年平均＝１００）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
