項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年増加率（％）,都平均／持家／実数（円）,都平均／持家／構成比（％）,300万円未満／実数（円）,300万円未満／構成比（％）,300万円未満／持家／実数（円）,300万円未満／持家／構成比（％）,300万円以上／実数（円）,300万円以上／構成比（％）,300万円以上／持家／実数（円）,300万円以上／持家／構成比（％）,（再掲）持家以外／実数（円）,（再掲）持家以外／構成比（％）
2,6,2,2,1,設備材料,4920,1.9,-24.3,5269,2,2993,1.6,3005,1.6,5582,2,5967,2.2,962,0.5
2,6,2,2,2,工事その他のサービス,12994,5.1,15.7,13927,5.4,3795,2.1,4018,2.1,15980,5.8,16945,6.1,1863,0.9
2,4,3,0,0,光熱・水道,20297,8,-8.7,20601,8,16233,8.8,16549,8.8,21679,7.9,21873,7.9,16604,8.1
2,5,3,1,0,電気代,9148,3.6,-14.4,9368,3.6,7282,3.9,7468,4,9803,3.6,9979,3.6,6234,3
2,5,3,2,0,ガス代,5597,2.2,-7,5616,2.2,4507,2.4,4514,2.4,5951,2.2,5945,2.1,5430,2.6
2,5,3,3,0,他の光熱,446,0.2,1.8,459,0.2,377,0.2,382,0.2,470,0.2,485,0.2,305,0.1
2,5,3,4,0,上下水道料,5107,2,0.6,5158,2,4067,2.2,4184,2.2,5455,2,5463,2,4635,2.3
2,4,4,0,0,家具・家事用品,11282,4.5,-1.2,11796,4.6,7069,3.8,7557,4,12563,4.6,13017,4.7,5320,2.6
2,5,4,1,0,家庭用耐久財,4091,1.6,-0.1,4375,1.7,1756,1,1968,1,4796,1.7,5064,1.8,785,0.4
2,6,4,1,1,家事用耐久財,2006,0.8,-22,2146,0.8,1293,0.7,1441,0.8,2201,0.8,2329,0.8,489,0.2
2,6,4,1,2,冷暖房用器具,1749,0.7,34,1875,0.7,378,0.2,429,0.2,2185,0.8,2310,0.8,207,0.1
2,6,4,1,3,一般家具,336,0.1,55.6,353,0.1,85,0,98,0.1,410,0.1,425,0.2,89,0
2,5,4,2,0,室内装備・装飾品,578,0.2,11.8,611,0.2,469,0.3,510,0.3,608,0.2,637,0.2,163,0.1
2,5,4,3,0,寝具類,735,0.3,-7.7,768,0.3,423,0.2,454,0.2,829,0.3,859,0.3,335,0.2
2,5,4,4,0,家事雑貨,1883,0.7,-5,1937,0.8,1431,0.8,1538,0.8,2027,0.7,2059,0.7,1200,0.6
2,5,4,5,0,家事用消耗品,2967,1.2,-6.2,3004,1.2,2473,1.3,2506,1.3,3115,1.1,3144,1.1,2601,1.3
2,5,4,6,0,家事サービス,1029,0.4,19.4,1102,0.4,517,0.3,580,0.3,1188,0.4,1255,0.5,234,0.1
2,4,5,0,0,被服及び履物,6594,2.6,7.1,6885,2.7,3542,1.9,3807,2,7543,2.7,7779,2.8,2881,1.4
2,5,5,1,0,和服,284,0.1,...,305,0.1,21,0,22,0,366,0.1,385,0.1,-,-
2,5,5,2,0,洋服,2256,0.9,1.3,2330,0.9,1163,0.6,1255,0.7,2604,0.9,2650,1,1243,0.6
2,6,5,2,1,男子用洋服,948,0.4,-1.4,981,0.4,338,0.2,361,0.2,1152,0.4,1171,0.4,492,0.2
2,6,5,2,2,婦人用洋服,1292,0.5,6,1333,0.5,821,0.4,894,0.5,1434,0.5,1459,0.5,738,0.4
2,6,5,2,3,子供用洋服,16,0,-66,16,0,4,0,-,-,20,0,21,0,13,0
2,5,5,3,0,シャツ・セーター類,1411,0.6,20.3,1483,0.6,728,0.4,804,0.4,1613,0.6,1672,0.6,510,0.2
2,6,5,3,1,男子用シャツ・セーター類,415,0.2,18.9,441,0.2,171,0.1,187,0.1,486,0.2,510,0.2,107,0.1
2,6,5,3,2,婦人用シャツ・セーター類,989,0.4,20.9,1035,0.4,557,0.3,617,0.3,1118,0.4,1152,0.4,403,0.2
2,6,5,3,3,子供用シャツ・セーター類,7,0,16.7,7,0,-,-,-,-,9,0,10,0,-,-
2,5,5,4,0,下着類,838,0.3,-5.1,875,0.3,556,0.3,576,0.3,929,0.3,965,0.3,393,0.2
2,6,5,4,1,男子用下着類,332,0.1,0.6,349,0.1,246,0.1,267,0.1,365,0.1,380,0.1,129,0.1
2,6,5,4,2,婦人用下着類,500,0.2,-8.6,519,0.2,308,0.2,309,0.2,557,0.2,577,0.2,262,0.1
2,6,5,4,3,子供用下着類,6,0,0,6,0,1,0,-,-,7,0,7,0,3,0
2,5,5,5,0,生地・糸類,136,0.1,-3.5,142,0.1,96,0.1,94,0,152,0.1,160,0.1,76,0
2,5,5,6,0,他の被服,486,0.2,-11,509,0.2,322,0.2,349,0.2,531,0.2,551,0.2,223,0.1
2,5,5,7,0,履物類,840,0.3,8.8,881,0.3,443,0.2,468,0.2,958,0.3,996,0.4,341,0.2
2,5,5,8,0,被服関連サービス,344,0.1,-14.9,361,0.1,214,0.1,239,0.1,390,0.1,402,0.1,95,0
2,4,6,0,0,保健医療,18792,7.4,-8.2,19281,7.5,14356,7.8,14959,8,20161,7.3,20511,7.4,12182,5.9
2,5,6,1,0,医薬品,3356,1.3,-5.9,3456,1.3,2983,1.6,3213,1.7,3461,1.3,3513,1.3,2061,1
2,5,6,2,0,健康保持用摂取品,1520,0.6,-12.7,1615,0.6,814,0.4,911,0.5,1746,0.6,1827,0.7,352,0.2
2,5,6,3,0,保健医療用品・器具,2482,1,-7.4,2534,1,1476,0.8,1544,0.8,2785,1,2815,1,1749,0.9
2,5,6,4,0,保健医療サービス,11434,4.5,-8.4,11677,4.5,9083,4.9,9292,4.9,12169,4.4,12355,4.5,8019,3.9
2,4,7,0,0,交通・通信,20104,7.9,-21.1,20473,8,13216,7.2,13467,7.2,22235,8.1,22514,8.1,15494,7.5
2,5,7,1,0,交通,2858,1.1,9.1,3015,1.2,1886,1,1914,1,3179,1.2,3352,1.2,1185,0.6
2,5,7,2,0,自動車等関係費,7189,2.8,-42.3,7421,2.9,3627,2,3909,2.1,8251,3,8406,3,4440,2.2
2,6,7,2,1,自動車等購入,-,-,-100,-,-,-,-,-,-,-,-,-,-,-,-
2,6,7,2,2,自転車購入,422,0.2,67.5,459,0.2,188,0.1,200,0.1,489,0.2,530,0.2,68,0
2,6,7,2,3,自動車等維持,6767,2.7,-15.5,6962,2.7,3439,1.9,3709,2,7762,2.8,7876,2.8,4372,2.1
2,5,7,3,0,通信,10056,4,-3.3,10037,3.9,7703,4.2,7645,4.1,10804,3.9,10756,3.9,9869,4.8
2,4,8,0,0,教育,2351,0.9,39.6,1894,0.7,5617,3,4481,2.4,1267,0.5,1124,0.4,9238,4.5
2,5,8,1,0,授業料等,2082,0.8,35.9,1619,0.6,5425,2.9,4322,2.3,986,0.4,823,0.3,8972,4.4
2,5,8,2,0,教科書・学習参考教材,19,0,-34.5,20,0,47,0,55,0,8,0,9,0,-,-
2,5,8,3,0,補習教育,250,0.1,103.3,255,0.1,145,0.1,104,0.1,273,0.1,293,0.1,265,0.1
2,4,9,0,0,教養娯楽,24759,9.8,-0.9,25749,10,16473,8.9,17494,9.3,27205,9.9,28020,10.1,13313,6.5
2,5,9,1,0,教養娯楽用耐久財,1623,0.6,-38.7,1599,0.6,441,0.2,495,0.3,2003,0.7,1936,0.7,1582,0.8
2,5,9,2,0,教養娯楽用品,4732,1.9,-0.9,4844,1.9,4146,2.2,4356,2.3,4907,1.8,4976,1.8,3506,1.7
2,5,9,3,0,書籍・他の印刷物,4490,1.8,1.1,4678,1.8,3522,1.9,3690,2,4792,1.7,4960,1.8,2298,1.1
2,5,9,4,0,教養娯楽サービス,13915,5.5,6.1,14629,5.7,8364,4.5,8953,4.8,15504,5.6,16147,5.8,5928,2.9
2,6,9,4,1,宿泊料,845,0.3,23.2,920,0.4,209,0.1,208,0.1,1026,0.4,1110,0.4,60,0
2,6,9,4,2,パック旅行費,1133,0.4,-15.9,1204,0.5,504,0.3,531,0.3,1293,0.5,1364,0.5,352,0.2
2,6,9,4,3,月謝類,1773,0.7,-8.6,1853,0.7,1469,0.8,1651,0.9,1843,0.7,1889,0.7,874,0.4
2,6,9,4,4,他の教養娯楽サービス,10164,4,11.1,10653,4.1,6182,3.4,6563,3.5,11342,4.1,11785,4.2,4642,2.3
2,4,10,0,0,その他の消費支出,46466,18.3,1.2,48670,18.9,32029,17.4,35019,18.6,51183,18.6,52851,19.1,20050,9.8
2,5,10,1,0,諸雑費,20670,8.2,6.5,21262,8.3,13377,7.3,14179,7.5,22945,8.4,23343,8.4,13075,6.4
2,6,10,1,1,理美容サービス,3111,1.2,4.3,3246,1.3,1978,1.1,2223,1.2,3456,1.3,3536,1.3,1632,0.8
2,6,10,1,2,理美容用品,3997,1.6,5,4136,1.6,2458,1.3,2593,1.4,4489,1.6,4597,1.7,2306,1.1
2,6,10,1,3,身の回り用品,1120,0.4,31.1,1165,0.5,706,0.4,791,0.4,1262,0.5,1291,0.5,457,0.2
2,6,10,1,4,たばこ,676,0.3,-0.4,479,0.2,1064,0.6,714,0.4,522,0.2,382,0.1,2974,1.4
2,6,10,1,5,他の諸雑費,11767,4.6,6.1,12237,4.8,7171,3.9,7858,4.2,13216,4.8,13536,4.9,5706,2.8
2,5,10,2,0,こづかい,5674,2.2,-6.2,5968,2.3,3419,1.9,3606,1.9,6410,2.3,6681,2.4,1953,0.9
2,5,10,3,0,交際費,18084,7.1,-6.8,19216,7.5,13509,7.3,15253,8.1,19629,7.2,20472,7.4,4957,2.4
2,6,10,3,0,食料,4217,1.7,-4.4,4503,1.8,2538,1.4,2857,1.5,4714,1.7,4963,1.8,1121,0.5
2,6,10,3,0,家具・家事用品,154,0.1,90.1,141,0.1,74,0,82,0,175,0.1,155,0.1,289,0.1
2,6,10,3,0,被服及び履物,344,0.1,13.5,363,0.1,182,0.1,208,0.1,396,0.1,411,0.1,118,0.1
2,6,10,3,0,教養娯楽,686,0.3,-13.9,736,0.3,343,0.2,396,0.2,775,0.3,820,0.3,134,0.1
2,6,10,3,0,他の物品サービス,329,0.1,-5.7,354,0.1,249,0.1,273,0.1,351,0.1,373,0.1,43,0
2,6,10,3,6,贈与金,8855,3.5,-14.2,9383,3.6,6873,3.7,7826,4.2,9596,3.5,9932,3.6,2576,1.3
2,6,10,3,7,他の交際費,3498,1.4,11.3,3735,1.5,3250,1.8,3612,1.9,3623,1.3,3818,1.4,676,0.3
2,5,10,4,0,仕送り金,2038,0.8,94.5,2223,0.9,1723,0.9,1981,1.1,2199,0.8,2355,0.8,66,0
2,3,0,0,0,土地家屋購入,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,3,0,0,0,（再掲）教育関係費,3040,1.2,40.5,2616,1,5960,3.2,4843,2.6,2082,0.8,1964,0.7,9476,4.6
2,3,0,0,0,（再掲）教養娯楽関係費,26433,10.4,-0.3,27555,10.7,17789,9.6,18945,10.1,28982,10.6,29919,10.8,13541,6.6
2,3,0,0,0,（再掲）移転支出（贈与金＋仕送り金）,10894,4.3,-4.2,11606,4.5,8597,4.7,9807,5.2,11795,4.3,12287,4.4,2641,1.3
2,3,0,0,0,（再掲）経常消費支出,193092,76.3,-1.5,194615,75.7,147601,80,150198,79.9,206945,75.4,207351,74.7,174250,84.8
2,3,0,0,0,（再掲）情報通信関係費,14289,5.6,-0.8,14417,5.6,11226,6.1,11337,6,15279,5.6,15360,5.5,12503,6.1
2,3,0,0,0,（再掲）消費支出（除く住居等）　１）,219133,86.5,-2.7,224668,87.3,163517,88.6,169485,90.1,236054,86,240436,86.7,153211,74.5
2,2,0,0,0,その他の実支出,39396,-,6.2,41470,-,19237,-,21278,-,45634,-,47383,-,13749,-
2,3,0,0,0,直接税,17018,-,1.2,18091,-,6804,-,7575,-,20080,-,21124,-,3518,-
2,4,0,0,0,勤労所得税,761,-,59.2,788,-,11,-,12,-,999,-,1020,-,353,-
2,4,0,0,0,個人住民税,5782,-,13.1,6075,-,947,-,1057,-,7258,-,7538,-,2113,-
2,4,0,0,0,他の税,10475,-,-6.6,11227,-,5847,-,6506,-,11823,-,12566,-,1052,-
2,3,0,0,0,社会保険料,22371,-,10.4,23376,-,12433,-,13703,-,25544,-,26254,-,10183,-
2,4,0,0,0,公的年金保険料,3631,-,60,3655,-,2482,-,2720,-,4012,-,3933,-,3005,-
2,4,0,0,0,健康保険料,12200,-,6.2,12823,-,5676,-,6250,-,14319,-,14819,-,4752,-
2,4,0,0,0,介護保険料,6471,-,0.2,6829,-,4271,-,4729,-,7123,-,7413,-,2371,-
2,4,0,0,0,他の社会保険料,69,-,53.3,69,-,3,-,3,-,90,-,89,-,56,-
2,3,0,0,0,その他,7,-,-30,4,-,-,-,-,-,10,-,5,-,49,-
2,1,0,0,0,実支出以外の支払(繰越金を除く),322991,-,-7.9,336798,-,186738,-,195960,-,364906,-,377372,-,157880,-
2,2,0,0,0,預貯金,265928,-,-4.8,277129,-,156528,-,163231,-,299472,-,309779,-,132420,-
2,2,0,0,0,保険料,6991,-,-55.3,7332,-,4857,-,5331,-,7653,-,7905,-,2914,-
2,3,0,0,0,個人・企業年金保険料,851,-,-25.8,922,-,801,-,883,-,823,-,882,-,-,-
2,3,0,0,0,他の保険料,6140,-,-57.6,6410,-,4056,-,4448,-,6831,-,7024,-,2914,-
2,2,0,0,0,有価証券購入,506,-,-49,556,-,39,-,44,-,635,-,691,-,-,-
2,2,0,0,0,土地家屋借金返済,3396,-,18,3611,-,1508,-,1722,-,4092,-,4258,-,858,-
2,2,0,0,0,他の借金返済,173,-,-54.2,175,-,76,-,21,-,196,-,210,-,131,-
2,2,0,0,0,クレジット購入借入金返済,45279,-,-10.9,47324,-,23478,-,25330,-,51984,-,53730,-,20202,-
2,2,0,0,0,実支出以外の支払のその他,718,-,-4.9,671,-,254,-,280,-,874,-,798,-,1355,-
2,1,0,0,0,繰越金,84178,-,1.4,87291,-,62970,-,63134,-,90838,-,94374,-,51842,-
3,0,0,0,0,可処分所得,195835,-,-12.5,202658,-,130536,-,134432,-,215995,-,222310,-,113447,-
3,0,0,0,0,黒字,-57388,-,-43.5,-54588,-,-53929,-,-53632,-,-58531,-,-55103,-,-92134,-
3,1,0,0,0,金融資産純増,-24602,-,-222.3,-21330,-,-25698,-,-24893,-,-24614,-,-20838,-,-65674,-
3,3,0,0,0,貯蓄純増,-24989,-,-193.8,-21759,-,-25736,-,-24937,-,-25074,-,-21345,-,-65674,-
3,4,0,0,0,預貯金純増,8166,-,46,12972,-,-17120,-,-15576,-,15364,-,20424,-,-50104,-
3,4,0,0,0,保険純増,-33155,-,-135.2,-34731,-,-8616,-,-9361,-,-40437,-,-41769,-,-15570,-
3,3,0,0,0,有価証券純購入,387,-,-55.5,429,-,39,-,44,-,460,-,507,-,-,-
3,1,0,0,0,土地家屋借金純減,3396,-,18,3611,-,1508,-,1722,-,4092,-,4258,-,858,-
3,1,0,0,0,他の借金純減,-1166,-,...,-998,-,-720,-,21,-,-1300,-,-1271,-,-2725,-
3,1,0,0,0,クレジット購入借入金純減,-14932,-,-23.5,-15470,-,-9105,-,-9264,-,-16569,-,-17085,-,-8450,-
3,1,0,0,0,土地家屋純増,-,-,-100,-,-,-,-,-,-,-,-,-,-,-,-
3,1,0,0,0,その他の純増,179,-,88.4,163,-,190,-,206,-,126,-,107,-,315,-
3,1,0,0,0,繰越純増,-20263,-,1.6,-20563,-,-20104,-,-21425,-,-20265,-,-20274,-,-16457,-
,,,,,,,,,,,,,,,,,,,,
東京都生計分析調査　令和 3年,,,,,,,,,,,,,,,,,,,,
第３０表　年間収入区分別及び住居所有形態別１世帯当たり年平均１か月間の収入と用途別生計支出　―　無職世帯　―,,,,,,,,,,,,,,,,,,,,
注）　１）は、「住居」のほか、「自動車等購入」、「贈与金」、「仕送り金」を除いたもの。,,,,,,,,,,,,,,,,,,,,
項目（0：世帯数等　1：受取　2：支払　3：可処分所得等）,,,,,,,,,,,,,,,,,,,,
