項目名,全世帯／実数（円）,全世帯／対前年増加率／名目（％）,全世帯／対前年増加率／実質（％）,勤労者世帯／実数（円）,勤労者世帯／対前年増加率／名目（％）,勤労者世帯／対前年増加率／実質（％）
乳製品,1927,-1,0,1930,-3.7,-2.7
卵,850,1.4,-1,855,2.8,0.4
野菜・海藻,8793,-4.8,-3.2,8076,-4.7,-3.1
生鮮野菜,5893,-5.2,-2.5,5513,-5,-2.3
乾物・海藻,703,-6,-6.6,617,-6.2,-6.8
大豆加工品,1099,-4.2,-4.5,994,-4.1,-4.4
他の野菜・海藻加工品,1098,-2.7,-3.5,951,-2.4,-3.2
果物,3035,0.4,2.1,2380,0.1,1.8
生鮮果物,2735,0.3,1.7,2096,-0.2,1.2
果物加工品,300,0.7,5.7,285,2.5,7.6
油脂・調味料,3823,-2.1,-2.3,3858,-1.5,-1.7
油脂,405,-2.4,-8.3,394,0,-6
調味料,3418,-2.1,-1.5,3465,-1.6,-1
菓子類,6469,3.3,2.3,7168,4.1,3.1
調理食品,11363,5.6,5.3,11748,5.7,5.4
主食的調理食品,4802,6.9,6.5,4998,6.4,6
他の調理食品,6561,4.7,4.5,6751,5.3,5.1
飲料,4953,1.8,1.5,5292,2,1.7
茶類,1101,-1,-0.3,1114,-0.2,0.5
コーヒー・ココア,1014,3,3.2,1095,3.2,3.4
他の飲料,2838,2.5,1.6,3083,2.4,1.5
酒類,3601,-2.7,-2.5,3665,-4.8,-4.6
外食,9380,-2.2,-2.5,12282,-3,-3.3
一般外食,8536,-3.6,-3.9,10852,-4.9,-5.2
学校給食,844,15,15.1,1430,14.3,14.4
住居,18329,5.6,3.5,19848,5.4,3.3
家賃地代,8743,6.9,7,12208,5.3,5.4
設備修繕・維持,9586,4.4,0.7,7639,5.7,1.9
設備材料,3276,6.2,6,2496,-1,-1.2
工事その他のサービス,6310,3.4,-1.6,5144,9.2,3.9
光熱・水道,21530,-1.4,-2.7,21448,-1.1,-2.4
電気代,10317,-3.3,-3.4,10272,-3.4,-3.5
ガス代,4648,-1.7,-1.1,4720,-0.5,0.1
他の光熱,1153,-2.4,-14.7,853,-5.3,-17.2
上下水道料,5412,3,0.5,5604,3.4,0.9
家具・家事用品,11932,-4.8,-6.4,12720,-4.8,-6.4
家庭用耐久財,3968,-8.7,-10.6,4127,-10,-11.9
家事用耐久財,2110,-6.6,-6,2199,-10.8,-10.3
冷暖房用器具,1399,-3.6,-9.7,1360,-7.3,-13.1
一般家具,459,-27.6,-28.5,569,-13.3,-14.3
室内装備・装飾品,669,4.5,4,702,5.9,5.4
寝具類,810,-6.9,-6.7,882,2.9,3.1
家事雑貨,2293,-0.8,-1.6,2693,1.1,0.3
家事用消耗品,3370,-3.3,-5.9,3672,-3.4,-6
家事サービス,822,-7.4,-7.5,642,-19,-19.1
被服及び履物,8709,-1,-1.4,10463,-1.8,-2.2
和服,161,45,45.4,90,-30.8,-30.6
洋服,3383,-2.6,-3.9,4297,-2.2,-3.6
男子用洋服,1114,2.5,0.2,1391,1.5,-0.8
婦人用洋服,1894,-3.8,-5.1,2280,-2.4,-3.7
子供用洋服,374,-10.5,-9.9,625,-8.9,-8.3
シャツ・セーター類,1733,1.9,2,2025,1,1.1
男子用シャツ・セーター類,553,2.6,2.5,662,3.8,3.7
婦人用シャツ・セーター類,1045,2.8,3,1136,0.4,0.6
子供用シャツ・セーター類,135,-6.3,-6.4,227,-3.8,-3.9
下着類,915,-0.2,-0.1,1018,3.4,3.5
男子用下着類,285,2.2,2.7,275,7.4,7.9
婦人用下着類,530,0,0,577,5.1,5.1
子供用下着類,99,-8.3,-8.4,166,-8.3,-8.4
生地・糸類,108,-22.3,-,97,-24.8,-
他の被服,695,-1.8,-1.2,829,-0.7,-0.1
履物類,1201,0.4,1.3,1505,0.6,1.5
被服関連サービス,514,-7.6,-8.6,602,-11.7,-12.7
保健医療,14238,0.2,0.6,13130,0.5,0.9
医薬品,2571,-2.7,-3.1,2225,-0.4,-0.8
健康保持用摂取品,1140,-4.8,-,842,-1.1,-
保健医療用品・器具,2762,-6.8,-5.5,3083,-9.7,-8.4
保健医療サービス,7766,4.8,5.3,6980,6.3,6.8
交通・通信,39702,-0.5,4.7,49512,0.1,5.4
交通,3339,7.6,7.2,4599,8,7.6
自動車等関係費,23078,-1.1,-3.2,29431,0.5,-1.7
自動車等購入,6372,-13.6,-14,9102,-10.5,-10.9
自転車購入,319,0.6,0.9,439,0.7,1
自動車等維持,16387,4.8,1.9,19891,6.6,3.7
通信,13285,-1.4,25.8,15483,-2.9,23.9
教育,11902,15.7,15.7,19197,16,16
授業料等,8924,20.9,21.8,14175,19.9,20.7
教科書・学習参考教材,215,0.5,0.3,365,4.9,4.7
補習教育,2763,2.5,0.7,4657,6.3,4.4
教養娯楽,24545,1.1,-0.5,27452,2.3,0.7
教養娯楽用耐久財,2346,-1.4,0.2,2732,-3.1,-1.5
教養娯楽用品,6619,-0.7,0.2,7509,-1.6,-0.7
書籍・他の印刷物,3241,-0.5,-2.7,2906,-1.3,-3.5
教養娯楽サービス,12338,3,0,14305,6.5,3.4
宿泊料,1083,19.4,3.2,1308,24.2,7.3
パック旅行費,642,-35.9,-,593,-36.4,-
月謝類,2558,8.2,6.6,3574,11.9,10.2
他の教養娯楽サービス,8055,4.5,4.1,8830,7,6.6
その他の消費支出,52377,0.2,0.5,57124,2.2,2.5
諸雑費,24059,1.8,0.7,26454,4.8,3.7
理美容サービス,2963,4.7,4.5,3104,6.6,6.4
理美容用品,4599,-0.9,-0.6,5166,-2.3,-2
身の回り用品,1506,-3.6,-4.6,1975,-3,-4
たばこ,1187,7.5,-0.9,1410,6.9,-1.5
他の諸雑費,13805,2.3,0.9,14798,8.2,6.7
こづかい(使途不明) ,7078,-12.7,-12.4,8733,-11.7,-11.4
交際費,15044,-1.6,-1.3,13412,-1.5,-1.2
食料,3640,-3.1,-,2837,-2.5,-
家具・家事用品,168,-1.2,-,175,-2.2,-
被服及び履物,354,-5.6,-,325,-9.5,-
教養娯楽,707,0.7,-,614,-1.6,-
他の物品サービス,349,0.6,-,360,1.4,-
贈与金,6315,-2.6,-,4510,1.6,-
他の交際費,3509,1.4,-,4591,-3.5,-
仕送り金,6196,18.7,19.1,8524,19.6,20
非消費支出,-,-,-,112634,1.6,-
勤労所得税,-,-,-,19718,6.7,-
個人住民税,-,-,-,20231,0,-
他の税,-,-,-,7294,-1.8,-
社会保険料,-,-,-,65331,1,-
実支出以外の支払(繰越金を除く),-,-,-,642190,-2,-
預貯金,-,-,-,491572,-1.8,-
可処分所得,-,-,-,492681,-1.2,-0.9
黒字,-,-,-,183213,-5,-
金融資産純増,-,-,-,171070,-4,-
貯蓄純増,-,-,-,168706,-3.9,-
預貯金純増,-,-,-,152184,-3.2,-
保険純増,-,-,-,16522,-9.9,-
有価証券純購入,-,-,-,2364,-11.4,-
土地家屋借金純減,-,-,-,33978,0.6,-
クレジット購入借入金純減,-,-,-,-10529,-,-
平均消費性向（％）,-,-,-,62.8,-,-
貯蓄純増(平均貯蓄率) （％）　　　　,-,-,-,34.2,-,-
エンゲル係数（％）,27.2,-,-,25.4,-,-
,,,,,,
東京都生計分析調査　令和３年,,,,,,
参考表１　１世帯当たり年平均１か月間の収入と支出－全国,,,,,,
注1） 内訳は主要項目を掲げたため、内訳を足し上げても必ずしも合計とは一致しない。,,,,,,
注2） 「その他の消費支出」、「こづかい（使途不明）」、「交際費」及び「仕送り金」は、消費者物価指数（持家の帰属家賃を除く総合）を用いて実質化している。,,,,,,
注3） 令和３年平均,,,,,,
資料）総務省統計局 「家計調査」,,,,,,
