項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,経営職／実数（円）,経営職／構成比（％）,管理職／実数（円）,管理職／構成比（％）,専門職／実数（円）,専門職／構成比（％）,事務職／実数（円）,事務職／構成比（％）,技術職／実数（円）,技術職／構成比（％）,商工職／実数（円）,商工職／構成比（％）,技能・労務職／実数（円）,技能・労務職／構成比（％）,その他／実数（円）,その他／構成比（％）,（再掲）勤労者世帯のうち正規の職員・従業員／実数（円）,（再掲）勤労者世帯のうち正規の職員・従業員／構成比（％）
2,5,1,3,0,肉類,8897,2.8,12087,3.1,9379,2.3,11819,2.8,9435,2.7,8374,2.2,9178,3.1,8052,2.9,7305,2.9,9406,2.6
2,6,1,3,1,生鮮肉,7288,2.3,10040,2.5,7926,1.9,9951,2.4,7749,2.2,6714,1.8,7598,2.6,6588,2.4,5877,2.3,7719,2.1
2,6,1,3,2,加工肉,1610,0.5,2046,0.5,1454,0.4,1868,0.4,1685,0.5,1660,0.4,1580,0.5,1463,0.5,1428,0.6,1688,0.5
2,5,1,4,0,乳卵類,4600,1.4,6655,1.7,5027,1.2,5545,1.3,4425,1.3,4396,1.2,4742,1.6,3744,1.3,4395,1.7,4512,1.2
2,6,1,4,1,牛乳,1381,0.4,1603,0.4,1602,0.4,1551,0.4,1299,0.4,1440,0.4,1346,0.5,1178,0.4,1399,0.6,1352,0.4
2,6,1,4,2,乳製品,2353,0.7,4051,1,2530,0.6,2994,0.7,2264,0.6,2197,0.6,2462,0.8,1769,0.6,2151,0.8,2303,0.6
2,6,1,4,3,卵,867,0.3,1001,0.3,895,0.2,1000,0.2,863,0.2,759,0.2,934,0.3,798,0.3,846,0.3,857,0.2
2,5,1,5,0,野菜・海藻,10682,3.3,12852,3.3,9136,2.2,12100,2.9,9509,2.7,9139,2.4,10987,3.7,8598,3.1,11939,4.7,9451,2.6
2,6,1,5,1,生鮮野菜,7457,2.3,9062,2.3,6417,1.6,8683,2.1,6723,1.9,6505,1.7,7324,2.5,5948,2.1,8222,3.2,6689,1.8
2,6,1,5,2,乾物・海藻,803,0.2,949,0.2,601,0.1,902,0.2,693,0.2,743,0.2,922,0.3,604,0.2,905,0.4,703,0.2
2,6,1,5,3,大豆加工品,1178,0.4,1358,0.3,1178,0.3,1324,0.3,1050,0.3,1034,0.3,1326,0.4,882,0.3,1310,0.5,1048,0.3
2,6,1,5,4,他の野菜・海藻加工品,1244,0.4,1483,0.4,941,0.2,1191,0.3,1043,0.3,857,0.2,1415,0.5,1164,0.4,1501,0.6,1012,0.3
2,5,1,6,0,果物,3772,1.2,5021,1.3,2666,0.7,4277,1,2853,0.8,3123,0.8,3439,1.2,2634,0.9,4829,1.9,2949,0.8
2,6,1,6,1,生鮮果物,3353,1,4523,1.1,2276,0.6,3750,0.9,2454,0.7,2815,0.8,3015,1,2388,0.9,4361,1.7,2583,0.7
2,6,1,6,2,果物加工品,419,0.1,498,0.1,390,0.1,527,0.1,399,0.1,309,0.1,424,0.1,246,0.1,468,0.2,366,0.1
2,5,1,7,0,油脂・調味料,4200,1.3,5287,1.3,4962,1.2,4716,1.1,4153,1.2,4068,1.1,4048,1.4,3841,1.4,4025,1.6,4206,1.1
2,6,1,7,1,油脂,466,0.1,695,0.2,628,0.2,515,0.1,424,0.1,341,0.1,487,0.2,391,0.1,494,0.2,425,0.1
2,6,1,7,2,調味料,3734,1.2,4593,1.2,4334,1.1,4201,1,3730,1.1,3727,1,3561,1.2,3450,1.2,3531,1.4,3781,1
2,5,1,8,0,菓子類,7237,2.2,8161,2.1,9611,2.4,8694,2.1,8133,2.3,8719,2.3,6428,2.2,6210,2.2,5802,2.3,8268,2.3
2,5,1,9,0,調理食品,13896,4.3,15648,4,16998,4.2,16196,3.8,14251,4,14595,3.9,15312,5.2,13155,4.7,12146,4.8,14603,4
2,6,1,9,1,主食的調理食品,5930,1.8,6401,1.6,8194,2,6658,1.6,6160,1.7,6235,1.7,6889,2.3,5603,2,5114,2,6250,1.7
2,6,1,9,2,他の調理食品,7966,2.5,9248,2.3,8805,2.2,9538,2.3,8091,2.3,8360,2.2,8423,2.8,7551,2.7,7032,2.8,8353,2.3
2,5,1,10,0,飲料,5643,1.7,6787,1.7,7798,1.9,6786,1.6,5883,1.7,5743,1.5,6477,2.2,5037,1.8,4750,1.9,6010,1.6
2,6,1,10,1,茶類,1295,0.4,1471,0.4,1671,0.4,1519,0.4,1277,0.4,1105,0.3,1690,0.6,1027,0.4,1244,0.5,1282,0.4
2,6,1,10,2,コーヒー・ココア,1164,0.4,1110,0.3,1429,0.4,1388,0.3,1311,0.4,1265,0.3,1174,0.4,1034,0.4,961,0.4,1285,0.4
2,6,1,10,3,他の飲料,3184,1,4205,1.1,4698,1.2,3880,0.9,3295,0.9,3373,0.9,3613,1.2,2976,1.1,2545,1,3444,0.9
2,5,1,11,0,酒類,4628,1.4,6892,1.7,5808,1.4,5286,1.3,5201,1.5,4234,1.1,5258,1.8,4493,1.6,3454,1.4,4964,1.4
2,5,1,12,0,外食,13211,4.1,13939,3.5,18858,4.6,19231,4.5,17777,5,18802,5,11561,3.9,11182,4,6338,2.5,17910,4.9
2,6,1,12,1,一般外食,12422,3.8,13238,3.4,17917,4.4,18147,4.3,16270,4.6,17185,4.6,11448,3.9,10486,3.8,6302,2.5,16466,4.5
2,6,1,12,2,学校給食,788,0.2,700,0.2,941,0.2,1084,0.3,1507,0.4,1618,0.4,114,0,696,0.2,36,0,1444,0.4
2,4,2,0,0,住居,26599,8.2,19644,5,25989,6.4,38128,9,27982,7.9,28507,7.6,24887,8.4,27485,9.9,23551,9.3,29594,8.1
2,5,2,1,0,家賃地代,14505,4.5,6512,1.7,8501,2.1,27047,6.4,17894,5.1,19964,5.3,14207,4.8,23776,8.5,5691,2.2,20332,5.6
2,5,2,2,0,設備修繕・維持,12094,3.7,13132,3.3,17489,4.3,11081,2.6,10088,2.9,8543,2.3,10680,3.6,3710,1.3,17861,7,9262,2.5
2,6,2,2,1,設備材料,3662,1.1,4953,1.3,10687,2.6,4260,1,2943,0.8,788,0.2,4975,1.7,1061,0.4,4906,1.9,2684,0.7
2,6,2,2,2,工事その他のサービス,8432,2.6,8180,2.1,6802,1.7,6820,1.6,7145,2,7755,2.1,5706,1.9,2650,1,12955,5.1,6578,1.8
2,4,3,0,0,光熱・水道,20196,6.3,23992,6.1,20857,5.1,22151,5.2,19203,5.4,18696,5,22573,7.6,18550,6.7,20284,8,19565,5.3
2,5,3,1,0,電気代,9174,2.8,11188,2.8,8864,2.2,10428,2.5,8652,2.4,8443,2.3,10844,3.7,8054,2.9,9141,3.6,8733,2.4
2,5,3,2,0,ガス代,5444,1.7,6220,1.6,6424,1.6,5462,1.3,5256,1.5,5044,1.4,5833,2,5110,1.8,5592,2.2,5311,1.5
2,5,3,3,0,他の光熱,265,0.1,243,0.1,168,0,239,0.1,147,0,138,0,273,0.1,172,0.1,445,0.2,160,0
2,5,3,4,0,上下水道料,5313,1.6,6341,1.6,5402,1.3,6022,1.4,5149,1.5,5071,1.4,5623,1.9,5215,1.9,5107,2,5361,1.5
2,4,4,0,0,家具・家事用品,13735,4.3,19031,4.8,24208,5.9,17254,4.1,14932,4.2,14934,4,12713,4.3,11021,4,11259,4.4,15049,4.1
2,5,4,1,0,家庭用耐久財,4625,1.4,5961,1.5,11810,2.9,4689,1.1,5077,1.4,6180,1.7,3129,1.1,3725,1.3,4077,1.6,5141,1.4
2,6,4,1,1,家事用耐久財,2318,0.7,2730,0.7,1807,0.4,2467,0.6,2334,0.7,3793,1,1824,0.6,2332,0.8,1999,0.8,2645,0.7
2,6,4,1,2,冷暖房用器具,1707,0.5,2571,0.7,1041,0.3,1721,0.4,1908,0.5,1886,0.5,1190,0.4,883,0.3,1744,0.7,1606,0.4
2,6,4,1,3,一般家具,599,0.2,660,0.2,8962,2.2,501,0.1,834,0.2,501,0.1,115,0,510,0.2,335,0.1,889,0.2
2,5,4,2,0,室内装備・装飾品,984,0.3,567,0.1,356,0.1,1401,0.3,1572,0.4,603,0.2,1954,0.7,345,0.1,576,0.2,1236,0.3
2,5,4,3,0,寝具類,1063,0.3,1804,0.5,1320,0.3,2178,0.5,1118,0.3,970,0.3,881,0.3,803,0.3,733,0.3,1240,0.3
2,5,4,4,0,家事雑貨,2774,0.9,4076,1,5304,1.3,4158,1,3085,0.9,3210,0.9,2125,0.7,2432,0.9,1881,0.7,3253,0.9
2,5,4,5,0,家事用消耗品,3439,1.1,4610,1.2,4233,1,3915,0.9,3528,1,3495,0.9,3542,1.2,3291,1.2,2963,1.2,3617,1
2,5,4,6,0,家事サービス,851,0.3,2012,0.5,1185,0.3,913,0.2,553,0.2,477,0.1,1082,0.4,426,0.2,1029,0.4,562,0.2
2,4,5,0,0,被服及び履物,11007,3.4,16247,4.1,14346,3.5,17143,4.1,13434,3.8,13209,3.5,8643,2.9,8463,3,6610,2.6,13531,3.7
2,5,5,1,0,和服,156,0,91,0,245,0.1,4,0,159,0,71,0,11,0,42,0,284,0.1,127,0
2,5,5,2,0,洋服,4488,1.4,5929,1.5,4819,1.2,6555,1.6,6178,1.7,5571,1.5,3827,1.3,3524,1.3,2266,0.9,5908,1.6
2,6,5,2,1,男子用洋服,1468,0.5,1466,0.4,2429,0.6,2114,0.5,2051,0.6,1531,0.4,865,0.3,1075,0.4,948,0.4,1919,0.5
2,6,5,2,2,婦人用洋服,2564,0.8,4147,1.1,1960,0.5,3751,0.9,3270,0.9,3049,0.8,2743,0.9,2183,0.8,1302,0.5,3148,0.9
2,6,5,2,3,子供用洋服,456,0.1,316,0.1,429,0.1,691,0.2,858,0.2,991,0.3,220,0.1,266,0.1,16,0,840,0.2
2,5,5,3,0,シャツ・セーター類,2136,0.7,3627,0.9,2915,0.7,3914,0.9,2278,0.6,2261,0.6,1686,0.6,1535,0.6,1409,0.6,2433,0.7
2,6,5,3,1,男子用シャツ・セーター類,716,0.2,844,0.2,1123,0.3,1833,0.4,728,0.2,712,0.2,481,0.2,590,0.2,414,0.2,868,0.2
2,6,5,3,2,婦人用シャツ・セーター類,1273,0.4,2678,0.7,1650,0.4,1794,0.4,1308,0.4,1246,0.3,1162,0.4,805,0.3,988,0.4,1290,0.4
2,6,5,3,3,子供用シャツ・セーター類,148,0,105,0,143,0,287,0.1,242,0.1,303,0.1,44,0,139,0,7,0,275,0.1
2,5,5,4,0,下着類,1060,0.3,1436,0.4,1210,0.3,1397,0.3,1085,0.3,1306,0.3,945,0.3,942,0.3,838,0.3,1183,0.3
2,6,5,4,1,男子用下着類,309,0.1,398,0.1,179,0,446,0.1,247,0.1,276,0.1,269,0.1,293,0.1,331,0.1,285,0.1
2,6,5,4,2,婦人用下着類,631,0.2,925,0.2,905,0.2,773,0.2,651,0.2,728,0.2,632,0.2,519,0.2,501,0.2,677,0.2
2,6,5,4,3,子供用下着類,120,0,113,0,126,0,177,0,188,0.1,303,0.1,44,0,130,0,6,0,221,0.1
2,5,5,5,0,生地・糸類,121,0,63,0,104,0,185,0,152,0,55,0,85,0,50,0,135,0.1,112,0
2,5,5,6,0,他の被服,791,0.2,1106,0.3,1744,0.4,1152,0.3,893,0.3,1022,0.3,586,0.2,777,0.3,486,0.2,985,0.3
2,5,5,7,0,履物類,1548,0.5,1793,0.5,2389,0.6,2793,0.7,1820,0.5,2264,0.6,1142,0.4,1180,0.4,844,0.3,1970,0.5
2,5,5,8,0,被服関連サービス,707,0.2,2203,0.6,920,0.2,1144,0.3,869,0.2,661,0.2,359,0.1,415,0.1,348,0.1,813,0.2
2,4,6,0,0,保健医療,18384,5.7,32244,8.2,14550,3.6,21171,5,16140,4.6,17120,4.6,20317,6.9,13901,5,18792,7.4,16588,4.5
2,5,6,1,0,医薬品,2975,0.9,4521,1.1,2863,0.7,2853,0.7,2494,0.7,2390,0.6,3235,1.1,2686,1,3360,1.3,2443,0.7
2,5,6,2,0,健康保持用摂取品,1305,0.4,2290,0.6,1396,0.3,957,0.2,1117,0.3,1006,0.3,1978,0.7,669,0.2,1516,0.6,844,0.2
2,5,6,3,0,保健医療用品・器具,3233,1,4653,1.2,3719,0.9,4353,1,3449,1,3647,1,3153,1.1,2839,1,2479,1,3615,1
2,5,6,4,0,保健医療サービス,10872,3.4,20779,5.3,6572,1.6,13008,3.1,9081,2.6,10078,2.7,11951,4,7707,2.8,11437,4.5,9686,2.6
2,4,7,0,0,交通・通信,34635,10.7,31509,8,48437,11.9,43338,10.3,41846,11.8,51408,13.8,35311,11.9,36286,13,20135,7.9,44146,12.1
2,5,7,1,0,交通,6062,1.9,5351,1.4,11411,2.8,9618,2.3,8213,2.3,9091,2.4,4105,1.4,4652,1.7,2893,1.1,8301,2.3
2,5,7,2,0,自動車等関係費,15850,4.9,12761,3.2,17713,4.3,18820,4.5,20150,5.7,28809,7.7,18789,6.3,16109,5.8,7197,2.8,21689,5.9
2,6,7,2,1,自動車等購入,4688,1.5,2502,0.6,-,-,3006,0.7,7570,2.1,11882,3.2,8425,2.8,5315,1.9,-,-,8199,2.2
2,6,7,2,2,自転車購入,670,0.2,1024,0.3,1098,0.3,873,0.2,633,0.2,1470,0.4,548,0.2,369,0.1,420,0.2,876,0.2
2,6,7,2,3,自動車等維持,10492,3.3,9236,2.3,16615,4.1,14941,3.5,11946,3.4,15457,4.1,9816,3.3,10425,3.7,6777,2.7,12614,3.4
2,5,7,3,0,通信,12724,3.9,13397,3.4,19314,4.7,14899,3.5,13484,3.8,13507,3.6,12418,4.2,15525,5.6,10046,4,14156,3.9
2,4,8,0,0,教育,19093,5.9,20327,5.2,35978,8.8,38239,9,28482,8.1,27853,7.5,10227,3.5,21281,7.6,2349,0.9,31452,8.6
2,5,8,1,0,授業料等,14281,4.4,17303,4.4,23104,5.7,29179,6.9,19480,5.5,22587,6.1,8962,3,15608,5.6,2081,0.8,22431,6.1
2,5,8,2,0,教科書・学習参考教材,282,0.1,386,0.1,111,0,512,0.1,562,0.2,285,0.1,86,0,161,0.1,19,0,485,0.1
2,5,8,3,0,補習教育,4531,1.4,2638,0.7,12763,3.1,8548,2,8440,2.4,4981,1.3,1179,0.4,5512,2,249,0.1,8536,2.3
2,4,9,0,0,教養娯楽,32384,10,39987,10.1,50577,12.4,43737,10.3,37820,10.7,39286,10.5,24657,8.3,22458,8.1,24735,9.8,38187,10.4
2,5,9,1,0,教養娯楽用耐久財,3199,1,3029,0.8,9105,2.2,4322,1,4750,1.3,4578,1.2,1375,0.5,2022,0.7,1617,0.6,4635,1.3
2,5,9,2,0,教養娯楽用品,7776,2.4,12101,3.1,14446,3.5,11119,2.6,9110,2.6,9006,2.4,8538,2.9,5181,1.9,4729,1.9,9091,2.5
2,5,9,3,0,書籍・他の印刷物,3688,1.1,4526,1.1,4639,1.1,4406,1,3349,0.9,3079,0.8,2471,0.8,2160,0.8,4511,1.8,3248,0.9
2,5,9,4,0,教養娯楽サービス,17722,5.5,20331,5.2,22387,5.5,23891,5.7,20611,5.8,22624,6.1,12273,4.1,13095,4.7,13877,5.5,21213,5.8
2,6,9,4,1,宿泊料,1983,0.6,1749,0.4,2703,0.7,4016,1,2858,0.8,2738,0.7,758,0.3,1446,0.5,840,0.3,2859,0.8
2,6,9,4,2,パック旅行費,1170,0.4,1560,0.4,703,0.2,848,0.2,1039,0.3,2867,0.8,128,0,746,0.3,1127,0.4,1371,0.4
2,6,9,4,3,月謝類,3969,1.2,5264,1.3,4135,1,5599,1.3,5950,1.7,5349,1.4,2012,0.7,3066,1.1,1766,0.7,5720,1.6
2,6,9,4,4,他の教養娯楽サービス,10600,3.3,11759,3,14846,3.6,13427,3.2,10764,3,11671,3.1,9374,3.2,7837,2.8,10144,4,11264,3.1
2,4,10,0,0,その他の消費支出,56182,17.4,82685,21,68298,16.7,71411,16.9,58940,16.7,69361,18.6,44568,15,40209,14.4,46446,18.3,62582,17.1
2,5,10,1,0,諸雑費,28199,8.7,31669,8,35022,8.6,36836,8.7,29400,8.3,45336,12.1,23343,7.9,21121,7.6,20720,8.2,33942,9.3
2,6,10,1,1,理美容サービス,4005,1.2,6142,1.6,6344,1.6,5601,1.3,4319,1.2,4914,1.3,3126,1.1,2565,0.9,3118,1.2,4506,1.2
2,6,10,1,2,理美容用品,5260,1.6,7668,1.9,6368,1.6,6539,1.5,5993,1.7,5428,1.5,4545,1.5,4666,1.7,4000,1.6,5861,1.6
2,6,10,1,3,身の回り用品,2478,0.8,2189,0.6,2636,0.6,6147,1.5,3083,0.9,2936,0.8,1329,0.4,1857,0.7,1125,0.4,3497,1
2,6,10,1,4,たばこ,982,0.3,573,0.1,2948,0.7,907,0.2,1081,0.3,682,0.2,1417,0.5,1703,0.6,674,0.3,1189,0.3
2,6,10,1,5,他の諸雑費,15475,4.8,15098,3.8,16725,4.1,17642,4.2,14925,4.2,31376,8.4,12926,4.4,10330,3.7,11803,4.7,18890,5.2
2,5,10,2,0,こづかい,7119,2.2,10245,2.6,11700,2.9,7312,1.7,8126,2.3,6381,1.7,5245,1.8,7878,2.8,5655,2.2,8501,2.3
2,5,10,3,0,交際費,15951,4.9,18716,4.7,19682,4.8,17997,4.3,14748,4.2,15578,4.2,14968,5.1,9590,3.4,18029,7.1,14420,3.9
2,6,10,3,0,食料,3716,1.2,5911,1.5,4800,1.2,4138,1,2980,0.8,3111,0.8,3984,1.3,2238,0.8,4205,1.7,2976,0.8
2,6,10,3,0,家具・家事用品,191,0.1,261,0.1,216,0.1,576,0.1,154,0,156,0,92,0,122,0,154,0.1,221,0.1
2,6,10,3,0,被服及び履物,338,0.1,532,0.1,139,0,613,0.1,283,0.1,336,0.1,157,0.1,285,0.1,343,0.1,296,0.1
2,6,10,3,0,教養娯楽,671,0.2,757,0.2,1443,0.4,1102,0.3,465,0.1,1254,0.3,310,0.1,424,0.2,683,0.3,692,0.2
2,6,10,3,0,他の物品サービス,457,0.1,609,0.2,789,0.2,1260,0.3,450,0.1,476,0.1,113,0,193,0.1,328,0.1,591,0.2
2,6,10,3,6,贈与金,6030,1.9,6898,1.7,3231,0.8,3478,0.8,4962,1.4,3693,1,8593,2.9,2935,1.1,8829,3.5,3966,1.1
2,6,10,3,7,他の交際費,4548,1.4,3748,1,9065,2.2,6830,1.6,5456,1.5,6551,1.8,1719,0.6,3393,1.2,3487,1.4,5679,1.6
2,5,10,4,0,仕送り金,4913,1.5,22055,5.6,1894,0.5,9267,2.2,6666,1.9,2067,0.6,1012,0.3,1620,0.6,2042,0.8,5720,1.6
2,3,0,0,0,土地家屋購入,17868,-,-,-,-,-,104029,-,24267,-,6242,-,-,-,-,-,-,-,37235,-
2,3,0,0,0,（再掲）教育関係費,24557,7.6,43610,11.1,40463,9.9,49586,11.7,36703,10.4,31581,8.5,11466,3.9,23783,8.5,3039,1.2,38865,10.6
2,3,0,0,0,（再掲）教養娯楽関係費,35394,11,42932,10.9,53964,13.2,48424,11.5,41444,11.7,44754,12,28277,9.5,23832,8.6,26443,10.4,41918,11.5
2,3,0,0,0,（再掲）移転支出（贈与金＋仕送り金）,10943,3.4,28953,7.3,5125,1.3,12746,3,11627,3.3,5760,1.5,9605,3.2,4556,1.6,10871,4.3,9686,2.6
2,3,0,0,0,（再掲）経常消費支出,228570,70.8,270834,68.7,273998,67.2,287685,68.1,241403,68.3,239915,64.3,221032,74.6,212410,76.3,193482,76.3,246926,67.5
2,3,0,0,0,（再掲）情報通信関係費,16568,5.1,16766,4.3,23457,5.8,18530,4.4,17294,4.9,16716,4.5,16120,5.4,19208,6.9,14271,5.6,17839,4.9
2,3,0,0,0,（再掲）消費支出（除く住居等）　　１）,280438,86.9,343346,87,376672,92.4,368846,87.3,306052,86.6,327112,87.6,253390,85.5,241070,86.6,219071,86.4,318323,87
,,,,,,,,,,,,,,,,,,,,,,,,,
東京都生計分析調査　令和 3年,,,,,,,,,,,,,,,,,,,,,,,,,
第９表　職能形態別１世帯当たり年平均１か月間の用途別生計支出　―　全　世　帯　―　,,,,,,,,,,,,,,,,,,,,,,,,,
注）　１）は、「住居」のほか、「自動車等購入」、「贈与金」、「仕送り金」を除いたもの。,,,,,,,,,,,,,,,,,,,,,,,,,
項目（0：世帯数等　2：生計支出）,,,,,,,,,,,,,,,,,,,,,,,,,
