年・期,西暦(年),四半期,東京都／男女計（％、ポイント）,東京都／男（％、ポイント）,東京都／女（％、ポイント）,南関東／男女計（％、ポイント）,南関東／男（％、ポイント）,南関東／女（％、ポイント）,全国／男女計（％、ポイント）,全国／男（％、ポイント）,全国／女（％、ポイント）
対前年・前年同期増減数／平成18年７～９月平均,2006,07～09,-0.6,-0.4,-1,-0.4,-0.4,-0.5,-0.2,-0.1,-0.3
対前年・前年同期増減数／平成18年10～12月平均,2006,10～12,0.1,0,0.2,-0.2,0.1,-0.4,-0.4,-0.2,-0.6
対前年・前年同期増減数／平成19年１～３月平均,2007,01～03,0.1,-0.3,0.8,0,-0.2,0.2,-0.3,-0.5,0.1
対前年・前年同期増減数／平成19年４～６月平均,2007,04～06,-0.3,-0.3,-0.1,-0.4,-0.3,-0.5,-0.4,-0.4,-0.5
対前年・前年同期増減数／平成19年７～９月平均,2007,07～09,-0.5,-0.3,-0.8,-0.4,-0.5,-0.2,-0.4,-0.4,-0.2
対前年・前年同期増減数／平成19年10～12月平均,2007,10～12,-0.7,-1.4,0.3,-0.5,-0.7,-0.3,-0.2,-0.3,0
対前年・前年同期増減数／平成20年１～３月平均,2008,01～03,-0.8,-1,-0.6,-0.3,-0.4,-0.2,-0.1,-0.1,-0.1
対前年・前年同期増減数／平成20年４～６月平均,2008,04～06,0.1,0.2,-0.1,0.3,0.2,0.3,0.2,0.2,0.3
対前年・前年同期増減数／平成20年７～９月平均,2008,07～09,0.5,0.1,1.1,0.3,0.4,0.1,0.3,0.2,0.2
対前年・前年同期増減数／平成20年10～12月平均,2008,10～12,0,0.3,-0.4,0.3,0.4,0.3,0.2,0.2,0.1
対前年・前年同期増減数／平成21年１～３月平均,2009,01～03,0.3,-0.1,0.9,0.5,0.2,1,0.6,0.6,0.6
対前年・前年同期増減数／平成21年４～６月平均,2009,04～06,0.9,0.9,0.9,1.1,1.3,1.1,1.2,1.3,1
対前年・前年同期増減数／平成21年７～９月平均,2009,07～09,1.3,1,1.6,1.6,1.4,1.8,1.4,1.7,1.2
対前年・前年同期増減数／平成21年10～12月平均,2009,10～12,1.1,1.4,0.7,1,1.1,0.8,1.1,1.2,1
対前年・前年同期増減数／平成22年１～３月平均,2010,01～03,1.1,1.8,-0.2,0.7,1.2,-0.1,0.5,0.8,0
対前年・前年同期増減数／平成22年４～６月平均,2010,04～06,1.5,2.3,0.3,0.6,0.6,0.4,0.1,0.2,-0.1
対前年・前年同期増減数／平成22年７～９月平均,2010,07～09,0.5,0.6,0.5,0,0.1,-0.1,-0.3,-0.3,-0.5
対前年・前年同期増減数／平成22年10～12月平均,2010,10～12,0,0.2,-0.3,-0.1,0,-0.4,-0.2,-0.1,-0.4
対前年・前年同期増減数／平成23年１～３月平均,2011,01～03,-0.2,-0.4,0.2,-0.3,-0.5,0,-0.3,-0.4,-0.2
対前年・前年同期増減数／平成23年４～６月平均,2011,04～06,-1.3,-2,-0.4,-0.7,-1,-0.4,-0.5,-0.5,-0.3
対前年・前年同期増減数／平成23年７～９月平均,2011,07～09,-0.6,-0.4,-1,-0.5,-0.5,-0.5,-0.6,-0.7,-0.5
対前年・前年同期増減数／平成23年10～12月平均,2011,10～12,-0.3,-0.1,-0.6,-0.3,0,-0.6,-0.5,-0.6,-0.5
対前年・前年同期増減数／平成24年１～３月平均,2012,01～03,-0.4,-0.1,-0.8,-0.1,0,-0.3,-0.3,-0.3,-0.1
対前年・前年同期増減数／平成24年４～６月平均,2012,04～06,-0.2,-0.4,0.3,-0.3,-0.1,-0.4,-0.2,-0.4,-0.2
対前年・前年同期増減数／平成24年７～９月平均,2012,07～09,-0.3,-0.1,-0.6,-0.3,0,-0.6,-0.2,-0.2,-0.2
,,,,,,,,,,,
東京の労働力統計データ（平成24年７～９月平均）,,,,,,,,,,,
参考表　東京都、南関東及び全国の完全失業率（原数値）,,,,,,,,,,,
注）南関東：埼玉県、千葉県、東京都、神奈川県,,,,,,,,,,,
