男女・年,西暦(年),15歳以上人口（千人）,15歳以上人口／労働力人口（千人）,15歳以上人口／労働力人口／就業者数（千人）,15歳以上人口／労働力人口／就業者数／従業者数（千人）,15歳以上人口／労働力人口／就業者数／従業者数／主に仕事（千人）,15歳以上人口／労働力人口／就業者数／従業者数／家事などのかたわらに仕事（千人）,15歳以上人口／労働力人口／就業者数／従業者数／通学のかたわらに仕事（千人）,15歳以上人口／労働力人口／就業者数／休業者数（千人）,15歳以上人口／労働力人口／就業者数／自営業主数（千人）,15歳以上人口／労働力人口／就業者数／家族従業者数（千人）,15歳以上人口／労働力人口／就業者数／雇用者数（千人）,15歳以上人口／労働力人口／就業者数／雇用者数／うち常雇（千人）,15歳以上人口／労働力人口／完全失業者数（千人）,15歳以上人口／非労働力人口（千人）,15歳以上人口／非労働力人口／家事（千人）,15歳以上人口／非労働力人口／通学（千人）,15歳以上人口／非労働力人口／その他（千人）,労働力人口比率（％、ポイント）,就業率（％、ポイント）,完全失業率（％、ポイント）
実数／男／平成17年平均,2005,5412,4031,3840,3777,3626,50,101,63,444,33,3342,3034,191,1375,40,471,864,74.5,…,4.7
実数／男／平成18年平均,2006,5449,4054,3879,3811,3659,54,98,68,429,33,3393,3091,175,1392,45,478,869,74.4,…,4.3
実数／男／平成19年平均,2007,5594,4252,4093,4028,3859,53,116,64,427,27,3616,3302,159,1337,54,427,856,76,…,3.7
実数／男／平成20年平均,2008,5622,4274,4118,4046,3887,47,111,72,414,21,3661,3354,156,1346,50,426,870,76,73.2,3.6
実数／男／平成21年平均,2009,5637,4197,4011,3931,3786,57,88,80,417,19,3555,3261,186,1436,49,454,934,74.5,71.2,4.4
実数／男／平成22年平均,2010,5635,4179,3941,3871,3713,61,97,70,399,21,3498,3192,238,1451,54,452,945,74.2,69.9,5.7
実数／男／平成23年平均,2011,5756,4336,4122,4050,3906,55,89,72,412,19,3672,3367,214,1418,64,433,920,75.3,71.6,4.9
実数／男／平成24年平均,2012,5768,4328,4130,4057,3899,65,93,72,409,20,3679,3360,198,1439,63,425,951,75,71.6,4.6
実数／女／平成14年平均,2002,5408,2648,2503,2448,1708,664,76,55,151,153,2186,1706,145,2755,1755,401,600,49,…,5.5
実数／女／平成15年平均,2003,5457,2665,2525,2468,1714,663,91,56,157,148,2206,1720,140,2787,1825,400,562,48.8,…,5.3
実数／女／平成16年平均,2004,5493,2692,2559,2505,1773,653,78,55,145,143,2260,1749,133,2797,1800,401,595,49,…,4.9
実数／女／平成17年平均,2005,5534,2741,2613,2556,1784,687,85,57,168,125,2306,1785,129,2787,1766,381,640,49.5,…,4.7
実数／女／平成18年平均,2006,5577,2790,2678,2621,1824,704,94,57,148,124,2388,1870,112,2783,1713,390,680,50,…,4
実数／女／平成19年平均,2007,5684,2853,2740,2669,1864,710,95,71,150,117,2451,1918,114,2826,1736,355,735,50.2,…,4
実数／女／平成20年平均,2008,5715,2884,2767,2701,1903,707,91,66,153,105,2494,1975,117,2829,1734,353,742,50.5,48.4,4.1
実数／女／平成21年平均,2009,5736,2917,2770,2680,1897,688,95,90,170,100,2481,1939,147,2816,1669,344,804,50.9,48.3,5
実数／女／平成22年平均,2010,5753,2938,2787,2694,1903,700,91,93,172,98,2497,1968,151,2811,1691,342,779,51.1,48.4,5.1
実数／女／平成23年平均,2011,5938,3084,2940,2849,2019,741,89,91,160,101,2658,2122,144,2853,1753,365,735,51.9,49.5,4.7
実数／女／平成24年平均,2012,5962,3078,2940,2848,2047,715,86,92,154,87,2680,2140,138,2883,1714,351,818,51.6,49.3,4.5
対前年増減数／男女計／平成14年平均,2002,299,191,155,152,127,27,-2,3,11,6,135,98,36,108,-23,15,116,0.1,…,0.4
対前年増減数／男女計／平成15年平均,2003,89,22,55,50,39,-9,20,5,19,-6,41,36,-33,69,68,16,-16,-0.3,…,-0.6
対前年増減数／男女計／平成16年平均,2004,61,-10,-6,-2,24,-7,-18,-4,-5,-9,9,-47,-4,69,-16,-3,88,-0.5,…,0
対前年増減数／男女計／平成17年平均,2005,71,58,74,68,5,48,14,6,21,-13,57,42,-15,11,-34,-32,76,0.2,…,-0.3
対前年増減数／男女計／平成18年平均,2006,80,72,104,99,72,21,6,5,-34,-1,134,142,-34,13,-47,16,44,0.2,…,-0.5
対前年増減数／男女計／平成19年平均,2007,251,261,275,265,241,5,19,10,0,-14,286,260,-13,-12,32,-86,44,0.9,…,-0.4
対前年増減数／男女計／平成20年平均,2008,60,53,53,50,68,-9,-9,3,-10,-17,89,108,0,13,-6,-3,20,0.1,…,0
対前年増減数／男女計／平成21年平均,2009,36,-43,-104,-136,-108,-9,-19,32,20,-7,-120,-129,61,76,-67,19,125,-0.5,-1.1,0.9
対前年増減数／男女計／平成22年平均,2010,15,2,-53,-45,-67,17,5,-7,-16,0,-41,-40,55,11,28,-4,-13,-0.1,-0.5,0.8
対前年増減数／男女計／平成23年平均,2011,306,303,334,333,309,35,-11,-1,1,1,335,329,-31,7,72,4,-69,1,1.3,-0.7
対前年増減数／男女計／平成24年平均,2012,36,-14,8,6,21,-17,3,3,-9,-13,28,10,-22,51,-40,-22,114,-0.4,-0.1,-0.3
対前年増減数／男／平成14年平均,2002,198,130,110,108,98,5,5,2,12,5,93,65,20,66,1,6,59,-0.5,…,0.3
対前年増減数／男／平成15年平均,2003,41,5,33,29,34,-9,5,4,14,-1,21,22,-28,38,-2,18,22,-0.4,…,-0.7
対前年増減数／男／平成16年平均,2004,24,-37,-40,-37,-35,4,-6,-3,6,-4,-45,-76,3,60,10,-6,55,-1.1,…,0.1
対前年増減数／男／平成17年平均,2005,30,9,20,16,-6,14,8,4,-1,5,12,6,-11,20,1,-11,31,-0.2,…,-0.3
対前年増減数／男／平成18年平均,2006,37,23,39,34,33,4,-3,5,-15,0,51,57,-16,17,5,7,5,-0.1,…,-0.4
対前年増減数／男／平成19年平均,2007,145,198,214,217,200,-1,18,-4,-2,-6,223,211,-16,-55,9,-51,-13,1.6,…,-0.6
対前年増減数／男／平成20年平均,2008,28,22,25,18,28,-6,-5,8,-13,-6,45,52,-3,9,-4,-1,14,0,…,-0.1
対前年増減数／男／平成21年平均,2009,15,-77,-107,-115,-101,10,-23,8,3,-2,-106,-93,30,90,-1,28,64,-1.5,-2,0.8
対前年増減数／男／平成22年平均,2010,-2,-18,-70,-60,-73,4,9,-10,-18,2,-57,-69,52,15,5,-2,11,-0.3,-1.3,1.3
対前年増減数／男／平成23年平均,2011,121,157,181,179,193,-6,-8,2,13,-2,174,175,-24,-33,10,-19,-25,1.1,1.7,-0.8
対前年増減数／男／平成24年平均,2012,12,-8,8,7,-7,10,4,0,-3,1,7,-7,-16,21,-1,-8,31,-0.3,0,-0.3
対前年増減数／女／平成14年平均,2002,102,60,45,44,28,22,-7,1,-1,1,41,33,16,41,-25,9,57,0.2,…,0.5
対前年増減数／女／平成15年平均,2003,49,17,22,20,6,-1,15,1,6,-5,20,14,-5,32,70,-1,-38,-0.2,…,-0.2
対前年増減数／女／平成16年平均,2004,36,27,34,37,59,-10,-13,-1,-12,-5,54,29,-7,10,-25,1,33,0.2,…,-0.4
対前年増減数／女／平成17年平均,2005,41,49,54,51,11,34,7,2,23,-18,46,36,-4,-10,-34,-20,45,0.5,…,-0.2
対前年増減数／女／平成18年平均,2006,43,49,65,65,40,17,9,0,-20,-1,82,85,-17,-4,-53,9,40,0.5,…,-0.7
対前年増減数／女／平成19年平均,2007,107,63,62,48,40,6,1,14,2,-7,63,48,2,43,23,-35,55,0.2,…,0
対前年増減数／女／平成20年平均,2008,31,31,27,32,39,-3,-4,-5,3,-12,43,57,3,3,-2,-2,7,0.3,…,0.1
対前年増減数／女／平成21年平均,2009,21,33,3,-21,-6,-19,4,24,17,-5,-13,-36,30,-13,-65,-9,62,0.4,-0.1,0.9
対前年増減数／女／平成22年平均,2010,17,21,17,14,6,12,-4,3,2,-2,16,29,4,-5,22,-2,-25,0.2,0.1,0.1
対前年増減数／女／平成23年平均,2011,185,146,153,155,116,41,-2,-2,-12,3,161,154,-7,42,62,23,-44,0.8,1.1,-0.4
対前年増減数／女／平成24年平均,2012,24,-6,0,-1,28,-26,-3,1,-6,-14,22,18,-6,30,-39,-14,83,-0.3,-0.2,-0.2
,,,,,,,,,,,,,,,,,,,,,
東京の労働力統計データ（平成24年平均）,,,,,,,,,,,,,,,,,,,,,
第２表　就業状態、活動状態別15歳以上人口,,,,,,,,,,,,,,,,,,,,,
