年・期,西暦(年),四半期,男女計／１５歳以上人口（千人）,男女計／１５歳以上人口／労働力人口（千人）,男女計／１５歳以上人口／労働力人口／就業者数（千人）,男女計／１５歳以上人口／労働力人口／完全失業者数（千人）,男女計／１５歳以上人口／非労働力人口（千人）,男女計／労働力人口比率（％、ポイント）,男女計／完全失業率（％、ポイント）,男／１５歳以上人口（千人）,男／１５歳以上人口／労働力人口（千人）,男／１５歳以上人口／労働力人口／就業者数（千人）,男／１５歳以上人口／労働力人口／完全失業者数（千人）,男／１５歳以上人口／非労働力人口（千人）,男／労働力人口比率（％、ポイント）,男／完全失業率（％、ポイント）,女／１５歳以上人口（千人）,女／１５歳以上人口／労働力人口（千人）,女／１５歳以上人口／労働力人口／就業者数（千人）,女／１５歳以上人口／労働力人口／完全失業者数（千人）,女／１５歳以上人口／非労働力人口（千人）,女／労働力人口比率（％、ポイント）,女／完全失業率（％、ポイント）
実数／平成19年４～６月平均,2007,04～06,11273,7160,6889,271,4102,63.5,3.8,5591,4296,4144,153,1288,76.8,3.6,5683,2864,2745,119,2814,50.4,4.2
実数／平成19年７～９月平均,2007,07～09,11295,7196,6951,245,4087,63.7,3.4,5603,4257,4100,157,1339,76,3.7,5692,2939,2851,88,2747,51.6,3
実数／平成19年10～12月平均,2007,10～12,11307,7028,6767,261,4271,62.2,3.7,5609,4206,4074,132,1401,75,3.1,5698,2822,2693,129,2869,49.5,4.6
実数／平成20年１～３月平均,2008,01～03,11301,7109,6851,258,4185,62.9,3.6,5605,4259,4107,152,1344,76,3.6,5696,2850,2744,106,2841,50,3.7
実数／平成20年４～６月平均,2008,04～06,11342,7160,6878,282,4180,63.1,3.9,5623,4284,4121,163,1338,76.2,3.8,5719,2876,2757,119,2842,50.3,4.1
実数／平成20年７～９月平均,2008,07～09,11352,7187,6905,281,4160,63.3,3.9,5630,4288,4127,161,1338,76.2,3.8,5722,2898,2778,120,2821,50.6,4.1
実数／平成20年10～12月平均,2008,10～12,11354,7175,6907,268,4177,63.2,3.7,5630,4264,4118,146,1365,75.7,3.4,5724,2912,2789,123,2812,50.9,4.2
実数／平成21年１～３月平均,2009,01～03,11344,7047,6771,276,4286,62.1,3.9,5625,4187,4041,146,1430,74.4,3.5,5718,2860,2729,131,2855,50,4.6
実数／平成21年４～６月平均,2009,04～06,11377,7177,6832,345,4193,63.1,4.8,5642,4226,4028,197,1412,74.9,4.7,5736,2951,2803,148,2782,51.4,5
実数／平成21年７～９月平均,2009,07～09,11385,7144,6774,370,4237,62.7,5.2,5642,4216,4012,204,1422,74.7,4.8,5743,2928,2762,166,2814,51,5.7
実数／平成21年10～12月平均,2009,10～12,11385,7092,6749,343,4293,62.3,4.8,5640,4161,3963,198,1479,73.8,4.8,5745,2931,2786,145,2814,51,4.9
実数／平成22年１～３月平均,2010,01～03,11364,7097,6745,352,4261,62.5,5,5628,4192,3969,223,1431,74.5,5.3,5736,2905,2776,129,2830,50.6,4.4
実数／平成22年４～６月平均,2010,04～06,11388,7172,6721,451,4205,63,6.3,5634,4188,3896,292,1438,74.3,7,5754,2984,2825,159,2767,51.9,5.3
実数／平成22年７～９月平均,2010,07～09,11394,7062,6656,406,4323,62,5.7,5638,4166,3939,227,1469,73.9,5.4,5756,2896,2717,179,2854,50.3,6.2
実数／平成22年10～12月平均,2010,10～12,11405,7137,6791,345,4262,62.6,4.8,5642,4170,3961,209,1467,73.9,5,5764,2967,2831,136,2795,51.5,4.6
実数／平成23年１～３月平均,2011,01～03,11682,7458,7102,356,4216,63.8,4.8,5751,4326,4113,213,1421,75.2,4.9,5932,3133,2989,144,2795,52.8,4.6
実数／平成23年４～６月平均,2011,04～06,11706,7526,7153,373,4177,64.3,5,5762,4415,4195,220,1345,76.6,5,5944,3111,2958,153,2832,52.3,4.9
実数／平成23年７～９月平均,2011,07～09,11692,7318,6946,372,4371,62.6,5.1,5756,4285,4071,215,1468,74.4,5,5936,3033,2875,158,2903,51.1,5.2
実数／平成23年10～12月平均,2011,10～12,11697,7379,7047,332,4317,63.1,4.5,5757,4319,4109,210,1437,75,4.9,5940,3060,2938,122,2881,51.5,4
実数／平成24年１～３月平均,2012,01～03,11703,7395,7071,323,4306,63.2,4.4,5758,4291,4085,207,1466,74.5,4.8,5945,3104,2987,117,2840,52.2,3.8
対前年・前年同期増減数／平成17年平均,2005,,71,58,74,-15,11,0.2,-0.3,30,9,20,-11,20,-0.2,-0.3,41,49,54,-4,-10,0.5,-0.2
対前年・前年同期増減数／平成18年平均,2006,,80,72,104,-34,13,0.2,-0.5,37,23,39,-16,17,-0.1,-0.4,43,49,65,-17,-4,0.5,-0.7
対前年・前年同期増減数／平成19年平均,2007,,251,261,275,-13,-12,0.9,-0.4,145,198,214,-16,-55,1.6,-0.6,107,63,62,2,43,0.2,0
対前年・前年同期増減数／平成20年平均,2008,,60,53,53,0,13,0.1,0,28,22,25,-3,9,0,-0.1,31,31,27,3,3,0.3,0.1
対前年・前年同期増減数／平成21年平均,2009,,36,-43,-104,61,76,-0.5,0.9,15,-77,-107,30,90,-1.5,0.8,21,33,3,30,-13,0.4,0.9
対前年・前年同期増減数／平成22年平均,2010,,15,2,-53,55,11,-0.1,0.8,-2,-18,-70,52,15,-0.3,1.3,17,21,17,4,-5,0.2,0.1
対前年・前年同期増減数／平成23年平均,2011,,306,303,334,-31,7,1,-0.7,121,157,181,-24,-33,1.1,-0.8,185,146,153,-7,42,0.8,-0.4
対前年・前年同期増減数／平成18年７～９月平均,2006,07～09,81,112,150,-38,-28,0.5,-0.6,37,69,83,-13,-31,0.8,-0.4,43,43,67,-24,2,0.4,-1
対前年・前年同期増減数／平成18年10～12月平均,2006,10～12,84,-94,-97,3,182,-1.3,0.1,38,-52,-50,-2,89,-1.4,0,46,-41,-47,5,93,-1.1,0.2
対前年・前年同期増減数／平成19年１～３月平均,2007,01～03,258,271,250,21,-14,1,0.1,147,212,215,-3,-66,1.8,-0.3,111,59,35,24,53,0,0.8
対前年・前年同期増減数／平成19年４～６月平均,2007,04～06,252,217,229,-12,31,0.5,-0.3,144,198,206,-7,-58,1.6,-0.3,109,19,23,-4,88,-0.6,-0.1
対前年・前年同期増減数／平成19年７～９月平均,2007,07～09,256,293,318,-25,-38,1.2,-0.5,147,193,198,-5,-48,1.5,-0.3,109,100,121,-21,10,0.7,-0.8
対前年・前年同期増減数／平成19年10～12月平均,2007,10～12,241,265,304,-39,-25,1.1,-0.7,141,189,238,-49,-47,1.5,-1.4,100,75,66,10,21,0.4,0.3
対前年・前年同期増減数／平成20年１～３月平均,2008,01～03,67,73,128,-55,-8,0.3,-0.8,33,12,53,-42,23,-0.2,-1,34,62,75,-13,-32,0.8,-0.6
対前年・前年同期増減数／平成20年４～６月平均,2008,04～06,69,0,-11,11,78,-0.4,0.1,32,-12,-23,10,50,-0.6,0.2,36,12,12,0,28,-0.1,-0.1
対前年・前年同期増減数／平成20年７～９月平均,2008,07～09,57,-9,-46,36,73,-0.4,0.5,27,31,27,4,-1,0.2,0.1,30,-41,-73,32,74,-1,1.1
対前年・前年同期増減数／平成20年10～12月平均,2008,10～12,47,147,140,7,-94,1,0,21,58,44,14,-36,0.7,0.3,26,90,96,-6,-57,1.4,-0.4
対前年・前年同期増減数／平成21年１～３月平均,2009,01～03,43,-62,-80,18,101,-0.8,0.3,20,-72,-66,-6,86,-1.6,-0.1,22,10,-15,25,14,0,0.9
対前年・前年同期増減数／平成21年４～６月平均,2009,04～06,35,17,-46,63,13,0,0.9,19,-58,-93,34,74,-1.3,0.9,17,75,46,29,-60,1.1,0.9
対前年・前年同期増減数／平成21年７～９月平均,2009,07～09,33,-43,-131,89,77,-0.6,1.3,12,-72,-115,43,84,-1.5,1,21,30,-16,46,-7,0.4,1.6
対前年・前年同期増減数／平成21年10～12月平均,2009,10～12,31,-83,-158,75,116,-0.9,1.1,10,-103,-155,52,114,-1.9,1.4,21,19,-3,22,2,0.1,0.7
対前年・前年同期増減数／平成22年１～３月平均,2010,01～03,20,50,-26,76,-25,0.4,1.1,3,5,-72,77,1,0.1,1.8,18,45,47,-2,-25,0.6,-0.2
対前年・前年同期増減数／平成22年４～６月平均,2010,04～06,11,-5,-111,106,12,-0.1,1.5,-8,-38,-132,95,26,-0.6,2.3,18,33,22,11,-15,0.5,0.3
対前年・前年同期増減数／平成22年７～９月平均,2010,07～09,9,-82,-118,36,86,-0.7,0.5,-4,-50,-73,23,47,-0.8,0.6,13,-32,-45,13,40,-0.7,0.5
対前年・前年同期増減数／平成22年10～12月平均,2010,10～12,20,45,42,2,-31,0.3,0,2,9,-2,11,-12,0.1,0.2,19,36,45,-9,-19,0.5,-0.3
対前年・前年同期増減数／平成23年１～３月平均,2011,01～03,318,361,357,4,-45,1.3,-0.2,123,134,144,-10,-10,0.7,-0.4,196,228,213,15,-35,2.2,0.2
対前年・前年同期増減数／平成23年４～６月平均,2011,04～06,318,354,432,-78,-28,1.3,-1.3,128,227,299,-72,-93,2.3,-2,190,127,133,-6,65,0.4,-0.4
対前年・前年同期増減数／平成23年７～９月平均,2011,07～09,298,256,290,-34,48,0.6,-0.6,118,119,132,-12,-1,0.5,-0.4,180,137,158,-21,49,0.8,-1
対前年・前年同期増減数／平成23年10～12月平均,2011,10～12,292,242,256,-13,55,0.5,-0.3,115,149,148,1,-30,1.1,-0.1,176,93,107,-14,86,0,-0.6
対前年・前年同期増減数／平成24年１～３月平均,2012,01～03,21,-63,-31,-33,90,-0.6,-0.4,7,-35,-28,-6,45,-0.7,-0.1,13,-29,-2,-27,45,-0.6,-0.8
,,,,,,,,,,,,,,,,,,,,,,,
東京の労働力統計データ（平成24年１～３月平均）,,,,,,,,,,,,,,,,,,,,,,,
第２表　主な就業状態別、男女別15歳以上人口　,,,,,,,,,,,,,,,,,,,,,,,
