年・期,西暦(年),四半期,建設業（千人）,製造業（千人）,情報通信業（千人）,運輸業，郵便業（千人）,卸売業，小売業（千人）,金融業，保険業（千人）,不動産業，物品賃貸業（千人）,学術研究，専門･技術ｻｰﾋﾞｽ業（千人）,宿泊業，飲食ｻｰﾋﾞｽ業（千人）,生活関連ｻｰﾋﾞｽ業，娯楽業（千人）,教育，学習支援業（千人）,医療，福祉（千人）,ｻｰﾋﾞｽ業（他に分類されないもの）（千人）
実数／男／平成24年１～３月平均,2012,01～03,349,532,436,272,616,147,151,244,216,147,138,208,378
実数／女／平成21年平均,2009,,68,219,147,77,534,125,82,143,259,152,178,397,281
実数／女／平成22年平均,2010,,56,219,154,83,525,134,80,146,254,147,181,416,276
実数／女／平成23年平均,2011,,75,237,174,70,587,136,85,138,255,152,191,437,283
実数／女／平成21年10～12月平均,2009,10～12,58,202,154,129,530,111,78,156,245,147,179,406,298
実数／女／平成22年１～３月平均,2010,01～03,60,194,165,107,533,129,91,156,250,135,180,396,267
実数／女／平成22年４～６月平均,2010,04～06,65,222,150,57,529,136,81,150,257,162,191,421,272
実数／女／平成22年７～９月平均,2010,07～09,50,239,146,58,487,139,84,125,251,154,178,431,271
実数／女／平成22年10～12月平均,2010,10～12,50,220,157,109,553,134,66,153,259,137,177,416,294
実数／女／平成23年１～３月平均,2011,01～03,74,220,162,92,616,128,85,148,288,157,200,439,265
実数／女／平成23年４～６月平均,2011,04～06,75,252,170,68,596,140,89,137,232,134,191,434,309
実数／女／平成23年７～９月平均,2011,07～09,78,230,184,55,576,142,82,124,258,148,166,446,264
実数／女／平成23年10～12月平均,2011,10～12,73,248,179,65,559,134,82,142,243,169,206,429,296
実数／女／平成24年１～３月平均,2012,01～03,77,200,160,68,603,129,88,156,283,132,187,476,303
対前年・前年同期増減数／男女計／平成21年平均,2009,,-31,-58,23,29,-42,-7,-9,7,13,4,19,18,-49
対前年・前年同期増減数／男女計／平成22年平均,2010,,-46,-52,37,21,-33,-3,-5,9,-9,-10,8,29,-12
対前年・前年同期増減数／男女計／平成23年平均,2011,,23,15,5,-10,74,18,32,12,-9,24,11,32,44
対前年・前年同期増減数／男女計／平成21年10～12月平均,2009,10～12,-32,-110,-3,91,-36,10,-17,-32,-4,-18,65,-14,-57
対前年・前年同期増減数／男女計／平成22年１～３月平均,2010,01～03,-23,-146,-1,58,-22,-23,-22,7,-22,-10,44,69,-17
対前年・前年同期増減数／男女計／平成22年４～６月平均,2010,04～06,-42,-31,67,17,-87,-5,-6,10,-8,-5,-15,23,-23
対前年・前年同期増減数／男女計／平成22年７～９月平均,2010,07～09,-54,-9,54,22,-76,20,-8,10,-27,-17,12,13,-18
対前年・前年同期増減数／男女計／平成22年10～12月平均,2010,10～12,-66,-20,28,-15,52,-7,17,7,22,-10,-10,10,9
対前年・前年同期増減数／男女計／平成23年１～３月平均,2011,01～03,-10,12,-15,-3,67,17,22,3,24,58,17,73,37
対前年・前年同期増減数／男女計／平成23年４～６月平均,2011,04～06,41,34,-40,43,129,26,55,14,-69,-16,3,21,70
対前年・前年同期増減数／男女計／平成23年７～９月平均,2011,07～09,36,11,42,-41,115,5,19,26,9,10,-9,-9,38
対前年・前年同期増減数／男女計／平成23年10～12月平均,2011,10～12,28,1,32,-40,-12,24,30,9,-1,42,32,44,29
対前年・前年同期増減数／男女計／平成24年１～３月平均,2012,01～03,-26,-29,16,-61,-3,18,10,0,18,-7,-17,34,75
対前年・前年同期増減数／男／平成21年平均,2009,,-25,-44,17,10,-26,-8,-7,3,5,-2,15,14,-45
対前年・前年同期増減数／男／平成22年平均,2010,,-35,-52,30,15,-25,-13,-3,6,-4,-6,4,9,-7
対前年・前年同期増減数／男／平成23年平均,2011,,5,-4,-15,3,14,17,27,21,-10,19,2,12,36
対前年・前年同期増減数／男／平成21年10～12月平均,2009,10～12,-18,-79,15,20,-57,10,-20,-4,-18,-5,51,-4,-42
対前年・前年同期増減数／男／平成22年１～３月平均,2010,01～03,-12,-98,0,17,-26,-27,-21,4,-14,-5,24,28,-3
対前年・前年同期増減数／男／平成22年４～６月平均,2010,04～06,-31,-32,53,24,-70,-7,-5,-3,3,-8,-21,2,-27
対前年・前年同期増減数／男／平成22年７～９月平均,2010,07～09,-36,-37,42,14,-30,11,-14,10,-12,-11,22,7,-10
対前年・前年同期増減数／男／平成22年10～12月平均,2010,10～12,-58,-39,25,4,30,-29,29,9,8,0,-8,-1,13
対前年・前年同期増減数／男／平成23年１～３月平均,2011,01～03,-25,-14,-14,11,-16,19,28,11,-14,36,-3,29,39
対前年・前年同期増減数／男／平成23年４～６月平均,2011,04～06,31,5,-60,32,61,23,47,27,-45,12,3,8,33
対前年・前年同期増減数／男／平成23年７～９月平均,2011,07～09,8,21,4,-37,25,1,20,28,2,17,2,-24,45
対前年・前年同期増減数／男／平成23年10～12月平均,2011,10～12,5,-27,10,5,-18,23,14,21,14,11,3,31,27
対前年・前年同期増減数／男／平成24年１～３月平均,2012,01～03,-29,-9,19,-37,9,16,7,-8,23,17,-5,-2,37
対前年・前年同期増減数／女／平成21年平均,2009,,-6,-14,6,18,-16,1,-2,4,8,7,5,4,-5
対前年・前年同期増減数／女／平成22年平均,2010,,-12,0,7,6,-9,9,-2,3,-5,-5,3,19,-5
対前年・前年同期増減数／女／平成23年平均,2011,,19,18,20,-13,62,2,5,-8,1,5,10,21,7
対前年・前年同期増減数／女／平成21年10～12月平均,2009,10～12,-14,-31,-17,72,20,0,3,-27,15,-13,14,-9,-15
対前年・前年同期増減数／女／平成22年１～３月平均,2010,01～03,-12,-48,0,42,5,4,0,4,-8,-5,20,41,-14
対前年・前年同期増減数／女／平成22年４～６月平均,2010,04～06,-11,1,14,-7,-16,1,0,13,-10,3,6,21,4
対前年・前年同期増減数／女／平成22年７～９月平均,2010,07～09,-18,28,12,7,-45,10,8,-2,-16,-6,-10,5,-8
対前年・前年同期増減数／女／平成22年10～12月平均,2010,10～12,-8,18,3,-20,23,23,-12,-3,14,-10,-2,10,-4
対前年・前年同期増減数／女／平成23年１～３月平均,2011,01～03,14,26,-3,-15,83,-1,-6,-8,38,22,20,43,-2
対前年・前年同期増減数／女／平成23年４～６月平均,2011,04～06,10,30,20,11,67,4,8,-13,-25,-28,0,13,37
対前年・前年同期増減数／女／平成23年７～９月平均,2011,07～09,28,-9,38,-3,89,3,-2,-1,7,-6,-12,15,-7
対前年・前年同期増減数／女／平成23年10～12月平均,2011,10～12,23,28,22,-44,6,0,16,-11,-16,32,29,13,2
対前年・前年同期増減数／女／平成24年１～３月平均,2012,01～03,3,-20,-2,-24,-13,1,3,8,-5,-25,-13,37,38
,,,,,,,,,,,,,,,
東京の労働力統計データ（平成24年１～３月平均）,,,,,,,,,,,,,,,
第４表　主な産業別就業者数  ,,,,,,,,,,,,,,,
