項目名,,試料における定量下限,試料における検出下限,毒性等価係数,単位  ,1江戸川／金町取水点,2旧江戸川／浦安橋,3中川／平井小橋,3中川／平井小橋／外部精度管理,4新中川／小岩大橋,5新川／新川橋,6隅田川／小台橋,7隅田川／両国橋,7隅田川／両国橋／外部精度管理,8新河岸川／志茂橋,8新河岸川／志茂橋／外部精度管理,9白子川／落合橋／,10石神井川／豊石橋,11神田川／柳橋,12日本橋川／西河岸橋,13横十間川／天神橋,13横十間川／天神橋／外部精度管理,14大横川／福寿橋,15北十間川／京成橋,16堅川／二之橋,17小名木川／進開橋,17小名木川／進開橋／二重測定,18旧中川／中平井橋,19古川／金杉橋,20目黒川／太鼓橋,21立会川／立会川橋,22内川／富士見橋,22内川／富士見橋／二重測定,23呑川／夫婦橋,24日原川／氷川小橋,25平井川／多西橋,26北秋川／西川橋,27大栗川／向ノ岡大橋,28野川／天神森橋,29恩田川／都橋,30境川／鶴間一号橋,30境川／鶴間一号橋／二重測定,31黒沢川／落合橋,32空堀川／梅坂橋,33黒目川／神宝大橋,33黒目川／神宝大橋／二重測定,1小河内ﾀﾞﾑ／ﾀﾞﾑ前定点
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",HxCDDs,-,-,-,pg/L,0.65,0.54,4.5,5.0,4.4,0.68,3.7,0.32,0.72,2.6,2.6,2.8,0.25,0.06,0.07,2.0,2.8,0.30,1.9,0.21,0.48,0.37,1.4,0.10,ND,ND,(0.17),(0.17),ND,ND,0.27,ND,0.18,0.34,(0.18),(0.05),(0.06),ND,ND,0.21,0.19,ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,6,7,8-HpCDD",0.20,0.06,0.01,pg/L,1.3,1.4,11,13,13,1.3,6.4,0.84,0.91,3.6,4.1,5.4,0.75,(0.17),(0.15),6.7,7.0,0.86,5.0,0.75,1.2,0.86,3.0,(0.17),(0.10),ND,0.21,0.27,(0.16),ND,0.55,ND,0.40,0.26,(0.15),0.20,(0.19),0.43,ND,0.24,0.23,ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",HpCDDs,-,-,-,pg/L,2.8,3.0,23,27,25,3.2,12,1.7,2.0,6.9,7.8,10,1.4,0.34,0.33,12,13,1.8,9.2,1.4,2.4,1.7,6.5,0.46,0.26,ND,0.57,0.57,0.33,ND,1.1,ND,0.84,0.51,0.28,0.41,0.37,0.77,ND,0.49,0.46,ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",OCDD,0.50,0.20,0.0003,pg/L,23,28,210,230,240,27,88,14,11,48,50,76,11,1.4,1.6,61,63,11,48,11,16,9.1,35,2.5,1.0,ND,2.1,2.1,1.3,ND,8.5,ND,5.3,2.0,0.7,1.8,1.8,6.9,(0.3),2.0,2.0,ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",TotalPCDDs,-,-,-,pg/L,35,39,300,320,340,37,130,20,19,75,78,110,18,4.6,2.9,79,84,16,63,16,21,13,46,5.2,5.9,0.19,3.6,3.8,3.1,0.05,12,0.12,7.2,3.5,1.5,4.4,4.2,8.2,0.42,3.3,3.1,0.1
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,7,8-TeCDF",0.10,0.03,0.1,pg/L,ND,ND,0.16,0.27,0.11,ND,0.38,ND,0.08,0.18,0.33,0.31,ND,ND,ND,0.21,0.38,(0.04),0.19,(0.05),(0.05),(0.07),0.12,ND,ND,ND,(0.08),(0.07),ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,3,6,8-TeCDF",0.10,0.03,-,pg/L,ND,ND,0.36,-,0.11,ND,0.26,(0.07),-,0.18,-,0.29,(0.05),(0.04),ND,0.26,-,(0.10),0.47,(0.04),(0.08),(0.10),0.12,(0.03),(0.05),(0.03),(0.07),(0.08),ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,7,8-TeCDF",0.10,0.03,-,pg/L,(0.03),ND,0.14,0.20,0.10,ND,0.34,(0.04),0.09,0.18,0.27,0.24,ND,ND,ND,0.17,0.33,(0.03),0.16,(0.04),(0.05),(0.07),(0.09),ND,ND,ND,(0.07),(0.09),ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",TeCDFs,-,-,-,pg/L,0.41,0.29,5.1,5.8,3.9,0.40,5.2,0.64,1.3,4.1,3.9,4.7,0.81,0.50,0.24,2.5,3.8,0.74,3.0,0.38,0.87,0.93,1.7,0.57,1.5,0.47,1.7,1.8,0.62,ND,0.47,ND,0.18,0.19,0.59,0.35,0.23,ND,ND,0.12,0.12,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,7,8-PeCDF",0.10,0.03,0.03,pg/L,(0.03),ND,0.12,0.22,0.17,ND,0.28,ND,0.04,0.22,0.17,0.17,ND,ND,ND,(0.08),0.14,ND,(0.10),(0.04),(0.03),ND,(0.07),ND,ND,ND,ND,(0.04),ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,4,7,8-PeCDF",0.10,0.03,0.3,pg/L,ND,ND,0.16,0.16,0.12,ND,0.29,ND,(0.04),0.21,0.18,0.23,ND,ND,ND,(0.10),0.13,ND,(0.10),ND,ND,ND,ND,ND,ND,ND,(0.04),ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",PeCDFs,-,-,-,pg/L,0.63,0.42,3.9,3.9,3.4,0.50,5.0,0.62,0.77,4.0,3.0,4.0,1.1,0.69,0.50,2.4,2.6,0.86,2.6,0.32,0.81,0.62,1.6,0.56,0.88,0.18,1.2,1.4,0.75,ND,0.68,ND,0.15,0.25,0.32,0.38,0.43,0.20,0.12,0.33,0.33,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,7,8-HxCDF",0.20,0.06,0.1,pg/L,ND,ND,0.35,0.35,0.22,ND,0.56,ND,0.078,0.34,0.33,0.39,ND,ND,ND,0.30,0.37,ND,0.23,ND,ND,ND,(0.15),ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,6,7,8-HxCDF",0.20,0.06,0.1,pg/L,ND,ND,0.28,0.30,0.23,ND,0.43,ND,0.06,0.36,0.32,0.30,ND,ND,ND,(0.14),0.18,ND,(0.13),ND,ND,ND,(0.09),ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,7,8,9-HxCDF",0.20,0.06,0.1,pg/L,ND,ND,ND,0.04,ND,ND,ND,ND,ND,ND,(0.04),ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,4,6,7,8-HxCDF",0.20,0.06,0.1,pg/L,(0.07),(0.06),0.37,0.37,(0.16),(0.07),0.45,ND,(0.06),0.54,0.47,0.30,ND,ND,ND,(0.18),0.21,ND,(0.18),ND,ND,ND,(0.12),ND,ND,ND,(0.06),(0.07),ND,ND,(0.10),ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",HxCDFs,-,-,-,pg/L,0.53,0.40,4.8,4.7,3.8,0.45,5.5,0.40,0.56,3.9,3.3,3.5,0.23,0.07,0.06,4.2,4.4,0.94,3.2,0.29,0.66,0.59,1.9,0.05,ND,ND,0.42,0.47,ND,ND,0.47,ND,0.09,(0.10),(0.07),(0.06),(0.07),ND,ND,0.21,0.16,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,6,7,8-HpCDF",0.20,0.06,0.01,pg/L,0.27,0.27,2.6,2.6,1.9,0.31,3.0,0.49,0.39,1.7,1.9,2.2,0.24,ND,ND,4.8,5.3,0.49,3.7,0.36,0.76,0.62,1.7,ND,ND,ND,(0.16),(0.17),ND,ND,0.29,ND,(0.13),(0.14),ND,(0.10),(0.10),ND,ND,(0.16),(0.15),ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,7,8,9-HpCDF",0.20,0.06,0.01,pg/L,(0.08),ND,0.38,0.44,0.41,ND,0.54,ND,0.05,0.34,0.30,0.33,ND,ND,ND,0.33,0.35,ND,0.24,ND,ND,ND,(0.14),ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",HpCDFs,-,-,-,pg/L,0.63,0.59,6.8,6.9,5.1,0.59,7.9,1.2,1.0,4.1,4.5,5.7,0.46,ND,ND,14,15,1.3,10,0.91,2.2,1.6,4.4,ND,ND,ND,(0.16),(0.17),ND,ND,0.43,ND,0.13,(0.14),ND,(0.10),(0.10),ND,ND,0.16,0.15,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",OCDF,0.50,0.20,0.0003,pg/L,0.6,0.8,6.9,7.4,4.5,0.7,8.9,2.3,1.4,4.2,4.2,7.1,(0.4),ND,ND,19,21,1.9,14,1.5,3.4,2.1,5.5,ND,ND,ND,ND,ND,ND,ND,(0.3),ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",TotalPCDFs,-,-,-,pg/L,2.8,2.5,28,29,21,2.6,33,5.2,5.0,20,19,25,3,1.3,0.8,42,47,5.7,33,3.4,7.9,5.8,15,1.2,2.4,0.65,3.5,3.8,1.4,ND,2.4,ND,0.55,0.68,0.98,0.89,0.83,0.2,0.12,0.82,0.76,ND
Total（PCDDs ＋ PCDFs）,,-,-,-,pg/L,38,42,330,350,360,40,160,25,24,95,97,140,21,5.8,3.7,120,130,21,96,19,29,19,61,6.4,8.3,0.84,7.1,7.6,4.5,0.05,15,0.12,7.8,4.1,2.5,5.2,5.1,8.4,0.54,4.1,3.9,0.1
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,4,4',5-TeCB(#81)",0.20,0.06,0.0003,pg/L,ND,ND,0.33,0.33,0.21,ND,1.2,(0.19),0.20,0.65,0.53,0.92,ND,ND,ND,1.6,2.2,0.25,1.2,(0.20),0.37,0.37,0.98,ND,ND,ND,0.78,0.80,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4'-TeCB(#77)",0.20,0.06,0.0001,pg/L,0.82,1.4,52,68,15,3.5,210,16,18,97,87,160,1.4,3.1,2.2,77,94,15,61,15,19,15,39,1.9,1.4,1.2,22,22,0.85,0.23,1.3,0.29,0.75,0.94,0.79,1.5,1.4,0.54,0.36,0.55,0.51,0.40
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4',5-PeCB(#126)",0.20,0.06,0.1,pg/L,(0.09),ND,0.96,1.1,0.42,(0.12),2.4,0.25,0.22,0.97,0.84,1.8,ND,ND,(0.10),1.2,1.4,0.24,1.1,0.22,0.26,0.29,0.98,(0.15),ND,ND,0.73,0.73,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4',5,5'-HxCB(#169)",0.20,0.06,0.03,pg/L,ND,ND,ND,0.066,ND,ND,0.34,ND,0.050,0.20,0.18,0.25,ND,ND,ND,ND,0.092,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ",Non-orthoPCBs,-,-,-,pg/L,0.91,1.4,53,69,16,3.6,210,16,18,99,89,160,1.4,3.1,2.3,80,98,15,63,15,20,16,41,2.1,1.4,1.2,24,24,0.85,0.23,1.3,0.29,0.75,0.94,0.79,1.5,1.4,0.54,0.36,0.55,0.51,0.4
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2',3,4,4',5-PeCB(#123)",0.20,0.06,0.00003,pg/L,(0.13),(0.11),1.2,1.4,0.63,0.21,5.9,0.81,1.0,2.3,2.2,4.0,(0.20),0.25,0.31,4.3,5.0,0.88,4.0,0.66,1.1,1.0,2.8,0.54,(0.15),0.63,2.8,2.4,(0.12),ND,0.21,ND,ND,(0.17),(0.10),0.38,0.34,ND,ND,(0.12),(0.13),ND
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3',4,4',5-PeCB(#118)",0.20,0.06,0.00003,pg/L,5.9,8.3,83,74,41,17,420,62,58,220,200,290,8.8,16,20,240,270,55,210,61,72,64,200,39,8.9,36,180,180,13,0.61,6.8,1.1,3.4,6.2,3.8,18,17,3.6,2.2,5.0,4.7,1.3
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3',4,4'-PeCB(#105)",0.20,0.06,0.00003,pg/L,2.5,3.2,23,21,14,5.3,96,15,14,46,39,70,3.7,5.0,6.4,83,88,16,74,16,22,19,73,15,3.6,16,63,64,4.2,0.39,4.2,0.50,1.7,2.8,2.2,7.7,7.5,1.6,1.1,2.3,2.2,0.73
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,4,4',5-PeCB(#114)",0.20,0.06,0.00003,pg/L,(0.17),0.20,1.6,1.3,0.93,0.35,6.9,1.1,1.0,3.5,2.8,5.5,0.27,0.35,0.36,4.8,5.9,0.89,3.8,1.2,0.99,0.77,3.1,0.76,0.28,1.1,3.6,3.5,0.24,ND,0.33,ND,(0.12),(0.17),(0.17),0.58,0.56,ND,ND,(0.12),(0.13),ND
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3'4,4',5,5'-HxCB(#167)",0.20,0.06,0.00003,pg/L,0.30,0.28,2.5,2.4,1.6,0.53,9.5,1.2,1.3,4.7,4.5,7.0,0.48,0.39,0.55,6.8,7.3,0.88,5.7,1.2,1.2,1.1,5.2,2.0,0.21,1.0,4.6,4.7,0.42,ND,0.23,ND,(0.16),0.35,(0.15),0.68,0.66,0.21,ND,0.27,0.26,ND
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4',5-HxCB(#156)",0.20,0.06,0.00003,pg/L,0.63,0.67,5.8,5.6,3.8,1.0,22,2.8,3.3,12,11,17,1.1,0.95,1.4,16,19,1.8,13,2.8,2.3,2.1,11,4.9,0.52,2.4,9.8,10,0.94,ND,0.50,(0.09),0.37,0.73,0.28,1.4,1.4,0.29,(0.15),0.55,0.54,ND
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4',5'-HxCB(#157)",0.20,0.06,0.00003,pg/L,(0.19),(0.15),1.4,1.6,0.93,0.28,5.2,0.75,0.81,2.8,2.6,4.0,0.30,0.24,0.34,3.9,4.5,0.48,3.3,0.66,0.70,0.58,3.1,1.3,(0.12),0.60,2.6,2.6,(0.19),ND,(0.16),ND,(0.12),0.22,(0.09),0.39,0.36,ND,ND,(0.17),(0.17),ND
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4'5,5'-HpCB(#189)",0.20,0.06,0.00003,pg/L,ND,ND,0.41,0.47,0.28,ND,1.5,(0.19),0.20,0.77,0.80,1.1,(0.08),ND,ND,1.1,1.4,(0.14),0.90,(0.17),(0.19),(0.15),0.67,0.27,ND,ND,0.44,0.45,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ",Mono-orthoPCBs,-,-,-,pg/L,9.8,13,120,110,63,25,570,84,80,290,260,400,15,23,29,360,400,76,310,84,100,89,300,64,14,58,270,270,19,1,12,1.7,5.9,11,6.8,29,28,5.7,3.5,8.5,8.1,2
Total ｺﾌﾟﾗﾅｰPCBs,,-,-,-,pg/L,11,14,170,180,79,28,780,100,98,390,350,560,16,26,32,440,500,92,380,99,120,100,340,66,15,59,290,290,20,1.2,14,2,6.6,12,7.6,31,29,6.2,3.8,9.1,8.6,2.4
Total（PCDDs ＋ PCDFs + ｺﾌﾟﾗﾅｰPCBs）,,-,-,-,pg/L,49,56,500,530,440,68,940,130,120,490,450,700,37,32,35,560,630,110,470,120,150,120,400,72,23,60,300,300,24,1.3,28,2.1,14,16,10,36,34,15,4.4,13,13,2.5
TEQ（PCDDs＋PCDFs）※1,,,,,pg-TEQ/L,0.085,0.086,0.64,0.74,0.59,0.089,0.68,0.076,0.076,0.49,0.54,0.56,0.071,0.06,0.06,0.33,0.37,0.078,0.28,0.077,0.087,0.081,0.18,0.061,0.059,0.058,0.079,0.073,0.06,0.058,0.076,0.058,0.065,0.062,0.06,0.061,0.061,0.064,0.058,0.062,0.062,0.058
TEQ（ｺﾌﾟﾗﾅｰPCBs）※1,,,,,pg-TEQ/L,0.01,0.0044,0.11,0.12,0.046,0.014,0.29,0.03,0.028,0.12,0.11,0.22,0.0045,0.0049,0.012,0.14,0.16,0.029,0.13,0.027,0.032,0.034,0.11,0.018,0.0045,0.0058,0.084,0.084,0.0046,0.004,0.0044,0.004,0.0042,0.0043,0.0042,0.0049,0.0049,0.0041,0.0041,0.0042,0.0042,0.004
TEQ（WHO-TEF(2006)）※1,,,,,pg-TEQ/L,0.096,0.091,0.75,0.86,0.63,0.10,0.97,0.11,0.10,0.62,0.65,0.77,0.076,0.065,0.072,0.47,0.54,0.11,0.40,0.10,0.12,0.12,0.29,0.079,0.064,0.064,0.16,0.16,0.065,0.062,0.080,0.062,0.069,0.067,0.064,0.066,0.066,0.069,0.063,0.067,0.066,0.062
TEQ（WHO-TEF(1998)）※1，※2,,,,,pg-TEQ/L,0.080,0.074,0.62,0.86,0.50,0.088,0.96,0.098,0.12,0.59,0.7,0.77,0.063,0.055,0.062,0.49,0.59,0.098,0.43,0.097,0.11,0.11,0.30,0.073,0.068,0.072,0.18,0.17,0.069,0.050,0.067,0.050,0.056,0.055,0.052,0.056,0.056,0.055,0.050,0.055,0.055,0.050
浮遊物質量（SS）,,,,,mg/L,6,5,17,17,15,3,23,3,3,12,12,3,1,1,1,3,3,2,3,7,2,2,4,2,5,1未満,2,2,5,1未満,4,1未満,3,2,1,3,3,1,1未満,2,2,1
"※1 TEQを換算する際に、分析値が検出下限未満のものについては""検出下限×1/2""として扱った。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
※2 WHO-TEF(1998)により毒性等量を算出した参考値。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
