項目名,,試料における定量下限,試料における検出下限,毒性等価係数,単位※1,(1)東京湾／St.5,(2)東京湾／St.6,(3)東京湾／St.8,(3)東京湾／St.8／外部精度管理,(4)東京湾／St.22,(5)東京湾／St.23,(6)東京湾／St.25,(7)東京湾／St.32,(7)東京湾／St.32／二重測定,(8)東京湾／St.35
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,3,6,8-TeCDF",0.30,0.10,-,pg/g,2.3,4.0,4.9,4.0,6.9,0.8,2.6,1.9,2.0,4.0
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,7,8-TeCDF",0.30,0.10,-,pg/g,5.9,6.2,4.6,4.5,10,1.8,10,7.1,7.1,9.8
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",TeCDFs,-,-,-,pg/g,84,110,120,110,230,26,140,100,100,180
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,7,8-PeCDF",0.30,0.10,0.03,pg/g,5.8,6.7,5.8,6.7,14,2.1,6.6,4.3,4.6,9.7
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,4,7,8-PeCDF",0.30,0.10,0.3,pg/g,4.0,4.6,4.8,5.0,8.9,1.2,4.5,3.4,3.5,7.2
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",PeCDFs,-,-,-,pg/g,280,260,150,170,340,52,620,590,620,800
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,7,8-HxCDF",0.70,0.20,0.1,pg/g,8.4,10,9.2,10,23,3.0,9.9,6.5,6.5,16
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,6,7,8-HxCDF",0.70,0.20,0.1,pg/g,5.4,6.5,7.2,8.4,15,1.9,6.5,5.1,5.1,11
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,7,8,9-HxCDF",0.70,0.20,0.1,pg/g,(0.5),(0.5),0.7,0.7,1.4,ND,(0.6),(0.5),(0.5),1.3
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,4,6,7,8-HxCDF",0.70,0.20,0.1,pg/g,6.7,9.4,9.3,9.6,24,2.0,12,9.2,9.3,20
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",HxCDFs,-,-,-,pg/g,420,390,180,210,630,79,1000,900,920,1400
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,6,7,8-HpCDF",0.70,0.20,0.01,pg/g,74,88,61,65,230,29,93,49,51,160
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,7,8,9-HpCDF",0.70,0.20,0.01,pg/g,7.0,9.7,9.4,9.7,23,3.2,9.4,5.8,6.2,17
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",HpCDFs,-,-,-,pg/g,260,280,170,190,710,92,440,310,310,680
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",OCDF,1.70,0.50,0.0003,pg/g,220,240,150,150,710,96,240,110,99,440
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",TotalPCDFs,-,-,-,pg/g,1300,1300,770,830,2600,350,2400,2000,2000,3500
Total（PCDDs ＋ PCDFs）,,-,-,-,pg/g,4000,5600,7600,8100,16000,1200,7100,4000,4000,11000
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,4,4',5-TeCB(#81)",0.70,0.20,0.0003,pg/g,14,18,13,12,24,5.3,9.0,8.3,9.8,8.8
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4'-TeCB(#77)",0.70,0.20,0.0001,pg/g,700,910,910,1000,1000,200,440,270,300,390
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4',5-PeCB(#126)",0.70,0.20,0.1,pg/g,17,22,19,21,34,5.3,16,13,15,18
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4',5,5'-HxCB(#169)",0.70,0.20,0.03,pg/g,2.3,2.8,2.9,2.5,5.3,ND,2.3,1.8,2.3,3.1
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ",Non-orthoPCBs,-,-,-,pg/g,730,950,940,1000,1100,210,470,290,330,420
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2',3,4,4',5-PeCB(#123)",0.70,0.20,0.00003,pg/g,47,50,42,38,70,15,35,39,36,41
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3',4,4',5-PeCB(#118)",0.70,0.20,0.00003,pg/g,3200,3400,2500,2400,4700,1000,2200,2300,2400,2400
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3',4,4'-PeCB(#105)",0.70,0.20,0.00003,pg/g,1100,1100,740,770,1900,320,840,740,760,830
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,4,4',5-PeCB(#114)",0.70,0.20,0.00003,pg/g,49,46,45,48,61,15,29,36,36,28
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3'4,4',5,5'-HxCB(#167)",0.70,0.20,0.00003,pg/g,110,110,80,87,170,34,84,99,100,94
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4',5-HxCB(#156)",0.70,0.20,0.00003,pg/g,250,230,180,200,350,77,170,210,220,180
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4',5'-HxCB(#157)",0.70,0.20,0.00003,pg/g,66,64,50,55,99,20,49,55,59,52
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4'5,5'-HpCB(#189)",0.70,0.20,0.00003,pg/g,21,20,13,15,31,5.9,17,16,15,19
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ",Mono-orthoPCBs,-,-,-,pg/g,4800,5000,3700,3600,7400,1500,3400,3500,3600,3600
Total ｺﾌﾟﾗﾅｰPCBs,,-,-,-,pg/g,5600,6000,4600,4600,8400,1700,3900,3800,4000,4100
Total（PCDDs ＋ PCDFs + ｺﾌﾟﾗﾅｰPCBs）,,-,-,-,pg/g,9600,12000,12000,13000,25000,2900,11000,7800,7900,15000
TEQ（PCDDs＋PCDFs）※2,,,,,pg-TEQ/g,10,13,15,17,35,3.4,14,8.6,8.6,25
TEQ（ｺﾌﾟﾗﾅｰPCBs）※2,,,,,pg-TEQ/g,2,2.5,2.2,2.4,3.9,0.6,1.8,1.5,1.7,2
TEQ（WHO-TEF(2006)）※2,,,,,pg-TEQ/g,12,16,17,20,39,4.0,16,10,10,27
TEQ（WHO-TEF(1998)）※2，※3,,,,,pg-TEQ/g,13,17,18,20,39,4.3,17,11,11,27
強熱減量,,,,,mg/g,19.6,16.9,16.4,16.4,35.3,6.1,12.9,9.8,9.8,25.2
泥分量,,,,,mg/g,89.3,81.3,88.6,88.6,89.3,70.1,68.3,79.1,79.1,66.5
※1 単位のpg/gは乾燥重量あたりの換算濃度である。,,,,,,,,,,,,,,,
"※2 TEQを換算する際に、分析値が検出下限未満のものについては""検出下限×1/2""として扱った。",,,,,,,,,,,,,,,
※3 WHO-TEF(1998)により毒性等量を算出した参考値。,,,,,,,,,,,,,,,
