項目名,,試料における定量下限,試料における検出下限,毒性等価係数,単位※1,(1)東京湾／St.5,(2)東京湾／St.6,(3)東京湾／St.8,(3)東京湾／St.8／外部精度管理,(4)東京湾／St.22,(5)東京湾／St.23,(6)東京湾／St.25,(7)東京湾／St.32,(7)東京湾／St.32／二重測定,(8)東京湾／St.35
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,7,8-PeCDF",0.30,0.10,0.03,pg/g,4.4,4.3,3.5,2.9,5.8,4.1,3.9,2.1,2.8,5.8
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,4,7,8-PeCDF",0.30,0.10,0.3,pg/g,4.2,4.6,4.8,4.5,8.8,3.8,4.4,4.2,4.5,9.4
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",PeCDFs,-,-,-,pg/g,310,230,110,86,610,270,740,590,570,650
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,7,8-HxCDF",0.70,0.20,0.1,pg/g,9.0,10,8.5,7.6,18,8.2,11,6.9,7.7,19
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,6,7,8-HxCDF",0.70,0.20,0.1,pg/g,6.1,7.8,7.7,6.0,16,5.4,8.1,6.5,6.9,15
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,7,8,9-HxCDF",0.70,0.20,0.1,pg/g,(0.5),(0.7),0.7,0.6,ND,(0.6),(0.7),ND,ND,0.9
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,4,6,7,8-HxCDF",0.70,0.20,0.1,pg/g,7.0,8.4,8.5,9.2,25,6.4,9.5,9.8,9.5,16
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",HxCDFs,-,-,-,pg/g,420,310,110,97,910,340,1100,830,820,1000
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,6,7,8-HpCDF",0.70,0.20,0.01,pg/g,68,85,52,47,160,65,88,50,48,180
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,7,8,9-HpCDF",0.70,0.20,0.01,pg/g,7.9,9.2,8.5,6.8,16,6.3,11,6.5,6.3,19
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",HpCDFs,-,-,-,pg/g,260,270,140,120,580,240,500,290,280,730
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",OCDF,1.70,0.50,0.0003,pg/g,210,250,150,130,480,210,280,95,93,730
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",TotalPCDFs,-,-,-,pg/g,1300,1200,620,550,2800,1200,2700,1900,1900,3300
Total（PCDDs ＋ PCDFs）,,-,-,-,pg/g,4200,5400,6500,5600,12000,3900,7600,3900,3700,16000
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,4,4',5-TeCB(#81)",0.70,0.20,0.0003,pg/g,13,14,11,13,12,13,8.5,10,9.4,14
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4'-TeCB(#77)",0.70,0.20,0.0001,pg/g,790,950,860,810,640,600,420,310,300,510
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4',5-PeCB(#126)",0.70,0.20,0.1,pg/g,22,23,20,15,22,18,14,17,17,24
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4',5,5'-HxCB(#169)",0.70,0.20,0.03,pg/g,2.4,2.0,2.8,2.3,3.3,1.9,2.3,2.6,2.3,4.2
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ",Non-orthoPCBs,-,-,-,pg/g,830,990,890,840,680,630,440,340,330,550
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2',3,4,4',5-PeCB(#123)",0.70,0.20,0.00003,pg/g,60,54,47,53,44,57,29,52,54,63
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3',4,4',5-PeCB(#118)",0.70,0.20,0.00003,pg/g,3600,3400,2700,2700,3000,3100,2100,3100,3000,3500
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3',4,4'-PeCB(#105)",0.70,0.20,0.00003,pg/g,1300,1200,800,850,1200,1100,820,960,980,1400
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,4,4',5-PeCB(#114)",0.70,0.20,0.00003,pg/g,52,48,55,58,36,52,27,55,56,50
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3'4,4',5,5'-HxCB(#167)",0.70,0.20,0.00003,pg/g,120,110,92,84,110,120,85,130,130,150
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4',5-HxCB(#156)",0.70,0.20,0.00003,pg/g,260,230,200,200,220,270,180,290,300,300
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4',5'-HxCB(#157)",0.70,0.20,0.00003,pg/g,72,66,51,49,62,70,48,75,80,83
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4'5,5'-HpCB(#189)",0.70,0.20,0.00003,pg/g,21,20,14,13,21,20,15,18,18,31
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ",Mono-orthoPCBs,-,-,-,pg/g,5500,5100,4000,4000,4700,4800,3300,4700,4600,5600
Total ｺﾌﾟﾗﾅｰPCBs,,-,-,-,pg/g,6300,6100,4900,4800,5400,5400,3700,5000,4900,6100
Total（PCDDs ＋ PCDFs + ｺﾌﾟﾗﾅｰPCBs）,,-,-,-,pg/g,10000,12000,11000,10000,17000,9300,11000,8900,8700,22000
TEQ（PCDDs＋PCDFs）※2,,,,,pg-TEQ/g,11,13,15,14,27,10,14,9.8,9.7,29
TEQ（ｺﾌﾟﾗﾅｰPCBs）※2,,,,,pg-TEQ/g,2.5,2.6,2.3,1.8,2.5,2.1,1.6,2,1.9,2.7
TEQ（WHO-TEF(2006)）※2,,,,,pg-TEQ/g,13,16,17,15,30,12,16,12,12,32
TEQ（WHO-TEF(1998)）※2，※3,,,,,pg-TEQ/g,14,17,18,16,31,13,16,13,13,32
強熱減量,,,,,mg/g,9.8,8.9,10.3,10.3,11.2,8.1,8.7,9.8,9.8,10.5
泥分量,,,,,mg/g,68.0,77.2,72.0,72.0,57.0,60.0,63.9,71.5,71.5,55.2
※1 単位のpg/gは乾燥重量あたりの換算濃度である。,,,,,,,,,,,,,,,
"※2 TEQを換算する際に、分析値が検出下限未満のものについては""検出下限×1/2""として扱った。",,,,,,,,,,,,,,,
※3 WHO-TEF(1998)により毒性等量を算出した参考値。,,,,,,,,,,,,,,,
