項目名,,試料における定量下限,試料における検出下限,毒性等価係数,単位  ,1江戸川／金町取水点,2旧江戸川／浦安橋,3中川／平井小橋,4新中川／小岩大橋,5新川／新川橋,6隅田川／小台橋,6隅田川／小台橋／二重測定,7隅田川／両国橋,8新河岸川／志茂橋,9白子川／落合橋,10石神井川／豊石橋,11神田川／柳橋,12日本橋川／西河岸橋,13横十間川／天神橋,13横十間川／天神橋／二重測定,14大横川／福寿橋,15北十間川／京成橋,16竪川／二之橋,17小名木川／進開橋,18旧中川／中平井橋,19古川／金杉橋,20目黒川／太鼓橋,21立会川／立会川橋,22内川／富士見橋,23呑川／夫婦橋,25平井川／多西橋,27大栗川／向ノ岡大橋,28野川／天神森橋,29恩田川／都橋,30堺川／鶴間一号橋,30堺川／鶴間一号橋／二重測定,31黒沢川／落合橋,32空堀川／梅坂橋,33黒目川／神宝大橋,33黒目川／神宝大橋／二重測定,1小河内ダム／ダム前定点
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",HxCDDs,-,-,-,pg/L,0.46,1.5,4.9,4.1,0.60,0.70,0.74,1.3,0.33,0.77,0.27,0.51,0.31,0.75,0.62,0.65,0.65,0.26,(0.12),0.62,(0.12),(0.06),ND,0.83,ND,0.81,(0.16),0.30,(0.11),0.49,0.40,(0.13),(0.11),0.45,0.37,ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,6,7,8-HpCDD",0.20,0.06,0.01,pg/L,1.1,4.8,16,14,1.4,1.2,1.2,2.8,0.90,2.2,0.73,0.83,0.28,1.7,1.7,1.1,1.4,0.53,0.35,1.3,(0.18),(0.12),ND,0.91,0.21,0.66,0.27,0.27,(0.16),0.72,0.64,0.36,(0.11),0.49,0.45,(0.11)
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",HpCDDs,-,-,-,pg/L,2.4,10,34,31,3.1,2.3,2.4,5.5,1.8,4.3,1.6,1.7,0.55,3.3,3.0,2.3,2.8,1.2,0.73,3.0,0.40,0.27,ND,2.0,0.43,1.4,0.57,0.60,0.32,1.6,1.3,0.68,0.25,1.2,0.89,0.20
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",OCDD,0.50,0.20,0.0003,pg/L,16,94,300,260,22,14,15,37,13,38,9.4,12,1.2,16,16,13,15,7.5,3.2,16,1.7,0.9,(0.3),8.3,1.6,3.8,2.9,2.7,2.2,9.7,9.4,6.1,0.5,5.7,3.8,0.7
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",TotalPCDDs,-,-,-,pg/L,26,130,410,360,32,25,26,59,22,57,16,27,5.9,23,22,24,22,12,7,23,5.2,6.3,0.49,13,5.5,7.4,4.4,4.5,3.3,14,13,7.4,1.7,8.4,6.1,1
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,7,8-TeCDF",0.10,0.03,0.1,pg/L,ND,ND,(0.07),(0.04),ND,(0.07),(0.07),0.13,ND,(0.04),(0.05),(0.06),(0.03),(0.08),(0.07),(0.07),(0.08),(0.04),ND,(0.07),ND,ND,(0.05),0.18,ND,ND,ND,(0.03),ND,(0.05),(0.05),ND,ND,(0.03),ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,3,6,8-TeCDF",0.10,0.03,-,pg/L,ND,(0.05),0.13,(0.06),ND,0.11,0.13,0.17,(0.07),(0.06),(0.07),(0.09),(0.05),0.15,0.16,(0.10),(0.10),(0.10),(0.06),0.10,(0.03),(0.04),ND,(0.08),(0.04),(0.03),ND,ND,(0.04),ND,ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,7,8-TeCDF",0.10,0.03,-,pg/L,ND,(0.03),(0.07),(0.04),ND,(0.07),(0.08),0.12,ND,(0.03),(0.05),(0.05),ND,(0.07),(0.06),(0.07),(0.06),(0.04),(0.03),(0.06),ND,ND,(0.04),0.11,ND,ND,ND,(0.04),ND,(0.05),(0.04),ND,ND,(0.03),ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",TeCDFs,-,-,-,pg/L,0.22,0.84,3.3,2.3,0.34,1.7,1.8,2.6,0.98,0.99,1.0,1.1,0.58,1.3,1.2,1.3,1.3,0.78,0.48,1.4,0.54,0.47,0.90,3.1,0.47,0.71,0.16,0.48,0.44,0.83,0.77,ND,(0.06),0.42,0.39,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,7,8-PeCDF",0.10,0.03,0.03,pg/L,ND,ND,0.13,(0.08),ND,(0.07),(0.07),0.12,(0.03),(0.04),(0.04),(0.05),ND,(0.04),(0.03),(0.06),(0.06),(0.03),ND,(0.07),ND,ND,ND,(0.10),ND,ND,ND,(0.03),ND,(0.05),(0.04),ND,ND,(0.04),(0.04),ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,4,7,8-PeCDF",0.10,0.03,0.3,pg/L,ND,ND,(0.08),(0.05),ND,(0.06),(0.06),0.10,ND,ND,(0.04),ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.10,ND,ND,ND,ND,ND,(0.05),(0.05),ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",PeCDFs,-,-,-,pg/L,0.49,0.97,2.8,1.9,0.57,1.7,1.7,2.4,1.6,1.5,1.0,1.4,1.3,1.4,1.3,1.6,1.1,0.63,0.81,1.5,0.63,0.62,0.25,2.9,0.90,1.2,0.17,0.67,0.61,0.99,0.96,0.13,0.39,0.78,0.79,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,7,8-HxCDF",0.20,0.06,0.1,pg/L,ND,(0.08),0.21,(0.14),ND,(0.11),(0.10),(0.18),ND,(0.07),(0.07),(0.07),ND,(0.08),(0.07),(0.08),(0.09),ND,ND,(0.08),ND,ND,ND,(0.12),ND,(0.09),ND,ND,ND,ND,(0.06),ND,ND,(0.06),(0.06),ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,6,7,8-HxCDF",0.20,0.06,0.1,pg/L,ND,(0.07),(0.20),(0.14),ND,(0.08),(0.09),(0.13),ND,(0.06),ND,(0.06),(0.07),ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,(0.13),ND,(0.08),ND,ND,ND,ND,(0.06),ND,ND,(0.06),ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,7,8,9-HxCDF",0.20,0.06,0.1,pg/L,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,4,6,7,8-HxCDF",0.20,0.06,0.1,pg/L,(0.10),(0.07),0.26,(0.16),ND,(0.12),(0.11),(0.15),(0.07),(0.08),(0.07),(0.08),(0.07),ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,(0.16),ND,(0.14),ND,ND,ND,(0.10),(0.10),ND,ND,(0.07),(0.07),ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",HxCDFs,-,-,-,pg/L,0.59,1.3,3.9,2.7,0.62,1.1,1.1,2.0,0.61,0.84,0.61,0.80,0.57,1.3,1.1,1.3,1.0,0.40,0.46,1.2,0.27,(0.15),(0.06),2.0,0.53,0.91,(0.08),(0.18),(0.13),0.55,0.55,(0.09),(0.15),0.54,0.52,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,6,7,8-HpCDF",0.20,0.06,0.01,pg/L,0.32,0.60,1.9,1.4,0.29,0.58,0.57,1.1,0.26,0.44,0.35,0.43,0.22,1.3,1.3,0.56,0.83,0.26,(0.20),0.81,(0.10),ND,ND,0.65,(0.09),0.42,(0.14),(0.18),(0.12),0.27,0.25,(0.10),ND,0.26,0.26,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,7,8,9-HpCDF",0.20,0.06,0.01,pg/L,ND,ND,0.40,0.31,ND,ND,ND,(0.14),ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,(0.08),ND,ND,ND,ND,ND,(0.08),(0.06),ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",HpCDFs,-,-,-,pg/L,0.69,1.4,5.1,3.5,0.55,1.3,1.1,2.8,0.53,0.93,0.70,0.83,0.22,3.1,3.2,1.2,2.1,0.62,0.42,2.0,(0.10),ND,ND,1.2,0.24,0.42,(0.14),(0.18),(0.12),0.53,0.48,(0.10),ND,0.40,0.39,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",OCDF,0.50,0.20,0.0003,pg/L,0.6,1.4,4.9,3.4,0.6,1.3,1.4,4.0,0.5,0.9,0.8,1.2,ND,4.2,4.3,1.5,2.8,0.9,0.5,2.6,ND,ND,ND,0.6,ND,ND,ND,(0.2),ND,(0.4),(0.4),ND,ND,(0.3),(0.3),ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",TotalPCDFs,-,-,-,pg/L,2.6,5.9,20,14,2.7,7.1,7.1,14,4.2,5.2,4.1,5.3,2.7,11,11,6.9,8.3,3.3,2.7,8.7,1.5,1.2,1.2,9.8,2.1,3.2,0.55,1.7,1.3,3.3,3.2,0.32,0.6,2.4,2.4,ND
Total（PCDDs ＋ PCDFs）,,-,-,-,pg/L,29,130,430,370,34,32,33,73,26,63,21,32,8.5,34,33,31,30,15,9.7,32,6.7,7.5,1.7,23,7.7,11,5,6.2,4.6,17,16,7.8,2.3,11,8.5,1
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,4,4',5-TeCB(#81)",0.20,0.06,0.0003,pg/L,ND,ND,0.24,(0.15),ND,0.28,0.29,0.55,(0.12),(0.11),0.20,(0.15),ND,0.64,0.68,0.37,0.34,0.28,0.22,0.95,(0.10),ND,(0.09),1.3,(0.12),ND,ND,ND,ND,(0.08),(0.08),ND,ND,ND,ND,ND
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4'-TeCB(#77)",0.20,0.06,0.0001,pg/L,0.82,3.1,17,14,3.5,36,34,55,8.7,2.2,20,14,2.5,29,28,29,23,17,11,31,2.7,1.0,2.3,37,2.3,0.42,0.71,1.3,0.60,1.8,1.7,0.30,0.73,0.68,0.73,0.27
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4',5-PeCB(#126)",0.20,0.06,0.1,pg/L,(0.07),(0.11),0.41,0.34,(0.12),0.43,0.45,0.83,(0.19),(0.15),0.28,0.32,(0.12),0.45,0.43,0.56,0.36,0.26,0.21,0.61,(0.18),ND,(0.19),1.5,(0.11),ND,ND,(0.12),ND,0.22,(0.17),ND,(0.09),(0.14),(0.15),ND
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4',5,5'-HxCB(#169)",0.20,0.06,0.03,pg/L,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ",Non-orthoPCBs,-,-,-,pg/L,0.89,3.2,18,14,3.6,37,35,56,9,2.5,20,14,2.6,30,29,30,24,18,11,33,3,1,2.6,40,2.5,0.42,0.71,1.4,0.6,2.1,2,0.3,0.82,0.82,0.88,0.27
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2',3,4,4',5-PeCB(#123)",0.20,0.06,0.00003,pg/L,(0.12),0.28,0.96,0.38,(0.14),1.3,1.4,3.4,0.57,0.31,1.1,1.0,0.37,1.7,1.7,1.9,1.3,1.0,0.73,2.6,0.65,(0.11),0.56,4.4,0.41,ND,(0.12),0.29,ND,0.53,0.58,ND,(0.11),(0.17),(0.15),ND
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3',4,4',5-PeCB(#118)",0.20,0.06,0.00003,pg/L,5.6,15,50,22,10,98,98,210,38,16,72,65,20,100,100,110,89,77,56,160,39,6.8,43,360,35,1.6,5.9,13,3.1,27,29,2.5,4.9,6.4,6.7,1.0
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3',4,4'-PeCB(#105)",0.20,0.06,0.00003,pg/L,2.4,5.1,15,7.5,3.7,24,24,58,9.9,6.4,17,19,7.4,32,32,32,25,21,15,57,14,2.7,21,130,11,0.86,2.8,5.4,1.5,10,11,1.1,2.1,2.9,3.0,0.50
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,4,4',5-PeCB(#114)",0.20,0.06,0.00003,pg/L,(0.18),0.34,1.0,0.55,0.23,1.9,1.8,4.4,0.79,0.46,1.3,1.4,0.63,1.6,1.7,2.1,0.87,1.1,0.86,2.9,0.83,0.23,1.4,6.0,0.65,ND,(0.20),0.33,(0.12),0.55,0.59,ND,(0.17),(0.18),(0.16),ND
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3'4,4',5,5'-HxCB(#167)",0.20,0.06,0.00003,pg/L,0.27,0.55,1.4,0.73,0.38,2.1,2.0,4.1,1.0,0.67,1.7,1.5,0.76,2.2,2.1,2.4,2.1,1.5,0.95,3.8,1.6,0.22,1.5,11,1.1,(0.10),0.28,0.68,(0.18),2.0,2.2,(0.13),0.31,0.42,0.44,ND
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4',5-HxCB(#156)",0.20,0.06,0.00003,pg/L,0.60,1.1,3.4,1.6,0.88,4.7,4.8,9.8,2.4,1.5,3.8,3.7,1.9,5.0,4.8,5.2,4.4,2.9,1.9,8.5,4.0,0.52,4.1,25,2.5,0.23,0.71,1.7,0.38,4.1,4.1,0.28,0.57,0.88,0.82,ND
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4',5'-HxCB(#157)",0.20,0.06,0.00003,pg/L,(0.15),0.31,0.85,0.44,0.25,1.2,1.2,2.4,0.60,0.44,0.96,0.89,0.49,1.2,1.2,1.3,1.2,0.79,0.50,2.2,1.0,(0.13),0.97,6.7,0.62,ND,0.20,0.45,(0.09),1.1,1.2,(0.08),(0.16),0.29,0.30,ND
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4'5,5'-HpCB(#189)",0.20,0.06,0.00003,pg/L,ND,(0.10),0.24,(0.13),ND,0.30,0.30,0.55,(0.16),(0.12),0.25,0.24,(0.13),0.30,0.28,0.30,0.32,0.20,(0.12),0.46,0.22,ND,(0.11),1.3,ND,ND,ND,(0.13),ND,0.25,0.29,ND,ND,ND,ND,ND
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ",Mono-orthoPCBs,-,-,-,pg/L,9.3,23,73,33,16,130,130,290,53,26,98,93,32,140,140,160,120,110,76,240,61,11,73,540,51,2.8,10,22,5.4,46,49,4.1,8.3,11,12,1.5
Total ｺﾌﾟﾗﾅｰPCBs,,-,-,-,pg/L,10,26,91,48,19,170,170,350,62,28,120,110,34,170,170,190,150,120,87,270,64,12,75,580,54,3.2,11,23,6,48,51,4.4,9.1,12,12,1.8
Total（PCDDs ＋ PCDFs + ｺﾌﾟﾗﾅｰPCBs）,,-,-,-,pg/L,39,160,520,420,53,200,200,420,89,91,140,140,43,210,210,220,180,140,97,300,71,19,77,610,61,14,16,30,11,64,67,12,11,23,21,2.8
TEQ（PCDDs＋PCDFs）※1,,,,,pg-TEQ/L,0.084,0.18,0.63,0.52,0.081,0.13,0.13,0.23,0.078,0.12,0.091,0.12,0.073,0.11,0.11,0.091,0.1,0.071,0.064,0.1,0.061,0.06,0.062,0.16,0.061,0.092,0.063,0.065,0.061,0.093,0.098,0.064,0.059,0.079,0.074,0.059
TEQ（ｺﾌﾟﾗﾅｰPCBs）※1,,,,,pg-TEQ/L,0.0083,0.013,0.046,0.037,0.014,0.052,0.053,0.098,0.022,0.017,0.034,0.037,0.014,0.053,0.051,0.065,0.043,0.032,0.025,0.072,0.021,0.0043,0.022,0.17,0.014,0.004,0.0043,0.014,0.0041,0.024,0.02,0.0041,0.01,0.015,0.016,0.004
TEQ（WHO-TEF(2006)）※1,,,,,pg-TEQ/L,0.092,0.19,0.68,0.56,0.095,0.18,0.18,0.33,0.10,0.14,0.13,0.15,0.087,0.16,0.16,0.16,0.15,0.10,0.090,0.17,0.082,0.064,0.084,0.33,0.075,0.096,0.067,0.079,0.065,0.12,0.12,0.068,0.070,0.095,0.090,0.063
TEQ（WHO-TEF(1998)）※1，※2,,,,,pg-TEQ/L,0.093,0.18,0.64,0.52,0.095,0.20,0.20,0.33,0.11,0.14,0.14,0.15,0.087,0.17,0.17,0.17,0.16,0.11,0.098,0.19,0.082,0.067,0.094,0.40,0.082,0.098,0.070,0.084,0.068,0.13,0.13,0.070,0.073,0.098,0.094,0.066
浮遊物質量（SS）,,,,,mg/L,4,7,10,7,3,4,4,7,3,4,3,4,5,1,1,3,2,1,1,3,3,2,1未満,4,2,2,5,4,12,9,9,2,2,7,7,1
"※1 TEQを換算する際に、分析値が検出下限未満のものについては""検出下限×1/2""として扱った。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
※2 WHO-TEF(1998)により毒性等量を算出した参考値。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
