項目名,,試料における定量下限,試料における検出下限,毒性等価係数,単位  ,(1)東京湾／St.5,(2)東京湾／St.6,(3)東京湾／St.8,(3)東京湾／St.8／外部精度管理,(4)東京湾／St.22,(5)東京湾／St.23,(6)東京湾／St.25,(7)東京湾／St.32,(7)東京湾／St.32／二重測定,(8)東京湾／St.35
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,6,7,8-HpCDD",0.20,0.06,0.01,pg/L,0.55,ND,3.9,3.5,0.23,0.29,0.70,0.65,0.64,0.35
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",HpCDDs,-,-,-,pg/L,1.1,ND,8.2,7,0.49,0.68,1.5,1.3,1.4,0.73
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",OCDD,0.50,0.20,0.0003,pg/L,8.8,ND,71,66,3.1,5.1,13,10,10,4.5
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",TotalPCDDs,-,-,-,pg/L,13,7.1,98,90,4.9,8.4,19,16,16,7.1
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,7,8-TeCDF",0.10,0.03,0.1,pg/L,ND,0.10,(0.04),(0.05),ND,ND,(0.03),ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,3,6,8-TeCDF",0.10,0.03,-,pg/L,(0.04),1.1,(0.09),(0.07),ND,(0.04),(0.04),ND,(0.05),ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,7,8-TeCDF",0.10,0.03,-,pg/L,ND,0.28,(0.06),(0.06),ND,ND,ND,(0.03),(0.07),ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",TeCDFs,-,-,-,pg/L,0.23,14,1.3,1.7,0.17,0.16,0.25,0.57,0.79,0.19
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,7,8-PeCDF",0.10,0.03,0.03,pg/L,(0.03),0.11,(0.05),(0.06),ND,ND,ND,(0.03),ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,4,7,8-PeCDF",0.10,0.03,0.3,pg/L,ND,ND,(0.04),(0.05),ND,ND,ND,ND,(0.04),ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",PeCDFs,-,-,-,pg/L,0.74,2.4,1.3,1.7,1.2,0.99,0.95,2.1,2.2,1.2
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,7,8-HxCDF",0.20,0.06,0.1,pg/L,ND,ND,(0.13),(0.10),ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,6,7,8-HxCDF",0.20,0.06,0.1,pg/L,ND,ND,(0.08),(0.07),ND,ND,ND,ND,(0.07),ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,7,8,9-HxCDF",0.20,0.06,0.1,pg/L,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,4,6,7,8-HxCDF",0.20,0.06,0.1,pg/L,ND,ND,(0.12),(0.14),ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",HxCDFs,-,-,-,pg/L,1.1,0.26,1.9,2.2,1.9,0.99,1.4,3.0,3.2,1.9
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,6,7,8-HpCDF",0.20,0.06,0.01,pg/L,0.24,ND,0.82,0.73,ND,(0.16),(0.20),(0.19),(0.18),ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,7,8,9-HpCDF",0.20,0.06,0.01,pg/L,ND,ND,ND,(0.10),ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",HpCDFs,-,-,-,pg/L,0.66,ND,2.1,2.3,0.48,0.51,0.64,0.83,0.82,0.51
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",OCDF,0.50,0.20,0.0003,pg/L,0.5,ND,2.0,2,ND,(0.3),(0.4),(0.3),(0.4),(0.2)
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",TotalPCDFs,-,-,-,pg/L,3.2,17,8.6,9.9,3.8,3,3.6,6.8,7.4,4
Total（PCDDs ＋ PCDFs）,,-,-,-,pg/L,17,24,110,100,8.7,11,23,23,23,11
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,4,4',5-TeCB(#81)",0.20,0.06,0.0003,pg/L,(0.17),2.9,(0.18),(0.15),ND,(0.13),ND,ND,ND,ND
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4'-TeCB(#77)",0.20,0.06,0.0001,pg/L,6.4,3.3,7.6,8,0.67,2.3,3.1,2.4,2.4,0.78
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4',5-PeCB(#126)",0.20,0.06,0.1,pg/L,ND,0.46,(0.19),(0.16),ND,ND,ND,ND,(0.08),ND
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4',5,5'-HxCB(#169)",0.20,0.06,0.03,pg/L,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ",Non-orthoPCBs,-,-,-,pg/L,6.6,6.7,8,8.3,0.67,2.4,3.1,2.4,2.5,0.78
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2',3,4,4',5-PeCB(#123)",0.20,0.06,0.00003,pg/L,0.38,1.3,0.47,0.54,ND,0.29,0.29,0.23,0.27,ND
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3',4,4',5-PeCB(#118)",0.20,0.06,0.00003,pg/L,31,18,32,30,4.9,23,17,16,16,5.0
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3',4,4'-PeCB(#105)",0.20,0.06,0.00003,pg/L,8.7,6.5,10,10,1.7,7.9,5.7,5.2,5.3,1.8
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,4,4',5-PeCB(#114)",0.20,0.06,0.00003,pg/L,0.59,2.1,0.63,0.65,(0.07),0.44,0.39,0.37,0.30,(0.13)
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3'4,4',5,5'-HxCB(#167)",0.20,0.06,0.00003,pg/L,0.64,0.68,1.0,0.95,(0.16),0.67,0.49,0.58,0.55,(0.15)
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4',5-HxCB(#156)",0.20,0.06,0.00003,pg/L,1.3,0.76,2.1,1.9,0.26,1.3,0.91,1.2,1.3,0.26
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4',5'-HxCB(#157)",0.20,0.06,0.00003,pg/L,0.43,0.27,0.59,0.5,(0.08),0.42,0.26,0.38,0.33,ND
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4'5,5'-HpCB(#189)",0.20,0.06,0.00003,pg/L,ND,ND,(0.12),(0.14),ND,(0.09),ND,ND,ND,ND
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ",Mono-orthoPCBs,-,-,-,pg/L,43,30,47,45,7.2,34,25,24,24,7.3
Total ｺﾌﾟﾗﾅｰPCBs,,-,-,-,pg/L,50,36,55,53,7.8,37,28,26,27,8.1
Total（PCDDs ＋ PCDFs + ｺﾌﾟﾗﾅｰPCBs）,,-,-,-,pg/L,66,60,160,150,17,48,51,49,50,19
TEQ（PCDDs＋PCDFs）※1,,,,,pg-TEQ/L,0.069,0.07,0.18,0.19,0.061,0.064,0.072,0.07,0.081,0.063
TEQ（ｺﾌﾟﾗﾅｰPCBs）※1,,,,,pg-TEQ/L,0.0059,0.049,0.022,0.019,0.0042,0.0052,0.005,0.0049,0.0099,0.0042
TEQ（WHO-TEF(2006)）※1,,,,,pg-TEQ/L,0.075,0.12,0.20,0.21,0.066,0.069,0.077,0.075,0.090,0.067
TEQ（WHO-TEF(1998)）※1，※2,,,,,pg-TEQ/L,0.080,0.13,0.20,0.21,0.068,0.074,0.080,0.078,0.098,0.070
浮遊物質量（SS）,,,,,mg/L,3,3,10,10,3,2,4,3,3,2
"※1 TEQを換算する際に、分析値が検出下限未満のものについては""検出下限×1/2""として扱った。",,,,,,,,,,,,,,,
※2 WHO-TEF(1998)により毒性等量を算出した参考値。,,,,,,,,,,,,,,,
