項目名,,試料における定量下限,試料における検出下限,毒性等価係数,単位  ,(1)東京湾／St.5,(2)東京湾／St.6,(3)東京湾／St.8,(4)東京湾／St.22,(5)東京湾／St.23,(6)東京湾／St.25,(7)東京湾／St.32,(7)東京湾／St.32／二重測定,(8)東京湾／St.35
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",TotalPCDFs,-,-,-,pg/L,4.9,6.1,13,9.3,6.7,12,44,45,12
Total（PCDDs ＋ PCDFs）,,-,-,-,pg/L,11,12,86,14,22,33,52,54,18
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,4,4',5-TeCB(#81)",0.20,0.06,0.0003,pg/L,ND,ND,(0.19),ND,(0.12),(0.11),(0.10),(0.09),ND
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4'-TeCB(#77)",0.20,0.06,0.0001,pg/L,2.1,2.2,16,1.2,3.8,3.3,2.3,2.3,1.1
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4',5-PeCB(#126)",0.20,0.06,0.1,pg/L,(0.09),ND,0.33,ND,(0.17),(0.12),0.21,(0.18),ND
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4',5,5'-HxCB(#169)",0.20,0.06,0.03,pg/L,ND,ND,ND,ND,ND,ND,ND,ND,ND
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ",Non-orthoPCBs,-,-,-,pg/L,2.2,2.2,17,1.2,4.1,3.5,2.6,2.6,1.1
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2',3,4,4',5-PeCB(#123)",0.20,0.06,0.00003,pg/L,0.30,0.26,0.60,ND,0.42,0.21,0.30,0.25,(0.08)
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3',4,4',5-PeCB(#118)",0.20,0.06,0.00003,pg/L,20,15,39,5.0,31,14,24,25,6.4
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3',4,4'-PeCB(#105)",0.20,0.06,0.00003,pg/L,6.6,5.3,12,1.6,10,4.5,8.2,8.0,2.2
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,4,4',5-PeCB(#114)",0.20,0.06,0.00003,pg/L,0.43,0.36,0.72,(0.13),0.65,0.21,0.46,0.59,(0.12)
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3'4,4',5,5'-HxCB(#167)",0.20,0.06,0.00003,pg/L,0.53,0.45,1.2,(0.14),1.1,0.49,1.0,0.96,0.21
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4',5-HxCB(#156)",0.20,0.06,0.00003,pg/L,1.2,1.1,2.8,0.34,2.5,0.96,2.3,2.3,0.34
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4',5'-HxCB(#157)",0.20,0.06,0.00003,pg/L,0.28,0.22,0.68,(0.09),0.64,0.26,0.59,0.61,(0.13)
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4'5,5'-HpCB(#189)",0.20,0.06,0.00003,pg/L,ND,ND,(0.18),ND,(0.16),ND,(0.16),(0.12),ND
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ",Mono-orthoPCBs,-,-,-,pg/L,29,23,57,7.3,46,21,37,38,9.5
Total ｺﾌﾟﾗﾅｰPCBs,,-,-,-,pg/L,32,25,74,8.5,51,24,40,40,11
Total（PCDDs ＋ PCDFs + ｺﾌﾟﾗﾅｰPCBs）,,-,-,-,pg/L,42,37,160,23,72,58,92,95,28
TEQ（PCDDs＋PCDFs）※1,,,,,pg-TEQ/L,0.065,0.063,0.17,0.062,0.16,0.075,0.071,0.072,0.063
TEQ（ｺﾌﾟﾗﾅｰPCBs）※1,,,,,pg-TEQ/L,0.011,0.0048,0.037,0.0042,0.02,0.014,0.023,0.02,0.0043
TEQ（WHO-TEF(2006)）※1,,,,,pg-TEQ/L,0.076,0.068,0.21,0.066,0.18,0.089,0.094,0.092,0.067
TEQ（WHO-TEF(1998)）※1，※2,,,,,pg-TEQ/L,0.081,0.072,0.22,0.069,0.19,0.090,0.10,0.098,0.070
浮遊物質量（SS）,,,,,mg/L,2,2,7,2,3,2,3,3,2
"※1 TEQを換算する際に、分析値が検出下限未満のものについては""検出下限×1/2""として扱った。",,,,,,,,,,,,,,
※2 WHO-TEF(1998)により毒性等量を算出した参考値。,,,,,,,,,,,,,,
