［資料2-1］　　大気　ダイオキシン類異性体等分析結果（第１回調査　 ２０２０(令和２)年５月：区部）,,,,,,,,,,,,,,,大気　ダイオキシン類異性体等分析結果（第１回調査 　２０２０(令和２)年５月：多摩部）,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
実測濃度,,,（2020(令和2)年　5月20日～5月27日）,,,,,,,,,,単位：pg/m3,,実測濃度,,,（2020(令和2)年　5月20日～5月27日）,,,,単位：pg/m3,,,,,,,,,単位：pg/m3,,,,単位：pg/m3
化合物の名称等,,,"毒性
等価係数",定量下限値,検出下限値,"①中央区
晴海局","②大田区
東糀谷局","③世田谷区
世田谷局","④板橋区
氷川町局","⑤練馬区
石神井町局","⑥足立区
西新井局","⑦葛飾区
鎌倉","⑧江戸川区
春江町局",,化合物の名称等,,,"毒性
等価係数","定量
下限値","検出
下限値","⑨八王子市
片倉町局","?八王子市
大楽寺町局",,定量下限値,検出下限値,"⑪立川市
錦町","⑫町田市
能ヶ谷局","⑬小金井市
貫井北町","⑭福生市
本町局","⑮東大和市
奈良橋局","⑯清瀬市
下宿",,"⑰西多摩
郡檜原局",定量下限値,検出下限値
,,"2,3,4,7,8-PeCDF",0.3,0.004,0.001,0.008,0.008,0.006,0.008,0.006,0.011,0.007,0.008,,,,"2,3,4,7,8-PeCDF",0.3,0.004,0.001,0.012,0.015,,0.004,0.001,0.007,0.006,0.006,0.007,0.007,0.006,,ND,0.0015,0.0004
,,PeCDFs,－,―,―,0.23,0.29,0.13,0.16,0.13,0.24,0.18,0.24,,,,PeCDFs,－,--,--,0.19,0.24,,―,―,0.14,0.11,0.12,0.14,0.1,0.13,,0.041,―,―
,,"1,2,3,4,7,8-HxCDF",0.1,0.006,0.002,0.008,0.009,0.006,0.007,-0.005,0.01,0.007,0.009,,,,"1,2,3,4,7,8-HxCDF",0.1,0.006,0.002,0.019,0.036,,0.006,0.002,-0.005,-0.005,-0.005,0.007,-0.005,-0.006,,0.0021,0.002,0.0006
,,"1,2,3,6,7,8-HxCDF",0.1,0.005,0.001,0.009,0.009,0.006,0.007,0.005,0.011,0.008,0.01,,,,"1,2,3,6,7,8-HxCDF",0.1,0.006,0.002,0.018,0.022,,0.005,0.001,-0.005,-0.004,0.005,0.007,0.005,0.006,,0.0019,0.0016,0.0005
,,"1,2,3,7,8,9-HxCDF",0.1,0.008,0.002,ND,ND,ND,ND,ND,ND,ND,ND,,,,"1,2,3,7,8,9-HxCDF",0.1,0.008,0.002,      ND,      ND,,0.008,0.002,ND,ND,ND,ND,ND,ND,,ND,0.0026,0.0008
,,"2,3,4,6,7,8-HxCDF",0.1,0.0018,0.0006,0.0094,0.0097,0.0056,0.0069,0.0059,0.01,0.0076,0.011,,,,"2,3,4,6,7,8-HxCDF",0.1,0.008,0.002,0.016,0.02,,0.0018,0.0006,0.0043,0.0031,0.0049,0.0056,0.0058,0.004,,0.0017,0.0006,0.0002
,,HxCDFs,－,―,―,0.11,0.12,0.066,0.08,0.056,0.11,0.083,0.11,,,,HxCDFs,－,--,--,0.15,0.21,,―,―,0.052,0.053,0.059,0.078,0.06,0.061,,0.023,―,―
,,"1,2,3,4,6,7,8-HpCDF",0.01,0.012,0.003,0.029,0.031,0.02,0.023,0.016,0.041,0.027,0.039,,,,"1,2,3,4,6,7,8-HpCDF",0.01,0.012,0.003,0.072,0.084,,0.012,0.003,0.014,0.017,0.018,0.023,0.021,0.019,,0.006,0.004,0.001
,,"1,2,3,4,7,8,9-HpCDF",0.01,0.008,0.003,-0.007,-0.005,ND,-0.005,-0.004,-0.007,-0.005,-0.006,,,,"1,2,3,4,7,8,9-HpCDF",0.01,0.012,0.004,0.012,0.022,,0.008,0.003,-0.003,ND,-0.003,-0.005,-0.004,ND,,-0.0012,0.0028,0.0009
,,HpCDFs,－,―,―,0.056,0.055,0.033,0.041,0.029,0.068,0.045,0.064,,,,HpCDFs,－,--,--,0.1,0.15,,―,―,0.027,0.026,0.03,0.042,0.035,0.028,,0.0099,―,―
,,OCDF,0.0003,0.012,0.003,0.029,0.029,0.016,0.021,0.017,0.03,0.043,0.032,,,,OCDF,0.0003,0.02,0.006,0.046,0.1,,0.012,0.003,0.014,0.012,0.015,0.019,0.019,-0.012,,0.005,0.004,0.001
,,Total PCDFs,－,―,―,0.83,0.93,0.49,0.58,0.47,0.84,0.69,0.8,,,,Total PCDFs,－,--,--,0.86,1,,―,―,0.47,0.4,0.43,0.51,0.39,0.46,,0.16,―,―
コプラナーPCBs,,"3,4,4',5-TeCB (#81)",0.0003,0.0027,0.0009,0.022,0.022,0.054,0.017,0.014,0.022,0.013,0.014,,コプラナーPCBs,,"3,4,4',5-TeCB (#81)",0.0003,0.006,0.002,0.013,0.011,,0.0027,0.0009,0.011,0.012,0.01,0.013,0.012,0.013,,0.0053,0.0009,0.0003
,,"3,3',4,4'-TeCB (#77)",0.0001,0.012,0.003,0.22,0.2,0.75,0.18,0.15,0.23,0.13,0.12,,,,"3,3',4,4'-TeCB (#77)",0.0001,0.004,0.001,0.11,0.1,,0.012,0.003,0.12,0.14,0.1,0.13,0.12,0.12,,0.046,0.004,0.001
,,"3,3'4,4',5-PeCB (#126)",0.1,0.004,0.001,0.019,0.015,0.014,0.014,0.011,0.035,0.012,0.019,,,,"3,3'4,4',5-PeCB (#126)",0.1,0.008,0.002,0.016,0.018,,0.004,0.001,0.012,0.01,0.01,0.014,0.009,0.011,,0.0034,0.0015,0.0005
,,"3,3',4,4',5,5'-HxCB (#169)",0.03,0.008,0.002,-0.003,-0.003,ND,ND,ND,-0.003,ND,-0.003,,,,"3,3',4,4',5,5'-HxCB (#169)",0.03,0.009,0.003,-0.003,-0.004,,0.008,0.002,ND,ND,-0.003,-0.003,ND,ND,,ND,0.0026,0.0008
,,"2',3,4,4',5-PeCB (#123)",0.00003,0.004,0.001,0.044,0.043,0.15,0.032,0.023,0.035,0.019,0.02,,,,"2',3,4,4',5-PeCB (#123)",0.00003,0.01,0.003,0.019,0.015,,0.004,0.001,0.02,0.023,0.019,0.021,0.021,0.022,,0.0074,0.0014,0.0004
,,"2,3',4,4',5-PeCB (#118)",0.00003,0.009,0.003,1.8,1.9,7.5,1.4,1.1,1.4,0.83,0.7,,,,"2,3',4,4',5-PeCB (#118)",0.00003,0.008,0.002,0.68,0.58,,0.009,0.003,0.67,0.74,0.74,0.89,0.8,0.71,,0.23,0.003,0.001
,,"2,3,3',4,4'-PeCB (#105)",0.00003,0.009,0.003,0.61,0.65,2,0.48,0.37,0.48,0.29,0.25,,,,"2,3,3',4,4'-PeCB (#105)",0.00003,0.009,0.003,0.25,0.23,,0.009,0.003,0.24,0.25,0.25,0.31,0.28,0.28,,0.084,0.003,0.0009
,,"2,3,4,4',5-PeCB (#114)",0.00003,0.006,0.002,0.056,0.061,0.21,0.045,0.032,0.046,0.03,0.027,,,,"2,3,4,4',5-PeCB (#114)",0.00003,0.007,0.002,0.022,0.024,,0.006,0.002,0.023,0.024,0.024,0.028,0.026,0.026,,0.0084,0.0019,0.0006
,,"2,3',4,4',5,5'-HxCB (#167)",0.00003,0.0033,0.0009,0.039,0.045,0.073,0.029,0.022,0.034,0.02,0.018,,,,"2,3',4,4',5,5'-HxCB (#167)",0.00003,0.008,0.003,0.021,0.022,,0.0033,0.0009,0.017,0.019,0.017,0.023,0.018,0.021,,0.0056,0.0011,0.0003
,,"2,3,3',4,4',5-HxCB (#156)",0.00003,0.0033,0.0009,0.071,0.077,0.12,0.049,0.039,0.057,0.036,0.032,,,,"2,3,3',4,4',5-HxCB (#156)",0.00003,0.006,0.002,0.04,0.041,,0.0033,0.0009,0.029,0.029,0.029,0.043,0.031,0.032,,0.0086,0.0011,0.0003
,,"2,3,3',4,4',5'-HxCB (#157)",0.00003,0.007,0.002,0.019,0.018,0.026,0.014,0.01,0.015,0.01,0.009,,,,"2,3,3',4,4',5'-HxCB (#157)",0.00003,0.005,0.002,0.012,0.012,,0.007,0.002,0.008,0.008,0.007,0.012,0.008,0.009,,0.0025,0.0022,0.0007
,,"2,3,3',4,4',5,5'-HpCB (#189)",0.00003,0.012,0.003,-0.005,-0.005,-0.004,-0.005,-0.003,ND,-0.004,-0.005,,,,"2,3,3',4,4',5,5'-HpCB (#189)",0.00003,0.009,0.003,-0.008,0.009,,0.012,0.003,ND,ND,ND,-0.007,ND,ND,,-0.001,0.004,0.001
,,Total Co-PCBs,－,―,―,2.9,3,11,2.2,1.8,2.3,1.4,1.2,,,,Total Co-PCBs,－,－,－,1.2,1.1,,―,―,1.2,1.3,1.2,1.5,1.3,1.2,,0.4,―,―
Total (PCDDs+PCDFs+Co-PCBs),,,－,―,―,4.2,4.4,12,3.3,2.7,3.9,2.7,2.7,,Total (PCDDs+PCDFs+Co-PCBs),,,－,－,－,2.5,2.5,,―,―,2,2,2.3,2.5,2.1,2.2,,0.64,―,―
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
毒性等量,,,,,,,,,,,,,単位：pg-TEQ/m3,,毒性等量,,,,,,,単位：pg-TEQ/m3,,,,,,,,,単位：pg-TEQ/m3,,,,単位：pg-TEQ/m3
PCDDs ,,,－,－,－,0.0036,0.0037,0.0022,0.0031,0.0031,0.0054,0.0033,0.0037,,PCDDs,,,－,－,－,0.004,0.0022,,－,－,0.0022,0.0018,0.0051,0.0027,0.0023,0.0027,,0.00038,－,－
PCDFs,,,－,－,－,0.0065,0.0066,0.0045,0.0056,0.0044,0.008,0.0057,0.0068,,PCDFs,,,－,－,－,0.011,0.016,,－,－,0.0045,0.0038,0.0041,0.0051,0.0045,0.0044,,0.00098,－,－
co-PCBs,,,－,－,－,0.0021,0.0017,0.0018,0.0015,0.0012,0.0037,0.0013,0.002,,co-PCBs,,,－,－,－,0.0017,0.002,,－,－,0.0013,0.0011,0.0011,0.0015,0.00098,0.0012,,0.00037,－,－
Total DXN,,,－,－,－,0.012,0.012,0.0086,0.01,0.0087,0.017,0.01,0.012,,Total DXN,,,－,－,－,0.017,0.02,,－,－,0.008,0.0067,0.01,0.0094,0.0077,0.0083,,0.0017,－,－
備考：,,(1)毒性等価係数：WHO-TEF 2006,,,,,,,,,,,,,備考：,,(1)毒性等価係数：WHO-TEF 2006,,,,,,,,,,,,,,,,,,
,,(2)括弧付の数字：検出下限以上定量下限未満,,,,,,,,,,,,,,,(2)括弧付の数字：検出下限以上定量下限未満,,,,,,,,,,,,,,,,,,
,,"(3)TEQを換算する際に、分析値が検出下限未満のものについては""検出下限×1/2""として扱った。",,,,,,,,,,,,,,,"(3)TEQを換算する際に、分析値が検出下限未満のものについては""検出下限×1/2""として扱った。",,,,,,,,,,,,,,,,,,
,,(4)有効数字の関係上、合計量が合わない場合がある。,,,,,,,,,,,,,,,(4)有効数字の関係上、合計量が合わない場合がある。,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,(5)西多摩郡檜原局については、吸引量を300L/minとして採取した。,,,,,,,,,,,,,,,,,,
