No.,区分,素地面,防水仕様名称,工程・材料名,標準仕様書／使用量 (kg/m2),VOC含有率／低VOC (%),VOC含有率／高VOC (%),"VOC排出量／低VOC
(g/m2)","VOC排出量／中VOC
(g/m2)","VOC排出量／中VOC
(g/m2)","VOC排出量／高VOC
(g/m2)"
3,新築／改修(P2A),RC,屋根保護防水密着工法（A-3）【AM-PF】,保護コンクリート,0,0,0,0,0,0,0
4,新築／改修(P2AI),RC,屋根保護防水密着断熱工法（ AI-1）,平面合計,,,,62,,,190
4,新築／改修(P2AI),RC,屋根保護防水密着断熱工法（ AI-1）,アスファルトプライマー塗り,0.2,1,65,2,,,130
4,新築／改修(P2AI),RC,屋根保護防水密着断熱工法（ AI-1）,アスファルトルーフィング1500アスファルト流し張り,1,1,1,10,,,10
4,新築／改修(P2AI),RC,屋根保護防水密着断熱工法（ AI-1）,ストレッチルーフィング1000アスファルト流し張り,1,1,1,10,,,10
4,新築／改修(P2AI),RC,屋根保護防水密着断熱工法（ AI-1）,ストレッチルーフィング1000アスファルト流し張り,1,1,1,10,,,10
4,新築／改修(P2AI),RC,屋根保護防水密着断熱工法（ AI-1）,アスファルトルーフィング1500アスファルト流し張り,1,1,1,10,,,10
4,新築／改修(P2AI),RC,屋根保護防水密着断熱工法（ AI-1）,アスファルトはけ塗り,1,1,1,10,,,10
4,新築／改修(P2AI),RC,屋根保護防水密着断熱工法（ AI-1）,アスファルトはけ塗り,1,1,1,10,,,10
4,新築／改修(P2AI),RC,屋根保護防水密着断熱工法（ AI-1）,断熱材,0,0,0,0,0,0,0
4,新築／改修(P2AI),RC,屋根保護防水密着断熱工法（ AI-1）,絶縁用シート,0,0,0,0,0,0,0
4,新築／改修(P2AI),RC,屋根保護防水密着断熱工法（ AI-1）,保護コンクリート,0,0,0,0,0,0,0
5,新築／改修(P2AI),RC,屋根保護防水密着断熱工法（AI-2）【AC-PF】,平面合計,,,,52,,,180
5,新築／改修(P2AI),RC,屋根保護防水密着断熱工法（AI-2）【AC-PF】,アスファルトプライマー塗り,0.2,1,65,2,,,130
5,新築／改修(P2AI),RC,屋根保護防水密着断熱工法（AI-2）【AC-PF】,アスファルトルーフィング1500アスファルト流し張り,1,1,1,10,,,10
5,新築／改修(P2AI),RC,屋根保護防水密着断熱工法（AI-2）【AC-PF】,ストレッチルーフィング1000アスファルト流し張り,1,1,1,10,,,10
5,新築／改修(P2AI),RC,屋根保護防水密着断熱工法（AI-2）【AC-PF】,ストレッチルーフィング1000アスファルト流し張り,1,1,1,10,,,10
5,新築／改修(P2AI),RC,屋根保護防水密着断熱工法（AI-2）【AC-PF】,アスファルトはけ塗り,1,1,1,10,,,10
5,新築／改修(P2AI),RC,屋根保護防水密着断熱工法（AI-2）【AC-PF】,アスファルトはけ塗り,1,1,1,10,,,10
5,新築／改修(P2AI),RC,屋根保護防水密着断熱工法（AI-2）【AC-PF】,断熱材,0,0,0,0,0,0,0
5,新築／改修(P2AI),RC,屋根保護防水密着断熱工法（AI-2）【AC-PF】,絶縁用シート,0,0,0,0,0,0,0
5,新築／改修(P2AI),RC,屋根保護防水密着断熱工法（AI-2）【AC-PF】,保護コンクリート,0,0,0,0,0,0,0
6,新築／改修(P2AI),RC,屋根保護防水密着断熱工法（AI-3）【AM-PF】,平面合計,,,,42,,,170
6,新築／改修(P2AI),RC,屋根保護防水密着断熱工法（AI-3）【AM-PF】,アスファルトプライマー塗り,0.2,1,65,2,,,130
6,新築／改修(P2AI),RC,屋根保護防水密着断熱工法（AI-3）【AM-PF】,改質アスファルトルーフィングシートアスファルト流し張り,1,1,1,10,,,10
6,新築／改修(P2AI),RC,屋根保護防水密着断熱工法（AI-3）【AM-PF】,ストレッチルーフィング1000アスファルト流し張り,1,1,1,10,,,10
6,新築／改修(P2AI),RC,屋根保護防水密着断熱工法（AI-3）【AM-PF】,アスファルトはけ塗り,1,1,1,10,,,10
6,新築／改修(P2AI),RC,屋根保護防水密着断熱工法（AI-3）【AM-PF】,アスファルトはけ塗り,1,1,1,10,,,10
6,新築／改修(P2AI),RC,屋根保護防水密着断熱工法（AI-3）【AM-PF】,断熱材,0,0,0,0,0,0,0
6,新築／改修(P2AI),RC,屋根保護防水密着断熱工法（AI-3）【AM-PF】,絶縁用シート,0,0,0,0,0,0,0
6,新築／改修(P2AI),RC,屋根保護防水密着断熱工法（AI-3）【AM-PF】,保護コンクリート,0,0,0,0,0,0,0
7,新築／改修(P1B),RC,屋根保護防水絶縁工法（B-1）,平面合計,,,,64,,,192
7,新築／改修(P1B),RC,屋根保護防水絶縁工法（B-1）,アスファルトプライマー塗り,0.2,1,65,2,,,130
7,新築／改修(P1B),RC,屋根保護防水絶縁工法（B-1）,砂付あなあきルーフィング,－,0,0,0,,,0
7,新築／改修(P1B),RC,屋根保護防水絶縁工法（B-1）,アスファルトルーフィング1500アスファルト流し張り,1.2,1,1,12,,,12
7,新築／改修(P1B),RC,屋根保護防水絶縁工法（B-1）,ストレッチルーフィング1000アスファルト流し張り,1,1,1,10,,,10
7,新築／改修(P1B),RC,屋根保護防水絶縁工法（B-1）,ストレッチルーフィング1000アスファルト流し張り,1,1,1,10,,,10
7,新築／改修(P1B),RC,屋根保護防水絶縁工法（B-1）,アスファルトルーフィング1500アスファルト流し張り,1,1,1,10,,,10
7,新築／改修(P1B),RC,屋根保護防水絶縁工法（B-1）,アスファルトはけ塗り,1,1,1,10,,,10
7,新築／改修(P1B),RC,屋根保護防水絶縁工法（B-1）,アスファルトはけ塗り,1,1,1,10,,,10
7,新築／改修(P1B),RC,屋根保護防水絶縁工法（B-1）,絶縁用シート,0,0,0,0,0,0,0
7,新築／改修(P1B),RC,屋根保護防水絶縁工法（B-1）,保護コンクリート,0,0,0,0,0,0,0
8,新築／改修(P1B),RC,屋根保護防水絶縁工法（B-2）,平面合計,,,,54,,,182
8,新築／改修(P1B),RC,屋根保護防水絶縁工法（B-2）,アスファルトプライマー塗り,0.2,1,65,2,,,130
8,新築／改修(P1B),RC,屋根保護防水絶縁工法（B-2）,砂付あなあきルーフィング,0,0,0,0,0,0,0
8,新築／改修(P1B),RC,屋根保護防水絶縁工法（B-2）,アスファルトルーフィング1500アスファルト流し張り,1.2,1,1,12,,,12
8,新築／改修(P1B),RC,屋根保護防水絶縁工法（B-2）,ストレッチルーフィング1000アスファルト流し張り,1,1,1,10,,,10
8,新築／改修(P1B),RC,屋根保護防水絶縁工法（B-2）,ストレッチルーフィング1000アスファルト流し張り,1,1,1,10,,,10
8,新築／改修(P1B),RC,屋根保護防水絶縁工法（B-2）,アスファルトはけ塗り,1,1,1,10,,,10
8,新築／改修(P1B),RC,屋根保護防水絶縁工法（B-2）,アスファルトはけ塗り,1,1,1,10,,,10
8,新築／改修(P1B),RC,屋根保護防水絶縁工法（B-2）,絶縁用シート,0,0,0,0,0,0,0
8,新築／改修(P1B),RC,屋根保護防水絶縁工法（B-2）,保護コンクリート,0,0,0,0,0,0,0
9,新築／改修(P1B),RC,屋根保護防水絶縁工法（B-3）【AM-PS】,平面合計,,,,32,,,160
9,新築／改修(P1B),RC,屋根保護防水絶縁工法（B-3）【AM-PS】,アスファルトプライマー塗り,0.2,1,65,2,,,130
9,新築／改修(P1B),RC,屋根保護防水絶縁工法（B-3）【AM-PS】,部分粘着層付改質アスファルトルーフィングシート張付け,0,0,0,0,0,0,0
9,新築／改修(P1B),RC,屋根保護防水絶縁工法（B-3）【AM-PS】,ストレッチルーフィング1000アスファルト流し張り,1,1,1,10,,,10
9,新築／改修(P1B),RC,屋根保護防水絶縁工法（B-3）【AM-PS】,アスファルトはけ塗り,1,1,1,10,,,10
9,新築／改修(P1B),RC,屋根保護防水絶縁工法（B-3）【AM-PS】,アスファルトはけ塗り,1,1,1,10,,,10
9,新築／改修(P1B),RC,屋根保護防水絶縁工法（B-3）【AM-PS】,絶縁用シート,0,0,0,0,0,0,0
9,新築／改修(P1B),RC,屋根保護防水絶縁工法（B-3）【AM-PS】,保護コンクリート,0,0,0,0,0,0,0
10,"新築／改修(T1BI,P1BI)",RC,屋根保護防水絶縁断熱工法（BI-1）,平面合計,,,,64,,,192
10,"新築／改修(T1BI,P1BI)",RC,屋根保護防水絶縁断熱工法（BI-1）,アスファルトプライマー塗り,0.2,1,65,2,,,130
10,"新築／改修(T1BI,P1BI)",RC,屋根保護防水絶縁断熱工法（BI-1）,砂付あなあきルーフィング,0,0,0,0,0,0,0
10,"新築／改修(T1BI,P1BI)",RC,屋根保護防水絶縁断熱工法（BI-1）,アスファルトルーフィング1500アスファルト流し張り,1.2,1,1,12,,,12
10,"新築／改修(T1BI,P1BI)",RC,屋根保護防水絶縁断熱工法（BI-1）,ストレッチルーフィング1000アスファルト流し張り,1,1,1,10,,,10
10,"新築／改修(T1BI,P1BI)",RC,屋根保護防水絶縁断熱工法（BI-1）,ストレッチルーフィング1000アスファルト流し張り,1,1,1,10,,,10
10,"新築／改修(T1BI,P1BI)",RC,屋根保護防水絶縁断熱工法（BI-1）,アスファルトルーフィング1500アスファルト流し張り,1,1,1,10,,,10
10,"新築／改修(T1BI,P1BI)",RC,屋根保護防水絶縁断熱工法（BI-1）,アスファルトはけ塗り,1,1,1,10,,,10
10,"新築／改修(T1BI,P1BI)",RC,屋根保護防水絶縁断熱工法（BI-1）,アスファルトはけ塗り,1,1,1,10,,,10
10,"新築／改修(T1BI,P1BI)",RC,屋根保護防水絶縁断熱工法（BI-1）,断熱材,0,0,0,0,0,0,0
10,"新築／改修(T1BI,P1BI)",RC,屋根保護防水絶縁断熱工法（BI-1）,絶縁用シート,0,0,0,0,0,0,0
10,"新築／改修(T1BI,P1BI)",RC,屋根保護防水絶縁断熱工法（BI-1）,保護コンクリート,0,0,0,0,0,0,0
11,"新築／改修(T1BI,P1BI)",RC,屋根保護防水絶縁断熱工法（BI-2）,平面合計,,,,54,,,182
11,"新築／改修(T1BI,P1BI)",RC,屋根保護防水絶縁断熱工法（BI-2）,アスファルトプライマー塗り,0.2,1,65,2,,,130
11,"新築／改修(T1BI,P1BI)",RC,屋根保護防水絶縁断熱工法（BI-2）,砂付あなあきルーフィング,0,0,0,0,0,0,0
11,"新築／改修(T1BI,P1BI)",RC,屋根保護防水絶縁断熱工法（BI-2）,"アスファルトルーフィング1500
アスファルト流し張り",1.2,1,1,12,,,12
11,"新築／改修(T1BI,P1BI)",RC,屋根保護防水絶縁断熱工法（BI-2）,"ストレッチルーフィング1000
アスファルト流し張り",1,1,1,10,,,10
11,"新築／改修(T1BI,P1BI)",RC,屋根保護防水絶縁断熱工法（BI-2）,"ストレッチルーフィング1000
アスファルト流し張り",1,1,1,10,,,10
11,"新築／改修(T1BI,P1BI)",RC,屋根保護防水絶縁断熱工法（BI-2）,アスファルトはけ塗り,1,1,1,10,,,10
11,"新築／改修(T1BI,P1BI)",RC,屋根保護防水絶縁断熱工法（BI-2）,アスファルトはけ塗り,1,1,1,10,,,10
11,"新築／改修(T1BI,P1BI)",RC,屋根保護防水絶縁断熱工法（BI-2）,断熱材,0,0,0,0,0,0,0
11,"新築／改修(T1BI,P1BI)",RC,屋根保護防水絶縁断熱工法（BI-2）,絶縁用シート,0,0,0,0,0,0,0
11,"新築／改修(T1BI,P1BI)",RC,屋根保護防水絶縁断熱工法（BI-2）,保護コンクリート,0,0,0,0,0,0,0
12,"新築／改修(T1BI,P1BI)",RC,屋根保護防水絶縁断熱工法（BI-3）【AM-PS】,平面合計,,,,32,,,160
12,"新築／改修(T1BI,P1BI)",RC,屋根保護防水絶縁断熱工法（BI-3）【AM-PS】,アスファルトプライマー塗り,0.2,1,65,2,,,130
12,"新築／改修(T1BI,P1BI)",RC,屋根保護防水絶縁断熱工法（BI-3）【AM-PS】,部分粘着層付改質アスファルトルーフィングシート張付け,0,0,0,0,0,0,0
12,"新築／改修(T1BI,P1BI)",RC,屋根保護防水絶縁断熱工法（BI-3）【AM-PS】,ストレッチルーフィング1000アスファルト流し張り,1,1,1,10,,,10
12,"新築／改修(T1BI,P1BI)",RC,屋根保護防水絶縁断熱工法（BI-3）【AM-PS】,アスファルトはけ塗り,1,1,1,10,,,10
12,"新築／改修(T1BI,P1BI)",RC,屋根保護防水絶縁断熱工法（BI-3）【AM-PS】,アスファルトはけ塗り,1,1,1,10,,,10
12,"新築／改修(T1BI,P1BI)",RC,屋根保護防水絶縁断熱工法（BI-3）【AM-PS】,断熱材,0,0,0,0,0,0,0
12,"新築／改修(T1BI,P1BI)",RC,屋根保護防水絶縁断熱工法（BI-3）【AM-PS】,絶縁用シート,0,0,0,0,0,0,0
12,"新築／改修(T1BI,P1BI)",RC,屋根保護防水絶縁断熱工法（BI-3）【AM-PS】,保護コンクリート,0,0,0,0,0,0,0
13,改修（M4C),露出防水,屋根露出防水密着工法（C-1）,平面合計,,,,53,200,243,390
13,改修（M4C),露出防水,屋根露出防水密着工法（C-1）,アスファルト系下地調整材,1,1,20,10,10,200,200
13,改修（M4C),露出防水,屋根露出防水密着工法（C-1）,ストレッチルーフィング1000アスファルト流し張り,1,1,1,10,10,10,10
13,改修（M4C),露出防水,屋根露出防水密着工法（C-1）,ストレッチルーフィング1000アスファルト流し張り,1,1,1,10,10,10,10
13,改修（M4C),露出防水,屋根露出防水密着工法（C-1）,アスファルトルーフィング1500アスファルト流し張り,1,1,1,10,10,10,10
13,改修（M4C),露出防水,屋根露出防水密着工法（C-1）,"砂付ストレッチルーフィング800
アスファルト流し張り",1,1,1,10,10,10,10
13,改修（M4C),露出防水,屋根露出防水密着工法（C-1）,仕上塗料,0.3,1,50,3,150,3,150
14,改修（M4C),露出防水,屋根露出防水密着工法（C-2）,平面合計,,,,43,190,233,380
14,改修（M4C),露出防水,屋根露出防水密着工法（C-2）,アスファルト系下地調整材,1,1,20,10,10,200,200
14,改修（M4C),露出防水,屋根露出防水密着工法（C-2）,ストレッチルーフィング1000アスファルト流し張り,1,1,1,10,10,10,10
14,改修（M4C),露出防水,屋根露出防水密着工法（C-2）,アスファルトルーフィング1500アスファルト流し張り,1,1,1,10,10,10,10
14,改修（M4C),露出防水,屋根露出防水密着工法（C-2）,砂付ストレッチルーフィング800アスファルト流し張り,1,1,1,10,10,10,10
14,改修（M4C),露出防水,屋根露出防水密着工法（C-2）,仕上塗料,0.3,1,50,3,150,3,150
15,改修（M4C),露出防水,屋根露出防水密着工法（C-3）,平面合計,,,,43,190,233,380
15,改修（M4C),露出防水,屋根露出防水密着工法（C-3）,アスファルト系下地調整材,1,1,20,10,10,200,200
15,改修（M4C),露出防水,屋根露出防水密着工法（C-3）,"改質アスファルトルーフィングシート
アスファルト流し張り",1,1,1,10,10,10,10
15,改修（M4C),露出防水,屋根露出防水密着工法（C-3）,"ストレッチルーフィング1000
アスファルト流し張り",1,1,1,10,10,10,10
15,改修（M4C),露出防水,屋根露出防水密着工法（C-3）,"砂付ストレッチルーフィング800
アスファルト流し張り",1,1,1,10,10,10,10
15,改修（M4C),露出防水,屋根露出防水密着工法（C-3）,仕上塗料,0.3,1,50,3,150,3,150
16,改修（M4C),露出防水,屋根露出防水密着工法（C-4）,平面合計,,,,33,180,223,370
16,改修（M4C),露出防水,屋根露出防水密着工法（C-4）,アスファルト系下地調整材,1,1,20,10,10,200,200
16,改修（M4C),露出防水,屋根露出防水密着工法（C-4）,"改質アスファルトルーフィングシート
アスファルト流し張り",1,1,1,10,10,10,10
16,改修（M4C),露出防水,屋根露出防水密着工法（C-4）,砂付ストレッチルーフィング800アスファルト流し張り,1,1,1,10,10,10,10
16,改修（M4C),露出防水,屋根露出防水密着工法（C-4）,仕上塗料,0.3,1,50,3,150,3,150
17,"新築／改修(P0D,M3D)",RC,屋根露出防水絶縁工法（D-1）,平面合計,,,,47,194,175,322
17,"新築／改修(P0D,M3D)",RC,屋根露出防水絶縁工法（D-1）,アスファルトプライマー塗り,0.2,1,65,2,2,130,130
17,"新築／改修(P0D,M3D)",RC,屋根露出防水絶縁工法（D-1）,砂付あなあきルーフィング,0,0,0,0,0,0,0
17,"新築／改修(P0D,M3D)",RC,屋根露出防水絶縁工法（D-1）,"ストレッチルーフィング1000
アスファルト流し張り",1.2,1,1,12,12,12,12
17,"新築／改修(P0D,M3D)",RC,屋根露出防水絶縁工法（D-1）,"ストレッチルーフィング1000
アスファルト流し張り",1,1,1,10,10,10,10
17,"新築／改修(P0D,M3D)",RC,屋根露出防水絶縁工法（D-1）,"アスファルトルーフィング1500
アスファルト流し張り",1,1,1,10,10,10,10
17,"新築／改修(P0D,M3D)",RC,屋根露出防水絶縁工法（D-1）,"砂付ストレッチルーフィング800
アスファルト流し張り",1,1,1,10,10,10,10
17,"新築／改修(P0D,M3D)",RC,屋根露出防水絶縁工法（D-1）,仕上塗料,0.3,1,50,3,150,3,150
18,"新築／改修(P0D,M3D)",RC,屋根露出防水絶縁工法（D-2）,平面合計,,,,37,184,165,312
18,"新築／改修(P0D,M3D)",RC,屋根露出防水絶縁工法（D-2）,アスファルトプライマー塗り,0.2,1,65,2,2,130,130
18,"新築／改修(P0D,M3D)",RC,屋根露出防水絶縁工法（D-2）,砂付あなあきルーフィング,0,0,0,0,0,0,0
18,"新築／改修(P0D,M3D)",RC,屋根露出防水絶縁工法（D-2）,ストレッチルーフィング1000アスファルト流し張り,1.2,1,1,12,12,12,12
18,"新築／改修(P0D,M3D)",RC,屋根露出防水絶縁工法（D-2）,アスファルトルーフィング1500アスファルト流し張り,1,1,1,10,10,10,10
18,"新築／改修(P0D,M3D)",RC,屋根露出防水絶縁工法（D-2）,砂付ストレッチルーフィング800アスファルト流し張り,1,1,1,10,10,10,10
18,"新築／改修(P0D,M3D)",RC,屋根露出防水絶縁工法（D-2）,仕上塗料,0.3,1,50,3,150,3,150
19,"新築／改修(P0D,M3D)",RC,屋根露出防水絶縁工法（D-3）,平面合計,,,,25,172,153,300
19,"新築／改修(P0D,M3D)",RC,屋根露出防水絶縁工法（D-3）,アスファルトプライマー塗り,0.2,1,65,2,2,130,130
19,"新築／改修(P0D,M3D)",RC,屋根露出防水絶縁工法（D-3）,部分粘着層付改質アスファルトルーフィングシート張付け,0,0,0,0,0,0,0
19,"新築／改修(P0D,M3D)",RC,屋根露出防水絶縁工法（D-3）,ストレッチルーフィング1000アスファルト流し張り,1,1,1,10,10,10,10
19,"新築／改修(P0D,M3D)",RC,屋根露出防水絶縁工法（D-3）,砂付ストレッチルーフィング800アスファルト流し張り,1,1,1,10,10,10,10
19,"新築／改修(P0D,M3D)",RC,屋根露出防水絶縁工法（D-3）,仕上塗料,0.3,1,50,3,150,3,150
20,"新築／改修(P0D,M3D)",RC,屋根露出防水絶縁工法（D-4）【AM-MS】,平面合計,,,,15,162,143,290
20,"新築／改修(P0D,M3D)",RC,屋根露出防水絶縁工法（D-4）【AM-MS】,アスファルトプライマー塗り,0.2,1,65,2,2,130,130
20,"新築／改修(P0D,M3D)",RC,屋根露出防水絶縁工法（D-4）【AM-MS】,部分粘着層付改質アスファルトルーフィングシート張付け,0,0,0,0,0,0,0
20,"新築／改修(P0D,M3D)",RC,屋根露出防水絶縁工法（D-4）【AM-MS】,砂付ストレッチルーフィング800アスファルト流し張り,1,1,1,10,10,10,10
20,"新築／改修(P0D,M3D)",RC,屋根露出防水絶縁工法（D-4）【AM-MS】,仕上塗料,0.3,1,50,3,150,3,150
21,"新築／改修(P0DI,M3DI)",RC,屋根露出防水絶縁断熱工法（ DI-1）,平面合計,,,,37,184,165,312
21,"新築／改修(P0DI,M3DI)",RC,屋根露出防水絶縁断熱工法（ DI-1）,アスファルトプライマー塗り,0.2,1,65,2,2,130,130
21,"新築／改修(P0DI,M3DI)",RC,屋根露出防水絶縁断熱工法（ DI-1）,アスファルトルーフィング1500アスファルト流し張り,1,1,1,10,10,10,10
21,"新築／改修(P0DI,M3DI)",RC,屋根露出防水絶縁断熱工法（ DI-1）,断熱材  アスファルト張付け,1,1,1,10,10,10,10
21,"新築／改修(P0DI,M3DI)",RC,屋根露出防水絶縁断熱工法（ DI-1）,粘着層付改質アスファルトシート,0,0,0,0,0,0,0
21,"新築／改修(P0DI,M3DI)",RC,屋根露出防水絶縁断熱工法（ DI-1）,改質アスファルトルーフィングシートアスファルト流し張り,1.2,1,1,12,12,12,12
21,"新築／改修(P0DI,M3DI)",RC,屋根露出防水絶縁断熱工法（ DI-1）,仕上塗料,0.3,1,50,3,150,3,150
22,"新築／改修(P0DI,M3DI)",RC,屋根露出防水絶縁断熱工法（ DI-2）,平面合計,,,,37,184,165,312
22,"新築／改修(P0DI,M3DI)",RC,屋根露出防水絶縁断熱工法（ DI-2）,アスファルトプライマー塗り,0.2,1,65,2,2,130,130
22,"新築／改修(P0DI,M3DI)",RC,屋根露出防水絶縁断熱工法（ DI-2）,アスファルトルーフィング1500アスファルト流し張り,1,1,1,10,10,10,10
22,"新築／改修(P0DI,M3DI)",RC,屋根露出防水絶縁断熱工法（ DI-2）,断熱材  アスファルト張付け,1,1,1,10,10,10,10
22,"新築／改修(P0DI,M3DI)",RC,屋根露出防水絶縁断熱工法（ DI-2）,部分粘着層付改質アスファルトルーフィングシート張付け,0,0,0,0,0,0,0
22,"新築／改修(P0DI,M3DI)",RC,屋根露出防水絶縁断熱工法（ DI-2）,砂付ストレッチルーフィング800アスファルト流し張り,1.2,1,1,12,12,12,12
22,"新築／改修(P0DI,M3DI)",RC,屋根露出防水絶縁断熱工法（ DI-2）,仕上塗料,0.3,1,50,3,150,3,150
23,改修（M4DI),露出防水,屋根露出防水絶縁断熱工法（ DI-1）,平面合計,,,,38,185,235,382
23,改修（M4DI),露出防水,屋根露出防水絶縁断熱工法（ DI-1）,アスファルト系下地調整材,1,0.3,20,3,3,200,200
23,改修（M4DI),露出防水,屋根露出防水絶縁断熱工法（ DI-1）,アスファルトルーフィング1500アスファルト流し張り,1,1,1,10,10,10,10
23,改修（M4DI),露出防水,屋根露出防水絶縁断熱工法（ DI-1）,断熱材  アスファルト張付け,1,1,1,10,10,10,10
23,改修（M4DI),露出防水,屋根露出防水絶縁断熱工法（ DI-1）,部分粘着層付改質アスファルトルーフィングシート張付け,0,0,0,0,0,0,0
23,改修（M4DI),露出防水,屋根露出防水絶縁断熱工法（ DI-1）,改質アスファルトルーフィングシートアスファルト流し張り,1.2,1,1,12,12,12,12
23,改修（M4DI),露出防水,屋根露出防水絶縁断熱工法（ DI-1）,仕上塗料,0.3,1,50,3,150,3,150
24,改修（M4DI),露出防水,屋根露出防水絶縁断熱工法（DI-2）【AM-MT】,平面合計,,,,38,185,235,382
24,改修（M4DI),露出防水,屋根露出防水絶縁断熱工法（DI-2）【AM-MT】,アスファルト系下地調整材,1,0.3,20,3,3,200,200
24,改修（M4DI),露出防水,屋根露出防水絶縁断熱工法（DI-2）【AM-MT】,アスファルトルーフィング1500アスファルト流し張り,1,1,1,10,10,10,10
24,改修（M4DI),露出防水,屋根露出防水絶縁断熱工法（DI-2）【AM-MT】,断熱材  アスファルト張付け,1,1,1,10,10,10,10
24,改修（M4DI),露出防水,屋根露出防水絶縁断熱工法（DI-2）【AM-MT】,部分粘着層付改質アスファルトルーフィングシート張付け,0,0,0,0,0,0,0
24,改修（M4DI),露出防水,屋根露出防水絶縁断熱工法（DI-2）【AM-MT】,砂付ストレッチルーフィング800アスファルト流し張り,1.2,1,1,12,12,12,12
24,改修（M4DI),露出防水,屋根露出防水絶縁断熱工法（DI-2）【AM-MT】,仕上塗料,0.3,1,50,3,150,3,150
25,改修（M4D),露出防水,屋根露出防水絶縁工法【AM-MS】,平面合計,,,,18,165,215,362
25,改修（M4D),露出防水,屋根露出防水絶縁工法【AM-MS】,アスファルト系下地調整材,1,0.3,20,3,3,200,200
25,改修（M4D),露出防水,屋根露出防水絶縁工法【AM-MS】,部分粘着層付改質アスファルトルーフィングシート張付け,0,0,0,0,0,0,0
25,改修（M4D),露出防水,屋根露出防水絶縁工法【AM-MS】,砂付ストレッチルーフィング800アスファルト流し張り,1.2,1,1,12,12,12,12
25,改修（M4D),露出防水,屋根露出防水絶縁工法【AM-MS】,仕上塗料,0.3,1,50,3,150,3,150
26,"新築／改修(P1E,P2E)",RC,屋内防水密着工法（ E-1）,平面合計,,,,62,,,190
